song_name,href,lyric,artist
Powerbank,/music/thailyric/22773,"วันนี้เป็นอะไร ดูเธอเหนื่อยใจ ไม่สดใสเลย
ดูไม่เหมือนกับเธอที่คุ้นเคย
เจอแต่เรื่องไม่ดีใช่ไหมเธอ

วันนี้ไม่เป็นใจ ก็ไม่เป็นไร ไม่ต้องเศร้าไป
ต่อให้เรื่องอะไรที่ต้องเจอ
อยากให้รู้ฉันอยู่ข้างๆ เธอ

แม้ใครไม่รัก แต่ฉันรักเธอ
และฉันจะไม่ไปไหน
แม้โลกโหดร้าย ให้เธอมั่นใจ
เราจะผ่านมันไปด้วยกัน

รู้ว่าเหนื่อยมากเลยใช่ไหม มาให้ฉันกอด
กอดนานๆ จนเธอหายดี
เหนื่อยใช่ไหม มาให้ฉันกอด
ไม่เป็นไร ไม่เป็นไร
อยากบอกว่าเธอเก่งมากเลย

อยากบอกว่าเธอเก่งมากเลย

ใครที่ไม่เข้าใจ แต่ฉันเข้าใจ เธอไม่ต้องห่วง
ต่อให้เรื่องจะหนักสักเท่าไร
เธอทำได้ ฉันรู้ เธอสู้ไหว

แม้ใครไม่รัก แต่ฉันรักเธอ
และฉันจะไม่ไปไหน
แม้โลกโหดร้าย ให้เธอมั่นใจ
เราจะผ่านมันไปด้วยกัน

รู้ว่าเหนื่อยมากเลยใช่ไหม มาให้ฉันกอด
กอดนานๆ จนเธอหายดี
เหนื่อยใช่ไหม มาให้ฉันกอด
ไม่เป็นไร ไม่เป็นไร
อยากบอกว่าเธอเก่งมากเลย

อยากบอกว่าเธอเก่งมากเลย

รู้ว่าเหนื่อยมากเลยใช่ไหม มาให้ฉันกอด
กอดนานๆ จนเธอหายดี
เหนื่อยใช่ไหม มาให้ฉันกอด
ไม่เป็นไร ไม่เป็นไร
อยากบอกว่าเธอเก่งมากเลย",mean
คนในความทรงจำ,/music/thailyric/11545,"เธออยู่ตรงนั้นเป็นอย่างไร
ยังจำฉันได้หรือไม่
มีคนคอยเป็นห่วงไหม

ฉันอยู่ตรงนี้ไม่ไปไหน
ยังคิดถึงเธอทุกวัน
ยังคงเดิมไม่เปลี่ยนผันไป

เราอาจต้องร้างลาห่างไกล
แต่หัวใจยังเก็บไว้ หัวใจยังจดจำ

อยากให้เธอรู้เธอนั้นยังอยู่
อยู่ในส่วนลึกความทรงจำ
ไม่เคยจางหายวันที่งดงาม
หลับตายังเห็นเธอในใจ

จะนานแค่ไหนยังรักเธออยู่เสมอ
หากได้พบได้เจอกันใหม่
อยากจะขอกอดเธอเอาไว้
ให้นานกว่าเดิม

ใครอาจมาแล้วเดินผ่านไป
แต่เธอนั้นไม่มีใคร
จะมาแทนได้อีกแล้ว

เราอาจต้องร้างลาห่างไกล
แต่หัวใจยังเก็บไว้ หัวใจยังจดจำ

อยากให้เธอรู้เธอนั้นยังอยู่
อยู่ในส่วนลึกความทรงจำ
ไม่เคยจางหายวันที่งดงาม
หลับตายังเห็นเธอในใจ

จะนานแค่ไหนยังรักเธออยู่เสมอ
หากได้พบได้เจอกันใหม่
อยากจะขอกอดเธอเอาไว้
ให้นานกว่าเดิม

เราอาจต้องร้างลาห่างไกล
แต่หัวใจยังเก็บไว้
และหัวใจยังจดจำ

อยากให้เธอรู้เธอนั้นยังอยู่
อยู่ในส่วนลึกความทรงจำ
ไม่เคยจางหายวันที่งดงาม
หลับตายังเห็นเธอในใจ

จะนานแค่ไหน ยังรักเธออยู่เสมอ
หากได้พบได้เจอกันใหม่
อยากจะขอกอดเธอเอาไว้
หากได้พบได้เจออีก",mean
ความคิดถึงทำงานหนัก (IMU),/music/thailyric/23274,"มองท้องฟ้าก็ทำให้ยิ่งเหงา
นานแค่ไหนที่เราต้องไกลกัน
ดึกมากแล้วแต่ใจไม่หยุดพัก
เป็นอย่างนี้ไม่ได้นอนสักวัน

อยากรู้เหมือนกัน
ความคิดถึงมันฆ่าคนได้ไหม
ตอนนี้รู้สึกเหมือนฉันจะตาย
หลับตาก็เห็นหน้าเธอ

ความคิดถึงนั้นมันทำงานหนัก
จนฉันไม่ได้นอน
อยากจะรู้ตอนนี้เธอนั้นทำอะไรที่ไหน
ก็ความคิดถึงนั้นมันทำงานหนัก
จนฉันเหงาเกินไป มันแทบทนไม่ไหว
ถ้าได้กอดเธอสักที ก็คงดี

เธอนั้นคิดถึงฉันอยู่บ้างไหม
หรือตอนนี้กำลังคิดถึงใคร

อยากรู้เหมือนกัน
ความคิดถึงมันฆ่าคนได้ไหม
ตอนนี้รู้สึกเหมือนฉันจะตาย
หลับตาก็เห็นหน้าเธอ

ความคิดถึงนั้นมันทำงานหนัก
จนฉันไม่ได้นอน
อยากจะรู้ตอนนี้เธอนั้นทำอะไรที่ไหน
ก็ความคิดถึงนั้นมันทำงานหนัก
จนฉันเหงาเกินไป มันแทบทนไม่ไหว
ถ้าได้กอดเธอสักที ก็คงดี

ความคิดถึงนั้นมันทำงานหนัก
จนฉันไม่ได้นอน
อยากจะรู้ตอนนี้เธอนั้นทำอะไรที่ไหน
ก็ความคิดถึงนั้นมันทำงานหนัก
จนฉันเหงาเกินไป มันแทบทนไม่ไหว
ถ้าได้กอดเธอสักที ก็คงดี

แทบทนไม่ไหว ถ้าได้กอดเธอสักที ก็คงดี",mean
ความธรรมดาที่พิเศษ (Simply Perfect),/music/thailyric/23549,"ไม่ต้องมีดาวเต็มท้องฟ้า
ไม่ต้องรอสายรุ้งทอดลงมา
แค่คืนวันธรรมดา มีเราแบบนี้ก็สุขใจ

ไม่ต้องบินไปไกลจนถึงไหน
ไม่ต้องอยู่เลิศหรู อย่างผู้ใด
แค่ได้เป็นตัวเราเอง ปกติอย่างนี้ฉันก็พอ

เพราะเธอ ที่ทำช่วงเวลาให้มีค่า
เพราะเธอ ที่เปลี่ยนทุกๆ วัน

เป็นวันที่วิเศษ โดยไม่ต้องมีสาเหตุ
แค่มีเราเท่านั้นเอง ทุกอย่างก็สวยงาม
ความธรรมดาที่พิเศษ โดยมีเธอเป็นผู้เสก
ไม่ต้องพึ่งสิ่งอื่นไหนมาเติม
ทุกอย่างก็เลิศเลอ เสมอ
ขอเพียงแค่มีเธอ

เพียงมีแววตาเธอคู่นั้น
กับรอยยิ้มที่มอบให้กับฉัน
ไม่ได้หวัง ไม่ได้ฝันเกินกว่า แค่เราเคียงคู่กัน

จะเผชิญอะไร จากที่ไหน
อุปสรรคสูงชัน สักเท่าไร
หากมีเราอยู่ด้วยกันตรงนี้ เท่านั้นไม่หวั่นไหว

เพราะเธอ ที่ทำช่วงเวลาให้มีค่า
เพราะเธอ ที่เปลี่ยนทุกๆ วัน

เป็นวันที่วิเศษ โดยไม่ต้องมีสาเหตุ
แค่มีเราเท่านั้นเอง ทุกอย่างก็สวยงาม
ความธรรมดาที่พิเศษ โดยมีเธอเป็นผู้เสก
ไม่ต้องพึ่งสิ่งอื่นไหนมาเติม
ทุกอย่างก็เลิศเลอ เสมอ
ขอเพียงแค่มีเธอ

เป็นวันที่วิเศษ โดยไม่ต้องมีสาเหตุ
แค่มีเราเท่านั้นเอง ทุกอย่างก็สวยงาม
ความธรรมดาที่พิเศษ โดยมีเธอเป็นผู้เสก
ไม่ต้องพึ่งสิ่งอื่นไหนมาเติม
ทุกอย่างก็เลิศเลอ เสมอ
ขอเพียงแค่มีเธอ",mean
ความสุขของเธอ (Not Me),/music/thailyric/16802,"ไม่ต้องกลัวว่าเธอ จะทำฉันเสียใจ
ที่ต้องการจะไป กับคนนั้น
จริงๆ แล้วเป็นฉัน ที่ควรขอโทษเธอ
ที่รั้งเธอเอาไว้ อยู่นานแล้ว

ก็ตอนนั้นฉันเองก็ไม่รู้ การรักใครสักคน
อาจหมายความว่าต้องยอมปล่อยเขาไป

ถ้าความสุขของเธอวันนี้ไม่ใช่ฉัน
ก็อย่าทนฝืนกัน ฉันพร้อมจะเข้าใจ
ถ้าความสุขของเธอ
วันนี้กลายเป็นเขาคนใหม่
ก็ไม่เป็นไร ฉันพร้อมเดินออกไปจากชีวิตเธอ

แค่ได้เห็นว่าเธอ ได้เจอคนที่ดี
ก็ไม่มีอะไร ต้องห่วงแล้ว
ส่วนตัวฉันคนนี้ ให้เหงาสักเท่าไร
คงไม่ไปรบกวนเธอ อีกต่อไป

ก็ตอนนั้นฉันเองก็ไม่รู้ การรักใครสักคน
อาจหมายความว่าต้องยอมปล่อยเขาไป

ถ้าความสุขของเธอวันนี้ไม่ใช่ฉัน
ก็อย่าทนฝืนกัน ฉันพร้อมจะเข้าใจ
ถ้าความสุขของเธอ
วันนี้กลายเป็นเขาคนใหม่
ก็ไม่เป็นไร ฉันพร้อมเดินออกไปจากชีวิตเธอ

ถ้าความสุขของเธอวันนี้ไม่ใช่ฉัน
ก็อย่าทนฝืนกัน ฉันพร้อมจะเข้าใจ
ถ้าความสุขของเธอ
วันนี้กลายเป็นเขาคนใหม่
ก็ไม่เป็นไร

ความสุขของเธอวันนี้ไม่ใช่ฉัน
ก็อย่าทนฝืนกัน ฉันพร้อมจะเข้าใจ
ความสุขของเธอ
วันนี้กลายเป็นเขาคนนั้น
ก็ไม่เป็นไร ฉันพร้อมเดินออกไปจากชีวิตเธอ",mean
คิดลึก,/music/thailyric/15617,"จากคนๆ หนึ่งที่ไม่เคยคิดอะไร
จากไม่มีใจและไม่เคยพูดสักที
ไม่ค่อยสนิท อย่างมากก็แค่เป็นพี่

ที่คิดลึก ลึกจนเกินที่จะเอ่ย
แต่เขาคงไม่กล้าเปิดเผย
ทั้งๆ ที่เคยพยายามทุกที
เขาคิดลึก ลึกจนล้นใจที่มี
จนร้องเป็นเพลงๆ นี้
บอกสิ่งที่มีข้างในหัวใจ ให้เธอฟัง

เขาแอบมองเธอจนเขาแอบเผลอเปิดใจ
แต่ว่ายังไงก็ไม่เคยพูดสักที
เลยไม่สนิท อย่างมากก็แค่เป็นพี่

ที่คิดลึก ลึกจนเกินที่จะเอ่ย
แต่เขาคงไม่กล้าเปิดเผย
ทั้งๆ ที่เคยพยายามทุกที
เขาคิดลึก ลึกจนล้นใจที่มี
จนร้องเป็นเพลงๆ นี้
บอกสิ่งที่มีข้างในหัวใจ ให้เธอฟัง

ผมอยากจะถอด ถอดความคิดถึงที่ผมมี
ส่งไปให้ถึงเธอ ให้เธอรับรู้บ้างสักที
และอยากจะจับ คนที่จีบเธอมาทุบตี
เพราะผมน่ะมาก่อน แอบหลงรักเธอมาหลายปี
และอยากจะชัก ชวนเธอมารักกัน
รับรองว่าผมจะเอา เอาใจใส่เธอทุกวัน
อยากจะจิ้ม อยากจะกดไลค์รูปเธออย่างเมามัน
แต่ก็ได้แต่นั่งคิด เพราะกลัวว่าเธอจะรู้ทัน

ที่คิดลึก ลึกจนเกินที่จะเอ่ย
แต่เขาคงไม่กล้าเปิดเผย
ทั้งๆ ที่เคยพยายามทุกที
เขาคิดลึก ลึกจนล้นใจที่มี
จนร้องเป็นเพลงๆ นี้
บอกสิ่งที่มีข้างในหัวใจ ให้เธอฟัง

ให้เธอฟัง",mean
ดีขึ้นทุกวัน (Recovered),/music/thailyric/23550,"ตั้งแต่วันนั้น ฉันยิ้มได้แล้วอีกครั้ง
คงเหลือแค่รอยน้ำตา
จากเรื่องวันก่อน
วันที่เราไม่ค่อยเข้าใจ

มาจนวันนี้ ฉันคิดว่าพอยืนไหว
และรู้อะไร ทำให้เราเจ็บปวด
ทำให้เราเสียใจ
เริ่มเข้าใจมันบ้างแล้ว

ฉันดีขึ้นมากเลยทุกวัน
ดีขึ้นมากเลยทุกที
ดีกว่าตอนนั้นที่ยังอ่อนแอ และมีนํ้าตา
ฉันดีขึ้นมากเลยทุกวัน
เก่งขึ้นมากเลยทุกที
อยากให้เธอเห็นรอยยิ้มวันนี้
ฉันดีขึ้นทุกวัน

ไม่นานคงหาย พรุ่งนี้คงดีกว่านี้
รอยแผลนั้นคงจางไปในสักวันหนึ่ง
กลับมายืนได้ดีอย่างเดิม

ฉันดีขึ้นมากเลยทุกวัน
ดีขึ้นมากเลยทุกที
ดีกว่าตอนนั้นที่ยังอ่อนแอ และมีนํ้าตา
ฉันดีขึ้นมากเลยทุกวัน
เก่งขึ้นมากเลยทุกที
อยากให้เธอเห็นรอยยิ้มวันนี้
ฉันดีขึ้นทุกวัน

อยากให้เธอเห็นรอยยิ้มวันนี้
ฉันดีขึ้นทุกวัน",mean
ดูออก (LookOut),/music/thailyric/18683,"(ก็คนเขาดูออก เธอแค่คนลวงหลอก)

เหนื่อยบ้างไหมที่ต้องแกล้งทำ
พูดคำที่สวยงาม
ทั้งที่ก็รู้ดี ว่าความจริงเป็นเช่นไร

เหนื่อยบ้างไหมที่ต้องแกล้งทำ
ให้คนมาเห็นใจ
ทั้งที่ก็รู้ดี ว่าความจริงเป็นเช่นไร

สนุกไหมถามจริง ทำเป็นนิ่งไม่อาย
วันนี้จะเตือนให้ฟังเป็นครั้งสุดท้าย

ก็คนเขาดูออก เธอแค่คนลวงหลอก
อย่าพูดว่ารักได้ไหม ไม่มีใครเขาเชื่อหรอก
บอกให้ฉันไว้ใจ เธอไม่อายหรือไง
บอกรัก รัก รัก รัก ฉัน จะโกหกกันไปถึงเมื่อไร

ก็คนเขาดูออก เธอแค่คนลวงหลอก
อย่าพูดว่ารักได้ไหม ไม่มีใครเขาเชื่อหรอก
หยุดได้แล้วพอก่อน
ตอนนี้จะปลอมแค่ไหนก็ดูออก

พักก่อน ก็ฉันเป็นคนไม่ใช่ควาย
ต่อให้รักมากแค่ไหน ก็ไม่ยอมโดนหลอกแบบง่าย
เจอมากับตัว ลอตูแหลซูแบบมากมาย
ก็ดูเธอออกขนาดนี้ ขอโทษนะพี่คงบ๊ายบาย

หยุดหนูดูออกมาลวงหลอกและมาบอกว่ารัก
มาลงมาเล่นมาลองใจช่วยไปไกลๆ
อย่าให้ด่าว่า (Fuck) fake feel ทำ Chill โก๋
เดี๋ยวเจออีโต้สกัด ณ จุดๆ นี้คือ
พี่ไม่เนียนคงต้องกลับไปเรียนมาใหม่อีกครั้งค่ะ

สนุกไหมถามจริง ทำเป็นนิ่งไม่อาย
วันนี้จะเตือนให้ฟังเป็นครั้งสุดท้าย

ก็คนเขาดูออก เธอแค่คนลวงหลอก
อย่าพูดว่ารักได้ไหม ไม่มีใครเขาเชื่อหรอก
บอกให้ฉันไว้ใจ เธอไม่อายหรือไง
บอกรัก รัก รัก รัก ฉัน จะโกหกกันไปถึงเมื่อไร

ก็คนเขาดูออก เธอแค่คนลวงหลอก
อย่าพูดว่ารักได้ไหม ไม่มีใครเขาเชื่อหรอก
หยุดได้แล้วพอก่อน
ตอนนี้จะปลอมแค่ไหนก็ดูออก

หยุดได้แล้วพอก่อน
ตอนนี้จะปลอมแค่ไหนก็ดูออก",mean
ตกหลุมรักซ้ำๆ (Repeat),/music/thailyric/23546,"ฉันคิดทุกครั้ง ที่ฉันนั้นมองหน้าเธอ
ว่าฉันโชคดีเท่าไร ที่ฉันได้เจอคนนี้
ฉันคิดทุกครั้ง ว่าฉันเหมือนกับฝันไป
เมื่อเธอเริ่มเดินเข้ามา ชีวิตฉันก็เหมือนเริ่มใหม่

ทุกเรื่องที่เธอทำ ทุกคำที่พูดกัน
ทุกสิ่งเล็กๆ ที่เธอทำให้ทุกวัน
ทำให้รู้ว่ารักดีๆ เป็นอย่างไร
และทำให้รักเธอหมดใจ

ตกหลุมรักคนเดิมซ้ำๆ มันเป็นอย่างนี้
ฉันเพิ่งเข้าใจ เมื่อได้มีเธอข้างๆ กัน
คนที่ใช่มันมีอยู่จริง
ตกหลุมรักคนเดิมซ้ำๆ มันเป็นอย่างไร
ได้เจอถึงเข้าใจ รักเธอไม่เคยเบื่อเลย
และรักมากขึ้นทุกวัน

จะดูแลเธอให้ดี ฉันขอสัญญา
ขอบคุณที่เธอเข้ามา เป็นความรักที่ดีที่สุด

ทุกเรื่องที่เธอทำ ทุกคำที่พูดกัน
ทุกสิ่งเล็กๆ ที่เธอทำให้ทุกวัน
ทำให้รู้ว่ารักดีๆ เป็นอย่างไร
และทำให้รักเธอหมดใจ

ตกหลุมรักคนเดิมซ้ำๆ มันเป็นอย่างนี้
ฉันเพิ่งเข้าใจ เมื่อได้มีเธอข้างๆ กัน
คนที่ใช่มันมีอยู่จริง
ตกหลุมรักคนเดิมซ้ำๆ มันเป็นอย่างไร
ได้เจอถึงเข้าใจ รักเธอไม่เคยเบื่อเลย
และรักมากขึ้นทุกวัน

ทุกเรื่องที่เธอทำ ทุกคำที่พูดกัน
ทุกสิ่งเล็กๆ ที่เธอทำให้ทุกวัน
ทำให้รู้ว่ารักดีๆ เป็นอย่างไร
และทำให้รักเธอหมดใจ

ตกหลุมรักคนเดิมซ้ำๆ มันเป็นอย่างนี้
ฉันเพิ่งเข้าใจ เมื่อได้มีเธอข้างๆ กัน
คนที่ใช่มันมีอยู่จริง
ตกหลุมรักคนเดิมซ้ำๆ มันเป็นอย่างไร
ได้เจอถึงเข้าใจ รักเธอไม่เคยเบื่อเลย
และรักมากขึ้นทุกวัน

ได้เจอถึงเข้าใจ รักเธอไม่เคยเบื่อเลย
และรักมากขึ้นทุกวัน",mean
ตลอดมาตลอดไป (Always),/music/thailyric/23547,"ก็ไม่รู้ทำไม ไม่กล้าบอกว่า ฉันรักเธอสักที
ก็ไม่รู้ทำไม ต้องทนเก็บความลับนี้ไว้ ตั้งนาน
ทั้งที่ฉันไม่เคยต้องการเก็บ ให้มันคาในใจ
แต่ให้พูดไป ก็ไม่ไหว

ก็ไม่รู้ทำไม มาเสียดาย ตอนที่เรื่องมันสายไป
ก็ไม่รู้ทำไม ยอมให้ความไม่ชัดเจน พังทุกอย่าง
ฉันก็รู้ว่ามันคงไม่ทัน และก็ไม่มีทาง
แต่ขอให้ฉัน บอกอยู่ไกลๆ

อยากบอกว่ารักเหมือนเดิม แม้จะไม่มีหวัง
ฉันยังรอ ไม่ว่านานแค่ไหน
แม้เธอรักใคร ฉันรักเธอคนเดียวตลอดมา
และจะขอ รักเธอตลอดไป

ทุกๆ เรื่องดีๆ ที่มันเกิดเเล้วก็ยังคงสวยงาม
และก็ไม่เป็นไรที่เธอจะเดินแยกตามทางของเธอ
อย่างน้อยๆ ฉันก็ได้รักเธอ แม้เป็นรักข้างเดียว
แค่เพียงเท่านี้ มันก็ดีแล้ว

อยากบอกว่ารักเหมือนเดิม แม้จะไม่มีหวัง
ฉันยังรอ ไม่ว่านานแค่ไหน
แม้เธอรักใคร ฉันรักเธอคนเดียวตลอดมา
และจะขอ รักเธอตลอดไป

อยากบอกว่ารักเหมือนเดิม แม้จะไม่มีหวัง
ฉันยังรอ ไม่ว่านานแค่ไหน
แม้เธอรักใคร ฉันรักเธอคนเดียวตลอดมา
และจะขอ รักเธอตลอดไป

ก็จะขอรักเธอตลอดไป",mean
