song_name,href,lyric,artist
Drowning (ที่มีเธอ),/music/thailyric/21620,"วันหนึ่งในฤดูหนาว ฉันต้องการไออุ่นจากเธอ
วันหนึ่งในฤดูฝน ฉันต้องการให้เธออยู่ข้างๆ
และวันนี้คงไม่มีแสงดาว เมื่อไม่มีเธอ ไม่มี

วันที่ฉันเหงา เพราะไม่มีเธออยู่เคียงข้างกัน
วันที่ฉันทุกข์ ฉันคิดถึงตอนที่เธอเคยยิ้มให้
และวันนี้มันทนไม่ไหว เพิ่งเข้าใจ เมื่อไม่มีเธอ

ให้ฉันจมลงไป ในนั้นที่มีเธอยังจับมือฉันอยู่
ในความฝัน รอยยิ้มของเธอ ช่างสวยงามเหลือเกิน
อยู่กับฉัน อย่าให้ฉันตื่น จะได้ไหม

เวลาที่เธออยู่ด้วยกัน ทำไมมันสั้นเกินไป
ยังมีเรื่องราวที่ให้เรา เรียนรู้อีกมากมาย
ต้องเจ็บ ต้องเหงา ต้องเศร้า ต้องช้ำ อย่างนี้อีกเท่าไร
ทรมานอีกสักกี่ครั้ง

ให้ฉันจมลงไป ในนั้นที่มีเธอยังจับมือฉันอยู่
ในความฝัน รอยยิ้มของเธอ ช่างสวยงามเหลือเกิน
อยู่กับฉัน อย่าให้ฉันตื่น จะได้ไหม

เวลาที่เธออยู่ด้วยกัน ทำไมมันสั้นเกินไป
ยังมีเรื่องราวที่ให้เรา เรียนรู้อีกมากมาย
ต้องเจ็บ ต้องเหงา ต้องเศร้า ต้องช้ำ อย่างนี้อีกเท่าไร
ทรมานอีกสักกี่ครั้ง

วันหนึ่งในฤดูหนาว ฉันต้องการไออุ่นจากเธอ",mew_suppasit
Let Me Be,/music/thailyric/21621,"เดินทางบนความคาดหวัง
ที่เธอมีอยากดีมากพอ เพื่อให้เธอพูดว่ารัก
ถึงรู้ว่ามันปลอม แต่ว่าฉันยอม
เอาเลยอยากให้ฉันเหมือนกับใครๆ
But I will be fine
Just a deceitful love I have tried
แค่เกิดคำถามในใจ

If I were somebody else
Won't you kiss me
แต่ฉันไม่ใช่คนที่แสนดี คนนั้น
If I ain't somebody else เธอ คงผิดหวัง
Just let me let me let me ให้ฉันเป็นฉัน

ฉันนี่มันเป็นได้แค่ฉันก็คงไม่ดีเท่าไร
ฉันนี่มันเป็นได้แค่ฉันก็คงไม่น่าสนใจ
ขอโทษด้วยที่ไม่ดีเหมือนใครๆ
ผิดหวังมากใช่ไหม Baby don't cry

ฉันนี่มันเป็นได้แค่ฉัน
ก็คงจะทำอะไรดีๆ ไม่ได้อย่างเขา
แล้วต้องยอมรับโชคชะตา

ไปจากฉันอย่าเสียเวลา
เพราะฉันทนต่อไปไม่ไหว
เธอไปหาเขาจะดีกว่าไหม
แค่เกิดคำถามในใจ

If I were somebody else
Won't you kiss me
แต่ฉันไม่ใช่คนที่แสนดี คนนั้น
If I ain't somebody else เธอ คงผิดหวัง
Just let me let me let me ให้ฉันเป็นฉัน",mew_suppasit
Missing You,/music/thailyric/21622,"คิดถึงเธออยู่ดี ไม่ว่ายังไงก็คิดถึงเธออยู่ดี
หลับตาลงแล้วก็เจอแค่เธอ
นานแล้วที่ไม่ได้เจอ โอ้ คิดถึง
คิดถึงเธออยู่ดี

ตื่นขึ้นมาในตอนเช้า
ภาพเธอจากในฝันยังติดตา
เปิดมือถือมา ก็ต้องเจอหน้าก่อน
คิดถึงจะตายแล้ว

หาขนมกิน หาหนังสืออ่าน
นั่งฟังเพลงเป็นร้อยมันก็ยังไม่หาย
ก็ยังฟุ้งซ่าน Oh I Missing You

จะทำยังไงก็คิดถึงเธออยู่ดี
ไม่ว่ายังไงก็คิดถึงเธออยู่ดี
หลับตาลงแล้วก็เจอแค่เธอ
นานแล้วที่ไม่ได้เจอ
Oh what should I do

จะทำยังไงก็คิดถึงเธออยู่ดี
ไม่ว่ายังไงก็คิดถึงเธออยู่ดี
และเธอล่ะ คิดถึงฉันบ้างไหม
แม้ว่าเธอไม่อยากจะพบกัน
ฉันก็คิดถึงเธออยู่ดี

Wherever I go like I watch the show
that you're my main role
Oh ma star
No matter how far if you want me
l'll go for you l'll go for you

ตั้งไม่รู้เมื่อไรที่เราจะได้เจอกัน
วันที่พ้นผ่านเธอรู้ไหม ว่ามันยากแค่ไหน
ที่ต้องคิดถึงเธออยู่อย่างนี้

จะทำยังไงก็คิดถึงเธออยู่ดี
ไม่ว่ายังไงก็คิดถึงเธออยู่ดี
หลับตาลงแล้วก็เจอแค่เธอ
นานแล้วที่ไม่ได้เจอ
Oh what should I do

จะทำยังไงก็คิดถึงเธออยู่ดี
ไม่ว่ายังไงก็คิดถึงเธออยู่ดี
และเธอล่ะคิดถึงฉันบ้างไหม
หรือแม้ว่าเธอไม่อยากจะพบกัน
ฉันก็คิดถึง

จะทำยังไงก็คิดถึงเธออยู่ดี
ไม่ว่ายังไงก็คิดถึงเธออยู่ดี
หลับตาลงแล้วก็เจอแค่เธอ
นานแล้วที่ไม่ได้เจอ
Oh what should I do

จะทำยังไงก็คิดถึงเธออยู่ดี
ไม่ว่ายังไงก็คิดถึงเธออยู่ดี
และเธอล่ะ คิดถึงฉันบ้างไหม
แม้ว่าเธอไม่อยากจะพบกัน
ฉันก็คิดถึงเธออยู่ดี",mew_suppasit
More And More,/music/thailyric/21623,"ยังคงคำพูดที่เธอบอกไว้
ในวันที่เธอจากไป ฉันจะดีขึ้นเองอีกครั้ง
วันเวลาจะช่วยรักษาให้หาย
และคงไม่นานเท่าไร ฉันจะได้เจอใครที่ดี

ที่รัก ฉันพยายามแล้ว
ไม่ได้ต้องการจะทรมานอย่างนี้
แต่กี่คนที่เข้ามาจะผ่านไปกี่ปี
ฉันไม่ลืมเธอสักที

ต้องอีกนานไหม เมื่อไรจะมากพอ
ต้องมีแค่ทั้งชีวิตจะพอใช่ไหม
เธอบอกว่าเวลาจะทำให้เธอหายไป
แล้วทำไม ทำไมฉันรักเธอมากกว่าเดิม

ยังคงจำว่าฉันเจอเธอที่ไหน
ว่าเธอน่ารักอย่างไร
ว่าฉันโชคดีแต่ไหนที่มีเธอ

ที่รัก ฉันพยายามแล้ว
ไม่ได้ต้องการจะทรมานอย่างนี้
แต่กี่คนที่เข้ามาจะผ่านไปกี่ปี
ฉันไม่ลืมเธอสักที

ต้องอีกนานไหม เมื่อไรจะมากพอ
ต้องมีแค่ทั้งชีวิตจะพอใช่ไหม
เธอบอกว่าเวลาจะทำให้เธอหายไป
แล้วทำไม ทำไมฉันรักเธอมากกว่าเดิม

ต้องอีกนานไหม เมื่อไรจะมากพอ
ต้องมีแค่ทั้งชีวิตจะพอใช่ไหม
เธอบอกว่าเวลาจะทำให้เธอหายไป
แล้วทำไม ทำไมฉันรักเธอมากกว่าเดิม",mew_suppasit
Time Machine,/music/thailyric/21637,"กาลเวลาเนิ่นนานเท่าไรไม่รู้
แต่ฉันยังอยู่ที่เดิมที่เราอยู่ด้วยกัน
พยายามรื้อฟื้นเรื่องราวดีๆ ที่เมื่อก่อนนี้

โลกใบนี้มีเพียงแค่เรา ตอนที่เธอยังไม่มีเขา
แต่สุดท้ายก็เข้าใจ มันไม่มีค่าอะไร
ได้แต่ฝืนทนเก็บไว้

ให้ทบทวนความทรงจำเท่าไร
เธอคงลบมันไปหมดแล้ว
ต่อให้ย้อนเวลากลับไปพร้อมกับรอยน้ำตา
You prolly don't even know my name
But I'm just missin' you again
แต่เธอคงลืมมันไปหมดแล้ว
เธอคงลืมมันไปหมดแล้ว

บอกตัวเองฉันต้องให้ชินต้องอยู่คนเดียวให้ไหว
มันก็ไม่เป็นไรถ้าไม่มีเธออีกแล้ว
แต่ฉันยังรอที่เดิม ยังคงไม่ไปไหน
ทั้งที่รู้ว่าเธอนั้นไม่กลับมาอีกแล้ว

อ่านหนังสือเล่มเดิมไม่ว่าจะสักกี่ครั้ง
อ่านจนฉันจดจำเรื่องราว
วนซ้ำๆ ให้ใจมันหนาว

แต่สุดท้ายก็เข้าใจมันไม่มีค่าอะไร
ได้แต่ฝืนทนเก็บไว้

ให้ทบทวนความทรงจำเท่าไร
เธอคงลบมันไปหมดแล้ว
ต่อให้ย้อนเวลากลับไปพร้อมกับรอยน้ำตา
You prolly don't even know my name
But I'm just missin' you again
แต่เธอคงลืมมันไปหมดแล้ว
เธอคงลืมมันไปหมดแล้ว

เธอคงลืมมันไปหมดแล้ว
เธอคงไม่มีวันกลับมา
แต่ฉันคงไม่เป็นไรหรอกหนา
ฉันคงไม่เป็นไรหรอกหนา

จะต้องใช้เวลาเพื่อลืมเธอนานสักเท่าไร
แบบที่เธอลบฉันออกจากใจฉันว่ามันไม่ง่าย

ให้ทบทวนความทรงจำเท่าไร
เธอคงลบมันไปหมดแล้ว
ต่อให้ย้อนเวลากลับไปพร้อมกับรอยน้ำตา
You prolly don't even know my name
But I'm just missin' you again
แต่เธอคงลืมมันไปหมดแล้ว
เธอคงลืมฉันไปหมดแล้ว",mew_suppasit
Before 4:30 (She Said...),/music/thailyric/22757,"I look at the time through anxious eyes
Leave it alone they say a watched clock never boils
But I still watch away anyway
I hold my breath a little longer
How can I say or do a thing
When I got so many things
Racing through my head

Before 4:30
Before 4:30
Can't do a thing
With her all my brain

Before 4:30
Before 4:30
How should i try
To make her mine

Do I tell her she looks lovely
like a classic movie cliche
Do I Do I
Take you somewhere rich and fancy
Or a casual cafe darling I do
Darling I
Can't wait to see you today

I see you lookin at the time
all anxiously
look again and check that yes still
half past 3
60 minutes till you meet the one you talkin all about for weeks

So what you doin
Clean your hair
Brush your teeth
And don't be nervous when you
Two finally meet
Be a gentleman
You'll be okay
And my god stop
Lookin at the clock I'll tell you when you gotta leave

You lookin good
You lookin fresh
Shoulder straight head up look ahead
Spray this
Chew that
Take this
And don't forget
Just be yourself when the clock
Says 4 and 30

Go and tell her she looks lovely
Like a classic movie cliche
Do I take her somewhere rich and fancy
Or a casual cafe darling I do darling I
Can't wait to see you today

Can't wait to see you today

So I told her she looks lovely
Like a classic movie cliche
And I took her to the park
And talked while counting all of the stars

And when we said goodnight
She left me with 5 little words
Can't wait for next time
She said",mew_suppasit
Good Day,/music/thailyric/20283,"It's a Good Day it's a good day
Do What I wanna do I'm in the mood yeah
It's a good day it's a good day
I don't really care what did you say

ทิ้งตัวลง and chillin by the pool
It's a good day it's a good day yeah
ไม่สนใจอะไร be like Fool
It's a good day we know it's a good day yeah

The sky's bright and the sun's out
Let's take a ride มีเพียงแค่เรา
เรื่องร้ายๆ That you thinkin 'bout
ที่ทำให้ฟ้าของเธอเป็นสีเทา

ทิ้งมันไป ไม่ต้องคิดอะไร
แค่ทำตามใจ Baby free your mind
Just feel the vibe we just havin fun
Cus we are young and we on the run

ทำตัวตามสบาย Dancin in the rain
ไม่ต้องตามใคร แค่เธอ เป็นตัวเอง
Nobody knows about tomorrow
Just go with flow we Livin for today

เรื่องที่เธอช้ำใจ
ขอให้เธอทิ้งมันไป
Lemme see you outside
ไม่เป็นไร แค่เริ่มใหม่

It's a good day it's a good day
Do what I wanna do I'm in the mood yeah
It's a good day it's a good day
I don't really care what did you say

ทิ้งตัวลง And chillin by the pool
It's a good day it's a good day yeah
ไม่สนใจอะไร Be like fool
It's a good day we know it's a good day yeah

Everything be alright baby don't cry
โลกยังคงหมุนไป Dont waste your time
ไม่ต้องคิดมากมาย This is our life
เพราะชีวิตนี้มีไว้ใช้  Ride or die

I just wanna see your smile
เธอไม่ต้องอาย
Baby lemme free your mind
เธอไม่ต้องอาย

เรื่องที่เธอช้ำใจ
ขอให้เธอทิ้งมันไป
Lemme see you outside
ไม่เป็นไร แค่เริ่มใหม่

It's a good day it's a good day
Do what I wanna do I'm in the mood yeah
It's a good day it's a good day
I don't really care what did you say

ทิ้งตัวลง and chillin by the pool
It's a good day it's a good day yeah
ไม่สนใจอะไร Be like fool
It's a good day. We know it's a good day yeah",mew_suppasit
Nan Na (นั้นนา),/music/thailyric/19686,"ฉันแค่อยากจะขอให้เธออยู่ตรงนี้
มีเธอเป็นเหมือนของขวัญในทุกๆ ปี
ไม่ว่าอะไรเธอยอม ทำให้คนๆ นี้
และฉันเองนั้นก็พร้อมดูแลเธออย่างดี

Cus you're my only one Nan na nan na
ให้เธอเป็นคนๆ นั้น Nan na nan na
มีเธออยู่เคียงข้างฉัน Nan na nan na
ให้เธอนั้นเป็นของขวัญ Nan na nan na

เธออยู่เคียงข้างฉัน ในวันที่ฉันไม่มีใคร
เธออยู่เคียงฉัน ในวันที่ฟ้าไม่เป็นใจ
แม้อากาศจะหนาว ยังมีเธอเป็นไออุ่น
When I got you around ฉันนั้นก็ไม่กลัวอะไร

และแค่ในเวลานี้ ให้มีเพียงแค่สองเรา
ก็เป็นวันที่ดี ไม่เงียบเหงาเหมือนวันเก่า
Baby you are the only one I want
ขอสัญญา ให้เธอไว้ใจ

ฉันแค่อยากจะขอให้เธออยู่ตรงนี้
มีเธอเป็นเหมือนของขวัญในทุกๆ ปี
ไม่ว่าอะไรเธอยอม ทำให้คนๆ นี้
และฉันเองนั้นก็พร้อมดูแลเธออย่างดี

Cus you're my only one Nan na nan na
ให้เธอเป็นคนๆ นั้น Nan na nan na
มีเธออยู่เคียงข้างฉัน Nan na nan na
ให้เธอนั้นเป็นของขวัญ Nan na nan na

ฉันจะเป็นคนนั้นดูแลเธอในวันที่ท้อใจ
เป็นคนๆ นั้น ข้างเธอ ถ้าเธอยังรอใคร
มีแค่ฉันและเธอ ไม่ว่าจะเพราะอะไร
ทั้งใจฉันยังของเธอไม่เป็นของใคร

อยู่ด้วยกันทุกๆ นาที ตื่นมาเจอในวันพรุ่งนี้
เป็นของขวัญในทุกๆ ปี Yeah
จะมีเราในทุกเวลา ไม่ไปไหนฉันขอสัญญา
ให้เธอรู้ You are the best for me

และแค่ในเวลานี้ ให้มีเพียงแค่สองเรา
ก็เป็นวันที่ดี ไม่เงียบเหงาเหมือนวันเก่า
Baby you are the only one I want
ขอสัญญา ให้เธอไว้ใจ

ฉันแค่อยากจะขอให้เธออยู่ตรงนี้
มีเธอเป็นเหมือนของขวัญในทุกๆ ปี
ไม่ว่าอะไรเธอยอม ทำให้คนๆ นี้
และฉันเองนั้นก็พร้อมดูแลเธออย่างดี

Cus you're my only one Nan na nan na
ให้เธอเป็นคนๆนั้น Nan na nan na
มีเธออยู่เคียงข้างฉัน Nan na nan na
ให้เธอนั้นเป็นของขวัญ Nan na nan na

อยากให้เธอเป็นคนนั้น ไม่อยากให้เธอเดินจากไปไหน (อย่า)
และช่วงเวลาตอนนี้ จะมีแค่ You มา By my side
Ring ring my phone แค่อยากรู้ทำไรตอนนี้
รับสาย ดีดี หรืออยากให้ฉันไปเลย ตอนนี้

ไม่เคยเจ้าชู้นั้นมันคือเรื่องจริง
Only you ที่จะเป็นเจ้าหญิง
เธอคือนางฟ้าที่ยังยืนบนดิน
เป็นดั่งความฝันที่มันมีอยู่จริง

จะไม่มีวันที่ทำให้เสียใจ
เลย ฝากความรัก ให้ผ่านเพลงนี้ไป

และแค่ในเวลานี้ ให้มีเพียงแค่สองเรา
ก็เป็นวันที่ดี ไม่เงียบเหงาเหมือนวันเก่า
Baby you are the only one I want
ขอสัญญา ให้เธอไว้ใจ

ฉันแค่อยากจะขอให้เธออยู่ตรงนี้
มีเธอเป็นเหมือนของขวัญในทุกๆ ปี
ไม่ว่าอะไรเธอยอม ทำให้คนๆ นี้
และฉันเองนั้นก็พร้อมดูแลเธออย่างดี

Cus you're my only one Nan na nan na
ให้เธอเป็นคนๆ นั้น Nan na nan na
มีเธออยู่เคียงข้างฉัน Nan na nan na
ให้เธอนั้นเป็นของขวัญ Nan na nan na",mew_suppasit
Our Time,/music/thailyric/23837,"ดั่งนาฬิกานั่นลืมบอก
ตกอยู่ในภวังและไม่รู้ความเป็นไป
นาทีที่เรานั่นใกล้กัน
จนอยากได้ยินเสียงหัวใจ
เหมือนโลกทั้งใบกลายเป็นของเราเท่านั้น

ฉันรู้แค่ฉันมีเธออยู่ตรงนี้ให้ได้มองตา
แค่ฉันได้ใช้เวลาอยู่กับเธอตรงนี้เรื่อยไป
ถ้ามีเวทมนต์ฉันคงจะตรึงเวลานี้ไว้
ให้มันหยุดที่เธอ

อยากอยู่แบบนี้ไปนานๆ
ก็ชั่วโมงนี้ที่เป็นดั่งฝัน
ช่วงที่มีฉันอยู่ข้างกายเธอ
สบตาคู่นี้ จับมือคู่นี้ไม่ปล่อยเลย

ให้โลกใบนี้มีเราเท่านั้น
ไม่เคยต้องการสิ่งไหนอีกเลย
1 นาทีก็เหมือนเป็นนิรันดร์เพราะเธอ

ไม่ต้องรู้พรุ่งนี้เป็นเช่นไร
ไม่ต้องสนว่าล้อหมุนเช่นไร
I feel you heart beat in close to mine
มีแค่เรา Till the end of time

อยากสั่งนาฬิกาให้มันเดินช้าๆ
อยากเก็บความสวยงามเอาไว้นkนเท่านาน
หากพรุ่งนี้เป็นเช่นไร
ให้เธอรู้ว่ายังไง I'm still love with you

ฉันรู้แค่ฉันมีเธออยู่ตรงนี้ให้ได้มองตา
แค่ฉันได้ใช้เวลาอยู่กับเธอตรงนี้เรื่อยไป
ถ้ามีเวทมนต์ฉันคงจะตรึงเวลานี้ไว้
ให้มันหยุดที่เธอ

อยากอยู่แบบนี้ไปนานๆ
ก็ชั่วโมงนี้ที่เป็นดั่งฝัน
ช่วงที่มีฉันอยู่ข้างกายเธอ
สบตาคู่นี้ จับมือคู่นี้ไม่ปล่อยเลย

ให้โลกใบนี้มีเราเท่านั้น
ไม่ได้ต้องการสิ่งไหนอีกเลย
1 นาทีก็เหมือนเป็นนิรันดร์ เพราะเธอ

อยากอยู่แบบนี้ไปนานๆ
ก็ชั่วโมงนี้ที่เป็นดั่งฝัน
ช่วงที่มีฉันอยู่ข้างกายเธอ
สบตาคู่นี้ จับมือคู่นี้ไม่ปล่อยเลย

ให้โลกใบนี้มีเราเท่านั้น
ไม่ได้ต้องการสิ่งไหนอีกเลย
1 นาทีก็เหมือนเป็นนิรันดร์ เพราะเธอ",mew_suppasit
Season Of You (ทุกฤดู),/music/thailyric/18791,"เธอคือลมร้อน ที่พัดมาตอนที่ใจฉันหนาว
เป็นแดดยามเช้าที่ลบความเหงาให้หายไป
เธอคือลมฝน ที่พัดโปรยมาให้ชื่นในใจ
เป็นหมู่ดวงดาว ในคืนที่แสงไฟจางหาย

เธอคือทุกฤดูที่ฉันคอยจะได้พบ
คนเดียวที่หัวใจเฝ้ารอ

ในโลกนี้ จะมีคำไหนที่มันมากกว่ารัก
จะได้ย้ำให้เธอเข้าใจ ว่าฉันคนนี้รู้สึกดีแค่ไหน
หมดหัวใจ จะมีไว้เพื่อมีเพียงแต่เธอ

เธอคือเพลงรัก ที่ฉันจะฟังก่อนนอนทุกครั้ง
เธอคือความฝันดีในราตรีที่ยาวนาน
เธอคือวันนี้ พรุ่งนี้และทุกๆ วันของฉัน
คือคนสุดท้ายที่ใจของฉันจะหยุดไว้

เธอคือทุกฤดูที่ฉันคอยจะได้พบ
คนเดียวที่หัวใจเฝ้ารอ

ในโลกนี้ จะมีคำไหนที่มันมากกว่ารัก
จะได้ย้ำให้เธอเข้าใจ ว่าฉันคนนี้รู้สึกดีแค่ไหน
หมดหัวใจ จะมีไว้เพื่อมีเพียงแต่เธอ

ในโลกนี้ จะมีคำไหนที่มันมากกว่ารัก
จะได้ย้ำให้เธอเข้าใจ ว่าฉันคนนี้รู้สึกดีแค่ไหน
หมดหัวใจ จะมีไว้เพื่อมี

ในโลกนี้ (ในโลกนี้)
จะมีคำไหนที่มันมากกว่ารัก (คงไม่มีคำไหน)
จะได้ย้ำให้เธอมั่นใจ
ว่าฉันคนนี้ รักเธอมากแค่ไหน
หมดหัวใจ จะมีไว้เพื่อมีเพียงแต่เธอ",mew_suppasit
