song_name,href,lyric,artist
ก่อนลา,/music/thailyric/15410,"ก่อนจะต้องลา
ทำไมต้องมีน้ำตา
ทำไมต้องยอม
ให้เธอกอดก่อนร่ำลา
หากว่าไม่ยอม
แล้วเธอจะกอดไหมนะ
ก่อนจะต้องลา

เธอจะกอดฉันไหม
เธอจะมองมาไหม
เธอจะดึงฉันไปกอด
อย่างที่เคย ได้หรือเปล่า

เธอจะปลอบฉันไหม
ถ้าไม่ทิ้งได้ไหม
หากว่าเรานั้น อยู่ด้วยกันต่อไป
ได้หรือเปล่า

เธอจะกอดฉันไหม
เธอจะมองมาไหม
เธอจะดึงฉันไปกอด
อย่างที่เคย ได้หรือเปล่า

เธอจะปลอบฉันไหม
ถ้าไม่ทิ้งได้ไหม
หากว่าเรานั้น อยู่ด้วยกันต่อไป
ได้หรือเปล่า",meyou
พอจะรู้,/music/thailyric/13779,"ผ่านมานานแล้ว
เรื่องราวในวันนั้น
ที่เธอและฉันนั่งมองหน้ากัน
ในค่ำคืน ที่มีดวงดาวอยู่เต็มฟ้า
เธอรู้ไหมฉันภาวนา
วอนท้องฟ้าดวงจันทราดูแลเธอ

ผ่านมานานแล้ว ที่เราไม่ได้เจอ
เธอไปเจอกับคนๆ นั้นที่ดีกว่า
แล้วฉันควรต้องทำอย่างไร
ยังคงรักเธอหมดทั้งใจ
อยากวอนให้เธอ กลับมาได้ไหม

ก็พอจะรู้ เป็นไปไม่ได้
ก็พอจะรู้ ว่าฉันไม่มีความหมาย
แม้ต้องทรมานอีกสักเท่าไร
แต่ฉันก็ยังคงภาวนาต่อไป
ขอแค่เพียงเธอมาเข้าใจกันสักครั้ง

ผ่านมานานแล้ว ที่เรานั้นไม่ได้เจอ
แต่ฉันก็ยังคงคิดถึงเธอ
แม้ว่าตอนนี้เธอไปไหนแต่ในใจ
ก็ ยังคิดถึงแค่เธอ
ไม่ว่าจะเช้าหรือก่อนสาย
ก็ยังคงนั่งใจหาย เพราะไม่มีเธอ
อยู่ตรงนี้ อีกแล้ว

ก็พอจะรู้ เป็นไปไม่ได้
ก็พอจะรู้ ว่าฉันไม่มีความหมาย
แม้ต้องทรมานอีกสักเท่าไร
แต่ฉันก็ยังคงภาวนาต่อไป
ฉันขอแค่เพียงเธอมาเข้าใจกันสักครั้ง

แต่ก็พอจะรู้ เป็นไปไม่ได้
และก็พอจะรู้ ว่าฉันไม่มีความหมาย
แม้ต้องทรมานอีกสักเท่าไร
และแม้ว่าฉันต้องทรมานอีกสักแค่ไหน
ฉันขอแค่เพียงเธอมาเข้าใจกันสักครั้ง",meyou
อีกแล้ว,/music/thailyric/13956,"ฉันนั่งมองแต่เธอ รู้สึกว่าฉันนั้นเหมือนได้เจอ
กับความรัก ที่ตามหา ฉันนั่งคิดทีไร
ยังแอบอิจฉาตัวเองเรื่อยไป ที่ได้เจอ เธอคนนี้

ฟ้าประทานให้ได้เจอ ฝันบันดาลให้เจอเธอก่อน
ก่อนที่ฉันจะจางหายไป
ฟ้านำพาให้เจอกัน รักของเราชั่วนิรันดร์
ฉันรัก เธอมากขึ้นทุกวัน

เหมือนเธอนั้นเป็นเช่นดอกไม้
สวยงามเกินกว่าใครคนไหน
ขอเดินจูงมือจะได้ไหม หัวใจฉันคง ไม่หยุดยิ้ม
นั่งมองทุกทียังน่ารัก เหมือนครั้งแรกที่เราพบกัน
ยังคงน่ารักเช่นวันนั้น ฉันตกหลุมรักเธออีกแล้ว

จะมองทางซ้ายทางขวา เธอไม่ได้สวย
ที่โบท็อกซ์ ฉันโคตรอบอุ่นกาย
มือนั้นที่เธอนั้นโอบกอด นึกย้อนถึงตอนที่จีบกัน
นั้นยากกว่าข้อสอบ ฉันเป็นดั่งเหมือนกับคำถาม
ส่วนเธอนี้แหละคือคำตอบ ถ้าฉันเป็นกรรมการ
ตัดสิน Miss Universe 3 ผ่าน
เชิญรับมงกุฎเลย Perfect Oh My Love
เธอเชื่อในพรมลิขิตไหม ที่เรานั้นเจอกัน
ก็เหมือนดวงจันทร์ดวงเดียว ที่เรายังมองมัน
ต่อให้ฤดูร้อนยันใบไม้ผลิบาน
ความรักสีชมพู Colorful ไม่เจือจาง
ถึงรูปคู่อาจเก่า ฝุ่นเกาะแบบบางๆ
แต่ในวันนี้ รักคุณอีกแล้ว

ฟ้าประทานให้ได้เจอ ฝันบันดาลให้เจอเธอก่อน
ก่อนที่ฉันจะจางหายไป
ฟ้านำพาให้เจอกัน รักของเราชั่วนิรันดร์
ฉันรัก เธอมากขึ้นทุกวัน

เหมือนเธอนั้นเป็นเช่นดอกไม้
สวยงามเกินกว่าใครคนไหน
ขอเดินจูงมือจะได้ไหม หัวใจฉันคง ไม่หยุดยิ้ม
นั่งมองทุกทียังน่ารัก เหมือนครั้งแรกที่เราพบกัน
ยังคงน่ารักเช่นวันนั้น ฉันตกหลุมรักเธออีกแล้ว",meyou
December,/music/thailyric/19799,"กำลังจะเช้าของวันแห่งเดือนเหน็บหนาว
เดือนนี้เขาว่ามันคือหน้าหนาว
และฉันยังไม่มีใคร
ก็รู้ต้องอยู่คนเดียวเรื่อยไป

นอนฝันถึงเธอ ในคืนเหน็บหนาว
ตอนนี้เธอไปไหน ในวันที่หนาว
หิมะโปรยปรายในความฝัน
แม้ว่าเธอไม่ได้อยู่กับฉัน

แค่มีเธอไว้ โอบกอดฉัน
แค่ในความฝัน ก็ดีเท่าไร
หากความฝัน เปลี่ยนเป็นความจริง
ฉันคงสุขหัวใจ แม้ว่ามันจะเป็นไปไม่ได้

แค่มีเธอไว้ โอบกอดฉัน
แค่ในความฝัน ก็ดีเท่าไร
หากความฝัน เปลี่ยนเป็นความจริง
ฉันคงสุขหัวใจ แม้

จะมีเธอไว้ โอบกอดฉัน
แค่ในความฝัน ก็ดีเท่าไร
หากความฝัน เปลี่ยนเป็นความจริง
ฉันคงสุขหัวใจ แม้ว่ามันจะเป็นไปไม่ได้

แม้ว่ามันจะเป็นไปไม่ได้
แม้ว่ามันจะเป็นไปไม่ได้",meyou
Girls,/music/thailyric/22524,"I don't wanna a girl like this
A girl that one day turns to a bitch
A girl that one day kill me with this
Fake lies

And I don't wanna hurt no more
I'm sayin' this cause I just wanna make sure
You got me feelin' down but there'll be no more
Fake lies

I don't need a girl like you
และต่อจากนี้คงไม่รักใครอีกแล้วกู
Cause I don't wanna hurt no more แบบ Round two
That's why that's why

บอกเลยฉันคิดว่าเราต้องอยู่ด้วยกัน
Okay well that's fine
และในความเป็นจริงคงจะเป็นไปไม่ได้
เดี่๋ยวพาไปนอนดีกว่า
ถ้ามีน้ำตาขึ้นมาเมื่อไร ให้พาไปนอนดีกว่า

I don't wanna a girl like this
A girl that one day turns to a bitch
A girl that one day kill me with this
Fake lies

And I don't wanna hurt no more
I'm sayin' this cause I just wanna make sure
You got me feelin' down but there'll be no more
Fake lies

So baby I'm Gon' be around your home tonight
And baby girl you know I'll make you mine
Cause you're the one for me
That's what all I need

The reason is that I just wanna make sure
That after this it ain't be no more (yeah)
เดี่่ยวพาไปนอนดีกว่า
ถ้ามีน้ำตาขึ้นมาเมื่อไร ให้พาไปนอนดีกว่า

I don't wanna a girl like this
A girl that one day turns to a bitch
A girl that one day kill me with this
Fake lies

And I don't wanna hurt no more
I'm sayin' this cause I just wanna make sure
You got me feelin' down but there'll be no more
Fake lies

I don't wanna a girl like this
A girl that one day turns to a bitch
A girl that one day kill me with this
Fake lies

And I don't wanna hurt no more
I'm sayin' this cause I just wanna make sure
You got me feelin' down but there'll be no more
Fake lies (yeah)",meyou
No Makeup,/music/thailyric/18112,"เธอไม่ต้องกลัวไปหรอกที่รัก
เพราะเธอน่ารักอยู่แล้ว
เธอไม่ต้องคิดอะไรให้มากนัก

เธอไม่ต้องกังวลหรอกที่รัก
เพราะเธอนั้นสวยอยู่แล้ว
โธ่ที่รักอย่าไปคิดกับอะไร
ให้มันมากนักเลย

Baby ที่เธอสวย
ไม่ใช่เพราะเครื่องสำอางหรอก
ทุกๆ การกระทำ ต่างหากทำเธอน่ารัก
เพียงแค่เธอนั้นยิ้ม ก็พอแล้ว
แค่นั้นก็ทำให้ฉันแทบละลาย ไปกับเธอ

เธอไม่ต้องกลัวไปหรอกที่รัก
เธอ Hot as fuck อยู่แล้ว
เธออย่าไปคิดอะไรให้มากมาย

เธอไม่ต้องกังวลหรอกที่รัก
เพราะเธอนั้นสวยอยู่แล้ว
โธ่ที่รักอย่าไปคิดกับอะไร
ให้มันต้องวุ่นวาย

Baby ที่เธอสวย
ไม่ใช่เพราะเครื่องสำอางหรอก
ทุกๆ การกระทำ ต่างหากทำเธอน่ารัก
เพียงแค่เธอนั้นยิ้ม ก็พอแล้ว
แค่นั้นก็ทำให้ฉันแทบละลาย ไปกับเธอ

I think your face
When you wake up มันสวยที่สุด
I think your face
With No Makeup มันดีที่สุด
ไม่มากเกินไปกำลังพอดี
เพราะทุกๆ รอยยิ้มที่เธอมี
ทำฉันละลาย when you look in my eyes
มันรู้ได้เลยว่าฉันคงหยุด ที่เธอ

เพราะเธอเป็นคนที่ฉันอยาก จุด จุด จุด
และมีแค่เธอกับฉัน
เพราะฉะนั้นต้องไปให้สุด
ก็เพราะฉันรู้ว่าใต้เครื่องสำอางเหล่านั้น
มันอยู่ที่ใจและการกระทำ
และไม่มีใครรู้เท่าฉัน For sure
For sure man

(จริงๆ ไม่ต้องแต่งหน้าก็ได้นะ)
(แค่นี้ก็ Hot จะแย่อยู่แล้ว)

Baby ที่เธอสวย
ไม่ใช่เพราะเครื่องสำอางหรอก
ทุกๆ การกระทำ ต่างหากทำเธอน่ารัก
เพียงแค่เธอนั้นยิ้ม ก็พอแล้ว
แค่นั้นก็ทำให้ฉันแทบละลาย ไปกับเธอ

Baby ที่เธอสวย
ไม่ใช่เพราะเครื่องสำอางหรอก
ทุกๆ การกระทำ ต่างหากทำเธอน่ารัก
เพียงแค่เธอนั้นยิ้ม ก็พอแล้ว
แค่นั้นก็ทำให้ฉันแทบละลาย ไปกับเธอ

Baby ที่เธอสวย
ทุกๆ การกระทำ
เพียงแค่เธอนั้นยิ้ม
แค่นั้นก็ทำให้ฉันแทบละลาย ไปกับเธอ",meyou
Pillow,/music/thailyric/22347,"Baby just hold my hand
I'll take you to a place that I know
Hope you don't have no plans
Cause I need to show you

A little moonlight romance
I got your bedroom service
Let me be your Pillow
Just lay on me tonight

I could be your pillow
I could be your pillow

I think it's lovely when you smile
And you do the things that you do
I think the way you spell your name
With a heart in your I's is super cute
I think with you I can not lose,
Girl you're too good to be true

Kay now love me love me love me
If you tired then lay on me
And your scent is so lovely
It like it places a trance on me

And now I'm hypnotized by your eyes
I'm always true to you never lie
I'm always real with you
Never need a disguise no no

Baby just hold my hand
I'll take you to a place that I know
Hope you don't have no plans
Cause I need to show you

A little moonlight romance
I got your bedroom service
Let me be your pillow
Just lay on me tonight

I could be your pillow
I could be your pillow

I say pillow talkin' until 2 (til 2)
Tell me baby girl what you wanna do (wanna do)
I got this top down in this Mercedes' coupe
That means I took off the roof
Like how I lose my mind around you

Yeah oh
It's the things that you do that
I can't find in somebody new
Baby you're the only one I'm seeing
And I can't complain about the view

Baby just hold my hand
I'll take you to a place that I know
Hope you don't have no plans
Cause I need to show you

A little moonlight romance
I got your bedroom service
Let me be your pillow
Just lay on me tonight

I could be your pillow
I could be your pillow
I could be your pillow
I could be your pillow",meyou
กำลังเหงา (In Other Words),/music/thailyric/16639,"อาจเป็นเพราะดวงดาวหมู่นั้น
ที่ทำให้ฉันคิดถึงเธอในตอนนี้
อาจเป็นเพราะกำลังหนาว
อาจเพราะดาวทุกดวงยังส่องมาที่ฉัน
ในค่ำคืนที่เธอนั้นหายไป

อยากกอดเธออีกสักครั้งจัง
อยากบอกเธอว่าคิดถึงจัง
ยังคงอยากมีเธอข้างๆ กัน
ที่เดิมก่อนหลับตาฝัน

อยากคุยกับเธออีกครั้งจัง
อยากจูบเธออีกสักครั้งจัง
อยากได้ยินเธอบอกว่ารักกัน
อย่างที่เธอเคยได้บอกฉัน
ในวันนั้น

And then I say
ในคืนที่ดาวมันเต็มฟ้า
ที่เคยมีเธออยู่ข้างๆ ฉัน
ยังจำได้ดีอย่างกับเมื่อวาน
ทุกๆ ครั้งที่เธอคอยห้ามฉัน

ให้เลิกทำเรื่องไม่ดี เป็นผู้เป็นคนสักที
เรื่องร้ายเรื่องดี ทุกครั้งทุกที ทุกอย่างที่มี
ก็ยังมีเธออยู่ข้างๆ ฉัน แต่มันคงเป็นเรื่องของอดีต
ไม่จำเป็นต้องพูดถึงมันอีก
Even though that's the
Only thing I ever need
Even though every god damn night
I still see you in my sleep yea

แต่มันเป็นแค่ความคิด
ที่ลอยมาเมื่อใจมันไม่ห้ามฉัน
แม้ข้างๆ จะไม่มีเธอ
แต่ไม่มีกฎข้อไหนที่บอกว่าห้ามฝัน

อาจเป็นเพราะดวงดาวหมู่นั้น
ที่ทำให้ฉันคิดถึงเธอในตอนนี้
อาจเป็นเพราะกำลังหนาว
อาจเพราะดาวทุกดวงยังส่องมาที่ฉัน
ในค่ำคืนที่เธอนั้นหายไป

เธอหายไป มันหนาวไป
เธอหายไป มันหนาวไป
เธอหายไป เธอหายไป
มันหนาวไป เธอหายไป",meyou
ใจร้าย,/music/thailyric/13858,"ตอนคนเขาหาว่ามีแฟน ฉันมักจะหลบสายตา
ทำเป็นไม่รู้เรื่องเลย ไปฟังที่ใครพูดมา
เกิดมาก็พึ่งจะเคยได้ยิน ก็ฉันไม่รู้จริงๆ
ไอที่ไปเจอมาน่ะ  จำผิดหรือเปล่า
ตอนคนเขาถามพี่มิวน่ะเดินจูงมือใคร
น้องเขามือเจ็บ เลยมีน้ำใจช่วยถือให้
ไอเรื่องทั้งหมดก็มีเท่านั้น  ไม่มีอะไรทั้งนั้น
ทุกครั้งก็ตอบคำถามแบบเดิมๆ ทุกที

ไม่คิดจะคบใครจริงจัง เพราะไม่อยากทำร้ายใคร
และไม่ได้คิดว่าตัวเองดัง หรือว่าเป็นคนหลายใจ
ก็ฉันแค่ใจร้าย แค่ใจร้าย
ไม่คิดจะคบใครจริงจัง เพราะไม่อยากทำร้ายใคร
และไม่ได้คิดว่าตัวเองดัง หรือว่าเป็นคนหลายใจ
ก็ฉันแค่ใจร้าย แค่ใจร้าย

ฉันรู้ดี ว่าตัวเองยังดีไม่พอ
และบางทีฉันก็ยังไม่พร้อม
จะยอมรับใคร ให้เดินเข้ามาดูแลหัวใจ
ฉันรู้ดีสักวันหนึ่งฉันจะดีให้พอ
และในวันที่ฉันพร้อม  จะยอมรับใคร
มาเดินคู่กันตลอดไป

ก็ฉันไม่รู้ต้องทำอย่างไร บางทีก็พูดไม่ตรงกับใจ
หรือฉันต้องพูดให้ตรงกับใคร
หรือเพียงแค่พูดตรงๆ ออกไป เท่านั้นพอ
ทำยังไงกันดี เมื่อมันเป็นแบบนี้ คิดไม่ออกสักวิธี
เอาเป็นว่าฉันยอมโดนประณาม
แม้ใครจะว่ายังไงก็ตาม แม้ใครจะว่าเป็นอันธพาล
ก็ไม่เป็นไรฉันพร้อมจะยอมรับมัน
ไม่ได้เพิ่งจะเลว ไม่ได้เพิ่งจะร้าย
ก็คนมันเป็นอย่างนี้ตั้งนานแล้ว

ไม่คิดจะคบใครจริงจัง เพราะไม่อยากทำร้ายใคร
และไม่ได้คิดว่าตัวเองดัง หรือว่าเป็นคนหลายใจ
ก็ฉันแค่ใจร้าย แค่ใจร้าย
ไม่คิดจะคบใครจริงจัง เพราะไม่อยากทำร้ายใคร
และไม่ได้คิดว่าตัวเองดัง หรือว่าเป็นคนหลายใจ
ก็ฉันแค่ใจร้าย แค่ใจร้าย

แค่ใจร้าย แค่ใจร้าย",meyou
ถาม,/music/thailyric/21991,"อย่าไปทรมาน ติดอยู่กับกาลเวลา
คิดถึงแต่เรื่องเมื่อวาน ทั้งที่ก็ผ่านมานาน
อย่าไปทรมาน อย่าไปเปลืองน้ำตา
คิดไปก็ทรมาน คิดไปก็เปลืองน้ำตา

เพราะ ถึงยังไงเธอก็ไม่กลับมา
ปล่อยให้ฉันจมอยู่กับกาลเวลา

หากอยากถาม อยากรู้เธอนั้นเป็นเช่นไร
อยากรู้ว่าเธอสบายดีหรือเปล่า ยังอยู่ตรงนี้
และยังคิดถึงเธอคนเดียว มากเหลือเกิน

และฉันไม่รู้ว่ามันต้องทำอย่างไรในตอนนี้
ประมาณว่าไม่ได้เศร้าแค่ร้องออกมาในบางที
คล้ายๆ ว่าฉันนั้นยังคงติดอยู่เมื่อวาน
ยังคงเฝ้ารอทั้งที่เรื่องราวก็ผ่านมาตั้งนาน

และฉันไม่รู้ว่ามันต้องทำอย่างไรในตอนที่
นึกถึงเรื่องราวอดีตยังทำให้รู้สึกดี
คล้ายๆ ว่าฉันนั้นยังคงติดอยู่ที่เดิม
และในหัวใจยังไม่มีใครเข้ามาอยู่เพิ่มเติม

เพราะ ถึงยังไงเธอก็ไม่กลับมา
ปล่อยให้ฉันจมอยู่กับกาลเวลา

หากอยากถาม อยากรู้เธอนั้นเป็นเช่นไร
อยากรู้ว่าเธอสบายดีหรือเปล่า ยังอยู่ตรงนี้
และยังคิดถึงเธอคนเดียว มากเหลือเกิน

เพราะ ถึงยังไงเธอก็ไม่กลับมา
ปล่อยให้ฉันจมอยู่กับกาลเวลา

หากอยากถาม อยากรู้เธอนั้นเป็นเช่นไร
อยากรู้ว่าเธอสบายดีหรือเปล่า ยังอยู่ตรงนี้
และยังคิดถึงเธอคนเดียว มากเหลือเกิน

และหากอยากถาม
อยากรู้ว่าเธอยังรักฉันอยู่ไหมเธอ
ตอบฉันทีในตอนนี้
ยังคิดถึงฉันหรือเปล่า",meyou
