song_name,href,lyric,artist
กินกัน,/music/thailyric/12620,"ฉันหวาดระแวง
กับพฤติกรรมของเธอ
ออกบ้านบ่อยครั้งเสมอ
พักหลังดูเธอเปลี่ยนไป
แต่งตัวเนี้ยบขึ้นทุกที
จากที่ไม่ค่อยออกไปไหน
กลับบ้านทีไร
เห็นใครคนนั้นมาส่งทุกครั้งที่เมา

เธอบอกว่าเพื่อน
แต่ดูเหมือนชู้ซะมากกว่า
การกระทำที่มันฟ้องว่า
เธอลืมสัญญาระหว่างเรา
ทุกคืนที่นอนข้างกัน
ต้องทนฟังเธอเพ้อชื่อเขา
กลิ่นกายใครมัดใจให้เมา
เข้าฝันจนละเมอ

เชื่อใช่ไหมว่าทุกคราว
เพื่อนชวนกินข้าวแค่นัดเจอ
ไม่มีอะไรจริงหรือเธอ
แล้วที่ฉันตามไปเจอนั้นคือ

เต็มๆ สองตา
ทุกท่วงท่าของเธอกับเขา
อาหารอร่อยไม่เบาสินะ
ที่เขาป้อนเธอกับมือ
ลีลาเร่าร้อนปานนั้น
แอบกินกันแล้วกี่มื้อ
ของคาวค้างคืนนะหรือ
ที่เขาป้อนให้เธอ

อร่อยใช่ไหม
ไม่ต้องรีบกินให้อิ่ม
ล่อใจใครก็อยากชิม
ลองลิ้มเลยตามใจเธอ
เชิญซดกันต่อเต็มที่
หิวโหยล่ะซิไม่เคยพบเจอ
อย่าเสียเวลาแก้ตัวเลยเธอ
กินกันให้อิ่ม

ต้องเชื่อใช่ไหมว่าทุกคราว
เพื่อนชวนกินข้าวแค่นัดเจอ
ไม่มีอะไรจริงหรือเธอ
แล้วที่ฉันตามไปเจอนั้นคือ

เต็มๆ สองตา
ทุกท่วงท่าของเธอกับเขา
อาหารอร่อยไม่เบาสินะ
ที่เขาป้อนเธอกับมือ
ลีลาเร่าร้อนปานนั้น
แอบกินกันแล้วกี่มื้อ
ของคาวค้างคืนนะหรือ
ที่เขาป้อนให้เธอ

เต็มๆ สองตา
ทุกท่วงท่าของเธอกับเขา
อาหารอร่อยไม่เบาสินะ
ที่เขาป้อนเธอกับมือ
ลีลาเร่าร้อนปานนั้น
แอบกินกันแล้วกี่มื้อ
ของคาวค้างคืนนะหรือ
ที่เขาป้อนให้เธอ

อย่าเสียเวลาแก้ตัวเลยเธอ
ฮู้ กินกันให้อิ่ม",mintra_nanchao
แก้วหน้าม้า (ต้องสวยแค่ไหน),/music/thailyric/13677,"ต้องสวยแค่ไหน ต้องดีเท่าไร
ตอบหน่อยเธอถึงจะรัก เธออายใช่ไหมที่เธอมีฉัน
อยู่เคียงเป็นคู่ชีวิต ก็เพราะฉันรักเธอ
แต่เธอกลับมองว่าผิด รังเกียจทุกอย่างที่เป็นฉัน

ใบหน้าเหมือนม้าแสนอัปลักษณ์
ฟันเหยินดั้งหักและก็ผมหยิก ทำดีเท่าไร
เธอก็ไม่คิดจะมีหัวใจให้กัน
เขาพระสุเมรุยกมาประเคน เพื่อเธอทำได้ทั้งนั้น
ตามความต้องการจนพอใจ
เอิงเออ เอิงเออ เอิงเอย
พระปิ่นทองเอ๋ยไฉนเลยให้ข้าอุ้มท้อง
ร่วมเรียงเคียงหมอนนอนฝันเท่านั้นก็ยังไกล
มิได้ตามนั้นต้องโดนโทษทัณฑ์ประหารชีพวางวาย
จำใจถอดรูปม้ากลายเป็นนางมณีรัตนา
พี่หลงรูปกายร่วมอยู่กิน พูดพร่ำติฉินแก้วหน้าม้า
มิอาจเทียบ มณีรัตนา ยิ่งช้ำอุราเมื่อได้ฟัง

ฉันต้องสวยแค่ไหน จึงจะได้ใจเธอ
ให้เธอไปเท่าไร แต่สุดท้ายก็ใจพัง
หวังแค่เพียงได้เป็นคนในสายตาเธอสักครั้ง
รู้ว่าไม่มีวัน จะได้อยู่ในหัวใจ

ต้องช้ำแค่ไหน ไม่เคยอยู่ในสายตา
แต่ช้ำยิ่งกว่า เธอตัดสินแค่เพียงรูปกาย
บังคับไม่ได้ ทำใจ รักไป เจ็บไป โง่ไป

ฉันต้องสวยแค่ไหน จึงจะได้ใจเธอ
ให้เธอไปเท่าไร แต่สุดท้ายก็ใจพัง
หวังแค่เพียงได้เป็นคนในสายตาเธอสักครั้ง
รู้ว่าไม่มีวัน จะได้อยู่ในหัวใจ

ต้องช้ำแค่ไหน ไม่เคยอยู่ในสายตา
แต่ช้ำยิ่งกว่า เธอตัดสินแค่เพียงรูปกาย
บังคับไม่ได้ ทำใจ รักไป เจ็บไป โง่ไป",mintra_nanchao
คั่นย้อนเวลาไปได้,/music/thailyric/14207,"เกลียดใจตัวเอง ที่ยังคิดฮอดแต่เขา
หลบมุมนั่งเหงาเศร้าใจ บ่ให้ผู้ใด๋เห็น
ย่านความเป็นจริงสิเปิดเผย
ว่ายังฮักเขานั้นคือประเด็น
ที่ชัดเจน เพราะใจเฮาบ่มีสิทธิ์

เขาฮักกันอยู่ เขาแพงกันหลาย กะฮู้อยู่ดอก
เฮาเป็นฝ่ายเดินออก จากเขาโดยบ่คิด
บ่มีสิทธิ์เรียกร้องอีหยัง มันพังเพราะเฮาเป็นคนผิด
จนเป็นแผลคอยสะกิด บ่กล้าสู้หน้าผู้ใด๋

คั่นย้อนเวลาไปได้ สิเฮ็ดโตใหม่ให้ดีกว่านี้
ทุกวินาที รักษาให้ดีประคองเอาไว้
คั่นย้อนไปได้อิหลี สิบ่มีคำว่าเสียใจ
บ่จากไป สิกอดฮักเฮาไว้ให้โดน

เกลียดใจตัวเอง ที่มาฮู้โตเมื่อสาย
ฮักเขาแต่เผลอทำลาย บ่มีคำปลอบโยน
เสือกไสให้เขาไปมีใหม่ แป้ตายบ่มีไผหลูโตน
อยากตะโกน ดังๆ ซังใจเจ้าของ

คั่นย้อนเวลาไปได้ สิเฮ็ดโตใหม่ให้ดีกว่านี้
ทุกวินาที รักษาให้ดีประคองเอาไว้
คั่นย้อนไปได้อิหลี สิบ่มีคำว่าเสียใจ
บ่จากไป สิกอดฮักเฮาไว้ให้โดน

คั่นย้อนเวลาไปได้ สิเฮ็ดโตใหม่ให้ดีกว่านี้
ทุกวินาที รักษาให้ดีประคองเอาไว้
คั่นย้อนไปได้อิหลี สิบ่มีคำว่าเสียใจ
บ่จากไป ฮือ สิกอดฮักเฮาไว้ให้โดน

อยากตะโกน ดังๆ ซังใจเจ้าของ",mintra_nanchao
คายทิ้ง,/music/thailyric/13383,"เก็บอาการเธอหน่อยได้ไหม
อยากจะไปกับเขาจนตัวสั่น
ใจจะลอยไปไหน ทั้งที่จับมือกับฉัน
ช่วยระงับมันบ้างได้ไหม
มดมันจะขึ้นตาเธอแล้ว
มันคงเห็นเป็นน้ำตาลหวานล่อใจ

นับวันยิ่งลดลงไป รักที่ให้ฉัน
หมดความหวานแล้วเธอคงคายทิ้ง
เธอทำให้เห็นความจริง
ฉันเป็นได้แค่ทางผ่านใช่ไหม

ก่อนกลายเป็นซากรักเก่า
ที่เธอคายทิ้งข้างทาง
ก่อนที่ทุกๆ อย่างจะพังจนหมดไป
ช่วยบอกว่ารักสักคำ
และมองตาฉันได้ไหม
ช่วยพูดให้เชื่อใจ
ว่าฉันนั้นแค่คิดไปเอง

นับวันยิ่งลดลงไป รักที่ให้ฉัน
หมดความหวานแล้วเธอคงคายทิ้ง

เธอทำให้เห็นความจริง
ฉันเป็นได้แค่ทางผ่านใช่ไหม

ก่อนกลายเป็นซากรักเก่า
ที่เธอคายทิ้งข้างทาง
ก่อนที่ทุกๆ อย่างจะพังจนหมดไป
ช่วยบอกว่ารักสักคำ
และมองตาฉันได้ไหม
ช่วยพูดให้เชื่อใจ
ว่าฉันนั้นแค่คิดไปเอง

ก่อนกลายเป็นซากรักเก่า
ที่เธอคายทิ้งข้างทาง
ก่อนที่ทุกๆ อย่างจะพังจนหมดไป
ช่วยบอกว่ารักสักคำ
และมองตาฉันได้ไหม
ช่วยพูดให้เชื่อใจ
ว่าฉันนั้นแค่คิดไปเอง

ช่วยพูดให้เชื่อใจ
ว่าฉันนั้นแค่คิดไปเอง",mintra_nanchao
เคยรักหมาตัวไหนจริงบ้าง,/music/thailyric/12105,"เหมือนหมาตัวหนึ่ง ที่ใครก็มองไร้ค่า
แค่อ้ายบังเอิญผ่านมา หยิบยื่นข้าวปลาให้กิน
แวะเวียนมาหามาลูบหัว หยอกล้อเล่นกันจนชิน
หมามันผูกพัน และคิดเกินไปไกล

หมาน้อยตัวนั้น ก็คือข้าเจ้า
อ้ายคอยแวะเวียน จนได้ใจ
แต่บ่เมินเต้าได อ้ายก็หาย ไปควงคนใหม่
จุ๊หื้อข้าเจ้ากอย

ถ้าอ้ายบ่คิดที่จะจริงใจ ปล่อยข้าเจ้าไปขอร้องสักครั้ง
คิดว่าสงสารหมาตาดำดำ อย่าจุ๊ขึ้นดอย
ใส่ปลอกคอไว้หมายเป็นเจ้าของ คิดว่าเขาจองชื่นใจหมาน้อย
จุ๊หื้อเฮาตามต้อยๆ แต่สุดท้ายก็ปล่อยข้างทาง

แค่หมาตัวหนึ่ง ในสายตาของอ้าย
จงรักภักดีหื้อตาย คงได้แค่ความอ้างว้าง
ตอบแทนความสัตย์ ความซื่อ ของเจ้าหมาน้อยริมทาง
เคยรักหมาตัวไหนจริงบ้าง มีไหมในหัวใจ

ถ้าอ้ายบ่คิดที่จะจริงใจ ปล่อยข้าเจ้าไปขอร้องสักครั้ง
คิดว่าสงสารหมาตาดำดำ อย่าจุ๊ขึ้นดอย
ใส่ปลอกคอไว้หมายเป็นเจ้าของ คิดว่าเขาจองชื่นใจหมาน้อย
จุ๊หื้อเฮาตามต้อยๆ แต่สุดท้ายก็ปล่อยข้างทาง

ถ้าอ้ายบ่คิดที่จะจริงใจ ปล่อยข้าเจ้าไปขอร้องสักครั้ง
คิดว่าสงสารหมาตาดำดำ อย่าจุ๊ขึ้นดอย
ใส่ปลอกคอไว้หมายเป็นเจ้าของ คิดว่าเขาจองชื่นใจหมาน้อย
จุ๊หื้อเฮาตามต้อยๆ แต่สุดท้ายก็ปล่อยข้างทาง

ใส่ปลอกคอไว้หมายเป็นเจ้าของ คิดว่าเขาจองชื่นใจหมาน้อย
จุ๊หื้อเฮาตามต้อยๆ แต่สุดท้ายก็ปล่อยข้างทาง",mintra_nanchao
เจ้าแม้นเมือง รากนครา (กำแปงฮัก),/music/thailyric/13279,"ถึงบ่เกยบอกฮัก
บ่ใจ่ข้าเจ้าบ่มีหัวใจ๋
ฮักเขาเต้าใดกะ
ต้องเก็บซ่อนไว้ในแววต๋า
เขามีคนในใจ๋
เฮาฮับฮู้ได้ตลอดเวลา
กำกึดกำจา
เขาสองคนเปิงกั๋นกู่อย่าง

ฮักบ้านฮักเมืองเต้าใด
ใจ๋กะฮักปี้จายเต้านั้น
แม้ตั๋วอยูใกล้กั๋น
แต่กำนั้นช่างเลือนลาง

กำว่าฮักระหว่างเฮา
เหมือนมีกำแปงกั้นเอาไว้
บ่ฮู้จะข้ามจะใด
กะกำกึดสองเฮามันสวนตาง
แต่กะพร้อมต๋ายแทนได้
เปื่อปี้จายสละได้กู่อย่าง
จะได้จบเรื่องราวบาดหมาง
เอาเลือดก๋ายจ๊ดใจ้หื้อแผ่นดิน

ถึงบ่เกยได้ยิน
กำว่าฮักแม้สักกำหนึ่ง
แต่กะพึงปอใจ๋
ตี้ได้เคียงข้างก๋ายฮ่วมอยู่กิ๋น
ชมพูป่ากลีบบาง
ฮ่วงโฮยตวยตางจนหมดสิ้น
ย่อยสลายไปกับดิน
พร้อมกำว่าเปิ้นฮักตั๋ว หมดหัวใจ๋

ฮักบ้านฮักเมืองเต้าใด
ใจ๋กะฮักปี้จายเต้านั้น
แม้ตั๋วอยูใกล้กั๋น
แต่กำนั้นช่างเลือนลาง

กำว่าฮักระหว่างเฮา
เหมือนมีกำแปงกั้นเอาไว้
บ่ฮู้จะข้ามจะใด
กะกำกึดสองเฮามันสวนตาง
แต่กะพร้อมต๋ายแทนได้
เปื่อปี้จายสละได้กู่อย่าง
จะได้จบเรื่องราวบาดหมาง
เอาเลือดก๋ายจ๊ดใจ้หื้อแผ่นดิน

ไค่อู้หื้อได้ยิน
ว่าเปิ้นฮักตั๋วหมดหัวใจ๋
แต่มันคงสายเกิ๋นไป
ตี้จะบอกว่า เปิ้นฮักตั๋ว
หมดหัวใจ๋",mintra_nanchao
ใจไม่จำ,/music/thailyric/13809,"เพราะใจไม่จำ จึงเจ็บซ้ำๆ กับเรื่องเดิม
รักที่เราเริ่ม สุดท้ายต้องจบด้วยน้ำตา
เคยคิดปิดใจ จะไม่รักใครตลอดมา
เพราะใจที่เจ็บจนชา ก็เลยไม่กล้ารักใคร

ใจที่ปิดตาย มันเปิดออกได้ก็เพราะเธอ
แต่แล้วก็ต้องมาเจอ ภาพที่บาดตาใจสลาย
มาหลอกให้รัก มาหลอกให้หลง งมงาย
สุดท้ายต้องเจ็บ อีกจนได้
ครั้งที่เท่าไรแล้ว ใจไม่จำ

รู้ว่าเจ็บ ก็ยังไม่เข็ดที่จะรัก
ช้ำมามากนัก เมื่อเขาหมดรักเลยเจ็บซ้ำๆ
รักแท้ที่เธอว่าแน่ ก็กลับคำ
แผลยังไม่หาย กลับโดนย้ำ
ขอให้ต้องช้ำ เป็นครั้งสุดท้าย

เพราะใจไม่จำ ต้องเจ็บซ้ำๆ ก็ไม่เจียม
ได้รับแผลมาจนเปี่ยม หัวใจที่มันใกล้ตาย
แค่เพียงอยากพบ รักแท้ครั้งสุดท้าย
ถึงใจจะแตกสลาย จะไม่เสียดายชีวิตเลย

รู้ว่าเจ็บ ก็ยังไม่เข็ดที่จะรัก
ช้ำมามากนัก เมื่อเขาหมดรักเลยเจ็บซ้ำๆ
รักแท้ที่เธอว่าแน่ ก็กลับคำ
แผลยังไม่หาย กลับโดนย้ำ
ขอให้ต้องช้ำ เป็นครั้งสุดท้าย

เพราะใจไม่จำ ต้องเจ็บซ้ำๆ ก็ไม่เจียม
ได้รับแผลมาจนเปี่ยม หัวใจที่มันใกล้ตาย
แค่เพียงอยากพบ รักแท้ครั้งสุดท้าย
ถึงใจจะแตกสลาย จะไม่เสียดายชีวิตเลย",mintra_nanchao
ดอกเดียวก็ตาย,/music/thailyric/12605,"ฉันกลายเป็นเหยื่อ เหยื่อที่รักจริง
ตกเป็นเป้านิ่งของเธอ ตลอดมา
ไม่ให้ใจใครคงเป็นวิสัยนักล่า
ไม่เคยเห็นใจผู้ใด

อาจเป็นเพราะ ฉันเองที่อ่อนแอ
ก็เพียงแค่ อยากมีเธอเรื่อยไป
หนึ่งคำรัก ที่เธอเคยบอกกันยังฝังใจ
แต่วันนี้เหมือนโดนฆ่าตาย
ด้วยหนึ่งคำลา ฮา...

ที่ผ่านมาเธอคงเลี้ยงไข้
จึงโดนจุดไม่สำคัญ
ยังไกลหัวใจของฉัน
เธอเพียงยื้อเวลา
เหมือนโดนธนูยิงซ้ำๆ
ฆ่าฉันเลยดีกว่า
แค่เล็งมาที่หัวใจ ดอกเดียวก็ตาย

หัวใจของเหยื่อ เหยื่อที่รักเธอ
มันพร้อมจะพลีเพื่อเธอ
จนวันสุดท้าย
ขอถามสักคำ
ได้ไหมก่อนใจฉันตาย
ฉันเป็นแต้มที่เท่าไรของเธอ

อาจเป็นเพราะ ฉันเองที่อ่อนแอ
ก็เพียงแค่ อยากมีเธอเรื่อยไป
หนึ่งคำรัก ที่เธอเคยบอกกันยังฝังใจ
แต่วันนี้เหมือนโดนฆ่าตาย
ด้วยหนึ่งคำลา ฮา...

ที่ผ่านมาเธอคงเลี้ยงไข้
จึงโดนจุดไม่สำคัญ
ยังไกลหัวใจของฉัน
เธอเพียงยื้อเวลา
เหมือนโดนธนูยิงซ้ำๆ
ฆ่าฉันเลยดีกว่า
แค่เล็งมาที่หัวใจ ดอกเดียวก็ตาย

ที่ผ่านมาเธอคงเลี้ยงไข้
จึงโดนจุดไม่สำคัญ
ยังไกลหัวใจของฉัน
เธอเพียงยื้อเวลา
เหมือนโดนธนูยิงซ้ำๆ
ฆ่าฉันเลยดีกว่า
แค่เล็งมาที่หัวใจ ดอกเดียวก็ตาย",mintra_nanchao
ได้แค่คิดถึง,/music/thailyric/12684,"กอดนั้น ที่ฉันเคยสัมผัส
กอดนั้น ฉันยังจำได้ดี

กอดนั้น อุ่นแค่ไหน
ยังคงซึ้งถึงใจดวงนี้
กอดนั้น ที่ฉันเคยมี
วันนี้ไม่มีอีกแล้ว

มือนั้น ที่เคยกุมกันไว้
มือนั้น ปล่อยฉันตอนไหนไม่เห็นวี่แวว

มือนั้น ที่กุมเธอไว้
ตอนนี้ไม่ใช่ฉันอีกแล้ว
มือนั้น มันเหลือแค่ลมแผ่วๆ
ที่ฉันกุมเอาไว้

หมดแล้วคงเหลือ
เพียงความผูกพัน
เคยจูบฉัน บอกรักฉัน
คอยกอดฉัน
จับมือฉัน วันนี้เป็นของใคร

คิดถึง ฉันยังคิดถึง
ทุกเวลา ที่ยังมีลมหายใจ
คิดถึง แต่คงไม่ถึงใจเธอใช่ไหม
อยากจะขอร้องเธออย่าไป
แม้อยากย้อนเวลาแค่ไหน
ก็ไม่กลับมา

ทุกความทรงจำระหว่างเรา
ยังลึกซึ้งในหัวใจ
ไม่มีวันไหน
ไม่มีวันไหน
ไม่มีวันไหนที่จะลืม

คิดถึง ฉันยังคิดถึง
ทุกเวลา ที่ยังมีลมหายใจ
คิดถึง แต่คงไม่ถึงใจเธอใช่ไหม
อยากจะขอร้องเธออย่าไป
แม้อยากย้อนเวลาแค่ไหน
ก็ไม่กลับมา

หมดแล้วคงเหลือ
เพียงความผูกพัน
เคยจูบฉัน บอกรักฉัน
คอยกอดฉัน
จับมือฉัน วันนี้เป็นของใคร

คิดถึง ฉันยังคิดถึง
ทุกเวลา ที่ยังมีลมหายใจ
คิดถึง แต่คงไม่ถึงใจเธอใช่ไหม
อยากจะขอร้องเธออย่าไป
แม้อยากย้อนเวลาแค่ไหน
ก็ไม่กลับมา

อยากจะขอร้องเธออย่าไป
แม้อยากย้อนเวลาแค่ไหน
ก็ไม่กลับมา",mintra_nanchao
ท้าวแสนปม (เกี้ยว) นางอุษา,/music/thailyric/16711,"หน้าตาไม่หล่อ พ่อก็ไม่รวย
ชีวิตเฮงซวย จะมีใครสนบ้างไหม
เนื้อตัวตะปุ่มตะป่ำอย่างนี้ โชคยังดีที่ยังหายใจ
ได้มาพบและสบตา นางฟ้าเช่นเธอ

แค่ เพียงได้พบสบตานวลน้องอุษาเจ้าช่างน่ารัก
กรุ้มกริ่มจิ้มลิ้มพริ้มพักตร์ พี่นั้นตกหลุมรักตั้งแต่แรกเจอ
ก็ไม่รู้จะจีบเยี่ยงไรจึงสลักมะเขือส่งไปให้เธอ
เก็บเอาไปฝันไปเพ้อ ถึงแต่หน้าเธอแม่ยอดกัลยา

ถ้ามีวาสนาต่อกันให้นวลน้องนั้นมองเห็นเนื้อใน
ทะลุไปถึงดวงใจที่พี่นี้ไซร้มีให้แก้วตา
สารรักที่พี่ส่งไปถ้าเจ้ามีใจให้รีบตอบกลับมา
อย่าให้พี่รอเก้อเลยหนา ถ้านวลน้องเมินหน้าพี่ก็คงขาดใจ

ผู้ชายเจ้าชู้ทุกคนไหม ให้ใจจะทิ้งหรือเปล่าหนา
ปากหวานๆ ก็แค่เพียงลมมีถมไป
อย่ามาล้อเล่นกับใจหญิง หากไม่รักจริงหนีให้ไกล
หากให้ใจรับปากได้ไหมจะไม่ทิ้ง

ผู้ชายเจ้าชู้ของคู่กัน สำคัญก็คือหยุดที่ใคร
ความเจ้าชู้ไม่มีความหมาย ถ้าเจอรักจริง
ไม่เคยล้อเล่นกับหัวใจ หากได้ใครรักจะไม่ทิ้ง
จากใจจริง จะมีเพียงเธอ รับปากเลย

แค่ เพียงได้พบสบตาก็เหมือนกับว่าโลกนั้นหยุดหมุน
หัวใจข้างในว้าวุ่น รู้สึกเหมือนคุ้นมาแต่ชาติปางไหน
ปุ่มป่ำก็แค่เนื้อหนังไม่อาจกีดกั้นให้เห็นเนื้อใน
น้องเขินเสียนี่กระไรพี่สลักรักไว้บนมะเขือ

คงมีวาสนาต่อกันยิ่งอ่านสารนั้นก็ยิ่งหวั่นไหว
ตอบสารผ่านห่อหมากไป พี่อ่านให้ชื่นใจเคี้ยวหมากอย่าให้เหลือ
หากรักแล้วจงอย่าหลอก พี่อย่ากลิ้งกลอกเหมือนผู้ชายพายเรือ
อย่าทิ้งน้องไว้กับกองมะเขือ หากพี่หมดรักหน้าน้องคงนองน้ำตา

ผู้ชายเจ้าชู้ทุกคนไหม ให้ใจจะทิ้งหรือเปล่าหนา
ปากหวานๆ ก็แค่เพียงลมมีถมไป
อย่ามาล้อเล่นกับใจหญิง หากไม่รักจริงหนีให้ไกล
หากให้ใจรับปากได้ไหมจะไม่ทิ้ง

ผู้ชายเจ้าชู้ของคู่กัน สำคัญก็คือหยุดที่ใคร
ความเจ้าชู้ไม่มีความหมาย ถ้าเจอรักจริง
ไม่เคยล้อเล่นกับหัวใจ หากได้ใครรักจะไม่ทิ้ง
จากใจจริง จะมีเพียงเธอ รับปากเลย

จะกี่แสนปมก็เป็นเพียง ภาพลวงตา
จะกี่แสนปมก็เป็นเพียง ภาพลวงตา",mintra_nanchao
