song_name,href,lyric,artist
เวตาล,/music/thailyric/4867,"แล้วก็คง ถึงเวลา
ทุกๆสิ่ง จะย้อนคืนมา

ฉันรู้ดี รู้ทุกอย่าง
นี้แหละนา ไม่มีทาง

แล้วมันคง ใช้เวลา
ทุกๆสิ่ง สร้างขึ้นมา

ฉันรู้ดี รู้ทุกอย่าง
นี้แหละนา ไม่มีทาง

ฉัน ทำ ทุกอย่าง
เพราะ ฉัน ต้องการ
เพราะ เรา กับทุกความ
ทน ทรมาน",moderndog
สิ่งที่ไม่เคยบอก,/music/thailyric/4868,"บางครั้ง อาจยัง ไม่รู้ เนิ่นนาน ที่ยังคงอยู่

เพราะเป็นสิ่ง ที่ไม่เคยบอก เพราะยังคง กลัวในคำตอบ
เหมือนทุกอย่าง ไม่มีทาง แม้จะทำอย่างไร

ทั้งหมดนั้น ที่ไม่เคยบอก เพราะสิ่งนั้น ยังไม่ชัดเจน
แล้ววันหนึ่ง กลายเป็นคำตอบ ว่าทุกอย่าง อาจไม่เคยพอ
เหลือเพียงสิ่ง ที่ยังรอ และมันคงห่างไกล ความเป็นจริง

เพราะเป็นสิ่ง ที่ไม่เคยบอก เพราะยังคง กลัวในคำตอบ
เหมือนทุกอย่าง ไม่มีทาง แม้จะทำอย่างไร

ทั้งหมดนั้น ที่ไม่เคยบอก เพราะสิ่งนั้น ยังไม่ชัดเจน
แล้ววันหนึ่ง กลายเป็นคำตอบ ทุกอย่างนั้น ยังไม่เคยพอ
เหลือเพียงสิ่ง ที่ยังรอ และมันคงห่างไกล ความเป็นจริง",moderndog
ติ๋ม,/music/thailyric/4859,"ไม่เคยรักใครเท่าติ๋ม
เพราะติ๋มคนเดียวที่ทำให้หวั่นไหว
มีติ๋มคนเดียวเป็นหนึ่งในดวงฤทัย
ไม่เคยรักใครรักใครเท่าติ๋มเลย

จะไม่รักใครอีกแล้ว
ชาตินี้ไม่แคล้วฉันคงจะมีแต่ติ๋ม
คิดถึงทีไรฉันดูรูปเธอแล้วยิ้ม
ก็มันรักติ๋มรักติ๋มอยู่ทุกนาที

อยากบอกเธอนัก ว่าฉันรัก ว่าฉันรัก
ว่าฉันรัก รักเพียงแต่เธอเท่านั้น
อยากบอกเธอนัก ว่าฉันรัก ว่าฉันรัก
ว่าฉันรัก รักเพียงแต่เธอคนเดียว
จะเอาอะไรกันนักเชียว จะต้องให้ย้ำบอกซ้ำซักกี่ที
รักติ๋มคนเดียวไม่เคยจะเหลียวใคร

ก็ไม่รักใครเท่าติ๋ม เพราะติ๋มคนเดียวที่ทำให้หวั่นไหว
มีติ๋มคนเดียวเป็นหนึ่งในดวงฤทัย
ไม่เคยรักใครรักใครเท่าติ๋มเลย

จะไม่รักใครอีกแล้ว
ชาตินี้ไม่แคล้วฉันคงจะมีแต่ติ๋ม
คิดถึงทีไรฉันดูรูปเธอแล้วยิ้ม
ก็มันรักติ๋มรักติ๋มอยู่ทุกนาที

อยากบอกเธอนัก ว่าฉันรัก ว่าฉันรัก
ว่าฉันรัก รักเพียงแต่เธอเท่านั้น
อยากบอกเธอนัก ว่าฉันรัก ว่าฉันรัก
ว่าฉันรัก รักเพียงแต่เธอคนเดียว
จะเอาอะไรกันนักเชียว จะต้องให้ย้ำบอกซ้ำซักกี่ที
รักติ๋มคนเดียวไม่เคยจะเหลียวใคร",moderndog
กันและกัน,/music/thailyric/4856,"วันเวลาที่ล่วงเลยไป วันที่ใจต้องชินและชา
พายุยังวนเวียนกระหน่ำเข้ามา
วันเวลาที่ต้องเป็นไป วันที่ใจนั้นเริ่มจะล้า
ที่ยังคงย้ำซ้ำเติมเราอยู่ทุกครา

ช่วงเวลา ที่แสนเหน็บหนาว
ต้องปวดร้าว เธอนั้นยังมีฉัน
ไม่อ้างว้าง ถ้าเราอยู่ข้างกัน
จำเอาไว้ในวันเวลาที่เธออ่อนล้า เรานั้นยังมีกัน

บนทางเดินที่ยังยาวไกล เพียงแค่เดินข้ามไปด้วยกัน
วันเวลาที่ต้องเหน็ดเหนื่อยเหมือนกัน
ความจริงชีวิตที่เป็นไป เพียงแค่ใจของเราเท่านั้น
ให้รู้ไว้ว่าฉันขอแค่อย่าเพิ่งท้อ

ช่วงเวลา ที่แสนเหน็บหนาว
ต้องปวดร้าว เธอนั้นยังมีฉัน
ไม่อ้างว้าง ถ้าเราอยู่ข้างกัน
จำเอาไว้ในวันเวลาที่เธออ่อนล้า เรานั้นยังมีกัน

ช่วงเวลา ที่แสนเหน็บหนาว
ต้องปวดร้าว อย่าหวั่นไหว
อีกมากมาย ถ้าเราต้องข้ามไป
จำเอาไว้ในวันเวลาที่เธออ่อนล้า
และอยู่ในช่วงเวลา ที่แสนเหน็บหนาว
ต้องปวดร้าว ยังมีเธอและฉัน
ไม่อ้างว้าง ถ้าเราอยู่ข้างกัน
จำเอาไว้ในวันเวลาที่เธออ่อนล้า เรานั้นยังมีกัน

เรานั้นยังมีกัน กันและกัน",moderndog
ตาสว่าง,/music/thailyric/4858,"ท้องฟ้าแสนจะกว้างใหญ่
หนทางยังคงยาวไกล
แล้วเธอนั้นก็เดินจากไป
เหลือเพียงเราที่ต้องห่าง
กับวันเวลาที่แสนเลือนลาง
กลับคืนมาเงียบเหงาอ้างว้างอย่างเคย

สุดท้าย เรื่องราว ว่างเปล่า (ในใจ/ต่อไป)
ต้องเจอ ต้องเป็น แล้วจะเห็น ใช่ไหม

ท้องฟ้ายังอยู่ห่างไกล แล้วตัวเธอก็จากไป สายตาพลันสว่างขึ้นมา
ฝนโปรยปรายและผ่านไป เห็นความจริงที่ผ่านมา ย้ำเตือนฉันจำเอาไว้ทุกเวลา

ถึงเวลาที่ฉันนั้นควรสงบ ใช้ปัญญาที่เหลือทบทวน ที่ผ่านมา ให้เข้าใจ

สุดท้าย เรื่องราว ว่างเปล่า (ในใจ/ต่อไป)
ต้องเจอ ต้องเป็น แล้วจะเห็น ใช่ไหม

ท้องฟ้ายังอยู่ห่างไกล แล้วตัวเธอก็จากไป สายตาพลันสว่างขึ้นมา
ฝนโปรยปรายและผ่านไป เห็นความจริงที่ผ่านมา ย้ำเตือนฉันจำเอาไว้ทุกเวลา

ที่แท้ ที่แท้ ที่แท้

สุดท้าย เรื่องราว ว่างเปล่า (ในใจ/ต่อไป)
ต้องเจอ ต้องเป็น แล้วจะเห็น ใช่ไหม

ท้องฟ้ายังอยู่ห่างไกล แล้วตัวเธอก็จากไป สายตาพลันสว่างขึ้นมา
ฝนโปรยปรายและผ่านไป เห็นความจริงที่ผ่านมา ย้ำเตือนฉันจำเอาไว้ทุกเวลา

ที่แท้ ที่แท้ ที่แท้ ที่แท้ ที่แท้",moderndog
เธอเท่านั้น,/music/thailyric/4860,"เรื่องเรา อยู่ในความทรงจำ
ความหลัง ยังไม่เคยลืมเลือน
ราตรีที่คืบคลาน วันและคืนเลยผ่าน
ดาวจะยังส่องแสงเหมือนเดิมที่รัก

เธอเท่านั้น อยู่ในใจ
โลกจะเป็นอย่างไร
เธอเท่านั้น ตลอดไป
แม้ว่าไม่มีทาง (เหมือนเดิม)

และเรานั้นยังรู้สึก
ส่วนลึก ยังคงคิดถึงกัน
ราตรีที่คืบคลาน วันและคืนเนิ่นนาน
ดาวจะยังส่องแสงเหมือนเดิมที่รัก

ราตรีที่คืบคลาน วันและคืนเลยผ่าน
ดาวยังอยู่บนฟ้าไม่เคยห่างหาย

เธอเท่านั้น อยู่ในใจ
โลกจะเป็นอย่างไร
เธอเท่านั้น ตลอดไป
แม้ว่าไม่มีทาง (เหมือนเดิม)

เธอเท่านั้น อยู่ในใจ
โลกจะเป็นอย่างไร
เธอเท่านั้น ตลอดไป
แม้ว่าไม่มีทาง (เหมือนเดิม)

เป็นอย่างเคย",moderndog
เธอให้มา,/music/thailyric/4861,"วันนี้ ฉันนั้น ควรจะยิ้มและเป็นสุขใจ
แม้จะต้องเหนื่อยล้า อีกสักแค่ไหน
ก็เพราะมองไปตรงนี้ฉันยังคง

มีเธอ ที่เป็นทุกกำลังใจ
มีเธอ ที่รับรู้ความเป็นไป
มีเธอ ให้ความรัก ความจริงใจ
และมีให้ตัวฉัน ไม่ว่าเมื่อไร

รักเธอได้ทำให้ฉันเอง ได้เข้าใจว่ามันเป็นอย่างไร
เธอได้ชี้ ให้ฉันดู ให้ฉันรู้ สิ่งที่เธอให้มา (อะ ว้า อาว)
เธอได้ทำให้ฉันลอง ให้ฉันตรอง และได้เห็นคุณค่า

มากมาย แม้ว่าโลกใบนี้ ไม่เคยง่ายดาย
ยังมีเธอเป็นความหมายสำหรับฉัน

มีเธอ ที่เป็นทุกกำลังใจ
มีเธอ ที่รับรู้ความเป็นไป
มีเธอ ให้ความรัก ความจริงใจ
และมีให้ตัวฉัน ไม่ว่าเมื่อไร

รักเธอได้ทำให้ฉันเอง ได้เข้าใจว่ามันเป็นอย่างไร
เธอได้ชี้ ให้ฉันดู ให้ฉันรู้ สิ่งที่เธอให้มา (อะ ว้า อาว)
เธอได้ทำให้ฉันลอง ให้ฉันตรอง และได้เห็นคุณค่า

ทุกๆอย่างยังคงเป็นไป
วันเวลายังหมุนอยู่ต่อไป
ความเป็นจริงไม่ว่าสิ่งใด
สิ่งหนึ่ง ที่ไม่เคยเปลี่ยนไป นั่นคือรัก

รักเธอได้ทำให้ฉันเอง ได้เข้าใจว่ามันเป็นอย่างไร
เธอได้ชี้ ให้ฉันดู ให้ฉันรู้ สิ่งที่เธอให้มา (อะ ว้า อาว)
เธอได้ทำให้ฉันลอง ให้ฉันตรอง และได้เห็นคุณค่า

สิ่งที่เธอ ให้มา
สิ่งที่เธอ ให้มา (อ่ะ อ่า อา อา)
สิ่งที่เธอ ให้มา",moderndog
ผ่าน,/music/thailyric/4865,"อีกเนิ่นนาน ที่ต้องทรมานใจ
ให้ชีวิตต้องเศร้า และเสียใจเท่าไหร่
วันที่เคยหม่นหมอง อยู่ลึกลงไปข้างใน

กลายเป็นความปวดร้าว ที่ยังค้างคาใจ
ต้องฝืนต้องทนต่อไป

อีกเนิ่นนาน เพราะมันคือความจริง ที่ชีวิตต้องผ่าน
อีกเนิ่นนาน จนวันที่พ้นข้ามผ่าน ความทุกข์ทรมานให้ผ่านไป

วางมันเอาไว้ ลืมมันทิ้งไปก่อน
หยุดความคิดเสียบ้าง วันนี้เรายังต้องนอน

ปล่อยให้ความหลับไหล คลายควาทุกข์ในใจ กับชีวิตที่ไม่เคยแน่นอน

อีกเนิ่นนาน เพราะมันคือความจริง ที่ชีวิตต้องผ่าน
อีกเนิ่นนาน จนวันที่พ้นข้ามผ่าน ความทุกข์ทรมานให้ผ่านไป

และฉันจะทำใจได้ใช่ไหม ชีวิตที่เหลือนั้นควรเป็นเช่นไร
ความเป็นจริงบางครั้ง ทำให้เราเข้าใจ กับชีวิตที่ต้องเดินต่อไป

อีกเนิ่นนาน เพราะมันคือความจริง ที่ชีวิตต้องผ่าน
อีกเนิ่นนาน จนวันที่พ้นข้ามผ่าน ความทุกข์ทรมานให้ผ่านไป

อีกเนิ่นนาน เพราะมันคือความจริง ที่ชีวิตต้องผ่าน
อีกเนิ่นนาน จนวันที่พ้นข้ามผ่าน ความทุกข์ทรมานให้ผ่านไป

สิ่งที่เรายังคงต้องเจอ สิ่งที่เธอไม่เคยต้องการ
เรายังคงต้องทรมาน จนถึงวันที่พ้นข้ามผ่าน

สิ่งที่เรายังคงต้องเจอ สิ่งที่เธอไม่เคยต้องการ
เรายังคงต้องทรมาน จนถึงวันที่พ้นข้ามผ่าน

สิ่งที่เรายังคงต้องเจอ สิ่งที่เธอไม่เคยต้องการ
เรายังคงต้องทรมาน จนถึงวันที่พ้นข้ามผ่าน

สิ่งที่เรายังคงต้องเจอ สิ่งที่เธอไม่เคยต้องการ
เรายังคงต้องทรมาน จนถึงวันที่พ้นข้ามผ่าน",moderndog
เงินล้าน,/music/thailyric/4857,"ฉันมีเงินเป็นล้าน
เพราะอะไรยังร้อนรน ยังคงสับสนข้างใน
ทุกคนรู้จักฉัน ทุกคนมองและยิ้มให้
แล้วทำไมยังเหงา

ยังต้องการมีอะไรอีกหรือเรา
และมันจะดีกว่านี้หรือเปล่า
อีกนานไหม ต้องวนเวียนสักเท่าไร
แล้วฉันจึงจะรู้

ว่าอยู่ที่สิ่งใดอยู่ที่ตรงไหน
จะมีอะไรที่เป็นคำตอบ
ต้องเหนื่อยอีกนานไหม
ต้องโด่งดังแค่ไหน

ฉันได้ยินคำหวาน
ทุกถ้อยคำที่ชื่นชม แต่ยังมีความขื่นขมในใจ
ต่อจากนี้ ต้องวนเวียนสักเท่าไร
แล้วฉันจึงจะพบ

ว่าอยู่ที่สิ่งใดอยู่ที่ตรงไหน
จะมีอะไรที่เป็นคำตอบ
ต้องเหนื่อยอีกนานไหม
ต้องโด่งดังแค่ไหน

ในเวลาเช้าฉันลืมตา
เพื่อลุกไปไขว่คว้าสิ่งใด
แล้วชีวิตนี้มันจะมีบ้างไหม ที่ตามหา

ว่าอยู่ที่สิ่งใดอยู่ที่ตรงไหน
จะมีอะไรที่เป็นคำตอบ
ต้องเหนื่อยอีกมากไหม
ต้องโด่งดังแค่ไหน

ว่าอยู่ที่สิ่งใดอยู่ที่ตรงไหน
จะมีอะไรที่เป็นคำตอบ
ต้องเหนื่อยอีกนานไหม
ต้องโด่งดังแค่ไหน
หรือว่ามันไม่ใช่เลย",moderndog
นิยาย,/music/thailyric/4862,"เหม่อมองดูหยาดฝนที่โปรยมาประปราย
เหม่อมองดูชีวิตคล้ายดั่งนิยาย

บางคราวตัวของเรานั้น
ยังต้องเจอกับวันที่เลวร้าย
บางคราวชีวิตเรานั้น
ยังต้องเรียนรู้อีกมายมาย

เหม่อมองดูหยาดฝนที่โปรยมาประปราย
เหม่อมองดูชีวิตคล้ายดั่งนิยาย

บางคราวตัวของเรานั้น
ยังต้องเจอกับวันที่เลวร้าย
บางคราวชีวิตเรานั้น
ยังต้องเรียนรู้อีกมายมาย

ฝนโปรยปราย ชีวิตดั่งนิยาย

บางคราวตัวของเรานั้น
ยังต้องเจอกับวันที่เลวร้าย
บางคราวชีวิตเรานั้น
ยังต้องเรียนรู้อีกมายมาย

ฝนโปรยปราย ชีวิตดั่งนิยาย
ฝนโปรยปราย ชีวิตดั่งนิยาย

ทุกๆ เรื่องราว ทุกๆ ความว่างเปล่า
ทุกๆ เรื่องราว ทุกๆ ความปวดร้าว
ทุกๆ เรื่องราว ทุกๆ ความว่างเปล่า
ทุกๆ เรื่องราว ทุกๆ ความปวดร้าว

ฝนโปรยปราย ชีวิตดั่งนิยาย
ฝนโปรยปราย ชีวิตดั่งนิยาย",moderndog
