song_name,href,lyric,artist
คนที่ใช่,/music/thailyric/4634,"เจอะบางคนเหงาๆ บอกอยากเป็นแฟนเรา
แต่ก็มีตัวเลือกมากมาย
เจอะคนคอเดียวกัน แบบว่าใจตรงกัน
แต่ดันมีเจ้าของหัวใจ

คนโดนโดนดีดี อยากมีรัก
ฉันรู้จักมาหลายราย
แต่ไม่มีใครคนไหน
เข้ามารักฉันจริง

ฟ้าช่วยให้เจอซักคน เป็นคนที่ใช่ที
ที่มาให้ชีวิตดีดี ไม่มาทิ้งมาหนีไป
ฟ้าให้โอกาสซักวัน ให้ฉันได้เจอ
คนที่ใช่ แล้วจะไม่เจ้าชู้ ไม่ดูใครอีกเลย

(ไม่เจ้าชู้ ไม่เจ้าชู้ )

เธอเป็นคนดูดี และมีความจริงใจ
แต่เป็นคนที่ใช่หรือเปล่า
ตั้งแต่มองตากัน จนมาเดินจูงมือ
อยากให้เธอคือรักของเรา

คนโดนโดนดีดี อยากมีรัก
ฉันรู้จักมาหลายราย
แต่ไม่มีใครคนไหน
เข้ามารักฉันจริง

ฟ้าช่วยให้เจอซักคน เป็นคนที่ใช่ที
ที่มาให้ชีวิตดีดี ไม่มาทิ้งมาหนีไป
ฟ้าให้โอกาสซักวัน ให้ฉันได้เจอ
คนที่ใช่ แล้วจะไม่เจ้าชู้ ไม่ดูใครอีกเลย

คนโดนโดนดีดี อยากมีรัก
ฉันรู้จักมาหลายราย
แต่ไม่มีใครคนไหน
เข้ามารักฉันจริง

ฟ้าช่วยให้เจอซักคน เป็นคนที่ใช่ที
ที่มาให้ชีวิตดีดี ไม่มาทิ้งมาหนีไป
ฟ้าให้โอกาสซักวัน ให้ฉันได้เจอ
คนที่ใช่  แล้วจะไม่เจ้าชู้ ไม่ดูใครอีกเลย

(ไม่เจ้าชู้ ไม่เจ้าชู้) ไม่ดูใครอีกเลย",mos_patiparn
สมน้ำหน้า,/music/thailyric/4655,"รู้ทั้งรู้อยู่แล้วว่าเธอได้เดินไปจากกัน
รู้ทั้งรู้อยู่แล้วว่าควรต้องจบให้แล้วไป
ทำไมไม่คิดจะยอมตัดใจ ยังกลับไปยุ่งเกี่ยว
ก็เป็นยังไงที่เห็นเธออยู่กับเขา

ก็ใครใช้ให้ลืมว่าเธอนั้นมีคนอื่นแล้ว
คงไม่มีวี่แววว่าจะเหมือนเก่าก็ไม่จำ
มันเลยต้องสมควรถูกกระทำ จากคนไม่เหลือใจ
ก็เป็นยังไงพอเห็นเธอจับมือเขา

เจ็บไหม ที่ภาพของเธอบาดตา
รู้ว่าเธอไปรักคนใหม่ ก็ยังมีหน้ายังมีหน้าไปเจอ
ถูกแล้ว ที่ต้องซมซานกลับมา ก็อยากไปหาเรื่องเอง
ต้องสมน้ำหน้าสมน้ำหน้าตัวเองใช่หรือเปล่า

ก็ทีหน้าทีหลังช่วยคอยยั้งใจให้หยุดไว้
เธอจะไปกับใครก็ปล่อยให้ไป อย่ายื้อเลย
ไม่มีใครใช้ให้กลับไปเจอ อยู่ดีไม่ว่าดี
ก็เป็นยังไงพอเห็นเธอกอดกับเขา

เจ็บไหม ที่ภาพของเธอบาดตา
รู้ว่าเธอไปรักคนใหม่ ก็ยังมีหน้ายังมีหน้าไปเจอ
ถูกแล้ว ที่ต้องซมซานกลับมา ก็อยากไปหาเรื่องเอง
ต้องสมน้ำหน้าสมน้ำหน้าตัวเองใช่หรือเปล่า

เจ็บไหม ที่ภาพของเธอบาดตา
รู้ว่าเธอไปรักคนใหม่ ก็ยังมีหน้ายังมีหน้าไปเจอ
ถูกแล้ว ที่ต้องซมซานกลับมา ก็อยากไปหาเรื่องเอง
ต้องสมน้ำหน้าสมน้ำหน้าตัวเองใช่หรือเปล่า

ไม่ต้องโทษใคร ก็ต้องโทษก็ต้องโทษตัวเอง
เราต้องอยู่ส่วนเรา เขาก็อยู่ส่วนเขา จำให้มันขึ้นใจ",mos_patiparn
มันเป็นยังงี้ได้ยังไง,/music/thailyric/4645,"ผมไม่ได้ตั้งใจไม่ได้ตั้งใจจริงๆ
ผมไม่รู้ว่าเป็นอะไร
เรื่องไม่ได้ตั้งใจไม่ได้ตั้งใจจริงๆ
ก็ไม่รู้ว่ามาได้ไง

ที่วุ่นวายอะไรอะไรมากมาย
ก็คงจะดูบังเอิญแหละ
แต่หัวใจมันดันเกิดไปรักเธอขึ้นมา
แบบไม่รู้ตัวเนี่ยเด่

มันเป็นยังงี้ได้ยังไง มันดันไปรักได้ยังไง
มันเป็นยังงี้ได้ยังไง บังเอิญไปรักรึยังไง

เหมือนว่าโชคชะตามันทำให้เราเจอกัน
อ๊ะอันนี้ต้องทำยังไง
เหมือนว่าโชคชะตามันพาให้มาเจอเธอ
อ๊ะอันนี้ก็เลยตามใจ

ที่วุ่นวายอะไรอะไรมากมาย
ก็คงจะดูบังเอิญแหละ
แต่หัวใจมันดันเกิดไปรักเธอขึ้นมา
แบบไม่รู้ตัวเนี่ยเด่

มันเป็นยังงี้ได้ยังไง มันดันไปรักได้ยังไง
มันเป็นยังงี้ได้ยังไง บังเอิญไปรักรึยังไง

มันเป็นยังงี้ได้ยังไง มันดันไปรักได้ยังไง
มันเป็นยังงี้ได้ยังไง บังเอิญไปรักรึยังไง

มันเป็นยังงี้ได้ยังไง มันดันไปรักได้ยังไง
มันเป็นยังงี้ได้ยังไง บังเอิญไปรักรึยังไง",mos_patiparn
รัก..รู้มั้ย,/music/thailyric/4651,"รัก..รู้มั้ย ได้ยินหรือเปล่า
เหงาบ้างไหม เมื่อเราไกลกัน
คิดถึงไหม ตอนฉันไม่อยู่
รู้ไหมรู้ ว่าฉันต้องการ

แอบเจ็บใจเล็กๆ บ่อยๆ
คอยเวลาจะได้เจอ ก็มันรักเธอ
คิดถึงแต่เธอ ทุกทีที่เจอใจมันเต้นแรง
อยากบอกว่า ไม่มีเปลี่ยนแปลง
รักมันแทรกแซง หัวใจทุกวินาที

รัก..รู้มั้ย ใช่ฉันหรือเปล่า
ซึ้งบ้างไหม ที่เห็นข้อความ
ถ้าได้รัก ยากที่จะห้าม
ถามขอถาม เคยเป็นบ้างไหม

แอบเจ็บใจเล็กๆ บ่อยๆ
คอยเวลาจะได้เจอ ก็มันรักเธอ
คิดถึงแต่เธอ ทุกทีที่เจอใจมันเต้นแรง
อยากบอกว่า ไม่มีเปลี่ยนแปลง
รักมันแทรกแซง หัวใจทุกวินาที

ก็มันรักเธอ คิดถึงแต่เธอ
ทุกทีที่เจอ ใจมันเต้นแรง
อยากบอกว่า ฉันไม่เปลี่ยนแปลง
รักมันแทรกแซง หัวใจทุกวินาที

ทุกวินาที",mos_patiparn
เกิดมาเพื่อรักเธอ,/music/thailyric/4632,"อาจจะดูว่าฉัน โง่งมที่ทำเพื่อเธอ ให้เธอได้เสมอ ทั้งตัวและหมดหัวใจ
ทั้งๆที่ความเป็นจริง แค่ฝันก็ยังเกินไป ไม่มีอะไรคู่ควรสักอย่าง

ผ่านไปถึงเพียงไหน หัวใจก็พอรู้ดี แต่บังเอิญตอนนี้ รักเธอเกินหยุดยั้งใจ
พื้นที่ในใจที่มี ไม่เหลือให้ใครคนใด ทุกห้องในใจมีเพียงแต่เธอ

เกิดมาเพื่อจะรัก รักเธอคนเดียวอยู่อย่างนี้
ต่อให้มันไม่มีหนทางใดๆ ก็ไม่เคยหวั่นไหว
เกิดมาเพื่อจะรัก รักเธอจริงๆและพร้อมจะตายแทนได้
ก็เพราะหัวใจ ฉันมันสร้างมาเพื่อเธอ

แต่ไม่เคยโทษฟ้า ที่พาให้เราพบกัน และกำหนดให้ฉัน รักเธอเหมือนดังนิยาย
ให้ฉันต้องเจียมตัวเอง ให้ฉันต้องทนทำใจ แม้ทุกข์เพียงใด ก็มีเแต่เธอ

เกิดมาเพื่อจะรัก รักเธอคนเดียวอยู่อย่างนี้
ต่อให้มันไม่มีหนทางใดๆ ก็ไม่เคยหวั่นไหว
เกิดมาเพื่อจะรัก รักเธอจริงๆและพร้อมจะตายแทนได้
ก็เพราะหัวใจ ฉันมันสร้างมาเพื่อเธอ

ก็เพราะว่าเธอนั้นคือที่สุดของหัวใจ",mos_patiparn
แรงรัก,/music/thailyric/4654,"ฟ้าคงส่งเธอมาช่วยคนที่ใจสับสนไม่มีที่ไป
ได้แต่กอดตัวเองไม่เคยอบอุ่น
ต้องทนเหน็บหนาวใจ

แต่พอเธอช่วยดึงมือ
นำทางชี้ทางสว่าง
บรรเทาเหงาที่เจ็บปวด
ชีวิตก็พลันเปลี่ยนไป

เมื่อฉันได้พบเธอ ฉันรู้ในแรงสัมผัส
รักแท้ที่มีจริงของเธอ ให้ความอบอุ่นยิ่งกว่า

ที่เคยได้พบเจอ ฉันพร้อมจะทำทุกอย่าง
เพื่อแลกกับความดีที่เธอให้มา
ด้วยการตอบแทนเธอ ฉันจะรักจนวันตาย

ฉันจะเก็บเอาลมหายใจที่มีเก็บให้เธอผู้เดียว
แล้วจะเก็บเวลาทุกเสี้ยวนาทีตอบแทนความรักเธอ
จะใช้เวลาทุกนาทีมี

เธอให้นานที่สุดดูแลรักเธอไม่ห่าง
ฉันขอให้เธอมั่นใจ

เมื่อฉันได้พบเธอ ฉันรู้ในแรงสัมผัส
รักแท้ที่มีจริงของเธอ ให้ความอบอุ่นยิ่งกว่า

ที่เคยได้พบเจอ ฉันพร้อมจะทำทุกอย่าง
เพื่อแลกกับความดีที่เธอให้มา
ด้วยการตอบแทนเธอ ฉันจะรักจนวันตาย

เพราะรักคือแรงผลักดัน ให้ฉันได้มาพบเธอ
ได้เจอกับชีวิตใหม่ ด้วยแรงแห่งรัก
ฉันขอสัญญากับเธอ 

จะรักคนเดียวแค่
เธอ ชีวิตจะมอบให้เธอ
ทุกสิ่งทุกลมหายใจ

เมื่อฉันได้พบเธอ ฉันรู้ในแรงสัมผัส
รักแท้ที่มีจริงของเธอ ให้ความอบอุ่นยิ่งกว่า

ที่เคยได้พบเจอ ฉันพร้อมจะทำทุกอย่าง
เพื่อแลกกับความดีที่เธอให้มา
ด้วยการตอบแทนเธอ ฉันจะรัก
จนวันตาย",mos_patiparn
เหตุผลคือรักเธอ,/music/thailyric/4657,"อาจจะผิดแต่ไม่เคยสนใจ ที่ทุ่มเทหมดใจอย่างง่ายดาย
ยอมเปลี่ยนแปลงตัวเองไปมากมาย อย่างที่ไม่เคยทำให้ใคร

ทำอะไรเพื่อตัวเองน้อยลง เพราะมัวแต่คอยพะวงเรื่องเธอ
ทำอะไรใจก็ขอมาเจอ แค่เพียงเห็นหน้าเธอก็สุขใจ

เหตุผลข้อเดียวที่สั่งให้หัวใจทำทุกอย่าง ก็คือใจฉันมันรักเธอ
เหตุผลใดๆคงไม่มีความหมายเท่ารักเธอ และคิดว่าเท่านี้ก็คงพอ

บอกไม่ถูกว่าทำไมรักเธอ พูดได้เพียงว่าเธอคือสุดหัวใจ
ใครจะมองว่าฉันนั้นงมงาย บอกเลยว่าไม่เคยจะใส่ใจ

เหตุผลข้อเดียวที่สั่งให้หัวใจทำทุกอย่าง ก็คือใจฉันมันรักเธอ
เหตุผลใดๆคงไม่มีความหมายเท่ารักเธอ และคิดว่าเท่านี้ก็คงพอ

บอกไม่ถูกว่าทำไมรักเธอ พูดได้เพียงว่าเธอคือสุดหัวใจ
ใครจะมองว่าฉันนั้นงมงาย บอกเลยว่าไม่เคยจะใส่ใจ


สิ่งต่างๆที่ฉันนั้นทำไป เหตุผลของหัวใจคือรักเธอ",mos_patiparn
คืออะไร,/music/thailyric/4636,"บอกฉันว่าเธอไม่เคยคิด ไม่เคยเลยสักนิด ไม่คิดเกินคนเคยคุ้นกัน
บอกฉันๆเลยต้องมาคิด ทบทวนต่ออีกนิด ยิ่งคิดยิ่งมึนงงไปนาน

ถ้าอย่างนั้นเรื่องทั้งหมดนี้ เรื่องราวที่เราเคยผ่านมา

ก็ไม่รู้มันคืออะไร ที่แล้วมามันคืออะไร ที่เข้ามาคอยมาทำดีและอยู่ใกล้ชิดกัน
บอกได้ไหมมันคืออะไร ที่ให้มามันคืออะไร ทั้งสายตาที่เคยมองอย่างซึ้งใจ ตกลงแปลว่าไง

สุดท้ายเรื่องราวที่เคยรู้ ก็กลายเป็นไม่รู้ ไม่รู้แล้วว่าควรทำไง
ที่คิดไม่เป็นอย่างที่คิด ไม่ตรงเลยสักนิด ไม่คิดว่าไม่เคยมีใจ

ถ้าอย่างนั้นเรื่องทั้งหมดนี้ เรื่องราวที่เราเคยผ่านมา

ก็ไม่รู้มันคืออะไร ที่แล้วมามันคืออะไร ที่เข้ามาคอยมาทำดีและอยู่ใกล้ชิดกัน
บอกได้ไหมมันคืออะไร ที่ให้มามันคืออะไร ทั้งสายตาที่เคยมองอย่างซึ้งใจ ตกลงแปลว่าไง

ก็ไม่รู้มันคืออะไร ที่แล้วมามันคืออะไร ที่เข้ามาคอยมาทำดีและอยู่ใกล้ชิดกัน
บอกได้ไหมมันคืออะไร ที่ให้มามันคืออะไร ทั้งสายตาที่เคยมองอย่างซึ้งใจ ตกลงแปลว่าไง",mos_patiparn
เชื่อเถอะครับ,/music/thailyric/4638,"เชื่อเถอะครับ เชื่อเถอะครับ ผมไม่เคยอำใคร
ปากที่พูดออกไป จิตใจก็เป็นอย่างนั้น
เชื่อเถอะครับ เชื่อเถอะครับ ผมแน่นอนยืนยัน
ใจมีเธอเท่านั้น ที่เป็นที่หนึ่ง

จะหลงไปเชื่อใครๆ (ผมจะว่าอะไร)
ก็ไม่ต้องไปหงุดหงิด (ผมจะรู้อะไร)
อย่าเข้าใจผมผิดๆ (ไม่เคยคิดจะหวีด)
ที่เธอได้ยิน ไม่จริงนะไม่จริง (ไม่เคยฟัง)

เชื่อเถอะครับ เชื่อเถอะครับ ผมพูดจาจริงจัง
ใจจริงๆน่ะหวัง ให้เธอไว้ใจเท่านั้น
เชื่อเถอะครับ เชื่อเถอะครับ มองสิมองตากัน
ใจที่มีให้นั้น แน่นอนที่สุด

จะหลงไปเชื่อใครๆ (ผมจะว่าอะไร)
ก็ไม่ต้องไปหงุดหงิด (ผมจะรู้อะไร)
อย่าเข้าใจผมผิดๆ (ไม่เคยคิดจะหวีด)
ที่เธอได้ยิน ไม่จริงนะไม่จริง (ไม่เคยฟัง)

รักไม่มีหยุด รักนี้ไม่มีวันหมด
รักไม่คิดกบฎ จะไม่มีวันไหนสะดุด
รักได้ตลอด อย่างน้อยก็ดิ้นไม่หลุด
ก็เธอน่ารักที่สุด และไม่มีวันลดระดับ

เชื่อเถอะครับ เชื่อเถอะครับ ผมไม่เคยเกเร
ใครจะเซจะเป๋ แต่ผมไม่เป็นอย่างนั้น
เชื่อเถอะครับ เชื่อเถอะครับ ผมแน่ใจยืนยัน
ใจมีเธอเท่านั้น ที่เป็นที่หนึ่ง

จะหลงไปเชื่อใครๆ (ผมจะว่าอะไร)
ก็ไม่ต้องไปหงุดหงิด (ผมจะรู้อะไร)
อย่าเข้าใจผมผิดๆ (ไม่เคยคิดจะหวีด)
ที่เธอได้ยิน ไม่จริงนะไม่จริง (ไม่เคยฟัง)

รักไม่มีหยุด รักนี้ไม่มีวันหมด
รักไม่คิดกบฎ จะไม่มีวันไหนสะดุด
รักได้ตลอด อย่างน้อยก็ดิ้นไม่หลุด
ก็เธอน่ารักที่สุด และไม่มีวันลดระดับ

รักไม่มีหยุด รักนี้ไม่มีวันหมด
รักไม่คิดกบฎ จะไม่มีวันไหนสะดุด
รักได้ตลอด อย่างน้อยก็ดิ้นไม่หลุด
ก็เธอน่ารักที่สุด และไม่มีวันลดระดับ

รักไม่มีหยุด รักนี้ไม่มีวันหมด
รักไม่คิดกบฎ จะไม่มีวันไหนสะดุด
รักได้ตลอด อย่างน้อยก็ดิ้นไม่หลุด
ก็เธอน่ารักที่สุด และไม่มีวันลดระดับ",mos_patiparn
เปลี่ยนไปหรือเปล่า,/music/thailyric/4643,"ความจริงก็รู้ว่ามันดึก เวลาตอนนี้ไม่ควรจะอยาก มาเจอกันฉันรู้
มันมีคำถามแค่คำหนึ่ง ที่ทำให้ฉันนั้นนอนไม่หลับ มันคาใจฉันอยู่

ได้ยินเกี่ยวกับเรื่องเธอ ก็เลยอยากถามดู ว่าเธอเปลี่ยนไปแล้วใช่หรือเปล่า

อยากจะได้รู้จากปากของเธอ แม้คำพูดเธอจะออกมาว่าไง
อยากให้เธอนั้นบอกมาให้เข้าใจ ไม่อยากจะทนโง่อยู่อย่างนี้

เธอมีคนไหนบ้างหรือเปล่า เวลาที่ฉันไม่เจอไม่อยู่ เธอมีใครบ้างไหม
เรายังคงรักกันหรือเปล่า เรายังจะคบเหมือนเดิม หรืออยากจะไปมีเพื่อนใหม่

ได้ยินเกี่ยวกับเรื่องเธอ ก็เลยอยากถามดู ว่าเธอเปลี่ยนไปแล้วใช่หรือเปล่า

อยากจะได้รู้จากปากของเธอ แม้คำพูดเธอจะออกมาว่าไง
อยากให้เธอนั้นบอกมาให้เข้าใจ ไม่อยากจะทนโง่อยู่อย่างนี้

ไม่เคยอยากจะเชื่อใคร ก็เลยอยากถามดู ว่าเธอเปลี่ยนไปแล้วใช่หรือเปล่า

อยากจะได้รู้จากปากของเธอ แม้คำพูดเธอจะออกมาว่าไง
อยากให้เธอนั้นบอกมาให้เข้าใจ ไม่อยากจะทนโง่อยู่อย่างนี้

อยากจะได้รู้จากปากของเธอ แม้คำพูดเธอจะออกมาว่าไง
อยากให้เธอนั้นบอกมาให้เข้าใจ ไม่อยากจะทนโง่อยู่อย่างนี้

แค่อยากจะรู้เธอเปลี่ยนไปไหม",mos_patiparn
