song_name,href,lyric,artist
เพื่อนไม่รัก (Just a Friend),/music/thailyric/9693,"รู้แล้วว่าไม่มีทาง รู้แล้วว่าเธอมองกัน
แค่เพื่อนคนหนึ่ง
รู้แล้วเขาดีมากมาย รู้ไหมฉันแค่น้อยใจ
แต่ยังเหมือนเดิม

ยิ้มให้เธอ อยากให้รู้ว่าฉันน่ะเข้าใจ
แต่ที่เงียบไป เธอจะเคยสงสัยอาการฉันบ้างไหม

เพื่อนไม่รักแต่แอบรักเพื่อน ห้ามไม่ฟังก็ยังเลอะเลือน
ก็เธอไม่เคยคิด ก็ยังไปแอบคิด ก็สมควรเจ็บ
เพื่อนไม่รักแต่แอบรักเพื่อน ใกล้เท่าไรยิ่งอ้างว้าง
ถูกสายตาเธอย้ำเตือน เพื่อนเท่านั้นแค่นี้ที่เธอต้องการให้เป็น

ยังดี ที่ได้ใกล้เธอ ยินดีที่ยังได้เป็น
แค่เพื่อนคนเก่า

ยิ้มให้เธอ อยากให้รู้ว่าฉันน่ะเข้าใจ
แต่ที่เงียบไป เธอจะเคยสงสัยอาการฉันบ้างไหม

เพื่อนไม่รักแต่แอบรักเพื่อน ห้ามไม่ฟังก็ยังเลอะเลือน
ก็เธอไม่เคยคิด ก็ยังไปแอบคิด ก็สมควรเจ็บ
เพื่อนไม่รักแต่แอบรักเพื่อน ใกล้เท่าไรยิ่งอ้างว้าง
ถูกสายตาเธอย้ำเตือน เพื่อนเท่านั้นแค่นี้ที่เธอต้องการให้เป็น

ยิ้มให้เธอ อยากให้รู้ว่าฉันน่ะเข้าใจ
แต่ที่เงียบไป เธอจะเคยสงสัยอาการฉันบ้างไหม

เพื่อนไม่รักแต่แอบรักเพื่อน ห้ามไม่ฟังก็ยังเลอะเลือน
ก็เธอไม่เคยคิด ก็ยังไปแอบคิด ก็สมควรเจ็บ
เพื่อนไม่รักแต่แอบรักเพื่อน ใกล้เท่าไรยิ่งอ้างว้าง
ถูกสายตาเธอย้ำเตือน เพื่อนเท่านั้นแค่นี้ที่เธอต้องการให้เป็น

เพื่อนไม่รักแต่แอบรักเพื่อน ใกล้เท่าไรยิ่งอ้างว้าง
ถูกสายตาเธอย้ำเตือน เพื่อนเท่านั้นแค่นี้ที่เธอต้องการให้เป็น",mr_min
รักเกินตัว (Overrated),/music/thailyric/9639,"อยากเด็ดดอกฟ้า แม้ใครจะมองสะเหร่อก็ตาม
แต่เธอหนะทำให้ฉันเกินห้ามใจ

เกิดความดันสูง และความต้านทานมันต่ำข้างใน
เมื่อมีเธอเป็นจุดหมายที่เฝ้ามอง

อยากจูงมือเธอ คุ้มไม่คุ้มก็ลองดู
Cause' I''m crazy for you
ยังดีไม่พร้อมแต่ขอไม่ยอมได้หรือเปล่า

รักเธอ...บาปไหม แล้วมันผิดไหม
ถามใจเธอหน่อย แล้วถ้าฉันไม่กลัวหละว่าไง
ฉันมีสิทธิ์ไหม ถ้าเธอยังไม่พร้อมจะมั่นใจ
งั้นฉันจะชวนเธอพิสูจน์

ต้องเสี่ยงแค่ไหน ถึงไงก็ยอมให้เจ็บได้ชัวร์
มันอาจเกินตัวแต่ไม่เกินหัวใจ

เกิดความดันสูง และความต้านทานมันต่ำข้างใน
เมื่อมีเธอเป็นจุดหมายที่เฝ้ามอง

อยากจูงมือเธอ คุ้มไม่คุ้มก็ลองดู
Cause' I'm crazy for you
ยังดีไม่พร้อมแต่ขอไม่ยอมได้หรือเปล่า

รักเธอ...บาปไหม แล้วมันผิดไหม
ถามใจเธอหน่อย แล้วถ้าฉันไม่กลัวหละว่าไง
ฉันมีสิทธิ์ไหม ถ้าเธอยังไม่พร้อมจะมั่นใจ
งั้นฉันจะชวนเธอพิสูจน์

รักเธอ...บาปไหม แล้วมันผิดไหม
ถามใจเธอหน่อย แล้วถ้าฉันไม่กลัวหละว่าไง
ฉันมีสิทธิ์ไหม ถ้าเธอยังไม่พร้อมจะมั่นใจ
งั้นฉันจะชวนเธอพิสูจน์

รักเธอ...บาปไหม แล้วมันผิดไหม
ถามใจเธอหน่อย แล้วถ้าฉันไม่กลัวหละว่าไง
ฉันมีสิทธิ์ไหม ถ้าเธอยังไม่พร้อมจะมั่นใจ
งั้นฉันจะชวนเธอพิสูจน์",mr_min
I'm So Sorry,/music/thailyric/18842,"I'm So Sorry
Baby I don't know what to do when you're gone
เพราะตอนนี้ไม่มีเธออยู่เหมือนเมื่อก่อน
ฉันไม่รู้ ว่าตอนนี้เธอนั้นเป็นอย่างไร
You don't know what's gone through

My head my head my head
Cause I can't I can't I can't
ลบเธอจากความคิด เพียงเสี้ยววิ
I'm so sorry

ฉันแค่อยากรู้ว่าพอมีหนทาง
ที่เธอจะกลับมา จะกลับมาได้ไหม
Yeah girl baby I'm so sorry

Anything and everything ฉันก็พร้อมทำ
แต่เธอคงไม่สน ไม่ต้องการฉันแล้ว
Yeah girl maybe it's time to say goodbye no

This time she's gone she ain't coming back no
I need you to swallow the pain pronto
แต่เธอจะรู้บ้างไหม ว่าฉันจะไม่ไปไหน
เพราะเธอนั้น Stuck อยู่ตรงนี้ อยู่ตรงนี้

In my head my head my head
Cause I can't I can't I can't
ลบเธอจากความคิดเพียงเสี้ยววิ
I'm so sorry
Yeah I'm so sorry

ฉันแค่อยากรู้ว่าพอมีหนทาง
ที่เธอจะกลับมา จะกลับมาได้ไหม
Yeah girl baby I'm so sorry

Anything and everything ฉันก็พร้อมทำ
แต่เธอคงไม่สน ไม่ต้องการฉันแล้ว
Yeah girl maybe it's time to say goodbye

ฉันแค่อยากรู้ว่าพอมีหนทาง
ที่เธอจะกลับมา จะกลับมาได้ไหม
Yeah girl baby I'm so sorry

Anything and everything ฉันก็พร้อมทำ
แต่เธอคงไม่สน ไม่ต้องการฉันแล้ว
Yeah girl maybe it's time to say goodbye",mr_min
คอนเน็กท์ (Connect),/music/thailyric/8390,"Tic Tok Tok Tic Tok Tok Tic Tok Tok
ก็ช่วยรับทีหัวใจที่มี ฉัน up load ส่งไปให้
Tic Tok Tok Tic Tok Tok Tic Tok Tok
ถ้าไม่รบกวน ถ้าไม่รบกวนก็ชวนให้เธอรับไว้

ถูกใจเธอจริงๆ ฉันเองก็เลยมากดLike
Request เธอเป็น Friend
หรือมากกว่า Friend ก็ตามใจ

ใจฉันไม่ต้องใช้ BB
ความคิดถึงไม่ต้องพึ่ง3G
มันชัดยิ่งกว่า LED
ถ้าเธอไม่ Link ก็คงไม่เข้าใจ

ก็แค่อยากลอง Connect
ก็เผื่อว่าเธอจะ Accept
แค่เรามา Link มา Link
มา Link มา Link กันที่หัวใจ

ก็แค่อยากลอง Connect
เอาใจเรามา Direct
แค่เรามา Link มา Link
มา Link มา Link กันเธอจะว่าไง

Link มา Link มา Link
จะ Tag หัวใจเข้าไปให้เธอ
On เมื่อไรก็เจอ
แต่คำว่า Love Love Love Love

Link มา Link มา Link
แค่เธอ Log in เข้าไปก็เจอ
ขอแค่เพียงว่าเธอ
อย่ามา Log out ไปซะก่อน

Check ดู Miss you Tweet ไป
Hey Post ไปทุกวันทุกวัน Hey
ช่วย Follow มาสักทีเส่
ถ้าเธอชอบใจช่วย Say Yeah

ก็แค่อยากลอง Connect
ก็เผื่อว่าเธอจะ Accept
แค่เรามา Link มา Link
มา Link มา Link กันที่หัวใจ

ก็แค่อยากลอง Connect
เอาใจเรามา Direct
แค่เรามา Link มา Link
มา Link มา Link กันเธอจะว่าไง

ถ้าฉันไม่ Like ฉันคงไม่ Link
ก็เอาจริงๆ แล้วฉันก็ชอบใจ
ก็ลองเอาใจเข้ามาจูนกัน
แค่เธอกับฉันแล้วเธอจะว่าไง

HEY Boy เอาจริงๆ
ถ้าคิดจะ Link ก็ Dont be slow ya
ถ้าอยากจะได้ my pin
hey get up min เดี๋ยว time จะ over

you wanna wanna do
แต่อย่ามัวแต่ช้านะไม่ได้ขู่
อันนี้ก็ต้องลองดู
เอาใจมา check check check yeah

ก็แค่อยากลอง Connect
ก็เผื่อว่าเธอจะ Accept
แค่เรามา Link มา Link
มา Link มา Link กันที่หัวใจ

ก็แค่อยากลอง Connect
เอาใจเรามา Direct
แค่เรามา Link มา Link
มา Link มา Link กันเธอจะว่าไง

ก็แค่อยากลอง Connect
ก็เผื่อว่าเธอจะ Accept
แค่เรามา Link มา Link
มา Link มา Link กันที่หัวใจ

ก็แค่อยากลอง Connect
เอาใจเรามา Direct
แค่เรามา Link มา Link
มา Link มา Link กันเธอจะว่าไง",mr_min
คิดถึงได้ไหม,/music/thailyric/8930,"ไม่รู้เธอคิดยังไงกับรอยยิ้มที่มีให้กัน
ที่รู้ก็คือตัวฉันคิดไปไกลมากขึ้นทุกวัน
ข้อความที่เธอ Say Hi หรือ Goodnight
ที่ส่งถึงกัน ทำใจฉันสั่น Oh No

ก็อยากรู้ใจ ว่าตัวเธอนั้นคิดยังไง ต้องถามใคร
ได้แต่เก็บคำถามเอาไว้ในใจๆ
ถ้าเธอไม่คิด ก็มีแต่ฉันคิดไปเองต้องทำไง
เลยไม่อยากที่จะต้องคิดไปไกล เดี๋ยวไกลไป

จะคิดถึงได้ไหมเธอ (คิดได้ไหม)
ต้องขอใครบ้างไหมเธอ (ชอบได้ไหม)
จะรบกวนไปไหมเธอ (แค่มีเธอ)
ข้างในใจ เธอไม่ต้องสนใจ

ก็อยากแค่คิดถึงเธอ (คิดถึงเธอ)
ต้องขอใครบ้างไหมเธอ (ฝันถึงเธอ)
ไม่มากไปใช่ไหมเธอ (แค่มีเธอ)
ข้างในใจ เธอคงไม่ว่าไร

ก็เธอเองจะรู้ไหมมีใครเก็บเธอไปฝัน
คอยแอบมองเธออยู่อย่างงั้น
และคนนั้นบังเอิญเป็นฉัน
ก็แอบเขินทุกๆ ทีที่เห็นสายตาคู่นั้น
แอบไปเพ้อคนเดียวทุกครั้ง
แทบละลายตอนเธอใกล้กัน

ก็อยากรู้ใจ ว่าตัวเธอนั้นคิดยังไง ต้องถามใคร
ได้แต่เก็บคำถามเอาไว้ในใจๆ
ถ้าเธอไม่คิด ก็มีแต่ฉันคิดไปเองต้องทำไง
เลยไม่อยากที่จะต้องคิดไปไกล เดี๋ยวไกลไป

จะคิดถึงได้ไหมเธอ (คิดได้ไหม)
ต้องขอใครบ้างไหมเธอ (ชอบได้ไหม)
จะรบกวนไปไหมเธอ (แค่มีเธอ)
ข้างในใจ เธอไม่ต้องสนใจ

ก็อยากแค่คิดถึงเธอ (คิดถึงเธอ)
ต้องขอใครบ้างไหมเธอ (ฝันถึงเธอ)
ไม่มากไปใช่ไหมเธอ (แค่มีเธอ)
ข้างในใจ เธอคงไม่ว่าไร

I miss you more than you know
But hard to tell you that Ive never known
All the meaning of your shown
Oh how can I know

จะคิดถึงได้ไหมเธอ (คิดได้ไหม)
ต้องขอใครบ้างไหมเธอ (ชอบได้ไหม)
จะรบกวนไปไหมเธอ (แค่มีเธอ)
ข้างในใจ เธอไม่ต้องสนใจ

ก็อยากแค่คิดถึงเธอ (คิดถึงเธอ)
ต้องขอใครบ้างไหมเธอ (ฝันถึงเธอ)
ไม่มากไปใช่ไหมเธอ (แค่มีเธอ)
ข้างในใจ เธอคงไม่ว่าไร",mr_min
เธอเหนื่อยไหม,/music/thailyric/8780,"Oh baby what’s going on
I don’t know what’s going on
You may know what’s going on
What’s wrong with me

ไม่เคยต้องมีอาการอะไรอย่างเงี้ยเลย
ตั้งแต่พบกันฉันเป็นอะไรเนี่ยเชื่อเลย
รูป My profile มันก็เห็นเป็นหน้าเธอ
เสียง Ringtone ดังมันก็ยังเป็นเสียงเธอ

รู้ไหมว่า Everyday เธอมารบกวน
มันจวนจะ Everytime ที่ต้องคิดถึงเธอ
รู้ไหมว่า Everywhere ฉันน่ะแอบเพ้อ
นี่เธอทำ Everything ได้ไง มันเลยอยากถาม

เธอเหนื่อยไหมที่มาวิ่งอยู่ในหัวใจ
คิดจะหยุดมั่งไหม ให้ฉันได้นอน
เธอเหนื่อยไหมที่มาวิ่งวนในหัวใจ
ไม่ว่าทำยังไงก็ห้ามเธอไม่ได้เลย

(เธออย่ามาพูด) หยุดไม่ได้
(ไม่ต้องมาเวอร์) เธอต้องช่วย
(จ้างก็ไม่เชื่อ) Baby I miss you ,Do you miss me?
(เธออย่ามาพูด) หยุดไม่ได้
(ไม่ต้องมาเวอร์) เธอต้องช่วย
(จ้างก็ไม่เชื่อ) Baby I miss you… yeah yeah yeah

ถ้าไม่รบกวนก็ชวนให้เธอมา Help me
ปล่อยเอาไว้นานฉันเองไม่ Take it easy
ใจมันเต้นแรงเมื่ออยู่ใกล้เธอ
แค่เธอยิ้มมาเท่านั้นก็ทำให้เบลอ
พอได้เจอกันปุ๊บก็เขินแทบตาย
แต่ถ้าไม่เจอกันปั๊บก็เหงาเวอร์ไป

รู้ไหมว่า Everyday เธอมารบกวน
มันจวนจะ Everytime ที่ต้องคิดถึงเธอ
รู้ไหมว่า Everywhere ฉันน่ะแอบเพ้อ
นี่เธอทำ Everything ได้ไง มันเลยอยากถาม

เธอเหนื่อยไหมที่มาวิ่งอยู่ในหัวใจ
คิดจะหยุดมั่งไหม ให้ฉันได้นอน
เธอเหนื่อยไหมที่มาวิ่งวนในหัวใจ
ไม่ว่าทำยังไงก็ห้ามเธอไม่ได้เลย

(เธออย่ามาพูด) หยุดไม่ได้
(ไม่ต้องมาเวอร์) เธอต้องช่วย
(จ้างก็ไม่เชื่อ) Baby I miss you ,Do you miss me?
(เธออย่ามาพูด) หยุดไม่ได้
(ไม่ต้องมาเวอร์) เธอต้องช่วย
(จ้างก็ไม่เชื่อ) Baby I miss you yeah yeah yeah

ฉันเองนี่ไงที่เธอมาทำให้มันวุ่นวายในหัวใจ
แล้วเธอคิดไงถ้าหากว่าฉันจะขอไปวิ่งในหัวใจ
ก็แค่ลองถามเผื่อว่าเธอสนใจ
อยากจะจับฉันเข้าไปปล่อยในหัวใจ

Cause all I care is just you. Someone like you.
Come on, Baby

เธอเหนื่อยไหมที่มาวิ่งอยู่ในหัวใจ
คิดจะหยุดมั่งไหม ให้ฉันได้นอน
เธอเหนื่อยไหมที่มาวิ่งวนในหัวใจ
ไม่ว่าทำยังไงก็ห้ามเธอไม่ได้เลย

(เธออย่ามาพูด) หยุดไม่ได้
(ไม่ต้องมาเวอร์) เธอต้องช่วย
(จ้างก็ไม่เชื่อ) Baby I miss you ,Do you miss me?
(เธออย่ามาพูด) หยุดไม่ได้
(ไม่ต้องมาเวอร์) เธอต้องช่วย
(จ้างก็ไม่เชื่อ) Baby I miss you yeah yeah yeah",mr_min
เพื่อนใหม่ที่ไม่สนิท,/music/thailyric/8492,"มันเกิดอะไร ก็ไม่รู้เหมือนกัน
กับเพื่อนคนนี้ ไม่ค่อยเหมือนทุกวัน
รู้แค่ในหัวใจเป็นแบบเดิม ไม่ได้

ก็เคยพูดเคย Chat กันทุกที
กับเธอเพื่อนซี้ ที่เคยรู้ใจ
อึดอัดใจ เรื่องไร พูดได้เลย เพื่อนกัน

แล้วความรู้สึกเดิม ก็เริ่มหายไป
เพื่อนฉันทำไม กลายเป็นเหมือน
เพื่อนใหม่ ที่ไม่เคย สนิทกัน
เคยโทรคุยกับเธอ ก็ตั้งหลายที
ตอนนี้ มองแค่เบอร์ ก็หัวใจสั่น Do u know

อยู่ดีๆ ก็ต้อง หลบตา ในใจมันเริ่ม Control ไม่ได้
เมื่อเธอ สบตา เขินขึ้นมาทุกทีไม่เข้าใจ
เป็นความจริงที่ฉันพูดไม่ได้ (Oh baby I miss u)
ก็กลัวเธอนั้น จะไม่เข้าใจ (I crazy for u)

คนเดียวที่ฉัน ทำตัวไม่ถูก Oh Yeah
แต่เท่าที่รู้ ใจมันวุ่นวาย
เก็บอาการไว้ ข้างในหัวใจ Oh Yeah
ทำได้แค่ฝันถึงเธอทุกคืน

มันเป็นอะไร ที่ได้แต่คิด
กลัวใจตัวเอง แบบว่า ต้องคอยสะกิด

All I can do is dream of you
Can you come to me oh my girl

แล้วความรู้สึกเดิม ก็เริ่มหายไป
เพื่อนฉันทำไม กลายเป็นเหมือน
เพื่อนใหม่ ที่ไม่เคย สนิทกัน
เคยโทรคุยกับเธอ ก็ตั้งหลายที
ตอนนี้ มองแค่เบอร์ ก็หัวใจสั่น Do u know

อยู่ดีๆ ก็ต้อง หลบตา ในใจมันเริ่ม Control ไม่ได้
เมื่อเธอ สบตา เขินขึ้นมาทุกทีไม่เข้าใจ
เป็นความจริงที่ฉันพูดไม่ได้ (Oh baby I miss u)
ก็กลัวเธอนั้น จะไม่เข้าใจ (I crazy for u)

คนเดียวที่ฉัน ทำตัวไม่ถูก Oh Yeah
แต่เท่าที่รู้ ใจมันวุ่นวาย
เก็บอาการไว้ ข้างในหัวใจ Oh Yeah
ทำได้แค่ฝันถึงเธอทุกคืน",mr_min
มิราเคิล ออฟ เลิฟ (Miracle of Love),/music/thailyric/11507,"ฉันมีเพียงแค่รอยยิ้ม ที่เธอฝากในใจ
ทำให้ฉันเดินผ่านได้ทุกอย่าง
โลกบางวันจะมืดมิด มีหน้าเธอนำทาง
แค่นี้ฉันก็มีแสงไฟส่อง

มันเป็นอะไรที่มากกว่ารัก
มันเป็นอะไรที่มากกว่าคิด
และมันจะเกิดกับเธอเท่านั้น
มันเป็นอารมณ์อยู่ใกล้สวรรค์
มันเป็นเวลาเธอใกล้กับฉัน
และมันจะอยู่ไปนับจากนี้

ปาฏิหาริย์ของฉันคือเธอ Baby
Cause You make me fly
ปาฏิหาริย์นั้นพูดไม่เก่ง ยิ้มง่าย
I'm so high for you

เธอคือความฝันหรือเธอคือเรื่องจริง
หรือเป็นเรื่องจริงที่มันเป็นยิ่งกว่าความฝัน
ฉันก็ไม่รู้แต่ฉันก็รู้สึก
รักมันอยู่ลึกแต่เธออยู่ลึกยิ่งกว่ารัก

ฉันไม่พูดว่าความรัก ไม่มหัศจรรย์
บอกเลยว่ามันน่ะสมบูรณ์กว่า
แค่ที่เธออยู่กับฉัน ให้ตลอดเวลา
อะไรก็ดูเป็นเรื่องยิ่งใหญ่

มันเป็นอะไรที่มากกว่ารัก
มันเป็นอะไรที่มากกว่าคิด
และมันจะเกิดกับเธอเท่านั้น
มันเป็นอารมณ์อยู่ใกล้สวรรค์
มันเป็นเวลาเธอใกล้กับฉัน
และมันจะอยู่ไปนับจากนี้

ปาฏิหาริย์ของฉันคือเธอ Baby
Cause you make me fly
ปาฏิหาริย์นั้นพูดไม่เก่ง ยิ้มง่าย
I'm so high for you

เธอคือความฝันหรือเธอคือเรื่องจริง
หรือเป็นเรื่องจริงที่มันเป็นยิ่งกว่าความฝัน
ฉันก็ไม่รู้แต่ฉันก็รู้สึก
รักมันอยู่ลึกแต่เธออยู่ลึกยิ่งกว่ารัก

มันเป็นอะไรที่มากกว่ารัก
มันเป็นอะไรที่มากกว่าคิด
และมันจะเกิดกับเธอเท่านั้น
มันเป็นอารมณ์อยู่ใกล้สวรรค์
มันเป็นเวลาเธอใกล้กับฉัน
และมันจะอยู่ไปนับจากนี้

ปาฏิหาริย์ของฉันคือเธอ Baby
Cause you make me fly
ปาฏิหาริย์นั้นพูดไม่เก่ง ยิ้มง่าย
I'm so high for you

ปาฏิหาริย์ของฉันคือเธอ Baby
Cause you make me fly
ปาฏิหาริย์นั้นพูดไม่เก่ง ยิ้มง่าย
I'm so high for you

เธอคือความฝันหรือเธอคือเรื่องจริง
หรือเป็นเรื่องจริงที่มันเป็นยิ่งกว่าความฝัน
ฉันก็ไม่รู้แต่ฉันก็รู้สึก
รักมันอยู่ลึกแต่เธออยู่ลึกยิ่งกว่ารัก

ฉันก็ไม่รู้แต่ฉันก็รู้สึก
รักมันอยู่ลึกแต่เธออยู่ลึกยิ่งกว่ารัก",mr_min
ไม่รักไม่ได้,/music/thailyric/22671,"ใจมันก็ใจของฉัน มันต้องเจ็บ ต้องช้ำยังไง
ต่อให้มันต้องแหลกแค่ไหน
รักฉันนั้นรัก รู้ทั้งรู้จะให้หยุด ไม่ให้รักเธอไม่ได้
ไม่รักเธอไม่ได้ My love

โอ๊ย มันคงยากเกินไป
เปลี่ยนใจของเธอ ให้มาได้รักกัน
ก็รอ หวังคงมีสักวัน เผื่อเธอหันมามอง
ลองเปิดใจ ให้กับฉัน

ห้ามฝน ห้ามดวงดาว ห้ามแสงแดด
คงจะเป็นไปไม่ได้ ก็เหมือนห้ามหัวใจ
ที่มันมีเพียงแต่เธอ ที่รักแค่เพียงแต่เธอ

ใจมันก็ใจของฉัน มันต้องเจ็บ ต้องช้ำยังไง
มันต้องแหลกแค่ไหน รักฉันนั้นรัก
รู้ทั้งรู้จะให้หยุด ไม่ให้รักเธอไม่ได้
ไม่รักเธอไม่ได้ My love

Listen everyday I've been thinking 'bout you
Ask myself all the time ว่ามัวทำอะไรอยู่
รู้ก็รู้ดียังไงเธอก็ไม่เอา รู้ว่าไม่ดีกับความสัมพันธ์ของเรา
ช่วยไม่ได้ I'm just in love with you มีความรักแล้วโลกเป็นสีชมพู
Do what you want 'cause ฉันไม่มีสิทธิ์พูด
ขอแค่เธอให้ฉันได้รักให้ฉันได้ลองดู

ห้ามฝน ห้ามดวงดาว ห้ามแสงแดด
คงจะเป็นไปไม่ได้ ก็เหมือนห้ามหัวใจ
ที่มันมีเพียงแต่เธอ ที่รักแค่เพียงแต่เธอ

ใจมันก็ใจของฉัน มันต้องเจ็บ ต้องช้ำยังไง
มันต้องแหลกแค่ไหน รักฉันนั้นรัก
รู้ทั้งรู้จะให้หยุด ไม่ให้รักเธอไม่ได้
ไม่รักเธอไม่ได้ My love

ก็รู้ รักฉันมันเป็นอะไรไม่น่าสนใจ
ก็รู้ ว่าฉันนั้นทำอะไร ก็ดูไม่ดี ก็คงไม่ดี
So please ขอรักเธอเพียงแค่นี้ เท่านี้ทำได้ใช่ไหม

ใจมันก็ใจของฉัน มันต้องเจ็บ ต้องช้ำยังไง
มันต้องแหลกแค่ไหน รักฉันนั้นรัก
รู้ทั้งรู้จะให้หยุด ไม่ให้รักเธอไม่ได้
ไม่รักเธอไม่ได้ My love

เธอคือคนเดียวเท่านั้น
ที่ฉันให้ไปทั้งหัวใจ
ต่อให้เจ็บแค่ไหน รักฉันนั้นรัก รู้ทั้งรู้จะให้หยุด
ไม่ให้รักเธอไม่ได้
ไม่รักเธอไม่ได้ My love my love my love",mr_min
รักแล้วไปไหน (After Love),/music/thailyric/9868,"ฉันเพิ่งรู้ยังมีที่ที่หนึ่ง ซึ่งตัวฉันไม่เคยได้ไป
และเป็นโลกที่ฉันไม่เข้าใจ มันเป็นโลกของคนรักกัน
ไม่รู้เลยว่าตรงนั้น มันหน้าตายังไง

ถ้าไม่รักใครเลยสักคนหนึ่ง เมื่อไรฉันจึงจะได้ไป
และไม่รู้มันใกล้หรือมันไกล อยู่ที่ไหนลองไปสักที
อยากรู้ในคำตอบนี้ แล้วไม่รู้ว่าเธอเธออยากรู้ไหม

ฉันไม่รู้ว่ารัก รักแล้วต้องไปที่ไหนกัน 
รักครั้งแรกอย่างฉันยังมองทางไปไม่เห็นเจอ
เที่ยวล่องลอยแอบเหงาใจ อยู่ใกล้เธอ ช่วยรู้ตัวสักที
โลกของคนมีรัก จะจบด้วยสุขหรือทุกข์ใจ 
ทฤษฎีเล่มไหน จะมายืนยันไม่เห็นมี
ถ้าปลายทางคือหัวใจ เธอคนนี้ ฉันคงขึ้นสวรรค์

ที่วันนี้ยังคงค้นหาอยู่ แต่ก็รู้เธอเป็นเหมือนกัน
ถ้าเห็นฉันแล้วใจของเธอสั่น แบบที่มันแทบหยุดหายใจ
ถ้าฉันคิดที่จะไป แล้วเธอเองจะไปไปกับฉันไหม

ฉันไม่รู้ว่ารัก รักแล้วต้องไปที่ไหนกัน 
รักครั้งแรกอย่างฉันยังมองทางไปไม่เห็นเจอ
เที่ยวล่องลอยแอบเหงาใจ อยู่ใกล้เธอ ช่วยรู้ตัวสักที
โลกของคนมีรัก จะจบด้วยสุขหรือทุกข์ใจ 
ทฤษฎีเล่มไหน จะมายืนยันไม่เห็นมี
ถ้าปลายทางคือหัวใจ เธอคนนี้ ฉันคงขึ้นสวรรค์

ฉันไม่รู้ว่ารัก รักแล้วต้องไปที่ไหนกัน 
รักครั้งแรกอย่างฉันยังมองทางไปไม่เห็นเจอ
เที่ยวล่องลอยแอบเหงาใจ อยู่ใกล้เธอ ช่วยรู้ตัวสักที
โลกของคนมีรัก จะจบด้วยสุขหรือทุกข์ใจ 
ทฤษฎีเล่มไหน จะมายืนยันไม่เห็นมีั
ถ้าปลายทางคือหัวใจ เธอคนนี้ ฉันคงขึ้นสวรรค์",mr_min
