song_name,href,lyric,artist
Day & Night,/music/thailyric/14730,"มองลงไปข้างใน แววตาที่ดูเศร้าๆ
มองยิ่งดูยิ่งเหงา โลกของเธอสีเทา
เสียงที่เงียบงัน ร้องไห้ทุกวัน

หยาดน้ำค้างพร่างพรม
ห่มใจของเธอให้อุ่น
นกน้อยลอยละมุน
กล่อมเธอให้คลายเศร้าใจ
แสงอาทิตย์รำไร แม้จะลับตาไป

โว้ ทุกที่ยังมีเรื่องราวให้ต้องช้ำใจ
โว้ ทุกเช้ายังคงจะมีแสงของวันใหม่
เปิดใจเธอไว้ก่อน อดทนรอไว้ก่อน
เพื่อรอวันที่สวยงาม

เวลายังเดิน คนก็คงเหมือนกัน
แบ่งความผูกพัน ให้คนที่เหงาเหมือนกัน
ทุกข์ที่เผชิญ ใช่เรื่องบังเอิญ

โว้ ทุกที่ยังมีเรื่องราวให้ต้องช้ำใจ
โว้ ทุกเช้ายังคงจะมีแสงของวันใหม่
เปิดใจเธอไว้ก่อน อดทนรอไว้ก่อน
เพื่อรอวันที่สวยงาม

โว้ แล้วเรื่องร้ายๆ ที่เจอจะเป็นแค่ฝันไป
โว้ ทุกเช้ายังคงจะรอเธอเริ่มต้นใหม่
เปิดใจเธอไว้ก่อน อดทนรอไว้ก่อน
ฉันจะนำรักเธอไป

โว้ ทุกที่ยังมีเรื่องราวให้ต้องช้ำใจ
โว้ ทุกเช้ายังคงจะมีแสงของวันใหม่
เปิดใจเธอไว้ก่อน อดทนรอไว้ก่อน
เพื่อรอวันที่สวยงาม

โว้ แล้วเรื่องร้ายๆ ที่เจอจะเป็นแค่ฝันไป
โว้ ทุกเช้ายังคงจะรอเธอเริ่มต้นใหม่
เปิดใจเธอไว้ก่อน อดทนรอไว้ก่อน
ฉันจะนำรักเธอไป",musketeers
Time Machine,/music/thailyric/10601,"ออกเดินทาง สู่ความเวิ้งว้าง
เห็นดวงดาวพร่างพราวทอแสงรำไร
ลำแสงต้องเดินทางไกล

เพื่อเปิดประตู ข้ามผ่านเจ้าหลุมดำใหญ่
ย้อนวันวานพาเธอและฉันลอยไป
ที่เรายังคงเยาว์วัย

ทะยานไปกับฉัน สนุกไปกับทุกๆ ที่ทุกเรื่องที่เราไป
ความไร้เดียงสาจะนำพาเราทิ้งความเป็นผู้ใหญ่
ทะยานไปกับฉัน ไม่ต้องไปคิด ไม่ต้องกังวลเรื่องอะไร
โลกยังคงจะหมุนไม่เห็นเราต้องแคร์อะไร ทะยานไปด้วยกัน

กาลเวลา ฉันรู้ว่าเธอก็คงคิดเหมือนกัน
แล้วเราจะรออะไร

ทะยานไปกับฉัน สนุกไปกับทุกๆ ที่ทุกเรื่องที่เราไป
ความไร้เดียงสาจะนำพาเราทิ้งความเป็นผู้ใหญ่
ทะยานไปกับฉัน ไม่ต้องไปคิด ไม่ต้องกังวลเรื่องอะไร
โลกยังคงจะหมุนไม่เห็นเราต้องแคร์อะไร ทะยานไปด้วยกัน

ทะยานไปกับฉัน สนุกไปกับทุกๆ ที่ทุกเรื่องที่เราไป
ความไร้เดียงสาจะนำพาเราทิ้งความเป็นผู้ใหญ่
ทะยานไปกับฉัน ไม่ต้องไปคิด ไม่ต้องกังวลเรื่องอะไร
โลกยังคงจะหมุนไม่เห็นเราต้องแคร์อะไร ทะยานไปด้วยกัน",musketeers
ฉันคนเดียวที่รู้,/music/thailyric/10831,"วันที่ต้องร้างลาจากไกล เจ็บปวดจนใครเขานินทา
ใครนำความรักคืนกลับมา คืนสู่เธอคนนี้
เธอคนที่ฉันคอยห่วงใย เจ็บปวดจนใจเริ่มชินชา
จนเธอแทบไร้แรงศรัทธา จนแทบใจสลายเธอ
ถ้ามองออกไปแทบไม่เหลือใคร

แค่อยากให้เธอรู้ไว้ วันนี้ถ้าไม่มีใคร
ถ้าลุกขึ้นยืนไม่ไหว ให้ฉันนั้นคอยเฝ้าดู

เธอไม่เคยหวังในสิ่งใด คอยทำอะไรเพื่อคนอื่น
จนในบางครั้งเธอกลับลืม ดูแลตัวเธอเอง
ไม่อยากให้เธอนั้นต้องปวดใจ อย่าเอามาใส่ใจเรื่องวานซืน
ไม่ว่าพรุ่งนี้หรือมะรืน ฉันอยู่ไม่ไปไหนเธอ
แค่มองออกไปแทบไม่เหลือใคร

แค่อยากให้เธอรู้ไว้ วันนี้ถ้าไม่มีใคร
ถ้าลุกขึ้นยืนไม่ไหว ให้ฉันนั้นคอยเฝ้าดู
ไม่แคร์ว่าใครจะมอง ฉันรู้ว่าเธอคือใคร
ความรักของเธอยิ่งใหญ่ และฉันคนเดียวที่รู้

สิ่งที่ใครเห็นกับสิ่งที่เธอเป็น
วันนี้เรื่องราวมากมาย อาจมีเรื่องราวร้ายๆ
ไม่ทิ้งเธอไว้ลำพัง แต่ขอให้เธอได้ฟังเอาไว้

แค่อยากให้เธอรู้ไว้ วันนี้ถ้าไม่มีใคร
ถ้าลุกขึ้นยืนไม่ไหว ให้ฉันนั้นคอยเฝ้าดู
ไม่แคร์ว่าใครจะมอง ฉันรู้ว่าเธอคือใคร
ความรักของเธอยิ่งใหญ่ และฉันคนเดียวที่รู้

ฉันคนเดียวที่รู้ (ฉันคนเดียวที่รู้)
ฉันคนเดียวที่รู้ (ฉันคนเดียวที่รู้)
ฉันคนเดียวที่รู้ (ฉันคนเดียวที่รู้)
ฉันคนเดียวที่รู้ (ฉันคนเดียวที่ ฉันคนเดียวที่รู้)",musketeers
นาฬิกา,/music/thailyric/11499,"นาฬิกาเรือนเก่า
ยิ่งมองแล้วมันยิ่งเหงา
ความทรงจำมากมาย
มันซ่อนอยู่ในเข็มนาฬิกา

แต่ว่านาฬิกาก็ทำให้เรา
ต้องเดินและจากกันไป
ด้วยความฝันที่มี
ด้วยภาระที่ยิ่งใหญ่

ยังคงคิดถึงเรื่องราวดีๆ ที่มี
ความทรงจำภาพเธอคนดีคนเดิม
เธอยังคิดถึงฉันรึเปล่า
ในคืนที่เหน็บหนาวไม่มีแม้แสงดาว

เธอยังคิดถึงฉันบ้างไหม
ในวันที่เราไม่อยู่ด้วยกัน
อยากจะรู้เหมือนกัน
ผ่านคืนและวัน
เธอเองนั้นยัง
คิดถึงฉันบ้างหรือเปล่า

ไม่ได้ขอให้เรานั้นคืนกลับมาเหมือนเดิม
ให้เส้นทางที่เดิน
มันเกินที่จะฝันใฝ่
อยากให้รู้ความจริงที่เธอได้ทิ้งเอาไว้
กับเรื่องราวมากมายในวันที่ดีที่สุด

ยังคงคิดถึงเรื่องราวดีๆ ที่มี
ความทรงจำภาพเธอคนดีคนเดิม
เธอยังคิดถึงฉันรึเปล่า
ในคืนที่เหน็บหนาวไม่มีแม้แสงดาว

เธอยังคิดถึงฉันบ้างไหม
ในวันที่เราไม่อยู่ด้วยกัน
อยากจะรู้เหมือนกัน
ผ่านคืนและวัน
เธอเองนั้นยัง
คิดถึงฉันบ้างหรือเปล่า

เธอยังคิดถึงฉันรึเปล่า
ในคืนที่เหน็บหนาวไม่มีแม้แสงดาว
เธอยังคิดถึงฉันบ้างไหม
ในวันที่เราไม่อยู่ด้วยกัน
อยากจะรู้เหมือนกัน
ผ่านคืนและวัน
เธอเองนั้นยัง
คิดถึงฉันบ้างหรือเปล่า",musketeers
ปล่อยไว้อย่างนั้น,/music/thailyric/12858,"ตั้งแต่พบกัน เรื่องความสัมพันธ์
ที่เราสองได้มารู้จัก
วันที่แสงดาวส่องประกายสวยงาม

ต่อจากนี้ไป ไม่ว่าเรื่องใด
จะไม่สนไม่แคร์อะไร
แต่ความจริงแล้วเธอแอบมีใครสักคน

เรื่องเธอกับเขา เรื่องระหว่างเรา
ช่างเป็นความรักเหมือนแสงที่ใกล้จะดับ
จะจบตรงไหน จะเป็นอย่างไร
อย่าปล่อยให้ใครได้รู้

มันยิ่งเจ็บซ้ำ  หยุดความผูกพันธ์
ก่อนคืนและวันที่แสนดีสายเกินไป
สิ่งที่เห็นดี สิ่งที่แสงเงาตกกระทบ
ซ้อนในดวงตา

ปล่อยไว้อย่างนั้น เก็บความผูกพันธ์
ว่ามีหนึ่งวันที่รักกันมากที่สุด
เรื่องราวของเราเหนื่อยแค่ไหนหัวใจ

ปล่อยให้เรื่องราว มันค่อยๆ จาง
มีเพียงฉันที่ต้องอ้างว้าง
อย่าปล่อยให้เขากังวล
ว่าฉันนั้นเคยเป็นใคร

ปล่อยตัวของเธอ อยู่กับเขาไป
แม้อยากรักเธอมากเท่าไร
ความรักของเรามันเกินขึ้นตอนสายไป

เรื่องเธอกับเขา เรื่องระหว่างเรา
ช่างเป็นความรักเหมือนแสงที่ใกล้จะดับ
จะจบตรงไหน จะเป็นอย่างไร
อย่าปล่อยให้ใครได้รู้

มันยิ่งเจ็บซ้ำ  หยุดความผูกพันธ์
ก่อนคืนและวันที่แสนดีสายเกินไป
สิ่งที่เห็นดี สิ่งที่แสงเงาตกกระทบ
ซ้อนในดวงตา

ปล่อยไว้อย่างนั้น เก็บความผูกพันธ์
ว่ามีหนึ่งวันที่รักกันมากที่สุด
เรื่องราวของเราเหนื่อยแค่ไหนหัวใจ

มันยิ่งเจ็บซ้ำ  หยุดความผูกพันธ์
ก่อนคืนและวันที่แสนดีสายเกินไป
สิ่งที่เห็นดี สิ่งที่แสงเงาตกกระทบ
ซ้อนในดวงตา

ปล่อยไว้อย่างนั้น เก็บความผูกพันธ์
ว่ามีหนึ่งวันที่รักกันมากที่สุด
เรื่องราวของเราเหนื่อยแค่ไหนหัวใจ

สิ่งที่เห็นดี สิ่งที่แสงเงาตกกระทบ
ซ้อนในดวงตา

เรื่องราวของเราเหนื่อยแค่ไหนหัวใจ",musketeers
ยอม,/music/thailyric/13696,"หลับตาพริ้มหรี่แสงไฟในห้องนอน
ปล่อยเสียงเรไรนั้นกล่อมให้นอนหลับฝัน
ภายใต้ผ้าห่มมีเพียงสองเราในอ้อมกอด
กลิ่นหอมของเธอนั้นปลอบให้คลายและหาย

เราช่างโชคดีที่วันนี้มีเธอข้างกาย
เส้นผมของเธอนั้นคลายยาวสยาย
ยอมแลกทุกสิ่งหากต้องทิ้งไปทุกๆ อย่าง
สิ่งของเงินทองนั้นต่างหมดความหมาย

ถ้าหากเป็นเธอฉันจะยอม
ช้ำก็จะยอม ทุกข์ก็จะยอม
ฉันจะไม่กลัว ถ้าหากต้องเสียใจ
สักหนึ่งนาทีก็จะยอม
ช้ำก็จะยอม ทุกข์ก็จะยอม
ฉันคงต้องยอม ถ้าหากต้องเสียใจ
ถ้าหากต้องเสียใจ ถ้าหากต้องเสียใจ

มีเพียงสองเราในอ้อมกอด
กลิ่นหอมของเธอนั้นปลอบให้คลายและหาย
ยอมแลกทุกสิ่งหากวันนี้ต้อง Say Goodbye
ให้ฉันมีเธอข้างกายคนสุดท้าย

ถ้าหากเป็นเธอฉันจะยอม
ช้ำก็จะยอม ทุกข์ก็จะยอม
ฉันจะไม่กลัว ถ้าหากต้องเสียใจ
สักหนึ่งนาทีก็จะยอม
ช้ำก็จะยอม ทุกข์ก็จะยอม
ฉันคงต้องยอม ถ้าหากต้องเสียใจ

โน โน โน โน โน โน
Good Morning
ผืนทรายและแสงแดด
ทิ้งเรื่องราวที่มันยังค้างคา
ให้หายลอยไปพร้อมสายลม
เราจิบไวน์ใต้แสงจันทร์
บอกฝันดีกันทุกราตรี
เราจูบกันจนเช้า

ถ้าหากเป็นเธอฉันจะยอม
ช้ำก็จะยอม ทุกข์ก็จะยอม
ฉันจะไม่กลัว ถ้าหากต้องเสียใจ
สักหนึ่งนาทีก็จะยอม
ช้ำก็จะยอม ทุกข์ก็จะยอม
ฉันคงต้องยอม ถ้าหากต้องเสียใจ

ถ้าหากเป็นเธอฉันจะยอม
ช้ำก็จะยอม ทุกข์ก็จะยอม
ฉันจะไม่กลัว ถ้าหากต้องเสียใจ
สักหนึ่งนาทีก็จะยอม
ช้ำก็จะยอม ทุกข์ก็จะยอม
ฉันคงต้องยอม ถ้าหากต้องเสียใจ",musketeers
ไกล,/music/thailyric/4693,"ป่านนี้เธอจะอยู่ไหน เวลาที่ไกลกัน
และแม้มันจะนาน นานเท่าไรที่เฝ้ารอเวลา
ก็รู้ดีว่าเธอเหงา และฉันเองก็ไม่ต่าง
แต่ยิ่งเหงาสักเท่าไร แต่ข้างในยิ่งคิดถึงเธอ

เมื่อเธอ มองไปที่ฟ้าไกลที่ดวงดาวคู่นั้น
ดวงตาของฉันเฝ้ามอง
แสงที่เธอสัมผัส เชื่อมความคิดของเราให้ถึงกัน

ดวงอาทิตย์นั้น ยังอยู่ไกลดวงจันทร์
ดาวนับร้อยนับพันจะไกลกี่ปีแสง
แม้ไม่ได้เจอฉันคิดถึงเธอ
และเฝ้ารอวันเวลาให้พ้นไป

ตราบที่ท้องทะเลยังไกลจากภูเขา
และแม้ว่าเราจะไกลสักแค่ไหน
ฉันยังเหมือนเดิมสิ่งเหล่านั้นยังเหมือนเดิม
ยังเฝ้ารอเธอคนเดียวทั้งหัวใจ

สัญญาจากวันนั้น ยังคงไม่ลืมเลือน
บอกว่าเราจะรอ รอถึงวันที่ได้พบกันอีกครั้ง
แม้ที่เธออาจเผลอ หากใครทำเธอไหวหวั่น
ก็ขอให้เธอได้ลอง ลองนึกดูที่ฉันพูดว่าให้เธอ

มองไปที่ฟ้าไกลที่ดวงดาวคู่นั้น
ดวงตาของฉันเฝ้ามอง
แสงที่เธอสัมผัส เชื่อมความคิดของเราให้ถึงกัน

ดวงอาทิตย์นั้น ยังอยู่ไกลดวงจันทร์
ดาวนับร้อยนับพันจะไกลกี่ปีแสง
แม้ไม่ได้เจอฉันคิดถึงเธอ
และเฝ้ารอวันเวลาให้พ้นไป

ตราบที่ท้องทะเลยังไกลจากภูเขา
และแม้ว่าเราจะไกลสักแค่ไหน
ฉันยังเหมือนเดิมสิ่งเหล่านั้นยังเหมือนเดิม
ยังเฝ้ารอเธอคนเดียวทั้งหัวใจ

เก็บมันเอาไว้ รอจนถึงวันที่ได้พบกัน
ทุกเรื่องราวดีๆ ที่เราได้มีในวันนั้น

ดวงอาทิตย์นั้น ยังอยู่ไกลดวงจันทร์
ดาวนับร้อยนับพันจะไกลกี่ปีแสง
แม้ไม่ได้เจอฉันคิดถึงเธอ
และเฝ้ารอวันเวลาให้พ้นไป

ตราบที่ท้องทะเลยังไกลจากภูเขา
และแม้ว่าเราจะไกลสักแค่ไหน
ฉันยังเหมือนเดิมสิ่งเหล่านั้นยังเหมือนเดิม
ยังเฝ้ารอเธอคนเดียวทั้งหัวใจ

จากวันนั้น ฉันยังรอเธออยู่เสมอ
แม้มันจะนานที่ไม่ได้พบ ที่ไม่ได้พบ
ยังคงรอวันเวลาให้พ้นไป

อยู่ตรงนี้ แม้เธอคนดีอยู่ที่ไหน
เรื่องราวดีๆ จะไม่ผ่านพ้น
จะไม่ผ่านพ้น ยังมีเธอเพียงคนเดียวทั้งหัวใจ",musketeers
ของขวัญ,/music/thailyric/4694,"มีเรื่องราวมากมาย ที่ไม่มีใครได้ฟัง
คำพูดนับร้อยพัน ที่ต้องการเอื้อนเอ่ย
ไม่ว่าจะนานสักเท่าไร
ยังยืนยันคำเดิมเสมอ ไม่เคยเปลี่ยน

เธอทำให้ฉันรู้และเข้าใจคำว่าสองเรา
ไม่ว่าจะร้อนหรือว่าจะหนาวก็ไม่กลัว
มีเธอที่รักข้างในจิตใจ
ให้ฉันก้าวเดินต่อไป ต่อจากนี้

เธอและฉัน จับมือเคียงกันนับจากนี้
ผ่านความเดียวดายที่สองเรานั้นเคยมี
เมื่อมีเธอคนที่แสนดีอยู่ตรงนี้

มากกว่านั้น ยิ่งมีกันและกันมากแค่ไหน
มีเพียงคำว่ารักที่สองเรานั้นเข้าใจ
รักเพียงเธอและตลอดไป แค่เธอกับฉัน

และนับจากนี้ไป ทุกเรื่องราวที่ได้ฟัง
คำพูดทุกถ้อยคำที่คอยย้ำเตือนใจ
ไม่ว่าจะไกลสักเท่าไร
เพียงมีเธอคนดีอย่างนี้ ไม่ไหวหวั่น

เธอทำให้ฉันรู้และเข้าใจคำว่าสองเรา
ไม่ว่าจะร้อนหรือว่าจะหนาวก็ไม่กลัว
มีเธอที่รักข้างในจิตใจ
ให้ฉันก้าวเดินต่อไป ต่อจากนี้

เธอและฉัน จับมือเคียงกันนับจากนี้
ผ่านความเดียวดายที่สองเรานั้นเคยมี
เมื่อมีเธอคนที่แสนดีอยู่ตรงนี้

มากกว่านั้น ยิ่งมีกันและกันมากแค่ไหน
มีเพียงคำว่ารักที่สองเรานั้นเข้าใจ
รักเพียงเธอและตลอดไป แค่เธอกับฉัน

เธอทำให้ฉันรู้และเข้าใจคำว่าสองเรา
ไม่ว่าจะร้อนหรือว่าจะหนาวก็ไม่กลัว
มีเธอที่รักข้างในจิตใจ
ให้ฉันก้าวเดินต่อไป ต่อจากนี้

เธอและฉัน จับมือเคียงกันนับจากนี้
ผ่านความเดียวดายที่สองเรานั้นเคยมี
เมื่อมีเธอคนที่แสนดีอยู่ตรงนี้

มากกว่านั้น ยิ่งมีกันและกันมากแค่ไหน
มีเพียงคำว่ารักที่สองเรานั้นเข้าใจ
รักเพียงเธอและตลอดไป แค่เธอกับฉัน

จะมีเพียงสองเราต่อจากนี้ แค่เธอกับฉัน",musketeers
ความทรงจำ,/music/thailyric/4695,"วันเวลาที่ผ่านมา จะเร็วจะช้าไม่เคยลบเลือนไป
ภาพวันที่เคยสุข ฉันรู้สึกว่ายังมีฉันและเธอเสมอ
ไม่ว่าดวงใจเธอเจ็บช้ำ
ภาพความทรงจํายังคอยย้ำ ให้คิดถึงเธออยู่

จะทําสักเท่าไรให้เธอรู้
ว่าใจของฉันยังมันจําเสมอ
ไม่เคยจะลืมเลือน

ก็เธอจะอยู่ในใจฉัน
คืนวันเก่าๆ ยังคอยย้ำ

อยู่ในช่วงเวลา จะนานจะช้ายังยืนที่เก่า
ข่มตาสักเท่าไร ไม่ลืมภาพเรา
ยิ่งทําให้เหงา จนทนไม่ไหว
เมื่อไหร่ที่เธอจะกลับมา

ว่าใจของฉันยังมันจําเสมอ
ไม่เคยจะลืมเลือน

ก็เธอจะอยู่ในใจฉัน
คืนวันเก่าๆ ยังคอยย้ำ

อยู่ในช่วงเวลา จะนานจะช้ายังยืนที่เก่า
ข่มตาสักเท่าไร ไม่ลืมภาพเรา
ยิ่งทําให้เหงา จนทนไม่ไหว
เธอคงไม่คิดจะกลับมา

ทําไมดวงใจยังห่วงหา และคิดถึงเธออยู่
ยังจําทุกๆ สิ่งทุกๆ อย่าง
และเมื่อไหร่จะลบเลือนเธอจากใจ
คงไม่มีวันจะลืมเธอ

ก็เธอจะอยู่ในใจฉัน
คืนวันเก่าๆ ยังคอยย้ำ

อยู่ในช่วงเวลา จะนานจะช้ายังยืนที่เก่า
ข่มตาสักเท่าไร ไม่ลืมภาพเรา
ยิ่งทําให้เหงา จนทนไม่ไหว
เธอคงไม่คิดจะกลับมา

ทําไมดวงใจยังห่วงหา และคิดถึงเธออยู่
ยังจําทุกๆ สิ่งทุกๆ อย่าง
และเมื่อไหร่จะลบเลือนเธอจากใจ
คงไม่มีวันจะลืมเธอ

ก็เธอจะอยู่ในใจฉัน
คืนวันเก่าๆ ยังคอยย้ำ",musketeers
แค่บางคำ,/music/thailyric/4696,"คำบางคำก็อาจที่จะสื่อสารด้วยคำพูดหนึ่ง
แต่คำคำนึงเปลี่ยนแปลงอะไรๆ ได้ตั้งมากมาย

ก็เพราะทุกสิ่งที่เอ่ยมา
สะท้อนความจริงของใจ

อย่ามาใช้บางคำเพื่อเปลี่ยนแปลงอะไร
เมื่อสิ่งต่างๆ ได้กลืนหายไป
พร้อมใจที่หลุดไป กับคำพูดของเธอ

แต่ว่าคำบางคำได้เปลี่ยนคนบางคน
ที่ต้องทุกข์ต้องทนต้องเจ็บช้ำเท่าไหร่
ทบทวนดูก่อนดีดี
ก่อนเธอจะพูดออกไป อีกสักครั้ง

การกระทำอาจทำให้ใครบอบช้ำได้ซักเท่าไหร่
ถ้อยคำแทงใจ ปวดร้าวลึกถึงข้างในให้เธอรู้บ้าง

ก็เพราะทุกสิ่งที่เอ่ยมา
สะท้อนความจริงของใจ

อย่ามาใช้บางคำเพื่อเปลี่ยนแปลงอะไร
เมื่อสิ่งต่างๆ ได้กลืนหายไป
พร้อมใจที่หลุดไป กับคำพูดของเธอ

แต่ว่าคำบางคำได้เปลี่ยนคนบางคน
ที่ต้องทุกข์ต้องทนต้องเจ็บช้ำเท่าไหร่
ทบทวนดูก่อนดีดี
ก่อนเธอจะพูดออกไป อีกสักครั้ง

อย่ามาใช้บางคำเพื่อเปลี่ยนแปลงอะไร
เมื่อสิ่งต่างๆ ได้กลืนหายไป
พร้อมใจที่หลุดไป กับคำพูดของเธอ

แต่ว่าคำบางคำได้เปลี่ยนคนบางคน
ที่ต้องทุกข์ต้องทนต้องเจ็บช้ำเท่าไหร่
ทบทวนดูก่อนดีดี
ก่อนเธอจะพูดออกไป อีกสักครั้ง",musketeers
