song_name,href,lyric,artist
กี่วันพรุ่งนี้,/music/thailyric/8312,"ก็ยังไม่เคยได้รู้คำตอบ
ว่าฉันและเธอ นี่เค้าเรียกว่าอะไร
ไม่เคยมั่นใจสถานะเท่าไหร่
ฉันรู้ดีว่าเธอคงสงสัยเหมือนกับฉัน

อยากจูงมือ แต่ก็ต้องปล่อย
ปล่อยให้มีช่องเล็กเล็กนั้นแทรกกลาง
อยากบอกเธอ คิดถึงจัง
สุดท้ายก็พูดได้เพียง ว่าสบายดีไหมเธอ

จะกี่วันพรุ่งนี้ ที่มีแต่จินตนาการ
กี่เมื่อวานที่เราต่างคนต้องเสียไป
อยากมีพรุ่งนี้ใหม่ใหม่
ไม่ใช่คลุมเครือแบบนี้
อยากบอกรักเธอสักที หากเธออาย
จะตอบว่ารัก ขอเพียงให้เธอพยักหน้า

ถ้าเธอเปิดใจให้รู้คำตอบ
ว่าฉันและเธอนั้นจะคิดเหมือนกันไหม
จะใช้พรุ่งนี้กับเธอเรื่อยไป
ไม่ต้องเป็นอะไรที่สงสัยเหมือนอย่างนี้

อยากจูงมือ แต่ก็ต้องปล่อย
ปล่อยให้มีช่องเล็กเล็กนั้นแทรกกลาง
อยากบอกเธอ คิดถึงจัง
สุดท้ายก็พูดได้เพียง ว่าสบายดีไหมเธอ

จะกี่วันพรุ่งนี้ ที่มีแต่จินตนาการ
กี่เมื่อวานที่เราต่างคนต้องเสียไป
อยากมีพรุ่งนี้ใหม่ใหม่
ไม่ใช่คลุมเครือแบบนี้
อยากบอกรักเธอสักที หากเธออาย
จะตอบว่ารัก ขอเพียงให้เธอพยักหน้า

จะกี่วันพรุ่งนี้ ที่มีแต่จินตนาการ
กี่เมื่อวานที่เราต่างคนต้องเสียไป
อยากมีพรุ่งนี้ใหม่ใหม่
ไม่ใช่คลุมเครือแบบนี้
อยากบอกรักเธอสักที หากเธออาย
จะตอบว่ารัก ขอเพียงให้เธอพยักหน้า",namm_ronnadet
คุ้น คุ้น,/music/thailyric/5856,"มันยังเดาไม่ค่อยออก
กับบางคำที่เธอนั้นคอยบอก
บอกว่าฉันก็เป็นคนดี
ดีเกินไปหรือพอเหมาะ
ที่ว่าดีดีดีแล้วไงต่อ พูดอย่างนี้ทำไม

ฉันคุ้นคุ้นว่าเคยได้ยินที่ไหนมาก่อน
และคล้ายคล้ายว่ามันเริ่มบ่อยขึ้นทุกที

ตามองตาเหมือนวันเก่า แต่ทำไมดูมันช่างว่างเปล่า
มันไม่ค่อยเหมือนเดิมเท่าไหร่ มือกุมมือที่เคยจับ
แต่ทำไมเธอจึงต้องดึงกลับ ก็ไม่รู้ทำไม

ก็คุ้นคุ้นว่าเคยได้เจอที่ไหนมาก่อน
ก็คล้ายคล้ายว่าฉันมันจะต้องเดือดร้อน

เธอจะเป็นอีกคนรึเปล่า จะเป็นอีกคนรึเปล่า
อย่างที่เขาทำกันที่ผ่านมา
มันจะเป็นอย่างเดิมรึเปล่า จะเป็นอย่างเดิมรึเปล่า
เหมือนที่ฉันนั้นเคยเจอ หรือยังไง
จะโดนอีกทีรึเปล่า หรือว่าฉันนั้น
มันกำลังจะเสียเธอไป หวั่นใจเหลือเกิน

ตามองตาเหมือนวันเก่า แต่ทำไมดูมันช่างว่างเปล่า
มันไม่ค่อยเหมือนเดิมเท่าไหร่ มือกุมมือที่เคยจับ
แต่ทำไมเธอจึงต้องดึงกลับ ก็ไม่รู้ทำไม

ก็คุ้นคุ้นว่าเคยได้เจอที่ไหนมาก่อน
ก็คล้ายคล้ายว่าฉันมันจะต้องเดือดร้อน

เธอจะเป็นอีกคนรึเปล่า จะเป็นอีกคนรึเปล่า
อย่างที่เขาทำกันที่ผ่านมา
มันจะเป็นอย่างเดิมรึเปล่า จะเป็นอย่างเดิมรึเปล่า
เหมือนที่ฉันนั้นเคยเจอ หรือยังไง
จะโดนอีกทีรึเปล่า หรือว่าฉันนั้น
มันกำลังจะเสียเธอไป หวั่นใจเหลือเกิน

เธอจะเป็นอีกคนรึเปล่า จะเป็นอีกคนรึเปล่า
อย่างที่เขาทำกันที่ผ่านมา
มันจะเป็นอย่างเดิมรึเปล่า จะเป็นอย่างเดิมรึเปล่า
เหมือนที่ฉันนั้นเคยเจอ หรือยังไง
จะโดนอีกทีรึเปล่า หรือว่าฉันนั้น
มันกำลังจะเสียเธอไป หวั่นใจเหลือเกิน",namm_ronnadet
พอได้แล้ว,/music/thailyric/8239,"สายตาที่เห็น
ไม่ได้เป็นเหมือนอย่างที่เคย
ท่าทางที่เฉย ดูเย็นชาเหมือนไม่รักกัน

ได้ยินเสียงกันอย่างเคย
ทำไมยิ่งเหงาขึ้นทุกวัน
ไม่เข้ากันอย่างนั้น
จะเหลือทางไหนที่มันดี
กว่าทำใจ กว่าทำใจ

พอได้แล้ว ก็หัวใจมันทนพอแล้ว
ตัดสินใจแยกทางสักทีไป
ก่อนจะไม่เหลือความดีให้กัน

ก็จบได้แล้ว เหนื่อยก็ไปไม่ต้องยืดเยื้อ
เราสองคนแค่รอให้ใครพูดก่อนก็เท่านั้น
บอกลาวันที่ยังรักกัน
อย่าให้มันถึงวัน ที่เกลียดเลย

พอได้แล้ว ก็หัวใจมันทนพอแล้ว
ตัดสินใจแยกทางสักทีไป
ก่อนจะไม่เหลือความดีให้กัน

ก็จบได้แล้ว เหนื่อยก็ไปไม่ต้องยืดเยื้อ
เราสองคนแค่รอให้ใครพูดก่อนก็เท่านั้น
บอกลาวันที่ยังรักกัน
อย่าให้มันถึงวัน ที่เกลียดเลย

ที่เกลียดเลย",namm_ronnadet
ไม่รักไม่เป็นไร,/music/thailyric/5858,"ไม่บอกตรงตรง ก็พอจะรู้และเข้าใจ
ใจเธอมีใครและคนคนนั้นไม่ใช่ฉัน
ก็พอจะดู ก็พอจะรู้ใครสำคัญ
ไม่ต้องเกรงใจ ไม่ต้องห่วงฉันจะผิดหวัง

รักใครก็รักไป เลือกคนที่ใจมัน
เรียกร้องให้รัก ไม่ต้องลังเลใจ

ไม่รักไม่เป็นไร ฉันเข้าใจ
และไม่เคยโกรธเธอ
ไม่รักไม่เป็นไร ไม่โทษเธอ
ฉันเองก็รู้ดีว่าฉัน ควรทำเช่นไร
แค่เพียงได้ห่วงใย อย่างเพื่อนที่จริงใจก็พอ

มันอาจจะดี ถ้าเธอกับฉันเป็นเพื่อนกัน
มันอาจยืนยาว ถ้าเราจะคบกันแบบนี้
มันคือความจริงที่ตัวของฉันก็รู้ดี
ไม่ต้องกังวล ถ้าในวันนี้จะบอกฉัน

รักใครก็รักไป เลือกคนที่ใจมัน
เรียกร้องให้รัก ไม่ต้องลังเลใจ

ไม่รักไม่เป็นไร ฉันเข้าใจ
และไม่เคยโกรธเธอ
ไม่รักไม่เป็นไร ไม่โทษเธอ
ฉันเองก็รู้ดีว่าฉัน ควรทำเช่นไร
แค่เพียงได้ห่วงใย อย่างเพื่อนที่จริงใจก็พอ

ไม่รักไม่เป็นไร ฉันเข้าใจ
และไม่เคยโกรธเธอ
ไม่รักไม่เป็นไร ไม่โทษเธอ
ฉันเองก็รู้ดีว่าฉัน ควรทำเช่นไร
แค่เพียงได้ห่วงใย อย่างเพื่อนที่จริงใจก็พอ

แค่เพียงได้ห่วงใย อย่างเพื่อนที่จริงใจก็พอ",namm_ronnadet
ยินดีที่ได้รักเธอ,/music/thailyric/8295,"คนคนเดียว ก็มีใจดวงเดียว
แต่ว่าฉันให้เธอ
ไม่ว่าเหตุผลใด เธอจงอย่าสนใจ
แค่เธอรับไป

ไม่ขอ สิ่งตอบแทน
ไม่ได้คิดหรือว่าแฝงสิ่งอื่นใด
ไม่ถาม ว่าเธอรักใคร
เธอจะรักฉันไหมไม่แคร์

แค่เพียงคนคนนี้ ยินดีที่ได้รักเธอ
อื่นใดนั้น มันไม่เกี่ยว
สิ่งที่ฉันนั้นรู้ ใจมันรักได้คนเดียว
และไม่มีวันเปลี่ยนไป

หากเป็นคนบนฟ้า ชะตาดลให้พบกัน
หากสวรรค์มองเราอยู่
จะให้ฟ้าได้เห็น และให้เธอได้เรียนรู้
ฉันรักเธอเท่าไร

กลางดวงดาว อาจจะมีดวงจันทร์
กลางใจฉันมีเธอ
ไม่ว่าเจอเรื่องใด จะเดินเคียงข้างไป
ให้เธอมั่นใจ

ไม่ขอ สิ่งตอบแทน
ไม่ได้คิดหรือว่าแฝงสิ่งอื่นใด
ไม่ถาม ว่าเธอรักใคร
เธอจะรักฉันไหมไม่แคร์

แค่เพียงคนคนนี้ ยินดีที่ได้รักเธอ
อื่นใดนั้น มันไม่เกี่ยว
สิ่งที่ฉันนั้นรู้ ใจมันรักได้คนเดียว
และไม่มีวันเปลี่ยนไป

หากเป็นคนบนฟ้า ชะตาดลให้พบกัน
หากสวรรค์มองเราอยู่
จะให้ฟ้าได้เห็น และให้เธอได้เรียนรู้
ฉันรักเธอเท่าไร

แค่เพียงคนคนนี้ ยินดีที่ได้รักเธอ
อื่นใดนั้น มันไม่เกี่ยว
สิ่งที่ฉันนั้นรู้ ใจมันรักได้คนเดียว
และไม่มีวันเปลี่ยนไป

หากเป็นคนบนฟ้า ชะตาดลให้พบกัน
หากสวรรค์มองเราอยู่
จะให้ฟ้าได้เห็น และให้เธอได้เรียนรู้
ฉันรักเธอเท่าไร

(จะให้ฟ้าได้เห็น และให้เธอได้เรียนรู้)
ฉันรักเธอเท่าไร",namm_ronnadet
ร่มหนึ่งคัน,/music/thailyric/8285,"ในเวลาที่มองหาใครไม่เจอ
ยังมีฉันยืนตรงนี้หนึ่งคน
ในเวลาที่ลมฝน ทำให้เธอต้องติดฝน
ฉันมีร่มหนึ่งคัน

ดูออกว่าเธอกำลังเหนื่อยล้า
ไม่เหลือใคร
ดูธรรมชาติก็ยังทับถม ให้ฝนตก
ให้ยิ่งเหนื่อย

ร่มมีหนึ่งคัน
ฉันก็อยากชวนให้เดินไปพร้อมกัน
ใจเธอเจ็บมา
ขอเป็นหนึ่งคนที่เดินไปด้วยกัน
ไม่มีใครเธอยังมีฉัน
ฉันจะคอยประคองเธอไว้
ร่มคันเดียวมีฉันและเธอ ไปด้วยกัน

ในเวลาต่อจากนี้ เธอต้องเจอกับปัญหา
ฉันจะไม่ไปไหน
ในเวลาต้องการใคร คอยกุมมือจับเธอไว้
ฉันก็พร้อมเข้าไป

ดูออกว่าเธอกำลังเหนื่อยล้า
ไม่เหลือใคร
ดูธรรมชาติก็ยังทับถม ให้ฝนตก
ให้ยิ่งเหนื่อย

ร่มมีหนึ่งคัน
ฉันก็อยากชวนให้เดินไปพร้อมกัน
ใจเธอเจ็บมา
ขอเป็นหนึ่งคนที่เดินไปด้วยกัน
ไม่มีใครเธอยังมีฉัน
ฉันจะคอยประคองเธอไว้
ร่มคันเดียวมีฉันและเธอ ไปด้วยกัน

ร่มมีหนึ่งคัน
ฉันก็อยากชวนให้เดินไปพร้อมกัน
ใจเธอเจ็บมา
ขอเป็นหนึ่งคนที่เดินไปด้วยกัน
ไม่มีใครเธอยังมีฉัน
ฉันจะคอยประคองเธอไว้
ร่มคันเดียวมีฉันและเธอ ไปด้วยกัน

มีฉัน และเธอ ไปด้วยกัน
มีฉัน และเธอ ไปด้วยกัน",namm_ronnadet
เส้นขนานที่รักกัน,/music/thailyric/5860,"ก็รู้ตัวดี เรานั้นต่างกัน
และไม่มีวัน ที่จะลงเอยก็รู้
แต่เราก็มารักกัน ผูกพันโดยที่ไม่สนอะไร

จากเส้นขนาน ที่ไม่มีทางบรรจบกัน
เกิดเป็นความรัก ที่ไม่มีทางจะแยกกัน
ต่างกันแค่ไหนก็ไม่สำคัญ
แค่ใจของเรารักกัน ก็พอแล้ว
มันอยู่ที่หัวใจเราเท่านั้น

ความรักนำทาง เราให้เจอะกัน
ให้ฉันมีเธอ จับมือกันไปเช่นนี้
อย่าเลย อย่าไปสนใจ
มั่นใจกับความรักนี้ของเรา

จากเส้นขนาน ที่ไม่มีทางบรรจบกัน
เกิดเป็นความรัก ที่ไม่มีทางจะแยกกัน
ต่างกันแค่ไหนก็ไม่สำคัญ
แค่ใจของเรารักกัน ก็พอแล้ว
มันอยู่ที่หัวใจเราเท่านั้น

ไม่มีสิ่งใดที่จะเปลี่ยน ความรักที่ฉันมีให้เธอ
จะมีอะไรกั้นขวางเพียงใด
ผู้ชายคนนี้ก็จะไม่ทิ้งเธอ
และเส้นขนาน ก็จะยังรักกันตลอดไปรู้ไหม

จากเส้นขนาน ที่ไม่มีทางบรรจบกัน
เกิดเป็นความรัก ที่ไม่มีทางจะแยกกัน
ต่างกันแค่ไหนก็ไม่สำคัญ
แค่ใจของเรารักกัน ก็พอแล้ว
มันอยู่ที่หัวใจเราเท่านั้น",namm_ronnadet
หนึ่งคำสำคัญ,/music/thailyric/5862,"รักเธอ ถ้อยคำที่คนเขาพูดกันจัง
ได้ฟังจนชินหู บางทีก็รู้สึกดี
แต่บ่อยบ่อยเลยที่ไม่เคยซึ้ง

ง่ายเกินไป ได้ยินคนบอกว่ารักช่างง่ายดาย
และใจมีคำถามก่อนจะรักใครสักคน
เวลาแค่นั้นมันจะพออะไร

ถ้าหากว่าช้าหน่อยคิดหน่อย รักคงมีค่าขึ้นมา
ลึกหน่อยซึ้งหน่อย รักจะดูสูงราคา
ขอเก็บไว้ก่อน ไว้ให้มันถึงเวลาที่คู่ควร
แล้วฉันจะกระซิบบอกกับเธอ

รักเธอ บอกกันในวันนั้นไม่ทันไร
ก็ลากันไปแล้ว มีคนมากมายเท่าใด
ที่ไม่ใส่ใจกับถ้อยคำนี้

ขอให้เธอ อย่ามองกันว่าฉันไม่จริงใจ
ที่ไม่เคยบอกรัก แต่หากเมื่อไรได้ฟัง
ก็แปลว่าฉันนั้นแน่ใจจริงจริง

ถ้าหากว่าช้าหน่อยคิดหน่อย รักคงมีค่าขึ้นมา
ลึกหน่อยซึ้งหน่อย รักจะดูสูงราคา
ขอเก็บไว้ก่อน ไว้ให้มันถึงเวลาที่คู่ควร
แล้วฉันจะกระซิบบอกกับเธอ

ถ้าหากว่าช้าหน่อยคิดหน่อย รักคงมีค่าขึ้นมา
ลึกหน่อยซึ้งหน่อย รักจะดูสูงราคา
ขอเก็บไว้ก่อน ไว้ให้มันถึงเวลาที่คู่ควร
แล้วฉันจะกระซิบบอกกับเธอ",namm_ronnadet
ให้ฉันดูแลเธอ,/music/thailyric/5863,"ก็เป็นคนธรรมดา ไม่พิเศษ
ก็เป็นคนที่เดินดิน อย่างคนทั่วไป
ไม่ได้ดี เกินกว่าคนไหน
มีแค่ใจดวงเดียวให้เธอ

ก็เป็นเพียงคนๆ หนึ่งไม่เลิศเลอ
แค่บังเอิญมาเจอเธอ แต่ไม่รู้ทำไม
ยิ่งใกล้กัน ก็ยิ่งหวั่นไหว
อยากค้นใจเธอดูสักครั้ง

หากบังเอิญ ถ้าเธอต้องการใคร
หากวันใดถ้าเธอนั้นอ่อนแอ

ให้ฉันดูแลเธอ รักเธอได้ไหม
ให้ฉันเป็นเพื่อนเธอ เมื่อเธอเหงาใจ
ไม่ต้องกลัว จะไม่ไปไหน
จะไม่ทำให้เธอเจ็บอีกเหมือนเคย จะดูแลอย่างดี

หากว่าเธอยังลังเลไม่แน่ใจ
ก็ปล่อยให้มันเป็นไป ให้ตัวฉันได้พิสูจน์
ว่ารักเธอ มากสักแค่ไหน
โปรดไว้ใจฉันดูสักครั้ง

หากบังเอิญ ถ้าเธอต้องการใคร
หากวันใดถ้าเธอนั้นอ่อนแอ

ให้ฉันดูแลเธอ รักเธอได้ไหม
ให้ฉันเป็นเพื่อนเธอ เมื่อเธอเหงาใจ
ไม่ต้องกลัว จะไม่ไปไหน
จะไม่ทำให้เธอเจ็บอีกเหมือนเคย จะดูแลอย่างดี

ให้ฉันดูแลเธอ รักเธอได้ไหม
ให้ฉันเป็นเพื่อนเธอ เมื่อเธอเหงาใจ
ไม่ต้องกลัว จะไม่ไปไหน
จะไม่ทำให้เธอเจ็บอีกเหมือนเคย จะดูแลอย่างดี

ให้ฉันดูแลเธอ รักเธอได้ไหม
ให้ฉันเป็นเพื่อนเธอ เมื่อเธอเหงาใจ
ไม่ต้องกลัว จะไม่ไปไหน
จะไม่ทำให้เธอเจ็บอีกเหมือนเคย จะดูแลอย่างดี",namm_ronnadet
คนไม่รู้จักพอ,/music/thailyric/5855,"จุดเริ่มเป็นแค่เพียง อยากแค่ใกล้เธอ
ก็หวังเพียงได้เจอ ได้เป็นเพื่อนเธอสักวัน
ก่อนแค่เพียงต้องการแค่ได้ทักทาย
แค่ได้เป็นเพื่อนกันก็ดีมากเกินจะฝัน

แต่ยิ่งฉันผูกพัน ก็ทำให้ฉันยิ่งหวังไกล
และหากปล่อยไปก็คงยิ่งช้ำ

ก็เป็นเพราะฉันไม่รู้จักพอ ไม่เคยพอดี
ได้มาเท่านี้ไม่พอ ไม่รู้จักหยุด
ทั้งๆที่เธอไม่มีใจ เพราะไม่รู้จักพอ หัวใจจึงแตกสลาย
เพราะรู้ว่าไม่มีวันที่ได้เธอมา

ก็ก้าวมาซะไกล จากวันแรกเจอ
จะให้เป็นเพื่อนเธอ ก็กลายว่าทำไม่ถูก
ก็แค่ทำได้เพียง ห่างมาให้ไกล
หยุดเรื่องราววุ่นวาย ที่ทำให้เราต้องทุกข์

แต่ยิ่งฉันผูกพัน ก็ทำให้ฉันยิ่งหวังไกล
และหากปล่อยไปก็คงยิ่งช้ำ

ก็เป็นเพราะฉันไม่รู้จักพอ ไม่เคยพอดี
ได้มาเท่านี้ไม่พอ ไม่รู้จักหยุด
ทั้งๆที่เธอไม่มีใจ เพราะไม่รู้จักพอ หัวใจจึงแตกสลาย
เพราะรู้ว่าไม่มีวันที่ได้เธอมา",namm_ronnadet
