song_name,href,lyric,artist
คำถามของหัวใจ,/music/thailyric/2531,"มีแต่คำว่าไม่เข้าใจเมื่อพบเธอ
เธอเป็นหมอกหรือว่าควัน ดูแล้วฉันยังสับสน
เรื่องที่เราได้มาเจอะกันช่างวกวน
มองในตาเธอทุกที ก็อดสงสัยไม่ได้

เธอเป็นคนยังไง เธอร้ายเธอดี
กี่คำถามที่ยังข้องใจ
ยิ่งหาคำตอบ ยิ่งค้นเท่าไร
หัวใจยิ่งเกิดคำถามมากขึ้นเท่านั้น

ทำไมนะทำไม ทำไมฉันต้องไหวหวั่นเมื่อใกล้เธอ
ห้ามใจยังไง ก็คอยจะเผลอและคอยจะเพ้อไป
ก็ไม่รู้ไม่รู้จริงจริงรู้สึกกับเธอแบบไหน
ปรารถนาให้เธอช่วยฉันสักหน่อย
ช่วยตอบคำถามในใจสักที

รู้จักเธอ แต่ฉันไม่เคยจะรู้ใจ
วันเวลาที่ล่วงไป ไม่ช่วยอะไรได้เลย
ดูไม่ชัด ถึงแม้ว่าเราเริ่มคุ้นเคย
บางทีดูแคร์ บางทีเฉยเมย
ยิ่งใกล้เธอใจยิ่งกลัว

เธอเป็นคนยังไง เธอร้ายเธอดี
กี่คำถามที่ยังข้องใจ
ยิ่งหาคำตอบ ยิ่งค้นเท่าไร
หัวใจยิ่งเกิดคำถามมากขึ้นเท่านั้น

ทำไมนะทำไม ทำไมฉันต้องไหวหวั่นเมื่อใกล้เธอ
ห้ามใจยังไง ก็คอยจะเผลอและคอยจะเพ้อไป
ก็ไม่รู้ไม่รู้จริงจริงรู้สึกกับเธอแบบไหน
ปรารถนาให้เธอช่วยฉันสักหน่อย
ช่วยตอบคำถามในใจสักที

ทำไมนะทำไม ทำไมฉันต้องไหวหวั่นเมื่อใกล้เธอ
ห้ามใจยังไง ก็คอยจะเผลอและคอยจะเพ้อไป
ก็ไม่รู้ไม่รู้จริงจริงรู้สึกกับเธอแบบไหน
ปรารถนาให้เธอช่วยฉันสักหน่อย
ช่วยตอบคำถามในใจสักที",nan_vatiya
คนรักกันไม่ทำอย่างนี้,/music/thailyric/9079,"คนรักกันไม่ทำอย่างนี้
มีน้ำใจให้กันได้ไหม
ลืมหรือไงว่าเราเป็นอะไรกัน
ต้องเสียใจเท่าไหร่จะพอ
หรือต้องรอให้เราเลิกกัน
ฉันรับอะไรแบบนี้ต่อไปไม่ไหวจริงๆ

การกระทำของเธอไม่เหมือนคนที่รักกัน
อะไรไม่ดี เธอดีแต่ทำให้ฉันรู้ไหม
ยิ่งเวลาล่วงเลย ยิ่งทำให้เธอละเลยเรื่อยไป
ทำไม ทำไม ไม่แคร์เหมือนตอนแรกคบกัน

ที่เคยโทรไป เธอไม่เคยโทรกลับมา
เธอมีเวลา ให้คนอื่นได้เสมอ
แต่คนรักเธอไม่เคยสำคัญ

คนรักกันไม่ทำอย่างนี้
มีน้ำใจให้กันได้ไหม
ลืมหรือไง ว่าเราเป็นอะไรกัน
ต้องเสียใจเท่าไหร่จะพอ
หรือต้องรอให้เราเลิกกัน
ฉันรับอะไรแบบนี้ต่อไป ไม่ไหวๆ

คนมีเป็นล้านคน แต่เราได้มารักกัน
เธอเคยจะมอง จะเห็นคุณค่าตรงนี้บ้างไหม
ถ้าเธอคิดว่าฉันไม่ต่างจากคนทั่วๆ ไป
จะยอมทำใจให้เธอทิ้งไปซะยังดีกว่า

ที่เคยโทรไป เธอไม่เคยโทรกลับมา
เธอมีเวลา ให้คนอื่นได้เสมอ
แต่คนรักเธอไม่เคยสำคัญ

คนรักกันไม่ทำอย่างนี้
มีน้ำใจให้กันได้ไหม
ลืมหรือไง ว่าเราเป็นอะไรกัน
ต้องเสียใจเท่าไหร่จะพอ
หรือต้องรอให้เราเลิกกัน
ฉันรับอะไรแบบนี้ต่อไป ไม่ไหว

ใจก็ยังรักเธอและยังอยากทนให้ถึงที่สุด
แต่คงจะยื้อมันต่อไป ได้ไม่นาน

คนรักกันไม่ทำอย่างนี้
มีน้ำใจให้กันได้ไหม
ลืมหรือไง ว่าเราเป็นอะไรกัน

ต้องเสียใจเท่าไหร่จะพอ
หรือต้องรอให้เราเลิกกัน
ฉันรับอะไรแบบนี้ต่อไป ไม่ไหวจริงๆ
ฉันต้องทำยังไง",nan_vatiya
ไม่ขอให้รัก แต่ไม่อยากให้ลืม,/music/thailyric/8922,"แค่โทรมา เวลาคิดถึง หรือแค่ส่งรูปมา
แค่รู้ ว่าเธอห่วง ก็ดีมากเท่าไร
แค่มาเจอเวลาที่เหงา มาทานข้าวด้วยกัน
ได้แค่นั้น ฉันก็ยังพอใจ

ไม่รู้ว่าถูก หรือว่าผิด ที่คิดอย่างนี้
แค่รู้ว่าดี ที่เธอได้ฟัง ว่าคิดอย่างไร

ไม่ได้ขอให้รัก แต่ไม่อยากให้ลืม
แค่กันที่ว่างในใจ ไว้พอให้จำฉันบ้าง
ไม่ได้ขอให้รัก แค่อยากมีความหมายในบางครั้ง
จะสถานะอะไร ได้ทุกอย่าง แค่อย่าว่าถ้าฉันรักเธอ

หัวใจเธอ เธอจะให้ใคร ก็เป็นเรื่องของเธอ
ส่วนใจฉัน เธอเป็นคนได้ไป

ไม่รู้ว่าถูก หรือว่าผิด ที่คิดอย่างนี้
แค่รู้ว่าดี ที่เธอได้ฟัง ว่าคิดอย่างไร

ไม่ได้ขอให้รัก แต่ไม่อยากให้ลืม
แค่กันที่ว่างในใจ ไว้พอให้จำฉันบ้าง
ไม่ได้ขอให้รัก แค่อยากมีความหมายในบางครั้ง
จะสถานะอะไร ได้ทุกอย่าง แค่อย่าว่าถ้าฉันรักเธอ

ไม่ได้ขอให้รัก แต่ไม่อยากให้ลืม
แค่กันที่ว่างในใจ ไว้พอให้จำฉันบ้าง
ไม่ได้ขอให้รัก แค่อยากมีความหมายในบางครั้ง
จะสถานะอะไร ได้ทุกอย่าง แค่อย่าว่าถ้าฉันรักเธอ",nan_vatiya
กล่องความทรงจำ,/music/thailyric/2529,"เช้าวันอาทิตย์ได้นอนตื่นสาย พักใจที่มันวุ่นวาย
ได้มีเวลาจัดข้าวของที่กองซะเต็ม
เจอกล่องใบนึงที่ลืมไปแล้ว เปิดดูมันมีจดหมาย
ที่เธอเคยส่งมาให้กับฉัน

เหมือนความทรงจำถูกปลุกขึ้นมา
ภาพเธอก็ลอยเข้ามา
เหมือนเรื่องดีดีในจดหมายเพิ่งเกิดเมื่อวาน
เราตกลงกันเรื่องอนาคต วันนั้นไม่มีใครรู้
ว่ามันจะเป็นแค่อดีตไป

ป่านนี้เธอทำอะไรที่ไหนยังไง
ตั้งแต่วันที่เราทิ้งคำว่าเรา
ภาพเก่าเก่า ก็ยังชัดไม่เปลี่ยนไปตามเวลา
ข้อความที่มันเคยทำให้ฉันดีใจ
ได้อ่านอีกที ในวันนี้กลับมีน้ำตา
เพิ่งเข้าใจว่าฉันไม่เคยลืมเธอได้เลย

มีสักกี่คนที่ในชีวิต ที่เราได้ทำหล่นหาย
หลงลืมกันไป ผ่านมาแล้วก็ผ่านพ้นไป
มีสักกี่คนที่เราจดจำ จดจำไปชั่วชีวิต
ถึงคิดจะลืมก็ยังจะจำ

ป่านนี้เธอทำอะไรที่ไหนยังไง
ตั้งแต่วันที่เราทิ้งคำว่าเรา
ภาพเก่าเก่า ก็ยังชัดไม่เปลี่ยนไปตามเวลา
ข้อความที่มันเคยทำให้ฉันดีใจ
ได้อ่านอีกที ในวันนี้กลับมีน้ำตา
เพิ่งเข้าใจว่าฉันไม่เคยลืมเธอได้เลย

ป่านนี้เธอทำอะไรที่ไหนยังไง
ตั้งแต่วันที่เราทิ้งคำว่าเรา
ภาพเก่าเก่า ก็ยังชัดไม่เปลี่ยนไปตามเวลา
ข้อความที่มันเคยทำให้ฉันดีใจ
ได้อ่านอีกที ในวันนี้กลับมีน้ำตา
เพิ่งเข้าใจว่าฉันไม่เคยลืมเธอได้เลย",nan_vatiya
ใกล้กันยิ่งหวั่นไหว,/music/thailyric/2530,"ไม่อยากเป็นคนอารมณ์อ่อนไหว
ที่ไปรักใครง่ายดายเหลือเกิน
ที่ไปรักเธอไม่ทันจะรู้ตัว

ส่วนหนึ่งในใจของฉันก็กลัว
บอกกับหัวใจตัวเองทุกที
บอกมันทุกวันให้มันหยุดรักเธอ

รักแล้วก็ช้ำเปล่าๆ
ฉันรู้และพอเข้าใจ
เตือนตัวเองเอาไว้ห้ามตัวเองเอาไว้
ไม่ให้แสดงออกมา

อยู่ใกล้กันยิ่งหวั่นไหว
ห้ามใจตัวเองไม่ได้เลย
สั่งหัวใจให้เมินเฉย
ไม่รู้ต้องทำยังไง
ใกล้เธอทำไมทุกครั้งในมันสั่นๆ
จิตใจของฉันนั้นวุ่นวาย
ตัวของฉันควบคุมไม่ได้
เมื่อสุดท้ายหัวใจมันรักเธอ

ไม่ว่าจะพยายามแต่ไหน
แต่ก็ไม่ลืมเธอไปสักที
ตราบใดที่ฉันยังคงต้องหายใจ

จะหลอกตัวเองได้นานแค่ไหน
ว่าตัวฉันไม่มีใจให้เธอ
ว่าตัวฉันไม่เป็นไรไม่เสียใจ

รักแล้วก็ช้ำเปล่าๆ
ฉันรู้และพอเข้าใจ
เตือนตัวเองเอาไว้ห้ามตัวเองเอาไว้
ไม่ให้แสดงออกมา

อยู่ใกล้กันยิ่งหวั่นไหว
ห้ามใจตัวเองไม่ได้เลย
สั่งหัวใจให้เมินเฉย
ไม่รู้ต้องทำยังไง
ใกล้เธอทำไมทุกครั้งในมันสั่นๆ
จิตใจของฉันนั้นวุ่นวาย
ตัวของฉันควบคุมไม่ได้
เมื่อสุดท้ายหัวใจมันรักเธอ

อยู่ใกล้กันยิ่งหวั่นไหว
ห้ามใจตัวเองไม่ได้เลย
สั่งหัวใจให้เมินเฉย
ไม่รู้ต้องทำยังไง
ใกล้เธอทำไมทุกครั้งในมันสั่นๆ
จิตใจของฉันนั้นวุ่นวาย
ตัวของฉันควบคุมไม่ได้
เมื่อสุดท้าย หัวใจมันรักเธอ",nan_vatiya
หยุดฟังเสียงหัวใจ,/music/thailyric/2532,"เพราะแค่คำว่ากลัวแค่คำเดียว
แค่กลัวว่าจะรักษารักไม่อยู่ อยู่กันไม่ได้นาน
เราต่างคนก็เลยไม่อาจผ่าน
ข้ามผ่านไปเป็นคนรัก ทั้งที่มีใจ

อึดอัดใจอย่างนี้ มันใช่หรือไงที่ใจเฝ้าฝัน
นี่ตัวเธอกับฉัน เราทำถูกไหม

บางทีเราอาจต้องหยุด หยุดฟังเสียงหัวใจ
ที่แท้ที่ใจต้องการ อยากกลัวต่อไปเช่นนั้น
หรือต้องการให้รักกันสักที ฟังเสียงใจ

เพียงตั้งใจและฟังให้ดีๆ
บางทีอาจมีสักคำที่ใจบอก บอกว่าให้รักไป
รักกันแล้วอาจดีไม่เท่าไหร่
แต่ดีกว่าที่ฝืนไว้ ฝืนไม่รักกัน

อึดอัดใจอย่างนี้ มันใช่หรือไงที่ใจเฝ้าฝัน
นี่ตัวเธอกับฉัน เราทำถูกไหม

บางทีเราอาจต้องหยุด หยุดฟังเสียงหัวใจ
ที่แท้ที่ใจต้องการ อยากกลัวต่อไปเช่นนั้น
หรือต้องการให้รักกันสักที ฟังเสียงใจ

บางทีเราอาจต้องหยุด หยุดฟังเสียงหัวใจ
ที่แท้ที่ใจต้องการ อยากกลัวต่อไปเช่นนั้น
หรือต้องการให้รักกันสักที ฟังเสียงใจ
บางทีเราอาจต้องหยุด",nan_vatiya
อยู่โดยไม่เหลือใคร,/music/thailyric/2533,"เดียวดายมาเท่าไร เหมือนรักใครไม่เป็น
เช่นดังดวงอาทิตย์ที่บนฟ้าไกล
ตระหง่านอยู่เพียงผู้เดียว ไร้เงาของใคร
ความร้อนจะหลอมละลาย ทุกสิ่งหายไป

เธอจะอยู่กับฉันได้นานสักเพียงใด
เธอจะต้องเสียใจเจ็บปวดสักวัน
นี่คือชะตาที่เป็นฉัน
ไม่มีวันจะได้อยู่กับใครสักคน

ถึงฉันรักเธอเท่าไร ถึงรักเธอมากเท่าไร
แต่เราคงไปไม่ถึงยังวันสุดท้าย
ต้องมีคนหนึ่งปวดร้าว อีกคนหนึ่งใจสลาย
ต้องอยู่ อยู่โดยไม่เหลือใคร

อยากเปลี่ยนแปลงทุกอย่าง แต่เราก็ทำไม่ได้
สุดท้ายก็เป็นอาทิตย์ ที่แสนเดียวดาย
เราไม่ควรไหวหวั่น ไม่ควรชิดใกล้
หากไม่เริ่มต้นก็คง ไม่ต้องเสียใจ

เธอจะอยู่กับฉันได้นานสักเพียงใด
เธอจะต้องเสียใจเจ็บปวดสักวัน
นี่คือชะตาที่เป็นฉัน
ไม่มีวันจะได้อยู่กับใครสักคน

ถึงฉันรักเธอเท่าไร ถึงรักเธอมากเท่าไร
แต่เราคงไปไม่ถึงยังวันสุดท้าย
ต้องมีคนหนึ่งปวดร้าว อีกคนหนึ่งใจสลาย
ต้องอยู่ อยู่โดยไม่เหลือใคร

ต้องมีคนหนึ่งปวดร้าว อีกคนหนึ่งใจสลาย
ฉันเอง ต้องอยู่โดยไม่เหลือใคร",nan_vatiya
เก็บรัก,/music/thailyric/9303,"เก็บรักเอาไว้ในอก
ดีกว่าหยิบยกรักไปให้ใคร
เก็บรักเอาไว้ในใจ
คงไม่ทำให้ใจหมอง

เก็บรักเอาไว้ดีกว่า
ไม่เสื่อมราคาน้ำตาไม่นอง
ค่ารักมันสูงเกินทอง
อย่าทำเป็นลองยกให้ใคร

อย่าเอาความรัก
ไปมอบกับคนที่ไม่รู้ค่า
จะเสียเวลาหมดเปลืองหัวใจ
ค่าความรักสูงยิ่งสิ่งใด
จงเก็บเอาไว้ทุ่มให้คนที่ดี

เช่นฉันเคยช้ำมาก่อน
จึงฝากคำสอนไว้เตือนสตรี
พลาดแล้วไม่แคล้วราคี
ควรใคร่ให้ดีก่อนยกให้ใคร

อย่าเอาความรัก
ไปมอบกับคนที่ไม่รู้ค่า
จะเสียเวลาหมดเปลืองหัวใจ
ค่าความรักสูงยิ่งสิ่งใด
จงเก็บเอาไว้ทุ่มให้คนที่ดี

เช่นฉันเคยช้ำมาก่อน
จึงฝากคำสอนไว้เตือนสตรี
พลาดแล้วไม่แคล้วราคี
ควรใคร่ให้ดีก่อนยกให้ใคร",nan_vatiya
กอดตัวเอง,/music/thailyric/8760,"อยู่คนเดียวตลอดถอนใจเบาๆ
กอดความเหงาไม่เคยปล่อย
กับรักที่ยังเฝ้าคอย ช่างดูไม่มีวี่แวว

อยากมีใครคิดถึงกัน
แต่ก็รู้คนๆ นั้นไม่เคยมี
ยิ้มและรับความจริงดูสักที
ว่าวันนี้มีเพียงเราที่เหว่ว้า

เหงา เหงาซะยิ่งกว่าเหงา ทุกวัน
แต่สุดท้ายมันก็เท่านั้นยังไหว
ไม่เป็นไรหรอกหนากอดตัวเองก็ดีเท่าไหร่
กลับมานั่งปรับทุกข์กับหัวใจ เหงาไปพร้อมๆ กัน

อยู่คนเดียวกันต่อเพราะรอจนเบื่อ
จนไม่เหลือกำลังใจ ความรักนั้นอยู่ที่ใด
ทำไมไม่เคยแวะมา

อยากมีใครคิดถึงกัน
แต่ก็รู้คนๆ นั้นไม่เคยมี
ยิ้มและรับความจริงดูสักที
ว่าวันนี้มีเพียงเราที่เหว่ว้า

เหงา เหงาซะยิ่งกว่าเหงา ทุกวัน
แต่สุดท้ายมันก็เท่านั้นยังไหว
ไม่เป็นไรหรอกหนากอดตัวเองก็ดีเท่าไหร่
กลับมานั่งปรับทุกข์กับหัวใจ เหงาไปพร้อมๆ กัน",nan_vatiya
คำสั่งฟ้า,/music/thailyric/15117,"ไม่เคยแพ้ ยอมให้ใครสักคน
เหตุและผล ฉันไม่เคยสนใจ
ไม่เคยคิด ว่าจะมีเรื่องใด
ที่ควบคุมมันไม่ได้สักอย่าง

สั่งเท่าไร ใจก็ยังไม่ฟัง
บอกกี่ครั้ง ว่าไม่ควรรักเธอ
แต่รู้ไหม  ยิ่งเมื่อได้พบเจอ
ยิ่งรักเธอมากมายขึ้นทุกวัน

จะบังคับหัวใจอย่างไร ไม่มีแรงจะไปต้านทาน
ไม่มีทาง ต่อให้ฉันจะทำ พยายามยังไง
ไม่อาจฝืนเพราะคำสั่งฟ้า ส่งลงมาให้เรารักใคร
ฟ้ากำหนดให้ฉันรักเธอคนนี้

ที่เคยคิด และเชื่อตลอดมา
ที่เย็นชา เหมือนไม่มีหัวใจ
ที่เคยเป็น มันเปลี่ยนไปเพราะใคร
แล้วทำไม ทำไม่ได้สักอย่าง

สั่งเท่าไร ใจก็ยังไม่ฟัง
บอกกี่ครั้ง ว่าไม่ควรรักเธอ
แต่รู้ไหม  ยิ่งเมื่อได้พบเจอ
ยิ่งรักเธอมากมายขึ้นทุกวัน

จะบังคับหัวใจอย่างไร ไม่มีแรงจะไปต้านทาน
ไม่มีทาง ต่อให้ฉันจะทำ พยายามยังไง
ไม่อาจฝืนเพราะคำสั่งฟ้า ส่งลงมาให้เรารักใคร
ฟ้ากำหนดให้ฉันรักเธอคนนี้

จะบังคับหัวใจอย่างไร ไม่มีแรงจะไปต้านทาน
ไม่มีทาง ต่อให้ฉันจะทำ พยายามยังไง
ไม่อาจฝืนเพราะคำสั่งฟ้า ส่งลงมาให้เรารักใคร
ฟ้ากำหนดให้ฉันรักเธอคนนี้",nan_vatiya
