song_name,href,lyric,artist
คิดถึงดังดัง,/music/thailyric/8500,"ห่วงจริงๆ นะ ฉันขอให้เธอดูแลตัวเองให้ดีนะ
ถึงว่าเราจะไกลกันไปห่างกันเท่าไหร่
แต่ใจฉันเองก็จะคอยตามเธอไป

อย่าอดนอนนะ มื้อเช้าเธอควรจะกินอะไรให้อิ่มไว้
แล้วระวังดีๆ เวลาจะไปไหนไกล
ขับรถถ้าง่วงก็จอดไว้ นอนเอาแรงนะเธอ

ฉันเองอยู่ทางนี้ตั้งใจทุกวัน เข้านอนเร็วๆ ทุกคืน
จะได้พบเธอในฝัน สิ่งที่ฉันไม่เคยลืม
ใจมันก็คอยจะถามเธอทุกที

คิดถึงฉันไหมคนดี (คิดถึงทุกวัน)
คิดถึงแค่ไหนขอฟัง (ทุกวินาที)
บอกฉันดังๆ เพราะรู้ไหมยิ่งฟังยิ่งทำให้นอนฝันดี

คิดถึงฉันไหมน่ะเธอ (คิดถึงจริงๆ)
ตลอดเวลาหรือเปล่า (แน่ใจได้เลย)
พูดมาให้ดังหน่อย ต้องการได้ยินบ่อยๆ ว่าคิดถึงกัน

อีกไม่นานนะ ไม่ช้าไม่นานจะเป็นเวลาที่เราฝัน
แล้วจะเป็นเวลา ที่เราได้เคียงข้างกัน
แต่วันนี้ฉันมองที่ดาว แทนดวงตาของเธอ

ฉันเองอยู่ตรงนี้ตั้งใจทุกวัน

เข้านอนเร็วๆ ทุกคืน
จะได้พบเธอในฝัน สิ่งที่ฉันไม่เคยลืม
ใจมันก็คอยจะถามเธอ อยู่ทุกที

คิดถึงฉันไหมคนดี (คิดถึงทุกวัน)
คิดถึงแค่ไหนขอฟัง (ทุกวินาที)
บอกฉันดังๆ เพราะรู้ไหมยิ่งฟังยิ่งทำให้นอนฝันดี

คิดถึงฉันไหมน่ะเธอ (คิดถึงจริงๆ)
ตลอดเวลาหรือเปล่า (แน่ใจได้เลย)
พูดมาให้ดังหน่อย ต้องการได้ยินบ่อยๆ ว่าคิดถึงกัน

คิดถึงฉันไหมคนดี (คิดถึงทุกวัน)
คิดถึงแค่ไหนขอฟัง (ทุกวินาที)
บอกฉันดังๆ เพราะรู้ไหมยิ่งฟังยิ่งทำให้นอนฝันดี

คิดถึงฉันไหมน่ะเธอ (คิดถึงจริงๆ)
ตลอดเวลาหรือเปล่า (แน่ใจได้เลย)
พูดมาให้ดังหน่อย ต้องการได้ยินบ่อยๆ ว่าคิดถึงกัน

พูดมาให้ดังหน่อย ต้องการได้ยินบ่อยๆ ว่าคิดถึงกัน",nat_sakdatorn
ฉันยังอยู่ทั้งคน,/music/thailyric/8912,"แผ่นหลัง ฉันมีให้เธอนั่งพิงผ่อนคลาย
ตักฉัน ฉันมีให้เธอได้นอนพักกาย
ฝ่ามือของฉันมี ไว้ประคอง
เมื่อเวลาเธอ พลั้งพลาดไป
ไม่ต้องกลัว ฉันไม่เคยห่างเธอ

ไหล่ฉัน ให้เธอเกาะไว้เมื่อเธอต้องการ
วันไหน ที่เธอเหนื่อยใจและกายเหลือเกิน
กับการเดินทางที่แสนยาวไกล
กับอะไรที่ต้องเผชิญ
ไม่ต้องกลัว ฉันยังอยู่ทั้งคน

จะไม่ไปไหนเลย ฉันขอรับปากเธอไว้
จะไม่ไปไหนไกล จะเหน็บจะหนาวเท่าไร
จะไม่ไปไหนเลย จำไว้ จะเผชิญวันคืนที่รอ
อยู่ด้วยกันไป มีฉันและมีเธอ

อ้อมแขน ฉันมีเอาไว้เพื่อคอยปลอบใจ
อกฉัน ฉันมีให้เธอมาซับ น้ำตา
ตั้งแต่ในนาทีนี้เรื่อยไป ไม่ว่ามีสิ่งไหนเข้ามา
ไม่ต้องกลัว ฉันยังอยู่ทั้งคน

จะไม่ไปไหนเลย ฉันขอรับปากเธอไว้
จะไม่ไปไหนไกล จะเหน็บจะหนาวเท่าไร
จะไม่ไปไหนเลย จำไว้ จะเผชิญวันคืนที่รอ
อยู่ด้วยกันไป มีฉันและมีเธอ

จะไม่ไปไหนเลย ฉันขอรับปากเธอไว้
จะไม่ไปไหนไกล จะเหน็บจะหนาวเท่าไร
จะไม่ไปไหนเลย จำไว้ จะเผชิญวันคืนที่รอ
อยู่ด้วยกันไป มีฉันและมีเธอ

ไม่ไปไหนเลย ฉันขอรับปากเธอไว้
จะไม่ไปไหนไกล จะเหน็บจะหนาวเท่าไร
จะไม่ไปไหนเลย จำไว้ จะเผชิญวันคืนที่รอ
อยู่ด้วยกันไป มีฉันและมีเธอ

อยู่ด้วยกันไป มีฉันและเธอ",nat_sakdatorn
ดับไฟด้วยน้ำมัน,/music/thailyric/8309,"หยุดอาการอ่อนไหวที่เธอแสดง
อย่าทำท่าทางเห็นใจ
หยุดถ้อยคำหวานๆ ที่เหมือนยังมีเยื่อใย

หยุดมาถามคำถาม ว่าฉันเป็นไง
หยุดบอกว่าเธอเสียใจเท่าไร
ที่เธอไปกับเขา ทิ้งฉันเกือบจะตาย

บอกเลยว่าความสงสาร
มันเหมือนน้ำมันราดรดกองไฟ
ต้องการให้ฉันทำใจก็สมควรไปให้ห่างกัน
ห่วงใยใจดีเกินไป
ยิ่งเหมือนว่าทำให้ไฟในใจยิ่งลุกลาม
ฉันขอร้องจริงๆ ไม่รักก็ปล่อยฉันไป

หยุดบอกฉันได้ไหม ว่าถึงยังไงก็ยังคิดถึงเป็นห่วง
เธอไม่รู้ใช่ไหม ว่าทุกคำทำร้ายใจ
เธอไม่รักก็รู้ ก็รู้กันดี ไม่มีอะไรชดเชยมันได้
หยุดถ้อยคำอ่อนหวาน ที่ล้วนแต่บาดใจ

บอกเลยว่าความสงสาร
มันเหมือนน้ำมันราดรดกองไฟ
ต้องการให้ฉันทำใจก็สมควรไปให้ห่างกัน
ห่วงใยใจดีเกินไป
ยิ่งเหมือนว่าทำให้ไฟในใจยิ่งลุกลาม
ฉันขอร้องจริงๆ ไม่รักก็ปล่อยฉันไป

หยุดอาการอ่อนไหว นา นา ลา ลา ลา
หยุดคำหวานๆ โอ้ว ได้ไหมเธอ

บอกเลยว่าความสงสาร
มันเหมือนน้ำมันราดรดกองไฟ
ต้องการให้ฉันทำใจก็สมควรไปให้ห่างกัน
ห่วงใยใจดีเกินไป
ยิ่งเหมือนว่าทำให้ไฟในใจยิ่งลุกลาม
ฉันขอร้องจริงๆ ไม่รักก็ปล่อย ฉันไป",nat_sakdatorn
หนึ่งคำที่รอ,/music/thailyric/8910,"เหมือนเป็นหยาดฝนในฤดูแห้งแล้ง
ดั่งดอกไม้เริ่มบานที่ใจ
เหมือนว่ามีแสงดาววับวาวสดใส
ส่องประกายกลางฟ้ามืดมน

แค่เพียงได้ยิน แค่หนึ่งคำที่รอ
อะไรๆ ก็ดูสวยงาม
แค่เธอพูดคำ คำว่ารักที่รอตั้งนาน
วันนี้ได้ยิน เธอนั้นได้บอกว่ารัก

ก็คุ้มจริงๆ ที่รอ ที่เฝ้าคอยมา
ที่ได้ผ่านร้อน ผ่านหนาว ทุกเรื่องราว
ก็คุ้มจริงๆ ที่เหนื่อย ที่ได้ทำเพื่อเธอ
แค่เธอบอกฉัน พูดว่ารักกัน
บอกเลยว่าฉันโชคดีกว่าใคร

ฉันก็ยอมรับ บ่อยครั้งมีคำถาม
ไม่แน่ใจหัวใจของเธอ
ฉันก็เคยท้อ เคยไหวหวั่นเสมอ
แต่วันนี้ใจฉันมันตื้นตัน

แค่เพียงได้ยิน แค่หนึ่งคำที่รอ
อะไรๆ ก็ดูสวยงาม
แค่เธอพูดคำ คำว่ารักที่รอตั้งนาน
วันนี้ได้ยิน เธอนั้นได้บอกว่ารัก

ก็คุ้มจริงๆ ที่รอ ที่เฝ้าคอยมา
ที่ได้ผ่านร้อน ผ่านหนาว ทุกเรื่องราว
ก็คุ้มจริงๆ ที่เหนื่อย ที่ได้ทำเพื่อเธอ
แค่เธอบอกฉัน พูดว่ารักกัน
บอกเลยว่าฉันโชคดีกว่าใคร

ก็คุ้มจริงๆ ที่รอ ที่เฝ้าคอยมา
ที่ได้ผ่านร้อน ผ่านหนาว ทุกเรื่องราว
ก็คุ้มจริงๆ ที่เหนื่อย ที่ได้ทำเพื่อเธอ
แค่เธอบอกฉัน พูดว่ารักกัน
บอกเลยว่าฉันโชคดีกว่าใคร

ก็คุ้มจริงๆ ที่รอ ที่เฝ้าคอยมา
ที่ได้ผ่านร้อน ผ่านหนาว ทุกเรื่องราว
ก็คุ้มจริงๆ ที่เหนื่อย ที่ได้ทำเพื่อเธอ
แค่เธอบอกฉัน พูดว่ารักกัน
บอกเลยว่าฉันโชคดีกว่าใคร",nat_sakdatorn
คำสามคำ,/music/thailyric/2301,"แค่คำสามคำเปลี่ยนเราสองคน
ที่คบกันมานานให้หมางเมินไป
แค่ในพริบตาที่เปิดหัวใจ
เพียงแค่เธอได้ฟัง เธอนั้นก็กลับเดินหนี

หมื่นพันนาทีที่เคยดีดี
ถูกลบเลือนไป แค่เสี้ยวนาที

แค่เสียงจากใจที่เคยได้บอกว่ารักออกไป
กลับทำให้คนอย่างฉันปวดใจ
เมื่อเธอไม่เคยต้องการรับฟัง
แค่เสียงจากใจที่ต้องทนเก็บมันเอาไว้เนินนาน
กลับมาทำให้เธอและฉันห่างกัน
ไม่เคยคิดว่าจะต้องเสียใจเพราะคำคำนี้

ให้เราสองคนกลับมาเหมือนเดิม
จะต้องทำอย่างไงฉันพร้อมจะทำ
กับคำสามคำจะยอมฝังมัน
ยอมลบความทรงจำว่าเคยรู้สึกอย่างไร

หมื่นพันนาทีที่เคยดีดี
ถูกลบเลือนไป แค่เสี้ยวนาที

แค่เสียงจากใจที่เคยได้บอกว่ารักออกไป
กลับทำให้คนอย่างฉันปวดใจ
เมื่อเธอไม่เคยต้องการรับฟัง
แค่เสียงจากใจที่ต้องทนเก็บมันเอาไว้เนินนาน
กลับมาทำให้เธอและฉันห่างกัน
ไม่เคยคิดว่าจะต้องเสียใจเพราะคำคำนี้

แค่เสียงจากใจ แค่เสียงใจพูดคำว่ารัก

แค่เสียงจากใจที่เคยได้บอกว่ารักออกไป
กลับทำให้คนอย่างฉันปวดใจ
เมื่อเธอไม่เคยต้องการรับฟัง
แค่เสียงจากใจที่ต้องทนเก็บมันเอาไว้เนินนาน
กลับมาทำให้เธอและฉันห่างกัน
ไม่เคยคิดว่าจะต้องเสียใจเพราะคำคำนี้

แค่ฉันบอกไป ไม่เคยคิดว่าจะต้องเสียใจ

แค่คำว่ารัก แค่คำคำนี้

แค่เสียงจากใจที่เคยได้บอกว่ารักออกไป
กลับทำให้คนอย่างฉันปวดใจ",nat_sakdatorn
รักได้อีก,/music/thailyric/2304,"รักให้ไปแล้ว จะถูกใจไหม ช้าก่อนะมันยังไม่พอ
ฉันจะขอมาแจกให้เธอทุกวัน
รู้ว่าเธอชอบที่ถูกคนรัก ฉันไม่ขอขัดใจแล้วกัน
แค่เตรียมรับมือหน่อยถ้ามันมากไป

เพราะความรักของฉันไม่จำกัด
ให้เธอหมดเลยไม่ให้คนไหน
แค่รอรับจากฉันเรื่อยๆ ไป
ยังมีให้เธอตั้งอีกไม่น้อย

ก็มันยังได้อีก ได้อีกรักเธอได้อีกตั้งเยอะ
ไม่ทิ้งให้เธอต้องเลื่อนลอย
ก็ยังจะให้อีก ให้อีก
ฉันมีใจให้เกินร้อย แค่นี้ให้เธอยังน้อยไป

เหลือ ก็ยังเหลือไม่หมดสต็อก
ฉันก็ล็อกเอาไว้ให้เธอ
แค่อย่าเผลอไปอยากได้ใจของใคร
หรือว่าเธอชอบไม่ชอบตรงไหน
ก็ให้ฉันดูแลให้พอ
ไม่ต้องขอก็ต้องให้เธอทั้งใจ

เพราะความรักของฉันไม่จำกัด
ให้เธอหมดเลยไม่ให้คนไหน
แค่รอรับจากฉันเรื่อยๆ ไป
ยังมีให้เธอตั้งอีกไม่น้อย

ก็มันยังได้อีก ได้อีกรักเธอได้อีกตั้งเยอะ
ไม่ทิ้งให้เธอต้องเลื่อนลอย
ก็ยังจะให้อีก ให้อีก
ฉันมีใจให้เกินร้อย แค่นี้ให้เธอยังน้อยไป

เพราะความรักของฉันไม่จำกัด
ให้เธอหมดเลยไม่ให้คนไหน
แค่รอรับจากฉันเรื่อยๆ ไป
ยังมีให้เธอตั้งอีกไม่น้อย

ก็มันยังได้อีก ได้อีกรักเธอได้อีกตั้งเยอะ
ไม่ทิ้งให้เธอต้องเลื่อนลอย
ก็ยังจะให้อีก ให้อีก
ฉันมีใจให้เกินร้อย แค่นี้ให้เธอยังน้อยไป

ก็มันยังได้อีก ได้อีกรักเธอได้อีกตั้งเยอะ
ไม่ทิ้งให้เธอต้องเลื่อนลอย
ก็ยังจะให้อีก ให้อีก
ฉันมีใจให้เกินร้อย แค่นี้ให้เธอยังน้อยไป",nat_sakdatorn
นาทีเงียบงัน,/music/thailyric/2302,"ขอฉันบอกเธอ ว่าดีใจที่ได้พบได้เจอกันที่เก่า
ก็ซึ้งใจที่มา และก็รู้ว่าเรานั้นไม่มีวัน
จะเหมือนเดิม

แค่ขอครั้งสุดท้าย
ที่จะมองตาของเธอ ได้มายืนใกล้ใกล้
เหตุผลดีดี ไม่มี
แต่มีเพียงคำที่เขามักใช้กัน คิดถึงเธอ

รู้แล้วว่าสายไป รู้แล้วเธอรักใคร
ขอแค่ฉันหายใจ อยู่ด้วยกันไปอย่างนี้สักนาที
ไม่ต้องพูดอะไร ก็แค่อยากให้รู้ใจว่าคิดถึงมากมาย
แค่นาทีเงียบงันที่เธอให้ฉัน ไม่ขอเธอมากกว่านี้

แล้วฉันก็จะไป จะไม่โทรมารบกวน
ไม่โทรมาวุ่นวาย ได้รู้ว่าเธอสบาย
อยู่กับคนที่เธอรัก เขารักเธอ
ก็เข้าใจ ดีใจด้วยคน

รู้แล้วว่าสายไป รู้แล้วเธอรักใคร
ขอแค่ฉันหายใจ อยู่ด้วยกันไปอย่างนี้สักนาที
ไม่ต้องพูดอะไร ก็แค่อยากให้รู้ใจว่าคิดถึงมากมาย
แค่นาทีเงียบงันที่เธอให้ฉัน ไม่ขอเธอมากกว่านี้

แล้วฉันก็จะไป จะไม่โทรมารบกวน
ไม่โทรมาวุ่นวาย ได้รู้ว่าเธอสบาย
อยู่กับคนที่เธอรัก เขารักเธอ
ก็เข้าใจ ดีใจด้วยคน",nat_sakdatorn
ไม่มีพรุ่งนี้,/music/thailyric/2303,"ทุกวินาทีที่มีอยู่
ทุกทุกนาทีที่อยู่เคียงข้างกัน ฉันและเธอ
ทุกวินาทีฉันรู้อยู่
ทุกทุกนาที ต่างมีความสำคัญ

จะทำตอนนี้ดีดี ตราบที่เรายังคงมีกัน
จะไม่มัวฝันไปแสนไกล
ขอดูแลแค่นาทีนี้จนสุดใจ

ไม่มีพรุ่งนี้ รักเราจะมีเพียงวันนี้รออยู่
ปล่อยวันพรุ่งนี้ ให้ฟ้านำทางต่อไป
หน้าที่ของฉัน แค่เพียงรักเธอวันนี้ทั้งหัวใจ
จะทำเวลาเท่าที่มี ให้เป็นความทรงจำ
จากวันนี้ถึงจนวันตาย

แค่ฉันยังกุมมือเธออยู่
แค่ฉันมีเธอให้กอดนอนทุกคืน ก็ดีใจ
และแม้วันใดฉันไม่ตื่น
ฉันก็ไม่มีสักสิ่งใด ให้เสียใจ

จะทำตอนนี้ดีดี ตราบที่เรายังคงมีกัน
จะไม่มัวฝันไปแสนไกล
ขอดูแลแค่นาทีนี้จนสุดใจ

ไม่มีพรุ่งนี้ รักเราจะมีเพียงวันนี้รออยู่
ปล่อยวันพรุ่งนี้ ให้ฟ้านำทางต่อไป
หน้าที่ของฉัน แค่เพียงรักเธอวันนี้ทั้งหัวใจ
จะทำเวลาเท่าที่มี ให้เป็นความทรงจำ
จากวันนี้ถึงจนวันตาย

หน้าที่ของฉัน แค่เพียงรักเธอวันนี้ทั้งหัวใจ
จะทำเวลาเท่าที่มี ให้เป็นความทรงจำจากวันนี้

ไม่มีพรุ่งนี้ รักเราจะมีเพียงวันนี้รออยู่
ปล่อยวันพรุ่งนี้ ให้ฟ้านำทางต่อไป
หน้าที่ของฉัน แค่เพียงรักเธอวันนี้ทั้งหัวใจ
จะทำเวลาเท่าที่มี ให้เป็นความทรงจำจากวันนี้",nat_sakdatorn
ครั้งหนึ่งในชีวิต (Once),/music/thailyric/10909,"แม้ว่าบทสุดท้าย คือความผิดหวัง แต่ฉันก็ภูมิใจ
ที่เคยได้ทุ่มเท ได้ทำเพื่อเธอหมดหัวใจ

จะมีกี่เหตุผลให้เราห่างกัน แต่ฉันไม่อยากจำ
สิ่งเดียวที่สำคัญ คือการที่เราได้พบกัน

หากความรัก เป็นหนังสือ เธอก็คือเรื่องราวตอนที่ซึ้งใจ
แม้จะต้องจบไป เนิ่นนานเท่าไรยังสำคัญ

แค่ครั้งหนึ่งในชีวิต ก็โชคดีแค่ไหน ที่ได้เคียงข้างเธอ
ครั้งหนึ่งในหัวใจ ฉันจะจำไว้ ว่าเราเคยรักมากเท่าไร
อาจจะยังคิดถึงจนเผลอเสียใจ แต่ไม่เคยเสียดายสักวินาที
ชีวิตได้มีวันที่ดี มีครั้งหนึ่งที่สวยงาม
ก็เพราะฉันได้รักเธอ

ปฏิทินเปลี่ยนฉันและเธอแค่ไหน แต่มุมหนึ่งในใจ
จะมีภาพของเธอ เก็บกอดไว้ภายในเรื่อยไป

หากความรัก เป็นหนังสือ เธอก็คือเรื่องราวตอนที่ซึ้งใจ
แม้จะต้องจบไป เนิ่นนานเท่าไรยังสำคัญ

แค่ครั้งหนึ่งในชีวิต ก็โชคดีแค่ไหน ที่ได้เคียงข้างเธอ
ครั้งหนึ่งในหัวใจ ฉันจะจำไว้ ว่าเราเคยรักมากเท่าไร
อาจจะยังคิดถึงจนเผลอเสียใจ แต่ไม่เคยเสียดายสักวินาที
ชีวิตได้มีวันที่ดี มีครั้งหนึ่งที่สวยงาม
ก็เพราะฉันได้รักเธอ

ครั้งหนึ่งในชีวิต ก็โชคดีแค่ไหน ที่ได้เคียงข้างเธอ
ครั้งหนึ่งในหัวใจ ฉันจะจำไว้ ว่าเราเคยรักมากเท่าไร
อาจจะยังคิดถึงจนเผลอเสียใจ แต่ไม่เคยเสียดายสักวินาที
ชีวิตได้มีวันที่ดี มีครั้งหนึ่งที่สวยงาม
ก็เพราะฉันได้รักเธอ

เพราะฉันได้รักเธอ",nat_sakdatorn
ความหมายที่หายไป,/music/thailyric/11210,"ลมหายใจ เคยมีความหมาย เพราะเธอ
ยิ้มของเธอ เคยเป็นเหตุผล ให้ฉันลืมตา

แต่ว่าวันนี้ ตอนนี้ ความว่างเปล่ากำลังเคลื่อนไหว
ความอ้างว้าง เข้ามาปกคลุมหัวใจ

คิดถึงทุกๆ สิ่ง คิดถึงทุกๆ อย่าง
ความรักที่เลยผ่าน ความหมายที่หายไป
คิดถึงทุกสัมผัส คิดถึงเวลากอด
เมื่อฉันไม่มีเธอ ตรงนี้ ไม่รู้จะอยู่เพื่อใคร
อยากหลับตาแล้วหาย

ห้องของเรา เคยมีความฝัน สวยงาม
รักของเธอ ยังคงเก็บไว้ ตรงที่เดิม

แต่ว่าวันนี้ ตอนนี้ ความว่างเปล่ากำลังเคลื่อนไหว
ความอ้างว้าง เข้ามาปกคลุมหัวใจ

คิดถึงทุกๆ สิ่ง คิดถึงทุกๆ อย่าง
ความรักที่เลยผ่าน ความหมายที่หายไป
คิดถึงทุกสัมผัส คิดถึงเวลากอด
เมื่อฉันไม่มีเธอ ตรงนี้ ไม่รู้จะอยู่เพื่อใคร
อยากหลับตาแล้วหาย

คิดถึงทุกๆ สิ่ง คิดถึงทุกๆ อย่าง
ความรักที่เลยผ่าน ความหมายที่หายไป
คิดถึงทุกสัมผัส คิดถึงเวลากอด
เมื่อฉันไม่มีเธอ ตรงนี้ ไม่รู้จะอยู่เพื่อใคร
อยากหลับตาแล้วหายไป

ลมหายใจ เคยมีความหมาย เคยมีความหมาย",nat_sakdatorn
