song_name,href,lyric,artist
คำพูดง่ายๆ,/music/thailyric/2262,"(พูด)
ตั้งแต่วันแรกเลยที่เราได้รู้จักกัน จนถึงวันนี้
หลายสิ่งหลายอย่างในชีวิตของเราก็เปลี่ยนไป
ทุกครั้งที่เราได้พบกัน ได้เจอกัน ได้พูดคุยกัน
มันทำให้ผมรู้สึกประทับใจและอบอุ่นใจอย่างบอกไม่ถูกเหมือนกันครับ
ผมก็ไม่รู้นะครับว่าผมรู้สึกอย่างงี้อยู่คนเดียวรึเปล่า
แต่มันก็นานกว่าผมจะเข้าใจและรู้ในใจของผมเอง
และวันนี้ ผมมีอะไรจะบอกคุณครับ ฟังนะครับ.


อยากมีคำพูดง่ายๆ อยากกระซิบเธอใกล้ๆ บอกความหมายในหัวใจของฉัน
ลึกๆ ข้างในนั้น เฝ้ารอคอยด้วยความหวัง ว่าเธอนั้นคงมีใจรู้สึกเหมือนกัน
คำพูดเพียงสั้นๆ อาจจะฟังดูง่ายๆ แต่ความหมายนั้นมากมาย...กว่านั้น
จากใจฉัน...ว่าฉันรักเธอ

(I found you...ใช่.ต้องใช่)

ฉันก็รู้ว่า...ตัวฉันนั้นรู้สึกเช่นไร
อยากจะขอให้เธอ ได้โปรด...ฟัง ความในใจ...ของฉันนี้

อยากมีคำพูดง่ายๆ อยากกระซิบเธอใกล้ๆ บอกความหมายในหัวใจของฉัน
ลึกๆ ข้างในนั้น เฝ้ารอคอยด้วยความหวัง ว่าเธอนั้นคงมีใจรู้สึกเหมือนกัน
คำพูดเพียงสั้นๆ อาจจะฟังดูง่ายๆ แต่ความหมายนั้นมากมาย...กว่านั้น
จากใจฉัน...ว่าฉันรักเธอ

แล้ว...ในวันนี้ ขอให้เธอ...ได้โปรดรับฟังฉันอีกสักครั้ง
คำพูดที่ดังออกจากหัวใจ คงไม่มีคำๆ ไหน แทนคำ...นี้
นอกจาก...

(I found you...ฉันพบแล้วคนที่ใช่)",nop_ponchamni
เธอเพียงคนเดียว,/music/thailyric/2264,"อยากบอกให้เธอรู้ เธอคือสุดที่รัก คือบ้านคือที่พักพิงหัวใจ
เธอเพียงคนเดียว เธอคือทุกๆ สิ่งที่ทำให้ฉันได้มีวันนี้
เธอคือความจริงที่ฉันมี ให้พลังที่แสนยิ่งใหญ่ เพราะรักที่มีให้กับฉัน

อยากบอกให้เธอรู้ เธอคือสุดที่รัก คือบ้านคือที่พักพิงหัวใจ
เธอเท่านั้นและเธอเพียงคนเดียว เธอคือทุกๆ สิ่งที่ทำให้ฉันได้มีวันนี้
เธอคือความจริงที่ฉันมี ให้พลังที่แสนยิ่งใหญ่ เพราะรักจากเธอเท่านั้น

อยากบอกให้เธอรู้ เธอคือสุดที่รัก คือบ้านคือที่พักพิงหัวใจ

อยากบอกให้เธอรู้ เธอคือสุดที่รัก คือบ้านคือที่พักพิงหัวใจ
เธอเท่านั้นและเธอเพียงคนเดียว เธอคือทุกๆ สิ่งที่ทำให้ฉันได้มีวันนี้
เธอคือความจริงที่ฉันมี ให้พลังที่แสนยิ่งใหญ่ เพราะรักจากเธอ...",nop_ponchamni
บอกหน่อยได้ไหม,/music/thailyric/2265,"ตั้งแต่เมื่อไร่ ที่เธอไม่บอก
ที่เธอไม่ตอบ ให้เข้าใจ
ต่อให้ถามเธอกี่ครั้ง เธอก็ยังไม่ยอม ใช่ไหม

รัก จึงรออย่างนี้เรื่อยมา
รู้ใช่ไหมว่ามีฉันคอย(อยู่)(ตรงนี้)
(และมันถึงเวลา)

บอกหน่อยได้ไหม ว่าเธอคิดยังไง
ในหัวใจ บอกฉันที
แค่ตกลงว่ารักสักที
ให้รออย่างนี้อีกนานเท่าไร
จะได้รู้สักที ไม่ได้ขออะไร โปรดบอก

หากเธอคิดลองใจ อยากจะพิสูจน์
กับความรัก ที่มีต่อเธอ
ไม่ต้องคิดกังวล เพราะคนๆ นี้มั่นใจเสมอ

รัก จึงรออย่างนี้เรื่อยมา
รู้ใช่ไหมว่ามีฉันคอย(อยู่)(ตรงนี้)
(และมันถึงเวลา)

บอกหน่อยได้ไหม ว่าเธอคิดยังไง
ในหัวใจ บอกฉันที
แค่ตอบฉันและตกลงว่ารักสักที
ต้องรออีกเท่าไร

บอกได้ไหม จะให้ฉันทำไง
แบบไหนกัน บอกฉันที
ไม่ก็ตอบมาดังๆ ว่ารักสักที
จะให้รออย่างนี้ อีกนานเท่าไร ฮึมม์

บอกหน่อยได้ไหม ว่าเธอคิดยังไง
ในหัวใจ บอกฉันที
แค่ตอบฉันและตกลงว่ารักสักที
ต้องรออีกเท่าไร

ไม่ก็ตอบมาดังๆ ว่ารักสักที
จะให้รออย่างนี้ อีกนานเท่าไหร่

(บอกหน่อยได้ไหม ว่าเธอคิดยังไง)
(ในหัวใจ บอกฉันที)

ฮู.. ฉันไม่เข้าใจ โฮ..
บอกได้ไหม โฮ.. บอกได้ไหมครับ ฮึมม์
บอกได้ไหมครับ นา นา นา
บอกอีกทีนะ นา นา นา
บอกดังๆ โว.. บอกว่ารักฉัน",nop_ponchamni
เพื่อนที่รู้ใจ,/music/thailyric/2269,"นี่คุณครับ อยากบอกอะไรกับคุณสักอย่าง
คุณรู้มั้ยครับ ว่าคุณนั้นน่ารักแค่ไหน
ทุกครั้งที่ได้เห็นคุณ ได้เจอคุณ
ผมก็เริ่มสั่น ใจมันหลุดลอยอยู่ตรงนั้น
ตรงที่คุณ ไม่รู้เป็นอย่างนี้ไปได้ไง โอ...

แค่เห็นคุณนั้นอยู่ แค่ได้ยืนใกล้ๆ
แค่ได้มองเห็นหน้า โอ้... ผมแทบละลาย
จะเป็นจะตาย เพราะคุณ

ช่วยเห็นใจผมหน่อย หันมามองสักหน่อย
ผมเฝ้าคอยโอกาส อยากจะรู้จักคุณ
อยากจะเป็นเพื่อนคุณ... ฮู... ได้ไหม

ได้โปรดรับฟัง คุณจะได้รู้สักที (รู้สักที)
ทุกครั้งที่ผมได้เห็นคุณ ได้เจอคุณ
ผมก็เริ่มสั่น ใจมันหลุดลอยอยู่ตรงนั้น
ตรงที่คุณ ทำไมเป็นอย่างนี้ ไม่เข้าใจ โฮ...

แค่เห็นคุณนั้นอยู่ แค่ได้ยืนใกล้ๆ
แค่ได้มองเห็นหน้า โอ้... ผมแทบละลาย
จะเป็นจะตาย เพราะคุณ

กรุณาผมหน่อย หัยมามองสักหน่อย
หันมามองคนหนึ่ง ที่อยากจะรู้จักคุณ
อยากจะเป็นเพื่อนคุณ เพื่อนที่รู้ใจ
คุณจะรังเกียจผมมั้ย ช่วยหันมามองสักหน่อย
ช่วยยิ้มให้กันสักนิด ได้มั้ย...
ได้ไหมครับคุณ โฮ

แค่เห็นคุณนั้นยืน แค่ได้ยืนใกล้ๆ
คงจะไม่พออีกต่อไป โอ...
หันมามอง หันมามอง สักนิดนึง นิดเดียว
โฮ... โอ... เพื่อนคุณ
อยากจะเป็นเพื่อนที่รู้... ใจนะ
โอ... รู้ใจ โว...

(วัน ทู ทรี)

แค่เห็นคุณนั้นยืน แค่ได้ยืนใกล้ๆ
ทำให้โลกช่างสดใส
ช่วยเห็นใจผมหน่อย หันมามองสักหน่อย
แค่อยากจะเป็นเพื่อนที่รู้
(นัน นา นัน นา...)
เพื่อนที่รู้ใจ เพื่อนที่รู้ใจ
นัน นา นัน นา",nop_ponchamni
ลัล ลัล ลา (A Man of Smiles),/music/thailyric/2270,"วันที่แสงไม่ส่อง นกไม่ร้อง หัวใจเซ็งๆ
และอารมณ์ ไม่ค่อยจะดี
ไม่ว่าจะมองทางไหน ไม่มี
เหมือนไม่เห็น ไม่เจอเรื่องดีๆ ให้สบายใจ

แบกความทุกข์เอาไว้ ให้หนักใจ
เรื่องใดที่โกรธกัน สักวันก็ต้องหาย
จะทำหน้าเศร้า อยู่ทำไม
ก็ทิ้งมันไป ไม่ว่ามันจะหนักแค่ไหน

ยิ้มเอาไว้ก่อน ไม่เป็นไร
ยิ้มให้กันไว้ดีๆ กว่า ลัล ลัล ลา
(เธอยิ้มแล้วโลกสดใส)
(มายิ้มให้กัน ให้กับทุกสายตา ฮา...)

มันจะสักเท่าไหร่ โอ! แค่ในก็ยังสบาย
ถ้าในใจ เราพร้อมจะเจอมัน
เรื่องใดที่มันไม่เป็น อย่างฝัน
แค่บอกตัวเอง ให้ยิ้มสู้มันกลับไป
ไม่เห็นต้องไปกลัว

แบกความทุกข์ เอาไว้ให้เหนื่อยใจ
เรื่องร้ายเหล่านั้น สักวันก็ต้องหาย
จะทำหน้าเศร้า อีกทำไม
ทิ้งมันไป ไม่ว่ามันจะหนักหนาแค่ไหน

ยิ้มเอาไว้ก่อน ไม่เป็นไร
ยิ้มให้กันไว้ดีๆ กว่า ลัล ลัล ลา
(เธอยิ้มแล้วโลกสดใส)
(มายิ้มให้กัน ให้กับทุกสายตา ฮา...)

ยิ้มให้ฉันก่อน จะเป็นไรไป
ยิ้มให้กันไว้ นั่นเป็นดั่งของล้ำค่า
มายิ้มให้โลก สดใส

ยิ้มให้เธอก่อน แค่เพียงเธอยิ้มคืนมา
จะรู้ว่าในไม่ช้า โลกที่ว้าวุ่นจะเปลี่ยนไป ฮา...

ยิ้มเอาไว้ก่อน ไม่เป็นไร
ยิ้มให้กันไว้ดีๆ กว่า ลัล ลัล ลา
(เธอยิ้มแล้วโลกสดใส)
(มายิ้มให้กัน ให้กับทุกสายตา ฮา...)

ยิ้มให้ฉันก่อน จะเป็นไรไป
ยิ้มให้กันไว้ นั่นเป็นดั่งของล้ำค่า
มายิ้มให้โลก สดใส

(ลัล ลัล ลัล ลา... ลัล ลา ลา ลา ลา...)
(ลัล ลัล ลัล ลา... ลัล ลา ลา ลา ลา...)",nop_ponchamni
เบบี้ ไอ เลิฟ ยู,/music/thailyric/2266,"เธอน่ารัก รู้ไหมจ๊ะ มากกว่าใครที่ฉันรู้
ทุกครั้งที่ฉัน เจอะเธอ ฉันฝืนใจ ไม่อยู่...
ที่จะปกปิด คำๆ นี้ Oh! Baby, I love you.

ยิ่งท่าทางเธอเขินๆ ยิ่งเพลิดเพลินที่ได้รู้
และรอยยิ้มที่ประทับใจ ทำฉันนั้นห้ามไว้ไม่อยู่....
จึงต้องหลุดปาก บอกเธอคนดี Oh! Baby, I love you.
Yes I do.. love you, love you

ฉันรักเธอ รู้ไหมจ๊ะ เริ่มเมื่อไรฉันไม่รู้
แต่ว่ามาก มากขึ้นทุกวัน จนฉันนั้นกลั้นใจไม่อยู่...
ฉันต้องขอพูด คำๆ นี้ สักที ว่า Baby, I love you...I love you.

มกรา กุมภา มีนา เมษา..
ต่อไปจนถึงพฤษภา...
มิถุนา กรกฎา สิงหา กันยา ตุลา พฤศจิกา
จวบจนธันวา... ฉันจะคอยพูดคำๆ นี้ ให้เธอรู้ว่า...

Baby, I love you. ฉันจะพิสูจน์ ให้เธอรู้
เวลาหมุนเวียน เปลี่ยนไป แค่ไหน ใจฉันจะยังรักอยู่
และจะ คอยพูดคำๆ นี้ ว่า Baby, I love you.

ไม่ว่ากี่ปี Baby, I love you.
ไม่ว่ากี่สิบปี Baby พี่รัก love you
โอ้ว กี่เดือน กี่ปี อีกกี่สิบปี I love you...you
I love you",nop_ponchamni
ฝรั่งใจ,/music/thailyric/2267,"(ฝรั่งดองถุงนึงจ้าาาา)
เพราะเข้าใจฉัน รู้จักกันดี
เพราะเป็นอย่างนี้ จึงรักเธอหมด
ทั้งหัวใจฉันให้เธอ Only รักเธอคนนี้ ที่รักของฉัน

ตั้งแต่ครั้งแรกที่ได้พบสบตา ที่ได้เห็นหน้า
ก็รู้ว่าเธอนั้นคือนางฟ้าที่ลงมาโปรดฉัน
ที่ตรงนี้ทุกๆกลางวัน มาโปรดฉันทุกวันธรรมดา
และเธอจะเดินเข้ามาหา ฉันไม่กล้าสบตา
ได้แต่ก้มหน้าหลบไป ทั้งที่ใจอยากจะส่งยิ้มให้
แต่เธอรู้ใช่ไหม เข้าใจใช่ไหม

เพราะเข้าใจฉัน รู้จักกันดี
เพราะเป็นอย่างนี้ จึงรักเธอหมด
ทั้งหัวใจฉัน ให้เธอ Only รักเธอคนนี้ ที่รักของฉัน

ทุกวินาทีที่มีเธออยู่ใกล้
ฉันชื่นฉ่ำใจ อยากจะหยุดเวลาเอาไว้
อยากพูดคุยอยากเอ่ยคำทักทาย
ว่าเธอนั้นมีความหมาย แต่ฉันไม่เคยจะทำได้
เพราะเธอจะพูดออกมาก่อนฉัน
คำที่ฉันได้ยินทุกวัน คำนั้น...
(ฝรั่งดองถุงนึงจ้าาาา)
ไม่เคยเลยสักครั้งที่ฉันจะพูดตอบไป
แต่เธอรู้ใช่ไหม เข้าใจใช่ไหม

เพราะเข้าใจฉัน รู้จักกันดี
เพราะเป็นอย่างนี้ จึงรักเธอหมด
ทั้งหัวใจฉัน ให้เธอ Only รักเธอคนนี้ ที่รักของฉัน

ฝากความในใจไว้ในฝรั่งดอง
ให้เธอได้เป็นเจ้าของ ครอบครองมันไว้
เธอคนเดียวคนเดียวที่ฉันให้ ฝรั่งใจ...

เพราะเข้าใจฉัน รู้จักกันดี
เพราะเป็นอย่างนี้ จึงรักเธอหมด
ทั้งหัวใจฉัน ให้เธอ Only ฝรั่งใจนี้ ให้เธอไว้...",nop_ponchamni
ขอให้เหมือนเดิม,/music/thailyric/15207,"ก่อนจากกัน คืนนั้นสองเรา
แนบซบเนาเคล้าคลอพ้อพรอดภิรมย์
หวานล้ำบำเรอ เธอให้ชิดชม
ฉันกอดเล้าโลม ชื่นใจ

จูบแก้มนวล ช่างยวนเย้าตรึง
จิตคะนึงถึงวันรักซ่านฤทัย
หอมหวนนวลปราง มิสร่างหายไป
ถึงห่างแสนไกลยังติดหัวใจมิลืม

ยามรักร้างแรมกัน เพ้อทุกคืนวัน
ติดตรึงใจฝันเตือน
มาเจอกัน แล้วไยเฉยเชือน
ฉันมาเยี่ยมเยือน อย่าง เคย

สุดที่รัก ลืมแล้วหรือไร
โปรดเห็นใจขอให้สมจิตชิดเชย
หวานซึ้งอันใดจงอย่าร้างเลย
ขออย่าเฉยเมยรักเอยขอให้เหมือนเดิม

ยามรักร้างแรมกัน เพ้อทุกคืนวัน
ติดตรึงใจฝันเตือน
มาเจอกัน แล้วไยเฉยเชือน
ฉันมาเยี่ยมเยือน อย่าง เคย

สุดที่รัก ลืมแล้วหรือไร
โปรดเห็นใจขอให้สมจิตชิดเชย
หวานซึ้งอันใดจงอย่าร้างเลย
ขออย่าเฉยเมยรักเอยขอให้เหมือนเดิม

ขอให้เหมือนเดิม",nop_ponchamni
ความสุข,/music/thailyric/2261,"น้ำในตากับฝนโปรยปราย
ดอกไม้กำลังบานใต้แสงตะวัน
แม่น้ำลำคลองเอ่อล้นจนเต็มริมฝั่ง

เสียงดนตรีหรือสายลมโชย
ใบไม้ร่วงโรยกับเมฆสีดำ
ชีวิตนั้นจะชอกช้ำหรือสวยงามแค่ไหน

แต่สุดท้ายแล้วมันก็ผ่านไป
เกิดขึ้นมาก็มีวันจบไป
โลกยังคงหมุนเวียนและเปลี่ยนไป
สุดแต่ใครที่จะเข้าใจในเรื่องนี้

โมโหโกรธากับฟ้าคะนอง
ชื่อเสียงเงินทองลาภยศรางวัล
ชีวิตนั้นจะโศกสันต์หรือรื่นเริงแค่ไหน

แต่สุดท้ายแล้วมันก็ผ่านไป
เกิดขึ้นมาก็มีวันจบไป
โลกยังคงหมุนเวียนและเปลี่ยนไป
สุดแต่ใครที่จะเข้าใจในเรื่องนี้

จึงอยากบอกเธอนะคนดี
ใช้ชีวิตให้มีความสุข
ด้วยวันและเวลาที่เธอมี

เพราะสุดท้ายแล้วมันก็ผ่านไป
เกิดขึ้นมาก็มีวันจบไป
โลกยังคงหมุนเวียนและเปลี่ยนไป
สุดแต่ใครที่จะเข้าใจในเรื่องนี้

เพราะสุดท้ายแล้วมันก็ผ่านไป
เกิดขึ้นมาก็มีวันจบไป
โลกยังคงหมุนเวียนและเปลี่ยนไป
สุดแต่ใครที่จะเข้าใจในเรื่องนี้

จึงอยากบอกเธอนะคนดี
ใช้ชีวิตให้มีความสุข
ด้วยวันและเวลาที่เธอมี

เพราะสุดท้ายแล้วมันก็ผ่านไป
เกิดขึ้นมาก็มีวันจบไป
โลกยังคงหมุนเวียนและเปลี่ยนไป
สุดแต่ใครที่จะเข้าใจในเรื่องนี้",nop_ponchamni
จดหมายรัก,/music/thailyric/2263,"เมื่อจดหมายนี้ได้ ไปถึงซึ่งมือของเธอ
ข้อความต่อจากนี้ จะแทนใจฉัน ที่มันพร่ำเพ้อ
จากวันนั้นที่ฉัน ได้พบสบตาของเธอ
จวบจนวันสุดท้าย ฉันยังประทับใจเสมอ

ที่ฉัน นั้นได้รัก กับคนที่ดีเช่นเธอ
ถึงแม้จะสั้นนัก กับเวลาที่เราได้เจอ

ต่อจากนี้คนดี หากเธอเหงาเมื่อไหร่
โปรดอ่านจดหมาย ที่แนบความรัก ไว้แทนกำลังใจ

ที่ฉัน นั้นได้รัก กับคนที่ดีเช่นเธอ
ถึงแม้จะสั้นนัก กับเวลาที่เราได้เจอ

หากคิดถึงเมื่อไร จำไว้ว่าฉันยังอยู่
จะห่างกันเพียงไหน ฉันจะอยู่ใกล้ แค่เธอเปิดอ่านดู

จะห่างกันเพียงไหน ฉันจะอยู่ใกล้ และจะคอยเฝ้าดู",nop_ponchamni
