song_name,href,lyric,artist
จม,/music/thailyric/21185,"อยากให้วันเวลาคืนกลับมาเหมือนเก่า
อยากให้เราคืนกลับมาได้ไหม ยังคิดถึงอยู่

เหมือนว่าเธอยังคงอยู่ตรงนี้
เหมือนว่าเธอไม่เคยได้จากฉันไป
เหมือนว่ารักของเราไม่จางหาย
ยังเหมือนเดิมไม่เคยเปลี่ยน

แม้ว่าเธอจะไม่อยู่กับฉัน
แม้ว่าโลกมันจะไม่เหมือนเก่า
แม้ตรงนี้จะไม่มีคำว่าเรา
ไม่เหลืออะไรต่อไป

แต่ว่าฉัน นั้นยังจมกับความหลัง
อยู่ตรงนี้ ยังคงมีความหวังว่าสักวัน

อยากให้วันเวลา คืนกลับมาเหมือนเก่า
อยากให้เรา คืนกลับมาได้ไหม
ยังคิดถึงอยู่ ยังไม่หายไป ยังไม่ลบไม่เลือนสักที
อยากให้เธอยืนอยู่ตรงที่เก่า อยากจะขอเจอเธออีกสักที
แม้จะรู้ตัว และฉันรู้ดี ว่าคงจะไม่มีวันที่เธอกลับมา

เหมือนว่าเธอยังคงอยู่ตรงนี้
รูปของเธอยังคงวางอยู่ที่เก่า
เพลงที่เราชอบฟังในตอนเช้า
ฉันยังคงเปิดฟัง

ถึงวันนี้จะไม่มีเธอแล้ว
แม้ว่าโลกมันจะไม่เหมือนเก่า
แม้ตรงนี้จะไม่มีคำว่าเรา
ไม่เหลืออะไรต่อไป

แต่ว่าฉันนั้นยังจมกับความหลัง
อยู่ตรงนี้ยังคงมีความหวังว่าสักวัน

อยากให้วันเวลา คืนกลับมาเหมือนเก่า
อยากให้เรา คืนกลับมาได้ไหม
ยังคิดถึงอยู่ ยังไม่หายไป ยังไม่ลบไม่เลือนสักที
อยากให้เธอยืนอยู่ตรงที่เก่า อยากจะขอเจอเธออีกสักที
แม้จะรู้ตัว และฉันรู้ดี ว่าคงจะไม่มีวันที่เธอกลับมา

อยากให้วันเวลา คืนกลับมาเหมือนเก่า
อยากให้เรา คืนกลับมาได้ไหม
ยังคิดถึงอยู่ ยังไม่หายไป ยังไม่ลบไม่เลือนสักที
อยากให้เธอยืนอยู่ตรงที่เก่า อยากจะขอเจอเธออีกสักที
แม้จะรู้ตัว และฉันรู้ดี ว่าคงจะไม่มีวันที่เธอกลับมา",num_kala
ตะโกน,/music/thailyric/22814,"ในเมืองใหญ่ที่แสนวุ่นวาย เต็มไปด้วยผู้คนมากมาย
ปัญหาถาโถมเข้ามาใส่ ไม่มีหยุด โอ้ว โอ
ชีวิตมันก็เป็นแบบนี้ มีเรื่องที่ดีก็มีเรื่องร้ายเสมอ
ถ้ามัวแต่ท้อแท้เมื่อไหร่จะได้เจอความสุข เสียที

แค่ร้องตะโกนว่า เฮ้ เย อี เย้ เฮ้ เย อี เย้
ลืมความเจ็บช้ำที่เคยรับมา
ตะโกนว่า เฮ้ เย อี เย้ เฮ้ เย อี เย้
วางมันเอาไว้ ลืมเรื่องที่เธอ ทุกข์ ใจ
ตะโกนว่า เฮ

ชีวิตมันก็เป็นแบบนี้ มีเรื่องที่ดีก็มีเรื่องร้ายเสมอ
ถ้ามัวแต่ท้อแท้เมื่อไรจะได้เจอความสุข เสียที

แค่ร้องตะโกนว่า เฮ้ เย อี เย้ เฮ้ เย อี เย้
ลืมความเจ็บช้ำที่เคยรับมา
ตะโกนว่า เฮ้ เย อี เย้ เฮ้ เย อี เย้
ลืมความเจ็บช้ำ ลืมเรื่องที่เธอ ทุกข์ ใจ
ตะโกนว่า เฮ

แค่ร้องตะโกนว่า เฮ้ เย อี เย้ เฮ้ เย อี เย้
ลืมความเจ็บช้ำที่เธอรับมา
ตะโกนว่า เฮ้ เย อี เย้ เฮ้ เย อี เย้
วางมันเอาไว้ ลืมเรื่องที่เธอ ทุกข์ ใจ

ตะโกนว่า เฮ้ เย อี เย้ เฮ้ เย อี เย้
ลืมความเจ็บช้ำที่เธอรับมา
ตะโกนว่า เฮ้ เย อี เย้ เฮ้ เย อี เย้
วางมันเอาไว้ ลืมเรื่องที่เธอ ทุกข์ ใจ
ตะโกนว่า เฮ",num_kala
ไม่อาจหยุดรัก,/music/thailyric/22585,"ฉัน ฉันเป็นแค่คนคนหนึ่ง
คนที่แอบมองเธอเท่านั้น
ฉัน ฉันคิดถึงเธอทุกวัน
ยิ้มให้เธอนั้นจากมุมนี้

หวัง หวังแค่สักวันก็พอ
เธอจะมองมาที่ตรงนี้
รอ แม้ว่าความหวังไม่มี
แต่ฉันก็ยินดีที่จะรอ

จะหยุดความรัก รักนี้ไว้ยังไง
รักเธอทั้งใจขนาดนี้
ไม่อาจหยุดรัก รักเธอทั้งใจที่ฉันมี
แม้ไม่มีหวังใดก็ตาม

หวัง หวังแค่สักวันก็พอ
เธอจะมองมาที่ตรงนี้
รอ แม้ว่าความหวังไม่มี
ฉันก็ยินดีที่จะรอ

จะหยุดความรัก รักนี้ไว้ยังไง
รักเธอทั้งใจขนาดนี้
ไม่อาจหยุดรัก รักเธอทั้งใจที่ฉันมี
แม้ไม่มีหวังใดก็ตาม

จะหยุดความรัก รักนี้ไว้ยังไง
รักเธอทั้งใจขนาดนี้
ไม่อาจหยุดรัก รักเธอทั้งใจที่ฉันมี
แม้ไม่มีหวังใดก็ตาม

จะหยุดความรัก รักนี้ไว้ยังไง
รักเธอทั้งใจขนาดนี้
ไม่อาจหยุดรัก รักเธอทั้งใจที่ฉันมี
แม้ไม่มีหวังใดก็ตาม

แม้ไม่มีหวังอะไรเลย",num_kala
ระยะห่าง,/music/thailyric/22816,"ดีแล้ว ให้มันเป็นแบบนี้ก็ดี
แอบมองเธอแบบนี้ก็พอ ไม่ควรจะเกินเส้นล้ำไป
ก็ดีแล้ว แค่มองไม่ต้องพูดอะไร
บางอย่างถ้าฉันพูดมันไป เดี๋ยวทำให้มันยิ่งวุ่นวาย

เป็นได้แค่นี้ก็ดีแล้ว อยู่ห่างเธอแค่นี้ก็ดีเท่าไร
ได้อยู่ในระยะที่ดี ได้รักเธอแค่ไกลๆ
เป็นได้แค่นี้ก็ดีแล้ว ไม่ห่างเธอไปกว่านี้และไม่ใกล้ไป
ไม่เข้าไปกวนสายตาเธอ
ได้รักเธอแค่ไกลๆ แค่นี้ก็มากพอ

ดีแล้ว แค่ฝากใจกับสายลมไป
ถ้าหากใจเธอนั้นตรงกัน สักวันเธอคงจะเข้าใจ
อยู่ตรงนี้ แอบส่งความคิดถึงให้ไป
ได้ยืนอยู่ตรงนี้ไกลๆ แค่นี้ก็ดีต่อหัวใจ

เป็นได้แค่นี้ก็ดีแล้ว อยู่ห่างเธอแค่นี้ก็ดีเท่าไร
ได้อยู่ในระยะที่ดี ได้รักเธอแค่ไกลๆ
เป็นได้แค่นี้ก็ดีแล้ว ไม่ห่างเธอไปกว่านี้และไม่ใกล้ไป
ไม่เข้าไปกวนสายตาเธอ
ได้รักเธอแค่ไกลๆ แค่นี้ก็มากพอ

เป็นได้แค่นี้ก็ดีแล้ว อยู่ห่างเธอแค่นี้ก็ดีเท่าไร
ได้อยู่ในระยะที่ดี ได้รักเธอแค่ไกลๆ
เป็นได้แค่นี้ก็ดีแล้ว ไม่ห่างเธอไปกว่านี้และไม่ใกล้ไป
ไม่เข้าไปกวนสายตาเธอ
ได้รักเธอแค่ไกลๆ แค่นี้ก็มากพ",num_kala
รู้ว่ารักก็พอ,/music/thailyric/22815,"ฉันสัญญา ต่อจากนี้นานแค่ไหน
อยากให้เธอรู้ไว้ ว่าใจฉันนั้นมีแต่เธอ

โลกมันจะเปลี่ยนไป
ท้องฟ้านั้นจะเปลี่ยนแปลง
แดดและลมนั้นมันจะแรงสักแค่ไหน
อยากให้รู้ว่าฉันจะรอ ต่อให้เธอนั้นไม่ได้ขอ
แต่ฉันก็ยังจะรอเธอเรื่อยไป

ใจมันยังจะรัก รักเธอ รักเธอคนเดียว
ชีวิตฉันนั้นมีแต่เธอ เธอรู้ไหม
ต่อให้เธอไม่เห็น ไม่เคยที่จะเข้าใจ
ไม่เป็นไรแค่รู้ว่ารักเท่านั้นพอ

ฉันสัญญา ว่าจะไม่มีอะไร
ไม่ว่าใครที่ไหน ไม่หวั่นไหวเลยสักครั้ง

โลกมันจะเปลี่ยนไป
ท้องฟ้านั้นจะเปลี่ยนแปลง
แดดและลมนั้นมันจะแรงสักแค่ไหน
อยากให้รู้ว่าฉันจะรอ ต่อให้เธอนั้นไม่ได้ขอ
แต่ฉันก็ยังจะรอเธอเรื่อยไป

ใจมันยังจะรัก รักเธอ รักเธอคนเดียว
ชีวิตฉันนั้นมีแต่เธอ เธอรู้ไหม
ต่อให้เธอไม่เห็น ไม่เคยที่จะเข้าใจ
ไม่เป็นไรแค่รู้ว่ารักเท่านั้นพอ

ได้แต่มองไปขอบฟ้าไกล
แม้จะนานเท่าไรจะรอ
อยู่ตรงนี้ด้วยรักที่มีให้เธอ
ยังรักเสมอให้เธอไม่เคยเปลี่ยนใจ
แต่จะขอรักเธอ รักเธอเรื่อยไป
จะนานแค่ไหน จะรัก รักเธอเสมอ

ใจมันยังจะรัก รักเธอ รักเธอคนเดียว
ชีวิตฉันนั้นมีแต่เธอ เธอรู้ไหม
ต่อให้เธอไม่เห็น ไม่เคยที่จะเข้าใจ
ไม่เป็นไรแค่รู้ว่ารักเท่านั้นพอ

รัก รักเธอ รักเธอคนเดียว
ชีวิตฉันนั้นมีแต่เธอ เธอรู้ไหม
ต่อให้เธอไม่เห็น ไม่เคยที่จะเข้าใจ
ไม่เป็นไรแค่รู้ว่ารักเท่านั้นพอ

ได้แต่มองไปขอบฟ้าไกล
(จะอยู่ตรงนี้เพื่อเธอตรงนั้น)
แม้จะนานเท่าไรจะรอ
(มีเธอคนเดียวทั้งหัวใจ)
อยู่ตรงนี้ด้วยรักที่มีให้เธอ
(ฉันขอสัญญา สัญญา)
ยังรักเสมอให้เธอไม่เคยเปลี่ยนใจ
(จะไม่มีมีวันเปี่ยนใจจากเธอ)

แต่จะขอรักเธอ รักเธอเรื่อยไป
(ฉันรักแต่เธอคนเดียวเท่านั้น)
จะนานแค่ไหน จะรัก รักเธอเสมอ
(จะมีแต่เธอคนเดียวเท่านั้น)
แต่จะขอ จะขอรักเธอเรื่อยไป
(จะอยู่ตรงนี้เพื่อเธอตรงนั้น)
จะนานแค่ไหน จะรัก รักเธอเสมอ",num_kala
ลืมได้จริงใช่ไหม,/music/thailyric/22813,"บ่อยครั้งที่ฉันมองเห็น เธอมีอาการ
บ่อยครั้งที่เหมือนสายตาเธอนั้น เหม่อลอยเหมือนคอยใคร
แม้ความจริงของเธอกับเขาจบกันไปแล้ว ตั้งเท่าไร
แต่เหมือนว่าใจของเธอ ยังคงคิดถึงแต่เขานั้นเรื่อยมา

ฉันก็กลัวตัวเองจะท้อ
คนที่รอจะเป็นอย่างไร ถ้าใจเธอยังไม่พร้อม
หากว่ายังมีหวัง ฉันจะยอม
ขอแค่เธอบอกอะไรหน่อยได้ไหม

เธอลืมเขาได้จริงใช่ไหม ทำใจได้จริงหรือเปล่า
เธอยังนึกถึงวันเก่า ใช่ไหมเธอ
แล้วฉันควรต้องรอไหม รอเธอแล้วคุ้มหรือเปล่า
กลัวว่าฉันต้องปวดร้าว
หากการรอไม่ทำให้เธอลืมได้จริงๆ

บ่อยครั้งที่ฉันมองเห็น เธอมีอาการ
บ่อยครั้งที่เหมือนสายตาเธอนั้น ไม่มีฉันในใจ
แม้ความจริงฉันเองก็รู้ ว่าเธอไม่เคยลบเขาไป
แต่ฉันคนนี้ต้องทำอย่างไร บอกฉันได้ไหมเธอ

ฉันก็กลัวตัวเองจะท้อ
คนที่รอจะเป็นอย่างไร ถ้าใจเธอยังไม่พร้อม
หากว่ายังมีหวัง ฉันจะยอม
ขอแค่เธอบอกอะไรหน่อยได้ไหม

เธอลืมเขาได้จริงใช่ไหม ทำใจได้จริงหรือเปล่า
เธอยังนึกถึงวันเก่า ใช่ไหมเธอ
แล้วฉันควรต้องรอไหม รอเธอแล้วคุ้มหรือเปล่า
กลัวว่าฉันต้องปวดร้าว
หากการรอไม่ทำให้เธอลืมได้จริงๆ

เธอลืมเขาได้จริงใช่ไหม ทำใจได้จริงหรือเปล่า
เธอยังนึกถึงวันเก่า ใช่ไหมเธอ
แล้วฉันควรต้องรอไหม รอเธอแล้วคุ้มหรือเปล่า
กลัวว่าฉันต้องปวดร้าว
หากการรอไม่ทำให้เธอลืมได้จริงๆ

เธอลืมเขาได้จริงใช่ไหม ทำใจได้จริงหรือเปล่า
เธอยังนึกถึงวันเก่า ใช่ไหมเธอ
แล้วฉันควรต้องรอไหม รอเธอแล้วคุ้มหรือเปล่า
กลัวว่าฉันต้องปวดร้าว
หากการรอไม่ทำให้เธอลืมได้จริงๆ",num_kala
อยากให้รู้ว่าเหงา,/music/thailyric/15128,"แค่เพียงหลับตาเมื่อไร ก็มีแต่เพียงหน้าเธอ
ตื่นขึ้นมาก็เจอ เรื่องราวที่ผ่านมา
ไม่อยากจะรบกวน ให้เธอมาพบหน้า
แต่คิดถึงเธอ เหลือเกิน

ไม่อาจห้ามใจได้เลย ก็เลยต้องโทรหาเธอ
อยากได้ยินเสียงเธอ แค่พอชื่นใจ
ก็คุยอย่างเพื่อนเธอ คนหนึ่งก็ได้
อยากให้เข้าใจ เท่านั้นเอง

อยู่คนเดียวใช่ไหม หรือเขาอยู่ตรงนั้น
หากว่าเป็นอย่างนั้น ฉันคุยได้ไหม
อยากให้รู้ว่าเหงา คิดถึงแทบขาดใจ
เก็บในใจไม่ไหว ถึงโทรบอกเธอ

ถ้าใครคนนั้นของเธอ เกิดหวาดระแวงขึ้นมา
แค่มีเพียงสายตา ให้เธอลำบากใจ
ก็อยากจะพูดลา คำหนึ่ง ก็ได้
บอกว่าหัวใจ ยังรักเธอ

อยู่คนเดียวใช่ไหม หรือเขาอยู่ตรงนั้น
หากว่าเป็นอย่างนั้น ฉันคุยได้ไหม
อยากให้รู้ว่าเหงา คิดถึงแทบขาดใจ
เก็บในใจไม่ไหว ถึงโทรบอกเธอ

ถ้าใครคนนั้นของเธอ เกิดหวาดระแวงขึ้นมา
แค่มีเพียงสายตา ให้เธอลำบากใจ
ก็อยากจะพูดลา คำหนึ่ง ก็ได้
บอกว่าหัวใจ ยังรักเธอ

อยากจะพูดลาคำหนึ่งก็ได้
บอกว่าหัวใจ ยังรักเธอ",num_kala
ปล่อย,/music/thailyric/17383,"ปล่อยความคิด ทิ้งไว้ให้ใจไม่ต้องคิด
ปล่อยชีวิต ไปตามแต่โชคชะตา
ปล่อยความหลังฝังใจ ให้มันด้านชา
ปล่อยน้ำตา ให้มันหลั่งริน

ปล่อยแม่น้ำ ให้ไหลร่วงไปจนสุดสาย
ปล่อยใบไม้ทิ้งใบร่วงลงพื้นดิน
ปล่อยให้นกหลงทาง ได้กางปีกบิน
ไปตามเสียงที่ได้ยินในใจ

ปล่อยให้เธอได้เจอทางที่ดี
ปล่อยให้เธอได้มีชีวิตใหม่
ปล่อยให้การเฝ้ารอของเธอ ได้เจอจุดหมาย
ปล่อยความรักนำทางให้เธอ

ปล่อยความฝัน ของฉันให้เป็นแค่ความฝัน
ปล่อยดวงจันทร์ ให้ตามตะวันไม่เจอ
ปล่อยความรักให้เป็น แค่คำเพ้อเจ้อ
ปล่อยฉันให้ละเมอ เดียวดาย

ปล่อยให้เธอได้เจอทางที่ดี
ปล่อยให้เธอได้มีชีวิตใหม่
ปล่อยให้การเฝ้ารอของเธอ ได้เจอจุดหมาย
ปล่อยความรักนำทางให้เธอ

ปล่อยความฝัน ของฉันให้เป็นแค่ความฝัน
ปล่อยดวงจันทร์ ให้ตามตะวันไม่เจอ
ปล่อยความรักให้เป็น แค่คำเพ้อเจ้อ
ปล่อยฉันให้ละเมอ เดียวดาย

ปล่อยความรักให้เป็น แค่คำเพ้อเจ้อ
ปล่อยฉันให้ละเมอ",num_kala
ลม,/music/thailyric/17788,"ลมเอ๋ยลมเจ้าผ่านพัดพาเธอมาให้เจอฉัน
ลมเอ๋ยลมเจ้านั้นก็พัดเธอผ่านไป
คนที่เคยอยู่เคียง แต่วันนี้เขาอยู่ที่ไหน
เจ้าลมเอ๋ยเจ้าลมพัดไปแห่งใดกันหนา

ลมเอ๋ยลมเจ้าผ่านพบ
เจอผู้คนนับหมื่นพัน
วอนสายลมเจ้านั้นช่วยพัดเธอกลับมา
นานแล้วนานเท่าไร
ยังจดจำทุกคำสัญญา
เฝ้ารอคอยสายลมพัดพา เธอมาอีกครั้ง

ลม เจ้าเอ๋ย
ไฉนเลย ไม่เคยจะหวนมา
ลม เจ้าขา
พัดพา เธอมาได้ไหม

ลมเอยลมเจ้าผ่านพัด
พาถ้อยคำรักจากฉัน
วอนสายลมเจ้านั้นช่วยพัดไปบอกเธอ
คนที่คอยตรงนี้ยัง คิดถึงเขาคิดถึงเธอ
ว่าเมื่อไรเขาจะได้เจอ ได้เจออีกครั้ง

ลม เจ้าเอ๋ย
ไฉนเลย ไม่เคยจะหวนมา
ลม เจ้าขา
พัดพา เธอมาได้ไหม

ลมเอยลมเจ้าผ่านพัด
พาถ้อยคำรักจากฉัน
วอนสายลมเจ้านั้นช่วยพัดไปบอกเธอ
คนที่คอยตรงนี้ยังคิดถึงเขาคิดถึงเธอ
ว่าเมื่อไรเขาจะได้เจอ ได้เจออีกครั้ง

คนที่คอยตรงนี้
เฝ้ารอคอยทุกวันเวลา
เฝ้ารอคอยสายลมพัดพาเธอมา อีกครั้ง",num_kala
สบายดีหรือ,/music/thailyric/17108,"ก็ไม่ได้เจอได้คุยตั้งนาน
ก็ไม่รู้เหมือนกันว่าเธอจำได้หรือเปล่า
หากฉันเข้าไปทักทาย
ก็ตั้งแต่วันที่เราแยกทาง
ไม่ว่าเหตุอะไรที่ทำให้เราต้องห่าง
แต่ฉันไม่เคยจะลืม สักวัน

จนวันนี้ ได้พบเจอเธออีกครั้ง
จะด้วยความบังเอิญ
หรือเพราะอะไรก็ตาม
แต่ใจฉันมันสั่นไหว

เพราะอยากเข้าไปทัก
เธอจะคุยกับฉันอยู่ไหม
หรือว่าเธอจะไม่สนใจ
ทำเหมือนไม่รู้จัก
และฉันก็ยังหวั่นใจ
แต่อยากเข้าไปทัก
ขอแค่คุยกับเธออีกครั้ง
และได้ถามเธอด้วยคำๆนั้น
เธอคงเข้าใจ เธอนั้นเป็นอย่างไร
สบายดีหรือ

ตั้งแต่วันที่เราแยกทาง
ไม่ว่าเหตุอะไรที่ทำให้เราต้องห่าง
และฉันไม่เคยจะลืม สักวัน
จนวันนี้ ได้พบเจอเธออีกครั้ง
จะด้วยความบังเอิญ
หรือเพราะอะไรก็ตาม
แต่ใจฉันมันสั่นไหว

เพราะอยากเข้าไปทัก
เธอจะคุยกับฉันอยู่ไหม
หรือว่าเธอจะไม่สนใจ
ทำเหมือนไม่รู้จัก
และฉันก็ยังหวั่นใจ
แต่อยากเข้าไปทัก
ขอแค่คุยกับเธออีกครั้ง
ได้ถามเธอด้วยคำๆนั้น
เธอคงเข้าใจ เธอนั้นเป็นอย่างไร
สบายดีหรือ

อยากเข้าไปทัก
เธอจะคุยกับฉันบ้างไหม
หรือว่าเธอจะเดินหายไป
ทำเป็นไม่รู้จัก และฉันก็ยังหวั่นใจ
แต่ก็อยากเข้าไปทัก
ขอแค่คุยกับเธออีกครั้ง
และได้ถามเธอด้วยคำๆ นั้น
เธอคงเข้าใจ เธอนั้นเป็นอย่างไร
สบายดีหรือ

เธอนั้นเป็นอย่างไร สบายดีหรือ",num_kala
