song_name,href,lyric,artist
คนพิเศษ,/music/thailyric/2309,"ที่ทำให้ตื่นได้แต่เช้า และอารมณ์ดีอยู่ทั้งวัน
คงเพราะใจฉันเพิ่งเจอะ ว่ามีคนพิเศษอยู่ในหัวใจ และอยู่มาแสนนาน

อยากมีคนพิเศษสักคนไหม อยากมีใครรึเปล่าไว้บอกว่ารักกัน
หากตัวเธอมองหาใครอยู่โปรดรู้ว่ามีฉัน ฉันยังรอวัน ที่เป็นเหมือนคนพิเศษของเธอ

หรือเธอก็อยากให้เป็นฉัน หรือเราก็อาจจะเหมือนกัน
เพียงแค่เธอไม่เคยบอก ว่าเธอก็รู้สึกแปลกในหัวใจ เมื่อเราอยู่ใกล้กัน

อยากมีคนพิเศษสักคนไหม อยากมีใครรึเปล่าไว้บอกว่ารักกัน
หากตัวเธอมองหาใครอยู่โปรดรู้ว่ามีฉัน ฉันยังรอวัน ที่เป็นเหมือนคนพิเศษของเธอ

มีเพลงที่ฟังแล้วยิ้มได้เสมอ มีใจที่เผลอคิดถึงไม่เคยเว้นวัน
ถึงเวลานอนล้มตัวลงไม่นาน ยังแอบเก็บไปฝันไม่รู้ตัว

อยากมีคนพิเศษสักคนไหม อยากมีใครรึเปล่าไว้บอกว่ารักกัน
หากตัวเธอมองหาใครอยู่โปรดรู้ว่ามีฉัน ฉันยังรอวัน ที่เป็นเหมือนคนพิเศษของเธอ",nut_meria
ดีจังเลย,/music/thailyric/2315,"ไม่รู้ว่าคุณทำอะไรฉัน หรือใช้เวทมนต์เข้ามามัดใจ
หรือเพราะสายตาที่คุณตรึงฉันไว้ ที่บังคับให้ฉันจ้องมองคุณคนเดียว

สีสีนของคุณมันช่างสดใส ลึกล้ำเข้าไปชวนให้ข้องเกี่ยว
ฉันยอมหัวใจให้คุณคนเดียว อยู่ในฝันเคลิบเคลิ้มหวั่นไหวไปกับคุณ

คืออะไรไม่เข้าใจตัวเอง แต่ชอบที่เราจ้องตากันอย่างนี้

ดีจังเลย ดีจังเลย ดีจังเลย ดีจังเลย ดีจังเลยทุกวินาที
ดีจังเลย ดีจังเลย ดีจังเลย ดีจังเลย ฉันหลงไหลเหลือเกินอารมณ์นี้

ไม่หวังให้คุณเข้ามาใกล้ฉัน แค่ขอให้คุณไม่ไปไหนไกล
ขอซื้อสายตาคุณเก็บไว้ได้ไหม อยากจะเคลิ้มอ่อนไหวอย่างนี้ตลอดคืน

คืออะไรไม่เข้าใจตัวเอง แต่ชอบที่เราจ้องตากันอย่างนี้

ดีจังเลย ดีจังเลย ดีจังเลย ดีจังเลย ดีจังเลยทุกวินาที
ดีจังเลย ดีจังเลย ดีจังเลย ดีจังเลย ฉันหลงไหลเหลือเกินอารมณ์นี้

ดีจังเลย ดีจังเลย ดีจังเลย ดีจังเลย ดีจังเลยทุกวินาที
ดีจังเลย ดีจังเลย ดีจังเลย ดีจังเลย ฉันหลงไหลเหลือเกินอารมณ์นี้",nut_meria
เดี๋ยวนะ,/music/thailyric/2317,"ทางซ้ายก็มีคนเชียร์ ทางขวาก็มีคนเชียร์
ยอมเขาซะ ยอมเขาซะ จะเป็นไร
ข้างหน้าก็คอยยืนดู ข้างหลังให้กำลังใจ
คบเค้าไว้ คบเค้าไว้ คนดีๆ

(รับรอง ในความปลอดภัย) ไม่รู้นะ ไม่รู้นะ
(คนกันเองด้วยกัน) มันจะดีเหรอ
(รับรอง ไม่มีอะไร) ไม่รู้นะ ไม่รู้นะ
(เราสบายๆ) ไปด้วยกันนะ

เดี๋ยวได้มะ เดี๋ยวได้มะ เดี๋ยว อยากจะขอเวลาอีกเดี๋ยว
นะคะ เดี๋ยวนะคะ เดี๋ยว เรื่องอย่างนี้มันยังไม่เคย
อย่าเพิ่งเลย อีกแป๊บเดียว เดี๋ยวก่อน เดี๋ยวก่อน

จะหนีก็คงโดนโห่ จะถอยก็คงโดนดุ
คนนั้นยุ คนนี้ยุ จนระแวง
ชักช้าเดี๋ยวมีคนจอง ชักช้าเดี๋ยวมีคนแซง
คนนั้นแย่ง คนนี้แย่ง แซวกันไป

(รับรอง ในความปลอดภัย) ไม่รู้นะ ไม่รู้นะ
(คนกันเองด้วยกัน) มันจะดีเหรอ
(รับรอง ไม่มีอะไร) ไม่รู้นะ ไม่รู้นะ
(เราสบายๆ) ไปด้วยกันนะ

เดี๋ยวได้มะ เดี๋ยวได้มะ เดี๋ยว อยากจะขอเวลาอีกเดี๋ยว
นะคะ เดี๋ยวนะคะ เดี๋ยว เรื่องอย่างนี้มันยังไม่เคย
อย่าเพิ่งเลย อีกแป๊บเดียว เดี๋ยวก่อน เดี๋ยวก่อน

เดี๋ยวได้มะ เดี๋ยวได้มะ เดี๋ยว อยากจะขอเวลาอีกเดี๋ยว
นะคะ เดี๋ยวนะคะ เดี๋ยว เรื่องอย่างนี้มันยังไม่เคย
อย่าเพิ่งเลย อีกแป๊บเดียว เดี๋ยวก่อน เดี๋ยวก่อน

(รับรอง ในความปลอดภัย) ไม่รู้นะ ไม่รู้นะ
(คนกันเองด้วยกัน) มันจะดีเหรอ
(รับรอง ไม่มีอะไร) ไม่รู้นะ ไม่รู้นะ
(เราสบายๆ) ไปด้วยกันนะ

เดี๋ยวได้มะ เดี๋ยวได้มะ เดี๋ยว อยากจะขอเวลาอีกเดี๋ยว
นะคะ เดี๋ยวนะคะ เดี๋ยว เรื่องอย่างนี้มันยังไม่เคย
อย่าเพิ่งเลย อีกแป๊บเดียว เดี๋ยวก่อน เดี๋ยวก่อน

เดี๋ยวได้มะ เดี๋ยวได้มะ เดี๋ยว อยากจะขอเวลาอีกเดี๋ยว
นะคะ เดี๋ยวนะคะ เดี๋ยว เรื่องอย่างนี้มันยังไม่เคย
อย่าเพิ่งเลย อีกแป๊บเดียว เดี๋ยวก่อน เดี๋ยวก่อน",nut_meria
ต่างกันตรงไหน,/music/thailyric/2319,"ต่างกันตรงไหน มีเธอต่อไปหรือเปล่า
ยังไงก็คงเหมือนเก่า ฉันอยู่คนเดียวเสมอ
ต่างกันตรงไหน ลืมตาขึ้นมาเมื่อไร
มันคงไม่เป็นเรื่องใหม่ ถ้าหากจะไม่เหลือเธอ

ต่างกันตรงไหน ถ้าฉันจะไปจากเธอ
หรือฉันจะยังมีเธอ มีชีวิตก็คงจะเลวร้าย
บอกเธอวันนี้ ฉันรับต่อไปไม่ไหว
และฉันก็ไม่เข้าใจ ทำไมต้องทรมาน

ต่างกันตรงไหน ถ้าเธอจะทิ้งฉันก่อน
กับยอมจากไปซะก่อน คนเจ็บก็ยังเป็นฉัน
ต่างกันตรงไหน มีเธอก็ใจร้อนรน
ไม่มีก็คงหมองหม่น ความเจ็บมันคงเท่ากัน

ต่างกันตรงไหน ถ้าฉันจะไปจากเธอ
หรือฉันจะยังมีเธอ มีชีวิตก็คงจะเลวร้าย
บอกเธอวันนี้ ฉันรับต่อไปไม่ไหว
ฉันขอเลือกเป็นคนไป ยังไงก็มีน้ำตา ไม่ต่างกัน

ต่างกันตรงไหน ถ้าฉันจะไปจากเธอ
หรือฉันจะยังมีเธอ มีชีวิตก็คงจะเลวร้าย
บอกเธอวันนี้ ฉันรับต่อไปไม่ไหว
ฉันขอเลือกเป็นคนไป ยังไงก็มีน้ำตา ไม่ต่างกัน",nut_meria
ถอดใจ,/music/thailyric/2320,"ทุกเวลาที่รู้ว่าเธอเข้ามา เหมือนเวลามันช้าเมื่ออยากจะหลบหนี
ลุกเดินไปให้ไกลก็ดูไม่ค่อยดี อยากจะหนีไม่อยากเจอไม่อยากเห็น

รู้ว่าเธอต้องถามต้องมาทักทาย ฉันไม่มีอะไรจะตอบใครตอนนี้
ฉันทำไมเปลี่ยนไปหน้าตาไม่ค่อยดี ไม่มีสีไม่มีสันไม่สดใส

ก็คนมันท้อมันถอดใจ ใกล้จะตายเท่านั้น ไม่ได้มีอะไรสำคัญให้เธอต้องใส่ใจ
ก็เป็นแค่คนที่โดนทิ้ง ไม่ได้มีอะไรมากมาย
จะให้ร่าเริงสดใสเหมือนคนที่มีความสุขได้ไง ฉันไม่เหมือนเธอ

ก็คนมันท้อมันถอดใจ ใกล้จะตายเท่านั้น ไม่ได้มีอะไรสำคัญให้เธอต้องใส่ใจ
ก็เป็นแค่คนที่โดนทิ้ง ไม่ได้มีอะไรมากมาย
จะให้ร่าเริงสดใสเหมือนคนที่มีความสุขได้ไง ฉันไม่เหมือนเธอ",nut_meria
ทายปัญหา,/music/thailyric/2321,"มา มาเรามาฝึกสมองกันหน่อย อะไรเอ่ยบัง บังอะไรอยู่ในห้างมานาน
คลอง คลองอะไรนะที่มันเล็กที่สุด อะไรเอ่ยปลา ปลาอะไรปากช่างกว้างเอาการ

มา มาเรามาฝึกสมองกันต่อ อำเภออะไร ที่มีคนอยู่น้อยเกินไป
งูมันบังเอิญตกในถังขยะ ก็เลยโมโห ทายกันดูว่าเจ้างูนี้จะฉกใคร

แต่เธอก็เฉยนะ หรือว่าที่ทายนั้นมันยากไป (ยากไป)
เผื่อเธอจะ get นะ งั้นก็ต้องทายที่มันใกล้ตัว ใกล้เธอเข้าอีกนิด

มาเรามาทายปัญหา ลองมาทายกันนะ รู้มั้ยจ๊ะว่าใครเอ่ย
ที่ดูจะเบื่อๆเธอแล้ว เอือมระอาเธอแล้ว และไม่แคล้วที่จะขอเลิกรา
มาเรามาทายปัญหา ลองมาทายกันนะ รู้มั้ยจ๊ะว่าใครเอ่ย
ที่ดูจะไม่ยอมให้เธอแล้ว จะไม่ทนกับเธอแล้ว และจะไปในไม่ช้า

แต่เธอก็เฉยนะ หรือว่าที่ทายนั้นมันยากไป (ยากไป)
เผื่อเธอจะ get นะ งั้นก็ต้องทายที่มันใกล้ตัว ใกล้เธอเข้าอีกนิด

มาเรามาทายปัญหา ลองมาทายกันนะ รู้มั้ยจ๊ะว่าใครเอ่ย
ที่ดูจะเบื่อๆเธอแล้ว เอือมระอาเธอแล้ว และไม่แคล้วที่จะขอเลิกรา
มาเรามาทายปัญหา ลองมาทายกันนะ รู้มั้ยจ๊ะว่าใครเอ่ย
ที่ดูจะไม่ยอมให้เธอแล้ว จะไม่ทนกับเธอแล้ว และจะไปในไม่ช้า

มาเรามาทายปัญหา ลองมาทายกันนะ รู้มั้ยจ๊ะว่าใครเอ่ย
ที่ดูจะเบื่อๆเธอแล้ว เอือมระอาเธอแล้ว และไม่แคล้วที่จะขอเลิกรา
มาเรามาทายปัญหา ลองมาทายกันนะ รู้มั้ยจ๊ะว่าใครเอ่ย
ที่ดูจะไม่ยอมให้เธอแล้ว จะไม่ทนกับเธอแล้ว และจะไปในไม่ช้า",nut_meria
ผู้ชายคนนั้นฉันให้เธอ,/music/thailyric/2325,"มีหลายคนที่เคยมาบอกฉัน ถึงความสัมพันธ์ของคนที่ฉันรัก
หนึ่งคือผู้หญิงคนนึง ที่คบเป็นเพื่อนรัก สองคือผู้ชายของฉันเอง

เรานั้นเป็นเพื่อนกันมาก็นาน เธอไม่เคยทิ้งกันเมื่อฉันเคว้ง
สิ่งเดียวที่ฉันทำไป แล้วฉันทำผิดเอง นั่นคือพาเธอมาให้เขาเจอ

อยากบอกเธอคำเดียวเสียใจ เสียใจเหลือเกิน
ที่บังเอิญไว้ใจ สองคนเขาและเธอ

แต่จะเป็นไรไป อย่างน้อยก็เพื่อนกัน
แด่ความหลังที่พ้นผ่าน ที่คบกันมานาน ผู้ชายคนนั้นฉันให้เธอ

เธอก็คงเสียใจไม่แพ้ฉัน ให้เธอเข้าใจแล้วกันว่าฉันรู้
อยากให้เธอรู้จริงๆ ว่าฉันจะเฝ้าดู เพื่อนมีทางเดินที่แสนดี

อยากบอกเธอคำเดียวเสียใจ เสียใจเหลือเกิน
ที่บังเอิญไว้ใจ สองคนเขาและเธอ

แต่จะเป็นไรไป อย่างน้อยก็เพื่อนกัน
แด่ความหลังที่พ้นผ่าน ที่คบกันมานาน ผู้ชายคนนั้นฉันให้เธอ

อยากบอกเธอคำเดียวเสียใจ เสียใจเหลือเกิน
ที่บังเอิญไว้ใจ สองคนเขาและเธอ

แต่จะเป็นไรไป อย่างน้อยก็เพื่อนกัน
แด่ความหลังที่พ้นผ่าน ที่คบกันมานาน ผู้ชายคนนั้นฉันให้เธอ",nut_meria
ไม่ได้ดั่งใจ,/music/thailyric/2328,"ไม่ได้ดั่งใจ ไม่ทำอะไรซะที สะพานให้เดินก็มี ข้ามมาก็ยังไม่ถูก
ไม่ได้ดั่งใจ จะทำอะไรก็ทำ บอกกันเท่าไหร่ไม่จำ ทำไมเป็นคนอย่างเนี้ย

(สวยครับ สวยครับ สวยครับ แต่กลัวจัง สวยครับ สวยครับ สวยครับ
สวยครับ สวยครับ สวยครับ แต่กลัวจัง สวยครับ สวยครับ สวยครับ)

ดูเขาทำกับเราสิ เนี่ยดูเขาทำกับเราสิเธอ (เกรงใจที่มาเจอกัน เกรงใจที่สุดเลย)
ดูเขาพูดกับเราสิ เนี่ยดูเขาพูดกับเราสิเธอ (จะเดินมาคุยก็กลัว จะไปก็ไม่ไป)

ไม่ได้ดั่งใจ ไม่ทำอะไรซะที สะพานให้เดินก็มี ข้ามมาก็ยังไม่ถูก
ไม่ได้ดั่งใจ จะทำอะไรก็ทำ บอกกันเท่าไหร่ไม่จำ ทำไมเป็นคนอย่างเนี้ย

(สวยครับ สวยครับ สวยครับ แต่กลัวจัง สวยครับ สวยครับ สวยครับ
สวยครับ สวยครับ สวยครับ แต่กลัวจัง สวยครับ สวยครับ สวยครับ)

คนที่รอก็นั่งรอ คนที่รอก็รอกันไป (ก็คงต้องรออีกนาน คงรอไปอีกนาน)
คนที่งงก็ยิ่งงง เดินไม่ตรงเลยหลงไปไกล (ก็คงจะไปอีกไกล เดินงงไปอีกไกล)

ไม่ได้ดั่งใจ ไม่ทำอะไรซะที สะพานให้เดินก็มี ข้ามมาก็ยังไม่ถูก
ไม่ได้ดั่งใจ จะทำอะไรก็ทำ บอกกันเท่าไหร่ไม่จำ ทำไมเป็นคนอย่างเนี้ย

ไม่ได้ดั่งใจ ไม่ทำอะไรซะที สะพานให้เดินก็มี ข้ามมาก็ยังไม่ถูก
ไม่ได้ดั่งใจ จะทำอะไรก็ทำ บอกกันเท่าไหร่ไม่จำ ทำไมเป็นคนอย่างเนี้ย

คนที่รอก็นั่งรอ คนที่รอก็รอกันไป (ก็คงต้องรออีกนาน คงรอไปอีกนาน)
คนที่งงก็ยิ่งงง เดินไม่ตรงเลยหลงไปไกล (ก็คงจะไปอีกไกล เดินงงไปอีกไกล)

ไม่ได้ดั่งใจ ไม่ทำอะไรซะที สะพานให้เดินก็มี ข้ามมาก็ยังไม่ถูก
ไม่ได้ดั่งใจ จะทำอะไรก็ทำ บอกกันเท่าไหร่ไม่จำ ทำไมเป็นคนอย่างเนี้ย

ไม่ได้ดั่งใจ ไม่ทำอะไรซะที สะพานให้เดินก็มี ข้ามมาก็ยังไม่ถูก
ไม่ได้ดั่งใจ จะทำอะไรก็ทำ บอกกันเท่าไหร่ไม่จำ ทำไมเป็นคนอย่างเนี้ย

ไม่ได้ดั่งใจ ไม่ทำอะไรซะที สะพานให้เดินก็มี ข้ามมาก็ยังไม่ถูก
ไม่ได้ดั่งใจ จะทำอะไรก็ทำ บอกกันเท่าไหร่ไม่จำ ทำไมเป็นคนอย่างเนี้ย

ไม่ได้ดั่งใจ ไม่ทำอะไรซะที สะพานให้เดินก็มี ข้ามมาก็ยังไม่ถูก
ไม่ได้ดั่งใจ จะทำอะไรก็ทำ บอกกันเท่าไหร่ไม่จำ ทำไมเป็นคนอย่างเนี้ย",nut_meria
แค่เพียงฝัน,/music/thailyric/2312,"ตะวันลาขอบฟ้าลับไป คือเวลาที่ฉันคอย
ดารายังเรียงลอยเหมือนเป็นใจ
บ่งบอกคืนนี้ฉันคงได้พบเธอ
จะข่มตาหลับฝันเฝ้ารอ รอคนที่ฉันแอบเพ้อ
ราตรีนี้เก็บไว้เพื่อเธอ
จะเกิดอะไรถ้าเราได้เจอได้รักกันสักครั้ง

อยากเป็นที่รักของเธออยู่ในฝัน
ผ่านคํ่าคืนไปด้วยกัน
อยากให้เธอกอดฉันเอาไว้
แค่สองเราอยู่ในฝัน
ให้อุ่นไอกันและกัน
ก่อนที่จะเช้าได้ไหม

จะบอกใจให้คอยเฝ้ารอ รอคนที่ฉันแอบเพ้อ
ดึกดื่กคงจะหนาวถ้าไม่มีเธอ
จะเกิดอะไรถ้าเราได้เจอได้รักกันสักครั้ง

อยากเป็นที่รักของเธออยู่ในฝัน
ผ่านคํ่าคืนไปด้วยกัน
อยากให้เธอกอดฉันเอาไว้
แค่สองเราอยู่ในฝัน
ให้อุ่นไอกันและกัน
ก่อนที่จะเช้าได้ไหม

ให้รัตติกาลของเรา นานเท่านาน
แม้ว่าความรักเกิดขึ้นเพียงในฝัน

อยากเป็นที่รักของเธออยู่ในฝัน
ผ่านคํ่าคืนไปด้วยกัน
อยากให้เธอกอดฉันเอาไว้
แค่สองเราอยู่ในฝัน
ให้อุ่นไอกันและกัน
ก่อนที่จะเช้าได้ไหม

อยากเป็นที่รักของเธออยู่ในฝัน

แค่สองเราอยู่ในฝัน

อยากเป็นที่รักของเธออยู่ในฝัน
ผ่านคํ่าคืนไปด้วยกัน
อยากให้เธอกอดฉันเอาไว้
แค่สองเราอยู่ในฝัน
ให้อุ่นไอกันและกัน
ก่อนที่จะเช้าได้ไหม",nut_meria
กลับมา,/music/thailyric/2305,"หากตะวันร้อนแรงเมื่อตอนกลางวัน จะต้องลาลับยามค่ำคืน
ให้ตะวันสัญญาไม่ไปที่อื่น เมื่อไปแล้วจะคืนกลับมา

หากเมื่อใดสายลมล่องลอยพัดพา อยากให้ลมพัดมาเรื่อยไป
ได้อาศัยสายลมพัดเย็นสบาย อยากให้สายลมหวนกลับมา

หากวันใดเธอไปจากฉัน ขอเธอเป็นดังดวงตะวัน ที่ซื่อตรงและคงไม่ลืมสัญญา
อยากได้ลมเย็นๆ ลมก็ยังโชยมา ฉันต้องการเธอก็อย่าไปไหน

อาจจะเสียน้ำตาถ้าเธอจะไป และคงคิดถึงเธอแน่นอน
ก่อนจะไปให้เธอสัญญากันก่อน เมื่อไปแล้วจะย้อนกลับมา

หากวันใดเธอไปจากฉัน ขอเธอเป็นดังดวงตะวัน ที่ซื่อตรงและคงไม่ลืมสัญญา
อยากได้ลมเย็นๆ ลมก็ยังโชยมา ฉันต้องการเธอก็อย่าไปไหน

อาจจะเสียน้ำตาถ้าเธอจะไป และคงคิดถึงเธอแน่นอน
ก่อนจะไปให้เธอสัญญากันก่อน เมื่อไปแล้วจะย้อนกลับมา

เมื่อไปแล้วจะย้อนกลับมา
เมื่อไปแล้วจะย้อนกลับมา",nut_meria
