song_name,href,lyric,artist
คนที่ใช่ได้แค่มอง,/music/thailyric/12215,"แค่คิดถึงเธอ ก็เหมือนล่วงเกินมากไป
เฝ้าบอกหัวใจ ให้มันเข้าใจเสียที
อย่าไปเพ้อไปฝัน ในเมื่อเราต่างกันอย่างนี้
เธอมีชีวิตที่ดี แต่ส่วนฉันนั้นมีแค่ใจ

ถึงเธอคือคนที่ใช่ แต่ว่าฉันคงได้แค่มอง
ถึงใจเรียกร้อง แต่รักแล้วต้องยอมทนเหงาได้
ถึงคิดถึงเธอทุกวัน แต่ว่าฉันก็ยังอายใจ
เก็บคำว่ารักเอาไว้ ให้อยู่แค่ในระยะสายตา

ในวันที่เธอ สุขใจฉันก็ดีใจ
เมื่อเธอเสียใจ ห่วงเธอใกล้ๆ เรื่อยมา
แต่เธอเป็นดวงดาว ที่อยู่สูงกว่าคิดไขว่คว้า
ยอมรับในโชคชะตา เธอเป็นใครฉันเป็นใคร

ถึงเธอคือคนที่ใช่ แต่ว่าฉันคงได้แค่มอง
ถึงใจเรียกร้อง แต่รักแล้วต้องยอมทนเหงาได้
ถึงคิดถึงเธอทุกวัน แต่ว่าฉันก็ยังอายใจ
เก็บคำว่ารักเอาไว้ ให้อยู่แค่ในระยะสายตา

รักมากแค่ไหน ใจก็รู้จักพอ
แค่ได้รักก็พอ ยามเหงาเอาไว้เป็นแรงใจ

ถึงเธอคือคนที่ใช่ แต่ว่าฉันคงได้แค่มอง
ถึงใจเรียกร้อง แต่รักแล้วต้องยอมทนเหงาได้
ถึงคิดถึงเธอทุกวัน แต่ว่าฉันก็ยังอายใจ
เก็บคำว่ารักเอาไว้ ให้อยู่แค่ในระยะสายตา

เก็บคำว่ารักเอาไว้ ให้อยู่แค่ในระยะสายตา",pai_pongsatorn
รักแท้บ่ได้แปลว่าโง่,/music/thailyric/12213,"ผิดมากไหม ที่รักเขาจนหมดใจ
ผิดมากไหม ที่เขาบ่เคยรักเรา
ถูกกล่าวหาว่าบ้างมงาย
ทุ่มเทใจให้ความว่างเปล่า
แม้เงา ก็บ่มีสิทธิ์เดินไปใกล้

ถึงความคิดถึง เดินทางบ่ถึงจุดหมาย
ถึงความห่วงใย เขาบ่แนมบ่แล

แต่รักแท้บ่ได้แปลว่าโง่
เมื่อรักคือความจริงจากใจ
บ่เรียกร้อง บ่หวังอะไร
และยินดี สิพ่ายสิแพ้
ยังยืนยันคำเก่า ไผสิเว้าจังใด๋บ่แคร์
จบแบบไหนก็ตามแต่
หัวใจยังรับได้ทุกอย่าง

วันพรุ่งนี้ยังขอรักไปอย่างนี้
วันพรุ่งนี้บ่สนหากต้องผิดหวัง
เลือกจะรักแล้วก็ต้องรัก
เลือกจะรักไปโดยลำพัง
บ่เป็นหยัง หากบ่มีคนเข้าใจ

ถึงความคิดถึง เดินทางบ่ถึงจุดหมาย
ถึงความห่วงใย เขาบ่แนมบ่แล

แต่รักแท้บ่ได้แปลว่าโง่
เมื่อรักคือความจริงจากใจ
บ่เรียกร้อง บ่หวังอะไร
และยินดีสิพ่ายสิแพ้
ยังยืนยันคำเก่า ไผสิเว้าจังใด๋บ่แคร์
จบแบบไหนก็ตามแต่
หัวใจยังรับได้ทุกอย่าง

แต่รักแท้บ่ได้แปลว่าโง่
เมื่อรักคือความจริงจากใจ
บ่เรียกร้อง บ่หวังอะไร
และยินดีสิพ่ายสิแพ้
ยังยืนยันคำเก่า ไผสิเว้าจังใด๋บ่แคร์
จบแบบไหนก็ตามแต่
หัวใจยังรับได้ทุกอย่าง

หัวใจยังรับได้ทุกอย่าง",pai_pongsatorn
สำคัญกว่าลมหายใจ,/music/thailyric/12214,"เหมือนเกิดมาเพื่อรักเธอ
หัวใจเป็นของเธอเท่านั้น
ยืนเคียงบนทางเธอฝัน
มีคืนและวัน ไว้ห่วงใยเธอ
ในยามมืดมน เมฆความทุกข์
ทนหอบฝนมาเจอ
อ้อมแขนอ้ายพร้อมเสมอ
เพื่อโอบกอดเธอ ให้ความทุกข์คลาย

หากจะถาม ว่าทำไม
อ้ายถึงทำได้ ขนาดนี้เพื่อเธอ
เพราะเธอ สำคัญกว่าลมหายใจ
ชีวิตถูกกำหนดไว้ ให้อ้ายเกิดมาดูแลเธอ
ขอเป็นรักแท้ แปลว่าเคียงข้างยามทุกข์เสมอ
อ้ายขอทำทุกอย่างเพื่อเธอ
ลมหายใจเพื่อเธอคนนี้

ถ้าตอบรักเธอแค่ไหน
ก้อนหินละลายถึงจะเลิกรัก
ได้มีเธอก็สุขใจนัก ลืมความลำบากที่เจอที่มี
เธอคือรักจริงที่อ้ายกอดไว้แนบใจดวงนี้
จะเก็บทุกช่วงนาที ชีวิตที่มีใช้รักเพียงเธอ

หากจะถาม ว่าทำไม
อ้ายถึงทำได้ขนาดนี้เพื่อเธอ
เพราะเธอสำคัญกว่าลมหายใจ
ชีวิตถูกกำหนดไว้ให้อ้ายเกิดมาดูแลเธอ
ขอเป็นรักแท้ แปลว่าเคียงข้างยามทุกข์เสมอ
อ้ายขอทำทุกอย่างเพื่อเธอ
ลมหายใจเพื่อเธอคนนี้

อ้ายขอทำทุกอย่างเพื่อเธอ
ลมหายใจเพื่อเธอคนนี้",pai_pongsatorn
กิ่งไม้บ่วิเศษ,/music/thailyric/14536,"อ้ายเว้าหยังบ่ได้
อ้ายเฮ็ดหยังบ่ได้ ไผสิเข้าใจอ้ายน้อ
ความฮักมันคาคอ
มันจุกอยู่จ่อหล่อ ยามเธอมาให้พ้อหน้า
อยากขอว่าคนนั้นที่เธอควงแขน
เปลี่ยนให้อ้ายเฮ็ดหน้าที่แทนสา
ได้แต่เว้าในใจตลอดมา
วาสนาบ่พอได้ต้อยซูนคิง

อ้ายจึงอยากมีกิ่งไม้วิเศษ
ชี้จ่มมนต์ไปเปลี่ยนแปลงทุกๆ สิ่ง
จะเสกทุกอย่างให้มันเป็นจริง
ให้มันเป็นดั่งใจอ้ายฝัน

อยากเสกให้คนๆ นั้นเป็นอ้าย
เสกให้เขาหายไปจากตรงนั้น
เสกให้อ้ายเป็นแฟนเธอทุกๆ วัน
อยากเสกความฝันให้เป็นจริงดั่งใจ
อยากเสกตัวเองให้เป็นคนถูกฮัก
เสกให้เธอมาอยู่ในอ้อมแขนอ้าย
แต่โลกความจริงมีเธอกับเขาเดินผ่านไป
อ้ายมีกิ่งไม้นั่งเขี่ยขี้ดินเหงาๆ

ได้แต่ฝันใกล้ๆ
ได้แอบฮักใกล้ๆ กะมีแฮงใจแล้วเด้อ
ตื่นทุกวันมาเจอ ได้หลอยแนมแก้มเธอ
คิดฮอดทุกวันคือเก่า
เทียวหลับตาวาดภาพนั้นมาคอยหลอกใจ
ยิ่งเพ้อไปไกลเท่าใดยิ่งเหงา
ทุกคราวที่เจอเธออยู่กับเขา
ดับความหวังของอ้ายในโลกความจริง

อ้ายจึงอยากมีกิ่งไม้วิเศษ
ชี้จ่มมนต์ไปเปลี่ยนแปลงทุกๆ สิ่ง
จะเสกทุกอย่างให้มันเป็นจริง
ให้มันเป็นดั่งใจอ้ายฝัน

อยากเสกให้คนๆ นั้นเป็นอ้าย
เสกให้เขาหายไปจากตรงนั้น
เสกให้อ้ายเป็นแฟนเธอทุกๆ วัน
อยากเสกความฝันให้เป็นจริงดั่งใจ
อยากเสกตัวเองให้เป็นคนถูกฮัก
เสกให้เธอมาอยู่ในอ้อมแขนอ้าย
แต่โลกความจริงมีเธอกับเขาเดินผ่านไป
อ้ายมีกิ่งไม้นั่งเขี่ยขี้ดินเหงาๆ

แต่โลกความจริงมีเธอกับเขาเดินผ่านไป
อ้ายมีกิ่งไม้นั่งเขี่ยขี้ดินเหงาๆ",pai_pongsatorn
ต้นทางคือฮัก ปลายทางคือเฮา,/music/thailyric/13369,"เบิ่งทางสิไปคือไกลแท้น้อ
หันเบิ่งหน้าคนรอ คือท้อแท้เด้คนดี
อดสาเอาเพราะเฮามันจน
การดิ้นรนนั้นคือหน้าที่
ห้ามน้ำตาแหน่ติ๊
อย่ารินไหลใจอ้ายสิหล่น

บ่ต้องกังวลอ้ายสิทนเพื่อเจ้า
สู้กับเหงาหนักเบาสิดั้นด้น
ไปบ่ดนอ้ายสิหวนคืนมา
ถ่าเด้อนาง ถ่าเด้อใจ
ห่อเอาไว้ดีดี เด้อสัญญา
อดทนเด้อนาง อดเอาเด้อหล่า
มื้อนี่บอกลา มื้อหน้าสิกลับมาเคียงนาง

สิข้ามดงพญาเย็น ฝ่าดงพญาไฟ
สิลำบากเพียงใด บ่ย่านอีหยังจักอย่าง
รอดวงแดแค่คนเดียวคือเจ้าเพียวๆ
อีหลีนาง คึดเห็นหน้าทุกครั้ง
เจอะอีหยังอ้ายก็มีแรงทน

บ่ต้องกังวลอ้ายสิทนเพื่อเจ้า
สู้กับเหงาหนักเบาสิดั้นด้น
ไปบ่ดนอ้ายสิหวนคืนมา
ถ่าเด้อนางถ่าเด้อใจห่อเอาไว้ดีดี
เด้อสัญญา อดทนเด้อนาง อดเอาเด้อหล่า
มื้อนี่บอกลาฮอดมื้อหน้าสิกลับมาเคียงเงา

ต้นทางคือเจ้าที่ฮักปลายทางก็ยังคือเฮา
อ้ายสิไปคว้าดวงดาว
แห่งฝันสองเฮามาฝากนาง",pai_pongsatorn
ตัวไกล ใจฮักมั่น,/music/thailyric/13814,"บ่ได้ไปหา เพราะว่ายากงานที่ทำ
บ่ได้ใจดำ ยังคึดนำตัวน้องคือเก่า
บ่ได้เปลี่ยนไป หัวใจอ้ายยังห่วงเจ้า
บ่ได้ปล่อยให้เหงา เสาร์อาทิตย์ติดงานโอที
ได้แต่โทรหา น้องคงจะไม่ว่ากัน
บ่เคยเปลี่ยนผัน สัญญาฮักมั่นคนดี
บ่ได้กั๊กมีกิ๊ก บ่ได้หลีกสัญญาที่มี
ย้อนงานยุ่งอีหลี คนดีอย่าเคียดอ้ายเด้อ

โทรหาสู่มื่อ เจ้ามาคือน้อยใจเฮ็ดหยัง
หยุดงานวันว่าง จะเดินทางเพื่อไปพบเจอ
อย่ามาสงสัย ว่าอ้ายมีใครแทนเธอ
ฮักมั่นเสมอ บ่เคยเผลอสิคิดนอกใจ

งานยากอีหลี บ่ได้หนีไปมีผู้สาว
เชื่อใจโลดใจโลดเจ้า อ้ายก็เหงายามเราห่างไกล
ยามบ่ยากหลาย อ้ายสิฟ้าวไปหาทันใด
ให้น้องรอหน่อยได้ไหม ว่างงานวันใดสิไปพ้อหน้า

โทรหาสู่มื่อ เจ้ามาคือน้อยใจเฮ็ดหยัง
หยุดงานวันว่าง จะเดินทางเพื่อไปพบเจอ
อย่ามาสงสัย ว่าอ้ายมีใครแทนเธอ
ฮักมั่นเสมอ บ่เคยเผลอสิคิดนอกใจ

งานยากอีหลี บ่ได้หนีไปมีผู้สาว
เชื่อใจโลดใจโลดเจ้า อ้ายก็เหงายามเราห่างไกล
ยามบ่ยากหลาย อ้ายสิฟ้าวไปหาทันใด
ให้น้องรอหน่อยได้ไหม ว่างงานวันใดสิไปพ้อหน้า",pai_pongsatorn
ถิ่มอ้ายไว้ตรงนี้ล่ะ,/music/thailyric/13554,"เจ้าเมือยบ่น้อที่ต้องฝืนทน
อยู่กับคนที่เจ้าเมิดใจ เจ้าสิฝืนเพื่อไผ
เมื่อสุดท้ายเจ้ากะต้องลา
บ่มีความฮักในสายตาคือเก่า
อ้ายผู้เก่ามื้อนี้เมิดค่า อ้ายแค่โตปัญหา
ที่เจ้าหลูโตนอ้ายกะเข้าใจ

บ่ต้องห่วง บ่ต้องทน
ถ้าหากมีคนดูแลเจ้าได้
เมื่อฮักอ้ายนี่ บ่มีความหมาย
คั่นยังจับมืออ้ายไว้ มันเสียเวลาแม่นบ่

กะถิ่มอ้ายไว้ตรงนี้ล่ะ ถิ่มอ้ายสา
บ่เป็นหยังอยู่ได้ ให้เจ้าไป
กับคนที่เขาพาเจ้าไปได้ต่อ
กะถิ่มอ้ายไว้ตรงนี้ล่ะ
ถิ่มภาระจังอ้ายได้บ่
เจ้าเมือยพอล่ะเนาะ
อ้ายขอให้เจ้าโชคดี

อ้ายส่งสุดแขนบ่แม่นสุดฝัน
ย่อนเจ้านั้น เปลี่ยนจุดหมายไป
ถึงเฮ็ดดีปานใด๋ บ่มีผลกับใจของเจ้า
สิยื้อจังใด๋มันก็ต้องจบลง
เจ้าก็คงฮู้เหตุผลดี ควรจบกันสักที
อ้ายนี้สิยอมเป็นคนเสียใจ

บ่ต้องห่วง บ่ต้องทน
ถ้าหากมีคนดูแลเจ้าได้
เมื่อฮักอ้ายนี่ บ่มีความหมาย
คั่นยังจับมืออ้ายไว้ มันเสียเวลาแม่นบ่

กะถิ่มอ้ายไว้ตรงนี้ล่ะ ถิ่มอ้ายสา
บ่เป็นหยังอยู่ได้ ให้เจ้าไป
กับคนที่เขาพาเจ้าไปได้ต่อ
กะถิ่มอ้ายไว้ตรงนี้ล่ะ
ถิ่มภาระจังอ้ายได้บ่
เจ้าเมือยพอล่ะเนาะ
อ้ายขอให้เจ้าโชคดี

บ่ต้องห่วง บ่ต้องทน
ถ้าหากมีคนดูแลเจ้าได้
เมื่อฮักอ้ายนี่ บ่มีความหมาย
คั่นยังจับมืออ้ายไว้ มันเสียเวลาแม่นบ่

กะถิ่มอ้ายไว้ตรงนี้ล่ะ ถิ่มอ้ายสา
บ่เป็นหยังอยู่ได้ ให้เจ้าไป
กับคนที่เขาพาเจ้าไปได้ต่อ
กะถิ่มอ้ายไว้ตรงนี้ล่ะ
ถิ่มภาระจังอ้ายได้บ่
เจ้าเมือยพอล่ะเนาะ
อ้ายขอให้เจ้าโชคดี

เจ้าเมือยพอล่ะเนาะ
อ้ายขอให้เจ้าโชคดี",pai_pongsatorn
อย่าให้เขาฮู้เด้อ,/music/thailyric/13786,"เป็นหยังคือเฮ็ดแนวนี้ มันบ่ดีฮู้บ่
เมื่อเฮาเมิดทางหย่างต่อ
แล้วเจ้ากะพ้อคนใหม่
เจ้ายังเฮ็ดปานเฮาบ่ได้เลิกกัน
ออกอาการจนเกินเลยไป
เฮ็ดคือยังฮักหลาย
เฮ็ดปานว่าอ้ายนั้นยัง สำคัญ

บ่ลืมกันอ้ายขอบใจ
อ้ายซึ้งหลายแต่อ้ายหวั่น
ในฐานะคนเคยฮักกัน
อ้ายอยากสิเตือนด้วยความห่วงใย

อย่าให้เขาฮู้เด้อ
อ้ายเคยเป็นไผในหัวใจของเจ้า
อย่าให้เขาฮู้เด้อ
ว่าเรื่องของเฮาเป็นมาจังใด๋
ย่านเจ้ากับเขาเลิกกัน
ย่านเขาพาลถิ่มป๋า เพราะบ่ไว้ใจ
บ่อยากให้เจ้าเสียใจ
คือจังอ้ายเคยเจอมา

อยู่กับความจริงมื้อนี้
ลืมมันสาเมื่อวาน
อ้ายเป็นแค่คนย่างผ่าน
อ้ายเป็นแค่คนเมิดค่า
สักมื้อนึงอ้ายคงสิทำใจได้
ถึงสิดนสิใช้เวลา ตั้งใจฮักเขาสา
บ่ต้องคึดเฮาเคยเป็นหยังกัน

บ่ลืมกันอ้ายขอบใจ
อ้ายซึ้งหลายแต่อ้ายหวั่น
ในฐานะคนเคยฮักกัน
อ้ายอยากสิเตือนด้วยความห่วงใย

อย่าให้เขาฮู้เด้อ
อ้ายเคยเป็นไผในหัวใจของเจ้า
อย่าให้เขาฮู้เด้อ
ว่าเรื่องของเฮาเป็นมาจังใด๋
ย่านเจ้ากับเขาเลิกกัน
ย่านเขาพาลถิ่มป๋า เพราะบ่ไว้ใจ
บ่อยากให้เจ้าเสียใจ
คือจังอ้ายเคยเจอมา

บ่ลืมกันอ้ายขอบใจ
อ้ายซึ้งหลายแต่อ้ายหวั่น
ในฐานะคนเคยฮักกัน
อ้ายอยากสิเตือนด้วยความห่วงใย

อย่าให้เขาฮู้เด้อ
อ้ายเคยเป็นไผในหัวใจของเจ้า
อย่าให้เขาฮู้เด้อ
ว่าเรื่องของเฮาเป็นมาจังใด๋
ย่านเจ้ากับเขาเลิกกัน
ย่านเขาพาลถิ่มป๋า เพราะบ่ไว้ใจ
บ่อยากให้เจ้าเสียใจ
คือจังอ้ายเคยเจอมา

อ้ายบ่อยากให้เจ้าเสียใจ
คือจังอ้ายเคยเจอมา",pai_pongsatorn
อ้ายเสียเจ้าไปหรือยัง,/music/thailyric/14821,"อย่า อย่ามาเว้าเถาะว่ายังคือเก่า
ย้อนการกระทำของเจ้านั้นบ่คือเก่า จนฮู้สึกได้
อย่า อย่ามาตั๋วกันให้มันเมื่อยใจ
เรื่องเจ้ากับเขาคนเว้าคนส่ากันหลาย ซุกไว้บ่อยู่

กะให้มันชัดเจนแนแหมหัวใจ
สิได้เจ็บเทือเดียวไปบ่ได้เจ็บดู๋
ที่อ้ายมาถาม ย้อนอยากสิฮู้จากปากจากใจ

ว่าอ้ายเสียเจ้าไปหรือยัง ใจเพม้างไปทางเขาแล้วบ่
สิเอาจังได๋ต่อ หรือว่าสิพอ บอกกันดีๆ ก็ได้
คันอ้ายเสียเจ้าไปอิหลีกะสิได้หนี ไปไกลๆ
บ่อยากอยู่ให้เกะกะใจ คนเขาสิฮักกัน

ฮู้ เป็นคนรักเจ้าได้บ่ค่อยดี
บ่ซอยบอกกันเอาบุญจักหน่อยแนติ๊ อ้ายผิดหม่องใด๋
ขอ แค่ให้เจ้าเว้าความจริงข้างใน
เรื่องเจ้ากับเขาซงสิสนิทกันหลาย เกินคำว่าหมู่

กะให้มันชัดเจนแนแหมหัวใจ
สิได้เจ็บเทือเดียวไปบ่ได้เจ็บดู๋
ที่อ้ายมาถาม ย้อนอยากสิฮู้จากปากจากใจ

ว่าอ้ายเสียเจ้าไปหรือยัง ใจเพม้างไปทางเขาแล้วบ่
สิเอาจังได๋ต่อ หรือว่าสิพอ บอกกันดีๆ ก็ได้
คันอ้ายเสียเจ้าไปอิหลี กะสิได้หนี ไปไกลๆ
บ่อยากอยู่ให้เกะกะใจ คนเขาสิฮักกัน

กะให้มันชัดเจนแนแหมหัวใจ
สิได้เจ็บเทือเดียวไปบ่ได้เจ็บดู๋
ที่อ้ายมาถาม ย้อนอยากสิฮู้จากปากจากใจ

ว่าอ้ายเสียเจ้าไปหรือยัง ใจเพม้างไปทางเขาแล้วบ่
สิเอาจังได๋ต่อ หรือว่าสิพอ บอกกันดีๆ ก็ได้
คันอ้ายเสียเจ้าไปอิหลี กะสิได้หนี ไปไกลๆ
บ่อยากอยู่ให้เกะกะใจ คนเขาสิฮักกัน

บ่อยากอยู่ ให้เกะกะใจ คนเขาสิฮักกัน",pai_pongsatorn
อาลัยบัวเขียว,/music/thailyric/13575,"อ้ายเหงาเหมือนข้าวขาดฝนต้นเหี่ยว
คิดฮอดคนชื่อบัวเขียว
หนึ่งเดียวในห้องดวงใจ
บัดนี้เจ้าหนีอ้ายลาลับไกล
เหมือนดาวดับกลางดวงใจ
ต่อไปอ้ายคงสิ้นทาง

เฝ้าหวังฮักนางแอบหวังมานาน
ถึงเจ้าบ่เคยสงสารเนิ่นนานยังคอยบ่จาง
เจ็บช้ำกี่หนก็ทนฮักนาง จนมองว่าพอมีทาง
สวรรค์ก็พรากนางไป

เหมือนโลกสลายหัวใจของอ้ายแห้งเหี่ยว
รันทดโดดเดี่ยวขาดบัวเขียวอ้ายหมดความหมาย
บนเส้นทางก้าวเคยมีเจ้าเป็นดาวนำใจ
ขาดเจ้าอ้ายบ่มีไผ หัวใจขาดไฟนำทาง

สิ้นหวังฮักยังบ่จางหัวใจ
แม้นอ้ายทำดีที่ไหนได้บุญแบ่งให้ถึงนาง
ชาตินี้ได้ฮักแต่ไม่สมหวัง
เบิ่งฮอยที่เคยร่วมทาง
อ้ายยังคึดฮอดบัวเขียว

สิ้นหวังฮักยังบ่จางหัวใจ
แม้นอ้ายทำดีที่ไหนได้บุญแบ่งให้ถึงนาง
ชาตินี้ได้ฮักแต่ไม่สมหวัง
เบิ่งฮอยที่เฮาร่วมทาง
อ้ายยังคึดฮอดบัวเขียว",pai_pongsatorn
