song_name,href,lyric,artist
คนไม่เจียม,/music/thailyric/3870,"ฉันกลายเป็นคนอย่างนี้ ได้อย่างยังไง
ฉันเห็นแก่ตัวใช่มั้ยที่ทำอย่างนั้น
จะพูดคำว่ารักเพื่ออะไรกัน
ทั้งๆ ที่คนอย่างฉันไม่ควรคู่เธอ

แม้ว่าดาวจะลอยหลงฟ้า
โชคชะตาจะขีดพาให้พบเจอ
แต่ดาวยังคงเป็นดาวเสมอ
แม้ว่าเธอจะเผลอลืมไป

อย่าฉุดเธอไว้อีกเลยขอที
จับมือเธอไว้อย่างนี้เพื่ออะไร
ปล่อยเธอให้หวนกลับฟ้าของเธอไป
ปล่อยน้ำตาให้มันไหล
ให้มันรินล้างใจคนไม่เจียม

แม้เราจะต้องปวดร้าวสักเท่าไหร่
แม้มันจะไม่เป็นไปเหมือนใจต้องการ
ไม่เจอะกันอีกแล้วจนชั่วกาล
สักวันเธอคงจะรู้ว่าฉันทำเพื่อใคร

แม้ว่าดาวจะลอยหลงฟ้า
โชคชะตาจะขีดพาให้พบเจอ
แต่ดาวยังคงเป็นดาวเสมอ
แม้ว่าเธอจะเผลอลืมไป

อย่าฉุดเธอไว้อีกเลยขอที
จับมือเธอไว้อย่างนี้เพื่ออะไร
ปล่อยเธอให้หวนกลับฟ้าของเธอไป
ปล่อยน้ำตาให้มันไหล
ให้มันรินล้างใจคนไม่เจียม

คำว่ารักแม้มันจะยิ่งใหญ่
แต่มันไม่ใช่ทุกสิ่งทุกอย่าง

อย่าฉุดเธอไว้อีกเลยขอที
จับมือเธอไว้อย่างนี้เพื่ออะไร
ปล่อยเธอให้หวนกลับฟ้าของเธอไป
ปล่อยน้ำตาให้มันไหล
ให้มันรินล้างใจคนไม่เจียม

ปล่อยน้ำตาให้มันไหล
ให้มันรินล้างใจคนไม่เจียม",palapol
คำสามคำ,/music/thailyric/3873,"ฝันไม่เคยเหมือนจริง ทิ้งให้เราทุกข์ทน แต่เราสองคนไม่ทิ้งกัน
ฝนไม่เคยสร่างซา ฟ้าไม่มีแสงดาว ยิ่งทำให้เราผูกพัน

เพราะมีเธอทั้งคน ก็พร้อมจะทนสู้ไป จะนานเท่าไรไม่หวั่น
รักฉันมีแต่เธอ จะมีแต่เธอเสมอไป จนวันที่ตายจากกัน

ด้วยรัก ฟ้าจะใสสว่าง ด้วยรัก ดาวจะคอยชี้ทาง
สักวัน ฝนคงจะสร่างซา น้ำตาจะแห้งเหือดหายไป

แค่เพียงคำสามคำ จากคนสองคน บนทางมืดมน ก็จะมีแสงไฟ
อยู่ในใจทุกคำ จดและจำฝังใจ วันจะจางร้างไป แต่คำ(นี้ไม่มีวัน/ในใจไม่)จาง

เพราะมีเธอทั้งคน ก็พร้อมจะทนสู้ไป จะนานเท่าไรไม่หวั่น
รักฉันมีแต่เธอ จะมีแต่เธอเสมอไป จนวันที่ตายจากกัน

ด้วยรัก ฟ้าจะใสสว่าง ด้วยรัก ดาวจะคอยชี้ทาง
สักวัน ฝนคงจะสร่างซา น้ำตาจะแห้งเหือดหายไป

แค่เพียงคำสามคำ จากคนสองคน บนทางมืดมน ก็จะมีแสงไฟ
อยู่ในใจทุกคำ จดและจำฝังใจ วันจะจางร้างไป แต่คำ(นี้ไม่มีวัน/ในใจไม่)จาง

แค่เพียงคำสามคำ จากคนสองคน บนทางมืดมน ก็จะมีแสงไฟ
อยู่ในใจทุกคำ จดและจำฝังใจ วันจะจางร้างไป แต่คำ(นี้ไม่มีวัน/ในใจไม่)จาง

จวบจนวันสิ้นใจ ก็จะย้ำคำนั้นฉันรักเธอ",palapol
รักแท้แค่นั้นพอ,/music/thailyric/3891,"จะต่ำจะสูง จะมีจะจน
ค่าความเป็นคน ก็ไม่ต่างกัน
มันอยู่ที่ใจของเราเท่านั้น
นี้คือสิ่งสำคัญกว่าสิ่งใด

ใครเขาจะหยาม จะคอยข่มเหง
ไม่กลัวไม่เกรงถ้าเราใจมั่น
ภูเขาจะสูงไม่มีความหมาย
เราจะปีนตามไปด้วยกัน
รักแท้จะไม่ยอมแพ้คำคน
ยากดีมีจนเราสองคนไม่เคยหวั่น

รักแท้คำนี้คำเดียวเท่านั้น
แก้วแหวนเงินทองไม่ต้องการ
ขอให้เรารักกันก็พอ

อุปสรรคขวากหนามใดใด ในวันนี้
จะเป็นความทรงจำดีดี ตลอดไป

ใครเขาจะหยาม จะคอยข่มเหง
ไม่กลัวไม่เกรงถ้าเราใจมั่น
ภูเขาจะสูงไม่มีความหมาย
เราจะปีนตามไปด้วยกัน
รักแท้จะไม่ยอมแพ้คำคน
ยากดีมีจนเราสองคนไม่เคยหวั่น

รักแท้คำนี้คำเดียวเท่านั้น
แก้วแหวนเงินทองไม่ต้องการ
ขอให้เรารักกันก็พอ

รักแท้คำนี้คำเดียวเท่านั้น
แก้วแหวนเงินทองไม่ต้องการ
ขอให้เรารักกันก็พอ

ถ้าเธอบอกรักกันฉันก็พอ",palapol
สักวันหนึ่ง,/music/thailyric/3897,"ไม่เป็นไรถ้าเธอยังไม่ต้องการ ไม่เป็นไรถ้าฉันยังดีไม่พอ
ถ้าวันนี้เธอยังไม่เต็มใจ ฉันก็จะไม่ขอ ให้เธอหันมามองตา

ไม่เป็นไรถ้าเธอคิดถึงใครอยู่ และไม่รู้ว่าฉันเฝ้าคอยเรื่อยมา
อาจเป็นเพราะยังนานไม่เพียงพอ ให้เธอได้เห็นค่า ว่าคนๆนี้รักเธอเท่าไหร่

ก็คงต้องรอต่อไปอย่างนี้ เหมือนที่เป็นมา และไม่รู้ว่าจะจบลงเมื่อไหร่
สิ่งเดียวที่รู้ก็คือวันนี้ ยังรักเธอหมดหัวใจ และก็คงเป็นไปอย่างนี้นานเท่านาน

ก็คงต้องรอต่อไปอย่างนี้ เหมือนที่เป็นมา และไม่รู้ว่าจะจบลงเมื่อไหร่
สิ่งเดียวที่รู้ก็คือวันนี้ ยังรักเธอหมดหัวใจ และก็คงเป็นไปอย่างนี้นานเท่านาน

วันพรุ่งนี้แม้มันไม่มีจุดหมาย แต่ในใจจะขอมีเธอเท่านั้น
เผื่อบางทีจะมีสักวันหนึ่ง ที่คนอย่างฉัน
จะทำให้เธอได้ซึ้ง ว่าคนหนึ่งคนตรงนี้ จะคงมีเพียงแค่คำว่ารัก",palapol
ทานข้าวกันไหม,/music/thailyric/15166,"หิวไหม ทานอะไรมาหรือยัง
ถ้ายัง ทานข้าวกันหน่อยดีไหม
มีเรื่องต้องคุยกับเธอ เรื่องราวไม่สบายใจ
มันเก็บไม่ไหว ต้องบอกกับเธอวันนี้

หิวเหรอ จะทานอะไรเชิญได้เลย
ฉันรอ ทานให้อร่อยเข้าไว้
อาหารที่นี่อย่างดี ช่วยทานได้ตามพอใจ
เธออิ่มตอนไหน ได้โปรดเตรียมใจแล้วกัน

อิ่มแล้วใช่ไหม ถ้างั้นเธอจงฟังฉัน
ระหว่างเรานั้น มื้อนี้เป็นมื้อสุดท้าย
ฉันขอจบเรื่องของเรา ที่มันยาวนานเกินไป
ฉันร้องไห้เพราะเธอ มาพอแล้ว

ฉันรู้ เจอกับตามาหลายคราว
เห็นเธอ ทานข้าวอยู่กับคนนั้น
ปัญหาของเธอก็คือ ไม่เคยรักใครได้นาน
ปัญหาของฉัน คืออดทนเธอไม่พอ

อิ่มแล้วใช่ไหม ถ้างั้นเธอจงฟังฉัน
ระหว่างเรานั้น มื้อนี้เป็นมื้อสุดท้าย
ฉันขอจบเรื่องของเรา ที่มันยาวนานเกินไป
ฉันร้องไห้เพราะเธอ มาพอแล้ว

ฉันรู้ เจอกับตามาหลายคราว
เห็นเธอ ทานข้าวอยู่กับคนนั้น
ปัญหาของเธอก็คือ ไม่เคยรักใครได้นาน
ปัญหาของฉัน คืออดทนเธอไม่พอ

ตั้งแต่วันนี้ เธออยากไปไหนก็ไป",palapol
กอดหน่อยได้ไหม,/music/thailyric/8635,"เมื่อเธอไม่อยู่ หรือฉันต้องไป
ในความเคลื่อนไหวบางครั้งก็มีคิดมากไปบ้าง
ก็เพราะว่าห่วง เมื่อเราต้องห่าง
เวลาอ้างว้าง อยากรู้ว่ายังมีเรา
ไม่ใช่ว่าหวงแต่เหงา อยากให้เข้าใจ

เพราะไม่เห็นหน้า ถึงโทรมาบ่อย
ก็อย่างน้อยๆ ได้ยินเสียงพอให้เหงามันคลาย
เพราะโลกมันกว้าง เพราะทางมันแสนไกล
จะอยู่ตรงไหน ไม่เหมือนที่เรามีเรา
ไม่ใช่ว่าหวงแต่เหงา อยากให้เข้าใจ

กอดหน่อยได้ไหม ด้วยคำว่าคิดถึง
อยากฟังอีกสักครั้งหนึ่ง ให้ใจได้อุ่นใจ
อยู่ห่างขนาดนี้ คิดถึงกันบ้างไหม
กอดบ่อยๆ ได้ไหม ถ้าใจเธอเหงาเหมือนกัน

ขอเพียงใกล้ใจ แม้จะไกลกัน
ระหว่างทางฝัน อย่างน้อยฉันยังมีเธอเติมใจ
ไม่นานจะมา เห็นหน้าใกล้ๆ
จะกอดเธอไว้ ให้เหมือนกอดแรกของเรา
แต่ว่าตอนนี้มันเหงา อยากให้เข้าใจ

กอดหน่อยได้ไหม ด้วยคำว่าคิดถึง
อยากฟังอีกสักครั้งหนึ่ง ให้ใจได้อุ่นใจ
อยู่ห่างขนาดนี้ คิดถึงกันบ้างไหม
กอดบ่อยๆ ได้ไหม ถ้าใจเธอเหงาเหมือนกัน

กอดหน่อยได้ไหม ด้วยคำว่าคิดถึง
อยากฟังอีกสักครั้งหนึ่ง ให้ใจได้อุ่นใจ
อยู่ห่างขนาดนี้ คิดถึงกันบ้างไหม
กอดบ่อยๆ ได้ไหม ถ้าใจเธอเหงาเหมือนกัน",palapol
คนสำคัญประจำบ้าน,/music/thailyric/8634,"เคยไหมฉันเคยบอกไหม
ฉันอยู่ไม่ได้ถ้าขาดเธอ
จะกินจะใช้จะหาอะไรก็ไม่เจอ
เสื้อผ้าก็ยับทุกวัน

งานเสียเพราะว่าตื่นสาย ก็ใครที่ไหนจะปลุกฉัน
ยิ่งดึกก็ยิ่งเหงา กินข้าวไข่เจียวทุกวัน
ห้องนอนคงรกรุงรัง

ฉันแค่อยากจะย้ำ ว่าฉันต้องมีเธอ
มีเธออยู่กับฉันเรื่อยไป
ฉันยังห่วงเสมอ กลัวเธอไม่เข้าใจ
ที่ไม่ค่อยพูดคำนี้

ถ้าไม่มีเธอแล้ว แล้วฉันจะอยู่ได้ยังไง
คงอยู่แบบหายใจไปวันๆ
อยากบอกให้เธอรู้ ว่าเธอคือคนที่สำคัญ
เธอเติมเต็มคำว่าบ้าน ด้วยรักและความห่วงใย

มือเล็กๆ ที่คอยมาแตะฉัน
มันอุ่นไปถึงหัวใจ
แค่มองก็รู้ไม่ต้องมีคำพูดใด
ยังไงโลกนี้ยังมีเรา

ฉันแค่อยากจะย้ำ ว่าฉันต้องมีเธอ
มีเธออยู่กับฉันเรื่อยไป
ฉันยังห่วงเสมอ กลัวเธอไม่เข้าใจ
ที่ไม่ค่อยพูดคำนี้

ถ้าไม่มีเธอแล้ว แล้วฉันจะอยู่ได้ยังไง
คงอยู่แบบหายใจไปวันๆ
อยากบอกให้เธอรู้ ว่าเธอคือคนที่สำคัญ
เธอเติมเต็มคำว่าบ้าน ด้วยรักและความห่วงใย

อยากบอกให้เธอรู้ ว่าเธอคือคนที่สำคัญ
เธอเติมเต็มคำว่าบ้าน ด้วยรักและความห่วงใย",palapol
ลืมนาทีที่แล้วได้ไหม,/music/thailyric/9119,"มองดูให้ดีว่าคนที่ยืนข้างเธอตรงนี้
คือคนที่เธอเคยรักกันมานาน
ฉันก็ไม่รู้ทำไมเราจึงเมินเฉยกัน
รู้เพียงแค่ฉันยังเสียใจจริงๆ

อย่าไปจำว่าใครผิด อย่าไปคิดเรื่องนั้น
มีสิ่งเดียวที่สำคัญ
คือเธอและฉัน รู้ใช่ไหม

ลืมนาทีที่แล้วได้ไหม
แล้วใช้นาทีต่อไปด้วยกัน
เคยมีชั่วโมงที่ดีด้วยกันมาแสนนาน
อย่าให้นาทีนั้นเป็นนาทีสุดท้าย

ลืมบางคำที่แล้วไปสักครั้ง
ขอเพียงเราต่างยังเชื่อใจ
คนที่รักกันคงมีชั่วโมงทำพลาดไป
อย่าให้จบเพราะนาทีที่พูดผิดเลย

เป็นไปได้ไหมจะลองเริ่มกันดูอีกสักที
ด้วยการที่เรายอมให้อภัยกัน
ถ้าคำว่าเราจะยังพอมีความสำคัญ
อยากให้เธอลองหันหลังมามองตา

อยากให้เห็นว่าตัวเธอ มีความหมายต่อฉัน
เธอคือคนที่สำคัญ ตลอดมา ตลอดไป

ลืมนาทีที่แล้วได้ไหม
แล้วใช้นาทีต่อไปด้วยกัน
เคยมีชั่วโมงที่ดีด้วยกันมาแสนนาน
อย่าให้นาทีนั้นเป็นนาทีสุดท้าย

ลืมบางคำที่แล้วไปสักครั้ง
ขอเพียงเราต่างยังเชื่อใจ
คนที่รักกันคงมีชั่วโมงทำพลาดไป
อย่าให้จบเพราะนาทีที่พูดผิดเลย
อยากให้เราสองคน เป็นอย่างเดิม",palapol
ขอให้โชคดี,/music/thailyric/3866,"เข้าใจดีที่เธอจากฉันไป ก็เมื่อเธอเจอใครที่ดีกว่า
จะกังวลทำไมคำสัญญา ฉันไม่เคยจะโกรธจะโทษใคร

ฝากดูแลตัวเองด้วยแล้วกัน ฝากบอกใครคนนั้นฉันเข้าใจ
ไม่ว่ามันจะนานสักเท่าไร ฉันก็ยังภูมิใจที่รักเธอ

ขอให้เธอไปดี ขอให้มีความสุข ขอให้เธอหมดทุกข์เสียที
ขอให้รักยืนยาว ให้เธอกับเขาโชคดี อย่าให้มีใครอีกเลยต้องเจ็บช้ำ

หากวันใดที่เธอต้องเสียใจ จะมีใครอีกคนเสียใจกว่า
หากวันใดที่เธอมีน้ำตา คิดถึงคนคนนี้ที่รักเธอ

ขอให้เธอไปดี ขอให้มีความสุข ขอให้เธอหมดทุกข์เสียที
ขอให้รักยืนยาว ให้เธอกับเขาโชคดี อย่าให้มีใครอีกเลยต้องเจ็บช้ำ

จะไม่ลืมว่าเราเคยรักกัน จะไม่จำว่าเธอทิ้งฉันไป
สิ่งดีๆยังมีในหัวใจ ไม่มีใครคนไหนแทนที่เธอ

ขอให้เธอไปดี ขอให้มีความสุข ขอให้เธอหมดทุกข์เสียที
ขอให้รักยืนยาว ให้เธอกับเขาโชคดี อย่าให้มีใครอีกเลยต้องเจ็บช้ำ

ฝากดูแลตัวเองด้วยแล้วกัน ฝากบอกใครคนนั้นฉันเข้าใจ
ไม่ว่ามันจะนานสักเท่าไร ฉันก็ยังภูมิใจที่รักเธอ",palapol
คนคนนี้,/music/thailyric/3868,"เธอมาลาจากกันในวันนี้ ฉันเข้าใจได้ดี ว่าวันนี้เธอคงต้องไป
คงไม่มีทางจะดึงเธอไว้ เพราะรู้ว่าในหัวใจ เธออยู่กับใครที่ไม่ใช่ฉัน

ความจำเป็นที่ต้องเลือกไป เธอไม่ต้องอธิบาย แค่สัญญากับฉัน
ในวันใดที่เธอทุกข์ใจ ไม่มีใครต้องการ แค่ขอให้มาบอกกัน

คนๆ นี้ที่เธอเห็น จะเป็นให้เธอทุกอย่าง จะไม่ท้วงจะไม่ถาม เจ็บช้ำมาด้วยเหตุใด
คือสัญญาที่ให้กับเธอ จากตรงนี้ไม่นานเท่าไหร่ ไม่ว่าเพราะอะไรแค่ขอให้เธอกลับมา

ยังเป็นคนเดิมเพื่อเธอเสมอ ฉันพร้อมจะทำเพื่อเธอ ถ้าหากวันใดที่เธอเจ็บช้ำ

ความจำเป็นที่ต้องเลือกไป เธอไม่ต้องอธิบาย แค่สัญญากับฉัน
ในวันใดที่เธอทุกข์ใจ ไม่มีใครต้องการ แค่ขอให้มาบอกกัน

คนๆ นี้ที่เธอเห็น จะเป็นให้เธอทุกอย่าง จะไม่ท้วงจะไม่ถาม เจ็บช้ำมาด้วยเหตุใด
คือสัญญาที่ให้กับเธอ จากตรงนี้ไม่นานเท่าไหร่ ไม่ว่าเพราะอะไรแค่ขอให้เธอกลับมา

คนๆ นี้ที่เธอเห็น จะเป็นให้เธอทุกอย่าง จะไม่ท้วงจะไม่ถาม เจ็บช้ำมาด้วยเหตุใด
คือสัญญาที่ให้กับเธอ จากตรงนี้ไม่นานเท่าไหร่ ไม่ว่าเพราะอะไรแค่ขอให้เธอกลับมา

ไม่ว่าเพราะอะไรแค่ขอให้เธอกลับมา",palapol
