song_name,href,lyric,artist
ขอเวลาสองนาที,/music/thailyric/14939,"ยังคิดถึง อยู่อย่างนี้ ยังคงฝันว่ามีเธอข้าง
จากวันนั้นที่เราเหินห่าง ยังไม่ร่ำลา
ก็ยังเหงาอยู่เสมอ ก็ยังเพ้อถึงเธอเรื่อยมา
คิดถึงเธอทุกทีน้ำตา ก็จะไหล

ก็ยังติดตามข่าวคราวเสมอ
รู้ว่าเธอกำลังคบหากับใคร
ไม่เคยโทษตัวเธอ ผิดที่ใจรั้งเธอไม่ได้

แค่อยากได้ยิน เสียงเธอสักสองนาที
คงไม่เป็นการรบกวนมากไป ใช่หรือเปล่า
จากคนเหงาๆ คนหนึ่ง ที่เคยรักเคยซึ้งกันมา
ต้องเลิกรา วันนี้มีคำจะพูดว่า คิดถึง

ที่ตรงนี้ เคยมีฉัน เคยมีเธอนั่งมองดวงดาว
แต่วันนี้มีเธอกับเขา เข้ามาแทน

ก็ยังติดตามข่าวคราวเสมอ
รู้ว่าเธอกำลังคบหากับใคร
ไม่เคยโทษตัวเธอ ผิดที่ใจรั้งเธอไม่ได้

แค่อยากได้ยิน เสียงเธอสักสองนาที
คงไม่เป็นการรบกวนมากไป ใช่หรือเปล่า
จากคนเหงาๆ คนหนึ่ง ที่เคยรักเคยซึ้งกันมา
ต้องเลิกรา วันนี้มีคำจะพูดว่า คิดถึง

แค่อยากได้ยิน เสียงเธอสักสองนาที
คงไม่เป็นการรบกวนมากไป ใช่หรือเปล่า
จากคนเหงาๆ คนหนึ่ง ที่เคยรักเคยซึ้งกันมา
ต้องเลิกรา วันนี้มีคำจะพูดว่า คิดถึง",palo
คนจน,/music/thailyric/19882,"วันหนึ่งฉันได้รู้
ว่าฉันได้หมดความหมายและคุณค่า
คนไร้ประโยชน์คนนอกสายตา
ฉันไม่หลงเหลือในใจเธออีก

มันเจ็บเมื่อได้รู้
เพียงใครคนนั้นได้เดินเข้ามา
มาแทนความสุขมาแทนเวลา
มาแทนคุณค่าในคำว่าเรา

ขอให้เธอเจอะคนที่ดี
คนทางนี้ไม่มีอะไร
พร้อมยอมเจ็บหากในหัวใจ
ไม่มีฉันอีกแล้ว

ฉันมันคนจนๆ ที่โดนเธอทิ้ง
ฉันไม่มีในสิ่งที่เธอต้องการ
แม้รักเธอยังไงก็โดนประหาร
ในเมื่อเธอเลือกคนนั้นไปแล้ว

ฉันไม่มีความดีที่เธอมองเห็น
ฉันเป็นตัวอะไรที่เธอไม่เอา
ฉันต้องยอมจำนนปล่อยเธอให้เขา
ปิดฉากฉันด้วยรอยน้ำตา

ไม่ใช่ฉันตรงนี้
และไม่ใช่ฉันคนเดิมที่ผ่านมา
จงลืมเสียเถิด จงพูดคำลา
จงปลุกให้ฉันยอมรับความจริง

ขอให้เธอเจอะคนที่ดี
คนทางนี้ไม่มีอะไร
พร้อมยอมเจ็บหากในหัวใจ
ไม่มีฉันอีกแล้ว

ฉันมันคนจนๆ ที่โดนเธอทิ้ง
ฉันไม่มีในสิ่งที่เธอต้องการ
แม้รักเธอยังไงก็โดนประหาร
ในเมื่อเธอเลือกคนนั้นไปแล้ว

ฉันไม่มีความดีที่เธอมองเห็น
ฉันเป็นตัวอะไรที่เธอไม่เอา
ฉันต้องยอมจำนนปล่อยเธอให้เขา
ปิดฉากฉันด้วยรอยน้ำตา",palo
คนแปลกหน้า,/music/thailyric/14864,"หากรักคือการทุ่มเท ให้ใครหนึ่งคน
หากผลลับมันต้องโดน ใครคนนั้นทำร้าย
อย่างที่เธอทำกับฉัน
ยิ่งรักมากเท่าไหร่ ยิ่งใจสลาย

เมื่อเขาพาเธอจากไป ก็ใครจะกลั้นอยู่
ก็รู้ว่าเธอหมดใจ ใครเล่าใครจะไม่เจ็บ
เจ็บที่เธอทำกับฉัน
เธอรักเขาเท่าไร ยิ่งใจสลาย

ต้องหลบไปสักพัก ไม่อยากรับภาพความจริง
ก็คนไม่เคยถูกทิ้ง ก็ยังทำใจไม่ได้

ก่อนที่เราจะเป็นคนอื่น ก่อนที่ใครจะยืนแทนฉัน
ก่อนที่เธอจะหมดรักกัน ก่อนที่ฉันจะเป็นคนอื่นไป
เธอไม่เหลือกันแล้ว จะเลือกเขาจริงๆ ใช่ไหม
ส่วนฉันเป็นคนแปลกหน้าที่หัวใจ ยังรักเธอ

เมื่อเขาพาเธอจากไป ก็ใครจะกลั้นอยู่
ก็รู้ว่าเธอหมดใจ ใครเล่าใครจะไม่เจ็บ
เจ็บที่เธอทำกับฉัน
เธอรักเขาเท่าไร ยิ่งใจสลาย

ต้องหลบไปสักพัก ไม่อยากรับภาพความจริง
ก็คนไม่เคยถูกทิ้ง ก็ยังทำใจไม่ได้

ก่อนที่เราจะเป็นคนอื่น ก่อนที่ใครจะยืนแทนฉัน
ก่อนที่เธอจะหมดรักกัน ก่อนที่ฉันจะเป็นคนอื่นไป
เธอไม่เหลือกันแล้ว จะเลือกเขาจริงๆ ใช่ไหม
ส่วนฉันเป็นคนแปลกหน้าที่หัวใจ ยังรักเธอ

ก่อนที่เราจะเป็นคนอื่น ก่อนที่ใครจะยืนแทนฉัน
ก่อนที่เธอจะหมดรักกัน ก่อนที่ฉันจะเป็นคนอื่นไป
เธอไม่เหลือกันแล้ว จะเลือกเขาจริงๆ ใช่ไหม
ส่วนฉันเป็นคนแปลกหน้าที่หัวใจ ยังรักเธอ

อยากบอกคำสุดท้าย ยังรักเธอ",palo
คิดถึงแฟนเก่ามั่งหม้าย,/music/thailyric/19048,"รู้มั่งหม้าย ฉันเจ็บเพียงใด
จากกันไป หม้ายเธอเหมือนเก่า
อยากรับรู้ ว่าเธอสุขหรือเศร้า
คนเหงาๆ เศร้าใจเหลือเกิน

ถ้าเธอมีคนดูแล ที่คอยเทคแคร์เธอเป็นอย่างดี
ฉันต้องขอโทษที ไม่ได้จะทำให้ใครหวั่นไหว

คิดถึงแฟนเก่ามั่งหม้าย
ผู้ชายเฉิ่มๆ เชยๆ
ยังรัก คิดถึงอย่างเคย ไม่เปลี่ยนแปลง
คิดถึงแฟนเก่ามั่งหม้าย
ฉันคิดถึงเธออย่างแรง
ไม่ได้ขี้หกทำแกล้ง
คิดถึงแฟนเก่า

อยู่คนเดียว ยิ้มกับความเหงา
ห้อของเรา หม้ายเธอเหมือนเคย
เจ็บซ้ำๆ ช้ำจนเฉยๆ
อาจจะเคย ร้องไห้คนเดียว

ถ้าเธอมีคนดูแล ที่คอยเทคแคร์เธอเป็นอย่างดี
ฉันต้องขอโทษที ไม่ได้จะทำให้ใครหวั่นไหว

คิดถึงแฟนเก่ามั่งหม้าย
ผู้ชายเฉิ่มๆ เชยๆ
ยังรัก คิดถึงอย่างเคย ไม่เปลี่ยนแปลง
คิดถึงแฟนเก่ามั่งหม้าย
ฉันคิดถึงเธออย่างแรง
ไม่ได้ขี้หกทำแกล้ง
คิดถึงแฟนเก่า

คิดถึงแฟนเก่ามั่งหม้าย
ผู้ชายเฉิ่มๆ เชยๆ
ยังรัก คิดถึงอย่างเคย ไม่เปลี่ยนแปลง
คิดถึงแฟนเก่ามั่งหม้าย
ฉันคิดถึงเธออย่างแรง
ไม่ได้ขี้หกทำแกล้ง
คิดถึงแฟนเก่า",palo
ฆ่าฉันไม่ได้,/music/thailyric/19399,"คืนที่มีแต่ฉัน กับฝันที่ไม่เป็นจริง
ทุกสิ่งวุ่นวายรอบตัว เรื่องที่เคยร้าวราน
คอยหลอกหลอนให้ทุกข์ให้ทน
ต้องเหงาต้องทรมาน ความโดดเดี่ยว
มันคืบมันคลานมาเกาะกินคนเหงา

สีและแสงที่เห็นสำหรับฉัน มันเป็นสีเทา
เคล้าเรื่องเธอกับเขา ภาพเก่าๆ ยังคงวกวน
ในจุดเดิมที่เคยผ่านมา คราบน้ำตาที่เคยหลั่งไหล
ความโดดเดี่ยวมันคืบมันคลานมาเกาะกินคนเหงา

ใครสักกี่คน หนึ่งคนมีกี่ใจ
มีเพียงหนึ่งใจ มีไหมสักหนึ่งคน
ฉันจะทุกข์ระทม จะขื่นขมจะหลุดพ้น
ในโลกของคนใจร้าย

อะไรที่ฆ่าฉันไม่ได้ หากฉันนั้นไม่ได้ตาย
ยังหายใจยังเดินออกไปดู
ยังรู้ยังร้อนยังหนาวเย็น
มันแสดงว่าฉันโต สุดท้ายมันทำให้ฉัน
แข็งแกร่งเกิน

อะไรที่ฆ่าฉันไม่ได้ มันจะทำให้ฉันเดิน
เดินต่อไปไม่หยุดพัก
แพ้เราอ่านเขียนไม่เป็น
ใครที่ทำให้ฉันกลัว กลัวหัวใจสั่นคลอน
พลันสลาย ก็ฉันยังหายใจอยู่

สีและแสงที่เห็นสำหรับฉัน มันเป็นสีเทา
เคล้าเรื่องเธอกับเขา ภาพเก่าๆ ยังคงวกวน
ในจุดเดิมที่เคยผ่านมา คราบน้ำตาที่เคยหลั่งไหล
ความโดดเดี่ยวมันคืบมันคลานมาเกาะกินคนเหงา

ใครสักกี่คน หนึ่งคนมีกี่ใจ
มีเพียงหนึ่งใจ มีไหมสักหนึ่งคน
ฉันจะทุกข์ระทม จะขื่นขมจะหลุดพ้น
ในโลกของคนใจร้าย

อะไรที่ฆ่าฉันไม่ได้ หากฉันนั้นไม่ได้ตาย
ยังหายใจยังเดินออกไปดู
ยังรู้ยังร้อนยังหนาวเย็น
มันแสดงว่าฉันโต สุดท้ายมันทำให้ฉัน
แข็งแกร่งเกิน

อะไรที่ฆ่าฉันไม่ได้ มันจะทำให้ฉันเดิน
เดินต่อไปไม่หยุดพัก
แพ้เราอ่านเขียนไม่เป็น
ใครที่ทำให้ฉันกลัว กลัวหัวใจสั่นคลอน
พลันสลาย ก็ฉันยังหายใจอยู่

ก็ฉันยังหายใจอยู่

ก็ฉันยังหายใจอยู่",palo
ตาบอด,/music/thailyric/21073,"จะเจ็บจะปวดจะทรมานแค่ไหน
จะเหนื่อยจะหนักก็ยังเหมือนเดิมเช่นเคย
โดนกรีดกลางใจก็ยังทำตัวเฉยๆ
มันด้านมันชาจนเกินจะมีน้ำตา

มันเกินกว่าความเจ็บปวด
มันลึกจนเกินจะเอ่ย
มันเสียใจจนไม่อยากเปิดเผย
ให้ใครต้องมาสงสาร

ปล่อยให้ฉันตาบอดเสียยังดีกว่า
ให้รู้ว่าเธอไม่รักฉันอีก
ปล่อยให้ฉันตาบอดให้โง่งมงาย
ปล่อยฉันให้ตายไปกับความงี่เง่า ดีกว่า

จะเจ็บจะปวดจะทรมานแค่ไหน
จะเป็นยังไงให้มันเป็นเรื่องของมัน
จะฆ่าจะแกงจะทำอะไรทำกัน
ให้เจ็บให้จำก็เชิญให้เธอหนำใจ

มันเกินกว่าความเจ็บปวด
มันลึกจนเกินจะเอ่ย
มันเสียใจจนไม่อยากเปิดเผย
ให้ใครต้องมาสงสาร

ปล่อยให้ฉันตาบอดเสียยังดีกว่า
ให้รู้ว่าเธอไม่รักฉันอีก
ปล่อยให้ฉันตาบอดให้โง่งมงาย
ปล่อยฉันให้ตายไปกับความงี่เง่า ดีกว่า

ปล่อยให้ฉันตาบอดเสียยังดีกว่า
ให้รู้ว่าเธอไม่รักฉันอีก
ปล่อยให้ฉันตาบอดให้โง่งมงาย
ปล่อยฉันให้ตายไปกับความงี่เง่า ดีกว่า",palo
บัดสีหม้าย,/music/thailyric/12127,"บัดสีใครหม้าย ถ้าคบพี่ชายเป็นแฟน
ถ้าเดินควงแขน แล้วน้องอายใครหรือเปล่า
พี่คนไม่หล่อ แถมพ่อพี่ไม่เป็นข่าว
รับรองน้องสาว ไม่ทำให้เจ้าเสื่อมเสีย

ถึงว่าหน้าตาไม่เข้าที แต่ก็มีดีอยู่ข้างใน
ไม่เคยมีใครได้เป็นเจ้าของ
ไม่ต้องทดสอบเรื่องหัวใจ ไม่ต้องเขียนใบสั่งจอง
รักน้อง รักน้อง

บัดสีหม้าย บัดสีหม้าย บัดสีหม้าย บัดสีคน
ถ้าเราตกลงปลงใจควงแขน
บัดสีหม้าย บัดสีหม้าย บัดสีหม้าย ถ้าเป็นแฟน
รักหนัดแน่น ที่หัวใจหม้ายใครปน

บัดสีใครหม้าย ถ้าคบกับชายจนจน
ไม่ต้องสับสน คนจนก็มีหัวใจ
แหลงกลางไม่แข็ง ทองแดงไม่ใช่เรื่องใหญ่
หัวจิตหัวใจ รักใครแล้วไม่ผิดหวังโด้

ถึงว่าหน้าตาไม่เข้าที แต่ก็มีดีอยู่ข้างใน
ไม่เคยมีใครได้เป็นเจ้าของ
ไม่ต้องทดสอบเรื่องหัวใจ ไม่ต้องเขียนใบสั่งจอง
รักน้อง รักน้อง

บัดสีหม้าย บัดสีหม้าย บัดสีหม้าย บัดสีคน
ถ้าเราตกลงปลงใจควงแขน
บัดสีหม้าย บัดสีหม้าย บัดสีหม้าย ถ้าเป็นแฟน
รักหนัดแน่น ที่หัวใจหม้ายใครปน

ถึงว่าหน้าตาไม่เข้าที แต่ก็มีดีอยู่ข้างใน
ไม่เคยมีใครได้เป็นเจ้าของ
ไม่ต้องทดสอบเรื่องหัวใจ ไม่ต้องเขียนใบสั่งจอง
รักน้อง รักน้อง

บัดสีหม้าย บัดสีหม้าย บัดสีหม้าย บัดสีคน
ถ้าเราตกลงปลงใจควงแขน
บัดสีหม้าย บัดสีหม้าย บัดสีหม้าย ถ้าเป็นแฟน
รักหนัดแน่น ที่หัวใจหม้ายใครปน

บัดสีหม้าย บัดสีหม้าย บัดสีหม้าย บัดสีคน
ถ้าเราตกลงปลงใจควงแขน
บัดสีหม้าย บัดสีหม้าย บัดสีหม้าย ถ้าเป็นแฟน
รักหนัดแน่น ที่หัวใจหม้ายใครปน",palo
เบบี้โฮมโฮม,/music/thailyric/12687,"ฉันคนธรรมดา
ยังกินมาม่าซองละห้าบาท
ก็อยากจะปรับปรุงตัวให้ดูดี
ที่พอจะคบกับเธอ

แต่ว่าฉันไม่เคยเสแสร้ง
แกล้งสร้างภาพให้ดูไฮโซ
หน้าตาอาจจะโหลๆ
โธ่เธอจะรักหม้ายเธอ

ถึงจะทองแดงแหลงก็บ้านๆ
ฉันก็ชัดเจนใจฉันไม่แพ้ใคร
หากลองแล้วจะรู้
ว่าหรอยเป็นอย่างไร

เบบี้โฮมโฮม เซอร์ๆ
โทรมๆ ไม่สมศักดิ์ศรี
แต่รู้ไหมคนดี
หน้าตาพันนี้ไม่มีหลอกใคร

เบบี้โฮมโฮม
อย่ามองว่าโทรม
สกปรกไม่สาไหร
ให้รู้ว่าข้างในมันมีหัวใจ
รักจริงจะให้เธอ
โอว เบบี้โฮมโฮม

สำเนียงเสียงห้วนๆ
ใครว่ากวนก็ช่างเขาเถอะ
ก็คนเดียวที่ใจอยากเจอ
ให้เธอแฮบปี้ก็พอ

แต่ว่าฉันไม่เคยเสแสร้ง
แกล้งสร้างภาพให้ดูไฮโซ
หน้าตาอาจจะโหลๆ
โธ่เธอจะรักหม้ายเธอ

ถึงจะทองแดงแหลงก็บ้านๆ
ฉันก็ชัดเจนใจฉันไม่แพ้ใคร
หากลองแล้วจะรู้
ว่าหรอยเป็นอย่างไร

เบบี้โฮมโฮม เซอร์ๆ
โทรมๆ ไม่สมศักดิ์ศรี
แต่รู้ไหมคนดี
หน้าตาพันนี้ไม่มีหลอกใคร

เบบี้โฮมโฮม
อย่ามองว่าโทรม
สกปรกไม่สาไหร
ให้รู้ว่าข้างในมันมีหัวใจ
รักจริงจะให้เธอ โอว

เบบี้โฮมโฮม เซอร์ๆ
โทรมๆ ไม่สมศักดิ์ศรี
แต่รู้ไหมคนดี
หน้าตาพันนี้ไม่มีหลอกใคร

เบบี้โฮมโฮม
อย่ามองว่าโทรม
สกปรกไม่สาไหร
ให้รู้ว่าข้างในมันมีหัวใจ
รักจริงจะให้เธอ
โอว เบบี้โฮมโฮม",palo
พรุ่งนี้ไม่มีเธอ,/music/thailyric/11483,"หัวใจ มันไม่มีแรงเดินต่อ
เฝ้ารออย่างสิ้นหวัง
เส้นทาง มืดมิดไร้แรงกำลัง
เมื่อเสียเธอ ต้องเสียใจ

ค่ำคืนเหน็บหนาวและยิ่งยาวนาน
เรื่องวันวานมันทำร้ายใจ
สับสนไม่รู้ว่านานเท่าไร
กับหัวใจ จะรับรู้ความจริง

วันพรุ่งนี้ มันไม่มีเธออีกแล้ว
มีเพียงฉันและใจช้ำๆ
พร้อมความแหลกเหลว
วันพรุ่งนี้ยังมาไม่ถึง
และไม่รู้จะอยู่อย่างไร
ก็หัวใจ มีเพียงเธอ
มันรักเธอจริงๆ

หัวใจ ครุ่นคิดเรื่องราวเก่าๆ
ภาพเธอยังทำร้าย
ไม่รู้ว่าฉันจะทนไปได้
อีกเท่าไร พรุ่งนี้ไม่มีเธอ

วันพรุ่งนี้ มันไม่มีเธออีกแล้ว
มีเพียงฉันและใจช้ำๆ
พร้อมความแหลกเหลว
วันพรุ่งนี้ยังมาไม่ถึง
และไม่รู้จะอยู่อย่างไร
ก็หัวใจ มีเพียงเธอ
มันรักเธอจริงๆ

วันพรุ่งนี้ มันไม่มีเธออีกแล้ว
มีเพียงฉันและใจช้ำๆ
พร้อมความแหลกเหลว
วันพรุ่งนี้ยังมาไม่ถึง
และไม่รู้จะอยู่อย่างไร
ก็หัวใจ มีเพียงเธอ
มันรักเธอจริงๆ",palo
พลัดพราก,/music/thailyric/20044,"ฝืนหันกลับหลัง
ใจอยากจะเหนี่ยวรั้งสักเท่าไร
ใจก็รู้จำเป็นต้องจาก

อยากจะยื้อเวลาให้แสนนาน
แต่ก็รู้เป็นไปได้ยาก
จำต้องจากต้องลากันไป

รักเท่าไรก็ได้เท่านั้น ถึงเวลาต้องเดินจากกัน
อีกแสนนานเนิ่นนานเท่าไร ที่เราได้พบกัน

ไม่ทันเตรียมหัวใจยอมรับในความพลัดพราก
ไม่มีเธอแล้วมันเงียบมันเหงาเหลือเกิน รู้หม้าย
คนทางนี้ยังคงเฝ้ารอ ฝากฝนฝากฟ้าได้หม้าย
ฝากไปบอกคนไกล ไม่ว่าเราจะห่างเท่าไร
ขอให้เราเหมือนเดิม

ทุกครั้งที่เห็น
ภาพถ่ายเก่าๆ ที่เราถ่ายคู่กัน
ใจยังหายเมื่อต้องไกลห่าง

ฝากดูแลตัวเองให้ดีๆ
คนทางนี้จะดูอยู่ห่างๆ
คิดถึงกันบ้างเมื่อเดียวดาย

รักเท่าไรก็ได้เท่านั้น ถึงเวลาต้องเดินจากกัน
อีกแสนนานเนิ่นนานเท่าไร ที่เราได้พบกัน

ไม่ทันเตรียมหัวใจยอมรับในความพลัดพราก
ไม่มีเธอแล้วมันเงียบมันเหงาเหลือเกิน รู้หม้าย
คนทางนี้ยังคงเฝ้ารอ ฝากฝนฝากฟ้าได้หม้าย
ฝากไปบอกคนไกล ไม่ว่าเราจะห่างเท่าไร
ขอให้เราเหมือนเดิม

รักเท่าไรก็ได้เท่านั้น ถึงเวลาต้องเดินจากกัน
อีกแสนนานเนิ่นนานเท่าไร ที่เราได้พบกัน

ไม่ทันเตรียมหัวใจยอมรับในความพลัดพราก
ไม่มีเธอแล้วมันเงียบมันเหงาเหลือเกิน รู้หม้าย
คนทางนี้ยังคงเฝ้ารอ ฝากฝนฝากฟ้าได้หม้าย
ฝากไปบอกคนไกล ไม่ว่าเราจะห่างเท่าไร
ขอให้เราเหมือนเดิม

ฝากไปบอกคนไกล ไม่ว่าเราจะห่างเท่าไร
ขอให้เรานึกถึงกัน",palo
