song_name,href,lyric,artist
ใจหาย,/music/thailyric/9458,"เมื่อฉันยังเป็นคนเก่าแต่เธอต้องการคนใหม่
ถูกบังคับให้ยอมโดยไม่เต็มใจต้องจบกันไป
แต่คงไม่ง่ายอย่างนั้นให้ฉันทำใจได้ทัน
จะให้คุยเป็นแค่คนรู้จักก็ไม่รู้จะพูดอะไร

มันยังไม่ได้มันยังไม่ง่าย มันยังไม่ใช่เวลา
ทำใจไม่ได้มันก็ไม่ง่าย จะให้ไปคุยอย่างนั้น
จะให้ฉันน่ะเห็นเธอเป็นคนอื่นยังไม่พร้อม

ใจมันหายทุกครั้งที่เธอโทรมา
อยากจะขอให้ใครมารับแทนที
บอกว่าฉันไม่ว่างคุย บอกว่าฉันไม่ว่างพอ
บอกให้รู้ว่าไม่ต้องโทรมาอีก

ใจมันหายทุกครั้งที่เป็นเบอร์เธอ
คงไม่มีอะไรต้องคุย ลบเบอร์ไปเลย
ให้เหมือนที่เธอลบฉันไปจากหัวใจ

อยากขอเวลานานหน่อย ปล่อยให้ฉันลืมเธอสักพัก
ไม่ต้องพบเห็นหน้า ไม่ต้องรู้จักก็อาจจะดี
มันคงจะยากกับฉัน แต่สักวันคงลืมได้เอง
เรื่องแบบนี้ฉันนั้นทำไม่เก่ง ยังไม่รู้จะเริ่มยังไง

มันยังไม่ได้มันยังไม่ง่าย มันยังไม่ใช่เวลา
ทำใจไม่ได้มันก็ไม่ง่าย จะให้ไปคุยอย่างนั้น
จะให้ฉันน่ะเห็นเธอเป็นคนอื่นยังไม่พร้อม

ใจมันหายทุกครั้งที่เธอโทรมา
อยากจะขอให้ใครมารับแทนที
บอกว่าฉันไม่ว่างคุย บอกว่าฉันไม่ว่างพอ
บอกให้รู้ว่าไม่ต้องโทรมาอีก

ใจมันหายทุกครั้งที่เป็นเบอร์เธอ
คงไม่มีอะไรต้องคุย ลบเบอร์ไปเลย
ให้เหมือนที่เธอลบฉันไปจากหัวใจ

ใจมันหายทุกครั้งที่เธอโทรมา
อยากจะขอให้ใครมารับแทนที
บอกว่าฉันไม่ว่างคุย บอกว่าฉันไม่ว่างพอ
บอกให้รู้ว่าไม่ต้องโทรมาอีก

ใจมันหายทุกครั้งที่เป็นเบอร์เธอ
คงไม่มีอะไรต้องคุย ลบเบอร์ไปเลย
ให้เหมือนที่เธอลบฉันไปจากหัวใจ",pancake
กู๊ดไนต์ (Goodnight),/music/thailyric/4304,"ถ้าเธอยังนอนไม่หลับ
(ขยับกระสับกระส่ายกระวนกระวาย เธอไม่สบายใจ)
จับมือบอกลาเธอให้ฝันดี
(ไม่มีนิทานไม่มีกวี ไม่มีดนตรีใดๆ)
ให้เธอหลับไปเหมือนเด็ก
(แค่เรื่องร้อน เรื่องเล็ก เธออย่าไปใส่ใจ)
ปิดไฟให้เธอมันหมดทุกดวง
(ถ้าเธอง่วงเป็นช่วงๆ อย่าให้เวลามันเลยล่วง)

ปิดเสียงเพลงนี้ก่อนจะเข้านอน
โลกเรามันคงไม่ร้อน ถ้าเธอกำลังจะนอน
สวิตซ์จะคอยปิดมันให้เธอ
กล่อมเธอให้เธอนอนฝันดี
หลับตาลงในค่ำคืนนี้ Good night

โลกเราไม่เป็นเหมือนก่อน
(พอราตรีจะนอนทีก็ร้อนทีต้องจรลี)
กลางคืนมันร้อนเธอก็รู้ดี
(จะนอนทีก็ไม่มีใครคอยมาพัดวี)
ปิดไฟให้เธอสักหน่อย
(เรามาค่อยๆ ค่อยๆ หลับตากันนะBaby)
โลกเราที่ร้อนมันคงจะเริ่มดี
(ก็อยากจะลองกล่อมเธอนอนดูสักที)

ปิดเสียงเพลงนี้ก่อนจะเข้านอน
โลกเรามันคงไม่ร้อนถ้าเธอกำลังจะนอน
สวิตซ์จะคอยปิดมันให้เธอ
กล่อมเธอให้เธอนอนฝันดี
หลับตาลงในค่ำคืนนี้ Good night

(Rap)หาย หาย หาย หายไปไหน
อากาศที่เย็นสบายโลกกำลังแย่ต้องหาวิธีที่จะแก้ไข
เธอก็แก้ ฉันก็แก้ แก้กันคนละมือ ละไม้
ที่แน่ๆแก้ไปก็ปิดแอร์ ปิดไฟ
เปิดประตู ให้มีรูคอยระบาย
เปิดประตูใครอยากจะดูก็ดูไป
เธอไม่ต้องอาย เธอไม่ต้องอาย
ปิดสวิตซ์ไฟ ไม่ต้องใส่กลอนแล้วเราไปนอนกันไป

ปิดเสียงเพลงนี้ก่อนจะเข้านอน
โลกเรามันคงไม่ร้อนถ้าเธอกำลังจะนอน
สวิตซ์จะคอยปิดมันให้เธอ
กล่อมเธอให้เธอนอนฝันดี
หลับตาลงในค่ำคืนนี้ Good night

ร้อนชิบหาย",pancake
เจ็บแต่ยังหายใจ,/music/thailyric/4315,"กับสิ่งที่เธอไม่บอก กับสิ่งที่ฉันนั้นคอยถาม
กับความสัมพันธ์ของเราที่เหมือนไม่ไปไหน
จะหยุดที่ตรงรักกัน จะจบที่ตรงไม่เหลือใคร
คำเดียวที่ฉันได้ คือคำว่าเรา ค่อยๆ ดูๆ กันไป

อย่างกับหนังสือที่มองไม่เห็นตัวอักษร
เปิดดูละครก็มองไม่เห็นภาพที่ฉายมา
เปิดเพลงฟังไม่มีคำร้อง ไม่มีทำนองที่ก้องมา
คล้ายๆ เหมือนๆ กับใจของเธอ

มันเจ็บแต่ยังหายใจ
ยังต้องใช่ชีวิตอยู่คู่กับรักเธอ
ที่เหมือนความว่างเปล่าที่ต้องพบเจอ
ที่เธอเองไม่เคยชี้ทางให้ฉันเลย

จะเจ็บแต่ยังหายใจ
สำหรับฉันถึงต้องรอสักแค่ไหน
ตลอดชีวิตของฉันพอไหม
หรือไม่มีค่าพอ ให้รอเพื่อรักเธอ

เธออาจพบคนมากมาย
ก็เลยไม่คิดจะเลือกใคร
หนึ่งคนที่เธอมั่นใจ จะพูดคำว่ารัก
จะอยู่ที่เดิมที่เก่า ถ้าเธอยังไม่ตัดสินใจ
จะรอเธอเรื่อยไป
สักวันที่ฉันจะได้พบคำตอบ

อย่างกับหนังสือที่มองไม่เห็นตัวอักษร
เปิดดูละครก็มองไม่เห็นภาพที่ฉายมา
เปิดเพลงฟังไม่มีคำร้อง ไม่มีทำนองที่ก้องมา
คล้ายๆ เหมือนๆ กับใจของเธอ

มันเจ็บแต่ยังหายใจ
ยังต้องใช่ชีวิตอยู่คู่กับรักเธอ
ที่เหมือนความว่างเปล่าที่ต้องพบเจอ
ที่เธอเองไม่เคยชี้ทางให้ฉันเลย

จะเจ็บแต่ยังหายใจ
สำหรับฉันถึงต้องรอสักแค่ไหน
ตลอดชีวิตของฉันพอไหม
หรือไม่มีค่าพอ ให้รอเพื่อรักเธอ

มันเจ็บแต่ยังหายใจ
ยังต้องใช่ชีวิตอยู่คู่กับรักเธอ
ที่เหมือนความว่างเปล่าที่ต้องพบเจอ
ที่เธอเองไม่เคยชี้ทางให้ฉันเลย

จะเจ็บแต่ยังหายใจ
สำหรับฉันถึงต้องรอสักแค่ไหน
ตลอดชีวิตของฉันพอไหม
หรือไม่มีค่าพอ ให้รอเพื่อรักเธอ

ตลอดชีวิต ของฉันพอไหม
ที่ฉันยังจะรอ ให้เธอนั้นรักกัน",pancake
ตั้งแต่ต้นจนเจ็บ,/music/thailyric/4317,"เห็นเธอกับเขาจูงมือกันอยู่
ต้องรีบหันไปมองทางอื่น
ไม่อยากรื้อฟื้นความทรงจำ
ในวันที่ฉันเคยมีเธออยู่
ไม่เคยรู้ ว่าเธอความสำคัญ
ทุกครั้งที่เธอห่วงกัน
กลับมองเธอว่าคอยวุ่นวาย

เคยอธิษฐาน วอนขอให้เธอกลับมา
อยากโทรไปหา เธอคงไม่อยากรับสาย
ส่งเพียงข้อความหนึ่งคำ ว่าคิดถึงเธอมากมาย
รู้ดีเธอมีคนใหม่ ฉันควรรีบเดินออกไปให้พ้นทาง

ตั้งแต่ต้นจนมันเจ็บ ยังเก็บเอาไว้คือคำว่ารักเธอ
ต่อให้ฉันต้องทนเดียวดายยังไง กลับไปจะจมน้ำตา
ตั้งแต่ต้นจนมันเจ็บ กลบกลื่นด้วยยิ้มที่ไม่มีปัญหา
ฉันรู้ตัวดีมันเกินเยียวยา จะรักษาอาการที่มันรักเธอ

จากความผิดฉันที่มีวันเก่า ต้องชดใช้เธอด้วยความเศร้า
ต้องอยู่รับรู้ถึงความเหงา ไม่มีอีกแล้ว
เธอที่คอยห่วง คงจะสายเกินจะเสียดาย
แค่คิดใจมันก็หาย หมดทางทำให้เป็นเหมือนเดิม

เคยอธิษฐาน วอนขอให้เธอกลับมา
อยากโทรไปหา เธอคงไม่อยากรับสาย
ส่งเพียงข้อความหนึ่งคำ ว่าคิดถึงเธอมากมาย
รู้ดีเธอมีคนใหม่ ฉันควรรีบเดินออกไปให้พ้นทาง

ตั้งแต่ต้นจนมันเจ็บ ยังเก็บเอาไว้คือคำว่ารักเธอ
ต่อให้ฉันต้องทนเดียวดายยังไง กลับไปจะจมน้ำตา
ตั้งแต่ต้นจนมันเจ็บ กลบกลื่นด้วยยิ้มที่ไม่มีปัญหา
ฉันรู้ตัวดีมันเกินเยียวยา จะรักษาอาการที่ฉันมี

เธอคนเดียวที่อยู่ในใจ ยังไม่อาจจะลบเลือนไป
ยังคงมีแต่เธอ เท่านั้น

ตั้งแต่ต้นจนมันเจ็บ ยังเก็บเอาไว้คือคำว่ารักเธอ
ต่อให้ฉันต้องทนเดียวดายยังไง กลับไปจะจมน้ำตา
ตั้งแต่ต้นจนมันเจ็บ กลบกลื่นด้วยยิ้มที่ไม่มีปัญหา
ฉันรู้ตัวดีมันเกินเยียวยา จะรักษาอาการที่มันรักเธอ",pancake
นางร้าย,/music/thailyric/4319,"คงเป็นเพราะเธอนั้นกลัวความรักจะทำให้ช้ำ
มีใครเค้าทำให้เธอต้องทนเจ็บช้ำมาก่อน
จนมันทำให้เธอเป็นคนไม่เคยแคร์ใคร
จนดูว่าเธอเป็นไม่เคยจริงใจ
เธอรักง่ายก็หน่ายเร็วเขามองเธอเป็น

นางร้าย ที่ใครมองว่าร้าย
แต่ฉันมองไม่เหมือนดั่งใครๆ
รักเคยสดใสกลับร้าย จะกุมมือเธอไว้
ถึงใครว่าเธอร้ายสักเท่าไรแต่ฉันก็ยังคงรักเธอ
นางฟ้าของฉัน

เธอไม่ต้องกลัว ต้องแคร์กังวลอะไรทั้งนั้น
ความรักของเธอนั้นเคยจริงใจ อ่อนโยนมาก่อน
มีใครบางคนที่ปฎิเสธมันไป
จนเป็นกำแพงที่ยังคงอยู่ในใจ
รักเธอที่เปลี่ยนไป รักใครไม่จริง

นางร้าย ที่ใครมองว่าร้าย
แต่ฉันมองไม่เหมือนดั่งใครๆ
รักเคยสดใสกลับร้าย จะกุมมือเธอไว้
ถึงใครว่าเธอร้ายสักเท่าไรแต่ฉันก็ยังคงรักเธอ
นางฟ้าของฉัน

(Rap)
แค่ความผิดพลาด เธอคงไม่เคยคิดคาด
กลั่นกรอง กลับกลาย
เกรี้ยวกราด เป็นนางร้ายอาละวาด
ฟาดฟันผู้ชายเกลื่อนกลาด
จะตัดบทมันก็หมดความสามารถ
แค่ความผิดพลาดจริงๆ ฉันเข้าใจ
ผู้ชายดีๆ นั้นอาจจะมีแต่ในนิยาย
แต่ผู้ชายจริงจัง และจริงใจก็จะคอยอยู่ตรงนี้
ขอเพียงแค่เธอลองเปิดใจ
ให้เข้าไป เข้าใจ เข้าไปข้างๆ กาย
เวลาที่เธอไม่มีใคร เวลาต้องการคนปลอบใจ
ก็ลองมองมาที่ฉันรับประกันว่า
ไม่มีวันจะทำให้เธอนั้นเสียใจ

นางร้าย ที่ใครมองว่าร้าย
แต่ฉันมองไม่เหมือนดั่งใครๆ
รักเคยสดใสกลับร้าย จะกุมมือเธอไว้
ถึงใครว่าเธอร้ายสักเท่าไรแต่ฉันก็ยังคงรักเธอ
นางฟ้าของฉัน นางฟ้าของฉัน",pancake
เริ่มต้นด้วยรัก,/music/thailyric/4323,"คนที่ห่วงใยกัน จากวันนี้เธอคงไม่เป็นเหมือนเดิม
ก็พอรู้ที่เธอบอกฉันด้วยแววตา
จากคนที่เคยจูงมือ ต่อจากนี้เธอคงไม่คืนย้อนมา
เมื่อเธอเปลี่ยนใจไปแล้ว

เธอมองฉันเหมือนๆ อากาศ ที่ไม่มีตัวตนอะไรสักอย่าง
มีแต่ความเลือนลาง ที่เคยรักกันมาดีๆ
ใจของฉันเหมือนๆ แค่ฝุ่น แหลกสลายจนมันไม่มีชิ้นดี
เส้นทางของเราจากนี้ หมดลงตรงคำร่ำลา

เริ่มต้นด้วยรัก จบลงด้วยรอยน้ำตา
ปิดฉากความรักที่เริ่มมา หมดเวลาแค่เพียงครึ่งทาง
รักของเราคงไม่มีวันต่อไป มีแต่ใจที่มันว่างเปล่า
ไม่คิดเตรียมใจไว้เลยสักคราว
ที่ต้องกลายมาเป็นคนเก่าของชีวิตเธอ

ความรักตลอดกาล ต่อจากนี้มันคงไม่ใช่เรื่องจริง
เมื่อเธอทิ้งให้มันเปลี่ยนเป็นแค่วันเก่า
ถ้อยคำที่บอกว่ารัก ต่อจากนี้มันคงไม่ใช่ของเรา
ใจเธอคงมีแต่เขา

เธอมองฉันเหมือนๆ อากาศ ที่ไม่มีตัวตนอะไรสักอย่าง
มีแต่ความเลือนลาง ที่เคยรักกันมาดีๆ
ใจของฉันเหมือนๆ แค่ฝุ่น แหลกสลายจนมันไม่มีชิ้นดี
เส้นทางของเราจากนี้ หมดลงตรงคำร่ำลา

เริ่มต้นด้วยรัก จบลงด้วยรอยน้ำตา
ปิดฉากความรักที่เริ่มมา หมดเวลาแค่เพียงครึ่งทาง
รักของเราคงไม่มีวันต่อไป มีแต่ใจที่มันว่างเปล่า
ไม่คิดเตรียมใจไว้เลยสักคราว
ที่ต้องกลายมาเป็นคนเก่าของชีวิตเธอ

คำว่ารักคำนั้นมันสูญสลายจากเธอมันหายไปกับตา
ไม่มีอีกแล้ว กับคำว่ารักทั้งที่

เริ่มต้นด้วยรัก จบลงด้วยรอยน้ำตา
ปิดฉากความรักที่เริ่มมา หมดเวลาแค่เพียงครึ่งทาง
รักของเราคงไม่มีวันต่อไป มีแต่ใจที่มันว่างเปล่า
ไม่คิดเตรียมใจไว้เลยสักคราว
ที่ต้องกลายมาเป็นคนเก่าของชีวิตเธอ",pancake
เศษหนึ่งส่วนเกิน,/music/thailyric/4327,"คนนี้หรือเปล่า
ที่เมื่อก่อนนั้นเธอเคยรัก
อยากให้เธอแนะนำให้ได้รู้จัก
เพราะฉันได้ยินชื่อเขามานาน

คนนี้หรือเปล่า
ที่เธอรอให้เขากลับมา
เธอมีฉันแค่เพียงเพื่อฆ่าเวลา
อย่ามัวกังวลอยู่เลย

เมื่อใจเธอก็มีแต่เขา ใจเขาก็มีแต่เธอ
ใจฉันจะมีให้เธอแล้วไง
ฉันเป็นแค่เศษที่ทิ้ง ไม่ได้ใช้
รักเธอเท่าไรแต่สุดท้ายเธอก็รักเพียงแต่เขา

รู้ดีว่า เศษหนึ่งที่เหลือก็คือส่วนเกิน
ที่ฉันไม่ควรได้ร่วมเดิน ได้ยืนเคียงข้างเธอ
รู้ดีว่าเธอยังรักเขาและรอเสมอ
เธอมีฉันเพราะความอ่อนแอ
เมื่อฉันคือคนดูแล แต่เขาคือคนที่เธอแคร์
ยังไงรักแท้ก็แพ้ตัวจริงของเธอ

เสียงของหัวใจ เธอก็คงเรียกหาแต่เขา
อยู่กับฉันเท่าไรไม่เท่าคนเก่า
ที่รักเขาเต็มหัวใจคนเดียว
เพราะฉันรักเธอ คงไม่ยอมให้เธอจากไป
สิ่งที่เธอต้องการฉันให้ไม่ได้ แต่เขาจะมีให้เธอ

เมื่อใจเธอก็มีแต่เขา ใจเขาก็มีแต่เธอ
ใจฉันจะมีให้เธอแล้วไง
ฉันเป็นแค่เศษที่ทิ้ง ไม่ได้ใช้
รักเธอเท่าไรแต่สุดท้ายเธอก็รักเพียงแต่เขา

รู้ดีว่า เศษหนึ่งที่เหลือก็คือส่วนเกิน
ที่ฉันไม่ควรได้ร่วมเดิน ได้ยืนเคียงข้างเธอ
รู้ดีว่าเธอยังรักเขาและรอเสมอ
เธอมีฉันเพราะความอ่อนแอ
เมื่อฉันคือคนดูแล แต่เขาคือคนที่เธอแคร์
ยังไงรักแท้ก็แพ้ตัวจริงของเธอ

รู้ดีว่า เศษหนึ่งที่เหลือก็คือส่วนเกิน
ที่ฉันไม่ควรได้ร่วมเดิน ได้ยืนเคียงข้างเธอ
รู้ดีว่าเธอยังรักเขาและรอเสมอ
เธอมีฉันเพราะความอ่อนแอ
เมื่อฉันคือคนดูแล แต่เขาคือคนที่เธอแคร์
ยังไงรักแท้ก็แพ้ตัวจริงของเธอ

ยังไงรักแท้ก็เป็นเพียงแค่ส่วนเกิน",pancake
สักวันเราจะเป็นเพื่อนกันได้,/music/thailyric/4328,"ความเป็นจริงมันจบแล้ว แต่เธอแค่ยื้อมัน
ความเป็นจริงที่ตัวฉัน
รู้ว่าต้องเจอสักวัน ฉันเข้าใจเธอดี

เธอเลือกคนที่เธอรัก แต่แค่สงสารกัน
เธอไม่ควรทำอย่างนั้น
เพราะฉันจะทำใจไม่ได้ ขอให้เธอพอที

ในชีวิตฉัน ไม่เคยรักใครได้ขนาดนี้
และชีวิตนี้ อาจมีแค่เธอคนเดียวเท่านั้น
แต่ยังไม่พร้อม ที่จะพูดคุยกับเธอเหมือนกัน
อย่าทำร้ายฉัน ด้วยความเห็นใจ
เพราะมันอาจทำให้ฉันนั้นไปไม่พ้นเธอ

ตัดใจ จะหันหลังเดินออกมา
ปาดน้ำตา และจะไม่หันไปมองเธอ
สุดท้าย ก็ขอให้เธอกับเขารักกันดีๆ
จากวันนี้เราคงไม่ได้เจอกัน
และสักวันเราจะเป็นเพื่อนกันได้

วันเวลาที่ผ่านพ้น อาจช่วยรักษาใจ
มันจะนานสักแค่ไหน
ที่ฉันจะลืมเธอง่ายๆ หรือไม่มีวันลืม

ในชีวิตฉัน ไม่เคยรักใครได้ขนาดนี้
และชีวิตนี้ อาจมีแค่เธอคนเดียวเท่านั้น
แต่ยังไม่พร้อม ที่จะพูดคุยกับเธอเหมือนกัน
อย่าทำร้ายฉัน ด้วยความเห็นใจ
เพราะมันอาจทำให้ฉันนั้นไปไม่พ้นเธอ

ตัดใจ จะหันหลังเดินออกมา
ปาดน้ำตา และจะไม่หันไปมองเธอ
สุดท้าย ก็ขอให้เธอกับเขารักกันดีๆ
จากวันนี้เราคงไม่ได้เจอกัน
และสักวันเราจะเป็นเพื่อนกันได้

ตัดใจ จะหันหลังเดินออกมา
ปาดน้ำตา และจะไม่หันไปมองเธอ
สุดท้าย ก็ขอให้เธอกับเขารักกันดีๆ
จากวันนี้เราคงไม่ได้เจอกัน
และสักวันเราจะเป็นเพื่อนกันได้",pancake
เกลียดเพลงรัก,/music/thailyric/4305,"นั่งฟังบทเพลง อยู่กับเพลงรักที่เธอเคยให้กัน
ที่เมื่อก่อนตัวฉันไม่เคยอยากฟัง
(ก็เบื่อหน่ายไม่ชอบ มันซังกะตาย)
เพลงที่เธอตั้งใจต้องการจะสื่อความหมายในใจให้ฉัน
เพลงรักที่จริงใจ วันนี้มาลองฟังวันที่ไม่มีเธอ

เพียงดนตรีบรรเลงขึ้นมา อยู่น้ำตาก็ไหล
ได้ฟังใจความก็เลยเข้าใจ เธอรักฉันมากจัง
เกลียดตัวเองที่เพิ่งคิดได้ อยากจะย้อนความหลัง

เธอคือคนที่คอยเดินจับมือ
(ฉันมันคือคนที่คอยเอาแต่ผลักไส)
เธอคือคนที่รักและจริงใจ
(ฉันมันคือคนที่ไม่เคยคิดและไม่ค่อยดูแล)
บทเพลงรักที่เธอให้กลับคืนมาได้ไหม
เกลียดเพลงรักก็เปลี่ยนไป ฟังเมื่อไรก็คิดถึงเธอ

เพลงเดียวเท่านั้นที่บ่งบอกความในใจได้มากมาย
แต่ทำไมตัวฉันไม่เคยใส่ใจ
(ก็เบื่อหน่ายไม่ชอบ มันซังกะตาย)
ทำให้เธอเสียใจ กว่าจะรู้ก็สายในวันที่เสียไป
เพลงรักที่จริงใจมันซึ้งกว่าเพลงใด วันที่ไม่มีเธอ

เพียงดนตรีบรรเลงขึ้นมา อยู่น้ำตาก็ไหล
ได้ฟังใจความก็เลยเข้าใจ เธอรักฉันมากจัง
เกลียดตัวเองที่เพิ่งคิดได้ อยากจะย้อนความหลัง

เธอคือคนที่คอยเดินจับมือ
(ฉันมันคือคนที่คอยเอาแต่ผลักไส)
เธอคือคนที่รักและจริงใจ
(ฉันมันคือคนที่ไม่เคยคิดและไม่ค่อยดูแล)
บทเพลงรักที่เธอให้กลับคืนมาได้ไหม
เกลียดเพลงรักก็เปลี่ยนไป ฟังเมื่อไรก็คิดถึงเธอ

(เพลงรัก ทำไมมันซาบมันซึ้งกว่าเพลงใด
ยิ่งฟังใจความบทเพลง คำร้อง ทำนอง
ที่เธอให้ ที่บอกว่ารักมากมาย
ฉันมันคือคืนที่มองข้ามไป
ที่เธอต้องการจะสื่อความหมาย
ไม่เคยแคร์ ไม่เคยดูแล ไม่เคยเข้าใจจนวันนี้)

เพียงดนตรีบรรเลงขึ้นมา อยู่น้ำตาก็ไหล
เกลียดตัวเองที่เพิ่งคิดได้ อยากจะย้อนความหลัง

เธอคือคนที่คอยเดินจับมือ
(ฉันมันคือคนที่คอยเอาแต่ผลักไส)
เธอคือคนที่รักและจริงใจ
(ฉันมันคือคนที่ไม่เคยคิดและไม่ค่อยดูแล)
บทเพลงรักที่เธอให้กลับคืนมาได้ไหม
เกลียดเพลงรักก็เปลี่ยนไป ฟังเมื่อไรก็คิดถึงเธอ",pancake
แทนความว่างเปล่า,/music/thailyric/4318,"เมื่อวันที่ฝนตก หัวใจก็หนาวสั่น
เดินตากฝนให้มันเปียกปอน ก็ยังร้อนในใจ
อยู่อย่างคนครึ่งๆ กลางๆ ไม่มีใครมายืนข้างกาย
อยู่กับแหงาที่เป็นดังเงาตามตัว

แล้ววันที่ฝนซ่า ฉันมาได้พบเธอ
ช่วยมาเติมครึ่งหนึ่งให้เต็ม ที่ตามหามานาน
เปลี่ยนชีวิตที่เหงาเกินไป ให้มันพอจะมีหนทาง
ได้เรียนรู้การได้รักใครสักคน

เมื่อเธอเข้ามาแทนความว่างเปล่า
ทุกอย่างที่เคยเป็นภาพที่ดูสีเทา
ในวันนี้มันแปรเปลี่ยนไป คำว่ารักแทนคำว่าเหงา
หยิบเรื่องราวเก่าๆ ทิ้งไป วันพรุ่งนี้จะเป็นอย่างไร
แค่วันนี้มีเธอข้างกายพอแล้ว

ขอเพียงแค่มีเธอ ที่เคียงข้างฉันไป
ให้ลมฝนพัดแรงแค่ไหน รักจะช่วยประคอง
หนึ่งคนนี้ที่พร้อมดูแล คอยช่วยแคร์เมื่อยามเศร้าหมอง
ให้ความรักมันเป็นดังเงาตามตัว

เมื่อเธอเข้ามาแทนความว่างเปล่า
ทุกอย่างที่เคยเป็นภาพที่ดูสีเทา
ในวันนี้มันแปรเปลี่ยนไป คำว่ารักแทนคำว่าเหงา
หยิบเรื่องราวเก่าๆ ทิ้งไป วันพรุ่งนี้จะเป็นอย่างไร
แค่วันนี้มีเธอข้างกายพอแล้ว

หัวใจที่เคยว่างเปล่า หัวใจที่เจ็บเคยเหน็บหนาว
วันนี้มันถูกลบเลือนออกไป
เมื่อฉันมีเธอนั้นมาแทนที่ความว่างเปล่า
ในคืนที่หนาวในคืนที่เหงาฉันมีเธอ

เมื่อเธอเข้ามาแทนความว่างเปล่า
ทุกอย่างที่เคยเป็นภาพที่ดูสีเทา
ในวันนี้มันแปรเปลี่ยนไป คำว่ารักแทนคำว่าเหงา
หยิบเรื่องราวเก่าๆ ทิ้งไป วันพรุ่งนี้จะเป็นอย่างไร
แค่วันนี้มีเธอข้างกายพอแล้ว

วันพรุ่งนี้จะเป็นอย่างไร แค่วันนี้มีเธอข้างกายพอแล้ว",pancake
