song_name,href,lyric,artist
เข็นครกข้ามภูเขา,/music/thailyric/9785,"(ฟักกลิ้งฮีโร่) กาลครั้งหนึ่ง มีนกกระจาบอยู่ฝูงหนึ่ง
มันไปติดตาข่ายนายพราน แล้วพวกมันก็พากันอึน
ต่างตัวต่างกระพือปีก ตาข่ายยิ่งรัดตึง
นายพรานเขาเลยยิ้ม เพราะนกคงขายได้หลายตำลึงทอง
เหตุเกิดจากนกไม่ปรองดอง
จะนับประสาอะไร ในเมื่อสองเราไม่รอมชอม
อุปสรรคตรงหน้า คือครกหนักหลายพันปอนด์
ผลักมันคนเดียว มันคงไม่หมุนไม่หัน
ผลักขึ้นทางชัน มันยิ่งไม่สั่นไม่คลอน

เช่นเดียวกับนก ที่ยกตาข่ายนายพรานลำพังไม่ได้
คนเดียวจะให้เข็นครก ไปข้ามบรรพตฉันคงทำมันไม่ได้
เธอเองมีแค่สองมือ ความจริงก็คือใช้แรงคนเดียวไม่ได้
คนเดียวหัวหายคงทำไม่ได้ ต่างคนต่างอยู่คงทำไม่ได้

(ป้าง) เข็นครกขึ้นภูเขาเราทำคนเดียวไม่ได้
เรื่องมันคงไม่ง่ายถ้ายังทะเลาะกัน
อยากให้ครกมันเขยื้อนต้องมีเพื่อนดัน
เข็นครกข้ามภูเขาด้วยกันน่าจะดี

เข็นครกขึ้นภูเขาเราทำคนเดียวไม่ได้
เรื่องมันคงไม่ง่ายถ้ายังทะเลาะกัน
อยากให้ครกมันเขยื้อนต้องมีเพื่อนดัน
เข็นครกข้ามภูเขาด้วยกันน่าจะดี

(ฟักกลิ้งฮีโร่) กาลครั้งหนึ่ง พระเจ้าอชาติศัตรูคิดยึดแคว้นวัชชี
แต่ยึดไม่สำเร็จเพราะเมืองนี้เขาสามัคคี
วัสสการพราหมณ์ จึงเข้าไปยุให้ทะเลาะกัน
เมื่อความกลมเกลียวถูกกัดเซาะพลัน เมืองก็โดนยึดในสามปี
ภรรยาทะเลาะสามี พ่อทะเลาะกับแม่
แล้วบ้านจะอยู่อย่างไร ถ้ามีหอกปักอยู่ข้างแคร่
ถ้ารักของฉันและเธอ มันคือครกหนักหลายพันปอนด์
จะให้เข็นข้ามสิงขร ตอนทะเลาะกันตัวฉันว่ามันคงแย่

เช่นเดียวกับแคว้นวัชชี ไม่สามัคคีคงอยู่ไม่ได้
เมื่อภรรยาสามี ถ้ายังราวีคงข้ามคีรีไม่ได้
เมื่อรักคือครกที่เข็น เธอคงจะเห็นว่ามันเป็นไปไม่ได้
ทะเลาะเบาะแว้งคงทำไม่ได้ เราไม่รักกันคงทำไม่ได้

(ป้าง) เข็นครกขึ้นภูเขาเราทำคนเดียวไม่ได้
เรื่องมันคงไม่ง่ายถ้ายังทะเลาะกัน
อยากให้ครกมันเขยื้อนต้องมีเพื่อนดัน
เข็นครกข้ามภูเขาด้วยกันน่าจะดี

เข็นครกขึ้นภูเขาเราทำคนเดียวไม่ได้
เรื่องมันคงไม่ง่ายถ้ายังทะเลาะกัน
อยากให้ครกมันเขยื้อนต้องมีเพื่อนดัน
เข็นครกข้ามภูเขาด้วยกันน่าจะดี

(ฟักกลิ้งฮีโร่) เข็นครกมันคงไม่ง่าย สันติภาพจงบังเกิด
เข็นครกมันคงไม่ง่าย สันติภาพจงบังเกิด
เข็นครกมันคงไม่ง่าย สันติภาพจงบังเกิด
ถ้าช่วยกันก็ทำได้

(ป้าง) เข็นครกขึ้นภูเขาเราทำคนเดียวไม่ได้
เรื่องมันคงไม่ง่ายถ้ายังทะเลาะกัน
อยากให้ครกมันเขยื้อนต้องมีเพื่อนดัน
เข็นครกข้ามภูเขาด้วยกันน่าจะดี

เข็นครกขึ้นภูเขาเราทำคนเดียวไม่ได้
เรื่องมันคงไม่ง่ายถ้ายังทะเลาะกัน
อยากให้ครกมันเขยื้อนต้องมีเพื่อนดัน
เข็นครกข้ามภูเขาด้วยกันน่าจะดี",pang_nakarin
เคาท์ดาวน์ ทู ซีโร (Countdown to Zero),/music/thailyric/9784,"ห้า..สี่สาม นับถอยหลังด้วยความสุขใจ
รอวันนี้ มีความหวัง แม้นานแค่ไหน
สอง..หนึ่ง แล้วก็ถึงตัวเลขสุดท้าย

พอถึงเลขศูนย์ตรงนี้
กลายเป็นความเหน็บหนาวทันที ที่ตรงนี้ไม่มีใคร
มาถึงเส้นชัยแต่แพ้พ่าย
การรอคอยที่แสนยาวไกล หมดความหมาย
ที่รู้ตัวว่าสูญเปล่า สูญไป
เลขศูนย์ สูญเสียใจ เสียไป สูญเปล่า

ห้า..สี่สาม สอง..หนึ่ง
พอถึงศูนย์..เพิ่งเข้าใจ คือสูญเปล่า

เหมือนคล้ายคล้ายลอยคอกลางน้ำ
ต้องเดียวดายแหวกว่ายในความว่างเปล่า
เคว้งคว้างในความเหน็บหนาว
ฝันมานานความหวังที่เก็บไว้
เลือนลางจางหายไปกับตา เพิ่งรู้ว่าไม่มีอะไรอยู่เลย

พอถึงเลขศูนย์ตรงนี้
กลายเป็นความเหน็บหนาวทันที ที่ตรงนี้ไม่มีใคร
มาถึงเส้นชัยแต่แพ้พ่าย
การรอคอยที่แสนยาวไกล หมดความหมาย
ที่รู้ตัวว่าสูญเปล่า สูญไป
เลขศูนย์...สูญเสียใจ เสียไป สูญเปล่า",pang_nakarin
แค่ล้อเล่น,/music/thailyric/9597,"เธอโดนเขาทิ้งไป ใจสลายครั้งใด
เธอก็มาหาฉันทุกที
มาระบายให้ฉันฟัง มาร้องไห้อยู่หลายครา

หรือว่าเธอมีใจกับฉันหรือไร
จึงมาคอยให้ซับน้ำตา
คำว่าเพื่อนที่แสนดีเธอให้มา
ทำฉันคิดมากไปกว่าเป็นเพื่อนกัน

แล้วก็ถึงวันที่ฉันพูดไป
ว่ารู้ไหมที่ฉันแอบรัก รักเธอนานแล้ว
หลังจากนั้นเธอก็หายหน้าไป
ฉันเสียเธอไปแล้วใช่ไหม ไม่น่าเลย

ขอนะเธอ ฟังฉันที
เอาอย่างนี้ได้ไหม อยากให้เธอคิดทำใจ
ว่ามันแค่เป็นเพียง...เรื่องล้อเล่น
อย่าโกรธหนา...แค่ล้อเล่น ลืมมันเสีย...ฉันล้อเล่น

ถ้าอยากให้ฉันสัญญาก็จะขอสาบาน
ต่อไปนี้จะไม่พูดเพ้อเจ้อ
จะเป็นแค่เพื่อนที่แสนดีอยู่ข้างเธอ
อย่าหายไปเลยมาเจอกันเหมือนเดิม

แล้วก็ถึงวันที่ฉันพูดไป
ว่ารู้ไหมที่ฉันแอบรัก รักเธอนานแล้ว
หลังจากนั้นเธอก็หายหน้าไป
ฉันเสียเธอไปแล้วใช่ไหม...ไม่น่าเลย

ขอนะเธอ ฟังฉันที
เอาอย่างนี้ได้ไหม อยากให้เธอคิดทำใจ
ว่ามันแค่เป็นเพียง...เรื่องล้อเล่น
อย่าโกรธหนา...แค่ล้อเล่น ลืมมันเสีย...ฉันล้อเล่น

อย่าโกรธกันเลยได้ไหมเธอคนดี
ขอมีเธอเหมือนเดิมในวันวาน
กลับมาเจออย่าหายไปนานนาน
ขอมีกันและกันดังวันเดิม

อย่าโกรธกันเลยได้ไหมเธอคนดี
ขอมีเธอเหมือนเดิมในวันวาน
กลับมาเจออย่าหายไปนานนาน
ขอมีกันและกันดังวันเดิม

ฉันล้อเล่น",pang_nakarin
ที่เหลือคือรักแท้,/music/thailyric/9602,"คล้ายคล้ายว่านานนานไป ดูเหมือนเราคงจะจืดจาง
ไม่พูดไม่คุยกันเหมือนก่อน
ทุกครั้งที่เราเจอกัน ไม่เหลือคำพูดที่ออดอ้อน
มันต่างจากเราตอนแรกแรก

ไม่หึงไม่หวง ไม่เดินควงแขนเหมือนวันเก่า
เงียบเงียบเมื่อนั่งกินข้าวกันสองคน
ไม่หวานไม่แหวว ดูดูไปแล้วเหมือนจำทน
ทั้งที่เมื่อก่อนโน้นเคยหวานมาก

แต่ใครจะรู้ไหม ที่เหลือคือความรักที่จริงแท้
รักไม่ผันแปรและถาวร
หมดความหลงใหล เหลือไว้เพียงความมั่นคงแน่นอน
รักแท้มันซ่อนอยู่ข้างใน...เย้เฮ (รักแท้มันซ่อนอยู่ข้างใน)

ไม่คิดถึงกันเลย เป็นเพราะรู้ว่าเรายังอยู่เคียง
ยังไงยังไงก็ไม่ห่าง
แค่เห็นสายตากันเอง ก็รู้ใจโดยไม่ต้องฟัง
อบอุ่นติดใจอยู่ข้างกัน

ไม่หึงไม่หวง ไม่เดินควงแขนเหมือนวันเก่า
เงียบเงียบเมื่อนั่งกินข้าวกันสองคน
ไม่หวานไม่แหวว ดูดูไปแล้วเหมือนจำทน
ทั้งที่เมื่อก่อนโน้นเคยหวานมาก

แต่ใครจะรู้ไหม ที่เหลือคือความรักที่จริงแท้
รักไม่ผันแปรและถาวร
หมดความหลงใหล เหลือไว้เพียงความมั่นคงแน่นอน
รักแท้มันซ่อนอยู่ข้างใน...เย้เฮ (รักแท้มันซ่อนอยู่ข้างใน)

อยู่กันมานานแล้ว หมดไปแล้วที่เคยลุ่มหลงจนลนลาน
ก่อเกิดความสัมพันธ์แน่นแฟ้นมาแทนกัน
เราจะไม่หายไป เราจะไม่ทิ้งกัน
เรามีกันทุกวัน และนั้นคือรักแท้...

แต่ใครจะรู้ไหม ที่เหลือคือความรักที่จริงแท้
รักไม่ผันแปรและถาวร
หมดความหลงใหล เหลือไว้เพียงความมั่นคงแน่นอน
รักแท้มันซ่อนอยู่ข้างใน...เย้เฮ

(แต่ใครจะรู้ไหม ที่เหลือคือความรักที่จริงแท้
รักไม่ผันแปรและถาวร
หมดความหลงใหล เหลือไว้เพียงความมั่นคงแน่นอน
รักแท้มันซ่อนอยู่ข้างใน)",pang_nakarin
ภูมิแพ้กรุงเทพ,/music/thailyric/9506,"โรคภูมิแพ้กำเริบจนทนไม่ได้
หมอก็ขอให้หนีจากกรุงเทพไป
พี่เลือกมาจังหวัดนี้เพราะเห็นว่าอากาศดีกว่าที่ใด

แน่ใจนะว่ามาเพื่อรักษาตัว
ผู้ชายจากกรุงเทพดูน่ากลัวทุกคน
สาวสาวในจังหวัดนี้ซื่อซื่อตามไม่ทันพี่หรอกหนา
ไม่ได้มาเพื่อลวงใครใช่ไหม...

เมืองหลวงควันและฝุ่นมากมาย
พี่สูดดมเข้าไปร่างกายก็เป็นภูมิแพ้
ผู้หญิงที่กรุงเทพก็อันตราย
เพราะพวกเธอหลายใจหัวใจพี่เองก็แพ้

ตั้งแต่มาเจอเธอเท่านั้นช่างสุขใจเหลือเกิน
ขอร้องให้เธออย่าเมินช่วยรักษาใจ
พี่จ๋าถ้าพูดจริงน้องก็คงรับได้
ถ้าไม่ได้มาหลอกน้องก็เต็มใจจะรักกัน
พี่ไม่ได้มาหลอก
รักของเราจะคงอยู่แสนนาน

ถ้าพี่หายดีแล้วอย่าทิ้งน้องไป
ถึงพี่หายจะขออยู่ยาวให้ได้
พี่รักในจังหวัดนี้รักษากายใจให้ดีทั้งสองคราว

แล้วผู้หญิงที่กรุงเทพจะว่าไง
เธอเหล่านั้นจิตใจสู้น้องไม่ได้
เขาสวยกันจังพี่จ๋า
เพราะศัลยกรรมหรอกหนาอย่าไปสนใจ
ความงามจริงจริงต้องออกจากข้างใน

เมืองหลวงควันและฝุ่นมากมาย
พี่สูดดมเข้าไปร่างกายก็เป็นภูมิแพ้
ผู้หญิงที่กรุงเทพก็อันตราย
เพราะพวกเธอหลายใจหัวใจพี่เองก็แพ้

ตั้งแต่มาเจอเธอเท่านั้นช่างสุขใจเหลือเกิน
ขอร้องให้เธออย่าเมินช่วยรักษาใจ
พี่จ๋าถ้าพูดจริงน้องก็คงรับได้
ถ้าไม่ได้มาหลอกน้องก็เต็มใจจะรักกัน
พี่ไม่ได้มาหลอก
รักของเราจะคงอยู่แสนนาน

เมืองหลวงควันและฝุ่นมากมาย
พี่สูดดมเข้าไปร่างกายก็เป็นภูมิแพ้
ผู้หญิงที่กรุงเทพก็อันตราย
เพราะพวกเธอหลายใจหัวใจพี่เองก็แพ้

ตั้งแต่มาเจอเธอเท่านั้นช่างสุขใจเหลือเกิน
ขอร้องให้เธออย่าเมินช่วยรักษาใจ
พี่จ๋าถ้าพูดจริงน้องก็คงรับได้
ถ้าไม่ได้มาหลอกน้องก็เต็มใจจะรักกัน
พี่ไม่ได้มาหลอก
รักของเราจะคงอยู่แสนนาน

รักของเราจะคงอยู่แสนนาน",pang_nakarin
โก๋แก่,/music/thailyric/3454,"หัวใจไม่เคยให้ใคร เก็บมานานเก็บเอาไว้รอสักวัน ให้คนที่ต้องการ หมดหัวใจ
รู้ตัวเราก็เริ่มแก่ แต่ก็ยังไม่เคยแพ้ใจสักคน เห็นมายังไม่โดน ไม่สนใคร

อยู่ๆมาก็ได้พบได้เจอ เธอคนนี้ไง
ถูกชะตาเลิกสงสัยใช่ซะที คนแบบนี้ที่เฝ้ารอ เฝ้ารอ

อายุเรามันก็มากอยู่ อาจเป็นเธอที่จะรู้ความสำคัญ ฉันรอมาตั้งนาน คนอย่างเธอ
เหตุบังเอิญไม่คิดฝันฉันเอง แอบไปได้ฟัง
สิ่งที่เธอพูดลับหลัง ให้เพื่อนฟัง คนอย่างฉันมันก็คือ ก็คือ

(โก๋...) โก๋แก่ อยากกินหญ้าอ่อน มาออดอ้อนเอาใจใช้เล่ห์กล
แก่แต่ยังหน้าทน ไม่ได้เคยเจียมตนผู้คนนินทา อย่าหวังให้เสียเวลา หน้าไม่อาย

เห็นฉันไม่มีหัวใจ แก่เกินไป ใช่จะรักใครไม่เป็น ยิ่งนานยิ่งยากเย็น โปรดเห็นใจ
เหตุบังเอิญไม่คิดฝันฉันเอง แอบไปได้ฟัง
สิ่งที่เธอพูดลับหลัง ให้เพื่อนฟัง แทบคลั่งเมื่อได้ยิน เมื่อได้ยิน

(โก๋...) โก๋แก่ อยากกินหญ้าอ่อน มาออดอ้อนเอาใจใช้เล่ห์กล
แก่แต่ยังหน้าทน ไม่ได้เคยเจียมตนผู้คนนินทา อย่าหวังให้เสียเวลา หน้าไม่อาย

(โก๋...) โก๋แก่ อยากกินหญ้าอ่อน มาออดอ้อนเอาใจใช้เล่ห์กล
แก่แต่ยังหน้าทน ไม่ได้เคยเจียมตนผู้คนนินทา อย่าหวังให้เสียเวลา หน้าไม่อาย

(โก๋...) โก๋แก่ อยากกินหญ้าอ่อน มาออดอ้อนเอาใจใช้เล่ห์กล
แก่แต่ยังหน้าทน ไม่ได้เคยเจียมตนผู้คนนินทา อย่าหวังให้เสียเวลา หน้าไม่อาย",pang_nakarin
ผู้ชายร้องไห้,/music/thailyric/3469,"เกือบจะลืมเด็กที่เคยขี้แย เด็กคนนั้นเคยแพ้ เพราะโดนรังแกได้แต่นั่งร้องไห้
ก็ผ่านไปแล้วจากเด็กกลายเป็นผู้ใหญ่ ต่อไปนี้เรื่องไหนหัวใจผู้ชายไม่ยอมเสียน้ำตา
มันก็นานอาการร้องไห้ทำอย่างไร เกือบจะจำไม่ได้ถ้าไม่เจอใครอย่างเธอ
สิ่งที่เธอทำไปให้ฉันนึกได้อีกครั้ง อีกครั้ง คราวนี้

ผู้ชายร้องไห้ น่าอายที่ฟูมฟายขนาดนั้น
ช้ำใจแค่ไหนกัน ฉันถึงเสียน้ำตามากมายอย่างนี้ (เธอคงรู้ดี เธอรู้ดี)

อย่าน่ะเธออย่ามาเวทนา ไม่ได้คิดเอาไว้ให้ใครต้องมาเมตตาฉันกว่าเก่า
ไม่เคยนึกเลยเธอจะเห็นเราเป็นแบบนี้ มันเป็นภาพที่ดูไม่ค่อยจะดีใช่ไหม
เป็นภาพผู้ชายสะอึกสะอื้นเจียนตายแบบนี้ แบบนี้ แบบนี้

ผู้ชายร้องไห้ น่าอายที่ฟูมฟายขนาดนั้น
ช้ำใจแค่ไหนกัน ฉันถึงเสียน้ำตามากมายอย่างนี้ (เธอคงรู้ดี เธอรู้ดี)

ขอให้รู้ว่าผู้ชายส่วนใหญ่ ไม่ต้องการให้ใครเห็นเขามีน้ำตา
ฉันก็เหมือนเหมือนผู้ชายทั่วไป แต่คราวนี้หมดความอดทนจะฝืน ทนไม่ไหว

ผู้ชายร้องไห้ น่าอายที่ฟูมฟายขนาดนั้น
ช้ำใจแค่ไหนกัน ฉันถึงเสียน้ำตามากมายอย่างนี้ (เธอคงรู้ดี เธอรู้ดี)

มีเธอผู้เดียว ที่รู้ดี",pang_nakarin
คนฉลาด,/music/thailyric/3456,"จากวันนั้นที่เราแยกจากกัน ฉันรู้ดีเป็นเพราะอะไร
แต่เธอนั้นยังคงเฝ้าบอกใคร ว่าตัวฉันคือคนบอกลา

น่าสงสารเหลือเกิน เธอโดนทิ้งขว้าง ใครๆได้ฟังว่าฉันช่างโหดร้าย
จะมีใครรู้ความจริง สิ่งที่เธอพูดไป ขอถามย้ำให้แน่ใจอีกที

อยากถามว่าใครทิ้งกันไปก่อนใคร อย่างน้อยเธอคงรู้ใจตัวเองดีกว่าฉัน
แม้ฉันเองที่พูดคำว่าเลิกกัน ถามว่าก่อนนั้นใครกันแปรเปลี่ยน

มันคงเหมือนที่คนฉลาดคาดไว้ เพราะใครๆก็เห็นใจเธอ
โง่อย่างฉันก็ต้องเป็นเหยื่อเสมอ ทั้งที่เธอเป็นคนเปลี่ยนใจ

น่าสงสารเหลือเกิน เธอโดนทิ้งขว้าง ใครๆได้ฟังว่าฉันช่างโหดร้าย
จะมีใครรู้ความจริง สิ่งที่เธอพูดไป ขอถามย้ำให้แน่ใจอีกที

อยากถามว่าใครทิ้งกันไปก่อนใคร อย่างน้อยเธอคงรู้ใจตัวเองดีกว่าฉัน
แม้ฉันเองที่พูดคำว่าเลิกกัน ถามว่าก่อนนั้นใครกันแปรเปลี่ยน

การกระทำของเธอที่เปลี่ยนไป ฉันรู้ทัน
ฉันรู้ว่าเธอต้องการ จะกดดัน จะบีบคั้น ให้ฉันเลิกลา

อยากถามว่าใครทิ้งกันไปก่อนใคร อย่างน้อยเธอคงรู้ใจตัวเองดีกว่าฉัน
แม้ฉันเองที่พูดคำว่าเลิกกัน ถามว่าก่อนนั้นใครกันแปรเปลี่ยน",pang_nakarin
กระดกลิ้น,/music/thailyric/3452,"เธอขอ ให้ฉันพูดอีกทีได้ไหม
ทั้งที่เพิ่งบอกรักเธอไป บอกไปแล้วตั้งกี่ที
เธอก็รู้ ฉันนั้นพูด ร.เรือไม่ชัด
กระดกลิ้นก็ไม่ค่อยถนัด มันทำให้ฉันอึดอัดใจ

วันเกิดเธอเพิ่งพูดไป วันวาเลนไทน์ก็บอกซ้ำ
แล้ววันนี้เธอก็ยังถามว่าพูดคำนั้นอีกได้ไหม

บอกกับเธอไปแล้วยังจำ ฉันเคยทำ
ที่เอ่ยคำรักครั้งแรกเลย
ช่างนานแค่ไหนในใจเหมือนดังเคย
ไม่เปลี่ยนแปลงไปเลยจากวันที่ฉันบอก
เย้...ลัลล้า... มีแต่เธออยู่เหมือนเคย
เย้...ลัลล้า... ก็เลยไม่เห็นต้องพูดบ่อยๆ

จริงๆแล้ว ที่ฉันพูด ร.เรือไม่ชัด
ต้องแกล้งทำเป็นไม่ค่อยถนัด
กลัวเธอจะเห็นว่าขัดใจ

วันเกิดเธอเพิ่งพูดไป วันวาเลนไทน์ก็บอกซ้ำ
แล้ววันนี้เธอก็ยังถามว่าพูดคำนั้นอีกได้ไหม

บอกกับเธอไปแล้วยังจำ ฉันเคยทำ
ที่เอ่ยคำรักครั้งแรกเลย
ช่างนานแค่ไหนในใจเหมือนดังเคย
ไม่เปลี่ยนแปลงไปเลยจากวันที่ฉันบอก
เย้...ลัลล้า... มีแต่เธออยู่เหมือนเคย
เย้...ลัลล้า... ก็เลยไม่เห็นต้องพูดบ่อยๆ

บอกกับเธอไปแล้วยังจำ ฉันเคยทำ
ที่เอ่ยคำรักครั้งแรกเลย
ช่างนานแค่ไหนในใจเหมือนดังเคย
ไม่เปลี่ยนแปลงไปเลยจากวันที่ฉันบอก
เย้...ลัลล้า... มีแต่เธออยู่เหมือนเคย
เย้...ลัลล้า... ก็เลยไม่เห็นต้องพูดบ่อยๆ",pang_nakarin
คนมันไม่ใช่,/music/thailyric/3457,"ฉันทุ่มเท  หมดเลยทุกอย่าง. . .
ยิ่งนานยิ่งหมดหวัง. .  จะเป็นคนของเธอ
แต่เค้าเพิ่งเข้ามา  ไม่นานที่เธอเจอ. .
ก็ดูเธอพร่ำเพ้อ  อยากเจอ. .เค้าทุกวัน

ส่วนฉันที่เอาน้ำตาตั้งมากมาย
มาแลกน้ำใจของเธอแค่นิดเดียว Oh. .Oh
เธอก็ยังทำให้ดู. .ว่ามันเป็นไปไม่ได้เลย. . .
เธอไม่เคยจะให้.

ก็เราเสียทีถึงเราทุ่มเทกว่านี้ก็ไม่มีทาง
อดทนเฝ้ารอให้เธอเห็นใจแค่ไหนก็ยิ่งเลือนลาง
จดจำไว้อย่างเรามันยังไม่ใช่อยู่แล้ว

รักและหวังดี จากคนที่ไม่ใช่.
จะมากมายแค่ไหนไม่มีค่าซักหน่อย
ก็เทียบไม่ได้เลย  กับเค้าที่เธอคอย.
เค้าทำให้เล็กน้อย  แต่เธอ. .ก็รักได้

ส่วนฉันที่เอาน้ำตาตั้งมากมาย
มาแลกน้ำใจของเธอ แค่นิดเดียว Oh. .Oh
เธอก็ยังทำให้ดูว่ามันเป็นไปไม่ได้เลย
เธอไม่เคยจะให้

ก็เราเสียทีถึงเราทุ่มเทกว่านี้ก็ไม่มีทาง
อดทนเฝ้ารอให้เธอเห็นใจแค่ไหนก็ยิ่งเลือนลาง
จดจำไว้อย่างเรามันยังไม่ใช่อยู่แล้ว

ก็เราเสียทีถึงเราทุ่มเทกว่านี้ก็ไม่มีทาง
อดทนเฝ้ารอให้เธอเห็นใจแค่ไหนก็ยิ่งเลือนลาง
จดจำไว้อย่างเรามันยังไม่ใช่อยู่แล้ว

จดจำไว้ มันไร้ค่ามาตั้งนานแล้ว",pang_nakarin
