song_name,href,lyric,artist
โปสการ์ด (Postcard),/music/thailyric/8387,"อากาศดีๆ นั่งมองดูดอกไม้
กินกาแฟตอนบ่าย ปล่อยเวลาไปช้าๆ
ได้มองดูเมฆกลมๆ ลิ่วลม
ที่พัดมา อยากเขียนบรรยายให้เธอรู้สึกดีๆ

เขียนทุกๆ อย่างในใจ
เขียนความรู้สึกที่เก็บไว้
ทุกๆ เรื่องราวที่ทำให้ใจอ่อนไหว
แค่เพียงไม่รู้ จะเขียนมันให้กับใคร

นั่งมองดูรูปถ่าย จดเป็นความสุขไว้
นั่งชมบรรยากาศ เรียบเรียงเป็นคำส่งไป
และมีอะไรจะเล่าให้ฟังตั้งมากมาย
ก็คงดีถ้ามีเธอข้างกันตอนนี้

เขียนทุกๆ อย่างในใจ
เขียนความรู้สึกที่เก็บไว้
ทุกๆ เรื่องราวที่ทำให้ใจอ่อนไหว
แค่เพียงไม่รู้ จะเขียนมันให้กับใคร

เขียนทุกๆ อย่างในใจ
เขียนความรู้สึกที่เก็บไว้
ทุกๆ เรื่องราวที่ทำให้ใจอ่อนไหว

เขียนทุกๆ อย่างในใจ
เขียนความรู้สึกที่เก็บไว้
ทุกๆ เรื่องราวที่ทำให้ใจอ่อนไหว
แค่เพียงไม่รู้จะเขียนมันให้กับใคร

ทุกๆ เรื่องราวที่ทำให้ใจอ่อนไหว
แค่เพียงไม่รู้ว่าเธอนั้นอยู่ที่ไหน
แต่ก็ไม่รู้ว่าเธอนั้นจะเป็นใคร",pango
คำสาป,/music/thailyric/10566,"หยุดกาลเวลา ด้วยคำพูดนี้ หยุดตรงนาที ที่เธอทิ้งฉัน
สะกดด้วยมนตราภายใต้แสงจันทร์ ที่เยือกเย็น
ติดในภวังค์แห่งคำว่ารัก และก็ไม่รู้ ด้วยเวทมนตร์ใด
ทำให้ตอนนี้เกินจะรับไหวกับเรื่องราว
จะทิ้งกัน คือเรื่องจริง ใช่ไหม

ขออย่าเพิ่งถอนทุกคำสาปจนหมดตอนนี้
ให้ฉัน อยู่ท่ามกลางมนต์สะกดต่อสักนาที
เสกให้ฉันคิดว่ายังมีกัน เสกให้ฉันฝันว่าเธอไม่ไปไหน
โปรดร่ายมนต์ใส่ ก่อนรักจะเลือน หายไป

คนเดิมที่แสนดี ที่ฉันคุ้น วันนี้เธอกลายเป็นพ่อมดร้าย
ทำให้ลุ่มหลงทำให้ร้องไห้และช้ำใจ
จะทิ้งกัน คือเรื่องจริง ใช่ไหม

ขออย่าเพิ่งถอนทุกคำสาปจนหมดตอนนี้
ให้ฉัน อยู่ท่ามกลางมนต์สะกดต่อสักนาที
เสกให้ฉันคิดว่ายังมีกัน เสกให้ฉันฝันว่าเธอไม่ไปไหน
โปรดร่ายมนต์ใส่ ก่อนรักจะเลือนหาย

ขออย่าเพิ่งถอนทุกคำสาปจนหมดตอนนี้
ให้ฉัน อยู่ท่ามกลางมนต์สะกดต่อสักนาที
เสกให้ฉันคิดว่ายังมีกัน เสกให้ฉันฝันว่าเธอไม่ไปไหน
โปรดร่ายมนต์ใส่ ก่อนรักจะเลือน หายไป หายไป",pango
คำอธิบาย,/music/thailyric/15793,"บางสิ่งที่เธอกำลังจะบอก ให้ฉันได้เตรียมใจ
บางสิ่งที่เธอต้องการจะเปลี่ยน เธอขอให้เข้าใจ
ว่ามีเหตุผลมากมายเท่าไรที่เธอต้องไป

คำพูดดีๆ ที่เธอจะบอก แต่ฉันคงไม่เข้าใจ
ถ้อยคำสวยงามที่เตรียมเอาไว้ ฉันขอไม่ฟังได้ไหม
ไม่ว่าเหตุผลนั้นคืออะไร ที่เธอต้องไป

เธอไม่ต้องหาถ้อยคำดีๆ เพื่อบอกฉันให้ได้เข้าใจ
ไม่ต้องเสียเวลาที่มีแปลความหมายที่เธอจะไป
กี่เหตุผลก็ไม่มีความหมาย ไม่ต้องอธิบาย
เมื่อเธอเลือกแล้วว่าเธอจะไป
จะเป็นเหตุผลอะไรก็คงไม่สำคัญ

คำพูดที่เธอเตรียมมาเพื่อบอก แต่สิ่งนั้นไม่ช่วยอะไร
คำอธิบายที่เธอจะใช้ ที่ฉันคงฟังไม่ไหว
ไม่ว่าความหมายนั้นคืออะไร ที่ฉันต้องเข้าใจ

เธอไม่ต้องหาถ้อยคำดีๆ เพื่อบอกฉันให้ได้เข้าใจ
ไม่ต้องเสียเวลาที่มีแปลความหมายที่เธอจะไป
กี่เหตุผลก็ไม่มีความหมาย ไม่ต้องอธิบาย
เมื่อเธอเลือกแล้วว่าเธอจะไป
จะเป็นเหตุผลอะไรก็คงไม่สำคัญ

กี่เหตุผลก็ไม่มีความหมาย ไม่ต้องอธิบาย
แค่บอกไม่รักฉันก็เข้าใจ
เธอมีเหตุผลอะไรก็คงไม่สำคัญ",pango
โคจร,/music/thailyric/10983,"ฉันค้นพบความจริงของเวลา
มันไม่เชื่องไม่ช้าเหมือนใครว่า
ฉันค้นพบว่าเป็นธรรมดา
ช่วงเวลาดีๆ มักผ่านไปไว

ฉันค้นพบความจริงของความสุข
มันเดินทางข้ามดวงดาวมาพบเธอ
และตกลงตรงที่หัวใจ ทำให้ใครคนหนึ่ง
รู้สึกว่าเวลา ถ้าหมุนช้า กว่าที่มันควรจะเป็นก็คงดี

อยากบอกให้นาฬิกาเลิกเดินต่อ หยุดไว้แค่นี้พอ
ค้างไว้ตรงส่วนช่วงที่แสนดีได้ไหม
อยากบอกให้โลกใบนี้เลิกโคจร ปล่อยมันได้พักผ่อน
ไม่ต้องมีวันไม่ต้องมีคืน มีแต่เธอที่ยืนข้างกัน

ถ้าหยุดไว้ตอนเธอพูดว่ารักกัน
เมฆบนฟ้าหยุดลอยก็ช่างมัน
วันพรุ่งนี้ไม่ใช่เรื่องสำคัญ
ตอนนี้มันดีจนอยากให้เวลา
หมุนช้าๆ กว่าที่มันควรจะเป็นก็คงดี

อยากบอกให้นาฬิกาเลิกเดินต่อ หยุดไว้แค่นี้พอ
ค้างไว้ตรงส่วนช่วงที่แสนดีได้ไหม
อยากบอกให้โลกใบนี้เลิกโคจร ปล่อยมันได้พักผ่อน
ไม่ต้องมีวันไม่ต้องมีคืน มีแต่เธอที่ยืนข้างกัน

อยากบอกให้นาฬิกาเลิกเดินต่อ หยุดไว้แค่นี้พอ
ค้างไว้ตรงส่วนช่วงที่แสนดีได้ไหม
อยากบอกให้โลกใบนี้เลิกโคจร ปล่อยมันได้พักผ่อน
ไม่ต้องมีวันไม่ต้องมีคืน มีแต่เธอ

อยากบอกให้นาฬิกาเลิกเดินต่อ
ค้างไว้ตรงส่วนช่วงที่แสนดีได้ไหม
อยากบอกให้โลกใบนี้เลิกโคจร
ไม่ต้องมีวันไม่ต้องมีคืน มีแต่เธอที่ยืนข้างกัน",pango
ฉันอยู่ตรงนี้,/music/thailyric/11634,"ฉันอยู่ตรงนี้ถ้าเธอต้องการ
ถ้าเผื่อทางนั้นทำเธอหมองหม่น
เห็นเธอเสียความรู้สึก
ฉันที่รักเธอกว่าทุกคนก็เสียใจ

หากคำว่ารักมันร้ายกับเธอมากไป
บอกมาได้ไหมให้ฉันช่วยซับน้ำตา
ส่งใจช้ำๆ ของเธอมา
ฉันจะรักษามันด้วยรักจริง

ไม่ได้เคยคิดจะแทนที่ใคร
แต่ถ้าคนไหนทำเธอทุกข์ทน
ฉันคนนี้ก็มีสิทธิ์
ฉันก็รักเธออยู่ทั้งคน หมดทั้งใจ

หากคำว่ารักมันร้ายกับเธอมากไป
บอกมาได้ไหมให้ฉันช่วยซับน้ำตา
ส่งใจช้ำๆ ของเธอมา
ฉันจะรักษามันด้วยรักจริง
ด้วยหัวใจที่เหมือนเดิม

หากคำว่ารักมันร้ายกับเธอมากไป
บอกมาได้ไหมให้ฉันช่วยซับน้ำตา
ส่งใจช้ำๆ ของเธอมา
ฉันจะรักษามันด้วยรักจริง

หากคำว่ารักมันร้ายกับเธอมากไป
บอกมาได้ไหมให้ฉันช่วยซับน้ำตา
ส่งใจช้ำๆ ของเธอมา
ฉันจะรักษามันด้วยรักจริง
ด้วยหัวใจที่เหมือนเดิม

ถ้าเธอมีน้ำตา
ถ้าเธอต้องช้ำใจ ฉันอยู่ตรงนี้",pango
ดูแลตัวเองไม่ไหว,/music/thailyric/16170,"ใคร บอกเอาไว้ ว่าเวลามันจะช่วยเคลียร์หัวใจ
ใช้เวลาคงหายไม่ทันใจ  ให้เป็นคนเธอนี้ได้ไหม

ฉันคิดว่าโลก ได้แตกสลาย ไปพร้อมๆ กับใจที่พัง
ถูกทำร้ายจากคนใจร้ายมา
และคิดว่าไม่มีทางอีกแล้ว ที่จะมีวันที่หายดี
จนได้เจอกับเธอคนนี้

วันที่ฟ้าเทา จากที่ครึ้มก็เริ่มสว่าง
ความอ้างว้าง อยากระบายออกไปให้เธอได้รู้

เจ็บจนแพ้ หัวใจอ่อนแอ มันดูแลตัวเองไม่ไหว
ถ้ามีใครช่วยปลอบ ให้คนๆ นั้นเป็นเธอได้ไหม
ใครบอกเอาไว้ ว่าเวลามันจะช่วยเคลียร์หัวใจ
ใช้เวลาคงหายไม่ทันใจ ให้เป็นคนเธอนี้ได้ไหม
ช่วยเอาความรักมาดูแล

ใจมันช้ำแผลมันลึกเหมือนโดนมีดกรีด
เชื่อคนง่ายก็เลยเป็น คนมีอดีต
ร่างกายเจ็บก็ไปโรงบาล แต่ใจเจ็บต้องไปหาคนดาม

โบราณว่าหนามยอกให้เอาหนามบ่ง
แต่ช้ำเพราะรักใจมันยอกใช้อะไรบ่ง
ใช้คำว่ารักของเธอ คงหายเจ็บ แผลที่ใจ

วันที่ฟ้าเทา จากที่ครึ้มก็เริ่มสว่าง
ความอ้างว้าง อยากระบายออกไปให้เธอได้รู้

เจ็บจนแพ้ หัวใจอ่อนแอ มันดูแลตัวเองไม่ไหว
ถ้ามีใครช่วยปลอบ ให้คนๆ นั้นเป็นเธอได้ไหม
ใครบอกเอาไว้ ว่าเวลามันจะช่วยเคลียร์หัวใจ
ใช้เวลาคงหายไม่ทันใจ ให้เป็นคนเธอนี้ได้ไหม
ช่วยเอาความรักมาดูแล

เจ็บจนแพ้ หัวใจอ่อนแอ มันดูแลตัวเองไม่ไหว
ถ้ามีใครช่วยปลอบ ให้คนๆ นั้นเป็นเธอได้ไหม
ใครบอกเอาไว้ ว่าเวลามันจะช่วยเคลียร์หัวใจ
ใช้เวลาคงหายไม่ทันใจ ให้เป็นคนเธอนี้ได้ไหม
ช่วยเอาความรักมาดูแล",pango
ปล่อย,/music/thailyric/9231,"ลองมองดาวให้มันดูเหมือนดวงใหม่
จากมุมที่ไกลที่เราไม่เคยรู้จัก
มีใครคอยแต่งเติมชีวิตมากมาย
ถ้าเธอลองข้ามขอบฟ้านี้ไป

แล้วเธอจะรู้ ว่าโลกนั้นไม่ได้โหดร้าย
แล้วเธอจะรู้ ว่ารักนั้นไม่เคยทำร้าย

ปล่อยชีวิตให้พัดไปกับสายลม
ปล่อยใจให้โลกใบกลมมันหมุนจนเราได้เข้าใจ
เก็บกระเป๋าพร้อมเตรียมหัวใจ
พร้อมจะปล่อยกาย ทิ้งความวุ่นวาย
ทุกๆ เรื่องราวร้ายๆ ปล่อยให้ฉันพาเธอไป

โลกใบเดิมที่อาจดูเหมือนว่างเปล่า
ในมุมเหงาๆ ของเธอเหลือไว้ให้ใคร
เพียงแค่เติมอีกมุมของฉันเข้าไป
และเราจะจูงมือไปด้วยกัน

แล้วเธอจะรู้ ว่าโลกนั้นไม่ได้โหดร้าย
แล้วเธอจะรู้ ว่ารักนั้นไม่เคยทำร้าย

ปล่อยชีวิตให้พัดไปกับสายลม
ปล่อยใจให้โลกใบกลมมันหมุนจนเราได้เข้าใจ
เก็บกระเป๋าพร้อมเตรียมหัวใจ
พร้อมจะปล่อยกาย ทิ้งความวุ่นวาย
ทุกๆ เรื่องราวร้ายๆ ปล่อยให้ฉันพาเธอไป

ปล่อยชีวิตให้พัดไปกับสายลม
ปล่อยใจให้โลกใบกลมมันหมุนจนเราได้เข้าใจ
เก็บกระเป๋าพร้อมเตรียมหัวใจ
พร้อมจะปล่อยกาย ทิ้งความวุ่นวาย
ทุกๆ เรื่องราวร้ายๆ ปล่อยให้ฉันพาเธอไป",pango
เผื่อว่าเธอคิด,/music/thailyric/10250,"เมื่อได้มองตาเธอ วันที่ใจเบลอๆ
แอบฝันไปตอนกลางวันทุกที
รอยยิ้มที่มีให้กัน ดอกไม้ในวันสำคัญ
มันคงไม่ธรรมดาซะแล้วสิ

ใครที่ทำให้ฉันต้องหวั่นไหว
กลัวว่าใจจะเผลอพูดไป

ก็แค่อยากรู้ อยากแค่ลองถามดู
เผื่อเธอคิดว่าฉันนั้นใช่
เผื่อว่าเธอพร้อม และในใจฉันก็ยอม
ลองคิดดู เผื่อเธอคิดเหมือนกัน

หากว่าเราเจอกัน หากว่าเราคุยกัน
ก็คงจะเป็นเรื่องราวที่ดี
ออกเดินจูงมือกันไป แบ่งปันเรื่องราวในใจ
แค่คิดก็ลอยไปไกลซะแล้วสิ

ใครที่ทำให้ฉันต้องหวั่นไหว
กลัวว่าใจจะเผลอพูดไป

ก็แค่อยากรู้ อยากแค่ลองถามดู
เผื่อเธอคิดว่าฉันนั้นใช่
เผื่อว่าเธอพร้อม และในใจฉันก็ยอม
ลองคิดดู เผื่อเธอคิดเหมือนกัน

ใครที่ทำให้ฉันต้องหวั่นไหว 
กลัวว่าใจจะเผลอพูดไป

ก็แค่อยากรู้ อยากแค่ลองถามดู
เผื่อเธอคิดว่าฉันนั้นใช่
เผื่อว่าเธอพร้อม และในใจฉันก็ยอม
ลองคิดดู เผื่อเธอคิดเหมือนกัน

ก็แค่อยากรู้ อยากแค่ลองถามดู
เผื่อเธอคิดว่าฉันนั้นใช่
เผื่อว่าเธอพร้อม และในใจฉันก็ยอม
ลองคิดดู เผื่อเธอคิดเหมือนกัน

ก็แค่อยากบอกเธอ อยากแค่ลองบอกเธอ
บอกสิ่งที่รู้สึกอยู่ข้างใน
ก็เลยต้องบอกเธอ ก็แค่อยากบอกไป
เผื่อว่าเธอคิดเหมือนกันหรือเปล่า
ก็แค่อยากบอกเธอ อยากแค่ลองบอกเธอ
บอกสิ่งที่รู้สึกอยู่ข้างใน
ก็เลยต้องบอกเธอ ก็แค่อยากบอกไป
เผื่อว่าเธอคิดเหมือนกันบ้างไหม
เผื่อเธอคิดเหมือนกัน",pango
พระจันทร์ (Moon),/music/thailyric/11533,"เดินทางมาพ้นฟ้า
มาเหยียบบนพระจันทร์
ดินแดนที่คนร้อยพัน
เศร้าใจทีไร ชอบแอบมอง
แต่ไม่เคยได้รู้
ว่าอยู่บนพระจันทร์
โลกที่เห็นทุกวัน
นั้นกลายเป็นไกล เกินกลับไป

คิดถึงพื้นที่แห่งเดิมของฉัน
คิดถึงโลกใบที่เรารักกัน
แต่ที่เดิมตรงนั้น
แสนไกลเกินหันไปมอง

บนพื้นที่มีแต่ความเงียบเหงา
ลมหายใจไม่มีรักของเรา
ทำได้แค่มองเขา
รักเธอบนโลกใบ ที่เราเคยรักกัน

อ้อนวอนเธอไม่ไหว
เมื่อเธอตัดสินใจ
เมื่อเธอเห็นว่าใคร
เข้ากันดีมากกว่าฉัน
ให้เธอเป็นของเขา
เดินต่อไปด้วยกัน
ปล่อยคนไม่สำคัญ
ใช้เวลาเพื่อตัดใจ

คิดถึงพื้นที่แห่งเดิมของฉัน
คิดถึงโลกใบที่เรารักกัน
แต่ที่เดิมตรงนั้น
แสนไกลเกินหันไปมอง
บนพื้นที่มีแต่ความเงียบเหงา
ลมหายใจไม่มีรักของเรา
ทำได้แค่มองเขา
รักเธอบนโลกใบ ที่เราเคยรักกัน

เดินทางมาพ้นฟ้า
มาเหยียบบนพระจันทร์
ดินแดนที่คนร้อยพัน
เศร้าใจทีไร ชอบแอบมอง
แต่ไม่เคยได้รู้
ว่าอยู่บนพระจันทร์
ที่ที่เรารักกัน
นั้นไม่มีทางได้กลับไป",pango
รักฉันไม่เลิกรา,/music/thailyric/11115,"ต่อให้เธอ จะขี้บ่น ไม่ค่อยโรแมนติก
ต่อให้เธอ ยิ้มไม่เก่ง แต่ฉันก็รักเธอนะ
ต่อให้เธอ จะบ้างาน และไม่ค่อยมีเวลา
ต่อให้เธอ แก่ลงจนเดินช้า ยังไงก็ไม่เลิกรักเธอ

ต่อให้เธอ ไม่เคยกอด แต่ฉันจะเป็นคนกอด
ต่อให้เธอ หยุดคิดถึงฉัน แต่ฉันคิดถึงเธอนะ
ต่อให้เธอ ไม่รักฉันเลย หรือเจอใครที่ดีกว่า
ตอนนี้ฉันกำลังตายอย่างช้าๆ แต่รักฉันยังไม่เลิกรา

นาทีที่ฉันตาย ใจยังติดตามเธอไว้ ไม่ไกลห่าง
ถึงฉันไม่หายใจ เธอไม่ต้องกลัว รักฉันยังเหมือนเดิม
แม้กายสลายไป ดวงใจจะกอดเธอไว้ ไม่ยอมเลิก
จะยังคงรัก จนกว่าสองเรา จะตาย ไปพร้อมกัน

ต่อให้ทำ ใจฉันเจ็บ แต่ฉันไม่เคยจะเก็บ
ต่อให้กาย จะโดนทำร้าย แต่ฉันก็รับเธอไหว
ต่อให้เธอ มีใครใหม่ แต่ฉันไม่เลิกรักเธอหรอก
และเมื่อกายแตกสลาย แต่ฉันจะรักไม่เลิกรา

นาทีที่ฉันตาย ใจยังติดตามเธอไว้ ไม่ไกลห่าง
ถึงฉันไม่หายใจ เธอไม่ต้องกลัว รักฉันยังเหมือนเดิม
แม้กายสลายไป ดวงใจจะกอดเธอไว้ ไม่ยอมเลิก
จะยังคงรัก จนกว่าสองเรา จะตาย ไปพร้อมกัน

นาทีที่ฉันตาย ใจยังติดตามเธอไว้ ไม่ไกลห่าง
ถึงฉันไม่หายใจ เธอไม่ต้องกลัว รักฉันยังเหมือนเดิม
แม้กายสลายไป ดวงใจจะกอดเธอไว้ ไม่ยอมเลิก
จะยังคงรัก จนกว่าสองเรา จะตาย

ต่อให้เธอ จะขี้บ่น ไม่ค่อยโรแมนติก",pango
