song_name,href,lyric,artist
พ่อเจ้าประคุณทูนหัว,/music/thailyric/17666,"พ่อเจ้าประคุณทูนหัว
พ่อเจ้าประคุณทูนหัว
พ่อเจ้าประคุณทูนหัว

อยากจะลองใจ ว่าเธอคนนี้นั้นเป็นยังไง
หลอกให้ตายใจ หรืออยู่กันไป จนนานเท่านาน
อยากจะมีคน ที่เป็นรักแท้ ถึงวันแต่งงาน
คนที่ไม่รำคาญ ไม่ว่าตัวฉัน จะเป็นยังไง

คนที่เวลาฉันดื้อ ก็จะคอยมาสอน
คนที่เวลาฉันงอน ก็จะคอย ตามง้อ
คนที่ฉันเอาแต่ใจ ไม่เคยทำหน้างอ
คนนี้แหละที่รอ

อยากเป็นคนที่โชคดี
ทำตัวดีหรือ งี่เง่าเขาก็คงไม่มีวันเบื่อ
เวลาลบเครื่องสำอาง เขาก็ยังรักเหมือนเดิม
มองตากัน ได้ไม่น่าเชื่อ
อยากเป็นคนที่โชคดี มีสักคนที่รักจริง
ไม่ทอดทิ้งเหมือนเป็นแค่เหยื่อ
ใช่ไหม เธอใช่ไหม
ที่จะเป็นพ่อเจ้าประคุณทูนหัว

เธอคนเดียวที่จะยืนหนึ่ง
เธอคนเดียวที่ไม่หน้าบึ้ง
เธอคนเดียวที่จะมองสบตา
และมีแต่คำซึ้ง ๆ

คนที่เวลาฉันดื้อ ก็จะคอยมาสอน
คนที่เวลาฉันงอน ก็จะคอย ตามง้อ
คนที่ฉันเอาแต่ใจ ไม่เคยทำหน้างอ
คนนี้แหละที่รอ

อยากเป็นคนที่โชคดี
ทำตัวดีหรือ งี่เง่าเขาก็คงไม่มีวันเบื่อ
เวลาลบเครื่องสำอาง เขาก็ยังรักเหมือนเดิม
มองตากัน ได้ไม่น่าเชื่อ
อยากเป็นคนที่โชคดี มีสักคนที่รักจริง
ไม่ทอดทิ้งเหมือนเป็นแค่เหยื่อ
ใช่ไหม เธอใช่ไหม
ที่จะเป็นพ่อเจ้าประคุณทูนหัว

พ่อเจ้าประคุณทูนหัว
พ่อเจ้าประคุณทูนหัว
พ่อเจ้าประคุณทูนหัว

อยากจะลองใจ ว่าเธอคนนี้นั้นเป็นยังไง
หลอกให้ตายใจหรืออยู่กันไป จนนานเท่านาน
อยากจะมีคนที่เป็นรักแท้ ถึงวันแต่งงาน
คนที่ไม่รำคาญ ไม่ว่าตัวฉัน จะเป็นยังไง

คนที่เวลาฉันดื้อก็จะคอยมาสอน
คนที่เวลาฉันงอน ก็จะคอย ตามง้อ
คนที่ฉันเอาแต่ใจ ไม่เคยทำหน้างอ
คนนี้แหละที่รอ

อยากเป็นคนที่โชคดี
ทำตัวดีหรือ งี่เง่าเขาก็คงไม่มีวันเบื่อ
เวลาลบเครื่องสำอาง เขาก็ยังรักเหมือนเดิม
มองตากัน ได้ไม่น่าเชื่อ
อยากเป็นคนที่โชคดี มีสักคนที่รักจริง
ไม่ทอดทิ้งเหมือนเป็นแค่เหยื่อ
ใช่ไหม เธอใช่ไหม
ที่จะเป็นพ่อเจ้าประคุณทูนหัว

เธอคนเดียวที่จะยืนหนึ่ง
เธอคนเดียวที่ไม่น่าบึ้ง
เธอคนเดียวที่จะมองสบตา
และมีแต่คำซึ้ง ๆ

คนที่เวลาฉันดื้อก็จะคอยมาสอน
คนที่เวลาฉันงอน ก็จะคอย ตามง้อ
คนที่ฉันเอาแต่ใจ ไม่เคยทำหน้างอ
คนนี้แหละที่รอ

อยากเป็นคนที่โชคดี
ทำตัวดีหรือ งี่เง่าเขาก็คงไม่มีวันเบื่อ
เวลาลบเครื่องสำอาง เขาก็ยังรักเหมือนเดิม
มองตากัน ได้ไม่น่าเชื่อ
อยากเป็นคนที่โชคดี มีสักคนที่รักจริง
ไม่ทอดทิ้งเหมือนเป็นแค่เหยื่อ
ใช่ไหม เธอใช่ไหม
ที่จะเป็นพ่อเจ้าประคุณทูนหัว

อยากเป็นคนที่โชคดี
ทำตัวดีหรือ งี่เง่าเขาก็คงไม่มีวันเบื่อ
เวลาลบเครื่องสำอาง เขาก็ยังรักเหมือนเดิม
มองตากัน ได้ไม่น่าเชื่อ
อยากเป็นคนที่โชคดี มีสักคนที่รักจริง
ไม่ทอดทิ้งเหมือนเป็นแค่เหยื่อ
ใช่ไหม เธอใช่ไหม
ที่จะเป็นพ่อเจ้าประคุณทูนหัว

พ่อเจ้าประคุณทูนหัว
พ่อเจ้าประคุณทูนหัว
พ่อเจ้าประคุณทูนหัว",paowalee
โอมเพี้ยง,/music/thailyric/17663,"โอแม่หมอจ๊ะ โอแม่หมอจ๋า
ทำนายชะตา ให้สักที
จะมีชาตินี้หรือมีชาติไหน จะได้เจอคนที่ดีดี
หรือยังไม่เกิด เนื้อคู่ฉันยังไม่เกิด
แม่หมอช่วยเปิด ไพ่ทำนายให้รู้ที

นี่พ่อก็ถาม นี่แม่ก็ทวง เมื่อไรควงแฟนมาให้เจอที
จะมาปีนี้หรือว่าปีไหน ที่จะเอาใจไปนะคนดี
เคยฝันเห็นงู เคยฝันเคยฝันเห็นงู รบกวนแม่หมอช่วยดู

ก็ดีถ้ามีแฟนรุ่นใหญ่ ก็ได้ถ้ามีแฟนรุ่นเด็ก
สเปกก็ไม่มีเท่าไร ก็ดูที่ใจ ก็ดูที่ใจ
ก็ดีถ้ามีคนเทกแคร์ อ่อนแอมีคนเอาใจใส่
อยากรู้ว่าจะมาเมื่อไร ช่วยเป่าคาถา ทีแม่หมอ

ฮัลเล ฮัดช่า เนื้อคู่จงมา จงมา จงมา
อยากมีมนตรา เธอมาโผล่ตรงหน้า ฮาฮ้าฮาฮา
ฮัลเล ฮัดช่า อย่าปล่อยให้รอ จนฉันชรา
อย่ารอเวลา รีบมาสบตา ฮ้าฮาฮาฮ่า

โอมจงมา เถิด โอ้ความรักจงบังเกิด
โอมจงมาเปิดโลกทัศน์ข้างในจิตใจ
โอมจงมาเถิด อยากมีพรอันประเสริฐ
รีบมารีบมารีบมารีบมารีบมา โอม เพี้ยง

โอแม่หมอจ๊ะ โอแม่หมอจ๋า
ทำนายชะตา ให้สักที
จะมีชาตินี้หรือมีชาติไหน จะได้เจอคนที่ดีดี
หรือยังไม่เกิด เนื้อคู่ฉันยังไม่เกิด
แม่หมอช่วยเปิด ไพ่ทำนายให้รู้ที

สิบปีมันก็นานเกินไป สิบวันมันก็ไม่ทันใจ
เปลี่ยนเป็นสิบนาทีได้ไหม หนอ
อยากมีคนที่คอยเอาใจ อยากมีสักคนได้ไหม
อยากเรียกที่รัก อยากมีที่พักหัวใจ

ก็ดีถ้ามีแฟนรุ่นใหญ่ ก็ได้ถ้ามีแฟนรุ่นเด็ก
สเปกก็ไม่มีเท่าไร ก็ดูที่ใจ ก็ดูที่ใจ
ก็ดีถ้ามีคนเทกแคร์ อ่อนแอมีคนเอาใจใส่
อยากรู้ว่าจะมาเมื่อไร ช่วยเป่าคาถา ทีแม่หมอ

ฮัลเล ฮัดช่า เนื้อคู่จงมา จงมา จงมา
อยากมีมนตรา เธอมาโผล่ตรงหน้า ฮาฮ้าฮาฮา
ฮัลเล ฮัดช่า อย่าปล่อยให้รอ จนฉันชรา
อย่ารอเวลา รีบมาสบตา ฮ้าฮาฮาฮ่า

โอมจงมา เถิด โอ้ความรักจงบังเกิด
โอมจงมาเปิดโลกทัศน์ข้างในจิตใจ
โอมจงมาเถิด อยากมีพรอันประเสริฐ
รีบมารีบมารีบมารีบมารีบมา โอม เพี้ยง",paowalee
พี่ชายคะ,/music/thailyric/13313,"พี่ชายคะ ขอโทษนะ
คือพี่คะ พี่เป็นไรคะ
แล้วแฟนพี่ล่ะไปไหน
อย่าหาว่ายุ่ง แบบว่าน้องนุ่งห่วงใย
น้องใช่อื่นไกล
น้องของเพื่อนของเพื่อนของพี่
พี่ชายคะ ขอโทษนะ
คือพี่คะ ใครทำไรคะ
ถึงมานั่งเซ็งตรงนี้
พี่ชายหน้าบูด
พูดเลยใจน้องไม่ดี
หรือว่าตอนนี้
แฟนของพี่เค้าทิ้งพี่ไป

อย่าเศร้า ไม่เอานะคะ
ขอร้อง จะให้น้อง
นั่งเป็นเพื่อนก่อนก็ได้
แฟนพี่หายโกรธ กลับมา
น้องพร้อมจะไป
นานแค่ไหน
น้องก็อยู่ได้ค่ะพี่
พี่ชายคะ หรือเอางี้
คือพี่คะ เผื่อแฟนไม่มา
พี่จะทำไงทีนี้
น้องว่าหาใหม่
สำรองเอาไว้ก็ดี มีคนหนึ่งที่
รอเลื่อนขั้นเป็นคนที่ใช่

อย่าเศร้า ไม่เอานะคะ
ขอร้อง จะให้น้อง
นั่งเป็นเพื่อนก่อนก็ได้
แฟนพี่หายโกรธ กลับมา
น้องพร้อมจะไป
นานแค่ไหน
น้องก็อยู่ได้ค่ะพี่
พี่ชายคะ หรือเอางี้
คือพี่คะ เผื่อแฟนไม่มา
พี่จะทำไงทีนี้
น้องว่าหาใหม่
สำรองเอาไว้ก็ดี
มีคนหนึ่งที่
รอเลื่อนขั้นเป็นคนที่ใช่",paowalee
กำแพงชื่อเพื่อน,/music/thailyric/12723,"ใกล้แค่เอื้อมมือ
แต่เหมือนฉันยืนอยู่เพียงลำพัง
ไม่มีสักครั้งที่เธอจะหันมองมา
กำแพงชื่อเพื่อน
ยังคงกีดขวางบังตา
จะปีนไปหา หัวใจก็ไม่กล้าพอ

ทุกครั้งที่เจอ
คำว่ารักเธอยังคอยกดดัน
พอไม่เจอกัน
ความคิดถึงก็มารอ
บอกก็ไม่ได้ เก็บไว้นานๆ ก็ท้อ
ยิ่งคิดยิ่งท้อ
นี่มันเวรกรรมอะไร

อุตส่าห์เจอคนที่ใช่
แต่ทำได้แค่แอบรัก
เป็นได้แค่คนรู้จัก
ที่เธอไม่อยากรู้ใจ
ก็ได้แต่ภาวนาให้เธออย่าพึ่งมีใคร
เผื่อรักที่ฉันแอบให้
อาจซึ้งใจเธอสักวัน

ทุกเรื่องทุกราวบอกเล่า
พูดคุยกันได้เสนอ
แต่เรื่องใจเธอแค่นึกจะทำก็หวั่น
กลัวจะเสียเพื่อน
กลัวจะเสียความสัมพันธ์
รู้ไหมว่าฉันเหมือน
แบกโลกไว้ทั้งใบ

อุตส่าห์เจอคนที่ใช่
แต่ทำได้แค่แอบรัก
เป็นได้แค่คนรู้จัก
ที่เธอไม่อยากรู้ใจ
ก็ได้แต่ภาวนาให้เธออย่าพึ่งมีใคร
เผื่อรักที่ฉันแอบให้
อาจซึ้งใจเธอสักวัน
เผื่อรักที่ฉันแอบให้
อาจซึ้งใจเธอสักวัน",paowalee
กินจุ๊บจิ๊บ,/music/thailyric/19527,"เศร้า เศร้า เศร้า รักเราเขามีปีกบิน
เราไม่รู้ทำไง เจ็บใจเลยได้แต่กิน
เจ็บใจเลยได้แต่กิน กินจุ๊บจิ๊บ กินจุ๊บจิ๊บ
กินจุ๊บ กินจิ๊บ กินจุ๊บจิ๊บ

ส้มตำปูเค็มอย่างเต็มครกเลย
ปูนึ่งเอย ถ้ามีน้ำจิ้มแซบหลาย
ฉีกไก่นา น้ำปลาจิ้มหน่อยดีไหม
แล้วตามด้วยไข่ลูกเขย อร่อยนักเลยก็เลยต้องกิน

ผัดไทยสักจาน เบิกบานหัวใจ
ปลาหม้อไฟ ต้องกินให้ได้คราวนี้
เป็ดพะโล้ ชิ้นโตเนื้อแน่นอย่างนี้
เขาจรรีจากใป มันเจ็บที่ใจเลยได้แต่กิน

เศร้า เศร้า เศร้า รักเราเขามีปีกบิน
เราไม่รู้ทำไง เจ็บใจเลยได้แต่กิน
เจ็บใจเลยได้แต่กิน กินจุ๊บจิ๊บ กินจุ๊บจิ๊บ
กินจุ๊บ กินจิ๊บ กินจุ๊บจิ๊บ

ออกไปลองชิม สะหริ่มสักชาม
มันเชื่อมตาม ข้าวหลามสักหน่อยดับโมโห
เผือก ฝอยทอง เต้าฮวย ลอดช่องชามโต
ทุเรียนสักโล ก่อนนอนไม่ต้องง้องอน คนที่ใจหิน

สตรอว์เบอร์รี่ ไอติมวานิลลา
กินน้ำตา แล้วมันขมขื่นไม่ชื่นใจ
เปิปไข่หวาน ลูกตาลแช่อิ่ม สดใส
หม้อแกงแตงไทย กล้วยบวชชี อร่อยทุกทีที่ถูกกับลิ้น

เศร้า เศร้า เศร้า รักเราเขามีปีกบิน
เราไม่รู้ทำไง เจ็บใจเลยได้แต่กิน
เจ็บใจเลยได้แต่กิน กินจุ๊บจิ๊บ กินจุ๊บจิ๊บ
กินจุ๊บ กินจิ๊บ กินจุ๊บจิ๊บ

สตรอว์เบอร์รี่ ไอติมวานิลลา
กินน้ำตา แล้วมันขมขื่นไม่ชื่นใจ
เปิปไข่หวาน ลูกตาลแช่อิ่ม สดใส
หม้อแกงแตงไทย กล้วยบวชชี อร่อยทุกทีที่ถูกกับลิ้น

เศร้า เศร้า เศร้า รักเราเขามีปีกบิน
เราไม่รู้ทำไง เจ็บใจเลยได้แต่กิน
เจ็บใจเลยได้แต่กิน กินจุ๊บจิ๊บ กินจุ๊บจิ๊บ
กินจุ๊บ กินจิ๊บ กินจุ๊บจิ๊บ",paowalee
จะมามั๊ยหนอ,/music/thailyric/15802,"จะมาไหมหนอปีนี้ จะมีแฟนไหมหนอปีนี้
ปล่อยให้รอลุ้นมากี่ปี และปีนี้ต้องรออีกไหม
อยากเจอเนื้อคู่ แต่ไม่รู้ว่าเมื่อไร
ร้องเพลงรออยู่ตรงนี้ ได้ยินบ้างไหม
มาไหมมาไหมอะ จะมาไหมมาไหมอะ

ผ่านอีกปี มาถึงปีใหม่ ก็ไปเคาท์ดาวน์
คนตั้งเยอะ แต่มันเงียบเหงา ไปถึงหัวใจ
ใกล้ถึงวันเด็กแล้ว ไม่มีวี่แวว ใครพาเที่ยวไหน
เราก็เป็นเด็กดี แต่ไม่มีคนข้างกาย

โอ๊ย โอย โอ่ย โอย เที่ยวคนเดียวเปลี่ยวใจ

จะมาไหมหนอปีนี้ จะมีแฟนไหมหนอปีนี้
ปล่อยให้รอลุ้นมากี่ปี และปีนี้ต้องรออีกไหม
อยากเจอเนื้อคู่ แต่ไม่รู้ว่าเมื่อไร
ร้องเพลงรออยู่ตรงนี้ ได้ยินบ้างไหม
มาไหมมาไหมอะ จะมาไหมมาไหมอะ

ผ่านวันครู ก็ยังไร้คู่ จะทำยังไง
มองๆ หา มีครูที่ไหน สอนความรักเรา
เป็นนักเรียนที่ดี การบ้านจะเยอะแค่ไหนก็เอา
แต่ครูไม่ยอมมาสอน นี่ปิดเทอมยาวหรือเปล่า

โอ๊ย โอย โอ่ย โอย วาเลนไทน์คงเหงา

จะมาไหมหนอปีนี้ จะมีแฟนไหมหนอปีนี้
ปล่อยให้รอลุ้นมากี่ปี และปีนี้ต้องรออีกไหม
อยากเจอเนื้อคู่ แต่ไม่รู้ว่าเมื่อไร
ร้องเพลงรออยู่ตรงนี้ ได้ยินบ้างไหม
มาไหมมาไหมอะ จะมาไหมมาไหมอะ

จะมาไหมหนอปีนี้ จะมีแฟนไหมหนอปีนี้
ปล่อยให้รอลุ้นมากี่ปี และปีนี้ต้องรออีกไหม
อยากเจอเนื้อคู่ แต่ไม่รู้ว่าเมื่อไร
ร้องเพลงรออยู่ตรงนี้ ได้ยินบ้างไหม

จะมาไหมหนอปีนี้ จะมีแฟนไหมหนอปีนี้
ปล่อยให้รอลุ้นมากี่ปี และปีนี้ต้องรออีกไหม
อยากเจอเนื้อคู่ แต่ไม่รู้ว่าเมื่อไร
ร้องเพลงรออยู่ตรงนี้ ได้ยินบ้างไหม
มาไหมมาไหมอะ จะมาไหมมาไหมอะ
มาไหมมาไหมอะ จะมาไหมมาไหมอะ
มาไหมมาไหมอะ",paowalee
แม่ค้าหน้าคอม,/music/thailyric/12854,"ก็เป็นแม่ค้า พัฒนามาอยู่หน้าคอม
มีร้านย่อมย่อม นั่นก็ขายนี่ก็ขาย
วุ่นทั้งวัน เช็คสต๊อกออกบิลกันไป
แพ็กเอง ส่งเองก็ฟินจะตาย

ตื่นมาก็คลิกคลิก บ่ายแล้วก็คลิกคลิก
ตกเย็นก็คลิกคลิกคลิก คลิกกันทั้งวัน
จะกินก็คลิกคลิก อิ่มแล้วก็คลิกคลิก
จะนอนก็คลิกคลิกคลิก คลิกกันทั้งวัน

รีวิวอะไร เธอไลค์ก็ปลื้มจัง
ออเดอร์กันยัง สั่งเลยคลิกคลิก
ถ้ารักแม่ค้า สั่งมาคลิกคลิก

จะจีบแม่ค้า ช่วยกันนะอุดหนุนสักนิด
จะได้สนิท ขาประจำให้คุ้นกันไว้
แล้วค่อยขยับ มาเป็นแฟนก็ดูกันไป
ทักเลย สั่งเลยจะรออะไร

ตื่นมาก็คลิกคลิก บ่ายแล้วก็คลิกคลิก
ตกเย็นก็คลิกคลิกคลิก คลิกกันทั้งวัน
จะกินก็คลิกคลิก อิ่มแล้วก็คลิกคลิก
จะนอนก็คลิกคลิกคลิก คลิกกันทั้งวัน

รีวิวอะไร เธอไลค์ก็ปลื้มจัง
ออเดอร์กันยัง สั่งเลยคลิกคลิก
ถ้ารักแม่ค้า สั่งมาคลิกคลิก
สี่ซ้าห้าบาท อย่าต่อเลยนะคุณขา
ออเดอร์กันมา สั่งเลยคลิกคลิก
ถ้ารักแม่ค้า สั่งมาคลิกคลิก

ก็เป็นแม่ค้า พัฒนา มาอยู่หน้าคอม
มีร้านย่อมย่อม นั่นก็ขายนี่ก็ขาย
วุ่นทั้งวัน เช็คสต๊อกออกบิลกันไป
แพ็กเอง ส่งเองก็ฟินจะตาย

ตื่นมาก็คลิกคลิก บ่ายแล้วก็คลิกคลิก
ตกเย็นก็คลิกคลิกคลิก คลิกกันทั้งวัน
จะกินก็คลิกคลิก อิ่มแล้วก็คลิกคลิก
จะนอนก็คลิกคลิกคลิก คลิกกันทั้งวัน

รีวิวอะไร เธอไลค์ก็ปลื้มจัง
ออเดอร์กันยัง สั่งเลยคลิกคลิก
ถ้ารักแม่ค้า สั่งมาคลิกคลิก

จะจีบแม่ค้า ช่วยกันนะอุดหนุนสักนิด
จะได้สนิท ขาประจำให้คุ้นกันไว้
แล้วค่อยขยับ มาเป็นแฟนก็ดูกันไป
ทักเลย สั่งเลยจะรออะไร

ตื่นมาก็คลิกคลิก บ่ายแล้วก็คลิกคลิก
ตกเย็นก็คลิกคลิกคลิก คลิกกันทั้งวัน
จะกินก็คลิกคลิก อิ่มแล้วก็คลิกคลิก
จะนอนก็คลิกคลิกคลิก คลิกกันทั้งวัน

รีวิวอะไร เธอไลค์ก็ปลื้มจัง
ออเดอร์กันยัง สั่งเลยคลิกคลิก
ถ้ารักแม่ค้า สั่งมาคลิกคลิก

สี่ซ้าห้าบาท อย่าต่อเลยนะคุณขา
ออเดอร์กันมา สั่งเลยคลิกคลิก
ถ้ารักแม่ค้า สั่งมาคลิกคลิก

สั่งเลยคลิกคลิก
ถ้ารักแม่ค้า สั่งมาคลิกคลิก
สั่งเลยคลิกคลิก สั่งมาคลิกคลิก
สั่งเลยคลิกคลิก",paowalee
ยักคิ้ว,/music/thailyric/17191,"อยู่ห่างไกล  เธอจะเหงาหัวใจหรือเปล่า
ส่งข่าวคราว มาให้รู้สักนิดได้ไหม
คนตรงนี้ เอาแต่คิดถึงเธอ อยู่ร่ำไป
ดาวดวงใด ช่วยเปล่งแสงให้เธอได้รู้

ช้าเอิงเอย เอ่อระเหย เหลือเกินเวลา
อยากจะพบเจอหน้ากับเธอแล้ว...
ช้าเอิงเอย  ก็คู่กันแล้วก็คงไม่แคล้ว
แต่ว่าฉันก็ใจแป้ว เพราะกลัว ว่าเธอ....เออ..เอย

จะมีใคร ยักคิ้วหลิ่วตา
อยู่ตรงหน้าแล้วสบตา
กลัวว่าเธอจะพลาดท่า เสียที เออ...
ใครยักคิ้วหลิ่วตา
อย่าไปมองนะหลบออกมา
นึกถึงหน้าฉันไว้คนดี  เอ่อ เออ
เอ่อ เอย....ก็เธอทำได้หรือเปล่า

อยากจะมีสักหนึ่งคาถา
ปิดตาไม่ให้ใครมอง ปัดป้อง
ไม่ให้ตัวเธอนั้นต้องหวั่นไหว
เล่นหูเล่นตากับใคร
รักฉันคนเดียวได้ไหม
อย่าแพ้ให้ความห่างไกล.......เออ..เอย

ช้าเอิงเอย เอ่อระเหย เหลือเกินเวลา
อยากจะพบเจอหน้ากับเธอแล้ว...
ช้าเอิงเอย  ก็คู่กันแล้วก็คงไม่แคล้ว
แต่ว่าฉันก็ใจแป้ว เพราะกลัว ว่าเธอ....เออ..เอย

จะมีใคร ยักคิ้วหลิ่วตา
อยู่ตรงหน้าแล้วสบตา
กลัวว่าเธอจะพลาดท่า เสียที เออ...
ใครยักคิ้วหลิ่วตา
อย่าไปมองนะหลบออกมา
นึกถึงหน้าฉันไว้คนดี เอ่อ เออ
เอ่อ เอย...ก็เธอทำได้หรือเปล่า

ช้าเอิงเอย เอ่อระเหย เหลือเกินเวลา
อยากจะพบเจอหน้ากับเธอแล้ว...
ช้าเอิงเอย  ก็คู่กันแล้วก็คงไม่แคล้ว
แต่ว่าฉันก็ใจแป้ว เพราะกลัว ว่าเธอ....เออ..เอย

จะมีใคร ยักคิ้วหลิ่วตา
อยู่ตรงหน้าแล้วสบตา
กลัวว่าเธอจะพลาดท่า เสียที เออ...
ใครยักคิ้วหลิ่วตา
อย่าไปมองนะหลบออกมา
นึกถึงหน้าฉันไว้คนดี เอ่อ.....

จะมีใคร ยักคิ้วหลิ่วตา
อยู่ตรงหน้าแล้วสบตา
กลัวว่าเธอจะพลาดท่า เสียที เออ...
ใครยักคิ้วหลิ่วตา
อย่าไปมองนะหลบออกมา
นึกถึงหน้าฉันไว้คนดี เอ่อ เออ เอ่อ เอย

ช้าเอิงเอย....ก็เธอทำได้หรือเปล่า
ช้าเอิงเอย.... เอ่อ เออ เอ่อ เอย
ช้าเอิงเอย....ก็เธอทำได้หรือเปล่า
ช้าเอิงเอย....ก็เธอทำได้หรือเปล่า",paowalee
วรรณคดีสีชมพู,/music/thailyric/17398,"ยอมจำนน แล้วคนอย่างเธอ
ต่อให้ใครจะมาเสนอ ก็ไม่คิดจะเปลี่ยนใจ
เจรจา ขอให้เธอได้โปรด เห็นใจ
จงอย่าจากไปไหน ขอให้เรารักกันชั่วนิรันดร์

นานนานจะได้เจอคนดีดี
ได้เป็นฝั่งเป็นฝากันไปสักที
มีลูกทันใช้ ท้ายปีต้นปีไม่หวั่น
และใจของฉันจะไม่เปลี่ยนผัน
ก็ได้แต่หวังเธอจะคิดเช่นกัน
อยากให้ความฝันได้กลายเป็นความจริง
เอ่อ..เอย

ได้โปรดอย่าใจร้าย จากผู้ชายที่แสนดี
กลายเป็นยักษี ลงมือทำร้ายทำลายหัวใจ
หากมีวันใด สองเรานั้นต้องห่างไกล
ให้เธอพกเอารูปของฉันเอาไว้
คอยเตือน คอยย้ำไม่ให้หวั่นไหว เอ่อ..เอย
บอกเขาเลยว่าเธอมีแฟนแล้ว บอกเลยคนดี
และความรักเราที่มี ดั่งวรรณคดีสีชมพู
เอ่อ..เอย เอ่อ..เอ้ย เอ่อ เออ เอ้ย

ใครมามองเธอก็อยากจะแช่งให้ตาบอด
ใครมาคุยกับเธอก็อยากให้น้ำท่วมปอด
แลกเบอร์แลกไลน์ก็ให้กระเป๋าตังหาย
กระวนกระวายจนวิกลจริต

ถ้าเปรียบให้พี่เป็นยักษี วันนี้พี่คิดจะรักษา
พี่จะไม่หลอกน้องเหมือนกับผี จะเป็นเด็กดีที่รักจ๊า
พี่จะไม่ดื้อจะไม่ซน ไม่ต้องกังวลหนักหนา
ถ้าพี่ใกล้สาวเกินรัศมี ยอมโดนคนดีพิพากษา

ถ้าเปรียบให้พี่เป็นปิ่นทอง
น้องคงเป็นแก้วหน้าม้า
ถ้าเปรียบให้พี่ดำเหมือนกับเงาะ
น้องคงจะเหมาะเป็นรจนา
ถ้าเปรียบให้พี่เป็นคาวี
คนดีคงเป็นแม่จันทร์สุดา
วรรณคดียังสีชมพู
แล้ว I กับ You จะเหลืออะไรล่า

ได้โปรดอย่าใจร้าย จากผู้ชายที่แสนดี
กลายเป็นยักษี ลงมือทำร้ายทำลายหัวใจ
หากมีวันใด สองเรานั้นต้องห่างไกล
ให้เธอพกเอารูปของฉันเอาไว้
คอยเตือน คอยย้ำไม่ให้หวั่นไหว เอ่อ..เอย
บอกเขาเลยว่าเธอมีแฟนแล้ว บอกเลยคนดี
และความรักเราที่มี ดั่งวรรณคดีสีชมพู
เอ่อ..เอย เอ่อ..เอ้ย เอ่อ เออ เอ้ย",paowalee
สัญญากับใจ,/music/thailyric/12537,"จะไม่กลับหลังถ้ายังไม่ได้ดี
เอ่ยถ้อยคำนี้ ต่อหน้าแม่พ่อวันจาก
สาบานผ่านฟ้า สัญญาต่อดินถิ่นรัก
ก่อนลามาสู้งานหนัก
ปักหลักสร้างตัวเมืองไกล

เหนื่อยยากแค่ไหนย้ำใจให้ทน
ลำบากเหลือล้น
อยู่ใต้ชายคาเมืองใหญ่
หลายคราวอ่อนล้า
หลับตาเห็นความยากไร้
หนี้สินภาระยิ่งใหญ่
รอให้กลับไปไถ่ถอน

ดั่งนกไร้คอน
บินร่อนในดงคอนกรีต
ละครชีวิต ถูกขีดด้วยความเดือดร้อน
ให้สู้ทุกฉาก จากตื่นถึงหลับตานอน
ปลอบฝันสักวันคืนคอน
เสริมใจให้มีพลัง

จะไม่กลับหลังถ้ายังไม่ได้ดี
เก็บถ้อยคำนี้จดไว้ในใจทุกอย่าง
บอกแม่ให้รอ บอกพ่อให้คอยความหวัง
จะทำให้ฝันถึงฝั่ง
เพื่อถางเส้นทางกลับนา

จะไม่กลับหลังถ้ายังไม่ได้ดี
เก็บถ้อยคำนี้จดไว้ในใจทุกอย่าง
บอกแม่ให้รอ บอกพ่อให้คอยความหวัง
จะทำให้ฝันถึงฝั่ง เพื่อถางเส้นทางกลับนา",paowalee
