song_name,href,lyric,artist
กว่าจะบอกรัก,/music/thailyric/4198,"หยุดระแวงสักพัก หันหน้าคุยกันได้ไหม
ฉันไปทำอะไรผิดร้ายแรงหรือเธอ
แค่ทักทายคนรู้จัก คนคุ้นเคย ไม่ได้มีอะไร
อยากให้ไว้ใจเถอะ ไม่มีทางหวั่นไหว
ในใจมีเธอคนเดียว

ตั้งแต่ฉันบอกเธอว่ารัก ใจฉันก็เป็นของเธอ
กว่าจะบอกคำว่ารัก รู้ไหมฉันคิดมาเสมอ
ต้องดูแล้วว่าใครแม้ดียังไง ก็คงไม่สูงค่าไปกว่าเธอ
ไว้ใจกันเถอะ ได้ไหม

ต่อไปมีอะไร ถามฉันตรงๆได้ไหม
เงียบกันไปก็มีแต่แย่ลงทุกที
แค่ทักทายคนรู้จัก คนคุ้นเคย ไม่ได้มีอะไร
อยากให้ไว้ใจเถอะ ไม่มีทางหวั่นไหว
ในใจมีเธอคนเดียว

ตั้งแต่ฉันบอกเธอว่ารัก ใจฉันก็เป็นของเธอ
กว่าจะบอกคำว่ารัก รู้ไหมฉันคิดมาเสมอ
ต้องดูแล้วว่าใครแม้ดียังไง ก็คงไม่สูงค่าไปกว่าเธอ
ไว้ใจกันเถอะ ได้ไหม

ตั้งแต่ฉันบอกเธอว่ารัก ใจฉันก็เป็นของเธอ
กว่าจะบอกคำว่ารัก รู้ไหมฉันคิดมาเสมอ
ต้องดูแล้วว่าใครแม้ดียังไง ก็คงไม่สูงค่าไปกว่าเธอ
ไว้ใจกันเถอะ ได้ไหม",peacemaker
ข้ออ้าง,/music/thailyric/4199,"ตลอดเวลาที่เราคบกัน มันเหนื่อยไหมเธอ
ไม่ว่าเรื่องอะไรฉันใช้อารมณ์กับเธอทุกที
เธอจะออกไปไหน จะคุยกับใครต้องโวยวายทุกที
ต้องว่าแรงๆต้องอ้างทุกทีเพื่อไม่ให้เธอไปไหน

เหตุผลที่ทำอย่างนั้น ฉันไม่รู้ว่าเพราะอะไร
แต่ที่รู้ฉันเริ่มเเปลกไป ตั้งแต่วันที่มีเธอ
ความจริงคือฉันไม่อยากจะห่างเธอ
แค่วินาทีที่ไม่เจอ ไม่มีเธออยู่ใกล้กัน
โลกก็พลันมืดมิดไม่สดใส
กี่ร้อยพันคำที่พูดไป ที่ฉันนั้นทำให้เสียใจ
มีคำอยู่ข้างใน อยากให้เธอได้ยินว่าฉันรักเธอ

เหตุผลที่ทำอย่างนั้น ฉันไม่รู้ว่าเพราะอะไร
แต่ที่รู้ฉันเริ่มเเปลกไป ตั้งแต่วันที่มีเธอ
ความจริงคือฉันไม่อยากจะห่างเธอ
แค่วินาทีที่ไม่เจอ ไม่มีเธออยู่ใกล้กัน
โลกก็พลันมืดมิดไม่สดใส
กี่ร้อยพันคำที่พูดไป ที่ฉันนั้นทำให้เสียใจ
มีคำอยู่ข้างใน อยากให้เธอได้ยินว่าฉันรักเธอ

ทุกสิ่งที่ทำให้เธอเสียใจและเสียน้ำตา
คำพูดแรงๆที่ฉันใช้ก็คือข้ออ้างกับเธอ
ที่ไม่ให้ออกไปไหน ไม่ให้คุยกับใคร
เพราะไม่อยากให้ใครได้เจอ
ต้องขอโทษเธอเพราะฉันมันคนปากแข็งอย่างนี้

เหตุผลที่ทำอย่างนั้น ฉันไม่รู้ว่าเพราะอะไร
แต่ที่รู้ฉันเริ่มเเปลกไป ตั้งแต่วันที่มีเธอ
ความจริงคือฉันไม่อยากจะห่างเธอ
แค่วินาทีที่ไม่เจอ ไม่มีเธออยู่ใกล้กัน
โลกก็พลันมืดมิดไม่สดใส
กี่ร้อยพันคำที่พูดไป ที่ฉันนั้นทำให้เสียใจ
มีคำอยู่ข้างใน อยากให้เธอได้ยินว่าฉันรักเธอ",peacemaker
ฉันพร้อม,/music/thailyric/4205,"ฉันไม่รู้ว่าเพราะอะไร  อยากรู้ทำไมเธอถึงลังเล
เหมือนลึกๆ เธอมีอะไรซ่อนไว้ในใจ
ฉันไม่รู้ว่าเป็นเพราะฉันหรือมีใครอีกไหม
ที่ทำให้เธอต้องคิดกังวล ไม่กล้าตัดสินใจ

อยากขอให้คิดให้เธอทบทวน
และคิดให้ดีคิดให้นานนาน
ขอเพียงทำตามหัวใจเท่านั้นคงพอให้ตัดสินใจ

คนที่เธอฝันถึงนั้นเป็นใคร
เดือดร้อนเธอต้องการใคร
เมื่อเธอเงียบเหงาเดียวดาย เธอคิดถึงใคร
ยิ่งวันที่เธอไม่ค่อยสบาย ที่เธอคิดถึงน่ะมีฉันไหม
หากไม่ใช่ฉันเลย  ก็คงจบกัน

ขอให้รู้ว่าฉันเต็มใจ  เต็มที่ให้เธอได้ทุกๆอย่าง
ขอให้รู้ว่าไม่มีใครได้ครึ่งของเธอ
ขอให้รู้ว่าตัวฉันพร้อม พร้อมเพื่อเธอเสมอ
หากว่าฉันยังไม่ดีพอ ก็อยากให้เธอพูดมา

อยากขอให้คิดให้เธอทบทวน
และคิดให้ดีคิดให้นานนาน
ขอเพียงทำตามหัวใจเท่านั้นคงพอให้ตัดสินใจ

คนที่เธอฝันถึงนั้นเป็นใคร
เดือดร้อนเธอต้องการใคร
เมื่อเธอเงียบเหงาเดียวดาย เธอคิดถึงใคร
ยิ่งวันที่เธอไม่ค่อยสบาย ที่เธอคิดถึงน่ะมีฉันไหม
หากไม่ใช่ฉันเลย  ก็คงจบกัน

คนที่เธอฝันถึงนั้นเป็นใคร
เดือดร้อนเธอต้องการใคร
เมื่อเธอเงียบเหงาเดียวดาย เธอคิดถึงใคร
ยิ่งวันที่เธอไม่ค่อยสบาย ที่เธอคิดถึงน่ะมีฉันไหม
หากไม่ใช่ฉันเลย ก็คงจบกัน
หากไม่ใช่ฉันเลย จะยอมจากไป",peacemaker
ด้วยความเต็มใจ,/music/thailyric/4208,"ตั้งตัวไม่ทันเมื่อเธอบอกลา เธอกำลังจะไปจากฉัน
ดิ้นรนหนทางจะฉุดจะรั้งเธอ แต่มันไม่มีความหมาย

ก็รู้ดีเจ็บ เหลือเกิน
แต่ถ้าไม่มีเธอ มันก็อยู่ไม่ไหว

เต็มใจจะเจ็บอีกครั้ง ถึงแม้ว่ารักมันทำร้าย
จะยอมจะเป็นจะตายยังไงไม่สำคัญ
เหน็ดเหนื่อยเท่าไหร่ไม่ท้อ ขอมีเธอไว้
ต้องทนต้องทรมานสักเท่าไร ด้วยความเต็มใจฉันยอม

ร้อยพันวิธีที่ใครบอกไว้   จะลองจะทำมันดูทุกทาง
แค่เธอเห็นใจสงสารฉันบ้าง    ยากเย็นเท่าไรฉันพร้อม

ก็รู้ดีเจ็บ เหลือเกิน
แต่ถ้าไม่มีเธอ มันก็อยู่ไม่ไหว

เต็มใจจะเจ็บอีกครั้ง ถึงแม้ว่ารักมันทำร้าย
จะยอมจะเป็นจะตายยังไงไม่สำคัญ
เหน็ดเหนื่อยเท่าไหร่ไม่ท้อ ขอมีเธอไว้
ต้องทนต้องทรมานสักเท่าไร ด้วยความเต็มใจฉันยอม


เต็มใจจะเจ็บอีกครั้ง ถึงแม้ว่ารักมันทำร้าย
จะยอมจะเป็นจะตายยังไงไม่สำคัญ
เหน็ดเหนื่อยเท่าไหร่ไม่ท้อ ขอมีเธอไว้
ต้องทนต้องทรมานสักเท่าไร ด้วยความเต็มใจฉันยอม",peacemaker
พลังชีวิต,/music/thailyric/4215,"ล้มลงกี่ครั้ง ช้ำมากี่หน
เจ็บและทุกข์ทน อยู่กับการแพ้
ท่าทางอ่อนล้า หน้าตาอ่อนแอ
แต่อย่ายอมแพ้ ขอแค่มีกำลังใจ

เมื่ออุปสรรคยังคอย อย่าปล่อยให้มันได้ใจ
รวบรวมพลังเอาไว้ แล้วก้าวไป อย่ากลัว

อย่าบอกว่ายอมแพ้ ถ้ายังมีลมหายใจ
อย่าบอกว่าไม่ไหว ถ้าเรายังมีความฝัน
พลังแห่งชีวิต จะพาไปยังจุดหมายในสักวัน
ความฝันของฉัน ต้องกลายเป็นความจริง

พบความผิดหวัง ที่ทำเราท้อ
แต่จะไม่รอ ให้มันทำร้าย
แม้จะยากเย็น แม้ไกลจุดหมาย
แต่ว่าสุดท้าย เป็นยังไงต้องไปให้ถึงมัน

เมื่ออุปสรรคยังคอย อย่าปล่อยให้มันได้ใจ
รวบรวมพลังเอาไว้ แล้วก้าวไป อย่ากลัว

อย่าบอกว่ายอมแพ้ ถ้ายังมีลมหายใจ
อย่าบอกว่าไม่ไหว ถ้าเรายังมีความฝัน
พลังแห่งชีวิต จะพาไปยังจุดหมายในสักวัน
ความฝันของฉัน ต้องกลายเป็นความจริง

เมื่ออุปสรรคยังคอย อย่าปล่อยให้มันได้ใจ
รวบรวมพลังเอาไว้ แล้วก้าวไป อย่ากลัว

อย่าบอกว่ายอมแพ้ ถ้ายังมีลมหายใจ
อย่าบอกว่าไม่ไหว ถ้าเรายังมีความฝัน
พลังแห่งชีวิต จะพาไปยังจุดหมายในสักวัน
ความฝันของฉัน ต้องกลายเป็นความจริง

อย่าบอกว่ายอมแพ้ ถ้ายังมีลมหายใจ
อย่าบอกว่าไม่ไหว ถ้าเรายังมีความฝัน
พลังแห่งชีวิต จะพาไปยังจุดหมายในสักวัน
ความฝันของฉัน ต้องกลายเป็นความจริง",peacemaker
พูดเรื่องดีๆ (กลัวไม่ดัง),/music/thailyric/4216,"คนทำเป็นว่ารู้ดี เกี่ยวกับชีวิตฉัน
ทำไมมันมากมาย
มันคงจะไม่ข้องใจ หากพวกเขาพูดอะไร
ออกไปตามจริง

หากฉันทำอะไรที่ไม่ดี
จะพูดว่าฉันมันเลวสักแค่ไหน
จะไม่เถียง จะไม่ถาม ไม่แก้ตัวอะไร
แต่ทำไม ใส่ร้ายกันเหลือเกิน

พูดเรื่องดีดี กลัวคุณจะไม่ดังกันหรือไง
ถึงคอยใส่ไฟทำร้ายกัน
ถ้าเรื่องดีดี พูดแล้วคนไม่ฟัง
ขอร้องได้ไหม ไม่พูดอะไร จะดีกว่า

ในบางทีต้องเสียคน กับสิ่งที่ฉัน
ไม่ได้ทำและไม่รู้ตัว
จนบางทีก็คิดกลัว จะไปไหน เดินกับใคร
กังวลทุกครั้ง

หากฉันทำอะไรที่ไม่ดี
จะพูดว่าฉันมันเลวสักแค่ไหน
จะไม่เถียง จะไม่ถาม ไม่แก้ตัวอะไร
แต่ทำไม ใส่ร้ายกันเหลือเกิน

พูดเรื่องดีดี กลัวคุณจะไม่ดังกันหรือไง
ถึงคอยใส่ไฟทำร้ายกัน
ถ้าเรื่องดีดี พูดแล้วคนไม่ฟัง
ขอร้องได้ไหม ไม่พูดอะไร จะดีกว่า

พูดเรื่องดีดี กลัวคุณจะไม่ดังกันหรือไง
ถึงคอยใส่ไฟทำร้ายกัน
ถ้าเรื่องดีดี พูดแล้วคนไม่ฟัง
ขอร้องได้ไหม ไม่พูดอะไร

พูดเรื่องดีดี กลัวคุณจะไม่ดังกันหรือไง
ถึงคอยใส่ไฟทำร้ายกัน
ถ้าเรื่องดีดี พูดแล้วคนไม่ฟัง
ขอร้องได้ไหม เงียบเงียบไปเลยจะดีกว่า",peacemaker
รูปถ่ายที่หายไป,/music/thailyric/4219,"นั่งค้นรูปภาพที่เราเคยถ่ายไว้
ก็พบรูปภาพที่ทำให้น้ำตาไหล
ถ่ายมาด้วยกันสองใบเก็บไว้ที่เธอและฉัน
แต่หนึ่งใบนั้น ที่เคยผูกพันธ์มันได้หายไป

ไม่อยากให้เธอลืมภาพนั้น
ที่ฉันก็ยังไม่เคยลืมมัน
วันผ่านไป แต่ในใจยังคงจะเหมือนเดิม
จำได้ไหมมาทบมาทวนอีกทีได้ไหม
รูปที่หายไป อยากให้มันคืนมาตรงนี้
คู่กันเหมือนวันเก่า

ทุกที่ที่ไป ฉันยังจดจำไว้
และรูปที่ถ่ายก็ยังเก็บไว้อย่างดี
ถ่ายมาด้วยกันสองใบเก็บไว้ที่เธอและฉัน
แต่หนึ่งใบนั้น ที่เคยผูกพันธ์มันได้หายไป

ไม่อยากให้เธอลืมภาพนั้น
ที่ฉันก็ยังไม่เคยลืมมัน
วันผ่านไป แต่ในใจยังคงจะเหมือนเดิม
จำได้ไหมมาทบมาทวนอีกทีได้ไหม
รูปที่หายไป อยากให้มันคืนมาตรงนี้
คู่กันเหมือนวันเก่า

ถ่ายมาด้วยกันสองใบเก็บไว้ที่เธอและฉัน
แต่หนึ่งใบนั้น ที่เคยผูกพันธ์มันได้หายไป

ไม่อยากให้เธอลืมภาพนั้น
ที่ฉันก็ยังไม่เคยลืมมัน
วันผ่านไป แต่ในใจยังคงจะเหมือนเดิม
จำได้ไหมมาทบมาทวนอีกทีได้ไหม
รูปที่หายไป อยากให้มันคืนมาตรงนี้
คู่กันเหมือนวันเก่า",peacemaker
อยู่อย่างเหงาเหงา,/music/thailyric/4226,"รู้สึกบ้างไหม ทำไมเดี๋ยวนี้ เราไม่ค่อยยอมกัน
ไม่ค่อยแคร์กันเท่าไร
รู้สึกบ้างไหมทำไม เดี๋ยวนี้ เดินไม่ค่อยจูงมือ
ไม่เชื่อถือในคำพูดกัน

เหมือนรักเรากำลัง อิ่มตัวแล้ว
ฉันว่าเราควรอย่าพบกันพักนึง

อยู่อย่างเหงาๆ เราคงจะได้รู้
ขาดกันไปจะทนได้ไหม หากไม่มีกันอยู่
อยู่อย่างเหงาๆ บางที จะได้รู้
หากมีใครบางคนเข้ามา จะได้ลองคิดดู
ว่าใจเราต้องการเขาไหม หรือ ว่าใจยังคงโหยหา
อยากกลับมา เพื่อรักกันเหมือนเดิม

แค่ห่างกันดู ให้เธอรู้ไว้ มันไม่ใช่เลิกกัน
แค่ให้ถอยไปปรับตัว
ถ้าหากยังมัวมาเจอซ้ำๆ ทำ ทุกวันเหมือนเดิม
ยิ่งซ้ำเติมในรอยหมางกัน

เหมือนรักเรากำลัง อิ่มตัวแล้ว
ฉันว่าเราควรอย่าพบกันพักนึง

อยู่อย่างเหงาๆ เราคงจะได้รู้
ขาดกันไปจะทนได้ไหม หากไม่มีกันอยู่
อยู่อย่างเหงาๆ บางที จะได้รู้
หากมีใครบางคนเข้ามา จะได้ลองคิดดู
ว่าใจเราต้องการเขาไหม หรือ ว่าใจยังคงโหยหา
อยากกลับมา เพื่อรักกันเหมือนเดิม

อยู่อย่างเหงาๆ เราคงจะได้รู้
ขาดกันไปจะทนได้ไหม หากไม่มีกันอยู่
อยู่อย่างเหงาๆ บางที จะได้รู้
หากมีใครบางคนเข้ามา จะได้ลองคิดดู
ว่าใจเราต้องการเขาไหม หรือ ว่าใจยังคงโหยหา
อยากกลับมา เพื่อรักกันเหมือนเดิม",peacemaker
คิดถึง,/music/thailyric/4201,"หลับตาลงยังรู้สึก ท่ามกลางความอ้างว้างในหัวใจ
ค่ำคืนยาวนาน กับความเดียวดาย และลมหายใจที่ว่างเปล่า

อยากให้เธอได้สัมผัส กับความห่วงใยที่มีให้เธอ
ได้ยินเสียงของพระจันทร์ที่กล่อมเธอฝันดี ให้เธอได้รู้ตลอดไป

ว่าทุกเวลา ที่เราห่างกันแสนไกล ยังมีอีกคำในหัวใจ
ที่จะบอกเธอ ให้เธอได้รู้และเข้าใจ
ว่าคิดถึงเธอ เมื่อเราห่างกันแสนไกล มีคำหนึ่งคำจะพูดไป
ให้เธอได้รู้ จะแทนความหมายความห่วงใย ฉันคิดถึงเธอ

อยากให้เธอได้สัมผัส กับความห่วงใยที่มีให้เธอ
ได้ยินเสียงของพระจันทร์ที่กล่อมเธอฝันดี ให้เธอได้รู้ตลอดไป

อยากให้เธอได้สัมผัส กับความห่วงใยที่มีให้เธอ
ได้ยินเสียงของพระจันทร์ที่กล่อมเธอฝันดี ให้เธอได้รู้ตลอดไป

ว่าทุกเวลา ที่เราห่างกันแสนไกล ยังมีอีกคำในหัวใจ
ที่จะบอกเธอ ให้เธอได้รู้และเข้าใจ
ว่าคิดถึงเธอ เมื่อเราห่างกันแสนไกล มีคำหนึ่งคำจะพูดไป
ให้เธอได้รู้ จะแทนความหมายความห่วงใย ฉันคิดถึงเธอ

ก็ฉันมีเพียงเธอ",peacemaker
อย่าคิดเลย,/music/thailyric/4225,"รู้ฉันรู้และเห็นเธอปวดร้าว ในใจเธอคิดถึงแต่เขา เพราะรักครั้งนั้นเธอยังไม่ลืมมันไป
จะกี่ทีที่เราพบกัน ฉันก็เห็นรอยน้ำตา และเธอก็ยังเสียใจ

เห็นฉันเห็นทุกครั้งที่เธอเหงา ใจเธอวนเวียนถึงแต่เขา เฝ้าคิดว่าเขาทำไมต้องจากเธอไป
บอกกับเธอให้เธอรับฟัง เพราะฉันรักและเป็นห่วง ไม่อยากให้เธอเสียใจ

หากเธอยิ่งคิดแล้วยิ่งต้องเสียใจต้องร้องไห้ ติดกับความคิดที่เธอปวดร้าวยิ่งช้ำใจ
หากเป็นอย่างนั้นไม่คิดไม่คิดถึงมันจะดีกว่าไหม ปล่อยใจเธอหยุดพัก อยู่กับฉันแค่สักวัน(อย่าคิดเลย)

เรื่องร้ายๆนั้นคิดแล้วเจ็บช้ำ เหมือนๆย้ำแผลเดิมอีกครั้ง ให้ยิ่งชอกช้ำจนเธอหมดกำลังใจ
เก็บเวลาที่เธอเสียใจ ขอเริ่มต้นมองวันใหม่ จะมีฉันอยู่ข้างเธอ

หากเธอยิ่งคิดแล้วยิ่งต้องเสียใจต้องร้องไห้ ติดกับความคิดที่เธอปวดร้าวยิ่งช้ำใจ
หากเป็นอย่างนั้นไม่คิดไม่คิดถึงมันจะดีกว่าไหม ปล่อยใจเธอหยุดพัก อยู่กับฉันแค่สักวัน(อย่าคิดเลย)

อย่าคิดเลย อย่าคิดเลย อย่าคิดเลย

หากเธอยิ่งคิดแล้วยิ่งต้องเสียใจต้องร้องไห้ ติดกับความคิดที่เธอปวดร้าวยิ่งช้ำใจ
หากเป็นอย่างนั้นไม่คิดไม่คิดถึงมันจะดีกว่าไหม ปล่อยใจเธอหยุดพัก อยู่กับฉันแค่สักวัน(อย่าคิดเลย)

หากเธอยิ่งคิดแล้วยิ่งต้องเสียใจต้องร้องไห้ ติดกับความคิดที่เธอปวดร้าวยิ่งช้ำใจ
หากเป็นอย่างนั้นไม่คิดไม่คิดถึงมันจะดีกว่าไหม ปล่อยใจเธอหยุดพัก อยู่กับฉันแค่สักวัน(อย่าคิดเลย)

อย่าคิดเลย",peacemaker
