song_name,href,lyric,artist
การ์ดใบหนึ่ง,/music/thailyric/3622,"เธอคงสับสนและคงแปลกใจ
การ์ดใบหนึ่งในมือ ไม่ได้ลงชื่อว่าเป็นใคร
อ่านแล้วเป็นข้อความในใจ
เขียนสั้นๆว่าฉันแอบรักเธอ

เพียงเธอได้รู้ ว่ามีคนหนึ่ง เฝ้ามองเธอมานาน
แต่เธอไม่เคยสนใจอะไร
จากนั้นถ้าเธอยังอยากเก็บมันไว้
หรือจะโยนทิ้งมันไป ก็คงแล้วแต่เธอ

ขอโอกาสการ์ดใบหนึ่ง พูดบางคำจากหัวใจ
ไม่ขออะไรมากมาย แค่ขอระบายออกมา
แค่กระดาษ แค่ใบหนึ่ง
ให้เธอมองด้วยสายตา สองสามนาทีพอแล้ว
ไม่ต้องการรบกวนมากไปกว่านี้เลย

เธอคงสับสนและคงแปลกใจ การ์ดใบนั้นในมือ
ไม่มีลายเซ็น ว่าชื่ออะไร
อ่านแล้วถ้าเธอยังอยากเก็บมันไว้
หรือจะโยนทิ้งมันไป ก็คง แล้วแต่เธอ

ขอโอกาสการ์ดใบหนึ่ง พูดบางคำจากหัวใจ
ไม่ขออะไรมากมาย แค่ขอระบายออกมา
แค่กระดาษ แค่ใบหนึ่ง
ให้เธอมองด้วยสายตา สองสามนาทีพอแล้ว
ไม่ต้องการรบกวนมากไปกว่านี้เลย

แค่เป็นอะไรที่ไม่สำคัญ
แค่คำในหัวใจ คำหนึ่งเท่านั้น (โว้ โว โฮ...)

ขอโอกาสการ์ดใบหนึ่ง พูดบางคำจากหัวใจ
ไม่ขออะไรมากมาย แค่ขอระบายออกมา
แค่กระดาษ แค่ใบหนึ่ง
ให้เธอมองด้วยสายตา สองสามนาทีพอแล้ว
ไม่ต้องการรบกวนมากไปกว่านี้เลย (โว้ โว โฮ...)

ขอเพียงแค่เท่านั้น ฉันก็คง...นอนหลับฝันดี",peck_palitchoke
จูบลาแทนคำว่าเสียใจ,/music/thailyric/3626,"ไม่ควรพูดย้ำ เรื่องเดิมซ้ำๆ
ตอกย้ำว่าเธอผิด ที่คิดทิ้งฉันไป
ฉันพอรับไหว ถึงแม้เจ็บปวด
รวดร้าวซักเท่าไร ไม่คิดโทษเธอ

ก็พอเข้าใจ ที่เธอเปลี่ยนไป
จะไม่รักฉัน เพราะเขาคนนั้น
คงดีกว่าฉัน ต่างกันต่างมากมาย
แต่ก่อนจะจากลา ช่วยมองหน้ากันจำคำนี้ไว้
เมื่อเธอไม่รักไม่ได้แปลว่าผิดมากมาย

หยุดบอกซ้ำๆว่าเธอเสียใจ จูบลาแทนได้ไหม
ให้ได้มองหน้าเธอครั้งสุดท้าย ก่อนจะแยกทาง
ช่วยจูบลากันอีกสักครั้ง จูบตรงใจฉันถ้าไม่ลำบาก
อีกครั้งช่วยทำให้คนเคยรักกัน

ฝีนใจยิ้มรับ แม้ใจชอกช้ำ
ปล่อยรักให้มันจบ สุดท้ายไม่เหลือใคร
ต้องยอมทำใจ ไม่ขวางทางเธอ
เมื่อเธอนั้นได้เจอะ กับรักที่ดี

ก็พอเข้าใจ ที่เธอเปลี่ยนไป
จะไม่รักฉัน เพราะเขาคนนั้น
คงดีกว่าฉัน ต่างกันต่างมากมาย
แต่ก่อนจะจากลา ช่วยมองหน้ากันจำคำนี้ไว้
เมื่อเธอไม่รักไม่ได้แปลว่าผิดมากมาย

หยุดบอกซ้ำๆว่าเธอเสียใจ จูบลาแทนได้ไหม
ให้ได้มองหน้าเธอครั้งสุดท้าย ก่อนจะแยกทาง
ช่วยจูบลากันอีกสักครั้ง จูบตรงใจฉันถ้าไม่ลำบาก
อีกครั้งช่วยทำให้คนเคยรักกัน

จูบลาเพื่อจำว่าเราเคยรักกัน
แม้อีกนานฉันจะรักไม่แปรเปลี่ยน
และยังจะรอถ้าเธอต้องการ

หยุดบอกซ้ำๆว่าเธอเสียใจ จูบลาแทนได้ไหม
ให้ได้มองหน้าเธอครั้งสุดท้าย ก่อนจะแยกทาง
ช่วยจูบลากันอีกสักครั้ง จูบตรงใจฉันถ้าไม่ลำบาก
อีกครั้งช่วยทำให้คนเคยรักกัน",peck_palitchoke
หมดใจ,/music/thailyric/3640,"จากคนที่เคยผูกพัน จากวันที่เข้าใจกัน
วันนี้ทำไมเปลี่ยนไปง่ายดาย
ยิ่งนานก็ยิ่งเห็น ว่าเธอไม่พอใจ
จะทำอะไรไม่เคยถูกใจสักที

อยากจะรู้ว่ามันเพราะอะไร
ที่ทำให้เธอวุ่นวายใจขนาดนี้
บอกมาเลยก็เธอนั้นรู้ดี
ว่าฉันคนนี้นั้นควรจะทำเช่นไร

ถ้าเธอหมดใจ ทุ่มให้เธอย่างไร ก็คงไร้ค่า
ยิ่งไค้วคว้าก็เท่ากับสร้างปัญหา
ให้ไกลออกไปทุกที
ให้ตัดใจจากเธอก็ทำไมไหว
จึงต้องการเป็นอย่างนี้
แล้วฉันก็รู้ตัวดีว่าในวันนี้
เป็นเพียงคนไม่มีค่า

เพราะฉันไม่ดีใช่ไหม เธอจึงหมางเมินไป
หรือเพราะว่า เธอเผื่อใจให้ใคร
ถ้ามันเป็นอย่างนั้น ก็ควรทิ้งกันไป
จะกลัวอะไรเมื่อเธอจะไม่รักกัน

อยากจะรู้ว่ามันเพราะอะไร
ที่ทำให้เธอวุ่นวายใจขนาดนี้
บอกมาเลยก็เธอนั้นรู้ดี
ว่าฉันคนนี้นั้นควรจะอยู่หรือไป

ถ้าเธอหมดใจ ทุ่มให้เธอย่างไรก็คงไร้ค่า
ยิ่งไค้วคว้าก็เท่ากับสร้างปัญหา
ให้ไกลออกไปทุกที
ให้ตัดใจจากเธอก็ทำไมไหว
จึงต้องการเป็นอย่างนี้
แล้วฉันก็รู้ตัวดีว่าในวันนี้
เป็นเพียงคนไม่มีค่า

ถ้าเธอหมดใจ ทุ่มให้เธอย่างไรก็คงไร้ค่า
ยิ่งไค้วคว้าก็เท่ากับสร้างปัญหา
ให้ไกลออกไปทุกที
ให้ตัดใจจากเธอก็ทำไมไหว
จึงต้องการเป็นอย่างนี้
แล้วฉันก็รู้ตัวดีว่าในวันนี้
เป็นเพียงคนไม่มีค่า",peck_palitchoke
ความลับ,/music/thailyric/9298,"มีความลับที่เก็บไว้ อยู่ในใจมานานแสนนาน
เป็นความลับที่เก็บไว้ ให้เธอคนสำคัญ
ตัวเธอนั้นคงไม่รู้ ว่าใครต้องทรมาน
คนแอบรัก เพ้อไปทุกวัน
มันอยากบอกให้เธอได้รู้

ตอนเธอเข้ามา วันที่ตาเธอได้มองฉัน
มันทำให้ใจ ที่ข้างในมันเพ้อฝัน
ทนมาอยู่นาน ทรมานเกินกว่า
ตัวฉันฝืนทนเก็บไว้

อยากให้เธอได้รู้ เรื่องที่อยู่ในใจ
อยากให้เธอได้ฟัง คำว่ารักมากเท่าไร
อยากให้เธอได้เห็น ว่าในความจริงใจ
ที่ฉันมีให้เธอแค่ไหน

หากว่าเธอได้รู้ เรื่องที่อยู่ในใจ
หากว่าเธอได้ฟัง ว่าฉันรักเธอเท่าไร
จะเป็นอย่างฉันหรือเปล่า อยากรู้

ใจมีฉันอยู่บ้างไหม ที่เรามาใกล้ชิดกัน
ในวันนี้ ฉันเพียงต้องการ
แลกเปลี่ยนสิ่งที่เธอไม่รู้

ตอนเธอเข้ามา วันที่ตาเธอได้มองฉัน
มันทำให้ใจ ที่ข้างในมันเพ้อฝัน
ทนมาอยู่นาน ทรมานเกินกว่า
ตัวฉันฝืนทนเก็บไว้

อยากให้เธอได้รู้ เรื่องที่อยู่ในใจ
อยากให้เธอได้ฟัง คำว่ารักมากเท่าไร
อยากให้เธอได้เห็น ว่าในความจริงใจ
ที่ฉันมีให้เธอแค่ไหน

หากว่าเธอได้รู้ เรื่องที่อยู่ในใจ
หากว่าเธอได้ฟัง ว่าฉันรักเธอเท่าไร
จะเป็นอย่างฉันหรือเปล่า อยากรู้ ฮู้ว

หากฉันไม่ใช่ จะได้เตรียมหัวใจให้พร้อม
แต่ถ้าความลับเธอ คือรักเหมือนกันจะยอม
หยุดที่เธอคนเดียวเสมอไป จบตรงนี้ กับคนนี้

อยากให้เธอได้รู้ เรื่องที่อยู่ในใจ
อยากให้เธอได้ฟัง คำว่ารักมากเท่าไร
อยากให้เธอได้เห็น ว่าในความจริงใจ
ที่ฉันมีให้เธอแค่ไหน

หากว่าเธอได้รู้ เรื่องที่อยู่ในใจ
หากว่าเธอได้ฟัง ว่าฉันรักเธอเท่าไร
จะเป็นอย่างฉันหรือเปล่า

จะเป็นดั่งฝันหรือเปล่า จะมีวันนั้นหรือเปล่า อยากรู้",peck_palitchoke
ถูกคนแล้ว,/music/thailyric/8777,"จะบอกเธอไปวันนั้นก็กลัวไม่ดี
จะบอกเธอเมื่อวานนี้มันก็หวั่นไหว
แต่หากจะบอกพรุ่งนี้ใจมันก็กลัวว่าจะสาย

บรรยากาศคืนนี้เหมือนเป็นใจให้แล้ว
มีเพียงแต่เราแค่สองคนตามลำพัง
โอกาสอย่างนี้ไม่รู้ว่าจะได้มีอีกเมื่อไร

นี่ถูกเวลาหรือยัง ถ้าหากจะขอพูดคำในใจให้เธอได้ฟัง
ถ้าหากจะพูดว่าฉันรักเธอ เธอว่าควรหรือยัง
แต่กับตัวฉันมั่นใจว่าที่พูดไป ถูกคนแล้ว

ดีหรือยัง ถ้าหากจะขอพูดคำในใจให้เธอได้ฟัง
ถ้าหากจะพูดว่าฉันรักเธอ เธอว่าควรหรือยัง
แต่กับตัวฉันมั่นใจว่าที่พูดไป ถูกคนแล้ว

ทุกอย่างที่อยากบอกนั้นมันจริงจากใจ
ถ้าหากไม่ถูกใจแกล้งลืมๆ ไปซะ
ก็ทำๆ แบบว่าฉันและเธอไม่เคยพูดเรื่องนี้

เพียงแต่ว่าคืนนี้เหมือนเป็นใจให้แล้ว
มีเพียงแต่เราแค่สองคนตามลำพัง
โอกาสอย่างนี้ไม่รู้ว่าจะได้มีอีกเมื่อไร

ถูกเวลาหรือยัง ถ้าหากจะขอพูดคำในใจให้เธอได้ฟัง
ถ้าหากจะพูดว่าฉันรักเธอ เธอว่าควรหรือยัง
แต่กับตัวฉันมั่นใจว่าที่พูดไป ถูกคนแล้ว

ดีหรือยัง ถ้าหากจะขอพูดคำในใจให้เธอได้ฟัง
ถ้าหากจะพูดว่าฉันรักเธอ เธอว่าควรหรือยัง
แต่กับตัวฉันมั่นใจว่าที่พูดไป ถูกคนแล้ว

ถูกเวลาหรือยัง ถ้าหากจะขอพูดคำในใจให้เธอได้ฟัง
ถ้าหากจะพูดว่าฉันรักเธอ เธอว่าควรหรือยัง
แต่กับตัวฉันมั่นใจว่าที่พูดไป ถูกคนแล้ว

ดีหรือยัง ถ้าหากจะขอพูดคำในใจให้เธอได้ฟัง
ถ้าหากจะพูดว่าฉันรักเธอ เธอว่าควรหรือยัง
แต่กับตัวฉันมั่นใจว่าที่พูดไป ถูกคนแล้ว",peck_palitchoke
แพ้ตัวเอง,/music/thailyric/9299,"แพ้ตัวเอง ทุกทีที่มองฟ้า
เสียน้ำตา ทุกทีที่มองเห็นดวงดาว
เหงาทุกที ที่มองภาพของเรา
ไม่เคยลืม เรื่องราวที่ต้องเสียเธอไป

เจ็บทุกครั้ง ที่ต้องเจอเรื่องเดิมๆ
ปวดทุกครั้ง เมื่อมีคนถามว่าเธอไปที่ไหนทำไม
แค่ลมพัดเบาๆ ยังสะท้านยังเจ็บถึงขั้วหัวใจทุกครั้ง

จบไปแล้ว จบไปแล้ว จะมัวคิดอะไร
เธอไปแล้ว จากไปแล้ว ทำไมฉันยังไม่ตัดใจ
รู้ๆ กันอยู่เต็มหัวใจ ว่าไม่มีทาง จะเหมือนเดิม
คนมันรัก คนมันรัก ก็ยังรักหมดใจ
คนไม่รัก คนไม่รัก ยังไงเขาคงต้องจากไป
ทั้งๆ ที่ก็รู้ทั้งใจ ว่าไม่มีทาง จะได้เธอคืนกลับมา

ที่เดิมๆ ของเรามันตอกย้ำ
เสียงดนตรี เสียงเพลงยิ่งทำให้เศร้าใจ
เสียงทะเล เสียงลมบาดหัวใจ
ไม่มีเธอสักคน โหดร้ายเสียเหลือเกิน

เจ็บทุกครั้ง ที่ต้องเจอเรื่องเดิมๆ
ปวดทุกครั้ง เมื่อมีคนถามว่าเธอไปที่ไหนทำไม
แค่ลมพัดเบาๆ ยังสะท้านยังเจ็บถึงขั้วหัวใจทุกครั้ง

จบไปแล้ว จบไปแล้ว จะมัวคิดอะไร
เธอไปแล้ว จากไปแล้ว ทำไมฉันยังไม่ตัดใจ
รู้ๆ กันอยู่เต็มหัวใจ ว่าไม่มีทาง จะเหมือนเดิม
คนมันรัก คนมันรัก ก็ยังรักหมดใจ
คนไม่รัก คนไม่รัก ยังไงเขาคงต้องจากไป
ทั้งๆ ที่ก็รู้ทั้งใจ ว่าไม่มีทาง จะได้เธอคืนกลับมา

จบไปแล้ว จบไปแล้ว จะมัวคิดอะไร
เธอไปแล้ว จากไปแล้ว ทำไมฉันยังไม่ตัดใจ
รู้ๆ กันอยู่เต็มหัวใจ ว่าไม่มีทาง จะทำให้เธอคืนกลับมา",peck_palitchoke
ไม่รัก อย่าฝืน,/music/thailyric/9305,"จับมือเธอทีไร หัวใจมันหวั่นมันหวาดระแวง
ยิ่งใกล้เท่าไรหัวใจก็ยิ่ง ได้เจออาการที่ทิ่มแทง
กอดที่เธอจำใจ สายตาเบื่อๆ ที่เธอมองมา
ทุกทุกสัมผัส มันทำให้ฉันรู้สึก
ไม่ช้าก็เร็วคงเลิกรา

นาทีนี้ ฉันขอให้คุยด้วยหัวใจ
แม้ไม่พร้อม แต่ฉันจะยอมให้ทิ้งไป

ถ้าไม่รักก็ไม่ต้องฝืน ไม่ต้องรักษาน้ำใจ
ไม่เป็นไร ฉันไม่เป็นไร
หรือถ้าเป็น เธอก็อย่าสนใจ
ถ้าพรุ่งนี้มีใครเขาถาม ว่าทำไมเธอไม่มีฉัน
ให้พูดว่าฉัน ทิ้งเธอก็ได้
ถ้าใครมาถามฉันก็จะตอบ เหมือนเธอ

เธอยังรักฉันไหม เดี๋ยวนี้เธอตอบไม่ได้ทันที
คอยตอบอะไรเลี่ยงไปตลอด
หรือไม่ก็ตอบแบบขอไปที
เธอยังรักฉันไหม ที่จริงไม่น่าจะถามเธอเลย
รู้ว่าคำตอบในใจไม่ตรงกับปาก
แต่ฉันก็ยังอยากถามเธอ

นาทีนี้ ฉันขอให้คุยด้วยหัวใจ
แม้ไม่พร้อม แต่ฉันจะยอมให้ทิ้งไป

ถ้าไม่รักก็ไม่ต้องฝืน ไม่ต้องรักษาน้ำใจ
ไม่เป็นไร ฉันไม่เป็นไร
หรือถ้าเป็น เธอก็อย่าสนใจ
ถ้าพรุ่งนี้มีใครเขาถาม ว่าทำไมเธอไม่มีฉัน
ให้พูดว่าฉัน ทิ้งเธอก็ได้
ถ้าใครมาถามฉัน ก็จะตอบเหมือนเธอ

ถ้าไม่รักก็ไม่ต้องฝืน ไม่ต้องรักษาน้ำใจ
ไม่เป็นไร ฉันไม่เป็นไร
หรือถ้าเป็น เธอก็อย่าสนใจ
ถ้าพรุ่งนี้มีใครเขาถาม ว่าทำไมเธอไม่มีฉัน
ให้พูดว่าฉัน ทิ้งเธอก็ได้
ถ้าใครมาถามฉัน ก็จะตอบเหมือนเธอ",peck_palitchoke
แล้วแต่หัวใจเธอ,/music/thailyric/8959,"ถามตัวเองกี่ครั้ง หัวใจก็ตอบว่ายังรักเธอ
และบางทีเผลอ ก็นึกถึงเธอขึ้นมา
นึกแล้วฉันก็ยังเสียดาย ที่เราต้องมาเลิกรา
แต่เรื่องโชคชะตา ไม่รู้จะฝืนยังไง

อย่างน้อย เราเคยรักกัน
อย่างน้อย เธอเคยรักฉันใช่ไหม
อย่างน้อย อย่างน้อยน้อย
เราก็เคยรักกันมากมาย

เธอคิดถึงฉันบ้างหรือเปล่า
ฉันไม่กล้าถามเธออย่างนั้น
ไม่ใช่วันเวลาของฉัน
แต่ช่างเถอะเรื่องนั้นฉันไม่สนใจ
ความคิดถึงของฉัน
แค่เธอรับรู้และเธอแค่รับมันไว้
เธอคิดถึงฉันไหม ก็แล้วแต่หัวใจเธอ

เพราะว่าเราจบแล้ว แม้ไม่ได้จากกันไปด้วยดี
แต่มาถึงวันนี้ ถือว่าไม่ติดค้างกัน
ฉันเลือกจำแค่เรื่องที่ดี ไว้ยิ้มเมื่อนึกถึงมัน
ที่ไม่ดีต่อกัน ไม่รู้จะจำทำไม

อย่างน้อย เราเคยรักกัน
อย่างน้อย เธอเคยรักฉันใช่ไหม
อย่างน้อย อย่างน้อยน้อย
เราก็เคยรักกันมากมาย

เธอคิดถึงฉันบ้างหรือเปล่า
ฉันไม่กล้าถามเธออย่างนั้น
ไม่ใช่วันเวลาของฉัน
แต่ช่างเถอะเรื่องนั้นฉันไม่สนใจ
ความคิดถึงของฉัน
แค่เธอรับรู้ และเธอแค่รับมันไว้
เธอคิดถึงฉันไหม ก็แล้วแต่หัวใจเธอ

เธอคิดถึงฉันบ้างหรือเปล่า
ฉันไม่กล้าถามเธออย่างนั้น
ไม่ใช่วันเวลาของฉัน
แต่ช่างเถอะเรื่องนั้นฉันไม่สนใจ
ความคิดถึงของฉัน
แค่เธอรับรู้ และเธอแค่รับมันไว้
เธอคิดถึงฉันไหม ก็แล้วแต่หัวใจเธอ",peck_palitchoke
สัญญาไม่เป็นสัญญา,/music/thailyric/8884,"ผิดก็รู้ที่มารบกวนเธอ
ไม่ตั้งใจก็ลืมว่าไม่รักกัน
ก็มันคุ้นกับการต้องคุยกับเธอทุกวัน
ฉันเสียใจอยากจะขอโทษจริงๆ

สัญญาไม่เป็นสัญญา สัญญาแต่ฉันก็ทำ
ไม่รู้ว่าอีกนานเท่าไรจะบังคับหัวใจได้สักที
สัญญาจะไปให้ไกล
สัญญาอย่างไรก็ต้องคืนคำอย่างนี้ทุกที
เพราะหัวใจยังรักเธอ

อย่าเกลียดฉันเลยนะคนดี
ที่ไม่ทำตามที่เคยพูดไป
เอ่ยปากไว้จะหายไปให้เธอได้ลืม
แค่ไม่นานก็ต้องแพ้ตัวเอง

สัญญาไม่เป็นสัญญาสัญญาแต่ฉันก็ทำ
ไม่รู้ว่าอีกนานเท่าไรจะบังคับหัวใจได้สักที
สัญญาจะไปให้ไกล
สัญญาอย่างไรก็ต้องคืนคำอย่างนี้ทุกที

อีกนานไหมหัวใจมันจะแกร่งพอสักที
ไม่อยากเป็นคนที่ไม่ดีที่มันผิดสัญญา
อย่างที่ฉันเคยบอกไว้ตอนที่เราเลิกกัน
ฉันเองที่มันไม่ดีที่ยังรัก

สัญญาไม่เป็นสัญญา สัญญาแต่ฉันก็ทำ
ไม่รู้ว่าอีกนานเท่าไรจะบังคับหัวใจได้สักที
สัญญาจะไปให้ไกล
สัญญาอย่างไรก็ต้องคืนคำอย่างนี้ทุกที
เพราะหัวใจยังรัก

สัญญาไม่เป็นสัญญา สัญญาแต่ฉันก็ทำ
ไม่รู้ว่าอีกนานเท่าไรจะบังคับหัวใจได้สักที
สัญญาจะไปให้ไกล
สัญญาอย่างไรก็ต้องคืนคำอย่างนี้ทุกที
เพราะหัวใจยังรักเธอ",peck_palitchoke
ติดใจ,/music/thailyric/3631,"ขอโทษนะเธอ ที่วันนี้ต้องมา
ช่วยเสียเวลา ตอบคำถามสักคำ
ในใจจริงไม่ได้อยากมา
อยากทำให้เธอนั้นรำคาญ
แต่ความกดดัน มันบีบคั้นหัวใจ

เพราะรักเรา ที่เคยดูสวยงาม
วันนี้มัน มีแต่ความห่างไกล
โทรไปหาก็ไม่เคยรับ
กี่วันแล้วที่เธอหายไป
เธอรู้ใช่ไหมทำไมถึงเป็นเช่นนี้

ติดใจใครหรือคนดี
ติดใจใครหรือคนดี
จนลืมคนนี้ ที่รักเธอหมดใจ
ติดใจใครหรือคนดี
ปิดบังใครอยู่ในหัวใจ
บอกฉันได้ไหม
จะได้เตรียมใจไว้เจ็บ

ไม่ว่าอะไร ขอให้เธอพูดมา
ถึงเสียน้ำตา ก็ต้องการอยากรู้
กับเหตุผลที่เธอห่างหาย
บอกเลยอย่าทำนิ่งเฉยอยู่
ให้ฉันได้รู้ ความเป็นจริงซักที

เพราะรักเรา ที่เคยดูสวยงาม
วันนี้มัน มีแต่ความห่างไกล
โทรไปหาก็ไม่เคยรับ
กี่วันแล้วที่เธอหายไป
เธอรู้ใช่ไหมทำไมถึงเป็นเช่นนี้

ติดใจใครหรือคนดี
ติดใจใครหรือคนดี
จนลืมคนนี้ ที่รักเธอหมดใจ
ติดใจใครหรือคนดี
ปิดบังใครอยู่ในหัวใจ
บอกฉันได้ไหม
จะได้เตรียมใจไว้เจ็บ

ติดใจใครหรือคนดี
ติดใจใครหรือคนดี
จนลืมคนนี้ ที่รักเธอหมดใจ
ติดใจใครหรือคนดี
ปิดบังใครอยู่ในหัวใจ
บอกฉันได้ไหม
จะได้เตรียมใจไว้เจ็บ

ถ้าเธอมีใครจะได้เตรียมใจไว้เจ็บ",peck_palitchoke
