song_name,href,lyric,artist
มากกว่ารัก,/music/thailyric/4227,"คนเคยเหงา เคยรู้สึกเหว่ว้า
เคยมองหาความรักนั้นมันอยู่ที่ใด
โลกใบใหญ่เหลือเกิน
มีผู้คนอยู่มากมาย
แต่หัวใจมันกลับเหงาขึ้นทุกที
แต่เมื่อฉันได้พบกับเธอ
สิ่งที่เธอให้ฉันไม่รู้มันคืออะไร
โลกใบใหญ่ใบเดิม
กลับไม่เคยต้องเหงาใจ
แค่ฉันนั้นยังมีเธออยู่ตรงนี้

เธอเป็นมากกว่ารัก
เพราะเธอนั้นคือครึ่งชีวิต
ฉันใช้เวลาทั้งชีวิตเพื่อตามหา
และรอคอยเธอมาแสนนาน
และสุดท้ายก็เจอว่าเธอคือทุกอย่าง
ที่เติมเต็มหัวใจ
จากนี้ทุกลมหายใจฉันคือเธอ

หากว่าเธอนั้นคือความรัก
ก็เป็นรักที่ดีจนไม่มีคำบรรยาย
ฉันโชคดีเหลือเกินที่มีเธอเดินข้างกาย
ชีวิตนั้นได้เติมเต็มสิ่งที่ขาดหาย

เธอเป็นมากกว่ารัก
เพราะเธอนั้นคือครึ่งชีวิต
ฉันใช้เวลาทั้งชีวิตเพื่อตามหา
และรอคอยเธอมาแสนนาน
และสุดท้ายก็เจอว่าเธอคือทุกอย่าง
ที่เติมเต็มหัวใจ
จากนี้ทุกลมหายใจฉันคือเธอ

เธอเป็นมากกว่ารัก
เพราะเธอนั้นคือครึ่งชีวิต
ฉันใช้เวลาทั้งชีวิตเพื่อตามหา
และรอคอยเธอมาแสนนาน
และสุดท้ายก็เจอว่าเธอคือทุกอย่าง
ที่เติมเต็มหัวใจ
จากนี้ทุกลมหายใจฉันคือเธอ

จากนี้ทุกลมหายใจ...ฉันคือเธอ...",pete_pol
ไม่อยากเชื่อ,/music/thailyric/4228,"ไม่ค่อยแน่ใจ อะไรที่เธอบอก
ที่บอกว่าเขาเป็นเพื่อนคนหนึ่งทั่วไป
แต่มองด้วยตาสองตา มันขัดกันมากมาย
ก็เลยเกิดความสงสัย อะไรอย่างนั้น

ไม่ชอบเวลา ที่โดนโกหก
ไม่อยากเป็นคนที่โง่ไปจนนานๆ
ก็เลยอยากจะถามเธอ ว่าคนที่มาด้วยกัน
เธอผูกพันกับเขายังไงและเมื่อไร

ถ้าฉันไม่ผ่านมาเจอ บอกเลยว่าคงเชื่อเธออยู่
ไม่อาจจะรู้ เธอแอบมาพบใคร

ภาพเธอกับเขา ฉันยังไม่อยากเชื่อเลย
เขาโอบเอวเธอ ท่าทางเหมือนเธอเป็นใจ
จับมือถือแขน มองแล้วรู้สึกไม่เข้าใจ
เธอช่วยอธิบายความจริงสักคำ

แล้วฉันเป็นใคร เขารู้หรือเปล่า
เธอบอกเขาว่าฉันเป็นใครหรือเธอ
เมื่อเราก็ยังคบกัน เธอยอมบอกเขาไหมเธอ
ความผูกพันอันนี้แล้วเธอจะว่าไง

ถ้าฉันไม่ผ่านมาเจอ บอกเลยว่าคงเชื่อเธออยู่
ไม่อาจจะรู้ เธอแอบปันหัวใจ

ภาพเธอกับเขา ฉันยังไม่อยากเชื่อเลย
เขาโอบเอวเธอ ท่าทางเหมือนเธอเป็นใจ
จับมือถือแขน มองแล้วรู้สึกไม่เข้าใจ
เธอช่วยอธิบายความจริงสักคำ

ภาพเธอกับเขา ฉันยังไม่อยากเชื่อเลย
เขาโอบเอวเธอ ท่าทางเหมือนเธอเป็นใจ
จับมือถือแขน มองแล้วรู้สึกไม่เข้าใจ
เธอช่วยอธิบายความจริงสักคำ
คนที่เป็นเพื่อนกันไม่ทำอย่างนี้",pete_pol
ดาวเกี้ยวเดือน,/music/thailyric/9579,"ยามเดือนลอยเด่นอยู่บนนภา
อ้างว้างอุราอ่อนล้าเดียวดาย
เผลอเพียงพริบตากลับมีประกาย
จากดาวพร่างพรายที่อยู่แสนไกล
ยามดาวลอยเด่นอยู่เคียงข้างเดือน
ส่องแสงมาเยือนให้เดือนหวั่นไหว
แต่ดาวและเดือนห่างกันห่างไกล
กลัวรักปักใจคิดไปข้างเดียว

อยากรู้ที่ดาวเข้ามาใกล้เดือน ที่ดาวเข้ามาเกี้ยวเดือน
จะไม่ลาเลือนไปใช่ไหม
อยากจะรู้เพราะฉันกำลังรักเธอทั้งหัวใจ
อยากขอวอนดาวได้ไหม อยากขอให้ดาวคู่เดือน

ยามดาวลอยเด่น อยู่เคียงข้างกัน
กลัวรักจะช้ำ หากฝันเกินเอื้อม
ฝันไปทุกคืน ว่าดาวเกี้ยวเดือน
ตื่นมาฉันกลัวฝันจะเลือนไป

อยากรู้ที่ดาวเข้ามาใกล้เดือน ที่ดาวเข้ามาเกี้ยวเดือน
จะไม่ลาเลือนไปใช่ไหม
อยากจะรู้เพราะฉันกำลังรักเธอทั้งหัวใจ
อยากขอวอนดาวได้ไหม อยากขอให้ดาวคู่เดือน

กระพริบ กระพริบ ระยิบ ระยับ อย่าดับ อย่าลับ อย่าจากกัน
กระพริบ กระพริบ ให้ฉันได้ชิด ได้อยู่เคียงคู่นิรันดร์

อยากรู้ที่ดาวเข้ามาใกล้เดือน ที่ดาวเข้ามาเกี้ยวเดือน
จะไม่ลาเลือนไปใช่ไหม
อยากจะรู้เพราะฉันกำลังรักเธอทั้งหัวใจ
ไม่รู้ควรทำอย่างไร
โว้...รักเธอ...อยากรู้จริงอยากรู้ใจ
อยากขอวอนดาวได้ไหม อยากขอให้เราคู่กัน",pete_pol
Blank (เว้นเอาไว้),/music/thailyric/21479,"โลกที่มันสับสนดูเหมือนช่างวุ่นวาย
พอจะช่วยอะไรได้หรือเปล่า
ถ้าวันนี้ดูอะไรไม่ค่อยได้ดั่งใจเรา
เอาอย่างนี้ให้ฉันได้ลอง

ฮู้ฮู จะดีไหมถ้าฉัน
เป็นอะไรก็ได้ที่เธอต้องการ
ฮู้ฮู จะเป็นเหมือนที่เธอฝัน
ช่วยเติมเต็มที่ว่างข้างใน

ระหว่างเรา เว้นเอาไว้
ในฐานะที่เราเข้าใจ
I'll be anything for you
เว้นเอาไว้ สถานะของหัวใจ
เป็นอะไรก็ได้ที่ต้องการ

ให้ฉันเป็นอะไรเป็นเพื่อนกินกาแฟ
หรือพาไปดูหนัง
ให้ฉันเป็นผู้ฟังเวลาเธอระบาย
ไม่ต้องการผูกและมัดอะไรมากมาย
จะทิ้งช่องว่างเอาไว้ให้เธอเติม

ฮู้ฮู จะดีไหมถ้าฉัน
เป็นอะไรก็ได้ที่เธอต้องการ
ฮู้ฮู จะเป็นเหมือนที่เธอฝัน
ช่วยเติมเต็มที่ว่างข้างใน

ระหว่างเรา เว้นเอาไว้
ในฐานะที่เข้าใจ
I'll be anything for you
เว้นเอาไว้ สถานะของหัวใจ
เป็นอะไรก็ได้ที่ต้องการ

เว้นเอาไว้ ในฐานะที่เข้าใจ
I'll be anything for you
เว้นเอาไว้ สถานะของหัวใจ
เป็นอะไรก็ได้ให้เธอ",pete_pol
แค่อิจฉา,/music/thailyric/8997,"ต่างคนต่างความคิด
และมีสิทธิ์จะพูดถึงในมุมต่างๆ ออกไป
อย่าเลยอย่าใส่ใจ
หากว่าใครมาใส่ร้ายป้ายสีให้เราดูไม่ดี

อาจเป็นเพราะคนอย่างนั้นไม่มี
สิ่งดีๆ ที่เข้ามาในชีวิต
เป็นแค่พวกโรคจิต ที่คิดจะคอยจ้องทำลาย

แค่อิจฉา (ขอเพียงแค่เราหนักแน่นอย่าไปสนใจ)
แค่อิจฉา (หรือเราจะเหวี่ยงพวกนั้นออกไปให้ไกล)
เป็นเรื่องธรรมดาที่เรายังต้องพบเจอ

แค่อิจฉา (หรือว่าเรามีแต่ว่าพวกเขาไม่มี)
แค่อิจฉา (เมื่อไหร่พวกเขาจะหยุดอิจฉาสักที)
อย่าไปถือสา แค่คนขี้อิจฉา แค่นี้เอง

อยากพูดก็พูดไป
ก็พอจะเข้าใจ ว่าคงห้ามกันไม่ได้
ไม่คิดจะใส่ใจ ถ้อยคำไร้ความหมาย ไม่เคยรู้สึกสักที

อาจเป็นเพราะคนอย่างนั้นไม่มี
สิ่งดีๆ ที่เข้ามาในชีวิต
เป็นแค่พวกโรคจิต ที่คิดจะคอยจ้องทำลาย

แค่อิจฉา (ขอเพียงแค่เราหนักแน่นอย่าไปสนใจ)
แค่อิจฉา (หรือเราจะเหวี่ยงพวกนั้นออกไปให้ไกล)
เป็นเรื่องธรรมดาที่เรายังต้องพบเจอ

แค่อิจฉา (หรือว่าเรามีแต่ว่าพวกเขาไม่มี)
แค่อิจฉา (เมื่อไหร่พวกเขาจะหยุดอิจฉาสักที)
อย่าไปถือสา แค่คนขี้อิจฉา แค่นี้เอง

อาจเป็นเพราะคนอย่างนั้นไม่มี
สิ่งดีๆ ที่เข้ามาในชีวิต
เป็นแค่พวกโรคจิต ที่คิดจะคอยจ้องทำลาย

แค่อิจฉา (ขอเพียงแค่เราหนักแน่นอย่าไปสนใจ)
แค่อิจฉา (หรือเราจะเหวี่ยงพวกนั้นออกไปให้ไกล)
เป็นเรื่องธรรมดาที่เรายังต้องพบเจอ

แค่อิจฉา (หรือว่าเรามีแต่ว่าพวกเขาไม่มี)
แค่อิจฉา (เมื่อไหร่พวกเขาจะหยุดอิจฉาสักที)
อย่าไปถือสา แค่คนขี้อิจฉา แค่นี้เอง

แค่อิจฉา (ขอเพียงแค่เราหนักแน่นอย่าไปสนใจ)
แค่อิจฉา (หรือเราจะเหวี่ยงพวกนั้นออกไปให้ไกล)
เป็นเรื่องธรรมดาที่เรายังต้องพบเจอ

แค่อิจฉา (หรือว่าเรามีแต่ว่าพวกเขาไม่มี)
แค่อิจฉา (เมื่อไหร่พวกเขาจะหยุดอิจฉาสักที)
อย่าไปถือสา แค่คนขี้อิจฉา แค่นี้เอง",pete_pol
จนกว่าฟ้าจะเป็นใจ,/music/thailyric/11012,"รู้ความหมายในจิตใจ รู้เมื่อสองเราใกล้กัน
รักที่เธอเก็บไว้ รักมีให้เพียงฉัน แต่ฉันไม่อาจปันหัวใจ
เพราะหนึ่งรักในชาตินี้ ฉันให้เขาเพียงเท่านั้น
รักที่เธอฝากไว้ สายใยที่ผูกพัน จะเป็นเหมือนคำมั่นสัญญา

จนกว่าฟ้าจะเป็นใจในสักวัน
เธอและฉันได้กลับมาเจอชาติใด
ฉันจะขอชดเชยให้เธอคืนทั้งหัวใจ
ชดใช้ความรักที่ให้มาทุกนาที

แม้วันนั้นนานเท่านาน แม้ว่าหนทางอีกไกล
สัญญาที่ผูกพัน ไม่มีวันเปลี่ยนไป
จะพาสองใจมาพบพาน

จนกว่าฟ้าจะเป็นใจในสักวัน
เธอและฉันได้กลับมาเจอชาติใด
ฉันจะขอชดเชยให้เธอคืนทั้งหัวใจ
ชดใช้ความรักที่ให้มา

รอได้ไหมจะกลับไปเคียงข้างกัน
อยู่เคียงขวัญชิดใกล้ให้เธอพึ่งพา
ฉันจะขอรักเธอไม่มีวันร้างลา
ชีวาขอพลีเพื่อเธอ รักเธอผู้เดียว",pete_pol
ดวงดาวในดวงใจ,/music/thailyric/10057,"หนึ่งจันทร์ในคืนมืดมน แอบชมเจ้าดาวแสนไกล
ทุกสิ่งสดใสเมื่อแสงของเธอส่องฟ้า
หนึ่งดาวในพันล้านดวง เธอคือหนึ่งเดียวล้ำค่า
เพียงแค่สบตา ก็รู้ว่าต้องใช่เธอ

เราอยู่ร่วมฟ้า ถึงใครมองว่าห่างไกล
จะไม่เปลี่ยนใจ ถึงเราจะแตกต่างกัน

แม้เธอสกาว เป็นแค่ดาวดวงน้อย
เธอก็จะลอยเป็นดาวอยู่ในดวงใจ
แม้เธอร่วงหล่นบนดิน ยังทอประกายอยู่ร่ำไป
จากนี้จะเป็นเช่นไร จะขอเคียงข้างกันไปไม่ร้างลา

หนึ่งจันทร์ได้เคียงข้างดาว ลมหนาวจะเย็นเช่นไร
ฉันก็อุ่นใจ ได้ใกล้มีเธอแอบอิง
หนึ่งดาวคอยนำหนทาง มืดมนให้คอยพึ่งพิง
เธอคือรักจริง คือผู้นำทางหัวใจ

เราอยู่ร่วมฟ้า ถึงใครมองว่าห่างไกล
จะไม่เปลี่ยนใจ ถึงเราจะแตกต่างกัน

แม้เธอสกาว เป็นแค่ดาวดวงน้อย
เธอก็จะลอยเป็นดาวอยู่ในดวงใจ
แม้เธอร่วงหล่นบนดิน ยังทอประกายอยู่ร่ำไป
จากนี้จะเป็นเช่นไร จะขอเคียงข้างกันไปไม่ร้างลา

แม้เธอสกาว เป็นแค่ดาวดวงน้อย
เธอก็จะลอยเป็นดาวอยู่ในดวงใจ
แม้เธอร่วงหล่นบนดิน ยังทอประกายอยู่ร่ำไป
ไม่ว่าจะเป็นเช่นไร จะขอเคียงข้างกันไปไม่ร้างลา",pete_pol
บางระจัน,/music/thailyric/10343,"เกิดมา เยี่ยงชาวบางระจัน
จิตใจเรานั้นยึดมั่นในศักดิ์ศรี
บนแผ่นดินที่เชิดชู เราอยู่ดังน้องและพี่
เราสามัคคีเรื่อยมา

เกิดมา เยี่ยงชาวบางระจัน
จงอย่ามาหยันว่านั่นเพียงชาวนา
มีจอบและเสียมในมือ
ใจคือนักรบคนกล้า
ถึงเวลาเราสู้ขาดใจ

หนึ่งชีวีขอพลีเพื่อแผ่นดิน
หนึ่งดวงใจ ถวิลแต่เพียงเธอ
เมื่อมีภัยรุกราน จะต้านทานเสมอ
ขอเธอ จงอย่าหวั่นไหว
หนึ่งชีวี ขอสู้จนชีพวาย
หนึ่งใจหมาย เพียงให้ชาติเป็นไท
ตอบแทนคุณผืนดิน แม้สิ้นลมหายใจ
วีรกรรมจะจารึกไว้ ให้จดจำไม่ลืม

หนึ่งชีวี ขอพลีเพื่อแผ่นดิน
หนึ่งดวงใจ ถวิลแต่เพียงเธอ
เมื่อมีภัยรุกราน จะต้านทานเสมอ
ขอเธอ จงอย่าหวั่นไหว
หนึ่งชีวี ขอสู้จนชีพวาย
หนึ่งใจหมาย เพียงให้ชาติเป็นไท
ตอบแทนคุณผืนดิน แม้สิ้นลมหายใจ
วีรกรรมจะจารึกไว้ ให้จดจำไม่ลืม",pete_pol
ผิดที่สำคัญตัว,/music/thailyric/12492,"จากเคยเหงาใจ จากเป็นคนที่มีน้ำตา
เป็นคนที่ไม่มีใครเขาเหลียวมอง

แต่เธอเข้ามา เปลี่ยนชีวิตตัวฉันเสียใหม่
เธอทำให้คนคนนี้มีความหมาย

พอฉันนั้นได้รู้ตัวเองอีกที ก็รักเธอจนหมดใจ
แล้ววันนี้เธอก็ไป

ผิดที่ฉันเองที่ยังดีไม่พอ
ผิดที่ฉันเอง ทุก ทุกอย่าง
ผิดที่สำคัญตัวว่าเธอคิดเหมือนกัน
โทษฉันที่มันผิดเอง
ที่เอาหัวใจไปฝากเอาไว้ที่เธอ

เฝ้าคิดถึงเธอ กลับยิ่งซ้ำให้มีน้ำตา
เมื่อฉันไม่มีเธอแล้วมันยากเย็น

พอฉันนั้นได้รู้ตัวเองอีกที ก็รักเธอจนหมดใจ
แล้ววันนี้เธอก็ไป

ผิดที่ฉันเองที่ยังดีไม่พอ
ผิดที่ฉันเอง ทุก ทุกอย่าง
ผิดที่สำคัญตัวว่าเธอคิดเหมือนกัน
โทษฉันที่มันผิดเอง
ที่เอาหัวใจไปฝากเอาไว้ที่เธอ

ผิดที่ฉันเองที่ยังดีไม่พอ
ผิดที่ฉันเอง ทุก ทุกอย่าง
ผิดที่สำคัญตัวว่าเธอคิดเหมือนกัน
โทษฉันที่มันผิดเอง
ที่เอาหัวใจไปฝากเอาไว้ที่เธอ

ผิดที่ฉันเองที่ยังดีไม่พอ
ผิดที่ฉันเอง ทุก ทุกอย่าง
ผิดที่สำคัญตัวว่าเธอคิดเหมือนกัน
โทษฉันที่มันผิดเอง
ที่เอาหัวใจไปฝากเอาไว้ที่เธอ",pete_pol
ไม่สายใช่ไหม,/music/thailyric/10341,"เหมือนเมฆลอย คอยปิดบังสายตา
ท้องนภา จึงไม่เคยเห็นดาว
ไม่รู้เลย ว่าแสงทอสกาว
คือแสงดาวคอยส่องมาให้ฉัน

เหมือนเมฆลอย คอยปิดบังหัวใจ
รักเท่าไร เธอไม่เคยเห็นกัน
ขอชะตา พัดเมฆที่ขวางกางกั้น
สักวัน อาจรู้และเข้าใจ

ฉันรักเธอ แต่เหมือนว่าเธอไม่รู้
ฉันรักเธอ ไม่รู้ตั้งแต่เมื่อไร
รู้แค่เพียงตอนนี้ มีแต่เธอในใจ
ไม่สายไป ใช่ไหมให้เรารักกัน

จากวันนี้จะมีแต่เธอเสมือนดวงใจ
จากวันนี้จะมีแต่เราร่วมทางกันไป
จะฝ่าฟัน จะแบ่งปัน จะรักกัน ไม่ว่านานเพียงไหน

ฉันรักเธอ ในวันนี้เธอจะรู้
ฉันรักเธอ รู้ไหมมากมายเท่าไร
รู้ไว้เพียงตอนนี้ มีแต่เธอในใจ
ไม่สายไป ที่จะรักเธอ

ฉันรักเธอ ในวันนี้เธอจะรู้
ฉันรักเธอ รู้ไหมมากมายเท่าไร
รู้ไว้เพียงตอนนี้ มีแต่เธอในใจ
ไม่สายไป วันนี้เราจะรักกัน
ไม่สายไป วันนี้ฉันจะรักเธอ",pete_pol
