song_name,href,lyric,artist
ข้อความสุดท้าย,/music/thailyric/9398,"เปิดกล่องใบเดิม เมื่อเวลาเลยไปแสนนาน
เป็นกล่องของขวัญที่ไม่ลืมว่านานเท่าไร
ภาพเก่าใบเดิม สิ่งดีๆ ข้างในหัวใจ
ทุกกระดาษแม้จนใบสุดท้าย

เพลงเก่าตั๋วหนัง ที่เคยฟังเคยดูด้วยกัน
หมื่นล้านคืนวันที่มันเคยเป็นวันของเธอ
ยังเก็บเบอร์เดิม ที่เคยโทรไปหาเธอ
ไม่เคยลืมทุกเรื่องราวจนจากลา

อยากโทรไปหา ไม่รู้เธอเป็นยังไง
อาจจะลืมฉันได้แล้วใช่ไหม ต่างกันที่ฉันไม่ลืม
ข้อความสุดท้ายที่เธอทิ้งไว้ ตอกย้ำให้มีน้ำตา
อย่าเสียเวลารักกันไปอีกเลย

ปิดกล่องเบาๆ ที่ลงเอยบนความเงียบงัน
ตอกย้ำว่ามันไม่มีวันไม่คิดถึงเธอ
เพิ่งจะได้รู้ เมื่อวันที่ต้องเสียเธอ
ว่าไม่เคยเริ่มอะไรได้สักที

อยากโทรไปหา ไม่รู้เธอเป็นยังไง
อาจจะลืมฉันได้แล้วใช่ไหม ต่างกันที่ฉันไม่ลืม
ข้อความสุดท้ายที่เธอทิ้งไว้ ตอกย้ำให้มีน้ำตา
อย่าเสียเวลารักกันไปอีกเลย

อยากโทรไปหา ไม่รู้เธอเป็นยังไง
อาจจะลืมฉันได้แล้วใช่ไหม ต่างกันที่ฉันไม่ลืม
ข้อความสุดท้ายที่เธอทิ้งไว้ ตอกย้ำให้มีน้ำตา
อย่าเสียเวลารักกันไปอีกเลย

อย่าเสียเวลารักกันไปอีกเลย",peter_corp_dyrendal
เธอทำดีที่สุดแล้ว,/music/thailyric/3585,"ร้องไห้ไปเถิด ถ้าเธออยากร้อง ก็ไม่ต้องอาย
น้ำตาไม่ใช่ จะมีความหมาย ว่าเธอพ่ายแพ้

ร้องไห้ไปเถิด ถ้าเก็บไม่ไหว ระบายมันบ้าง
ชีวิตคนๆ หนึ่ง ต้องมีสักครั้ง ที่มันอ่อนแอ

ที่ผ่านมานั้น เพราะเขาน่ะรักไม่เป็น
ก็เลยไม่เห็น ช่างเขาไม่เห็นจะต้องแคร์

เธอทำดีที่สุดแล้ว แล้วเขาจะเป็นไง ไม่สำคัญ
เขาไม่รักก็แค่นั้น ก็ไม่ใช่ปัญหา ถ้าเขา(มอง)ไม่เห็นค่า(ก็แล้วไป)

เพราะเธอจริงใจ เธอมีแค่ไหน ก็ให้ไปหมด
แล้วเธอจะโทษ ตัวเองอย่างนั้น ฉันว่าไม่แฟร์

ที่ผ่านมานั้น เพราะเขาน่ะรักไม่เป็น
ก็เลยไม่เห็น ช่างเขาไม่เห็นจะต้องแคร์

เธอทำดีที่สุดแล้ว แล้วเขาจะเป็นไง ไม่สำคัญ
เขาไม่รักก็แค่นั้น ก็ไม่ใช่ปัญหา ถ้าเขา(มอง)ไม่เห็นค่า(ก็แล้วไป)

ที่ผ่านมานั้น เพราะเขาน่ะรักไม่เป็น
ก็เลยไม่เห็น ช่างเขาไม่เห็นจะต้องแคร์

เธอทำดีที่สุดแล้ว แล้วเขาจะเป็นไง ไม่สำคัญ
เขาไม่รักก็แค่นั้น ก็ไม่ใช่ปัญหา ถ้าเขา(มอง)ไม่เห็นค่า(ก็แล้วไป)

เธอทำดีที่สุดแล้ว แล้วเขาจะเป็นไง ไม่สำคัญ
เขาไม่รักก็แค่นั้น ก็ไม่ใช่ปัญหา ถ้าเขา(มอง)ไม่เห็นค่า(ก็แล้วไป)

เขาไม่รักก็แค่นั้น ก็ไม่ใช่ปัญหา ถ้าเขาไม่เห็นค่าก็แล้วไป",peter_corp_dyrendal
ฝนเดือนสิบสอง,/music/thailyric/3587,"สาดกระเซ็นฝนกระจาย หยาดระบายฟ้าชุ่มฉ่ำ
สู่ดินแดนพื้นดินใจ เหล่าพืชพรรณไม้ก็สวยงาม
ดั่งเธอเป็นฝนระบาย ประพรมใจให้ชื่นฉ่ำ
หากเธอมาก็สดใส ในความรักฉันก็งดงาม

ฝนเอยจะมาเมื่อไร รักฉันจะมาเมื่อไร
ฝนเอยจะมารึไป เมื่อไรจะตกจะพรำ

ฝนเดือนสิบสอง ล่องลอยจากนภา
ปลุกฉันจากนิทรา ชื่นชมฝนฉ่ำ
และไม่ว่าฝนตกมาสักเท่าใด จะมาอีกเมื่อไร
ก็ยังรับได้ รอฝนกระหน่ำ (yeah yeah)

เฝ้ารอวันฟ้าเป็นใจ ปล่อยระบายฝนเย็นฉ่ำ
มากเกินไปน้อยเกินไป จะมาแค่ไหนก็สวยงาม
ผิดเวลาหรือนาที ผิดเดือนปีก็ยังชุ่มฉำ
หากเธอมาหาวันไหน ในใจก็สวยสดงดงาม

ฝนเอยจะมาเมื่อไร รักฉันจะมาเมื่อไร
ฝนเอยจะมารึไป เมื่อไรจะตกจะพรำ

ฝนเดือนสิบสอง ล่องลอยจากนภา
ปลุกฉันจากนิทรา ชื่นชมฝนฉ่ำ
และไม่ว่าฝนตกมาสักเท่าใด จะมาอีกเมื่อไร
ก็ยังรับได้ รอฝนกระหน่ำ (yeah yeah)

ฝนเดือนสิบสอง ล่องลอยจากนภา
ปลุกฉันจากนิทรา ชื่นชมฝนฉ่ำ
และไม่ว่าฝนตกมาสักเท่าใด จะมาอีกเมื่อไร
ก็ยังรับได้ รอฝนกระหน่ำ (yeah yeah)",peter_corp_dyrendal
ยอม,/music/thailyric/3591,"ฉันรักชีวิตที่มันท้าทาย แบบผู้ชายที่มีความฝัน
ใช้ชีวิตตามที่ต้องการ อย่างไม่เคยต้องแคร์ใคร

เธอเธอไม่รู้มาจากที่ไหน ทำให้ฉันวุ่นวายหัวใจ
ทำให้ฉันคิดหนัก ว่าฉันควรทำยังไง

ฉันเริ่มจะแพ้ เริ่มจะใจอ่อน เปลี่ยนตัวเองเพื่อเธอคนนี้
ชอบแบบไหน ก็ทำให้ทุกที อยากให้เธอนั้นพอใจ

ยอมยอมให้เธอคนเดียวเท่านั้น เป็นเพราะเธอคือคนสำคัญ
ยอมให้ได้ทุกอย่าง เพราะรักเธอมากจริงๆ

อย่างน้อยครั้งนี้ฉันได้เรียนรู้ ชีวิตที่มีเธออยู่
ถึงมีอะไรต้องเปลี่ยน มันก็คุ้มที่ได้เธอมา

อย่างน้อยครั้งนี้ฉันได้เรียนรู้ ชีวิตที่มีเธออยู่
ถึงมีอะไรต้องเปลี่ยน มันก็คุ้มที่ได้เธอมา

ยอมยอมให้เธอคนเดียวเท่านั้น เป็นเพราะเธอคือคนสำคัญ
ยอมให้ได้ทุกอย่าง เพราะรักเธอมากจริงๆ

ยอมให้เธอคนเดียวคนนี้ ยอมให้เธอคนที่แสนดี
ฮืม... ก็รักเธอมากจริงๆ",peter_corp_dyrendal
แสดงต่อไปให้ดีที่สุด,/music/thailyric/3592,"ใครบางคนทำให้เราสับสน
ใครบางคนทำให้เราเบื่อหน่าย
บางอารมณ์มันก็เคยอยากหนีไปให้ไกลๆ
ลืมมันไปใจไม่ต้องกังวล

แต่ความเป็นจริง เราก็ยังต้องทน
หลีกไปไม่พ้น คิดมากไปก็คง...เสียเวลา

แสดงต่อไปให้ดีที่สุด และทนต่อไปให้นานที่สุด
ฝืนมันไปสักอีกหน คงไม่หนักหนา
แสดงต่อไปให้ดีที่สุด และทำต่อไปให้ดีที่สุด
มองให้เป็นเรื่องเล็ก มันก็พ้นไป...

ใครจะไป เราก็คงปล่อยเขา
ใครจะมา เราก็คงดีใจ
ตัวเราเอง มันก็คงเหนี่ยวรั้งใครเขาไม่ได้
ลืมมันไป ใจไม่ต้องกังวล",peter_corp_dyrendal
ตัวเปล่า,/music/thailyric/3584,"ฉันมันตัวเปล่า ก็เหงามันเรื่อยไป ถึงจะมีใจ เก็บไว้ที่จะให้เธอ
อาจดูไม่มากมาย อาจดูไม่เลิศเลอ ฉันก็ให้เธอ หมดแล้วทั้งหัวใจ

ฉันก็รู้ตัว ว่าฉันมันต้อยต่ำ ฉันไม่เคยจำ ว่าฟ้านั้นสูงเกินไป
ไม่เคยจะห้ามตัว ไม่เคยจะห้ามใจ ถึงจะมีใจ แต่ฉันไม่คู่ควร

เก็บเธอเอาไว้ในใจคงจะดีกว่า เก็บคำว่ารักในใจเพียงแค่ในฝัน
ไม่ว่าวันพรุ่งนี้จะเหลือเพียงแค่ฉัน แต่ว่าใจของฉันจะรักเธอคนเดียว

ฉันมันตัวเปล่า ก็เหงามันเรื่อยไป ฉันก็เข้าใจ แต่ฉันก็รักเธอ
อาจมีแค่หัวใจ ที่ดูไม่เลิศเลอ ฉันก็ให้เธอ หมดแล้วทั้งหัวใจ

ให้เธอได้โปรดเข้าใจ ให้เธอคนเดียวจริงๆ

เก็บเธอเอาไว้ในใจคงจะดีกว่า เก็บคำว่ารักในใจเพียงแค่ในฝัน
ไม่ว่าวันพรุ่งนี้จะเหลือเพียงแค่ฉัน แต่ว่าใจของฉันจะรักเธอคนเดียว

ฉันมันตัวเปล่า ก็เหงามันเรื่อยไป ถึงจะมีใจ เก็บไว้ที่จะให้เธอ
อาจดูไม่มากมาย อาจดูไม่เลิศเลอ ฉันก็ให้เธอ หมดแล้วทั้งหัวใจ

ถึงจะมีใจ แต่ฉันไม่คู่ควร",peter_corp_dyrendal
กุมภาพันธ์,/music/thailyric/3580,"คงเป็นที่ฟ้าเบื้องบน เป็นคนขีดโชคชะตา
สร้างฉันและเธอให้มา ให้ได้พบเจอกัน
ให้ฉันได้มีโอกาส ลิ้มรสในความชื่นบาน
ให้เรามีกัน มีวันเวลาที่ดี

และเป็นที่ฟ้าเบื้องบน เป็นคนพรากเราเช่นกัน
ให้เวลาเพียงแค่นั้น กลับต้องเสียเธอไป
ฉันรู้ว่าไม่มีหวัง จะเหนี่ยวและรั้งเธอไว้ข้างกาย
จะทำยังไงก็คงไม่มีหนทาง

หากชีวิตฉันต้องขาดเธอไป จะเป็นยังไง
ชีวิตคงไร้ความหมาย และเหมือนไร้พลัง
ร่างกายที่เคยอดทน ก็คงไม่มีกำลัง
ไม่มีความหวังให้ฉันได้ชื่นหัวใจ

แค่เพียงพรุ่งนี้ถ้าตื่นมา มองไปไม่เจอเธอ
แค่นึกก็ทำให้เพ้อ หวั่นและไหวในใจ
ถ้าเราจะต้องจากกัน ไม่ว่าด้วยเหตุผลใด
คงรู้ใช่ไหมว่าฉันจะต้องเสียใจ

หากชีวิตฉันต้องขาดเธอไป จะเป็นยังไง
ชีวิตคงไร้ความหมาย และเหมือนไร้พลัง
ร่างกายที่เคยอดทน ก็คงไม่มีกำลัง
ไม่มีความหวังให้ฉันได้ชื่นหัวใจ

แค่เพียงพรุ่งนี้ถ้าตื่นมา มองไปไม่เจอเธอ
แค่นึกก็ทำให้เพ้อ หวั่นและไหวในใจ
ถ้าเราจะต้องจากกัน ไม่ว่าด้วยเหตุผลใด
คงรู้ใช่ไหมว่าฉันจะต้องเสียใจ

เสียใจจนตาย",peter_corp_dyrendal
ใครจะรู้,/music/thailyric/3581,"ใครจะรู้ในวันที่มีความสุข มันจะทุกข์ขึ้นมาเมื่อไร
ใครจะรู้อะไรที่ดูยิ่งใหญ่ มันจะหายไปในสักวัน

ใครจะรู้เรื่องราวที่ดูว่าง่าย มันจะยากอะไรอย่างงั้น
ใครจะรู้ชีวิตนั้นยาวหรือสั้น คงไม่มีใครรู้ถึงวันข้างหน้า

ใครจะรู้ว่าคนยากจนที่สุด(ใครจะรู้) วันพรุ่งนี้จะรวยกว่าใคร
ใครจะรู้ว่าคนที่เคยร้องไห้(ใครจะรู้) มีรอยยิ้มให้ใครอีกครั้ง

ใครจะรู้ว่าคนที่เคยคิดสั้น วันพรุ่งนี้จะมีความหวัง

ใครจะรู้ถึงความแน่นอนทุกอย่าง คงไม่มีใครรู้ถึงวันข้างหน้า

อยู่กันไปเรื่อยเปื่อย เหนื่อยกันไปมันก็เท่านั้นให้มันเป็นไป

สิ่งที่เจอคือความไม่แน่นอน เราก็เลยไม่แน่ใจ ได้แต่ปล่อยมันไปก็เท่านั้น

ใครจะรู้ว่าวันนี้ทำเต็มที่(ใครจะรู้) วันพรุ่งนี้จะไม่ผิดหวัง

ใครจะรู้ถึงความแน่นอนทุกอย่าง คงไม่มีใครรู้ถึงวันข้างหน้า

สิ่งที่เจอคือความไม่แน่นอน เราก็เลยไม่แน่ใจ ได้แต่ปล่อยมันไปก็เท่านั้น

ใครจะรู้ว่าทำแล้วมันจะถูก(ใครจะรู้) ถ้าทำไปแล้วมันจะผิดพลั้ง

ใครจะรู้ถึงความแน่นอนทุกอย่าง คงไม่มีใครรู้ถึงวันข้างหน้า

ใครจะรู้ถึงความแน่นอนทุกอย่าง คงไม่มีใครรู้ถึงวันข้างหน้า",peter_corp_dyrendal
จะรักกันนานเท่าไหร่,/music/thailyric/3582,"I love you, I love you
I love you, I love you
I love you, I love you

บอกว่ารักกันอยู่อย่างนี้เธอเหนื่อยบ้างไหม ไม่รู้จะนานเท่าไหร่ กับรักที่มีให้ฉัน
บอกว่ารักกันอยู่เสมอเธอบอกอย่างนั้น จะรักได้นานเท่าไหร่ ก็ฉันยังอยากจะรู้

จะมีไหมสักวันที่ใจของเธอ จะจืดจางหายไป หรือว่าอะไรๆที่เธอมีให้ จะน้อยลงไปกว่นี้

ก็เพราะหวังเพียงแค่จะรักกันอยู่เสมอ แค่ขอให้ใจของเธอ สุดท้ายยังอยู่ที่ฉัน

อยากจะรู้ไม่มากไม่น้อย แค่บอกเท่านั้น ว่าจะรักกันนานเท่าไหร่ จะรักกันนานเท่าไร

ฮู... ไม่รู้จะนานเท่าไหร่ กับรักที่มีให้ฉัน
ฮู... จะรักได้นานเท่าไหร่ ก็ฉันยังอยากจะรู้

จะมีไหมหัวใจที่มีให้กัน จะแบ่งปันให้ใคร หรือว่าเธอลืมอะไรๆง่ายๆ ไม่รักกันไปอย่างนี้

ก็เพราะหวังเพียงแค่จะรักกันอยู่เสมอ แค่ขอให้ใจของเธอ สุดท้ายยังอยู่ที่ฉัน

อยากจะรู้ไม่มากไม่น้อย แค่บอกเท่านั้น ว่าจะรักกันนานเท่าไหร่ จะรักกันนานเท่าไร

ฮู... ไม่รู้จะนานเท่าไหร่ กับรักที่มีให้ฉัน
ฮู... จะรักได้นานเท่าไหร่ จะรักได้นานเท่าไร

อยากจะรู้ไม่มากไม่น้อย แค่บอกเท่านั้น ว่าจะรักกันนานเท่าไหร่ จะรักกันนานเท่าไร",peter_corp_dyrendal
ตัวคนเดียว (ไม่เกี่ยวกับใครอยู่แล้ว),/music/thailyric/3583,"อยากเดินเราก็เดินคนเดียว เราก็นอนคนเดียว ไม่ได้ทำให้ใครลำบากใจ
เราไม่ยอมให้เธอเสียหาย เราไม่เคยถือร้าย ไม่ทำให้ใครเดือดร้อนเลย
หายใจไม่เคยไปยืมจมูกใคร หัวใจที่มีก็ใช้ลุยต่อไปอย่างเดียว

ไม่ได้เกี่ยวกับใครอยู่แล้ว ไม่ได้เกี่ยวกับใครอยู่แล้ว
ไม่ได้เกี่ยวกับใครอยู่แล้ว

กับเธอที่เรามาเจอกัน เราก็ใจตรงกัน นั่นแหล่ะที่สำคัญกว่าสิ่งใด
ใครต่อใครจะมาสงสัย ไม่ว่าใครไหนๆ ไม่ต้องมาสนใจเรื่องของเรา
หายใจเพื่อเธอเท่านั้นไม่หวั่นไหว หัวใจยืนยันจะรักเธอต่อไปอย่างเดียว

ไม่ได้เกี่ยวกับใครอยู่แล้ว ไม่ได้เกี่ยวกับใครอยู่แล้ว
ไม่ได้เกี่ยวกับใครอยู่แล้ว ไม่ได้เกี่ยวกับใครอยู่แล้ว โว้ว..โฮ
ไม่ได้เกี่ยวกับใครอยู่แล้ว
ไม่ได้เกี่ยวกับใครอยู่แล้ว โว้ว..โฮ",peter_corp_dyrendal
