song_name,href,lyric,artist
Chocolate,/music/thailyric/16867,"ขอโทษที่ บังเอิญฉันนอนไม่ค่อยจะหลับ
คิดถึงเธอทุกที มันลืมภาพเธอไม่ได้สักที
ผ่านไปแล้วไม่ผ่านไป จบลงแล้วความเสียใจ
แต่ไม่เคยไม่เคย ลืมไม่ลืมไม่เธอ

ก่อนหน้าที่จะเปลี่ยนไป ดอกไม้ที่ฉันให้ไป
ตอนนี้มันเหมือนเดิม เธอคืนให้ฉันเหมือนเดิมแล้ว
หาย เธอหายไปในอวกาศ
หมดความหวาน ช็อกโกแลตละลายในปาก

ไม่ได้พบไม่ได้เจอ และก็ยังคิดถึงเธอ
เธอในความทรงจำ ลืมไม่ลืมไม่ลืมสักที
เธอคือดาวที่ส่องลงมา มองมาที่ฉัน
ไม่อาจละสายตาของเธอได้เลย

ภาวนา ให้ผ่านคืนนี้ไป
แล้วค่อยวน ให้กลับมาเริ่มใหม่
ในวันพรุ่งนี้ ได้ไหม
ฉันจะเก็บเอาไว้ในตู้เย็น
พร้อมจะเปิดอีกครั้งให้ได้กลิ่น
ของเธอ ของเธอ อีกครั้ง",plasui_plasui
Domino,/music/thailyric/18020,"ก็ไม่เคยเข้าใจ ทำไม
พระอาทิตย์ถึงร่วงหล่น
ก่อเกิดเป็นความงดงาม
และก็ยังไม่เคยถาม
ไม่เคยถาม ว่าทำไมถึงหลงกล เธอ

ง่ายดายและอ่อนไหวที่ข้างใน
กาลเวลาพาฉันให้เข้าไป ในวังวนของเธอ
และกลับออกมาไม่ได้เลย
หนทางไกลแค่ไหนไม่รู้เลย
วันเวลาทำฉันให้เพลิดเพลิน
อาจจะเป็นเพราะเธอ

เป็นเวทมนตร์ที่เธอนั่นเสก
หรือเพียงแค่เรา ที่อาจดูเคลิ้มไปเอง
ช่วยปลุกตัวเองให้กลับมา

ความสวยงามที่กำลังก่อตัว
ยังคืบคลาน แต่เพียงฉันรู้ตัว
กลับพังทลาย และหายไปอย่างงดงาม

เพียงสายตาที่เธอมองกลับมา
ยังสวนทาง เมื่อความจริงที่เป็นเธอ
เพราะเธอไม่ใช่เธอเลย

เป็นเวทมนตร์ที่เธอนั่นเสก
หรือเพียงแค่เรา ที่อาจดูเคลิ้มไปเอง
ช่วยปลุกตัวเองให้กลับมา

ความสวยงามที่กำลังก่อตัว
ยังคืบคลาน แต่เพียงฉันรู้ตัว
กลับพังทลาย และหายไปอย่างงดงาม

เพียงสายตาที่เธอมองกลับมา
ยังสวนทาง เมื่อความจริงที่เป็นเธอ
เพราะเธอไม่ใช่เธอเลย",plasui_plasui
Drive Thru,/music/thailyric/20341,"ก็ผ่านไปแล้ว วันสำคัญที่ใครก็ต้องมาเจอ
ไม่เคยรู้สึกอีกครั้ง จนมาวันนี้  ที่ฉันบังเอิญไปเจอ
ในรูปถ่าย จะมีเรื่องราว

เมื่อก่อนทุกอย่าง คือเธอเท่านั้น
ข้างในฝัน ก็ยังมีอยู่
คืนและวัน ที่ผ่านและพ้น
สิ่งเหล่านั้น ที่ฉันก็ยังรู้สึก และไม่ลืม

ผ่านมาจนถึงวันนี้
วันที่ฉันและเธอ นั้นต่างได้รู้จัก
ที่มีดอกไม้ แจกัน ของขวัญ
และในฉากนั้น ก็มีแค่ฉันและเธอ

ยังอยู่ในความทรงจำ ในครั้งที่เรายังมี
ด้วยแววตาและรอยยิ้มนั้น
ยังคอยปลอบฉัน ในวันที่เราไม่มี

ว่าทุกอย่าง คือเธอเท่านั้น
ข้างในฝัน ก็ยังมีอยู่
คืนและวัน ที่ผ่านและพ้น
สิ่งเหล่านั้น ที่ฉันก็ยังรู้สึก ไม่ลืม",plasui_plasui
How To...,/music/thailyric/19033,"อดทนอีกนิดหนึ่งนะเธอ
น้ำตาที่ไหลผ่านจากดวงตา
เมื่อความรู้สึกที่มี ไม่หายไปสักที

แค่เพียงออกจากตรงนั้น
แต่ทำไมยังไม่ก้าวเดินไป
ต้องให้เข็มนาฬิกาทดไปอีกสักเท่าไร

เธอลองมองออกไปก่อน
ทิ้งเรื่องราวที่มีไม่ต้องไปเว้าวอน
แม้รู้ดีว่าต้องนานสักเท่าไร
คงไม่นาน เธอจะผ่านไปได้ไกลแสนไกล

เป็นช่วงเวลาที่ยาวและนาน
แต่กว่าจะลบเลือนเรื่องเหล่านั้น
เปรียบเสมือนฝันในวันวาน

ทั้งที่ใครก็รู้ ว่าความเป็นจริงมันไม่ง่ายดาย
ทุกอย่างที่เคยเขียนไว้  บางอย่างมันคงไม่หายไป

เธอลองมองออกไปก่อน
ทิ้งเรื่องราวที่มีไม่ต้องไปเว้าวอน
แม้รู้ดีว่าต้องนานสักเท่าไร
คงไม่นาน เธอจะผ่านไปได้ไกลแสนไกล

เธอลองมองออกไปก่อน
ทิ้งเรื่องราวที่มีไม่ต้องไปเว้าวอน
แม้รู้ดีว่าต้องนานสักเท่าไร
คงไม่นาน เธอจะผ่านไปได้ไกลแสนไกล",plasui_plasui
Sea Ya,/music/thailyric/18266,"รอ เวลาที่เราได้พบกันดั่งครั้งก่อน
เธอยังคงเป็น สวนดอกไม้ เหมือนเดิมอยู่ไหม

แสงแดดที่ร้อน คงไม่ร้อนเท่าเธอ เออ
แค่รอวัน ที่จะได้เจอ

ถ้าเป็นทะเล ใครต่างกระหาย
ถ้าคือภูเขา ที่คอยเป็นร่มเงา
ในวันที่ดี ที่เธอกับฉัน
ได้อยู่ตรงนี้ และทุกอย่างไม่ใช่ความฝัน

นึกถึงทะเล อยากออกไปพบเจอ
คิดถึงภูเขา ข้างบนคงสวยงาม
ท้องฟ้าสีคราม ไม่เคยหยุดพัก
ในอีกไม่ช้า ทุกๆ อย่างจะกลับมาหา",plasui_plasui
This Is A Book,/music/thailyric/17572,"เพราะทุกๆ วันที่เคยผ่านมา
ในห้วงเวลาที่เราไม่เคยได้บอก
เพราะฉันและเธอ ยังคงเดียวดาย
และคงจะคล้ายเรื่องเดิมที่เคยได้อ่าน
และคงจะซ้ำเติมอยู่อย่างนั้น

เพราะความจริงมันคงไม่ต่าง
จากที่ฉันและเธอได้อยู่ด้วยกัน
โปรดเธอนั้น หยุดก่อนความฝัน
เพราะความจริง ถ้าฉันและเธอ
เปลี่ยนความเหงาเป็นเพียงรอยยิ้ม
คงดี เพราะต่อจากนี้

ถึงรู้ว่าคงเป็นเพียงความเหงา
ที่เข้ามาแทนความรู้สึกของเมื่อวาน
เพราะฉันและเธอ คงมีความหมายในความทรงจำ
ที่มีต่อกันไม่ห่าง และไม่อาจย้อนเวลาเหล่านั้น

เพราะความจริงมันคงไม่ต่าง
จากที่ฉันและเธอได้อยู่ด้วยกัน
โปรดเธอนั้น หยุดก่อนความฝัน
เพราะความจริง ถ้าฉันและเธอ
เปลี่ยนความเหงาเป็นเพียงรอยยิ้ม
คงดี เพราะต่อจากนี้

เพราะความจริงมันคงไม่ต่าง
จากที่ฉันและเธอได้อยู่ด้วยกัน
โปรดเธอนั้น หยุดก่อนความฝัน
เพราะความจริง ถ้าฉันและเธอ
เปลี่ยนความเหงาเป็นเพียงรอยยิ้ม
คงดี เพราะต่อจากนี้",plasui_plasui
Time Machine,/music/thailyric/21064,"คิดถึงวันก่อนๆ ที่ผ่านมาแล้วนั้น
ยังจำและจดถึงวันเก่าๆ เรื่องราวในครั้งนั้นที่เรา
สองยังไม่เคย ได้ถามอะไร อะไรในวันก่อนนั้น

แม้ล่วงเลยผ่านมาก็ยังจำได้ดี
และหากว่ามีไทม์แมชชีน
ก็อยากจะกลับไปตรงนั้นอีก

โปรดเวลาย้อนมา ให้ฉันได้พบเจอ
ที่ฉันและเธอคุยกันไว้ในวันนั้น
ความฝันที่มันยังคงไม่จริงสักวัน

ทุกๆ ครั้งที่เราเคยสบตาและยิ้มให้กัน
ยังจดและจำคืนวันเรื่องราวในครั้งนั้นที่เรา
สองยังไม่เคย ได้ถามอะไร อะไรที่ผ่านมานั้น

ที่ฉันและเธอคุยกันไว้ในวันนั้น
ความฝันที่มันยังคงไม่จริงสักวัน

แม้ล่วงเลยผ่านมาก็ยังจำได้ดี
และหากว่ามีไทม์แมชชีน
ก็อยากจะกลับไปตรงนั้นอีก

ได้โปรดเวลาย้อนมา ให้ฉันได้พบเจอ
ที่ฉันและเธอคุยกันไว้ในวันนั้น
ความฝันที่มันยังคงไม่จริงสักวัน",plasui_plasui
ของขวัญ (Best Thing),/music/thailyric/19958,"ใบหน้ามีรอยยิ้ม​ นัยน์ตาของเธอช่างงดงาม​
กว่าใคร​ กว่าใครที่ผ่านมานั้น
ที่โลกดูสดใส​ ไม่เคยแปลกใจ​ ว่าทำไม

ก็พอแล้วพอ​ ไม่เคยต้องการอะไร
เพียงแค่เธอ​ ที่เจอในฝันนั่นไง
พร้อมเข้าใจ​ มีแค่เราจะเดินข้างเคียงกันไป

ก็เพราะเธอคือ​ ของขวัญ​ ของฉัน
อยากบอกกับเธอ​ ให้เธอ​ ได้รู้
จะบอกกับเธอ​ ให้เธอ​ ได้รู้

ก็พอแล้วพอ​ เธอเท่านั้น​ แค่เธอเท่านั้น
ที่จับมือกัน​ คล้าย​ เธอที่อยู่ตรงนี้​
แต่ออกมาจากความฝัน​

ก็เพราะเธอคือ​ ของขวัญ​ ของฉัน
อยากบอกกับเธอ​ ให้เธอ​ ได้รู้
จะบอกกับเธอ​ ให้เธอ​ ได้รู้​

อยากบอกกับเธอ​ ให้เธอ​ ได้รู้
จะบอกกับเธอ​ ให้เธอ​ ได้รู้
จะบอกกับเธอ​ ให้เธอ​ ได้รู้",plasui_plasui
ใครคนนั้น (Be With You),/music/thailyric/22666,"แด่ดอกไม้ที่สวยงาม และผ่านเข้ามา
แต่คงไม่มีหนทางจะเด็ดดอกไม้มาชม
ติดกลิ่นหอมยวลใจ  ยังไม่หาย ไม่หาย ไป

ช็อกโกแลต  ที่พร้อมยอมให้เป็นของใคร
หรือว่าต้องรอไปก่อน
เพราะใครคนนั้นที่ จะเป็นของขวัญให้กัน
ในวันที่ โหดร้าย โหดร้าย

ถ้าฉันมีโอกาสได้พบใครคนนั้น
จะรักเขาไว้ให้ดี จะกอดเอาไว้ให้พอ
ให้สมกับที่ได้รอ เธอ

และแม้จะแสนนาน
ก็ยังหวังว่าจะมีใครเข้ามา
ขอเถอะขอ จะปลอบเธอทุกนาที
ให้สมกับที่ฉันมีเธอ

วันที่เหน็บหนาว เพียงแค่ใครสักคนจะผ่านเข้ามา
วันที่อ่อนล้า ช่วงเวลา ที่ได้เจอใครสักคน
ช่างนาน  ช่างนาน

ถ้าฉันมีโอกาสได้พบใครคนนั้น
จะรักเขาไว้ให้ดี จะกอดเอาไว้ให้พอ
ให้สมกับที่ได้รอ เธอ

และแม้จะแสนนาน
ก็ยังหวังว่าจะมีใครเข้ามา
ขอเถอะขอ จะปลอบเธอทุกนาที
ให้สมกับที่ฉันมีเธอ",plasui_plasui
ถ้าบังเอิญฉันหลับตาลง,/music/thailyric/20231,"อ่อนล้า คอยตามหา และยังไขว่คว้าหา
และคล้าย ว่าเธอที่อยู่ตรงหน้า
จะเป็นเธอ ที่ไม่หาย ไปจากฉัน

และถ้ามันมันบังเอิญที่ฉันหลับตาลง
ไม่เห็นเธอ ไม่เห็นเธอแล้วจริงๆ
ภาพเธอ ในฝันช่างคล้ายความจริง
แล้วเธอ ก็หายไปแล้วจริงๆ

เพราะเธอ

และถ้าไม่บังเอิญถ้าฉันเปิดตาคง
ไม่เห็นเธอ ไม่เห็นเธอแล้วทุกสิ่ง",plasui_plasui
