song_name,href,lyric,artist
ของมีค่า,/music/thailyric/4267,"ในเวลาที่เธอท้อ ในเวลาที่รอคนพร้อมเข้าใจ
แต่ไม่เจอสักคน บนดินแดนที่แห่งนี้
ย้ำให้รู้ว่ามีคนนี้เคียงข้างเธอ อย่าได้น้อยใจเลย

ฉันมองว่าดอกไม้
ให้มีร่องรอยเท่าไรก็ไม่เปลี่ยนเลย
ความสวยในตัวเอง และเธอคือดอกไม้
ที่ยังมีความงดงามในใจฉันเสมอ

ยังเก็บสะสมทุกเรื่องเล็กๆ ที่เธอเคยฝากไว้
ไม่ว่าอะไรฉันยังเก็บไว้ทุกวัน
เพราะมันยังคงเป็นสิ่งมีค่าสำหรับฉัน
อย่างที่เธอเป็นนั้น ฉันว่ามันก็สวยที่สุดแล้ว

ใจของใคร คงมองเห็นความสวยงาม
ที่มีและตีค่าสิ่งต่างๆ ตามแต่มุมของใคร
แต่ใจของฉันมันมองเห็นความพอดี
ของเธอว่ามีค่าเพียงพอ ขอให้เธอมั่นใจ

ฉันมองว่าดอกไม้
ให้มีร่องรอยเท่าไรก็ไม่เปลี่ยนเลย
ความสวยในตัวเอง และเธอคือดอกไม้
ที่ยังมีความงดงามในใจฉันเสมอ

ยังเก็บสะสมทุกเรื่องเล็กๆ ที่เธอเคยฝากไว้
ไม่ว่าอะไรฉันยังเก็บไว้ทุกวัน
เพราะมันยังคงเป็นสิ่งมีค่าสำหรับฉัน
อย่างที่เธอเป็นนั้น ฉันว่ามันก็สวยที่สุดแล้ว

และแม้ใครมองเธอยังไง แต่ว่าฉันไม่เปลี่ยนไป
อยากให้เธอรู้ไว้ว่าเธอคือ ของมีค่า สำหรับฉัน
เธอคือ ของมีค่า สำหรับฉัน
เธอคือ ของมีค่า สำหรับฉัน",playground
ขาด,/music/thailyric/8458,"หัวใจ กลายเป็นกล่องใส่ความเหงา
กลับมาเป็นฉันคนเก่า
คนที่ไม่มีใครข้างกาย

ยิ่งหายใจยิ่งเหงา
เป็นความเหงาที่ไม่คุ้นเคย
บนโลกที่ไม่มีเธอ
ฉันรู้สึกเหมือนมันจะทนไม่ได้

อยากมีชีวิตที่มีชีวิต
เหมือนตอนเธออยู่
ก็เพิ่งรู้ว่าเธอสำคัญกับฉัน
แค่ไหน

เธอคือส่วนหนึ่งของหัวใจ
ที่ตอนนี้ได้ขาดหายไป เธออยู่ไหน
จะมีสักเช้าหนึ่งไหม
จะลืมตา แล้วเห็นหน้าเธอ

อยากมีชีวิตที่มีชีวิต
เหมือนตอนเธออยู่
ก็เพิ่งรู้ว่าเธอสำคัญกับฉัน
แค่ไหน

เธอคือส่วนหนึ่งของหัวใจ
ที่ตอนนี้ได้ขาดหายไป เธออยู่ไหน
จะมีสักเช้าหนึ่งไหม
จะลืมตา แล้วเห็นหน้าเธอ",playground
คนคิดมาก,/music/thailyric/4268,"ฉันไม่รู้ควรทำยังไง กับความในใจที่ฉันมี
เหมือนว่าฉันไม่เป็นตัวเอง ทุกทีที่เธออยู่ตรงนี้
เพราะฉันคิดฟุ้งซ่านไปไกล
และมันเพิ่มขึ้นมากทุกที
ทั้งที่ยังไม่รู้สักทีว่าเธอนิยามมันเช่นไร

ได้โปรดเถอะ เธออย่าเลย
ถ้าเธอไม่เคยคิดอะไร
อย่าล้อเล่นแบบนี้ได้ไหม

ได้โปรดอย่าทำอะไรอะไร
ให้ฉันต้องกลายเป็นคนคิดมากได้หรือไม่
ไม่อยากปล่อยใจลอยๆ
ให้ฝันกลางวันจนต้องผิดหวัง

ช่วยตอบความจริงในใจตอนนี้
เธอคิดกับฉันเช่นไร ได้หรือเปล่า
ได้โปรดเฉลยความลับในใจที่เธอมีอยู่
เปิดเผยให้คนคิดมากได้รับรู้
ที่เป็นอย่างนี้ เรานั้นคิดตรงกันอยู่บ้างไหม

เพราะว่าฉันมีความทรงจำเก่าๆ กับคำว่าเสียใจ
พบความรักในใจทีไรก็ต้องผิดหวังอยู่อย่างนี้
ฉันก็เลยไม่ค่อยมั่นใจในความคลุมเครือที่เรามี
วอนเธอช่วยตอบฉันสักที ว่าเธอนิยามมันเช่นไร

ได้โปรดเถอะ เธออย่าเลย
ถ้าเธอไม่เคยคิดอะไร อย่าล้อเล่นแบบนี้ได้ไหม

ได้โปรดอย่าทำอะไรอะไร
ให้ฉันต้องกลายเป็นคนคิดมากได้หรือไม่
ไม่อยากปล่อยใจลอยๆ
ให้ฝันกลางวันจนต้องผิดหวัง

ช่วยตอบความจริงในใจตอนนี้
เธอคิดกับฉันเช่นไร ได้หรือเปล่า
ได้โปรดเฉลยความลับในใจที่เธอมีอยู่
เปิดเผยให้คนคิดมากได้รับรู้
ที่เป็นอย่างนี้ เรานั้นคิดตรงกันอยู่บ้างไหม

ได้โปรดอย่าทำอะไรอะไร
ให้ฉันต้องกลายเป็นคนคิดมากได้หรือไม่
ไม่อยากปล่อยใจลอยๆ
ให้ฝันกลางวันจนต้องผิดหวัง

ช่วยตอบความจริงในใจตอนนี้
เธอคิดกับฉันเช่นไร ได้หรือเปล่า
ได้โปรดเฉลยความลับในใจที่เธอมีอยู่
เปิดเผยให้คนคิดมากได้รับรู้

เพราะถ้าเรื่องราวที่มีนั้นเป็นไปได้
ความคิดที่มีมันคงมีความหมาย
เพราะตอนสุดท้าย
ความคิดนี้อาจจะกลายเป็นความรัก",playground
ใจหาย,/music/thailyric/8503,"และแล้วรักฉันก็ผ่านไป
ฉันรู้สุดท้ายต้องมีวันที่เราจากกัน
ให้รั้งไปก็เท่านั้น เวลาที่คนเราหมดใจ
ทางเดินทางเดียวที่มีคือต้องเดินกลับไป
ให้เรียกร้องอะไรไหว

ช่วงชีวิตที่ฉันได้เจอกับเธอ
มันก็ดีมากพอ แม้มันจะต้องจบ
ถึงฉันรู้ว่าควรเข้าใจ ยอมรับมันให้ไหว

แต่ใจมันหาย เมื่อถึงเวลาสุดท้ายที่เราต้องเดินแยกทาง
ฉันใช้ทุกความเข้าใจเพื่อลบเราไปทุกอย่าง
แต่ฉันก็ทำไม่ไหว แค่คิดว่าไม่มีเธอพรุ่งนี้จะเป็นเช่นไร
จะให้เลิกรัก หยุดหวัง ลืมเธอฉันทำไม่ได้
เธอเข้าใจฉันใช่ไหม

ที่แล้วมาฉันก็ขอบใจ
ที่มอบชีวิตให้คนอย่างฉันได้เก็บไว้
จะคิดถึงตลอดไป

กาลครั้งหนึ่งที่ได้เจอกับเธอ
มันคือโชคชะตาที่ฉันก็เต็มใจ
เจ็บแค่ไหนฉันก็จะพร้อม ยอมรับมันให้ไหว

แต่ใจมันหาย เมื่อถึงเวลาสุดท้ายที่เราต้องเดินแยกทาง
ฉันใช้ทุกความเข้าใจเพื่อลบเราไปทุกอย่าง
แต่ฉันก็ทำไม่ไหว แค่คิดว่าไม่มีเธอพรุ่งนี้จะเป็นเช่นไร
จะให้เลิกรัก หยุดหวัง ลืมเธอฉันทำไม่ได้
เธอเข้าใจฉันใช่ไหม

ใจฉันมันหาย ถึงรู้ว่าไม่มีทางจะซื้อเวลาไว้ได้
ก่อนที่เรื่องราวทุกอย่างของเราจะเลือนหายไป
ฉันหวังให้เธอปลอดภัย

คำขอที่พอจะมีก่อนเธอจะจากฉันไป
ฉันขอให้เธอ โชคดี",playground
เรื่องสมมุติ,/music/thailyric/4281,"สมมุติโลกนี้เหลือเราอยู่เพียงแค่สองคน
อยากรู้จริงๆ ว่าคนอย่างฉันจะมีสิทธิ์ไหม
หากฉันขอวอนฟ้าให้ครั้งนึง
เราได้ใกล้ เคียงคู่ไปด้วยกัน

แล้วถ้าสมมุติฟ้ายอมให้ฉันได้คู่เธอ
อยากค้นความจริงในใจว่าเธอจะรังเกียจไหม
หากเธอพบว่าฉันไม่ได้เพรียบพร้อม
เป็นอย่างคนที่เธอเคยวาดไว้

ยังเป็นคำถามที่ติดอยู่ในหัวใจ
ฉันรู้ว่าความเป็นจริง เราอาจเป็นไปไม่ได้
เพราะสิ่งที่ฉันคิดเราต่างคนก็รู้
ว่าฉันควรเก็บมันไว้ในใจ

ทั้งหมดเพียงเรื่องสมมุติที่ฉันอยากให้เป็นเรื่องจริง
ฝันเล็กๆ ของคนที่คิดพาเธอไปไกล
ได้อยู่ในความฝัน ให้ใจยังมีหวัง
ก็เพียงพอแล้วที่ฉันต้องการ

ได้กอดเธอ ในจินตนาการก็สุขใจเท่าไร
ฉันรู้แล้วว่าชีวิตนี้เฝ้าคอยอะไร เธอคือปาฏิหาริย์
และฉันจะรอวันนั้น ที่เธอเสกเราให้เป็นเรื่องจริง

แม้โชคชะตาไม่พร้อมให้เราได้คู่กัน
แต่ถ้าสมมุติฉันยังยืนยันจะคอยต่อไป
อยากจะรู้สุดท้ายแล้วเธอ
จะยอมใจอ่อนให้คนๆ นี้บ้างไหม

ก็เป็นคำถามที่ติดอยู่ในหัวใจ
ฉันรู้ว่าความเป็นจริงเราอาจเป็นไปไม่ได้
เพราะสิ่งที่ฉันคิด เราต่างคนก็รู้
ว่าฉันควรเก็บมันไว้ในใจ

ทั้งหมดเพียงเรื่องสมมุติที่ฉันอยากให้เป็นเรื่องจริง
ฝันเล็กๆ ของคนที่คิดพาเธอไปไกล
ได้อยู่ในความฝัน ให้ใจยังมีหวัง
ก็เพียงพอแล้วที่ฉันต้องการ

ได้กอดเธอ ในจินตนาการก็สุขใจเท่าไร
ฉันรู้แล้วว่าชีวิตนี้เฝ้าคอยอะไร เธอคือปาฏิหาริย์
และฉันจะรอวันนั้น ที่เธอเสกเราให้เป็นเรื่องจริง

ทั้งหมดเพียงเรื่องสมมุติที่ฉันอยากให้เป็นเรื่องจริง
ฝันเล็กๆ ของคนที่คิดพาเธอไปไกล
ได้อยู่ในความฝัน ให้ใจยังมีหวัง
ก็เพียงพอแล้วที่ฉันต้องการ

ได้กอดเธอ ในจินตนาการก็สุขใจเท่าไร
ฉันรู้แล้วว่าชีวิตนี้เฝ้าคอยอะไร เธอคือปาฏิหาริย์
และฉันจะรอวันนั้น ที่เธอเสกเราให้เป็นเรื่องจริง

เสกเราให้เป็นเรื่องจริง",playground
หม่น,/music/thailyric/4285,"มันนานเท่าไรที่เราจากกัน
ความจริงช่างเลือนจนลืมทุกอย่าง
เลิกจำไปแล้วแค่ความหลัง
แต่ฉันไม่รู้ว่าเพราะอะไร ทำไมวันนี้ที่ฟ้ามืดลง

ความเศร้าเหล่านั้นถึงย้อนมาอีกครั้ง
และเพียงแค่เสี้ยวนาที
ที่ฉันเผลอคิดถึงเธอขึ้นมา
น้ำตาที่อยู่ในใจ ก็เก็บมันเอาไว้ต่อไปไม่ไหว

มองไปทางไหน ในใจฉันยังคงอ้างว้าง
ในวันนี้ที่ใจหม่น จนแทบทนไม่ไหว
จะมีทางไหนที่ฉันจะลบ
ทุกความทรงจำของเราได้
ช่วยทำให้วันหม่นๆ มันพ้นผ่านไปสักที

ฉันรู้ชีวิตก็เป็นแบบนี้ ไม่ว่าเรื่องนั้นจะร้ายหรือดี
แต่ในไม่ช้าแล้วมันจะผ่านไป
แต่พอฉันได้รับรู้ ยิ่งฉันฝืนแกล้งทำว่าเข้าใจ
ความเศร้าที่เก็บซ่อนไว้
มันก็ทำให้ฉันแทบยืนไม่ไหว

มองไปทางไหน ในใจฉันยังคงอ้างว้าง
ในวันนี้ที่ใจหม่น จนแทบทนไม่ไหว
จะมีทางไหนที่ฉันจะลบ
ทุกความทรงจำของเราได้
ช่วยคลายให้คนหม่นๆ มันหายอ่อนแอสักที

มองไปทางไหน ในใจฉันยังคงอ้างว้าง
ในวันนี้ที่ใจหม่น จนแทบทนไม่ไหว
จะมีทางไหนที่ฉันจะลบ
ทุกความทรงจำของเราได้
ช่วยทำให้วันหม่นๆ มันพ้นผ่านไปสักที

เมื่อไรที่ใจหม่นๆ ของคนซึมเซา
ถึงจะคุ้นเคยกับวันที่มันเงียบเหงา
ช่วยทำให้วันดีๆ ของเขากลับมาสักที",playground
กล่อง,/music/thailyric/4266,"กล่องใบนี้มีอะไรซ่อนอยู่
เธอคงไม่รู้ถ้าเธอไม่ลองเปิดดู
มีความหมายมากมายที่ซ่อนอยู่
แล้วเราคงได้พบกัน

คนบางคนเคยไขว่คว้า
สิ่งต่างๆ แต่พอได้รับมันมา
สุดท้ายก็ยังไม่เคยพอใจ
เธอเคยเจอกล่องนี้ไหม
เป็นกล่องของขวัญที่ยิ่งใหญ่
มีค่ากว่าสิ่งใด รู้ไหมสิ่งนั้นมันคืออะไร

ไม่ใช่สิ่งของที่ชิ้นโต
ไม่มีราคาแพงเลิศหรู
แค่เพียงเรารู้สิ่งที่มีอยู่ในใจ
ว่าเราต้องการอะไร

กล่องใบนี้มีอะไรซ่อนอยู่
เธอคงไม่รู้ถ้าเธอไม่ลองเปิดดู
มีความหมายมากมายที่ซ่อนอยู่แค่เปิดใจรับมัน
ใจดวงนี้มีอะไร ซ่อนอยู่เธอคงไม่รู้
ถ้าเธอไม่ลองเปิดดู
มี(ของขวัญ)ความหมายมากมายที่ซ่อนอยู่
และเราคงจะได้พบกัน

คนบางคนมีความฝัน
แต่ชีวิตที่ต้องวุ่นวายทั้งวัน
สุดท้ายไม่เคยได้ทำเสียที
เธอลองมาเปิดกล่องใบนี้
ตอบความเป็นจริงในใจ
ความฝันที่เธอมี
ว่าชีวิตเธอนี้ต้องการอะไร

ไม่ใช่สิ่งของที่ชิ้นโต
ไม่มีราคาแพงเลิศหรู
แค่เพียงเรารู้สิ่งที่มีอยู่ในใจ
ว่าเราต้องการอะไร

กล่องใบนี้มีอะไรซ่อนอยู่
เธอคงไม่รู้ถ้าเธอไม่ลองเปิดดู
มีความหมายมากมายที่ซ่อนอยู่แค่เปิดใจรับมัน
ใจดวงนี้มีอะไร ซ่อนอยู่เธอคงไม่รู้
ถ้าเธอไม่ลองเปิดดู
มี(ของขวัญ)ความหมายมากมายที่ซ่อนอยู่
และเราคงจะได้พบกัน

กล่องใบนี้มีอะไรซ่อนอยู่
เธอคงไม่รู้ถ้าเธอไม่ลองเปิดดู
มีความหมายมากมายที่ซ่อนอยู่แค่เปิดใจรับมัน
ใจดวงนี้มีอะไร ซ่อนอยู่เธอคงไม่รู้
ถ้าเธอไม่ลองเปิดดู
มี(ของขวัญ)ความหมายมากมายที่ซ่อนอยู่
และเราคงจะได้พบกัน

กล่องใบนี้มีอะไรซ่อนอยู่
เธอคงไม่รู้ถ้าเธอไม่ลองเปิดดู
มีความหมายมากมายที่ซ่อนอยู่แค่เปิดใจรับมัน
ใจดวงนี้มีอะไร ซ่อนอยู่เธอคงไม่รู้
ถ้าเธอไม่ลองเปิดดู
มี(ของขวัญ)ความหมายมากมายที่ซ่อนอยู่
และเราคงจะได้พบกัน",playground
มุม,/music/thailyric/4277,"หากใครคนนึงมีคำถาม สักวันเขาอยากจะพบใคร
คำตอบในใจคือใครที่คุนต้องการ
เธอคือคนที่ดีพร้อม ใครๆต่างพากันชอบเธอ
เธอคือคำตอบที่ทุกหัวใจใฝ่ฝัน

และแม้ฉันเป็นคนที่ประทับใจเธอเช่นกัน
แต่ฉันก็ไม่กล้าที่จะพูดไป
ได้แต่ยิ้มให้เธอเบาๆ อยู่ในมุมที่เธอไม่สนใจ
แอบมองดูเธอไกลๆอย่างนี้ต่อไป

ได้แอบมองเธอข้างเดียวอยู่ที่มุมนี้
ก็พอแล้วไม่มีเงื่อนไขใดๆในความหวังดี
แค่ได้ชอบเธออยู่ตอนนี้
ก็ถือเป็นโชคชะตาดีๆที่คนอย่างฉันได้เกิดมาพบกับเธอ

หากเราใกล้กันมากกว่านี้ สักวันมันอาจจะไม่ดี
บางสิ่งในใจฉันอาจทำเธอลำบาก
ก็ปล่อยเธอลอยอยู่บนฟ้า ขอมองดูเธอจากพื้นดิน
แค่เพียงได้เห็นเธอก็สุขใจแล้ว

และแม้ฉันเป็นคนที่ประทับใจเธอเช่นกัน
แต่ฉันก็ไม่กล้าที่จะพูดไป
ได้แต่ยิ้มให้เธอเบาๆ อยู่ในมุมที่เธอไม่สนใจ
แอบมองดูเธอไกลๆอย่างนี้ต่อไป

ได้แอบมองเธอข้างเดียวอยู่ที่มุมนี้
ก็พอแล้วไม่มีเงื่อนไขใดๆในความหวังดี
แค่ได้ชอบเธออยู่ตอนนี้
ก็ถือเป็นโชคชะตาดีๆที่คนอย่างฉันได้เกิดมาพบกับเธอ

แต่ถ้าวันนึงเธอเหนื่อยล้าจากเรื่องต่างๆ
จนเธอรู้สึกว่าโลกนี้เหมือนกับไม่เหลือใคร
โปรดจงรู้เอาไว้ ว่าโลกนี้ยังมีความห่วงใย
จากมุมเล็กๆตรงนี้เสมอ

ได้แอบมองเธอข้างเดียวอยู่ที่มุมนี้
ก็พอแล้วไม่มีเงื่อนไขใดๆในความหวังดี
แค่ได้ชอบเธออยู่ตอนนี้
ก็ถือเป็นโชคชะตาดีๆที่คนอย่างฉันได้เกิดมาพบกับเธอ

ได้แอบมองเธอข้างเดียวอยู่ที่มุมนี้
ก็พอแล้วไม่มีเงื่อนไขใดๆในความหวังดี
ก็เรื่องดีๆที่มีตอนนี้ ก็ได้แต่รู้ว่าเธอคนนี้
ได้มีความสุขแค่เพียงเท่านี้ฉันก็อุ่นใจ",playground
โซลเมต,/music/thailyric/4271,"คนๆ หนึ่ง กับใจซึ้งๆ ที่ยังเฝ้าคอย...จะได้พบใครในสักวัน
เดินคนเดียวอยู่ไปวันๆ มานานเหลือเกิน...มันเหงาเสียจนเริ่มท้อใจ

รอใครสักคนที่จะเข้ามา เปลี่ยนชีวิตที่มันจำเจให้ได้รู้ว่า
คนๆ นั้นยังมีอยู่จริง สิ่งที่ฉันรอมาแสนนาน...คนที่ฟ้าส่งมาให้ฉัน

แต่ว่าตอนนี้เธออยู่ที่ใดบนโลกนี้ที่มันช่างกว้างใหญ่
และฉันยังคงต้องรออีกนานเท่าไหร่
กว่าจะพบคนนั้นที่รออยู่ คู่แท้ที่จะเข้ามาเปลี่ยน...
ชีวิตคนธรรมดาคนนี้ให้ไม่ต้องเหงาอีกต่อไป

วาเลนไทน์ ก็ยังเดียวดาย ผ่านไปเหมือนเคยยังไม่มีใครสักคนที่ข้างกาย
มองใครๆ เดินจูงมือกัน แต่ฉันไม่มี ยังนั่งเหงาๆ เพียงลำพัง

รอใครสักคนที่จะเข้ามา เปลี่ยนชีวิตที่มันจำเจให้ได้รู้ว่า
คนๆ นั้นยังมีอยู่จริง สิ่งที่ฉันรอมาแสนนาน...คนที่ฟ้าส่งมาให้ฉัน

แต่ว่าตอนนี้เธออยู่ที่ใดบนโลกนี้ที่มันช่างกว้างใหญ่
และฉันยังคงต้องรออีกนานเท่าไหร่
กว่าจะพบคนนั้นที่รออยู่ คู่แท้ที่จะเข้ามาเปลี่ยน...
ชีวิตคนธรรมดาคนนี้ให้ไม่ต้องเหงาอีกต่อไป

แต่ว่าตอนนี้เธออยู่ที่ใดบนโลกนี้ที่มันช่างกว้างใหญ่
และฉันยังคงต้องรออีกนานเท่าไหร่
กว่าจะพบคนนั้นที่รออยู่ คู่แท้ที่จะเข้ามาเปลี่ยน...
ชีวิตคนธรรมดาคนนี้ให้ไม่ต้องเหงาอีกต่อไป

แต่ว่าตอนนี้เธออยู่ที่ใดบนโลกนี้ที่มันช่างกว้างใหญ่
และฉันยังคงต้องรออีกนานเท่าไหร่
กว่าจะพบคนนั้นที่รออยู่ คู่แท้ที่จะเข้ามาเปลี่ยน...
ชีวิตคนธรรมดาคนนี้ให้ไม่ต้องเหงาอีกต่อไป

...อีกต่อไป

แค่เพียงใครสักคนที่อยู่ด้วยกันแล้วทำให้โลกนี้สดใส... เธออยู่ไหน
แค่เพียงใครสักคนที่ทำให้ฉันนั้นไม่ต้องเหงาตลอดไป",playground
อยากให้ช่วงเวลาเหล่านี้อยู่กับเราไปนานๆ ได้ไหม,/music/thailyric/4286,"ทุกครั้งที่เราได้เจอกันนั้นช่างแสนสุขใจ
เฝ้าแต่นับเวลาที่ผ่าน เมื่อไหร่จะถึงวันที่เฝ้ารอวันนี้

แต่ว่าเวลาที่หมุนผ่านไป
มันบังคับให้เราต้องไกลกันอีกในไม่ช้า
ก่อนทุกสิ่งจะไม่อาจย้อนกลับมา
ฉันอยากจะขออะไรสักอย่างก่อนจะได้ไหม
โปรดเถอะ โปรดเถอะ โปรดเถอะ โปรดเถอะ

ขอให้ช่วงเวลาดีๆ อยู่กับเราไปอย่างนี้
เป็นความทรงจำที่จะไม่ลบไปจากใจ
อยากขอให้เธออยู่นานๆ ได้ไหม
เพราะช่วงเวลานี้ คือช่วงชีวิตที่ดีที่สุดของฉัน

ทุกสิ่งรอบกายในวันวันนี้ดูช่างสวยงาม
แต่ไม่มีภาพใดที่สวยเกินกว่าภาพเธอคนนี้
ในช่วงเวลาตอนนี้

แต่ว่าเวลาที่หมุนผ่านไป
มันบังคับให้เราต้องไกลกันอีกในไม่ช้า
ก่อนทุกสิ่งจะไม่อาจย้อนกลับมา
ฉันอยากจะขออะไรสักอย่างก่อนจะได้ไหม
โปรดเถอะ โปรดเถอะ โปรดเถอะ โปรดเถอะ

ขอให้ช่วงเวลาดีๆ อยู่กับเราได้อย่างนี้
เป็นความทรงจำที่จะไม่ลบไปจากใจ
อยากขอให้เธออยู่นานๆ ได้ไหม
เพราะช่วงเวลานี้ คือช่วงชีวิตที่ดีที่สุดของฉัน

ขอให้ช่วงเวลาดีๆ อยู่กับเราได้อย่างนี้
เป็นความทรงจำที่จะไม่ลบไปจากใจ
อยากขอให้เธออยู่นานๆ ได้ไหม
เพราะช่วงเวลานี้ คือช่วงชีวิตที่ดีที่สุดของฉัน",playground
