song_name,href,lyric,artist
A Little More (อีกนิดหนึ่ง),/music/thailyric/16874,"ไม่นานใจคงต้องเจ็บ เพราะแววของเธอมันออก
บอกว่าเธอนั้นจะไปจากฉัน หมางเมินกันไม่เหมือนเคย
ลงเอยด้วยความเสียใจ เมื่อเธอจะทิ้งกันไป
คงทนไม่ไหว เกินจะรับไว้ ถ้าเธอหมดใจให้กัน

แต่อยากจะขออะไรสักอย่าง
เหตุผลใดๆ ไม่ต้องการฟัง
แค่เพียงสิ่งเดียวให้เธอช่วยเห็นใจกัน
ช่วยต่อเวลาอีกครั้ง ให้ฉันได้พอทำใจ

จากไปช้าๆ ปล่อยฉันเหงาๆ
หลับตาแล้วคิดทบทวนเรื่องราวครั้งเก่า
ผ่านวันฝันหวาน ปล่อยฉันฝันค้าง
ค่อยๆ เลือนลบเธอไป เพียงแค่ขอทำใจอีกนิดหนึ่ง

จะเตรียมหัวใจเพื่อเจ็บ เพราะคงไม่มีทางออก
หลอกตัวเองไว้ เธอยังรักฉัน แม้ความจริงไม่ใช่เลย
ย้ำใจรักเธอน้อยลง มันคงจะยากเกินไป
โปรดอย่าใจร้ายความรู้สึกฉัน หวังว่าเธอคงเข้าใจ

แต่อยากจะขออะไรสักอย่าง
เหตุผลใดๆ ไม่ต้องการฟัง
แค่เพียงสิ่งเดียวให้เธอช่วยเห็นใจกัน
ช่วยต่อเวลาอีกครั้ง ให้ฉันได้พอทำใจ

จากไปช้าๆ ปล่อยฉันเหงาๆ
หลับตาแล้วคิดทบทวนเรื่องราวครั้งเก่า
ผ่านวันฝันหวาน ปล่อยฉันฝันค้าง
ค่อยๆ เลือนลบเธอไป เพียงแค่ขอทำใจ

จากไปช้าๆ ปล่อยฉันเหงาๆ
หลับตาแล้วคิดทบทวนเรื่องราวครั้งเก่า
ผ่านวันฝันหวาน ปล่อยฉันฝันค้าง
ค่อยๆ เลือนลบเธอไป เพียงแค่ขอทำใจอีกนิดหนึ่ง

เพียงแค่ขอทำใจ อีกนิดหนึ่ง",ploy_chompoo
Deep End,/music/thailyric/13286,"Stranded in open water
I think it's too late to be recovered
Where do I go from here Here
Don't wanna dive below
Down into the deep unknown
The darkness drowns my fear

I just wanna take your touch
From under my skin
cuz it feels so foreign
The seas are rough
And the waves come crashing down

ooh ooh
I'm tryna find my feet again
ooh ooh
Swimming in the Deep End
Now my heart is slowing down
And I'm drifting falling south
ooh ooh
I'm swimming in the deep end

The tide swept out too far
No one can find me on the radar
And the predators are near
Giving in I'm seeing visions
Of how we used to be
This illusion weighs me down
like an anchor

I just wanna take your touch
From under my skin cuz it feels so foreign
The seas are rough
And the waves come crashing down
ooh ooh
I'm tryna find my feet again
ooh ooh
Swimming in the deep end
Now my heart is slowing down
And I'm drifting falling south
ooh ooh
I'm swimming in the deep end

Swimming swimming swimming
Swimming in the deep end
Swimming swimming swimming

I don't wanna go like this
I don't want your kiss to be
the last thing on my lips

I just wanna take your touch
From under my skin cuz it feels so foreign
And the seas are rough
woah woah woah
I finally found my feet again
woah woah woah
Swimming in the deep end
And I'm finally breathing out
Now my feet are on the ground
After swimming in the deep end",ploy_chompoo
Heart Stop,/music/thailyric/13564,"I've got my eye on a stranger
I find it hard for my eyes to look away
Am I looking for danger maybe I am
That's why I haven't looked away
I never said I was looking
But I never said I would mind a dude like you
It came to shove he was pushing maybe I am
Just looking for a dream come true

Vision is blurry I'm nearly flat lined

I think he made my Heart Stop yeah
I think he made my heart stop yeah
I love this feeling don't stop yeah
Give me a second baby I need to breathe
I'm in a state I'm in a state
State of emergency
I'm in a state I'm in a state
State of emergency

Now that I lost all my focus
Are you to blame or should I be blaming love
I think he's starting to notice just who I am
And I know I'm who you're thinking of

Vision is blurry I'm nearly flat lined

I think he made my heart stop yeah
I think he made my heart stop yeah
I love this feeling don't stop yeah
Give me a second baby I need to breathe
I'm in a state I'm in a state
State of emergency
I'm in a state I'm in a state

Somebody call 911
And tell them that I'm falling in love
Somebody call 911
I'm thinking that he could be the one

I think he made my heart stop yeah
I think he made my heart stop yeah
I love this feeling don't stop yeah
Give me a second baby I need to breathe
I'm in a state I'm in a state
State of emergency
I'm in a state I'm in a state
State of emergency",ploy_chompoo
Location,/music/thailyric/22962,"แกล้งทำเป็นไม่รู้ หรือเธอดูไม่ออก
ต้องให้พูดตรงๆ ว่าฉันนั้นชอบเธอ
ใช่ไหม ถึงจะเข้าใจนะ
ถ้าเธอใจตรงกันเธอก็แวะมาก่อน
Baby imma send u my Location
ทิ้งให้เธอไว้ ถึงเมื่อไรก็คอลมานะ

เธอรู้ดีหรือเธอทำเป็นว่าไม่รู้ทัน
ก็ใบ้ไปขนาดนี้จะรู้ได้รึยัง
เพราะถ้าเธอใจวูบวาบตึกตักอะ เหมือนฉัน
ก็ช่วยพูดมาสักคำว่าเธอนั้นคิดยังไงกัน

ไม่อยากรอ ไม่อยาก Take it slow
ได้แต่รอคอยให้เธอ Call me on my phone ring ring
มันคงจะดีกว่าโทร
ถ้ามีเธอมาอยู่ด้วยกันน่ะ All alone yeah yeah

ซ่อนใจตัวเองไม่ได้เลย
ถ้าเธอไม่มา I'mma be on my way yeah yeah
เมื่อไรที่เธอจะเข้าใจสักที

แกล้งทำเป็นไม่รู้ หรือเธอดูไม่ออก
ต้องให้พูดตรงๆ ว่าฉันนั้นชอบเธอ
ใช่ไหม ถึงจะเข้าใจนะ
ถ้าเธอใจตรงกันเธอก็แวะมาก่อน
Baby imma send u my location
ทิ้งให้เธอไว้ ถึงเมื่อไรก็คอลมานะ

ถ้าเธอมีใจต่อให้ไกลแค่ไหน
ขอนแก่นก็แค่อยู่ปากซอย
ให้ฉันไปเมื่อไรฉันก็พร้อมไปอะ
พูดจริงๆ พูดจริงๆ พูดจริงๆ

ไม่ต้อง Ring ring
ฉันจะกริ๊งกริ๊ง At your door
Whatch think think
Anything thing, that you want
Gimme more gimme more gimme more
อยากได้ทั้งหัวใจถ้าไม่มากเกินขอ

ไม่อยากรอ ไม่อยาก Take it slow
ได้แต่รอคอยให้เธอ Call me on my phone ring ring
มันคงจะดีกว่าโทร
ถ้ามีเธอมาอยู่ด้วยกันน่ะ All alone yeah yeah

ซ่อนใจตัวเองไม่ได้เลย
ถ้าเธอไม่มา I'mma be on my way yeah yeah
เมื่อไรที่เธอจะเข้าใจสักที

แกล้งทำเป็นไม่รู้ หรือเธอดูไม่ออก
ต้องให้พูดตรงๆ ว่าฉันนั้นชอบเธอ
ใช่ไหม ถึงจะเข้าใจนะ
ถ้าเธอใจตรงกันเธอก็แวะมาก่อน
Baby imma send u my location
ทิ้งให้เธอไว้ ถึงเมื่อไรก็คอลมานะ

Ring ring at my door yeah yeah
Send me your location
Ring ring call my phone yeah yeah
Send me your location
Ring ring at my door yeah yeah
Anything all that you want babe
Ring ring call my phone yeah yeah
If you're here give me a call",ploy_chompoo
Passcode,/music/thailyric/19233,"What's your Passcode
How do you treat your mama
Does your ex give you drama
Things that I gotta know

How many past hoes
Do you believe in karma
What colour is your aura
Things that I gotta know

Did you lie If you say no
You're a liar you could go
I need honesty transparency
No sugarcoats

I won't be judgmental
Maybe sentimental
All I want is to be with you

Cos I like you
Boy I really like you
But I've been through the fire too many times
So I gotta know gotta know

Cos I really like you
Wanna let you inside too
But I've been through the fire too many times
So I gotta know gotta know

Oops did I say too much too soon
Oops didn't wanna play it cool
Oops I can't pretend think we could be more than friends (Yeah)
Oops did I say too much too soon
Oops didn't wanna play it cool
Oops I can't pretend think we could be more than friends (Yeah)

Did you lie If you say no
You're a liar you could go
I need honesty transparency

No sugarcoats no I don't knows
Give you all of me
If you give me all the tea
Just let it flow cos I gotta know
What I'm getting into
Don't keep it confidential
It could be monumental

I won't be judgmental
Maybe sentimental
All I want is to be with you

Cos I like you
Boy I really like you
But I've been through the fire too many times
So I gotta know gotta know

Cos I really like you
Wanna let you inside too
But I've been through the fire too many times
So I gotta know gotta know

Oops did I say too much too soon
Oops didn't wanna play it cool
Oops I can't pretend, think we could be more than friends (Yeah)
Oops did I say too much too soon
Oops didn't wanna play it cool
Oops I can't pretend think we could be more than friends (Yeah)

I need answers I need passwords I need love
It's been years since I've forgotten how to trust
Maybe someday I'll be in my feelings
Not worrying bout who's in your DMs
But til then I need answers I need passwords I need love

Cos I like you
Boy I really like you

But I've been through the fire too many times
So I gotta know gotta know
Cos I really like you
Wanna let you inside too
But I've been through the fire too many times
So I gotta know gotta know

Oops did I say too much too soon
Oops didn't wanna play it cool
Oops I can't pretend, think we could be more than friends (Yeah)
Oops did I say too much too soon
Oops didn't wanna play it cool
Oops I can't pretend think we could be more than friends (Yeah)",ploy_chompoo
Psycho,/music/thailyric/23730,"ทุกสิ่งที่เคยหวังไปเพิ่งมารู้มาเข้าใจ
ว่าเธอรักใครไม่ได้เลยนอกจากตัวเอง
ตอนนี้ทุกอย่างมันชัดเจน Yeah
ก็คงดีแล้วที่เดินออกมา Yeah

ฉันคงไม่สนใจเธอจะเป็นเช่นไร
ว่าเธอจะร้ายดียังไงไม่มีอะไรให้เสียใจ
ถ้าเธอจะหายไป Boy why the fuck should I care yeah
เธอก็ไม่แคร์ อืม Yeah ไม่เคยเสียน้ำตาให้ใคร
เธออย่าสำคัญตัวมากเกินไป

เธอบอกเพื่อนทุกคนว่าฉันยังรักและฉันน่ะ Psycho
แต่ฉันน่ะไม่อยากคุยไม่อยากรับรู้ก็ยังจะโทร Oh
Why you're so obsessed with me yeah baby เธอโคตร Psycho
Baby you're so psycho baby you're so psycho

เธอบอกเพื่อนทุกคนว่าฉันยังรักและฉันน่ะ Psycho
แต่ฉันน่ะไม่อยากคุยไม่อยากรับรู้ก็ยังจะโทร Oh
Why you're so obsessed with me yeah baby เธอโคตร Psycho
Baby you're so psycho baby you're so psycho

ตอนนั้นเธอไปเจอคนใหม่
บอกฉันว่าฉันดีเกินไป
ขอบคุณที่เธอรู้ตัว
ตอนนี้ฉันมองข้ามๆ เธอไป
ฉันไม่แคร์เธอก็รับไม่ได้
คิดว่าฉันจะมานั่งร้องไห้
เพิ่งจะมาคิดถึง
เพิ่งจะมาอย่างซึ้งตอนที่ฉันไม่อยู่

เธอส่งข้อความมาฉันก็ไม่ดู yeah
Blocked your number bitch who are you yeah
โทษที ฉันไม่รู้จริงๆ
ก็คนนิสัยไม่ดีมันลืมง่ายจริงๆ

เธอบอกเพื่อนทุกคนว่าฉันยังรักและฉันน่ะ Psycho
แต่ฉันน่ะไม่อยากคุยไม่อยากรับรู้ก็ยังจะโทร Oh
Why you're so obsessed with me yeah baby เธอโคตร Psycho
Baby you're so psycho baby you're so psycho

เธอบอกเพื่อนทุกคนว่าฉันยังรักและฉันน่ะ Psycho
แต่ฉันน่ะไม่อยากคุยไม่อยากรับรู้ก็ยังจะโทร Oh
Why you're so obsessed with me yeah baby เธอโคตร Psycho
Baby you're so psycho baby you're so psycho

ขอร้องล่ะเธออย่ามาประสาทแดก
เลิกพูดจาน่าตบปากแตก
ต้องทำมาหากินตากลมตากแดด
เรื่องไร้สาระสมองไม่อยากแบก

เธออ่ะชอบพูดให้ตัวเองดูดี
พูดให้ดูแพงทั้งๆที่ดูฟรี
แต่ว่าโทษทีครับ ศักดิ์ศรีกูมี
ไม่มีเธอก็ยังกินดีอยู่ดี

ในเมื่อตอนมีเธอไม่เห็นค่า ครั้งหน้ามันจะไม่มีอีก
ฉันสัญญากับตัวเองเอาไว้ และแน่นอนว่ามันจะไม่มีฉีก
คือว่าฉันจะไม่เอาตัวเอง ไปอยู่ในที่ไม่ดีอีก
ฉันรักตัวเองเวอร์ชั่นนี้มาก อิสระภาพเหมือนนกที่มีปีก

เธอบอกเพื่อนทุกคนว่าฉันยังรักและฉันน่ะ Psycho
แต่ฉันน่ะไม่อยากคุยไม่อยากรับรู้ก็ยังจะโทร Oh
Why you're so obsessed with me yeah baby เธอโคตร Psycho
Baby you're so psycho baby you're so psycho

เธอบอกเพื่อนทุกคนว่าฉันยังรักและฉันน่ะ Psycho
แต่ฉันน่ะไม่อยากคุยไม่อยากรับรู้ก็ยังจะโทร Oh
Why you're so obsessed with me yeah baby เธอโคตร Psycho
Baby you're so psycho baby you're so psycho

เธอบอกเพื่อนทุกคนว่าฉันยังรักและฉันน่ะ Psycho
แต่ฉันน่ะไม่อยากคุยไม่อยากรับรู้ก็ยังจะโทร Oh
Why you're so obsessed with me yeah baby เธอโคตร Psycho
Baby you're so psycho baby you're so psycho",ploy_chompoo
Strangled Love,/music/thailyric/13285,"Ooh, all your moves
all your moves
Swept me up in a frenzy
Ooh letting loose letting loose
Lost in that jungle wild and sexy
Learned a savage lesson
When the brightest heaven
Becomes dark obsession
It's a noose it's a noose

I can feel you breathing
down my neck
Watching me too close
I don't like that Holding too tight
your jealous eyes keep on spying
Look over my shoulder every step
Think I'm gonna suffocate to death
I try to break free but I can't leave
You keep digging those damn claws in

Now I'm in Strangled Love
and I'm cursing your name
You got me tangled up
in a lovers cage
Oh I'm so choked
You won't let me go
Now I'm in strangled love
But don't take your hands off me

You animal animal
kicked off a chain reaction
ooh Magical magical keep coming back
to raw attraction Such a firey lover
la la like no other
I can't seem to smother
Such a powerful hold

I can feel you breathing
down my neck
Watching me too close
I don't like that Holding too tight
your jealous eyes keep on spying
Look over my shoulder every step
Think I'm gonna suffocate to death
I try to break free, but I can't leave
You keep digging those damn claws in

Now I'm in strangled love
and I'm cursing your name
You got me tangled up
in a lovers cage
Oh I'm so choked
You won't let me go
Now I'm in strangled love
But don't take your hands off me

You're needy you're greedy
You're doing what you like
Wild passion raw power
Kneel to them I just might
Keep filling that cup
with my favorite wine
I quit you once quit you twice
Still let that poison go down

Now I'm in strangled love
and I'm cursing your name
You got me tangled up
in a lovers cage
Oh I'm so choked
You won't let me go
Now I'm in strangled love
But don't take your hands off me",ploy_chompoo
Words,/music/thailyric/16169,"Your lies are toxic
They try to make me weak
But you don't know I'm made of chrome
And when you fade out
Every one that you know will be at my show

Long from now
When no one's around
I'll be living in LA
I can see it now
You be shouting to an empty wall
And I'll be shouting to a sold out crowd

Your Words can't touch me
But you'll never bring me down down down
Da da down down down
Load up and take me
But you'll never break me
Down down down
Da da down down down

When you think I'm done
I have only just begun
It takes me higher and higher
Your words can't touch me
But you'll never bring me down down down
Da da down down down

Now you're telling me how she sings it better than me
With all your weapons drawn to knock me off my feet
And when you burn out
Everyone you know will be looking at me

Long from now
When no one's around
I'll be living in LA
I can see it now
You be shouting to an empty wall
And I'll be shouting to a sold out crowd

Your words can't touch me
But you'll never bring me down down down
Da da down down down
Load up and take me
But you'll never break me
Down down down
Da da down down down

When you think I'm done
I have only just begun
It takes me higher and higher
Your words can't touch me
But you'll never bring me down down down
Da da down down down

I'mma sell millions
No I don't care bout your opinion
You just one outta billion civilians
Think you can make me crack yeah
But I fire back like pra pra prrrr
I'm wounded but I became deadly as ay
Fire but your bullets all ricochet
You try to hurt me with things that you say
Know that this time I did not come to play
Judge me like you're God
But when I'm looking at my watch I know

I ain't got no time for that
You turn up the heat when you speak
You don't preach
You just running your mouth
While I'm running the streets

You cant bring d - d - d - down
When I wear the c - c - c - crown

Your words can't touch me
But you'll never bring me down down down
Da da down down down
Load up and take me
But you'll never break me
Down down down
Da da down down down

When you think I'm done
I have only just begun
It takes me higher and higher
Your words can't touch me
But you'll never bring me down down down
Da da down down down",ploy_chompoo
คิดมากน่า,/music/thailyric/16016,"คิดมากน่า นา นา นา นา นา
เป็นอะไร Let me know what is going on boy
คิดมากน่า นา นา นา นา นา
เจออะไร มีอะไรที่เธอไม่ Enjoy
คิดมากน่า นา นา นา นา นา
Tell me why บอกฉันหน่อย ทำไมหน้าตาลอย
คิดมากน่า นา นา นา นา นา
เป็นอะไร Let me know what is going on boy

เป็นอะไรเธอ เธอทำไมทำหน้าตึง
ทำขึงขังขังขึง ทำทะหมึงตึง
พูดอะไรไป ก็ดูเธอจะไม่ฟัง
หรือว่ายังไม่ตื่น หรือไปโดนตัวไหนมา

บ้านก็ไม่ค่อยกลับ ชอบเอารถพ่อไปขับ
ปาร์ตี้ในผับ จนไม่เคยหลับ
ฉันก็เป็นห่วง แต่ก็ไม่อยากถ่วง
หนี้ที่เธอมีก็ไม่มีใครทวง

ถ้าไม่เจอกับตัว เธอคงไม่รู้หรอก
เหมือนมีทางเข้า แต่ไม่มีทางออก
เล่าให้ใครฟัง เขาหาว่าติ๊งต๊อง
ถ้าไม่เข้าใจ เธอไม่ต้องคิดปลอบ

เรื่องพ่อเรื่องแม่ ฟงแฟนนางก็เทไปละ
เรื่องเจ้าหนี้เจ้านาย ยอดขายมันทำให้ปวดกะบาล
เรื่องเกมก็ห่วย เรื่องซวยอีกเป็นร้อยเป็นล้าน
มันไม่มีหรอกคริสมาสต์ ฉันมีแต่วันคิดมาก

คิดมากน่า นา นา นา นา นา
เป็นอะไร Let me know what is going on boy
คิดมากน่า นา นา นา นา นา
เจออะไร มีอะไรที่เธอไม่ Enjoy
คิดมากน่า นา นา นา นา นา
Tell me why บอกฉันหน่อย ทำไมหน้าตาลอย
คิดมากน่า นา นา นา นา นา
เป็นอะไร Let me know what is going on boy

Baby มันเป็นอะไรอะไร ที่โคตรซีเรียส
บอกใครต่อใครก็เครียด
คงมีแต่เธอแต่เธอ
Let's help me please

Henny juice
Low key low key
Loco with them moves
Animals
Bro we turnt up
Twenty twenty dudes

บ้านก็ไม่ค่อยกลับ ชอบเอารถพ่อไปขับ
ปาร์ตี้ในผับ จนไม่เคยหลับ
ฉันก็เป็นห่วง แต่ก็ไม่อยากถ่วง
หนี้ที่เธอมีก็ไม่มีใครทวง

ถ้าไม่เจอกับตัว เธอคงไม่รู้หรอก
เหมือนมีทางเข้า แต่ไม่มีทางออก

เล่าให้ใครฟัง เค้าหาว่าติ๊งต๊อง
ถ้าไม่เข้าใจ เธอไม่ต้องคิดปลอบ
เรื่องพ่อเรื่องแม่ ฟงแฟนนางก็เทไปละ
เรื่องเจ้าหนี้เจ้านาย ยอดขายมันทำให้ปวดกะบาล
เรื่องเกมก็ห่วย เรื่องซวยอีกเป็นร้อยเป็นล้าน
มันไม่มีหรอกคริสมาสต์ ฉันมีแต่วันคิดมาก

คิดมากน่า นา นา นา นา นา
เป็นอะไร Let me know what is going on boy
คิดมากน่า นา นา นา นา นา
เจออะไร มีอะไรที่เธอไม่ Enjoy
คิดมากน่า นา นา นา นา นา
Tell me why บอกฉันหน่อย ทำไมหน้าตาลอย
คิดมากน่า นา นา นา นา นา
เป็นอะไร Let me know what is going on boy",ploy_chompoo
คืนนี้ (In The Night),/music/thailyric/14666,"เวลายาวนาน
ที่ชีวิตฉันมีแต่ความมืดมน
มีชีวิตที่ไม่อาจรักใครสักคน
มีแต่คนที่เดินจากไป

เวลายาวนาน
ที่ใจฉันเฝ้ารอส่วนที่หายไป
คนที่ฉันจะได้รัก รักเขาหมดใจ คนนั้น

จากคนไม่เคยรู้ว่า
อ้อมกอดแห่งรักเป็นอย่างไร
เธอทำให้ฉันได้เข้าใจ

คืนนี้ เป็นอีกคืนที่ฉันรักเธอ
ได้สัมผัสรัก ที่ไม่เคยพบเจอ
ฉันก็ไม่ต้องการสิ่งใด
ต่อให้คืนนี้ เป็นคืนสุดท้ายที่หายใจ
แค่เคยสัมผัสรัก ว่ามันเป็นเช่นไร
ครั้งหนึ่งชีวิตได้รักใคร ก็มากพอ

คืนที่มืดมน สิ้นสุดแล้วเมื่อมีเธอในหัวใจ
จากวันนี้แม้ชีวิตต้องเจอสิ่งใด
ก็พร้อม เดินไปข้างเธอ

จากคนไม่เคยรู้ว่า
อ้อมกอดแห่งรักเป็นอย่างไร
เธอทำให้ฉันได้เข้าใจ

คืนนี้ เป็นอีกคืนที่ฉันรักเธอ
ได้สัมผัสรัก ที่ไม่เคยพบเจอ
ฉันก็ไม่ต้องการสิ่งใด
ต่อให้คืนนี้ เป็นคืนสุดท้ายที่หายใจ
แค่เคยสัมผัสรัก ว่ามันเป็นเช่นไร
ครั้งหนึ่งชีวิตได้รักใคร ก็มากพอ

คืนนี้ เป็นอีกคืนที่ฉันรักเธอ
ได้สัมผัสรัก ที่ไม่เคยพบเจอ
ฉันก็ไม่ต้องการสิ่งใด
ต่อให้คืนนี้ เป็นคืนสุดท้ายที่หายใจ
แค่เคยสัมผัสรัก ว่ามันเป็นเช่นไร
ครั้งหนึ่งชีวิตได้รักใคร ก็มากพอ",ploy_chompoo
