song_name,href,lyric,artist
จดหมายจากความเหงา,/music/thailyric/8549,"ฉันคือความเหงา ที่เกิดจากวันที่เค้าทิ้งเธอไป
เธอกลายเป็นคนที่ไม่มีใคร ต้องทุกข์ใจ
เหมือนชีวิตมันขาดหาย

ฉันคือความเหงา ที่ได้เวลามาทักทาย
จนอาจทำเธอร้องไห้ เธอนั้นจะเกลียดฉันสักเท่าไหร่
แต่ความจริงอยากบอกเธอให้ได้รู้
ว่าความเหงาไม่ได้อยู่ตลอดไป

หากมองโลกนี้ในแง่ดีสักครั้ง
เธอจะรู้ว่าต่อให้เหงามากมายสักเท่าไหร่
ก็ไม่ทำร้ายใคร ให้ต้องถึงตาย สบายใจได้เสมอ

อดทนเอาไว้ในเวลาที่เหงา
กลับมามองตัวเราและชีวิตจริงที่ต้องเจอ
เพราะเธอ อาจเปลี่ยนจากความเหงาเป็นเพื่อนเก่าที่แสนดี

แม้ในวันนี้ เธออาจจะยังเสียใจ
ถ้าบอกตัวเองว่าไม่เป็นไร น้ำตาจะไหลก็ช่างมัน
แต่ความจริงอยากบอกเธอให้ได้รู้
ว่าความเหงาไม่ได้อยู่ตลอดไป

หากมองโลกนี้ในแง่ดีสักครั้ง
เธอจะรู้ว่าต่อให้เหงามากมายสักเท่าไหร่
ก็ไม่ทำร้ายใคร ให้ต้องถึงตาย สบายใจได้เสมอ
อดทนเอาไว้ในเวลาที่เหงา
กลับมามองตัวเราและชีวิตจริงที่ต้องเจอ
เพราะเธอ อาจเปลี่ยนจากเหงาเป็นเพื่อนเก่าที่แสนดี

หากมองโลกนี้ในแง่ดีสักครั้ง
เธอจะรู้ว่าต่อให้เหงามากมายสักเท่าไหร่
ก็ไม่ทำร้ายใคร ให้ต้องถึงตาย สบายใจได้เสมอ

อดทนเอาไว้ในเวลาที่เหงา
กลับมามองตัวเราและชีวิตจริงที่ต้องเจอ
เพราะเธอ อาจเปลี่ยนจากเหงาเป็นเพื่อนเก่าที่แสนดี

หากมองโลกนี้ในแง่ดีสักครั้ง
เธอจะรู้ว่าต่อให้เหงามากมายสักเท่าไหร่
ก็ไม่ทำร้ายใคร ให้ต้องถึงตาย สบายใจได้เสมอ

อดทนเอาไว้ในเวลาที่เหงา
กลับมามองตัวเราและชีวิตจริงที่ต้องเจอ
เพราะเธอ อาจเปลี่ยนจากความเหงาเป็นเพื่อนเก่าที่แสนดี",pod_moderndog
จิ๊กซอว์ที่หายไป,/music/thailyric/9957,"มองดูภาพชีวิตคนหนึ่งก็เปรียบเป็นเหมือนจิ๊กซอว์
มีเรื่องราวที่หลากหลาย
แต่มีบางมุมที่ขาดหายไป รอใครสักคนเข้ามา
เติมชีวิตที่หล่นหาย
เมื่อไม่รู้ว่าต้องเดินไปจุดไหน
และจะค้นหาอะไรในชีวิต
ขอให้เชื่อในฉัน

ว่าคนๆ หนึ่งจะเดินเข้ามา
มาทำให้ได้รู้ว่าชีวิตมันยังมีความหมาย
เส้นทางที่มันยังดูแสนไกล
อาจจะแค่เหลือชิ้นสุดท้ายมาต่อส่วนที่หายไป
และหามาทั้งชีวิต

ส่วนที่มันยังคงหายไป คือทางที่เหลือถึงเส้นชัย
ไม่ได้ไกลเกินใจฝัน
แค่มีคนนึงเติมใจให้กัน เติมเต็มให้ทุกๆ วัน
ภาพชีวิตก็สดใส
เมื่อไม่รู้ว่าต้องเดินไปจุดไหน
และจะค้นหาอะไรในชีวิต
ขอให้เชื่อในฉัน

ว่าคนๆ หนึ่งจะเดินเข้ามา
มาทำให้ได้รู้ว่าชีวิตมันยังมีความหมาย
เส้นทางที่มันยังดูแสนไกล
อาจจะแค่เหลือชิ้นสุดท้ายมาต่อส่วนที่หายไป
และหามาทั้งชีวิต

ว่าคนๆ หนึ่งจะเดินเข้ามา
มาทำให้ได้รู้ว่าชีวิตมันยังมีความหมาย
เส้นทางที่มันยังดูแสนไกล
อาจจะแค่เหลือชิ้นสุดท้ายมาต่อส่วนที่หายไป

และคนๆ หนึ่งจะเดินเข้ามา
มาทำให้ได้รู้ว่าชีวิตมันยังมีความหมาย
เส้นทางที่มันยังดูแสนไกล
อาจจะแค่เหลือชิ้นสุดท้ายมาต่อส่วนที่หายไป
และหามาทั้งชีวิต ทั้งชีวิต",pod_moderndog
กลิ่นหอม,/music/thailyric/12680,"กลิ่นนี้
ที่ลอยผ่านมาของวันใหม่
ความหอม
และความอบอุ่นในยามเช้า

ช่วงเวลาที่ฉันนั้นมีความสุข
มองดูแดดทอแสงในสายตาของเธอ
ทำให้ฉันเจอวันที่สวยงาม

เมื่อได้กลิ่นนี้
บอกกับหัวใจอีกครั้ง
ให้ออกไปค้นหาความฝัน
ที่ใจเรานั้นมุ่งหวังและต้องการ
เธอคือกลิ่นหอม
ที่ภายในใจตามหา
มาแสนนาน
ให้ทุกวันฉันได้เบิกบาน
เพราะเธอคือความอ่อนหวาน
ของหัวใจ

เมื่อได้กลิ่นนี้
บอกกับหัวใจอีกครั้ง
ให้ออกไปค้นหาความฝัน
ที่ใจเรานั้นมุ่งหวังและต้องการ
เธอคือกลิ่นหอม
ที่ภายในใจตามหา
มาแสนนาน
ให้ทุกวันฉันได้เบิกบาน
เพราะเธอคือความอ่อนหวาน
ของหัวใจ

ให้ทุกวันฉันได้เบิกบาน
เพราะเธอคือความอ่อนหวาน
ของหัวใจ",pod_moderndog
ดอกไม้ของน้ำใจ,/music/thailyric/8306,"อาจจะมีใครที่เคยสับสน
และบางคนคงดิ้นรนไขว่คว้า
อาจเคยท้อเสียใจ หวังไว้ไม่ได้มา
จนแม้เคยคิดจะหนีหน้าผู้คน

ด้วยวงแขนและเพียงมือสอง
โอบประคองหัวใจเจ็บช้ำ
เส้นทางนั้นมืดมน ขาดฝนอันชื่นฉ่ำ
หม่นมัวด้วยความมืดดำสิ้นหวัง

หากดอกไม้ แย้มบานในใจแห่งผู้คน ที่ทุกข์ทน
ความสว่าง ส่องทางสับสน ด้วยความรักที่มอบแก่กัน
ให้ดอกไม้ นั้นแทนความงามแห่งน้ำใจ ยิ่งใหญ่
เมฆหมอก ก็คงสลาย ด้วยดอกไม้คือความสดใสในแสงตะวัน

sekibetsuno toki kokoro shizukani
hurikaeru sono katani yasahii haruno ame
hohoo nagareru namida koraezu
omoideno tsukirumade tatazumeba ii
towani chiru kotono nai hanao
hitowaaishite kureru deshooka
yasashii ameni utarete ochiru
hakanasayue hitowa aisuru no deshoo

hanawa hanayo hitasurasaku
hanawa hanayo hitasurani mau
คือดอกไม้อันดีงาม คงอยู่ด้วยความสดใส
คือดอกไม้ของน้ำใจ งดงามเพียงใดให้แก่กัน",pod_moderndog
เพราะอะไร,/music/thailyric/3420,"เธอเคยถามกับฉัน ที่ฉันรักเธอ
ว่าอยากจะรู้รักเพราะอะไร
กลับไปคิดไปค้น ใคร่ครวญมากมาย
ไม่เจอ...คำตอบ

ที่ผ่านมานั้นไม่คิดอยากรู้ที่มา
และไม่เคยหาเหตุผลใด ๆ
แค่ตัวฉันเพียงรู้ว่าเป็นสุขใจเมื่ออยู่เคียงกัน

อาจจะฟังแล้วไร้เหตุผล
ว่าสิ่งที่ทำให้คนรักกัน
หรือเป็นเพียงรอยยิ้ม
รอยนั้นเมื่อวันแรกเจอ

หากจะหาเหตุผลสักคำ
ว่าสิ่งที่ทำให้ฉันรักเธอ
นั่นเป็นเพราะตัวฉันมาเจอ
เจอสิ่งดีงาม

อาจจะฟังแล้วไร้เหตุผล
ว่าสิ่งที่ทำให้คนรักกัน
หรือเป็นเพียงรอยยิ้ม
รอยนั้นเมื่อวันแรกเจอ

หากจะหาเหตุผลสักคำ
ว่าสิ่งที่ทำให้ฉันรักเธอ
นั่นเป็นเพราะตัวฉันมาเจอ
เจอสิ่งดีงาม

ตั้งแต่วันฉันพบเธอ ก็เจอแต่สิ่งดีงาม
ตั้งแต่วันฉันพบเธอ ได้เจอแต่สิ่งดีงาม",pod_moderndog
มากกว่า,/music/thailyric/9470,"เธอยังคงได้ยินใช่ไหม
สิ่งที่หัวใจนั้นคอยเฝ้าถาม
ว่าใช่คนนี้หรือเปล่า
ที่ใจเธอต้องการ
และพร้อมจะเดินร่วมทางด้วยกัน

แต่มันก็คงเป็นเพียงแค่ฝัน
ถ้าหากเธอนั้นไม่ยอมเปิดใจ
ออกจากความคิดเก่าๆ
เพื่อเจอกับโลกใหม่
รอบกายยังมีอะไรที่สวยงาม

มากกว่าสิ่งไหน
คือเราได้อยู่ด้วยกัน
มากขึ้นทุกวัน
ผูกพันทุกๆ นาที
มากมายกว่านั้น
ถ้าเราสองคนได้แบ่งปันสิ่งที่ดี
ให้ฝันที่มีเกิดขึ้นสักทีเถิดหนา

มากกว่านี้จะดีแค่ไหน
ถ้าอยากจะรู้แค่เดินออกไป
ออกไปเพื่อพบพบและสัมผัส
เรื่องราวใหม่ๆ
ลองทำอะไรที่ใจเราต้องการ

มากกว่าสิ่งไหน
คือเราได้อยู่ด้วยกัน
มากขึ้นทุกวัน
ผูกพันทุกๆ นาที
มากมายกว่านั้น
ถ้าเราสองคนได้แบ่งปันสิ่งที่ดี
ให้ฝันที่มีเกิดขึ้นสักทีเถิดหนา
ให้ฝันดีๆ เกิดขึ้นสักที เธอจ๋า",pod_moderndog
ยืนหนึ่ง,/music/thailyric/17386,"เพราะชีวิตคนเหมือนการเดินทาง
จุดหมายที่หวังจึงสําคัญ
ถึงท้องฟ้าจะกว้างไกลเพียงใด
ต้องบินไปไกลให้ถึงฝัน

ด้วยจินตนาการจากดนตรี
พร้อม ก้าวเดินต่อไป
ไปให้ไกล ให้ไกลกว่าทุกคน

เพราะชีวิตเป็นของตัวเราเอง
ต้องพร้อมรับรู้ทุกเรื่องไป
ทิ้งความคิดอันวกวนเดิมเดิม
ต้องเปลี่ยนด้วยความจริงใจ

ด้วยวิญญาณที่แกร่งจากกีฬา
พร้อม ก้าวเดินต่อไป
ไปให้ไกล ให้ไกลกว่าทุกคน

เราต้องแข็งแรง ต้องยืนหนึ่ง อย่างมั่นใจ
ไปให้สุดฝัน ให้สุดไกล
บินสู่ฟ้าครามไร้ขอบเขต สู่เส้นชัย
ด้วยหัวใจ สู่จุดมุ่งหมายด้วยตัวเอง

ฉันจะแข็งแรง จะยืนหนึ่ง จะมั่นใจ
ไปให้สุดฝัน ให้สุดไกล
บินสู่ฟ้าครามไร้ขอบเขต สู่เส้นชัย
ด้วยหัวใจ สู่จุดมุ่งหมายด้วยตัวฉันเอง

Oh Oh Oh Oh Oh
ไปให้สุดฝัน ให้สุดไกล
Oh Oh Oh Oh Oh
ด้วยหัวใจ สู่จุดมุ่งหมายด้วยตัวฉันเอง",pod_moderndog
รักในละคร,/music/thailyric/9434,"เพราะเธอได้เข้ามา
เปลี่ยนหัวใจที่เคยด้านชามาก่อน
ให้ได้รับรู้และสัมผัส
สิ่งดีๆ ที่มีอยู่ข้างใน

เพราะเข้าใจผิด
คิดว่าเธอเป็นคนใจร้าย
ถึงได้ทำทุกอย่างไป
เพื่อจะทำร้ายหัวใจของเธอ

เพราะฉันเคยผิดหวัง
และเจ็บช้ำเพราะรักมาก่อน
ติดอยู่ในความทรงจำเหมือนฉากในละคร
ที่มันยังคอยหลอกหลอนในหัวใจ

ก็เพราะฉันเคยเฝ้าถาม
ว่าความรักดีดีนั้นยังมีอยู่ไหม
ในวันที่เธอเข้ามาฉันจึงได้เข้าใจ
ว่ารักที่มาจากหัวใจยังมีอยู่จริง

เพราะความดีของเธอ
เปรียบเหมือนดังเช่นแสงสว่าง
รักของเธอช่วยส่องทาง
ที่เคยอ้างว้างให้ดูสดใส

เพราะฉันเคยผิดหวัง
และเจ็บช้ำเพราะรักมาก่อน
ติดอยู่ในความทรงจำเหมือนฉากในละคร
ที่มันยังคอยหลอกหลอนในหัวใจ

ก็เพราะฉันเคยเฝ้าถาม
ว่าความรักดีดีนั้นยังมีอยู่ไหม
ในวันที่เธอเข้ามาฉันจึงได้เข้าใจ
ว่ารักที่มาจากหัวใจยังมีอยู่จริง

ก็เพราะฉันเคยผิดหวัง
และเจ็บช้ำเพราะรักมาก่อน
ติดอยู่ในความทรงจำเหมือนฉากในละคร
ที่มันยังคอยหลอกหลอนในหัวใจ

ก็เพราะฉันเคยเฝ้าถาม
ว่าความรักดีดีนั้นยังมีอยู่ไหม
ในวันที่เธอเข้ามาฉันจึงได้เข้าใจ
ว่ารักที่มาจากหัวใจยังมีอยู่จริง

ว่ารักที่แท้จากหัวใจยังมีอยู่จริง",pod_moderndog
เรื่องจริง,/music/thailyric/3421,"เสียงร้องที่เธอกำลังได้ยิน
กลั่นออกมาจากใจจริงๆ
และเสียงเปียโนที่เธอได้ยิน
ก็ออกมาจากใจจริงๆ
เพื่อระบายทุกสิ่งข้างใน
ให้ได้ไหลรินออกจากหัวใจ

ไม่รู้จากนี้จะเป็นยังไง
เมื่อเธอฟังแล้วจะเป็นยังไง
เธอจะเชื่อคำพูดฉันหรือไม่
กับเรื่องจริงต่อจากนี้ไป
กับเสียงเพลงที่พูดแทนหัวใจ

ว่าฉันรักเธอโดยที่ไม่รู้จัก
และฉันรักเธอตั้งแต่แรกพบหน้า
มากมายจนข้างใน ต้องระบายออกมา
ให้เธอ ได้ยิน

ว่าสำหรับฉันนั้นเธอคือทุกสิ่ง
เป็นแรงบันดาลใจเป็นทุกๆ อย่าง
เธอเชื่อมให้ฉันเห็นภาพที่สวยงามของชีวิต
แม้ว่าเรายังไม่ทันได้รู้จัก กันเลย

ไม่มีเรื่องราวไม่มีอะไร
ไม่มีเหตุผลที่มาที่ไป
เธอจะเชื่อคำพูดฉันหรือไม่
กับเรื่องจริงต่อจากนี้ไป
กับเสียงเพลงที่พูดแทนหัวใจ

ว่าฉันรักเธอโดยที่ไม่รู้จัก
และฉันรักเธอตั้งแต่แรกพบหน้า
มากมายจนข้างใน ต้องระบายออกมา
ให้เธอ ได้ยิน

ว่าสำหรับฉันนั้นเธอคือทุกสิ่ง
เป็นแรงบันดาลใจเป็นทุกๆ อย่าง
เธอเชื่อมให้ฉันเห็นภาพที่สวยงามของชีวิต
แม้ว่าเรายังไม่ทันได้รู้จัก กันเลย

และเสียงเพลงต่อจากนี้ไป
จะเป็นเสียงเพลงที่พูดแทนหัวใจ

ว่าฉันรักเธอโดยที่ไม่รู้จัก
และฉันรักเธอตั้งแต่แรกพบหน้า
มากมายจนข้างใน ต้องระบายออกมา
ให้เธอ ได้ยิน

ว่าสำหรับฉันนั้นเธอคือทุกสิ่ง
เป็นแรงบันดาลใจเป็นทุกๆ อย่าง
เธอเชื่อมให้ฉันเห็นภาพที่สวยงามของชีวิต
แม้ว่าเรายังไม่ทันได้รู้จัก กันเลย",pod_moderndog
วาดด้วยมือของฉันและเธอ,/music/thailyric/9573,"วันเวลาผ่านไป นานเท่าไร ฉันยังมีเธอ
เคยดูแลอย่างไร จะใส่ใจเหมือนเดิมอย่างเคย
อนาคตจะเป็นอย่างไร อยากจะขอให้เธอมั่นใจ
จะกี่สิบปีกี่ร้อยปี เราจะยังมีโลกที่สดใส
สิ่งที่เรานั้นร่วมสร้างด้วยใจ จะกลายเป็นความจริงที่ยั่งยืน
วาดโลกให้เป็นดังใจ ทุกๆสิ่งจะสวยงามเหมือนในความฝัน
วาดด้วยมือของฉันและเธอ

จากนี้สัญญาที่เคยให้ไว้กับเธอ รักษาด้วยใจ
หลากหลายร้อยพันความฝัน ที่เราวาดกันไว้จะเป็นจริงสักวัน
อนาคตจะเป็นอย่างไร อยากจะขอให้เธอมั่นใจ
จะกี่สิบปีกี่ร้อยปี เราจะยังมีโลกที่สดใส
สิ่งที่เรานั้นร่วมสร้างด้วยใจ จะกลายเป็นความจริงที่ยั่งยืน
วาดโลกให้เป็นดังใจ ทุกๆสิ่งจะสวยงามเหมือนในความฝัน
วาดด้วยมือของฉันและเธอ
วาดด้วยมือของฉันและเธอ",pod_moderndog
