song_name,href,lyric,artist
คอนเวิร์ส,/music/thailyric/3759,"ทิ้งก็ทิ้งเลย ไม่ค่อยสะเทือนสักเท่าไหร่
ยังไม่หนักเกินจะทนไหว ขออยู่เรื่องเดียว
ขอเลยถ้าเธอไม่ลำบาก วอนอย่ามาซ้ำให้เจ็บใจ
อย่ามาแกล้งทำ คร่ำครวญเพื่อบอกลา
อย่าพาเขามาให้เจอ ประเดี๋ยวพัง
อย่าอธิบาย ก็มันไม่อยากฟัง หากดันทุรัง จะเดือดร้อน
มาทางไหน... ไปทางนั้น...
ขอไม่ต้องคุย ยิ่งคุยน่ะมันยิ่งไปใหญ่ มันไม่ปลอดภัย เข้าใจไหม
ฉุนเธอขึ้นมา เดี๋ยวก็จะหาว่าไม่บอก ไม่อยากเดือดร้อน รีบกลับไป",pongpat_wachirabunjong
โดน (ถามคำเจ็บไหม),/music/thailyric/3770,"ไปโดนอะไรใครทำให้เจ็บ มานอนครวญครางปวดร้าว
เรียกร้องความเห็นใจ ทีเวลาเธอทำใครร้องไห้
เธอเคยมีใจสักครั้งสงสารกันบ้างไหม
และแล้วเธอเองก็โดน ถามคำเจ็บไหม
โดนลึกลงไปเท่าไหร่ เวลาเธอโดนรุนแรงที่ใจ
เธอจงได้จำเอาไว้ว่ามันเป็นยังไง วันหนึ่งเธอทำกับใครง่ายดาย
ดีเลวเพียงใดเธอคงรับรู้ความปวดร้าว
และแล้วเธอเองก็โดน ถามคำเจ็บไหม
โดนลึกลงไปเท่าไหร่ มีความจำเป็นที่ฉันต้องโหด
ต้องเยาะเย้ยเธอสักคราให้รู้ตัว มันคือเวรกรรมที่เธอต้องกลัว
หากทำใครเท่าไหร่ต้องเจ็บคืนหัวใจเท่ากัน",pongpat_wachirabunjong
เธออยู่ที่ไหน,/music/thailyric/3781,"ชีวิตมันก็มีสักครั้ง ได้พบได้เจอกับความเสียใจ
เมื่อฉันต้องผ่านวันร้าย ๆ ก็อยากจะมีสักคน
เป็นใครสักคนที่พร้อม อยู่เพื่อคอยเข้าใจ
ไม่เคยมองเห็น เธออยู่ตรงนี้ เมื่อฉันเหน็ดเหนื่อยอ่อนล้า
เธออยู่ที่ไหน เมื่อใจปวดร้าว
ไม่มีสายตาห่วงฉัน ไม่มีเงาของเธอ
ฉันเพิ่งเข้าใจครั้งนี้ ว่าฉันงมงายมานานเหลือเกิน
เจ็บช้ำจึงได้ทำให้รู้ เธอเองก็แค่คนคนหนึ่ง
ที่มีความหมาย แต่ไม่เคยรักกัน",pongpat_wachirabunjong
เป็นอะไรไม่รู้,/music/thailyric/3787,"พูดรุนแรงไปหน่อย ก็เธออย่าถืออย่าโกรธ
ถึงฟังดูว่าโหด โทษทีก็มันจริงใจ
เห็นอะไรดูแปลก ก็ทำให้ฉันเป็นห่วง
ไม่ได้ตั้งใจจะป่วนให้เธอโกรธเคืองกันเลย
ก็อยากจะพูดดี ให้หวานเหมือนใครเขา
แต่พอจะพูดเบา กลับต้องโวยวายทุกที
เป็นไรไม่รู้ อย่างงี้ทั้งปี เป็นมานานแล้ว ต้องขอโทษที
ตั้งใจแค่จะเตือน แต่มันกลับเหมือนจะด่า
ฉันก็คงไม่ว่า ถ้าเธอไม่คุยกับฉัน
ห้ามตัวเองไม่อยู่ ก็ยังไม่รู้ทำไม
คิดให้ดีคงเข้าใจ ในความห่วงใยจากฉัน",pongpat_wachirabunjong
พงษ์พัฒน์,/music/thailyric/3788,"แล้วไปแล้วฉันมันโง่เองที่ยอมอย่างนั้น นึกไม่ถึงเธอจะเป็นเหมือนทะเลทราย
แม้วันนี้ฉันจะฟั่นเฟือนกับคำสุดท้าย เธอก็ไปไม่ต้องมาสั่งเสีย
เจอะกับคนเนรคุณ มันก็คงเป็นเวรกรรม อย่ากลับมาทำให้ทรมาน
ยอมแพ้แล้ว ชาติเดียวก็รู้ รักเธอเท่าไหร่ ต้องเจ็บเท่ากันไปอีกนาน
อย่ามาให้ฉันเห็นขอกันสักครั้ง แล้วฉันจะบอกว่าจะไม่ลืมพระคุณนี้
เธอใช่ไหมทิ้งตัวสำรอง ให้ใจมันร้าว ไปกับเขาแล้วก็จะย้อนมาหรือไง
แม้วันนั้นใจจะนักเลงกับเธอแค่ไหน รู้เอาไว้ว่าใจตายไปแล้ว",pongpat_wachirabunjong
รุนแรง,/music/thailyric/3796,"เพื่อความสะใจของเธอและใครบางคน
ไอ้เรื่องความอดทน ฉันมันก็มีไม่น้อย
แค่พูดจาอย่างเดียว ก็คงน้อยไปสักหน่อย
ช่วยทำให้รอยแผลมันบาดลึกกว่านี้
รุนแรงกับฉันที ดีดีฉันไม่เอา
ต้องการแบบปวดร้าว เอาอย่างที่ฉันไม่เคยเจอ
ถ้าฉันยังอยู่ดี เดี๋ยวเธอจะทรมาน
ให้ฉันเจอกับการถูกเธอต้มยำสักครั้ง
ทำดี ๆ ไม่ช้าก็ลืม ช่วยทำให้มันแรงหน่อย
ทำอะไรให้ฉันเจ็บปวด ให้จำไปจนตาย",pongpat_wachirabunjong
หลบไป,/music/thailyric/3806,"มีทางอีกเป็นร้อยที่ควรจะไป ยังมีอีกหลากหลาย
ให้รู้ให้ได้ลอง ก็เห็นอยู่ชัดเจน
แต่คงต้องยกเว้นห้ามเดินมาทางนี้
เพราะทางนี้ ไม่ค่อยจะมีที่ว่างพอ
และทางนี้เขาว่ามีคนจองแล้ว
ก็ต้องขอให้เดินหลบไป มันเป็นทางของใครของมัน
ถ้าจะคิดซ้ำรอยของกัน ก็คงต้องตาย
รีบถอยไปได้โปรด ขอโทษที
มีคนอีกเป็นล้านที่ควรจะมอง ยังมีให้จับจอง
ให้รักให้สนใจ ก็ลองไปค้นดู
แต่ควรจะต้องรู้ว่าไม่ใช่คนนี้
เพราะคนนี้ ก็ไม่ต้องการจะพบใคร
และคนนี้เขาว่ามีคนจองแล้ว",pongpat_wachirabunjong
ห้ามรังแกเด็ก,/music/thailyric/3808,"บางคน คอยมากวนโทสะ มีบางคน อาจจะดูนิสัยไม่ดี
มารังควาน ทำให้เราต้องเจ็บแสบในใจ
ใจเย็น คิดให้มันดีก่อนจะลืมตัว โดดเข้าใส่มันคงไม่ดี
ลงมือ เราก็ต้องมือเจ็บ อย่า...ไปทำเขา
ห้ามรังแกเด็ก บอกตัวเองให้ขึ้นใจ
ให้อภัยหน่อย เด็กมันยังไม่เข้าใจ
ก็โลกที่เราอยู่ อาจจะมีสักคนที่อ้อนไปหน่อย
แค่ให้อภัยกับเขา เราคงไม่ถึงตาย",pongpat_wachirabunjong
อยากเลวกว่านี้,/music/thailyric/3809,"ทำตัวไม่ดีให้เธอหนักใจ สร้างปัญหาและความวุ่นวายให้เธอทุกวัน
เธอยังทุ่มเททำดีกับฉัน อยู่กับฉันคนเดิมที่มีแต่ความสิ้นหวัง
ทั้งที่เธอเจอะใครที่พร้อมให้เธอทุกอย่าง แต่ว่าเธอก็ยังไม่จากฉันไป
อยากเลวกว่านี้ให้เธอทิ้งกัน ไอ้คนอย่างฉันแพ้ใคร ๆ อีกมากมาย
อยากเลวกว่านี้ให้เธอเสียใจ แล้วคงง่ายดายที่เธอจะตัดสินใจ
มองดูว่าเธอกำลังสับสน หากไม่มีคนนี้สักคนก็คงโล่งใจ
คงมีหนทางที่มันสดใส และได้ทำไปตามหัวใจที่เธอต้องการ
เธอพบใครที่ดีที่พร้อมให้เธอทุกอย่าง แต่ว่าเธอก็ยังไม่จากฉันไป",pongpat_wachirabunjong
อยากให้เธอได้ยิน,/music/thailyric/3810,"อยากให้เธอได้ยิน เสียงหัวใจมันร้อง ว่าโปรดอย่าจากฉันไป
อยากให้เธอได้ยิน เสียงน้ำตามันไหล อยู่ในใจของเรา
ในเมื่อความจริง ฉันมันหยิ่งยโส เกินจะร้องไห้
ไม่มีเหตุผลที่ฉันจะง้อใคร สุดท้ายคือสูญเสียเธอ
อยากให้ลมหายใจ ของผู้ชายคนนั้น หมดสิ้นไปเสียเลย
เธอจะได้ย้อนมา ย้อนมาเคียงคู่กัน อย่างที่ฉันคุ้นเคย
แต่ว่าความจริง รู้เธออยากจะเห็นแววตาอ้อนวอน
ต้องการให้ฉันขอร้องเธอให้อยู่ แต่ฉันไม่เคยสนใจ
มีคนใจร้ายคนหนึ่งอ่อนแอ เมื่อเธอทิ้งไป
คนดีคนไหนจะยอมให้อภัยกับฉันที",pongpat_wachirabunjong
