song_name,href,lyric,artist
กลางทะเล,/music/thailyric/18958,"แพ็กกระเป๋าเตรียมตัวมีเสื้อฮาวาย
และก็ ยังมีรองเท้าแตะ
เธอพกชุดกระโปรงและในตอนนี้
เธอก็สวมแว่นกันแดด
และน้ำมะพร้าวในมือมีดอกกล้วยไม้
ที่ประดับไว้หอมชื้นใจ
เจอชาวประมงมากมายร้องโบกทัก
ว่าทั้งคู่เป็นอะไรกัน

เราทั้งสองก็มั่นใจ
และรักกันด้วยหัวใจ
ลมเย็นที่พัดมา
เป็นเสียงยินดีในรัก

ให้เธอเป็นชายหาด
และฉันจะเป็นปู ที่จะ
คอยเฝ้าดูเคียงคู่ทะเลที่แสนงาม
นั่งลงตรงชายฝั่ง มองดูปะการัง
พิงไหล่เล่าให้ฟัง
ว่าเธอไปเจออะไรมา
ที่ใจกลางทะเล

ช่วงเวลาดีๆ ก็บันทึกรูป
เป็นโพราลอยด์ไว้ในกล่อง
เมื่อนึกถึงขึ้นมาก็เปิดดูมัน
เก็บไว้อย่างดีข้างในซอง
แก้มเธอเลอะเปื้อนปนอาหารทะเล
ฉันก็คอยช่วยเช็ดมัน
จนที่ป้าที่ขายของแซว
ว่าเราทั้งคู่นั้นเป็นอะไรกัน

ฉันและเธอยิ่งมั่นใจ
และรักกันด้วยหัวใจ
ลมเย็นที่พัดมา
เป็นเสียงยินดีในรัก

ให้เธอเป็นชายหาด
และฉันจะเป็นปู ที่จะ
คอยเฝ้าดูเคียงคู่ทะเลที่แสนงาม
นั่งลงตรงชายฝั่งมองดูปะการัง
พิงไหล่เล่าให้ฟัง
ว่าเธอไปเจออะไรมา

ให้เธอเป็นชายหาด
และฉันจะเป็นปู ที่จะ
คอยเฝ้าดูเคียงคู่ทะเลที่แสนงาม
นั่งลงตรงชายฝั่งมองดูปะการัง
พิงไหล่เล่าให้ฟัง
ว่าเธอไปเจออะไรมา
ที่ใจกลางทะเล",ponwp
กลางภูเขา,/music/thailyric/22914,"และหลายครั้งที่มองออกไป
เธอนั้นหวังจะพบเจออะไร
ในการเดินทางที่มีแค่ฉันและเธอข้างกัน

บ่อยครั้งที่ใจของเรา เรียกร้อง
ยังมองหาโลกใบนึงที่แสนงดงาม
มีธรรมชาติ เหล่านั้นมารายล้อมเรา

ในความสูงนี้จะมีแค่เรา
เหม่อมองออกไปจะมีภูเขา
ซึมซับบรรยากาศให้ช่วยบรรเทา
ทุกข์ร้อนให้ใจผ่อนคลาย

มีเพลงชิลล์ๆ ให้เธอได้ฟัง
จับมือกอดกันให้รับอุ่นไอ
ทะเลหมอก ต้นไม้ใหญ่
ให้มันปกคลุมหัวใจ เราไปนานๆ

เธอได้เสียงลมนั้นเรียกเราไหม
มันดังเหมือนเสียงหัวใจของเราตอนนี้
มีความสุขดี ว่านับจากนี้จะมีแค่เธอ

บ่อยครั้งที่ใจของเรา เรียกร้อง
ยังมองหาโลกใบนึงที่แสนงดงาม
มีธรรมชาติ เหล่านั้นมารายล้อมเรา

ในความสูงนี้จะมีแค่เรา
เหม่อมองออกไปจะมีภูเขา
ซึมซับบรรยากาศให้ช่วยบรรเทา
ทุกข์ร้อนให้ใจผ่อนคลาย

มีเพลงชิลล์ๆ ให้เธอได้ฟัง
จับมือกอดกันให้รับอุ่นไอ
ทะเลหมอก ต้นไม้ใหญ่
ให้มันปกคลุมหัวใจ เราไปนานๆ",ponwp
กลิ่นความเจ็บ (Anguish),/music/thailyric/19156,"ไม่มีเสียงโทรปลุกตอนเช้า
มีเพียงแค่นาฬิกาปลุก
ไม่มีเธอมาคอยแชทถาม
ว่าจะตื่นหรือยัง

ทุกๆ การกระทำทุกอย่างเปลี่ยนผัน
และกระทันหันไปหมด
ทำให้ลืมทุกตอนลืมทุกอย่าง
ที่เรานั้นอยู่ด้วยกัน

เขาหรือเปล่าที่ทำให้เธอ
ล่องลอยเคว้งคว้างหายไปจากฉัน คนนี้

ได้กลิ่นความเจ็บช้ำจากคนที่เคยรักกัน
มันทรมานแค่ไหน
ไปรักคนไม่มีหัวใจก็เจ็บเป็นธรรมดา
ไม่รู้ว่าฟ้าแกล้งกันลงทัณฑ์ให้คนสองคน
มาพบและไม่ได้รักกัน
ยืนยันว่าฝันไม่เป็นจริง
เจ็บคนเดียวเหมือนเคย

จะฟังเพลงอะไร จะมองไปที่ไหน
ไม่ว่าจะทำอะไร ก็เห็นเป็นภาพเธอ
แต่ว่าในตอนนี้  ฉันไม่มีเธอแล้ว
ฉันคงจะทรมาน แต่ก็ดีกว่ารักที่หลอกกัน

ได้กลิ่นความเจ็บช้ำจากคนที่เคยรักกัน
มันทรมานแค่ไหน
ไปรักคนไม่มีหัวใจก็เจ็บเป็นธรรมดา
ไม่รู้ว่าฟ้าแกล้งกันลงทัณฑ์ให้คนสองคน
มาพบและไม่ได้รักกัน
ยืนยันว่าฝันไม่เป็นจริง
เจ็บคนเดียวเหมือนเคย

ได้กลิ่นความเจ็บช้ำจากคนที่เคยรักกัน
มันทรมานแค่ไหน
ไปรักคนไม่มีหัวใจก็เจ็บเป็นธรรมดา
ไม่รู้ว่าฟ้าแกล้งกันลงทัณฑ์ให้คนสองคน
มาพบและไม่ได้รักกัน
ยืนยันว่าฝันไม่เป็นจริง
เจ็บคนเดียวเหมือนเคย

วันที่เธอบอก กับ คำที่ลวงหลอก
ความรักที่ฉันให้เธอ ไม่มีความหมาย
เรื่องของสองเรา ฉันเก็บมันเอาไว้
ให้เป็นแค่กลิ่นของความเจ็บช้ำ

ได้กลิ่นความเจ็บช้ำจากคนที่เคยรักกัน
มันทรมานแค่ไหน
ไปรักคนไม่มีหัวใจก็เจ็บเป็นธรรมดา
ไม่รู้ว่าฟ้าแกล้งกันลงทัณฑ์ให้คนสองคน
มาพบและไม่ได้รักกัน
ยืนยันว่าฝันไม่เป็นจริง
เจ็บคนเดียวเหมือนเคย

ได้กลิ่นความเจ็บช้ำจากคนที่เคยรักกัน
มันทรมานแค่ไหน
ไปรักคนไม่มีหัวใจก็เจ็บเป็นธรรมดา
ไม่รู้ว่าฟ้าแกล้งกันลงทัณฑ์ให้คนสองคน
มาพบและไม่ได้รักกัน
ยืนยันว่าฝันไม่เป็นจริง
เจ็บคนเดียวเหมือนเคย",ponwp
ก่อนจบเพลงนี้ (รักนะ 3000),/music/thailyric/16502,"ก่อนจบเพลงนี้อยากบอกรักเธอ 3000
บอกรักเธอทุกวันแต่ก็ทำไม่ได้
และบทสุดท้ายฉันก็ต้องไป

มีพบต้องมีจาก เหมือนในหนังต้องมีฉาก
จุดจบที่มันไม่สวยงาม
รู้สึกความรักจากร้อยฉันให้เธอไปไม่น้อย
แต่ขอให้เธอหกร้อย และฉันต้องทำยังไงดี

และมันจะดีเหลือเกิน (เหลือเกิน)
ฉันให้เธอไปเลย 3000 ต่อให้เธอจะไม่ต้องการ
แต่ว่ามันก็มากกว่าเขา ก็ยังดีที่ยอมรับเงิน
ถ้าสิ่งนั้นเธอเป็นคนเลือกเอง
เหลือไว้เพียงภาพทรงจำพร้อมน้ำตาน่ะเธอ

พอดูเหมือน โทนี่ โทนี่
ที่จะไปพร้อมความทรงจำ
ตอนนี้ ตอนนี้
ฉันยังคงต้องตาย เพราะรักจาก 3000

ก่อนจบเพลงนี้อยากบอกรักเธอ 3000
บอกรักเธอทุกวัน แต่ก็ทำไมได้
และบทสุดท้ายฉันก็ต้องตาย
ฉันก็ต้องรู้ว่าฉันนั้นจะหายไป
เธอจะยังคิดถึงกันอยู่บ้างไหม

หากว่าเธอได้รู้ว่ามีบางคนทุ่มเทมันแทบตาย
แต่สุดท้ายไม่ได้ใจของเธอ มาครอง

รักเธอน่ะ 3000 มันดันหลงคิดถลำไป
แล้วก็สำคัญแต่ ที่จริงแล้วเธอ
ก็ไม่ชอบ ก็ไม่ชอบ ก็ไม่ชอบ ก็ไม่ชอบ
เป็นคนธรรมดาไม่ใช่ไอรอน
แต่อยากย้อนเวลาเหมือนโดเรม่อน
ถ้าตะวันตกที่เราอยู่ที่บาบิก้อนและดูหนังโปเกม่อน

อยากจะกอดเธอในเวลาที่อ่อนแอ
แต่ก็รู้จุดยืนตอนนี้เราไม่ใช่แฟน
เมื่อก่อนนี้เราทั้งสองเคยได้กอดกัน
แต่ตอนนี้เราทั้งสองคงต้องถอดใจ

พอดูเหมือน โทนี่ โทนี่
ที่จะไปพร้อมความทรงจำ
ตอนนี้ ตอนนี้ ฉันยังคงต้องตาย
เพราะรักจาก 3000

ก่อนจบเพลงนี้อยากบอกรักเธอ 3000
บอกรักเธอทุกวัน แต่ก็ทำไมได้
และบทสุดท้ายฉันก็ต้องตาย
ฉันก็ต้องรู้ว่าฉันนั้นจะหายไป
เธอจะยังคิดถึงกันอยู่บ้างไหม
หากว่าเธอได้รู้ว่ามีบางคนทุ่มเทมันแทบตาย
แต่สุดท้ายไม่ได้ใจของเธอ มาครอง",ponwp
ขอให้เราไม่ได้เจอกันอีก,/music/thailyric/18062,"ไม่อยากต้องยิ้มหรือทักทายเหมือนวันเก่า อีกแล้ว
คงมีแค่ฉันที่คิดถึงเรื่องเดิมซ้ำๆ

เรื่องมันเก่า มันจบไปนานแล้ว
ก็ขอให้มันจบลงที่ตรงนี้
ไม่อยากให้มีอะไรที่มันยังค้างคา
ขอให้เราไม่ต้องได้เจอ
และภาวนาสักวันต้องว่าลืม คนอย่างเธอ

จะไม่ขอให้เราได้เจอกันอีกครั้ง
แต่จะขอให้เราไม่ได้พบได้เจอกันอีกต่อไป
ถ้าเราไม่รู้จักกัน จะเป็นเช่นไร
ถ้าเธอมีใครเข้ามาแทนฉัน
มันก็คงไม่รู้สึก คงไม่รู้สึกอะไร

วันนี้ในอดีตแจ้งเตือน รูปที่เราถ่ายคู่กัน
มันยังย้ำชัดเจนว่าฉันลืมเธอไม่ได้
หลอกตัวเองไปได้อีกนานเท่าไร
ก็ได้แค่หลอก อยู่อย่างนี้

เรื่องมันเก่า มันจบไปนานแล้ว
ก็ขอให้มันจบลงที่ตรงนี้
ไม่อยากให้มีอะไรที่มันยังค้างคา
ขอให้เราไม่ต้องได้เจอ
และภาวนาสักวันต้องว่าลืม คนอย่างเธอ

จะไม่ขอให้เราได้เจอกันอีกครั้ง
แต่จะขอให้เราไม่ได้พบได้เจอกันอีกต่อไป
ถ้าเราไม่รู้จักกัน จะเป็นเช่นไร
ถ้าเธอมีใครเข้ามาแทนฉัน
มันก็คงไม่รู้สึก คงไม่รู้สึกอะไร

จะไม่ขอให้เราได้เจอกันอีกครั้ง
(และจะไม่ขอเจอเธออีก และไม่ว่ายังไงก็ตาม)
ถ้าเราไม่รู้ (ขอไม่รู้จักกันจะดีกว่าไหม) จักกันจะเป็นเช่นไร
(และถ้าเขาเข้ามาแทนฉัน) มันก็คงไม่รู้สึก คงไม่รู้สึกอะไร
คงไม่รู้สึกอะไร",ponwp
เขาไม่ชอบเรา (จะไปโกรธเขาทำไม),/music/thailyric/20458,"ความพยายามมันไม่มีค่าพอ
ถ้าหากเรานั้นยังปากแข็ง
ต่อให้เรารักแค่ไหนถ้าเราไม่แสดง
มันออกมาเธอก็คงจะไม่รอ

ผิดที่ฉันไม่กล้าพูดมัน
กลัวว่าความสัมพันธ์ที่ดีจะเลือนหาย
กลัวถนนแห่งคำว่าเพื่อน พังทลาย
หากว่าใจชั้นมันถลำเกินควบคุม

โกรธได้ไหมที่เค้าและเธอนั้นรักกัน
โกรธทุกร้านอาหารที่บริการเธอกับเขา
เกลียดความรักที่ไม่เข้าข้าง หัวใจของเรา
เกลียดที่เขาพึ่งมา แล้วดันได้รักเธอ

ในวันนี้ฉันต้องยอมปล่อยเธอไป
ทั้งที่เราไม่ได้เป็นไรกันอยู่แล้ว
เมื่อมีคนที่เขาที่ดีกว่า
จะไปโกรธเขาทำไมนะเขาไม่ชอบเรา

ผิดที่ฉันที่ไม่กล้าพูดมัน
กลัวว่าความสัมพันธ์ที่ดีจะเลือนหาย
กลัวถนนแห่งคำว่าเพื่อน พังทลาย
หากว่าใจชั้นมันถลำเกินควบคุม

โกรธได้ไหมที่เค้าและเธอนั้นรักกัน
โกรธทุกร้านอาหารที่บริการเธอกับเขา
เกลียดความรักที่ไม่เข้าข้าง หัวใจของเรา
เกลียดที่เขาพึ่งมา แล้วดันได้รักเธอ

โกรธตัวเองที่มันไม่กล้าที่จะบอกรัก
เหนื่อยใจนักเอาคำว่ารักไปให้กับเขา
และวันนี้ฉันคงทำได้ แค่ตัดใจเรื่องของเรา
ที่ฉันยืนมันดันมีเขาเข้ามาแทน",ponwp
คำนึง,/music/thailyric/20539,"อยากขอบคุณที่ยังไม่หาย ยังไม่ทิ้งฉันไปไหน
เพราะว่าฉันมันมีแค่ใจ ให้เธอได้ในทุกวัน
อยากให้รู้ว่าคนที่ทำให้ชีวิตฉันสดใส
ไม่ต้องมองไปไหนไกล มีแต่เธอให้รู้ไว้

ฉันไม่รู้จะตอบแทนเธอคนที่รักฉันหมดใจ
ฉันไม่รู้จะหาคำใด มาเปรียบได้ให้เท่ากัน
ในวันนี้รู้เพียงแค่รัก คนธรรมดาที่แสนสำคัญ กับใจฉัน

หากเธอคิดถึงกันอยู่ อยากให้รู้ยังรอ
กลับมาในอ้อมกอด จะเรียกขวัญเจ้าคืนกลับมา
ห่างที่ระยะทาง แต่ดวงใจมิอาจขวางกั้น
มีแค่ฉันและเธอไปชั่วนิรันดร์
เธอรักฉันและฉันรักเธอ

หากคิดถึงก็รีบมาหา ฉันยังรอเธอเสมอ
รอเวลาที่จะได้เจอ คนที่ใจฉันเรียกร้อง
ความคิดถึงมันทำให้ใจ รักเธอมากขึ้นทุกที
อยากเจอเธอเหลือเกิน

หากเธอคิดถึงกันอยู่ อยากให้รู้ยังรอ
กลับมาในอ้อมกอด จะเรียกขวัญเจ้าคืนกลับมา
ห่างที่ระยะทาง แต่ดวงใจมิอาจขวางกั้น
มีแค่ฉันและเธอไปชั่วนิรันดร์
เธอรักฉันและฉันรักเธอ

ตอนที่เธอและฉันนั้นอยู่ท่ามกลางแสงของพระจันทร์เรืองอร่าม
แต่วันนี้มีเมฆล่องลอยมาบดและบังฉันเองไม่หวั่น
คนรำพึงถึงเธอจะอยู่ตรงนี้ไปจนทิวาสวัสดิ์
รอวันที่พบเจออีกครั้ง

หากเธอคิดถึงกันอยู่ อยากให้รู้ยังรอ
กลับมาในอ้อมกอด จะเรียกขวัญเจ้าคืนกลับมา
ห่างที่ระยะทาง แต่ดวงใจมิอาจขวางกั้น
มีแค่ฉันและเธอไปชั่วนิรันดร์
เธอรักฉันและฉันรักเธอ",ponwp
ดีที่สุดแล้ว,/music/thailyric/20954,"เธอบอกเขาทำเธอเจ็บช้ำมา
บอกว่าเขาทำเธอเสียน้ำตา มาตั้งกี่ครั้ง
เธอไม่อยากจะเจอ เขาอีก
บอกให้ฉันช่วยทำให้ลืมได้ไหม

แต่เธอ ลืมไปรึเปล่าฉันเป็นแค่ที่ปรึกษา
เป็นแค่ เพื่อนคนหนึ่ง ที่เธอนึกถึงตอนมีปัญหา
ทั้งที่ใจมันจะร้าวรานมากแค่ไหน
และยังไงจะทำหน้าที่ต่อไป

ต่อให้เธอไม่เลือกคนนั้น เธอก็ไม่เลือกฉัน
เป็นแค่เพื่อนคนหนึ่ง ที่ทำได้เพียงแค่มอง
ทำเป็นเข้าใจอะไรร้ายๆ
พร้อมรับฟังเจ็บคนสุดท้าย
ฉันเข้าใจ ถ้าเธอจะรักใคร
มันก็คงดี ฉันคงมีความสุขแล้ว

และวันนี้ยังเป็นเพื่อนกัน ได้อยู่ไหม
เธอยังมองฉันเหมือนเดิม ได้อยู่หรือเปล่า
ที่พยายามฝืนยิ้ม ไม่เป็นไร
ไม่อยากให้เธอไม่ต้องกังวล

แต่เธอลืมไปรึเปล่า ฉันเป็นแค่ที่ปรึกษา
เป็นแค่ เพื่อนคนหนึ่ง ที่เธอนึกถึงตอนมีปัญหา
ทั้งที่ใจมันจะร้าวรานมากแค่ไหน
แต่ยังไงจะทำหน้าที่ต่อไป

ต่อให้เธอไม่เลือกคนนั้น เธอก็ไม่เลือกฉัน
เป็นแค่เพื่อนคนหนึ่ง ที่ทำได้เพียงแค่มอง
ทำเป็นเข้าใจอะไรร้ายๆ
พร้อมรับฟังเจ็บคนสุดท้าย
ฉันเข้าใจ ถ้าเธอจะรักใคร
มันก็คงดี ฉันคงมีความสุขแล้ว

แววตาที่ได้มองฉันก็พอจะรู้ลึกๆ ไม่มีหวัง
คนที่มันได้เจ็บช้ำ มีแค่ฉันคนเดียวแค่เท่านั้น
แววตาที่ได้มองฉันก็พอจะรู้ลึกๆ ไม่มีหวัง
คนที่มันได้เจ็บช้ำ มีแค่ฉันคนเดียว

ต่อให้เธอไม่เลือกคนนั้นเธอก็ไม่เลือกฉัน
เป็นแค่เพื่อนคนหนึ่ง ที่ทำได้เพียงแค่มอง
ทำเป็นเข้าใจอะไรร้ายๆ
พร้อมรับฟังเจ็บคนสุดท้าย ฉันเข้าใจ
มันก็คงดี ฉันคงมีความสุขแล้ว",ponwp
เด็กดื้อ,/music/thailyric/15980,"เจ้าเด็กดื้ออยู่ที่ไหน
เลิกงอแงได้แล้ว
พี่ผิดเอง ที่บางครั้ง
ไม่ได้ตามใจหนู

แค่อยากให้รู้
ว่าตอนที่หนูห่างไป
คิดถึงเหลือเกิน
แทบน้ำตาไหล
อย่าซนได้ไหม
มันไม่โอเลย
หนูน่ารักหยิกแก้มน้อย
หนูร้องโอ๊ยพี่โคตรชอบเลย
(พี่โคตรชอบเลย)

แค่อยากจะบอกให้รู้
ว่าพี่ไม่มีใครหรอกหนู
ถ้าหนูไม่เชื่อมาจับใจดู
มันเต้นเวลาที่อยู่กับหนู

เวลาที่ใครทักมา
สาวๆ สวยๆ พี่ลบตลอด
และถ้าพี่เป็นลานจอดรถ
พี่ก็จะยอมให้หนูจอด

ไม่ใช่ Empty eye นะ
ที่ต้องให้พี่มาฟังผม
แต่ตอนนี้มันคงเป็นหนู
พี่มอบให้เลยอ่ะขนม
เด็กอ้วนหรือจะเอาลูกอม
จะให้หนูกินอย่างเหมาะสม
ไม่อ้วนแน่นอนหนูรอชม

เอาใจพี่เป็นประกันเลย

เจ้าเด็กดื้ออยู่ที่ไหน
เลิกงอแงได้แล้ว
พี่ผิดเอง ที่บางครั้ง
ไม่ได้ตามใจหนู
แค่อยากให้รู้
ว่าตอนที่หนูห่างไป
คิดถึงเหลือเกิน
แทบน้ำตาไหล
อย่าซนได้ไหม
มันไม่โอเลย
หนูน่ารักหยิกแก้มน้อย
หนูร้องโอ๊ยพี่โคตรชอบเลย

ทำปากหวาน
มาออดอ้อนเหมือนลูกแมว
และจะทำไงได้พี่แพ้ทางแมว
แจวมาแจวจ้ำจึกอะคนไหนดื้อ
ก็ลุกขึ้นมาแจว

เด็กดื้อคนนี้พี่จะไม่ปล่อยไปไหน
ไม่ว่าจะไปที่ใดพี่ก็จะตามไป
ล่องเรือหาหนูมาแสนนาน
ยิ่งกว่าละครไทย
โอว่าเจ้าพจมาน
อย่าพึ่งร้องไห้ไป
พี่ชายเล็กอยู่นี่ไง
คอยดูแลอยู่เรื่อยไป

หนูอย่ามองหนูอย่ามองเลยผ่านไป
ถ้าพี่ไม่แคร์พี่ไม่แคร์ไม่อยู่ตรงนี้
แล้วใครละใคร ใครละใครที่ปากดี
เวลาที่ใครมาอยู่กับหนู
พี่ไม่เอามันไว้แน่นอน

เจ้าเด็กดื้ออยู่ที่ไหน
เลิกงอแงได้แล้ว
พี่ผิดเอง ที่บางครั้ง
ไม่ได้ตามใจหนู
แค่อยากให้รู้
ว่าตอนที่หนูห่างไป
คิดถึงเหลือเกิน
แทบน้ำตาไหล
อย่าซนได้ไหม
มันไม่โอเลย
หนูน่ารักหยิกแก้มน้อย
หนูร้องโอ้ยพี่โคตรชอบเลย

เจ้าเด็กดื้ออยู่ที่ไหน
เลิกงอแงได้แล้ว
พี่ผิดเอง ที่บางครั้ง
ไม่ได้ตามใจหนู
แค่อยากให้รู้
ว่าตอนที่หนูห่างไป
คิดถึงเหลือเกิน
แทบน้ำตาไหล
อย่าซนได้ไหม
มันไม่โอเลย
หนูน่ารักหยิกแก้มน้อย
หนูร้องโอ๊ยพี่โคตรชอบเลย",ponwp
โดมิโน่ (Domino),/music/thailyric/18306,"เริ่มเกมกันมาสองคน เมื่อก่อนเคยมีตัวตน
ไม่ว่างเปล่าเหมือนกับในตอนนี้

ทุ่มเทกันไปกันไปกันมา ดูแล้วก็ไม่เข้าที
ไม่ค่อยลงรอยกัน เท่าไรๆ

ควรเล่นเกมนี้ต่อไปหรือเปล่า
หรือฉันควรถอยให้ใครได้เข้ามา
เพราะว่ายิ่งฝืนต้องมีแต่น้ำตา
ทำให้รู้ว่าคนอย่างเขามีค่าแค่ไหน

ไปต่อได้ไหมถ้าแบบนี้
พอมีวิธีใดให้เธอกลับคืนย้อนมา
ไม่ว่าจะร้องอ้อนวอนหรือภาวนา
ถ้ามีใครเข้ามา เพียงแค่ชั่วพริบตาก็พังลง

สายตาเธอมีอะไร ที่ยากเกินอธิบาย
บอกฉันหน่อย ฉันไม่ดีตรงไหน
ความรักมากมายร้อยพัน ทลายลงไปกับคำว่า
เขาดีกว่าฉัน

ควรเล่นเกมนี้ต่อไปหรือเปล่า
หรือฉันควรถอยให้ใครได้เข้ามา
เพราะว่ายิ่งฝืนต้องมีแต่น้ำตา
ทำให้รู้ว่าคนอย่างเขามีค่าแค่ไหน

ไปต่อได้ไหมถ้าแบบนี้
พอมีวิธีใดให้เธอกลับคืนย้อนมา
ไม่ว่าจะร้องอ้อนวอนหรือภาวนา
ถ้ามีใครเข้ามา เพียงแค่ชั่วพริบตาก็พังลง",ponwp
