song_name,href,lyric,artist
แค่ได้พบเธอ,/music/thailyric/11957,"ไม่เคยพบใครที่ทำให้ใจฉันหวั่นไหว
อยากได้พบเธอ
อยากจะพบเจอ
เพราะเธอทำให้ฉันเพ้อ คิดถึงเธอ

ยังไม่เห็นเธอผ่านมา
จะมาหรือเปล่า
ยังไม่เห็นแม้แต่เพื่อนเธอ
จะเจอหรือเปล่า
ฉันมารอตั้งแต่เช้า เธอรู้ไหม

หากว่าวันนี้โชคดีได้พบกับเธอ
คงจะไม่พร่ำเพ้อคิดถึงเธอคนเดียวเรื่อยไป
ขอแค่เพียงเธอผ่านมา
จะได้ไหมเอ่ย
ขอให้เธอนั้นอย่าเพิ่งไป
จะได้ไหมเอ่ย
ขอฉันขอเพียงแค่พบเธอ ได้เจอก็พอ

ได้แต่เฝ้าดู
ก็เพราะว่าอยากรู้ว่าเธออยู่ไหน
อยากจะเข้าไป
อยากบอกว่าใจฉันเพ้อ ถึงเธอ

ยังไม่เห็นเธอผ่านมา
จะมาหรือเปล่า
ยังไม่เห็นแม้แต่เพื่อนเธอ
จะเจอหรือเปล่า
ฉันมารอตั้งแต่เช้า เธอรู้ไหม

หากว่าวันนี้โชคดีได้พบกับเธอ
คงจะไม่พร่ำเพ้อคิดถึงเธอคนเดียวเรื่อยไป
ขอแค่เพียงเธอผ่านมา
จะได้ไหมเอ่ย
ขอให้เธอนั้นอย่าเพิ่งไป
จะได้ไหมเอ่ย
ขอฉันขอเพียงแค่พบเธอ ได้เจอก็พอ

หากว่าวันนี้โชคดีได้พบกับเธอ
คงจะไม่พร่ำเพ้อคิดถึงเธอคนเดียวเรื่อยไป
คงจะเป็นแค่เพียงฉันได้พบเจอ
และเป็นเธอ เธอคนนี้ที่ฉันรอ
มีเพียงสิ่งเดียวที่อยากขอ

หากว่าวันนี้โชคดีได้พบกับเธอ
คงจะไม่พร่ำเพ้อคิดถึงเธอคนเดียวเรื่อยไป
ขอแค่เพียงเธอผ่านมา
จะได้ไหมเอ่ย
ขอให้เธอนั้นอย่าเพิ่งไป
จะได้ไหมเอ่ย
ขอฉันขอเพียงแค่พบเธอ ได้เจอก็พอ",pop
ไม่มี,/music/thailyric/4184,"วันที่เราเจอกัน จากวันนั้นมีแต่เธอและฉันไม่มีใคร
เธอคือความฝันคือทุกสิ่ง ทำให้ฉันได้พบความจริงของหัวใจ
ทำให้รู้ว่าเธอมีค่ามากเพียงไหน และทำให้รู้ว่าฉันรักเธอมากเท่าไร
เพราะว่าเธอคนดี และก็เพราะว่าเธอคนนี้ที่เข้าใจ
เธอทำให้ฉันพบความสุข และทำให้ฉันพบความสดใสเหนือสิ่งใด

(No No) และ(เธอ/มัน)จะเป็นอย่างนี้ อีกนานสักเพียงไหน
และจะเป็นอย่างนี้ ไปนานสักเท่าใร
(ก็คงไม่มีคำถามอีกต่อไป เพราะเธอนั้นบอกฉันให้ได้รู้/
ก็คงจะเป็นคำถามนี้ตลอดไป เพราะเธอนั้นตอกย้ำให้ฉันรู้)

ว่าไม่มีอีกแล้ว ไม่มีกันอีกแล้ว ไม่มีวันที่ฉันและเธอนั้นจะรักกัน
แค่อยากให้ความฝันที่มีทั้งหมดทั้งหัวใจ ให้ย้อนคืนมาใหม่จะได้ไหม

วันนี้ฉันตื่น วันนี้ฉันนั้นยืนอยู่คนเดียว
คิดว่าจะมีใครอยู่ข้างกายไม่มี ไม่มีอีกแล้ว

(No No) และ(เธอ/มัน)จะเป็นอย่างนี้ อีกนานสักเพียงไหน
และจะเป็นอย่างนี้ ไปนานสักเท่าใร
(ก็คงไม่มีคำถามอีกต่อไป เพราะเธอนั้นบอกฉันให้ได้รู้/
ก็คงจะเป็นคำถามนี้ตลอดไป เพราะเธอนั้นตอกย้ำให้ฉันรู้)

ว่าไม่มีอีกแล้ว ไม่มีกันอีกแล้ว ไม่มีวันที่ฉันและเธอนั้นจะรักกัน
แค่อยากให้ความฝันที่มีทั้งหมดทั้งหัวใจ ให้ย้อนคืนมาใหม่จะได้ไหม

(No No) และ(เธอ/มัน)จะเป็นอย่างนี้ อีกนานสักเพียงไหน
และจะเป็นอย่างนี้ ไปนานสักเท่าใร
(ก็คงไม่มีคำถามอีกต่อไป เพราะเธอนั้นบอกฉันให้ได้รู้/
ก็คงจะเป็นคำถามนี้ตลอดไป เพราะเธอนั้นตอกย้ำให้ฉันรู้)

ว่าไม่มีอีกแล้ว ไม่มีกันอีกแล้ว ไม่มีวันที่ฉันและเธอนั้นจะรักกัน
แค่อยากให้ความฝันที่มีทั้งหมดทั้งหัวใจ ให้ย้อนคืนมาใหม่จะได้ไหม

ก็ไม่มีอีกแล้ว ไม่มี วันที่ฉันและเธอนั้นจะรักกัน
ไม่มีอีกแล้ว ไม่มี ไม่มีวันที่ฉันมีเธอ
วันนั้นไม่มีอีกแล้ว ไม่มี วันที่ฉันและเธอ จะอยู่ด้วยกันเช่นวันนั้น
ไม่มีวันนั้นอีก No No ไม่มีอีกแล้ว ไม่มี ไม่มี
วันที่ฉันและเธอนั้น จะอยู่ด้วยกันเช่นวันนั้น
ไม่มีวันนั้นอีก No No ไม่มี ไม่มี
ก็ไม่มี ไม่มีเธออีกแล้ว ไม่มีอีกแล้ว ไม่มี
ไม่มีอีกแล้ว ... จนจบ",pop
อยากหลับตา,/music/thailyric/4188,"คงจะเป็นฝัน เป็นได้แค่นั้น ที่ฉันและเธอนั้นรักกัน
มีแต่ความหวาน ในคืนแห่งความฝัน ที่ฉันต้องการเก็บไว้

ความเป็นจริงที่เจอนั้น เธอมีคนที่รู้ใจอยู่ข้างเธอ

อยากหลับตาและนอนหลับชั่วนิรันดร์
เพื่อจะสานต่อเรื่องราวความฝัน ที่สวยงามของหัวใจ
อยาก...พบเจอเธอ แม้จะเป็นแค่เพียงในฝัน ตราบใดที่ยังมีเธอ
ฉันจะขอนอนอยู่อย่างนั้น

ในค่ำคืนนี้คงจะมีหวังได้พบเธออยู่ในฝัน
มีแต่ความหวานในคืนแห่งความฝันที่ฉันต้องการเก็บไว้

ความเป็นจริงที่เจอนั้น เธอมีคนที่รู้ใจอยู่ข้างเธอ

อยากหลับตาและนอนหลับชั่วนิรันดร์
เพื่อจะสานต่อเรื่องราวความฝัน ที่สวยงามของหัวใจ
อยาก...พบเจอเธอ แม้จะเป็นแค่เพียงในฝัน ตราบใดที่ยังมีเธอ
ฉันจะขอนอนอยู่อย่างนั้น",pop
คนที่ไม่บอกผ่าน,/music/thailyric/8960,"แอบมองดูเธอมาตั้งนาน
แต่เธอก็ไม่หันมา
อยากให้เธอรู้ตัวสักที
ให้เราได้พบสบสายตา
ไม่รู้ต้องรออีกนานเท่าไหร่
นานสักแค่ไหน

มองเถอะมองทางนี้
สบตาให้กันสักที สักหน่อย
มองเถอะมองตรงนี้
จะได้รู้ว่ามีฉันที่เฝ้าคอย
ขอแค่เพียงได้มีโกาส
จะไม่ยอมให้เราต้องคลาดจากกัน

เพราะรู้สึกได้ในทันที
ว่าคนนี้ไม่ธรรมดา (ใช่ไหม)
อยากรู้เธอคิดเหมือนฉันหรือเปล่า
คิดเหมือนกันไหม

มองเถอะมองทางนี้
สบตาให้กันสักที สักหน่อย (จะได้ไหม)
มองเถอะมองตรงนี้
จะได้รู้ว่ามีฉันที่เฝ้าคอย เธออยู่
และในตอนนี้ โอกาสดีๆ อย่างนี้ ฉันรอ
รอมานานแสนนาน รอวันที่เราจะได้รักกัน

ได้โปรดมองเถอะมองทางนี้
สบตาให้กันสักที สักหน่อย (จะได้ไหม)
มองเถอะมองตรงนี้
จะได้รู้ว่ามีฉันที่เฝ้าคอย
ขอแค่เพียงได้มีโกาส
จะไม่ยอมให้เราต้องคลาดจากกัน

All I Need Is You เธอคนนี้
ฉันรอ ฉันค้นหามานาน
All I Need All I Need To Do
จะไม่ยอม ให้โอกาสนี้หายไปอีกแล้ว",pop
ได้ยินความรักบ้างไหม,/music/thailyric/9238,"วันเวลาเหมือนเพิ่งผ่านมาเพียงไม่นาน
ความทรงจำของเมื่อวาน
ทุกความหวานทุกความเศร้า
ทำให้ฉันรู้สึกเหงาเมื่อนึกถึงมันขึ้นมา
คงไม่มีอะไรที่เปลี่ยนแปลงไป
เพราะฉันเข้าใจแล้วว่า รักเธอนั้นมีค่าเท่าไร
และสำคัญแค่ไหนเมื่อได้ผ่านพ้นมา

ทุกท่วงทำนองถ้อยคำจากหัวใจ
แทนรอยยิ้มและคราบน้ำตา
ให้เพลงนี้ได้ไปหา

อยากให้เธอรู้ว่าฉันนั้นคิดถึงเธอเกินจะเก็บไว้
ได้ยินความรักบ้างไหม
ให้เพลงนี้ได้ส่งรักไปแสนไกล
ทุกคำฝากแทนหัวใจให้ไปบอกเธอ

นาฬิกาเวลาก็ยังคงเดิน
ช่างดูเนิ่นนานเหลือเกิน
กว่าเราจะได้พบกันอีกครั้ง
ฉันก็ได้แต่หวังว่าเธอจะคิดเหมือนกัน

ทุกท่วงทำนองถ้อยคำจากหัวใจ
แทนรอยยิ้มและคราบน้ำตา
ให้เพลงนี้ได้ไปหา

อยากให้เธอรู้ว่าฉันนั้นคิดถึงเธอเกินจะเก็บไว้
ได้ยินความรักบ้างไหม
ให้เพลงนี้ได้ส่งรักฉันไป
ทุกคำที่ออกจากใจบอกว่ารักเธอ

อยากให้เธอรู้ว่าฉันนั้นคิดถึงเธอเกินจะเก็บไว้
ได้ยินความรักบ้างไหม
ให้เพลงนี้ได้ส่งรักไปแสนไกล
ทุกคำฝากแทนหัวใจ ไปบอกกับเธอให้รู้ว่า
ฉันคิดถึงเธอเหลือเกินกว่าจะเก็บไว้

ได้ยินรักนี้หรือไม่ ให้เพลงนี้ได้ฝากรักฉันไป
ทุกคำที่ออกจากหัวใจมีให้เธอ
ที่ออกจากหัวใจมีให้เธอ ที่ออกจากหัวใจมีแค่เธอ",pop
ก็มีอยู่เท่านี้,/music/thailyric/4179,"หากวันนี้เธอรู้สึกเจ็บช้ำ หากวันนี้เธอรู้สึกต้อยต่ำ
ไม่อยากคิดอะไรไม่อยากพบใครๆ เพราะว่าตอนนี้ใจเธอทนไม่ไหว

เป็นธรรมดาไม่เจอเรื่องร้ายก็เจอเรื่องดี
ยิ่งมีอยู่เท่านี้ไม่ได้แปลกอะไร เรื่องมันอยู่ที่ใจ ที่ใจเธอ
ไม่ว่าจะแค่ไหนสักเท่าไหร่กับเรื่องที่ได้เจอ ขอแค่เธอเข้าใจมันต้องผ่านไปได้เสมอ

ก่อนจะล้มเธอยืนอยู่ใช่มั้ย ก่อนจะแพ้เธอเคยเป็นยังไง
สุขและทุกข์ในใจเกิดขึ้นแล้วต้องไป ไม่มีสิ่งไหนแน่นอนใช่มั้ย

เป็นธรรมดาไม่เจอเรื่องร้ายก็เจอเรื่องดี
ก็มีอยู่เท่านี้ไม่ได้แปลกอะไร ก็มันอยู่ที่ใจ ที่ใจเธอ
ไม่ว่าจะแค่ไหนสักเท่าไหร่กับเรื่องที่ได้เจอ ขอแค่เธอเข้าใจมันต้องผ่านไปได้เสมอ

และต่อจากนี้ไป จะเรื่องไหนมันก็ต้องมี
และเป็นธรรมดาไม่เจอเรื่องร้ายก็เจอเรื่องดี
ก็มีอยู่เท่านี้ไม่ได้แปลกอะไร เรื่องมันอยู่ที่ใจ ที่ใจเธอ
ไม่ว่าจะแค่ไหนสักเท่าไหร่กับเรื่องที่ได้เจอ ขอแค่เธอเข้าใจมันต้องผ่านไปได้เสมอ
ก็มีอยู่เท่านี้ไม่ได้แปลกอะไร เรื่องมันอยู่ที่ใจ ที่ใจเธอ
ไม่ว่าจะแค่ไหนสักเท่าไหร่กับเรื่องที่ได้เจอ ขอแค่เธอเข้าใจมันต้องผ่านไปได้เสมอ

ก็มันมีอยู่เท่านี้ ไม่ได้แปลกอะไร มันอยู่ที่ใจที่ใจของเธอ
จะแค่ไหนสักเท่าไหร่กับเรื่องที่ได้เจอ ถ้าหากเธอเข้าใจคงผ่านไปได้เสมอ
ก็มีอยู่เท่านี้ อยู่แค่นี้ อยู่เท่านี้เอง มันอยู่ที่ใจที่ใจของเธอ
จะแค่ไหนสักเท่าไหร่กับเรื่องที่ได้เจอ ถ้าหากเธอเข้าใจคงผ่านไปได้เสมอ",pop
ตรงนี้,/music/thailyric/4181,"เธอไม่ต้องกลัว และไม่ต้องคิดกังวล
ก็เธอยังมีฉัน ที่ยังอยู่ตรงนี้ทั้งคน
จะทุกข์จะสุขร้อนหนาว ไม่ต้องไปสน

หากเธอผิดหวัง หากเธอนั้นทุกข์ร้อนใจ
แต่เธอยังมีฉัน ไม่ว่าเธอจะพบอะไร

(ไม่ว่าเธอ)จะล้มจะเหนื่อยท้อแท้จะเจ็บ ช้ำเท่าไหร่
ผิดหวังอึดอัด ไม่รู้จะบอกกับใคร

ขอให้เธอรู้ว่าเธอยังมีฉัน ขอให้เธอรู้เราจะอยู่เคียงข้างกัน
ไม่ว่าเมื่อไหร่ จะนานแค่ไหนยังไง จะมีคนนี้ที่เข้าใจ

ขอแค่เธอรู้ว่าเธอจะมีฉัน จะดีหรือร้ายยังไงจะไม่ทิ้งกัน จะอยู่ตรงนี้
(อยู่)เคียงข้างเธอไม่ห่าง ให้เธอมั่นใจในคนๆนี้

คนที่ไม่เคยเปลี่ยน (คนที่ไม่เคยเปลี่ยน)
และฉันไม่ยอมเปลี่ยนไป (และฉันไม่ยอมเปลี่ยน) ไม่ว่าจะนานแค่ไหน

(ไม่ว่าเธอ)จะล้มจะเหนื่อยท้อแท้จะเจ็บ ช้ำเท่าไหร่
ผิดหวังอึดอัด ไม่รู้จะบอกกับใคร

ขอให้เธอรู้ว่าเธอยังมีฉัน ขอให้เธอรู้เราจะอยู่เคียงข้างกัน
ไม่ว่าเมื่อไหร่ จะนานแค่ไหนยังไง จะมีคนนี้ที่เข้าใจ

ขอแค่เธอรู้ว่าเธอจะมีฉัน จะดีหรือร้ายยังไงจะไม่ทิ้งกัน จะอยู่ตรงนี้
(อยู่)เคียงข้างเธอไม่ห่าง ให้เธอมั่นใจในคนๆนี้

(เธอไม่ต้องกลัว และไม่ต้องคิดกังวล) ให้เธอมั่นใจในฉันคนนี้
(ก็เธอยังมีฉัน ที่ยังอยู่ตรงนี้ทั้งคน) ให้เธอแน่ใจในฉันคนนี้
(หากเธอผิดหวัง หากเธอนั้นทุกข์ร้อนใจ) ทำให้เธอมั่นใจกับฉันตรงนี้
(แต่เธอยังมีฉัน ไม่ว่าเธอจะพบอะไร) ... จนจบ",pop
ทำไม่ไหว,/music/thailyric/4182,"สิ่งที่ฉันรู้ดี และสิ่งที่ฉันแน่ใจ
และไม่เคยซักครั้งที่ฉันจะหวั่นไหวคือรักเธอ แต่คงไม่มีคำพูดอะไร
ต่อจากนี้ไป ไม่อยากคิดไม่อยากรับไม่อยากรู้เรื่องใด
กับคำพูดสุดท้ายที่เธอได้ทิ้งไว้ให้ฉัน

เธอขอให้ฉันลืมลืมเธอจะได้ไหม ให้ฉันลืมลืมวันที่สดใส
ลืมเรื่องของเรา แล้วฉันจะทำได้ไหม

ถึงจะยากยังไง แต่คงต้องเข้าใจใช่ไหม

บอกตามตรงว่าใจของฉันก็คงรับไม่ได้ กับคำพูดสุดท้ายที่เธอได้ทิ้งไว้ให้ฉัน

เธอขอให้ฉันลืมลืมเธอจะได้ไหม ให้ฉันลืมลืมวันที่สดใส
ลืมเรื่องของเรา แล้วฉันจะทำได้ไหม

บอกตามตรงว่าใจของฉันก็คงรับไม่ได้ กับคำพูดสุดท้ายที่เธอได้ทิ้งไว้ให้ฉัน

เธอขอให้ฉันลืมลืมเธอจะได้ไหม ให้ฉันลืมลืมวันที่สดใส
ลืมเรื่องของเรา แล้วฉันจะทำได้ไหม

อยากให้เธอลองกลับหัวใจ เปลี่ยนเธอมาเป็นฉันแล้วเธอจะทำได้หรือไม่
เมื่อคนรักที่สุดได้จากไป แล้วยังจะขอให้ฉันลืมเธออีกไหม มันยากเหลือเกิน
เป็นเธอจะทำได้ไหม ฉันพยายามเท่าไหร่ แต่ฉันก็ทำไม่ไหว",pop
เวลา,/music/thailyric/4186,"เขาบอกว่าเธอไม่เคยจะสนใจไม่แคร์อะไร แม้ใครจะมองว่า
ทำไมๆเธอดื้อและรั้นไม่ฟังคำพูดใคร ไม่พอใจอะไรก็เดินจาก

เธอไม่ต้องกลัวว่าใครจะพูดอะไร ไม่ต้องกังวลว่ามันจะทำให้ฉันไม่เข้าใจ

เขายังบอกว่าเรา ช่างดูไม่เข้ากันและไม่มีวัน จะไปกันได้ไกล
ยังบอกไม่มีทาง คนอย่างเธอจะยอมมารักใคร จะพูดยังไงฉันไม่เชื่อไม่ฟัง

ฉันรู้ดีว่าใจเธอคิดอะไร ไม่ต้องกังวลเพราะฉันนั้นจะคอยเข้าใจ

โลกจะยังหมุนไปอีกนานเท่าไร ไม่มีๆใครรู้หรอก เวลาจะเป็นคนบอก เวลาจะเป็นคำตอบ
ว่าเรานั้นจะยังรักกันอีกนานเท่าไร ไม่มีใครที่จะรู้หรอก เวลาจะเป็นคำตอบ เวลาจะบอกกับเธอและฉันเอง

ไม่ว่าเวลาผ่านไปนานสักเพียงไหน ฉันจะยืนอยู่คอยบอกกับเธอให้มั่นใจ

โลกจะยังหมุนไปอีกนานเท่าไร ไม่มีๆใครรู้หรอก เวลาจะเป็นคนบอก เวลาจะเป็นคำตอบ
ว่าเรานั้นจะยังรักกันอีกนานเท่าไร ไม่มีใครที่จะรู้หรอก เวลาจะเป็นคำตอบ เวลาจะบอกกับเธอและฉันเอง

นานา...",pop
เสียงข้างในจิตใจ,/music/thailyric/4187,"ทางไหน เมื่อไร หนทางเดินอีกไกล ไม่ต้องไปคิดว่าใครต่อใครจะห้าม
สิ่งไหน และเพื่อใคร เก็บคำถามไว้ในจิตใจ ไม่ต้องไปสนทำมันต่อไปจนกว่า
สักวันเธอจะรู้ว่าเธอจะเจออะไร ในวันนั้นเธอคงจะเข้าใจ

วันนี้ เธอรู้ดี ว่าตอนนี้เธอทำอะไร และสิ่งนั้นไม่ทำให้ใครต้องลำบาก
ไม่ต้องกลัว ไม่ต้องคิดมาก ขอแค่เธอแน่ใจ ทำสิ่งนั้นทำมันต่อไปจนกว่า

สักวันเธอจะรู้ว่าเธอต้องการอะไร ในวันนั้นเธอคงจะเข้าใจ
หากเธอมีคำถามที่ทำให้เธอหวั่นไหว ขอเธอจงมั่นใจ ไม่มีใครรู้ไปกว่า

เสียงข้างในจิตใจ เชื่อและทำต่อไป ไม่ต้องกลัวอะไร ทำดั่งใจเธอต้องการ
แม้จะนานแค่ไหน สุดท้ายไม่ได้อะไร อย่างน้อยได้ทำดั่งใจทุกอย่างที่ใจเธอต้องการ

หยุดสงสัยและทำมันต่อไป แม้จะเป็นอย่างไรให้เชื่อในใจของเธอ

สักวันเธอจะรู้ว่าเธอต้องการอะไร ในวันนั้นเธอคงจะเข้าใจ
หากเธอมีคำถามที่ทำให้เธอหวั่นไหว ขอเธอจงมั่นใจ ไม่มีใครรู้ไปกว่า

เสียงข้างในจิตใจ เชื่อและทำต่อไป ไม่ต้องกลัวอะไร ทำดั่งใจเธอต้องการ
แม้จะนานแค่ไหน สุดท้ายไม่ได้อะไร อย่างน้อยได้ทำดั่งใจทุกอย่างที่ใจเธอต้องการ

เสียงข้างในจิตใจ เชื่อและทำต่อไป ไม่ต้องกลัวอะไร ทำดั่งใจเธอต้องการ
แม้จะนานแค่ไหน สุดท้ายไม่ได้อะไร อย่างน้อยได้ทำดั่งใจทุกอย่างที่ใจเธอต้องการ

เสียงข้างในจิตใจ เชื่อและทำต่อไป ไม่ต้องกลัวอะไร ทำดั่งใจเธอต้องการ
แม้จะนานแค่ไหน สุดท้ายไม่ได้อะไร อย่างน้อยได้ทำดั่งใจทุกอย่างที่ใจเธอต้องการ",pop
