song_name,href,lyric,artist
กลับมานะ,/music/thailyric/17824,"ในทุกๆ ทุกวันก็ยังคงคิดถึงเธอ
คิดถึงเธอเสมอไม่ว่าจะผ่านมานานเท่าไร
ทุกวันก็ยังตอกย้ำเหตุการณ์ที่เราได้ชิดใกล้
ที่เคยใช้ชีวิตและเราเคยผ่านมันมาด้วยกัน

คิดถึงเธอเสมอ คิดถึงเธอทุกวัน
คิดถึงเธอทุกคืน ที่เราได้ตื่นขึ้นมา
เมื่อเราได้สบตา ในวันที่เราได้ชิดใกล้

กลับมาได้ไหม รออยู่ตรงนี้ รออยู่ตรงที่ที่เดิมทุกวัน
ที่ที่มีเรา อยู่เคียงข้างกัน อยากจะขอโทษที่ทำผิดไป
และในวันนี้ฉันสำนึกแล้ว ว่าฉันขาดเธอไม่ได้
และตอนนี้ก็รักเธอมากมาย กลับมาได้ไหม
จะเอาอะไรฉันยอมทุกอย่าง

คิดถึงเธอเสมอ คิดถึงเธอทุกวัน
คิดถึงเธอทุกคืน ที่เราได้ตื่นขึ้นมา
เมื่อเราได้สบตา ในวันที่เราได้ชิดใกล้

กลับมาได้ไหม รออยู่ตรงนี้ รออยู่ตรงที่ที่เดิมทุกวัน
ที่ที่มีเรา อยู่เคียงข้างกัน อยากจะขอโทษที่ทำผิดไป
และในวันนี้ฉันสำนึกแล้ว ว่าฉันขาดเธอไม่ได้
และตอนนี้ก็รักเธอมากมาย กลับมาได้ไหม
จะเอาอะไรฉันยอมทุกอย่าง

กลับมาได้ไหม รออยู่ตรงนี้ รออยู่ตรงที่ที่เดิมทุกวัน
ที่ที่มีเรา อยู่เคียงข้างกัน อยากจะขอโทษที่ทำผิดไป
และในวันนี้ฉันสำนึกแล้ว ว่าฉันขาดเธอไม่ได้
และตอนนี้ก็รักเธอมากมาย กลับมาได้ไหม
จะเอาอะไรฉันยอมทุกอย่าง",potae
คงตายในไม่ช้า,/music/thailyric/17845,"ทำดีทุกอย่าง เพื่อหวังให้เธอเห็นใจ
จะเอาอะไรก็ให้ ทุกอย่าง
กลัวว่าเธอหมดใจ กลัวว่าฉันต้องเดินลำพัง
ถ้าฉัน ไม่มีเธออยู่ข้างกาย

หากว่าเป็นอย่างนั้นนึกภาพไม่ออกเลย
ว่าฉันจะอยู่อย่างไรไหว

อย่าพึ่งเบื่อกัน อย่าทิ้งฉันไปไหนก่อน
ได้โปรดฟังคำอ้อนวอน จากฉันก่อน อย่าพึ่งไปไหน
หากเธอทิ้งฉัน ฉันคงต้องขาดใจ คงเดินต่อไม่ไหว
หัวใจมันหมดแรง ฉันคงตายในไม่ช้า

หากว่าเป็นอย่างนั้นนึกภาพไม่ออกเลย
ว่าฉันจะอยู่อย่างไรไหว

อย่าพึ่งเบื่อกัน อย่าทิ้งฉันไปไหนก่อน
ได้โปรดฟังคำอ้อนวอน จากฉันก่อน อย่าพึ่งไปไหน
หากเธอทิ้งฉัน ฉันคงต้องขาดใจ คงเดินต่อไม่ไหว

อย่าพึ่งเบื่อกัน อย่าทิ้งฉันไปไหนก่อน
ได้โปรดฟังคำอ้อนวอน จากฉันก่อน อย่าพึ่งไปไหน
หากเธอทิ้งฉัน ฉันคงต้องขาดใจ คงเดินต่อไม่ไหว
หัวใจมันหมดแรง ฉันคงตายในไม่ช้า

หัวใจมันหมดแรง
หัวใจคงหมดแรง ฉันคงตายในไม่ช้า",potae
ทักก่อนทิ้งก่อน,/music/thailyric/21181,"เพิ่งเข้าใจวันนี้ ว่าทำไม ไม่เปิดตัวฉัน
ทำไมไม่ให้สถานะกัน บอกเพียงแค่คบๆ ไป
สักวันก็จะได้รู้ สักวันจะได้เข้าใจ
วันนี้รู้แล้ว ทำไม เหตุผลที่เป็นแบบนั้น

ก็เพราะว่าเธอมีใครอีกคนเก็บซ่อนในใจอยู่
ในวันนี้ที่ฉันรู้ ก็คือวันที่เธอ ไม่เอาฉัน

เธอทักฉันมาก่อน ในวันนั้นเธอเริ่มเกมก่อน
เธอมาบอกรักให้ฉันใจอ่อน จนฉันรักเธอหมดหัวใจ
แล้วเธอก็ตีจาก ไม่ตอบแชต ไม่ยอมรับสาย 
เธอก็เปิดตัวกับเขาคนใหม่

เธอทักฉันมาก่อน ในวันนั้นเธอเริ่มเกมก่อน
เธอมาบอกรักให้ฉันใจอ่อน จนฉันรักเธอหมดหัวใจ
แล้วเธอก็ตีจาก ไม่ตอบแชต ไม่ยอมรับสาย 
เธอก็เปิดตัวกับเขาคนใหม่
เธอหลอกให้รอ ให้เสียใจ สุดท้ายก็ไม่เอา",potae
เผื่อใจไว้บ้าง,/music/thailyric/20669,"เข้าใจว่าเธอยังไม่พร้อม
ที่จะยอมรับฉันเป็นคนของใจ
มันคงเร็วเกินไปใช่ไหม
เธอไม่ได้คิดไปขนาดนั้น

ก็บางครั้ง ที่สังเกต เธอไม่อยากให้ใครรู้ว่าคุยกัน
หรือเธอมีความ สัมพันธ์ ที่แอบคุยกัน กับใครอีกมากมาย

เผื่อใจเอาไว้บ้างนะ เขาไม่ได้คุยกับเรา แค่คนเดียว
คิดเองเออเองฝ่ายเดียว เขาไม่ได้เรียกว่าความรัก
เผื่อใจเอาไว้บ้างนะ สถานะเราแค่คนรู้จัก
ไอ้ความสัมพันธ์ที่ต้องคอยทัก คิดเองเออเองว่าเขารัก
สถานะมันก็ชัด ว่าเราแค่คนคุย

ก็บางครั้ง ที่สังเกต เธอไม่อยากให้ใครรู้ว่าคุยกัน
หรือเธอมีความ สัมพันธ์ ที่แอบคุยกัน กับใครอีกมากมาย

เผื่อใจเอาไว้บ้างนะ เขาไม่ได้คุยกับเรา แค่คนเดียว
คิดเองเออเองฝ่ายเดียว เขาไม่ได้เรียกว่าความรัก
เผื่อใจเอาไว้บ้างนะ สถานะเราแค่คนรู้จัก
ไอ้ความสัมพันธ์ที่ต้องคอยทัก คิดเองเออเองว่าเขารัก
สถานะมันก็ชัด ว่าเราแค่คนคุย

เผื่อใจเอาไว้บ้างนะ เขาไม่ได้คุยกับเรา แค่คนเดียว
คิดเองเออเองฝ่ายเดียว เขาไม่ได้เรียกว่าความรัก
เผื่อใจเอาไว้บ้างนะ สถานะเราแค่คนรู้จัก
ไอ้ความสัมพันธ์ที่ต้องคอยทัก คิดเองเออเองว่าเขารัก
สถานะมันก็ชัด ว่าเราแค่คนคุย

คิดเองเออเองว่าเขารัก ทั้งๆ ที่เราก็รู้ว่าเขาแค่มาคุย",potae
เพราะรัก,/music/thailyric/18417,"ก็เพราะรักจึงห่วงจึงหึง เพราะคิดถึงจึงต้องโทรหา
อยากเจออยากจะพบหน้า ให้มันหาย

ขอโทษที่วุ่นวาย ขอโทษถ้าถามมากไป
ขอโทษหากกวนใจ จนน่ารำคาญ
ที่ถามเพราะรักเธอ ฉันมีแค่เธอเท่านั้น
หากขาดเธอไป ฉันคงขาดใจ

ก็ไม่รู้ ว่ารักมากมันก็น่าเบื่อ
ฉันก็ไม่รู้ หวงมากก็น่ารำคาญ
ก็เธอมีแค่คนเดียว เสียไปคงทรมาน
ช่วยวอนให้เธอ โปรดจงเข้าใจ

ก็เพราะรักจึงห่วงจึงหึง เพราะคิดถึงจึงต้องโทรหา
อยากเจออยากจะพบหน้า ให้มันหาย
ก็เพราะรักจึงต้องคิดถึง มีแต่เธอคนเดียวในหัวใจ
ขอโทษที่งี่เง่าไป เพราะฉันคงอยู่ไม่ไหวถ้าขาดเธอ

ขอโทษหากฉันทำ ให้เธอไม่สบายใจ
ขอโทษหากฉันเข้าไป วุ่นวายเธอมากขนาดนั้น
ขอโทษในวันนี้ หากรักเธอมากเกินกว่าเธอต้องการ
ขอโทษที่ฉัน อยากรักเธอตลอด

ก็ไม่รู้ ว่ารักมากมันก็น่าเบื่อ
ฉันก็ไม่รู้ หวงมากก็น่ารำคาญ
ก็เธอมีแค่คนเดียว เสียไปคงทรมาน
ช่วยวอนให้เธอ โปรดจงเข้าใจ

ก็เพราะรักจึงห่วงจึงหึง เพราะคิดถึงจึงต้องโทรหา
อยากเจออยากจะพบหน้า ให้มันหาย
ก็เพราะรักจึงต้องคิดถึง มีแต่เธอคนเดียวในหัวใจ
ขอโทษที่งี่เง่าไป เพราะฉันคงอยู่ไม่ไหวถ้าขาดเธอ

ก็เพราะรักจึงห่วงจึงหึง เพราะคิดถึงจึงต้องโทรหา
อยากเจออยากจะพบหน้า ให้มันหาย
ก็เพราะรักจึงต้องคิดถึง มีแต่เธอคนเดียวในหัวใจ
ขอโทษที่งี่เง่าไป เพราะฉันคงอยู่ไม่ไหวถ้าขาดเธอ

ฉันคงอยู่ไม่ไหว",potae
เพราะอะไร,/music/thailyric/20101,"ก่อนที่เธอจะไป บอกฉันสักคำ
ว่าที่เธอเลือกเขาเพราะอะไร
ที่เธอทิ้งกันฉันผิดตรงไหน
ช่วยเล่าให้ฟังได้ไหม ฉันอยากรู้

ว่ารักเขาที่ตรงไหน เธอถึงต้องเลือกเขา
ถึงได้จบความรักเรา ไว้แค่นี้
เธอช่วยบอกสักคำ หากฉันไม่ดี
ว่าฉันผิดตรงไหน

โปรดเธอช่วยบอกสักคำ
ถึงแม้ตอนนี้ไม่มีความหมาย
อย่างน้อยให้ฉันได้ฟัง
เหตุผลทำไมเธอจึง เลือกเขา

ทั้งที่ฉันรักมากมาย แต่ก็ยังไม่ดี
หรือเพียงเพราะฉันคนนี้ ไม่ใช่เขา
เธอถึงเลือกจบความรัก
ของสองเรา เพราะเธอรักเขาไม่ใช่ฉัน

โปรดเธอช่วยบอกสักคำ
ถึงแม้ตอนนี้ไม่มีความหมาย
อย่างน้อยให้ฉันได้ฟัง
เหตุผลทำไมเธอจึง เลือกเขา

ทั้งที่ฉันรักมากมาย แต่ก็ยังไม่ดี
หรือเพียงเพราะฉันคนนี้ ไม่ใช่เขา
เธอถึงเลือกจบความรัก
ของสองเรา เพราะเธอรักเขาไม่ใช่ฉัน

โปรดเธอช่วยบอกสักคำ
ถึงแม้ตอนนี้ไม่มีความหมาย
อย่างน้อยให้ฉันได้ฟัง
เหตุผลทำไมเธอจึง เลือกเขา

ทั้งที่ฉันรักมากมาย แต่ก็ยังไม่ดี
หรือเพียงเพราะฉันคนนี้ ไม่ใช่เขา
เธอถึงเลือกจบความรัก
ของสองเรา เพราะเธอรักเขาไม่ใช่ฉัน

เธอถึงเลือกจบความรัก
ของสองเรา เพราะเธอรักเขาไม่ใช่ฉัน",potae
รักดีๆ,/music/thailyric/21615,"เสียใจเท่าไร ไม่จำ
โดนกระทำ ให้ช้ำให้เสียใจ
มีไหมสักคน ที่เขาจริงใจ
ไม่หลอกให้รักเเล้วไป ให้ช้ำใจอีก

อยู่ไหนรักดีๆ
มีไหมใครสักคนที่ คิดจะจริงใจ
ไม่หลอกฉัน ให้เจ็บช้ำซ้ำๆ เรื่อยไป
คนๆ นั้นอยู่ที่ไหน รักดีๆมีจริงไหมบอกฉันที

ต้องเจ็บอีกสักกี่ครั้ง  ถึงจะได้เจอรักดีดี
ต้องร้องไห้สักกี่ที ฉันจะได้เจอคนจริงใจ
ไม่รู้ต้องเสียน้ำตาอีกกี่ครั้ง ไม่รู้จักอีกเท่าไร
รักดีดีมันอยู่ที่ไหน ฉันจะได้เจอบ้างไหมกับรักดีดี

อยู่ไหนรักดีๆ
มีไหมใครสักคนที่ คิดจะจริงใจ
ไม่หลอกฉัน ให้เจ็บช้ำซ้ำๆ เรื่อยไป
คนๆ นั้นอยู่ที่ไหน รักดีๆมีจริงไหมบอกฉันที

ต้องเจ็บอีกสักกี่ครั้ง  ถึงจะได้เจอรักดีดี
ต้องร้องไห้สักกี่ที ฉันจะได้เจอคนจริงใจ
ไม่รู้ต้องเสียน้ำตาอีกกี่ครั้ง ไม่รู้จักอีกเท่าไร
รักดีดีมันอยู่ที่ไหน ที่ไหน

ต้องเจ็บอีกสักกี่ครั้ง  ถึงจะได้เจอรักดีดี
ต้องร้องไห้สักกี่ที ฉันจะได้เจอคนจริงใจ
ไม่รู้ต้องเสียน้ำตาอีกกี่ครั้ง ไม่รู้จักอีกเท่าไร
รักดีดีมันอยู่ที่ไหน ฉันจะได้เจอบ้างไหมกับรักดีดี

ฉันจะได้เจอบ้างไหม กับรักดีดี",potae
สงสารเถอะ,/music/thailyric/23267,"บ่อยครั้งที่ฉันเสียใจ
ที่ฉันต้องร้องไห้ จากความรัก
ความรัก ทำไมน่ากลัวนัก
พอฉันตั้งใจรัก กลับพีงไปทุกที

อย่าเลยเธอ ถ้าเธอไม่จริงใจ
ช่วยสงสารคนรักใครง่าย แบบฉันที
เจ็บช้ำมาพอแล้ว อยากได้รักดีๆ
อยู่ไหนคนรักจริง ไม่หลอกฉัน

อย่ามาหลอกว่ารักได้ไหมสักพักถ้าเธอจะทิ้ง
อย่ามาบอกว่ารักได้ไหม สักพักถ้าเธอจะเปลี่ยนไป
อย่าแกล้งทำเป็นรัก ทั้งๆ ที่เธอ แอบมีใครหลายคนในใจ
อย่ามาหลอกฉัน ว่ารักคนเดียวได้ไหม สงสารฉันบ้างเถอะเธอ

พอแล้ว พอสักที
ความรักที่มีแต่โดนทำร้าย
พอแล้ว ไม่อยากเจอคนไม่จริงใจ
มันพังเกินรับไหว แล้วตอนนี้

อย่าเลยเธอ ถ้าเธอไม่จริงใจ
ช่วยสงสารคนรักใครง่าย แบบฉันที
เจ็บช้ำมาพอแล้ว อยากได้รักดีๆ
อยู่ไหนคนรักจริง ไม่หลอกฉัน

อย่ามาหลอกว่ารักได้ไหมสักพักถ้าเธอจะทิ้ง
อย่ามาบอกว่ารักได้ไหม สักพักถ้าเธอจะเปลี่ยนไป
อย่าแกล้งทำเป็นรัก ทั้งๆ ที่เธอ แอบมีใครหลายคนในใจ
อย่ามาหลอกฉัน ว่ารักคนเดียวได้ไหม สงสารฉันบ้างเถอะเธอ

อย่ามาหลอกว่ารักได้ไหมสักพักถ้าเธอจะทิ้ง
อย่ามาบอกว่ารักได้ไหม สักพักถ้าเธอจะเปลี่ยนไป
อย่าแกล้งทำเป็นรัก ทั้งๆ ที่เธอ แอบมีใครหลายคนในใจ
อย่ามาหลอกฉัน ว่ารักคนเดียวได้ไหม สงสารฉันบ้างเถอะเธอ",potae
เหลือไว้แค่ความทรงจำ,/music/thailyric/19423,"ฉันไม่รู้หรอก ว่าตรงนั้นมีใครอยู่ไหม
ตรงข้างๆ กาย ของเธอ
รู้เพียงแค่ตอนนี้ ฉันเหงาฉันคิดถึงเธอ
ภาพวันเก่าๆ มันย้อนกลับมา

จับมือถือขึ้นมา ยังมีรูปเธอ
อยากจะโทรหาเธอ ยิ่งคิดถึงน้ำตายิ่งไหล

ติดตรงไม่มีสิทธิ์ จะทักจะโทรหาเธอ
ย้ำตัวเองเสมอ ว่าเราเลิกกันแล้ว
ทำได้แค่เพียงคิดถึง เรื่องราวครั้งหนึ่งที่เคยรักกัน
จบละครเรื่องรักสั้นๆ เหลือไว้แค่ความทรงจำ

ฉันไม่รู้หรอก ว่าข้างกายเธอมีใคร
แต่ตอนนี้ฉันเหงาเดียวดาย เพราะคิดถึงเธอ
รู้เพียงแค่ตอนนี้ ฉันเหงาฉันคิดถึงเธอ
ภาพวันเก่าๆ มันย้อนกลับมา

จับมือถือขึ้นมา ยังมีรูปเธอ
อยากจะโทรหาเธอ ยิ่งคิดถึงน้ำตายิ่งไหล

ติดตรงไม่มีสิทธิ์ จะทักจะโทรหาเธอ
ย้ำตัวเองเสมอ ว่าเราเลิกกันแล้ว
ทำได้แค่เพียงคิดถึง เรื่องราวครั้งหนึ่งที่เคยรักกัน
จบละครเรื่องรักสั้นๆ เหลือไว้แค่ความทรงจำ

จับมือถือขึ้นมา ยังมีรูปเธอ
อยากจะโทรหาเธอ ยิ่งคิดถึงน้ำตายิ่งไหล

ติดตรงไม่มีสิทธิ์ จะทักจะโทรหาเธอ
ย้ำตัวเองเสมอ ว่าเราเลิกกันแล้ว
ทำได้แค่เพียงคิดถึง เรื่องราวครั้งหนึ่งที่เคยรักกัน
จบละครเรื่องรักสั้นๆ เหลือไว้แค่ความทรงจำ

ติดตรงไม่มีสิทธิ์ จะทักจะโทรหาเธอ
ย้ำตัวเองเสมอ ว่าเราเลิกกันแล้ว
ทำได้แค่เพียงคิดถึง เรื่องราวครั้งหนึ่งที่เคยรักกัน
จบละครเรื่องรักสั้นๆ เหลือไว้แค่ความทรงจำ

จบละครเรื่องรักเธอฉัน เหลือไว้แค่ฉันคิดถึงเธอ",potae
อยากลืมเธอเหมือนลืมตา,/music/thailyric/22431,"นี่ฉันเป็นอะไร สักที
มาเก่งมาความจำดีอะไรเรื่องเธอ
อยากลืมแต่กลับยิ่งจำ
อยากหลบแต่กลับยิ่งเจอ
นี่มันเป็นเวรกรรมอะไรของฉัน

ทำไมสมอง มันดื้อจัง
มันกลับไปจำสิ่งที่ควรจะลืม
อยากหลับไปแล้วลืมเธอ
ตื่นมาไม่ต้องรับรู้
ให้เหมือนว่าเราไม่เคยจะรู้จักกัน

อยากลืมเธอให้เหมือนลืมตา
ตื่นขึ้นมาก็ลืมไปเลย ไม่ต้องเจ็บไม่ต้อง
เศร้าเหมือนเคย อยากลืมให้ง่ายแบบนั้น
แต่ความจริงก่อนนอน ร้องไห้คิดถึงเธอ
ตื่นขึ้นมา ยังเจ็บเหมือนเดิมทุกวัน
ไม่รู้เมื่อไร จะลืมเรื่องเหล่านั้น
อยากลืมเธอให้ง่าย เหมือนตอนลืมตา

ทำไมสมอง มันดื้อจัง
มันกลับไปจำสิ่งที่ควรจะลืม
อยากหลับไปแล้วลืมเธอ
ตื่นมาไม่ต้องรับรู้
ให้เหมือนว่าเราไม่เคยจะรู้จักกัน

อยากลืมเธอให้เหมือนลืมตา
ตื่นขึ้นมาก็ลืมไปเลย ไม่ต้องเจ็บไม่ต้อง
เศร้าเหมือนเคย อยากลืมให้ง่ายแบบนั้น
แต่ความจริงก่อนนอน ร้องไห้คิดถึงเธอ
ตื่นขึ้นมา ยังเจ็บเหมือนเดิมทุกวัน
ไม่รู้เมื่อไร จะลืมเรื่องเหล่านั้น
อยากลืมเธอให้ง่าย เหมือนตอนลืมตา

อยากลืมเธอให้เหมือนลืมตา
ตื่นขึ้นมาก็ลืมไปเลย ไม่ต้องเจ็บไม่ต้อง
เศร้าเหมือนเคย อยากลืมให้ง่ายแบบนั้น
แต่ความจริงก่อนนอน ร้องไห้คิดถึงเธอ
ตื่นขึ้นมา ยังเจ็บเหมือนเดิมทุกวัน
ไม่รู้เมื่อไร จะลืมเรื่องเหล่านั้น
อยากลืมเธอให้ง่าย เหมือนตอนลืมตา

อยากลืมเธอให้ง่าย เหมือนตอนลืมตา",potae
