song_name,href,lyric,artist
กี่พรุ่งนี้,/music/thailyric/9451,"จากรูปที่เคยสวยงาม
ผ่านมานานคงมีบางสีที่เริ่มจาง
แต่ภาพในความทรงจำ
ต่อให้นานเรื่องราวเหล่านั้นยังชัดเจน

ห้องที่ยังคงมีไออุ่น
จากใครบางคนที่ยังเผลอร้องเรียกหา
แต่เหมือนว่าเวลาอยู่ที่เดิม จะเริ่มยังไง
ให้นาฬิกาที่หยุดเดินให้หมุนดังเดิม

กี่พรุ่งนี้น้ำตาถึงจะหยุดไหล
จะยอมรับความจริงในวันนี้ได้
ที่ต้องไม่มีใครไม่มีใครอีกต่อไป

อีกนานไหมที่ใจจะได้เรียนรู้
ทำให้ความปวดร้าวนี้จางไป
จะอีกนานเท่าไร
จะอีกนานแค่ไหนถึงลบเลือน

เหมือนว่ายังคงมีไออุ่น
จากใครบางคนที่ตะโกนร้องเรียกหา
แต่คล้ายว่าเวลาอยู่ที่เดิม จะเริ่มยังไง
ให้นาฬิกาที่หยุดเดินให้หมุนดังเดิม

กี่พรุ่งนี้น้ำตาถึงจะหยุดไหล
จะยอมรับความจริงในวันนี้ได้
ที่ต้องไม่มีใครไม่มีใคร อีกต่อไป

อีกนานไหมที่ใจจะได้เรียนรู้
ทำให้ความปวดร้าวนี้จางไป
จะอีกนานเท่าไร
จะอีกนานแค่ไหนถึงลบเลือน

กี่พรุ่งนี้น้ำตาถึงจะหยุดไหล
จะยอมรับความจริงในวันนี้ได้
ที่ต้องไม่มีใครไม่มีใคร ไม่มีใคร

กี่พรุ่งนี้น้ำตาถึงจะหยุดไหล
จะยอมรับความจริงในวันนี้ได้
ที่ต้องไม่มีใครไม่มีใคร อีกต่อไป

อีกนานไหมที่ใจจะได้เรียนรู้
ทำให้ความปวดร้าวนี้จางไป
จะอีกนานเท่าไร
จะอีกนานแค่ไหนถึงลบเลือน

ความเสียใจสักวันต้องผ่านไป
ฝืนก้าวเดินต่อไปแม้ใจไร้เรี่ยวแรง
ยอมรับมันสักวันจะเข้าใจ
รอยน้ำตาที่ไหลสักวันจะหมดไป

กี่พรุ่งนี้ พรุ่งนี้

ความเสียใจสักวันต้องผ่านไป
ฝืนก้าวเดินต่อไปแม้ใจไร้เรี่ยวแรง
ยอมรับมันสักวันจะเข้าใจ
รอยน้ำตาที่ไหลสักวันจะหมดไป

ความเสียใจสักวันต้องผ่านไป
ฝืนก้าวเดินต่อไปแม้ใจไร้เรี่ยวแรง
ยอมรับมันสักวันจะเข้าใจ
รอยน้ำตาที่ไหลสักวันจะหมดไป",potato
ดวง,/music/thailyric/16538,"เพิ่งรู้จริงๆ ว่าชีวิตนี้ต้องขึ้นกับดวง
หรือการทักทายของใคร
ตื่นมา เขาว่าจะรวยแต่อยู่เฉยๆ
หรือว่าจะรวยก็เพราะตั้งใจทำงาน
หรือต้องคอยดูนิตยสาร
เขาเขียนยังไงกันเดือนนี้ดวงของเรา
ชีวิต ต้องพบและเจอกับสิ่งดีร้าย
พรุ่งนี้เป็นไงก็ยังไม่รู้เลย

สิ่งที่ยังมาไม่ถึง สิ่งที่เป็นคำทำนาย
จะเอาอะไรกับเรื่องที่ยังไม่เกิด

สุดท้ายชีวิต ต้องขึ้นกับใคร ตัวเองหรือลายนิ้วมือ
จะเชื่อหรือจะยอมดื้อ ทำตามเสียงหัวใจ
สุดท้ายชีวิตต้องขึ้นกับใคร ตัวเองหรือคำพูดของใคร
ไม่ได้คิดจะลบหลู่ แต่พรุ่งนี้ไม่รู้อะไรแน่นอน  แน่นอน

ความรักที่มีของเธอและฉัน
เขาพูดฟันธงว่าเราไม่ใช่คู่กัน
ชีวิต แล้วต้องทำไงเรื่องเธอและฉัน
จะคบกันไปหรือจะต้องแยกทาง

สิ่งที่ยังมาไม่ถึง สิ่งที่เป็นคำทำนาย
จะเอาอะไรกับเรื่องที่ยังไม่เกิด

สุดท้ายความรัก ต้องขึ้นกับใคร ตัวเองหรือลายนิ้วมือ
จะเชื่อหรือจะยอมดื้อ ทำตามเสียงหัวใจ
สุดท้ายความรักต้องขึ้นกับใคร ตัวเองหรือคำพูดของใคร
ไม่ได้คิดจะลบหลู่ แต่พรุ่งนี้ไม่รู้อะไรแน่นอน  แน่นอน

สุดท้ายชีวิต ต้องขึ้นกับใคร ตัวเองหรือลายนิ้วมือ
จะเชื่อหรือจะยอมดื้อ ทำตามเสียงหัวใจ
สุดท้ายความรักต้องขึ้นกับใคร ตัวเองหรือคำพูดของใคร
ไม่ได้คิดจะลบหลู่ แต่พรุ่งนี้ไม่รู้อะไรแน่นอน  แน่นอน

และใครจะรู้เรื่องเธอและฉัน
และใครจะบอกว่าเราต้องรักกัน
หรือว่าต้องจบ

และใครจะรู้เรื่องราว
ใครจะรู้เรื่องเธอและฉัน
และใครจะรู้เรื่องเธอและฉัน",potato
ทิ้งไว้กลางทาง,/music/thailyric/10625,"มันดีแค่ไหนกัน ที่เราได้ร่วมทาง จนถึงวันนี้ก็เนิ่นนาน
มันเป็นเพราะฉันเอง ยังดีไม่มากพอ ทำที่เธอขอไม่ได้เลย

เมื่อเธอจะไปก็เข้าใจ เมื่อเธอเจอใครดีกว่ามากมาย คงไม่ต้องรอ

ทำถูกแล้ว ที่เธอเลือกเขาและทิ้งฉันไว้ตรงกลางทาง
เมื่อตัวเธอ พบคนที่ดี ที่เธอวาดไว้ในหัวใจ
ปล่อยมือฉัน ถูกแล้ว ให้ใจของฉันปวดร้าวแค่ไหน
ยอมฝืนใจให้เธอ เดินจากฉันไป
เมื่อรู้ว่าเธอ มีคนที่พาไปถึงปลายทาง

ความจริงที่ฉันกลัว กลัวการไม่มีเธอ กลัวถึงวันนี้มาเนิ่นนาน
เพียงคำว่ารักเธอ มันคงไม่เพียงพอ ให้รั้งเธอไว้ไม่ได้เลย

เมื่อเธอจะไปก็เข้าใจ เมื่อเธอเจอใครดีกว่ามากมาย คงไม่ต้องรอ

ทำถูกแล้ว ที่เธอเลือกเขาและทิ้งฉันไว้ตรงกลางทาง
เมื่อตัวเธอ พบคนที่ดี ที่เธอวาดไว้ในหัวใจ
ปล่อยมือฉัน ถูกแล้ว ให้ใจของฉันปวดร้าวแค่ไหน
ยอมฝืนใจให้เธอ เดินจากฉันไป
เมื่อรู้ว่าเธอ มีคนที่พาไปถึงปลายทาง

ทำถูกแล้ว ที่เธอเลือกเขาและทิ้งฉันไว้ตรงกลางทาง
เมื่อตัวเธอ พบคนที่ดี ที่เธอวาดไว้ในหัวใจ
ปล่อยมือฉัน ถูกแล้ว ให้ใจของฉันปวดร้าวแค่ไหน
ยอมฝืนใจให้เธอ เดินจากฉันไป
เมื่อรู้ว่าเธอ มีคนที่พาไปถึงปลายทาง",potato
ทุกด้านทุกมุม,/music/thailyric/13278,"หากได้ยินแบบไหน
แล้วเราก็เชื่ออย่างนั้น
ไม่ทันได้ไตร่ตรอง
ตัดสินให้ใครต้องผิด
ไม่ทันได้เจอกับสายตา
โลกนี้คงจะโหดร้าย
คิดแล้วมันไม่มีความหมายอะไร
เปิดใจให้ได้รู้ ถึงมุมที่ไม่เคยเห็น
ของเราจะได้หรือเปล่า
เธอกับฉัน

ภาพสะท้อนทุกครั้งที่เราสบตา
ยังเป็นฉันและเธอไม่เคยเปลี่ยนไป
หยุดความคิดที่เห็นแค่ด้านเดียว
เห็นทุกด้านทุกมุมกันก่อน
จะปักใจ

โลกนี้มันช่างโหดร้าย
คิดแล้วมันไม่มีความหมายอะไร
เปิดใจให้ได้รู้ ถึงมุมที่ไม่เคยเห็น
ของเราจะได้หรือเปล่า
เธอกับฉัน

ภาพสะท้อนทุกครั้งที่เราสบตา
ยังเป็นฉันและเธอไม่เคยเปลี่ยนไป
หยุดความคิดที่เห็นแค่ด้านเดียว
เห็นทุกด้านทุกมุมกันก่อน

ภาพสะท้อนทุกครั้งที่เราสบตา
ยังเป็นฉันและเธอไม่เคยเปลี่ยนไป
หยุดความคิดที่เห็นแค่ด้านเดียว
เห็นทุกด้านทุกมุมกันก่อน
จะปักใจ

จะเลวจะดีมีทุกคน
ปนเปกันไปในหนึ่งคน
ผิดถูกก็ไม่รู้
ก็มีแต่เราที่รู้ตัวเอง
อย่าตัดสิน แค่ได้ยิน ไม่ได้เห็น
เปลี่ยนองศาเปลี่ยนมุมมองกันเถิดหนา
พิจารณา พิจารณา
พิจารณา พิจารณา
พิจารณา

สิ่งที่หวัง
แต่ละคนก็มีทางได้เรียนรู้
ให้กลับไปคิดดูว่าวันเวลาที่ผ่านไปนั้น

ภาพสะท้อนทุกครั้งที่เราสบตา
ยังเป็นฉันและเธอไม่เคยเปลี่ยนไป
หยุดความคิดที่เห็นแค่ด้านเดียว
เห็นทุกด้านทุกมุม
เห็นทุกด้านทุกมุม
ทุกด้านทุกมุม
ทุกด้านทุกมุม

ภาพสะท้อนทุกครั้งที่เราสบตา
ยังเป็นฉันและเธอไม่เคยเปลี่ยนไป
หยุดความคิดที่เห็นแค่ด้านเดียว
เห็นทุกด้านทุกมุมกันก่อน

ภาพสะท้อนทุกครั้งที่เราสบตา
ยังเป็นฉันและเธอไม่เคยเปลี่ยนไป
หยุดความคิดที่เห็นแค่ด้านเดียว
เห็นทุกด้านทุกมุมกันก่อน",potato
เท่าไหร่ไม่จำ,/music/thailyric/14678,"เคยเจ็บเคยเสียใจมาเท่าไร
ฉันลืมไปหมดแล้ว
ไม่เคยคิดโกหกเธอ
ฉันพูดความจริง

กี่คนที่ทำให้ฉันเสียใจ
ฉันลืมไปหมดแล้ว
ฉันเองไม่คิดปิดบัง ปกปิดเธอ

ขอให้เธอจงมั่นใจ
เรื่องราวที่หวั่นไหว
ไม่ต้องกลัวสิ่งใด จากนี้ไป

แค่ฉันลืมตามาพบเธอ
ที่เคยปวดร้าวและมีน้ำตา
เท่าไรก็ไม่จำ ไม่สำคัญ
แค่ฉันลืมตามาพบเธอ
เหมือนแสงส่องทางที่ดูงดงาม
เหมือนเป็นคำถาม
ที่คำตอบก็คือเธอ

คนเดียวที่เป็นดั่งลมหายใจ
ฉันจำแค่คนนี้
ที่ทำให้ฉันสุขใจ ก็คือเธอ

ขอได้โปรดจงมั่นใจ
เรื่องราวที่หวั่นไหว
ไม่ต้องกลัวสิ่งใด จากนี้ไป

แค่ฉันลืมตามาพบเธอ
ที่เคยปวดร้าวและมีน้ำตา
เท่าไรก็ไม่จำ ไม่สำคัญ
แค่ฉันลืมตามาพบเธอ
เหมือนแสงส่องทางที่ดูงดงาม
เหมือนเป็นคำถาม
ที่คำตอบก็คือเธอ

ก็เป็นเพราะฉันเลือกจำเรื่องราวที่ดี
ไม่เคยโทษความรัก
แค่รอใครสักคน (รอใครสักคน)
จนมาได้พบเจอ เธอคนนี้

แค่ฉันลืมตามาพบเธอ
ที่เคยปวดร้าวและมีน้ำตา
เท่าไรก็ไม่จำ ไม่สำคัญ
แค่ฉันลืมตามาพบเธอ
เหมือนแสงส่องทางที่ดูงดงาม
เหมือนเป็นคำถาม
ที่คำตอบก็คือเธอ",potato
เธอทำให้ได้รู้,/music/thailyric/12701,"เธอทำให้ฉันโกรธ
ทำให้ฉันแอบยิ้ม
ทำให้ฉันซึม ทำให้ฉันเหงา
เธอทำให้ฉันร่าเริง
ทำให้ฉันร้อนรน
เธอทำให้ฉันทุกสิ่ง

เธอทำให้ฉันเบื่อ
ทำให้ฉันหัวเราะ
ทำให้ฉันรอ ทำให้สุขใจ
เธอทำให้ฉันร้องไห้
ทำให้ฉันทุกอย่าง

ก็มันยากเกินที่จะ
อธิบายทุกเรื่องราว
แต่วันนี้เธอคือ
ทุกอย่างในใจฉัน

ก็เธอทำให้ได้รู้
รู้ถึงคำว่ารักที่ต่างไป
รู้ รู้ถึงคำว่ารักที่มีความหมาย
เธอทำให้รู้ว่า ฉันยังมีหัวใจ
ก็เธอทำให้ได้รู้
รู้ถึงคำว่ารักที่หลากหลาย
รู้ รู้ว่าคำว่ารักมันไม่ง่ายดาย
ทำให้ฉันเข้าใจ
ว่าหนึ่งคนนี้มันยังคงมีหัวใจ
เธอทำให้ฉันรักเธอ

เธอทำให้ฉันยอม
ยอมไม่มีข้อแม้
ยอมเพราะฉันแคร์
ยอมเพราะเข้าใจ
เธอทำให้ฉันแพ้พ่าย
ตั้งแต่ฉันมีเธอ

ก็มันยากเกินที่จะ
อธิบายทุกเรื่องราว
แต่วันนี้เธอคือ
ทุกอย่างในใจฉัน

ก็เธอทำให้ได้รู้
รู้ถึงคำว่ารักที่ต่างไป
รู้ รู้ถึงคำว่ารักที่มีความหมาย
เธอทำให้รู้ว่า ฉันยังมีหัวใจ
ก็เธอทำให้ได้รู้
รู้ถึงคำว่ารักที่หลากหลาย
รู้ รู้ว่าคำว่ารักมันไม่ง่ายดาย
ทำให้ฉันเข้าใจ
ว่าหนึ่งคนนี้มันยังคงมีหัวใจ
เธอทำให้ฉันรักเธอ

ทำให้รู้ให้เข้าใจ
อาจมีสุขทุกข์ปนกันไป
ทำให้รู้และเข้าใจ
ว่ารักเป็นอย่างนี้

ก็เธอทำให้ได้รู้
รู้ถึงคำว่ารักที่ต่างไป
รู้ รู้ถึงคำว่ารักที่มีความหมาย
เธอทำให้รู้ว่า ฉันยังมีหัวใจ
ก็เธอทำให้ได้รู้
รู้ถึงคำว่ารักที่หลากหลาย
รู้ รู้ว่าคำว่ารักมันไม่ง่ายดาย
ทำให้ฉันเข้าใจ
ว่าหนึ่งคนนี้มันยังคงมีหัวใจ
เธอทำให้ฉันรักเธอ",potato
พอแล้ว,/music/thailyric/17206,"ใจที่ยังทน เธอยังจมกับความปวดร้าว
ยังจำทุกเรื่องราว กับความหลังที่ทรมาน
ยังทำทุกๆ ทาง เพื่อวันดีๆ จะกลับมา
ยังทำเป็นคนบ้า ให้เหมือนว่ายังมีกัน

ให้กลับมาเป็นเหมือนเดิมไม่มีทาง
เธอจะรับความจริงได้ไหม

ยอมรับความจริง สิ่งที่มันไม่เป็นดั่งฝัน
และมันคงถึงวัน ที่เธอนั้นต้องทิ้งมันไป
เรื่องราวซ้ำเติม เธอยังวนยังคงจะเก็บไว้
จะกัดกินหัวใจ ถ้าเธอนั้นไม่ลืมสักที

ให้กลับมาเป็นเหมือนเดิมไม่มีทาง
ต้องยอมรับความจริงให้ไหว

พอแล้ว อย่าเปลืองเลยน้ำตา
ฝืนไป ก็ไม่คืนย้อนมา
เปิดใจ เธอนั้นยังมีค่า
หัวใจ ให้เก็บมันไว้ตรงที่เธอ
เก็บมันเอาไว้ตรงที่เธอ
อย่าเอาไปจมกองน้ำตา

ให้กลับมาเป็นเหมือนเดิมไม่มีทาง
ต้องยอมรับความจริงให้ไหว

พอแล้ว อย่าเปลืองเลยน้ำตา
ฝืนไป ก็ไม่คืนย้อนมา
เปิดใจ เธอนั้นยังมีค่า
หัวใจ ให้เก็บมันไว้ตรงที่เธอ
อย่าเอาไปจมกองน้ำตา
หัวใจ มันก็ยังคงเป็นของเธอ
เก็บมันไว้ เก็บมันไว้ เก็บมันไว้
มันก็ยังคงเป็นของเธอ
เก็บมันไว้ เก็บมันไว้ เก็บมันไว้
อย่าเอาไปจมกองน้ำตา",potato
ไม่เป็นไร (ตอนเย็น),/music/thailyric/17770,"ตั้งแต่เช้าเรื่องที่ต้องเผชิญ
เกินที่ใจนั้นจะกำหนด จะดีจะร้าย
เฝ้าคิดทบทวนเรื่องราวที่ฉันต้องเจอ
เรื่องไหนที่เรายังก้าวไม่ผ่าน
ไม่ว่าจะเป็นอย่างไร
สุดท้ายไม่เป็นดั่งฝันก็ไม่เป็นไร

ในตอนเย็นเห็นถึงความเปลี่ยนผัน
สิ่งใดใดที่ตามไม่ทัน ปล่อยวางสิ่งนั้น
เฝ้าคิดทบทวนเรื่องราวทั้งวันที่เจอ
เรื่องไหนที่เรายังก้าวไม่ผ่าน
ไม่ว่าจะเป็นอย่างไร สุดท้ายไม่เป็นดั่งฝันก็ไม่เป็นไร

จะช้าหรือว่าเร็วแค่ไหน เลวร้ายหรือดีเพียงใด
ก็ต้องเจอสักวัน เมื่อยังหายใจ
ทุกๆ เรื่องที่เราได้เคยก้าวผ่าน
ทุกๆ เรื่องคือความทรงจำ
แม้ต้องเจ็บเพียงใด ไม่เคยลบเลือน

เมื่อมองฟ้า ยังเห็นดวงดาว
เรื่องราวที่ผ่านเข้ามา
แม้ทำให้มีน้ำตา ไม่เป็นไร

วันพรุ่งนี้เมื่อแสงตะวัน
หมุนวนกลับมาที่เก่า
สักวันต้องเป็นของเรา ไม่เป็นไร

ไม่เป็นไร
สักวัน

เมื่อมองฟ้า ยังเห็นดวงดาว
เรื่องราวที่ผ่านเข้ามา
แม้ทำให้มีน้ำตา ไม่เป็นไร

วันพรุ่งนี้เมื่อแสงตะวัน
หมุนวนกลับมาที่เก่า
สักวันต้องเป็นของเรา ไม่เป็นไร

ไม่เป็นไร ไม่เป็นไร
สักวัน",potato
ยังคง,/music/thailyric/16751,"อยากจับมือเธอมาวางไว้ตรงหัวใจ
ในวันที่สองเราจำเป็นต้องห่างไกล
ยังคงคาดหวังในใจเธอยังเป็นคนเดิมใช่ไหม
จากนี้ที่ต้องไกล กลัวเธอไม่เหมือนเดิม

เรื่องของพรุ่งนี้พออยู่ตรงนั้นอาจเปลี่ยนเธอ
ก็ยังไม่กล้าเดากับเวลาที่หมุนไป
ในความเดียวดายต่อจากนาทีที่ขาดเธอ
มีแค่เพียงรูปใบเก่าเก็บไว้แทนใจ

ยังคงหวังว่าความเหงา จะไม่ทำให้เธอหวั่นไหว
ยังคงหวังว่าจะไม่มีใครทำให้เธอลืมคิดถึงกัน
ฉันกลายเป็นคนไกลที่มีแต่เธอเท่านั้น
หากเธอนั้นคิดตรงกัน ให้ใช้หัวใจนำทางเธอกลับมารักกัน

เธออยู่ไกลกัน อาจมีวันที่เหงาใจ
หากบังเอิญเธอพบใคร ที่ยืนเคียงข้างกาย
มีเพียงแค่ความเข้าใจ ไม่ว่ามันจะนานแค่ไหน
โลกนี้หมุนเวียนไป มีใครที่เหมือนเดิม

เรื่องของพรุ่งนี้พออยู่ตรงนั้นอาจเปลี่ยนเธอ
ก็ยังไม่กล้าเดากับเวลาที่หมุนไป
ในความเดียวดายต่อจากนาทีที่ขาดเธอ
มีแค่เพียงรูปใบเก่าเก็บไว้แทนใจ

ยังคงหวังว่าความเหงา จะไม่ทำให้เธอหวั่นไหว
ยังคงหวังว่าจะไม่มีใครทำให้เธอลืมคิดถึงกัน
ฉันกลายเป็นคนไกลที่มีแต่เธอเท่านั้น
หากเธอนั้นคิดตรงกัน ให้ใช้หัวใจนำทางเธอกลับมารัก

เรื่องของพรุ่งนี้พออยู่ตรงนั้นอาจเปลี่ยนเธอ
ก็ยังไม่กล้าเดากับเวลาที่หมุนไป
ในความเดียวดายต่อจากนาทีที่ขาดเธอ
มีแค่เพียงรูปใบเก่าเก็บไว้แทนใจ

ยังคงหวังว่าความเหงา จะไม่ทำให้เธอหวั่นไหว
ยังคงหวังว่าจะไม่มีใครทำให้เธอลืมคิดถึงกัน
ฉันกลายเป็นคนไกลที่มีแต่เธอเท่านั้น
หากเธอนั้นคิดตรงกัน ให้ใช้หัวใจนำทางเธอกลับมารักกัน",potato
รอย,/music/thailyric/10832,"รอยแผล เก็บมันลึกข้างในจิตใจ
เนิ่นนานเท่าไรที่ฉันร้องไห้อย่างนี้
รอยยิ้ม แต่ละวันมันรู้สึกดี
แต่มันจะมีใครรู้ฉันเป็นอย่างไร
ปิดบังความจริงเอาไว้ในใจ

อยากจะโยนทิ้งตัวลงนอนเพื่อลืมมันไป
ปล่อยให้หมอนซึมซับน้ำตาที่มีจนแห้งเหือดไป
ให้ราตรีมืดมนกลบกลืนรอยความเสียใจ
ให้พรุ่งนี้ฉันลืมตามาได้พบกับใคร
สักคน คนที่เข้าใจ จริงๆ

รอยร้าวยังบาดลึกไม่เคยจางไป
ต้องร้องไห้อีกสักแค่ไหนจะพอสักที

อยากลืม อยากลบ อยากล้างมันไป
ปิดประตูขังตัวเองไว้จากสายตาใครๆ

อยากจะโยนทิ้งตัวลงนอนเพื่อลืมมันไป
ปล่อยให้หมอนซึมซับน้ำตาที่มีจนแห้งเหือดไป
ให้ราตรีมืดมนกลบกลืนรอยความเสียใจ
ให้พรุ่งนี้ฉันลืมตามาได้พบกับใคร

ปิดบังความจริงเอาไว้ในใจ
อยากลืม อยากลบ อยากล้างมันไป
ปิดบังความจริงเอาไว้ในใจ
ปิดประตูขังตัวเองไว้จากสายตาใครๆ

อยากจะโยนทิ้งตัวลงนอนเพื่อลืมมันไป
ปล่อยให้หมอนซึมซับน้ำตาที่มีจนแห้งเหือดไป
ให้ราตรีมืดมนกลบกลืนรอยความเสียใจ
ให้พรุ่งนี้ฉันลืมตามาได้พบกับใคร
สักคน คนที่เข้าใจ จริงๆ",potato
