song_name,href,lyric,artist
ขอบใจนะ,/music/thailyric/4336,"ข้อความที่เธอเคยส่ง อะไรที่ทำให้ฉัน
แสดงถึงความเป็นห่วงและสนใจ
เพิ่งรู้ว่ามันลำบาก ไม่เป็นตัวเธอใช่ไหม
เหนื่อยไหม ต้องทำอะไรอย่างนี้

อย่ายื้อให้เหนื่อยใจ หากเธอไม่เป็นตัวเอง
อย่าฝืนทำต่อไปอีกเลย เพื่อให้เรารักกัน

ขอบใจนะที่ครั้งนึงเธอเคยยอมฝืนใจตัวเอง
ขอบใจนะฉันรู้ว่าเธอทำดีที่สุดแล้ว
อย่างน้อยครั้งหนึ่ง ที่พยายามทุ่มเท
อดทนให้กัน แค่นั้นก็ดีมากมาย

อย่าโทษว่าตัวเธอผิด อย่าคิดว่าเป็นเรื่องร้าย
อย่ากลัวถ้าเธอจะปล่อยมือฉันไป
กลับไปเป็นเธอคนเก่า เก็บความทรงจำนี้ไว้
ได้ไหมฉันขอให้เป็นอย่างนั้น

อย่ายื้อให้เหนื่อยใจ หากเธอไม่เป็นตัวเอง
อย่าฝืนทำต่อไปอีกเลย เพื่อให้เรารักกัน

ขอบใจนะที่ครั้งนึงเธอเคยยอมฝืนใจตัวเอง
ขอบใจนะฉันรู้ว่าเธอทำดีที่สุดแล้ว
อย่างน้อยครั้งหนึ่ง ที่พยายามทุ่มเท
อดทนให้กัน แค่นั้นก็ดีมากมาย

ขอบใจนะที่ครั้งนึงเธอเคยยอมฝืนใจตัวเอง
ขอบใจนะฉันรู้ว่าเธอทำดีที่สุดแล้ว
อย่างน้อยครั้งหนึ่ง ที่พยายามทุ่มเท
อดทนให้กัน แค่นั้นก็ดีมากมาย",praw_kanitkul
ลืม,/music/thailyric/4344,"สิ่งที่ใจฉันได้สัมผัส เมื่อเวลาที่เราใกล้กัน
คืนวันเปลี่ยนไป ใจเธอเปลี่ยนผัน
แต่ว่าเธอก็ยังทนอยู่ แต่ว่าเธอไม่กล้าจากไป
คงลำบากใจที่จะบอกฉัน

คำที่เคยผูกพันเหมือนสัญญา
จะมีค่าอะไรถ้าไม่รักกัน
หากว่าเธอไม่เหลือใจ เหตุใดทนทรมาน
อาจเป็นเพียงคำสั้นสั้นอย่างเช่นเธอ

ลืม เธอลืมหมดแล้ว
ลืมว่าเราเคยรักกัน
บอกเถอะฉันรู้ว่าเธอ

ลืม ลืมคนที่เคยจริงใจ
และคอยห่วงใยเธอทุกอย่าง
หากไม่รักก็พูดมาให้เข้าใจ

หากความรักไม่ใช่คำตอบ
หากความดีไม่มีความหมาย
เธอควรบอกไป เปิดใจกับฉัน
จะวันนี้หรือว่าเมื่อไหร่
จะอย่างไรก็ต้องจบกัน
เหตุและผลแค่เพียงสั้นๆ
ช่วยทำให้ฉันเข้าใจที่เธอ

ลืม เธอลืมหมดแล้ว
ลืมว่าเราเคยรักกัน
บอกเถอะฉันรู้ว่าเธอ

ลืม ลืมคนที่เคยจริงใจ
และคอยห่วงใยเธอทุกอย่าง
หากไม่รักก็พูดมาให้เข้าใจ

ลืม เธอลืมหมดแล้ว
ลืมว่าเราเคยรักกัน
บอกเถอะฉันรู้ว่าเธอ

ได้ลืม ลืมคนที่เคยจริงใจ
และคอยห่วงใยเธอทุกอย่าง
หากไม่รักก็พูดมา แค่พูดจาให้เข้าใจ
ว่าความจริงเป็นเช่นไร ช่วยบอกที",praw_kanitkul
ไกล,/music/thailyric/4335,"มีกระเป๋าสองใบ ที่ใส่ข้าวของหัวใจ
พาใจที่เหนื่อยล้าไปให้ไกล จากคนเคยรักกัน

ฉันจึงเดินทางข้ามผ่านอดีต ข้ามผ่านความทรงจำเก่าๆ
ที่ฉันต้องเดินทางเนิ่นนานเพื่อค้นหาปลายทาง ที่ไม่พบเธอ
แต่เหมือนว่าเดินผ่านยิ่งนานเท่าไร เส้นทางมันไกลออกไปทุกที
ฉันต้องเดินทางอีกไกลแค่ไหน ถึงจะลืมเรื่องราวของเรา

ไม่รู้ว่าแล้วไกลไหม ต้องเดินทางอีกนานไหม
ถึงจะลืมเรื่องราวของเธอ
แค่หนีก็ยิ่งต้องเจอ ภาพเธอเป็นเหมือนดังเงา
ติดตามเรื่อยไป ไม่รู้ว่านานไหมถึงจะลืม ลืมเธอสักที

หวังจะมีรักใหม่ หวังจะลืมรักของเธอ
หวังไว้ว่าใจที่มันอ่อนล้าไปทั้งใจจะกลับมาเหมือนเดิม

ฉันจึงเดินทางข้ามผ่านอดีต ข้ามผ่านความทรงจำเก่าๆ
ที่ฉันต้องเดินทางเนิ่นนานเพื่อค้นหาปลายทาง ที่ไม่พบเธอ
แต่เหมือนว่าเดินผ่านยิ่งนานเท่าไร เส้นทางมันไกลออกไปทุกที
ฉันต้องเดินทางอีกไกลแค่ไหน ถึงจะลืมเรื่องราวของเรา

ไม่รู้ว่าแล้วไกลไหม ต้องเดินทางอีกนานไหม
ถึงจะลืมเรื่องราวของเธอ
แค่หนีก็ยิ่งต้องเจอ ภาพเธอเป็นเหมือนดังเงา
ติดตามเรื่อยไป ไม่รู้ว่านานไหมถึงจะลืม ลืมเธอสักที",praw_kanitkul
ด้วยรักจากเธอ,/music/thailyric/4337,"ฉันไม่มีคำใดที่จะพูดแทนความในใจ
กับทุกเรื่องราวที่เธอทำให้ฉัน
มากมายแค่ไหน ที่เธอทุ่มเทรักให้กัน
กับฉันมันมีความหมายเกินสิ่งใด

เพราะมีเธอคนดีที่ให้รักเป็นกำลังใจ
แม้ในวันและคืนที่ปวดร้าว
ผ่านความมืดมิดที่เจอ  เพราะใจเรามีเรา
และฉันไม่มีวันลืมเรื่องเหล่านั้น

รู้ไหมว่าฉันนั้นมีความสุข
เมื่อมีเธอรักและเคียงข้างกัน
รู้ไหมว่าฉันจะไม่ไหวหวั่น
หากมีเธอนั้นที่คอยห่วงใย

ไม่ว่าจะนานเท่าไร ฉันรักเธอ
จะมีแต่เธอ แต่เธอทั้งหัวใจ
ให้ความรักผูกพัน ให้ใจติดกันแม้ห่างไกล
ให้รู้ว่าฉันอยู่เพื่อรักเธอ

เพราะมีเธอคนดีที่ให้รักเป็นกำลังใจ
แม้ในวันและคืนที่ปวดร้าว
ผ่านความมืดมิดที่เจอ  เพราะใจเรามีเรา
และฉันไม่มีวันลืมเรื่องเหล่านั้น

รู้ไหมว่าฉันนั้นมีความสุข
เมื่อมีเธอรักและเคียงข้างกัน
รู้ไหมว่าฉันจะไม่ไหวหวั่น
หากมีเธอนั้นที่คอยห่วงใย

ไม่ว่าจะนานเท่าไร ฉันรักเธอ
จะมีแต่เธอ แต่เธอทั้งหัวใจ
ให้ความรักผูกพัน ให้ใจติดกันแม้ห่างไกล
ให้รู้ว่าฉันอยู่เพื่อรักเธอ",praw_kanitkul
ที่คั่นหนังสือ,/music/thailyric/4339,"เจ้าที่คั่นหนังสือ ที่ฉันนั้นเคยใช้
คอยคั่นเวลาจากเรื่องราวที่น่าเบื่อ
เมื่อฉันมองกลับไป เรื่องราวที่ผ่านมา
ก็ไม่ได้ต่างจากฉัน

เมื่อฉันก็เป็นเพียงแค่ ที่คั่นหนังสือ
เมื่อเธอต้องการพักผ่อน ไม่มีความสำคัญ

เธอไม่เคยมีใจให้ฉันสักเท่าไหร่ เบื่อเธอก็หยิบฉันขึ้นมา
คั่นเวลาให้เธอได้พักสายตา จากคนที่เธอผิดหวัง

เมื่อเธอเริ่มมีแรงจะยืนลุกขึ้นใหม่ อ่านบันทึกต่อไปเล่มเดิม
คงต้องรอเวลาที่เธอล้าเหลือเกิน อีกครั้งเธอจึงหยิบฉันขึ้นมา

ในวันที่เธอท้อ เขาทำให้เธอล้า เธอก็คงมองมาที่ฉันแค่ช่วงหนึ่ง
เมื่อเธอจะกลับไป ทิ้งฉันแล้วจากไป ฉันก็คงหมดความหมาย

เมื่อฉันก็เป็นเพียงแค่ ที่คั่นหนังสือ
เมื่อเธอต้องการพักผ่อน ไม่มีความสำคัญ

เธอไม่เคยมีใจให้ฉันสักเท่าไหร่ เบื่อเธอก็หยิบฉันขึ้นมา
คั่นเวลาให้เธอได้พักสายตา จากคนที่เธอผิดหวัง

เมื่อเธอเริ่มมีแรงจะยืนลุกขึ้นใหม่ อ่านบันทึกต่อไปเล่มเดิม
คงต้องรอเวลาที่เธอล้าเหลือเกิน อีกครั้งเธอจึงหยิบฉันขึ้นมา

เมื่อฉันก็เป็นเพียงแค่ ที่คั่นหนังสือ
เมื่อเธอต้องการพักผ่อน ไม่มีความสำคัญ

เธอไม่เคยมีใจให้ฉันสักเท่าไหร่ เบื่อเธอก็หยิบฉันขึ้นมา
คั่นเวลาให้เธอได้พักสายตา จากคนที่เธอผิดหวัง

เมื่อเธอเริ่มมีแรงจะยืนลุกขึ้นใหม่ อ่านบันทึกต่อไปเล่มเดิม
คงต้องรอเวลาที่เธอล้าเหลือเกิน อีกครั้งเธอจึงหยิบฉันขึ้นมา",praw_kanitkul
บอกอีกที,/music/thailyric/4341,"ในคืนที่มีลมพัดแรง ฉันนั่งข้างเธอใต้แสงจันทร์
มันทำให้ฉันอุ่นเหลือเกิน
เธอค่อยๆ เถิบมาใกล้กัน มันทำให้ใจของฉันนั้นสั่น
แล้วกระซิบกันข้างๆหู

ในคำที่ฉันนั้นได้ฟัง มันทำให้ฉันไม่แน่ใจ  นะเธอ

แค่เพียงบอกฉันเบาๆได้ไหมว่าฉันไม่ได้ฝันไป
บอกอีกทีให้ฉันแน่ใจในสิ่งที่ฉันได้ยิน
แค่อยากเธอช่วยยืนยันคำที่พูดมานั้นจริง
คำที่เธอบอกว่ารักกัน

ไม่เคยรู้สึกอย่างนี้เลย  ไม่รู้จะเอ่ยคำพูดใดๆ
ได้แค่มองตาก็เท่านั้น
ไม่เคยรู้จักความรักเลย  จนเธอมาเอ่ยมันให้ฉันได้ยิน
เธอกระซิบกันข้างๆหู

ในคำที่ฉันนั้นได้ฟัง มันทำให้ฉันไม่แน่ใจ  นะเธอ

แค่เพียงบอกฉันเบาๆได้ไหมว่าฉันไม่ได้ฝันไป
บอกอีกทีให้ฉันแน่ใจในสิ่งที่ฉันได้ยิน
แค่อยากเธอช่วยยืนยันคำที่พูดมานั้นจริง
คำที่เธอบอกว่ารักกัน",praw_kanitkul
ฟ้ากับจันทร์ฉันและเธอ,/music/thailyric/4343,"ก็ฉันกลัว
กลัวว่าบางทีฟ้ากว้างใหญ่ไป
ก็ฉันกลัว
กลัวว่าฟ้าเก็บดาวไว้มากมาย
มาอยู่กับดวงจันทร์
รวมอยู่ในฟ้าเดียว
และคงทำจันทร์ใจน้อย
เหลือเพียงครึ่งเดียว

มองดูฟ้าและจันทร์คู่กัน
แอบคิดถ้าเรารักกัน
อย่างฟ้าและจันทร์ได้มั้ย
และเธอเปรียบเหมือน
ท้องฟ้ากว้างใหญ่
มีฉันเป็นจันทร์คู่ใจ
ส่องแสงสว่างให้ฟ้าสดใส

แต่พอนานๆ  ไม่เจอกัน
อย่างคืนที่ฟ้าไม่มีจันทร์
เราไกลกันฉันใจหาย
กลัวว่าฟ้า  จะไม่รักกันอย่างเคย

ก็ฉันกลัว
กลัวว่าบางทีฟ้ากว้างใหญ่ไป
ก็ฉันกลัว
กลัวว่าฟ้าเก็บดาวไว้มากมาย
มาอยู่กับดวงจันทร์
รวมอยู่ในฟ้าเดียว
และคงทำจันทร์ใจน้อย
เหลือเพียงครึ่งเดียว

เมฆหมอกบดบัง
เมื่อตอนฉันเหม่อ
เมื่อครั้งที่ยังละเมอ
ว่าฟ้าและจันทร์นั้นคู่กัน
ฟ้าเปิดหมอกขาวก็เริ่มหายไป
มองฟ้าก็เริ่มถอนใจ
ว่าฟ้านั้นยังมีดาวอีกเป็นล้าน

แต่พอนานๆ  ไม่เจอกัน
อย่างคืนที่ฟ้าไม่มีจันทร์
เราไกลกันฉันใจหาย
กลัวว่าฟ้า  จะไม่รักกันอย่างเคย

ก็ฉันกลัว
กลัวว่าบางทีฟ้ากว้างใหญ่ไป
ก็ฉันกลัว
กลัวว่าฟ้าเก็บดาวไว้มากมาย
มาอยู่กับดวงจันทร์
รวมอยู่ในฟ้าเดียว
และคงทำจันทร์ใจน้อย
เหลือเพียงครึ่งเดียว",praw_kanitkul
แน่ใจ,/music/thailyric/4340,"เธอคือคนที่ฉันรอ หรือคบฉันเพื่อรอใคร
กับฉันเธอนั้นจริงใจหรือไม่จริงจัง
เธอคือทางที่ให้ไป หรือยิ่งเดินยิ่งหลงทาง
คือความจริงหรือเป็นแค่ฝันไป

จะเป็นคนที่ฟ้า นั้นให้มา
หรือแค่ภาพลวงตา ไม่เป็นจริง
ที่ฟ้าให้เจอกัน หรือฉันคิดไปเองก็ช่างมัน

ที่แน่ใจวันนี้ ฉันรักเธอ
และมากขึ้นเสมอทุกๆ วัน
ฉันพร้อมยอมทำใจ
สุดท้ายเป็นยังไง คงได้รู้กัน

เพราะรักทำให้ยิ้มได้ ก็ทำให้มีน้ำตา
เตรียมใจจะรับมา ทั้งหัวใจ

จะเป็นคนที่ฟ้า นั้นให้มา
หรือแค่ภาพลวงตา ไม่เป็นจริง
ที่ฟ้าให้เจอกัน หรือฉันคิดไปเองก็ช่างมัน

ที่แน่ใจวันนี้ ฉันรักเธอ
และมากขึ้นเสมอทุกๆ วัน
ฉันพร้อมยอมทำใจ
สุดท้ายเป็นยังไง คงได้รู้กัน

จะเป็นคนที่ฟ้า นั้นให้มา
หรือแค่ภาพลวงตา ไม่เป็นจริง
ที่ฟ้าให้เจอกัน หรือฉันคิดไปเองก็ช่างมัน

ที่แน่ใจวันนี้ ฉันรักเธอ
และมากขึ้นเสมอทุกๆ วัน
ฉันพร้อมยอมทำใจ
สุดท้ายเป็นยังไง คงได้รู้กัน

ถึงแม้เป็นยังไง
อย่างน้อยเราก็เคย เคยได้รักกัน",praw_kanitkul
เพิ่งจะรู้,/music/thailyric/4342,"ก็ปากมันดี แกล้งทำเป็นเข้มแข็ง
ก็แกล้งทำเป็นพูดแรง ขอแยกทาง
ฉันขอพักใจเอาไว้ชั่วคราว เลยเก็บกระเป๋า
ขอไปให้ไกลห่าง ไม่เคยยอมรับอะไร

เมื่อใจมันเซ ทะเลคือจุดหมาย
ได้ออกไปเจอคลื่นลม คงหายดี

แล้วฉันก็เจอก็พบความจริง
ทะเลมันย้ำ ซ้ำเติมใจทุกที
ก็เป็นอย่างนี้ เมื่อไม่มีเธอ

ก็เพิ่งจะรู้จริงๆ ว่าขาดเธอแล้วเป็นไง
ฟ้าสวยๆ ลมเย็นๆ ก็เหงาปางตาย
แล้วค่ำๆ ฉันจะทนได้ไหม

ก็เพิ่งจะรู้จริงๆ ว่าขาดเธอไปไม่ได้
ฉันคิดถึง ฉันคิดถึงให้ทำยังไง
ฉันคิดถึง ฉันคิดถึงจริงๆ เข้าใจบ้างไหม

มองไปทางไหน เห็นใครมีคนรัก
ก็คนมันเหงา เห็นแล้วก็เศร้าใจ

ฉันคิดถึงเพียงอ้อมแขนของเธอ
ยังคอยยังเพ้อ รอเธอให้อภัย
จะโกรธแค่ไหน ก็ลืมหมดแล้ว

ก็เพิ่งจะรู้จริงๆ ว่าขาดเธอแล้วเป็นไง
ฟ้าสวยๆ ลมเย็นๆ ก็เหงาปางตาย
แล้วค่ำๆ ฉันจะทนได้ไหม

ก็เพิ่งจะรู้จริงๆ ว่าขาดเธอไปไม่ได้
ฉันคิดถึง ฉันคิดถึงให้ทำยังไง
ฉันคิดถึง ฉันคิดถึงจริงๆ เข้าใจบ้างไหม

แล้วฉันก็เจอก็พบความจริง
ทะเลมันย้ำ ซ้ำเติมใจทุกที
ก็เป็นอย่างนี้ เมื่อไม่มีเธอ

ก็เพิ่งจะรู้จริงๆ ว่าขาดเธอแล้วเป็นไง
ฟ้าสวยๆ ลมเย็นๆ ก็เหงาปางตาย
แล้วค่ำๆ ฉันจะทนได้ไหม

ก็เพิ่งจะรู้จริงๆ ว่าขาดเธอไปไม่ได้
ฉันคิดถึง ฉันคิดถึงให้ทำยังไง
ฉันคิดถึง ฉันคิดถึงจริงๆ เข้าใจบ้างไหม",praw_kanitkul
คิดถึงนะ,/music/thailyric/8561,"เหม่อมองท้องฟ้า ก็เห็นเมฆลอย คล้อยไป
ใบไม้พริ้วไหว เมื่อลมพัดแผ่วเบา ก็เหงาตาม
กลิ่นไอสายฝน ละอองพร่างพรม ชุ่มฉํ่า
เธออยู่ที่ไหน จิตใจเผลอคิดตาม คิดถึงเธอ

ฝนก็เทหัวใจ ก็เซ เหว่หว้านะเออ
ฟ้าฝนแกล้งกันอย่างนี้เสมอ รังแกคนเหงาทำไม

เมื่อความคิดถึง มาพร้อมกับฝน
ห่วงหาใครบางคน เมื่อฝนเป็นสาย
ไม่รู้เลยว่าเธอ ติดฝนอยู่ไหน
จะเปียกฝนหรือเปล่า กังวลอยู่นะ

ฝากความคิดถึง กลับไปกับฝน
ส่งถึงใครบางคน ให้เธอได้รู้ว่า
ให้เธอรีบกลับมา อย่าลืมว่ามีคนห่วงใย

เกลียดกลัวฟ้าร้อง ยิ่งตอนที่ไม่มีเธออยู่
ปิดตาป้องหู ไม่รู้ต้องซบใครเมื่อไร้เธอ

ฝนก็เทหัวใจ ก็เซ เหว่หว้านะเออ
ฟ้าฝนแกล้งกันอย่างนี้เสมอ รังแกคนเหงาทำไม

เมื่อความคิดถึง มาพร้อมกับฝน
ห่วงหาใครบางคน เมื่อฝนเป็นสาย
ไม่รู้เลยว่าเธอ ติดฝนอยู่ไหน
จะเปียกฝนหรือเปล่า กังวลอยู่นะ

ฝากความคิดถึง กลับไปกับฝน
ส่งถึงใครบางคน ให้เธอได้รู้ว่า
ให้เธอรีบกลับมา อย่าลืมว่ามีคนห่วงใย

ฝนก็เทหัวใจ ก็เซ เหว่หว้านะเออ
ฟ้าฝนแกล้งกันอย่างนี้เสมอ รังแกคนเหงาทำไม

เมื่อความคิดถึง มาพร้อมกับฝน
ห่วงหาใครบางคน เมื่อฝนเป็นสาย
ไม่รู้เลยว่าเธอ ติดฝนอยู่ไหน
จะเปียกฝนหรือเปล่า กังวลอยู่นะ

ฝากความคิดถึง กลับไปกับฝน
ส่งถึงใครบางคน ให้เธอได้รู้ว่า
ให้เธอรีบกลับมา อย่าลืมว่ามีคนห่วงใย",praw_kanitkul
