song_name,href,lyric,artist
นครลิง,/music/thailyric/15246,"ในนครของลิงเผือก
ยิ้มของลิงนั้นแห้งเหือด
ลิงเผือกกำลังเลือกนาย
ผู้นำลิงตัวก่อนเก่า
กองทัพลิงเข้าขับไล่
เก่งกาจ ฉลาดเกินทน

ชนชาวลิงมีเหลืองแดง
แถมมีลิงสีน้ำเงิน พัลวนสับสนวุ่นวาย
ต่างลิงต่างก็ต่างสี เข้าต่อยตีกันให้ตาย
น่าอับอายพี่น้องนครลิง

ชนชาวลิงไปไม่ถูก
ยืน งง งง แล้วเกาตูด
มืดมนไปหนทางไหน
ถูกบังคับให้เลือกสี
เลือกไม่ดีอาจถึงตาย
น่าอับอายพี่น้องสมองลิง

ออกไป ออกไป ออกไป ใครเข้ามาก็ไล่ออกไป
ลิงโน้นเข้ามา ลิงนี้ก็ไล่ ลิงนี้เข้ามา ลิงโน้นก็ไล่
สีซอให้ลิงได้ฟัง ควายเท่านั้นที่ฟังเข้าใจ
เพราะลิงไม่เคยสนใจ โง่กับเขลา แย่งแผ่นดิน

ชนชาวลิงไปไม่ถูก
ยืน งง งง แล้วเกาตูด
มืดมนไปหนทางไหน
ก็ถูกบังคับให้เลือกสี
เลือกไม่ดีอาจถึงตาย
น่าอับอายพี่น้องนครลิง
น่าอับอายพี่น้องสมองลิง

ชนชาวลิงทรมาน
แถมเพื่อนบ้านสันดานลิง
ทิ่มๆ แทงๆ ให้วุ่นวาย
รอให้รุ่งถึงพรุ่งนี้
เข้าต่อยตีกันให้ตาย

จะเหลือแผ่นดินสุดท้ายไหมหนอลิง
จะเหลือแผ่นดินสุดท้ายไหมหนอลิง
จะมีแผ่นดินสุดท้ายไหมหนอลิง
จะมีแผ่นดินสุดท้ายไหมหนอลิง",pu_pongsit
เพาะรัก,/music/thailyric/16376,"ไม่เคยมีใครสนใจ จะมองดูใครก็เมิน
หลายคนเดินหมุนวนเวียนผ่านไป
อยู่ๆ เจอเธอคนดี เธอคนที่มีน้ำใจ
มาปลูกต้นรักไว้ให้ดูแล

วันแล้ววัน ฉันเฝ้าป้องกันแมลง
ผสานตะแกรงกั้นลมห่มมันไว้
รอแล้วรอ วาดฝันว่ามันโตใหญ่
ให้ร่มรักดั่งฝัน

ต้นรักอ่อนๆ กับแดดลมฟ้า
จะเคลื่อนผ่านกาลเวลา
แตกกิ่งมาใบงามเท่าไร
ถ้าหากไม้ที่ปลูก ขาดน้ำความรักเติมไว้
ไม้รักคงไร้ดอกใบ ที่เอาไว้ให้ความงดงาม

ก็เธอคนนี้ใช่ไหม ที่ให้ต้นไม้แห่งรัก
ให้ฉันรู้จักเห็นโลกด้านสดใส
เธอปลูกแล้วไยไม่ดู ไม่อยู่รอไม้โตใหญ่
เมื่อเธอหนีหาย ต้นรักเลยอ่อนแอ

วันและคืน ฉันเฝ้าพรวนพื้นดินกลับ
วางหินประดับรับชมดมดอกไม้
ฤดูจะเปลี่ยน ฝนลมจะร้างปานใด
ก็คงไม่หยุดยั้ง

ต้นรักอ่อนๆ กับแดดลมฟ้า
จะเคลื่อนผ่านกาลเวลา
แตกกิ่งมาใบงามเท่าไร
ถ้าหากไม้ที่ปลูก ขาดน้ำความรักเติมไว้
ไม้รักคงไร้ดอกใบ ที่เอาไว้ให้ความงดงาม",pu_pongsit
โยโกฮาม่า,/music/thailyric/16437,"จดหมายตีตรา จ่าหน้าว่ามาจากแดนไกล
ประเทศญี่ปุ่นแดนซามูไร
เปิดอ่านแล้วใจพี่ร่วงลงดิน
ข้อความเนื้อใน แทบทำร้ายพี่ให้แดดิ้น
โฉมงามแม่ยอดยุพิน
ชีวิตดับดิ้นที่เมืองโยโก

จำได้วันลาเจ้าบอกว่าจะอดใจ
เก็บออมแล้วใช้ที่ควรใช้
ขายบริการอยู่นานหลายปี
ส่งเงินกลับมา แม่พ่อชาวนากลายเป็นเศรษฐี
จากนาผืนน้อยผืนนี้ ช่วยชุบชีวีหลายสิบที่บ้าน

แต่ตัวนางอยู่ยิ่งนานยิ่งท้อถอย
กินนอนอยู่ในห้องน้อย
ความเหงาหงอยมาเยี่ยมทุกวัน
ทอดร่างเป็นหุ่น ให้ชายยุ่นกลัดมัน
ปล่อยตัณหาสารพัน
วิปริตวิตถารทุกวันทุกวี่

จึงหันหายา ติดสุรากับเพื่อนคนไทย
แมงดาหนุ่มผู้บินไกล
มาพาเจ้าไปเข้าบ่อนทุกที่
หมดเนื้อหมดตัว แม่ทูนหัวโดนชิ่งหนี
เหยียบใจเจ้าแบนบี้
ดำดิ่งหลายลี้เกินใครฉุดทัน

แต่ตัวนางอยู่ยิ่งนานยิ่งท้อถอย
กินนอนอยู่ในห้องน้อย
ความเหงาหงอยมาเยี่ยมทุกวัน
ทอดร่างเป็นหุ่น ให้ชายยุ่นกลัดมัน
ปล่อยตัณหาสารพัน
วิปริตวิตถารทุกวันทุกวี่

จึงหันหายา ติดสุรากับเพื่อนคนไทย
แมงดาหนุ่มผู้บินไกล
มาพาเจ้าไปเข้าบ่อนทุกที่
หมดเนื้อหมดตัว แม่ทูนหัวโดนชิ่งหนี
เหยียบใจเจ้าแบนบี้
ดำดิ่งหลายลี้เกินใครฉุดทัน

เช้าสายบ่ายมา ไม่เห็นหน้าแม่สาวน้อย
เพื่อนเปิดห้องผงะถอย
ศพเจ้าลอยแขวนคอกับคาน
ร่างส่งกลับมา ห่อเป็นผ้ากระดูกวิญญาณ
ได้กลับมาอยู่บ้าน ที่น้องนางเจ้าสร้างรอ",pu_pongsit
ฝันและหวัง,/music/thailyric/15606,"คนเรามีความฝัน
ฝันแปรเปลี่ยนเป็นหวัง
หวังแล้วสร้างพลัง
เอาความฝันให้อยู่

สู้อดทนอดกลั้น
รอคอยด้วยความหวัง
เราต่างรวมพลัง
เดินด้วยกันตลอดมา

เธอคือดวงวิญญาณ
อยู่ในร่างของฉัน
เรามีกันและกัน
อยู่ด้วยกันเสมอ

ไม่มีวันเปลี่ยวเหงา
มีฉันต้องมีเธอ
จับมือกันเพื่อเจอ
วันที่เรามีชัย

วันนี้เรามาถึง
ถึงวันที่เราฝัน
ถึงวันที่เราหวัง
เอาความฝันจนอยู่

เธอคือดวงวิญญาณ
อยู่ในร่างของฉัน
เรามีกันและกัน
อยู่ด้วยกันเสมอ

ไม่มีวันเปลี่ยวเหงา
มีฉันต้องมีเธอ
จับมือกันเพื่อเจอ
วันที่เรามีชัย

เธอคือดวงวิญญาณ
อยู่ในร่างของฉัน
เรามีกันและกัน
อยู่ด้วยกันเสมอ

ไม่มีวันเปลี่ยวเหงา
มีฉันต้องมีเธอ
จับมือกันเพื่อเจอ
วันที่เรามีชัย

เธอคือดวงวิญญาณ
อยู่ในร่างของฉัน
เรามีกันและกัน
อยู่ด้วยกันเสมอ

ไม่มีวันเปลี่ยวเหงา
มีฉันต้องมีเธอ
จับมือกันเพื่อเจอ
วันที่เรามีชัย",pu_pongsit
สำนึก,/music/thailyric/15120,"เคยสงสัยบ้างไหม ว่าทำไมประเทศไทย
ไปไม่ถึงไหน ทั้งที่เรามีพร้อมมากมาย
ปากรักชาติขาดดิ้น แต่โกงกินกันเพลิดเพลิน
หลับตาทำเป็นเขิน เฉยชาทำบ้าใบ้

โกงกินกันนิดหน่อยเป็นไร
โกงจนชินจนด้านจนดื้อ
ส่ายหน้าทำเป็นไทยไม่ถือ
เรื่องเล็กน้อยปล่อยไป

ไม่เอาไม่โกง ขี้โกงไล่ไป
โกงเล็กโกงใหญ่ ไม่เอาบัดสี
สำนึกไม่โกง ต้องทำเดี๋ยวนี้
แผ่นดินอยู่รอดปลอดภัย

ไม่เอาไม่โกง ขี้โกงไล่ไป
โกงเล็กโกงใหญ่ ไม่เอาบัดสี
สำนึกไม่โกง ต้องทำเดี๋ยวนี้
แผ่นดินอยู่รอดปลอดภัย

หยุดทำท่าเพิกเฉย ปล่อยให้ไทยโกงไทย
ยิ่งนานจะเสียใจ เพราะเราจะถอยไปไกลกว่านี้

โกงกินกันนิดหน่อยเป็นไร
โกงจนชินจนด้านจนดื้อ
ส่ายหน้าทำเป็นไทยไม่ถือ
เรื่องเล็กน้อยปล่อยไป

ไม่เอาไม่โกง ขี้โกงไล่ไป
โกงเล็กโกงใหญ่ ไม่เอาบัดสี
สำนึกไม่โกง ต้องทำเดี๋ยวนี้
แผ่นดินอยู่รอดปลอดภัย

ไม่เอาไม่โกง ขี้โกงไล่ไป
โกงเล็กโกงใหญ่ ไม่เอาบัดสี
สำนึกไม่โกง ต้องทำเดี๋ยวนี้
แผ่นดินอยู่รอดปลอดภัย

ไม่เอาไม่โกง ไม่เอาไม่โกง บัดสี
สำนึกไม่โกง ต้องทำเดี๋ยวนี้
แผ่นดิน ปลอดภัย
โอว โอว โอว เอาไม่โกง
ไม่เอาไม่โกง ไม่โกง โอว",pu_pongsit
เหลือเกิน,/music/thailyric/15078,"ฉันยังเหมือนเดิม
คิดถึงเธอเหลือเกิน
หัวใจดวงนี้ มีรักให้เธอ
มากมายเหลือเกิน
น้ำตาแห้งลง ใจร้าวระบม
ความทุกข์ทับถม
ในความอดทน
กล้ำกลืนฝืนทน

โถความรักเอย
พลัดพรากจากเลย
ไยเจ้าเพิกเฉย
ปล่อยรักที่เคย
จากฉัน ไปเลย

โอ้ใจเอ๋ย ไม่หวนเลย
สิ่งที่เคย ไม่หวนกลับ
โอ้ดวงใจ ลาลับไป
อยู่ที่ใด ไม่หวนกลับ

โถความรักเอย
พลัดพรากจากเลย
ไยเจ้าเพิกเฉย
ปล่อยรักที่เคย
จากฉัน ไปเลย

ฉันยังเหมือนเดิม
คิดถึงเธอเหลือเกิน
หัวใจดวงนี้ มีรักให้เธอ
มากมายเหลือเกิน

ฮืม ฮืม
โอ้ โอ โอ้ โอ",pu_pongsit
จับกัง,/music/thailyric/18795,"ยามเดือนเลื่อนลาคราโลกหลับไหล
กลิ่นคราบเหงื่อไคล ยังไม่จากจาง
สองแขน สองเข่า สองเท้ายังมีพลัง

คนใช้แรงงาน พวกฉันนั้นมิเคยหมด
เหงื่อที่รินหยดรดร่างผ่านยังพสุธี
ด้วยหนังหุ้มเนื้อ กอบเกื้อเอื้ออารี
แรงงาน แรงงาน มีแจกจ่ายไปทั่วแดน

ใครเคยคิดบ้าง จับกังอย่างพวกฉัน
เม็ดข้าวที่ผ่านไหล่ฉันเลี้ยงคนตั้งหลายแสน
พวกท่านอิ่มฉันชิมแต่ความแร้นแค้น
เหนื่อยล้า ท้องกิ่ว เมื่อความหิวมันตามทวง

ใครเคยคิดบ้าง จับกังอย่างพวกฉัน
เม็ดข้าวที่ผ่านไหล่ฉันเลี้ยงคนตั้งหลายแสน
พวกท่านอิ่มฉันชิมแต่ความแร้นแค้น
เหนื่อยล้า ท้องกิ่ว เมื่อความหิวมันตามทวง

หากขาดพวกฉันท่านคงได้คิด
ฉันไม่มีสิทธิ์ คิดไกลไปใหญ่หลวง
มีข้าวป้อนปาก สามมื้อถือได้ดังทรวง

สิ่งที่แหนหวงของใครฉันไม่ต้องการ",pu_pongsit
ผู้เฒ่า,/music/thailyric/18739,"ลืมตามาชำเลืองดูโลก
เกิดมาเป็นทารกสามัญชนธรรมดา
หากินกันจนหนังหน้าเหี่ยว
กว่าจะได้ขบเขี้ยว ก็ย่างวัยชรา

ฟันฟางจวนจะหักหมดปาก
ตามัวจนจะมองไม่เห็น
ริ้วรอยของความลำเค็ญ
ดูที่เส้นเอ็นปูดโปน

คำนึงถึงคนเฒ่าคนแก่
เมื่อครั้งเป็นพ่อแม่ยังเลี้ยงดูลูกน้อย
อดออมวันละนิดละหน่อย
เก็บสิบเป็นร้อยส่งลูกน้อยเล่าเรียน

หวังเพียงเพื่อลูกๆ เติบโต
ได้เป็นผู้มีการศึกษา
หนทางในภายภาคหน้า
เป็นเจ้าคนนายคน

ผู้เฒ่าเอ๋ย
ถึงเนื้อหนังหย่อนยาน
ถ้าสมบัติมโหฬาร
ลูกหลานมาเอาใจ

นะผู้เฒ่าเอย
ถึงเนื้อหนังเหี่ยวย่น
ถ้าสมบัติมากล้น
ยังพอมีคนเอาใจ

ผู้เฒ่าเอ๋ย
ถึงเนื้อหนังหย่อนยาน
ถ้าสมบัติมโหฬาร
ลูกหลานมาเอาใจ

นะผู้เฒ่าเอย
ถึงเนื้อหนังเหี่ยวย่น
ถ้าสมบัติมากล้น
ยังพอมีคนเอาใจ

ใครเลยเคยคิดถึงผู้เฒ่า
ที่เส้นผมหงอกขาวและดวงใจอาดูร
ค้ำจุนจนลูกหลานเติบใหญ่
ต่างตอบแทนน้ำใจเพียงรดน้ำดำหัว

สังคมทวีความดิ้นรน
สอนคนให้คิดเห็นแก่ตัว
คนเฒ่าที่ฟันหักตามัว
กลัวไม่มีคนไปเผา",pu_pongsit
เรฟูจี,/music/thailyric/18696,"เวิ้งฟ้ากว้างกลางน้ำเรือลำน้อยล่องไป
ลอย ล่องไป ล่องไป ถอยไป ถอยห่างดิน
ดิน แผ่นดินถิ่นฐานตัวเอง
โดนละเลงสงครามเสียจนสิ้นแผ่นดิน

เวิ้งฟ้ากว้างทางฝันชีวันนั้นมืดมน
ทน ทุกข์ทน ทุกข์ทน สู้ทนสู้ต่อไป
ไกล ห่างไกลสุดสายตา
ลอยล่องในนาวาถึงคราไร้แผ่นดิน

ดินถิ่นเดิมลุกร้อนดั่งไฟแผดเผา
ฟืนสุมเตาเจ้าคงเจ้าเคยยัดใส่เตา
คราวผู้คนบนพื้นดินเดิมปากหมอง
ไย ไม่มอง ไม่เคยเหลียวแลเห็นแก่ตัว
กินมีเหลือเผื่อแผ่กันวันนั้น
วันนี้คงไม่ต้องล่องเรือ
เกลือจิ้มเกลือเหลือเพียงเรือล่องมา
มา เข้ามา เข้ามา เรฟูจี

เวิ้งฟ้ากว้างกลางน้ำเรือลำน้อยล่องมา
มา ล่องมา เข้ามา เข้ามาหาแผ่นดิน
ดิน ถิ่นนี้มีน้ำตา
มีเหลือวันเวลาถ้ามาเพื่อดับไฟ
แผดเผา ฟืนสุมเตา เจ้าคงเจ้าเคยยัดใส่เตา

คราวผู้คนบนพื้นดินเดิมปากหมอง
ไย ไม่มอง ไม่เคย เหลียวแลเห็นแก่ตัว
กิน มีเหลือเผื่อแผ่กันวันนั้น
วันนี้คงไม่ต้องล่องเรือ
เกลือจิ้มเกลือเหลือเพียงเรือล่องมา
มา เข้ามา เข้ามา เรฟูจี",pu_pongsit
ลุงขี้เมา,/music/thailyric/18357,"อุทาหรณ์ของคนรุ่นเก่า
มีชายชราเป็นคนขี้เมา
งานการไม่ทำแกกินแต่เหล้า
กินตั้งแต่เช้า ทุกวี่วัน

เหตุการณ์ผันแปรให้แบมือขอทาน
ร่อนเร่พเนจรแหล่งที่คนพลุกพล่าน
ร่างกายซูบโซผิวตัวดำกร้าน
ตัวสั่นสะท้าน เพราะพิษสุราเรื้อรัง

เมื่อครั้งยังหนุ่มแกเคยทำนา
มุ่งเอาหลังสู้ฟ้า ปลูกข้าวให้คนกิน
หนี้สินล้นตัวเพราะมัวแต่ทำนา
ไม่เคยเรียนรู้วิชา ที่นาก็หลุดลอย

มาเป็นจับกังที่แบกหามวันยังคำ
เหน็ดเหนื่อยแทบตายได้แต่ค่าแรงต่ำๆ
แกเป็นคนจน ที่เสียเปรียบเป็นประจำ
กล้ำกลืนความชอกช้ำ ถ้าไม่ทำก็อดกิน

ในยามจะกินไม่เคยเต็มอิ่ม
ในยามจะนอนไม่เคยเต็มตื่น
หลับลงคราวใดฝันร้ายทุกคืน
สร้างความขมขื่น จนจิตใจอ่อนแอ

ยามเจ็บไข้ ร่างกายสั่นสะท้าน
เพราะต้องใช้แรงงาน ยิ่งกว่าใช้แรงวัว
คนเหมือนคนต้องทำงานเหมือนควาย
แต่หนี้สินยังมากมายเกิดเป็นควายดีกว่าคน

หมดสิ้นปัญญาของชาวนาบ้านนอก
ร่อนเร่เข้ามาเป็นจับกังในบางกอก
สูญสิ้นราคาพอแก่ชราหัวหงอก
หาทางออกสุดท้าย ด้วยสุราเมรัย

กินเหล้าเข้าไป ยิ่งเลวร้ายซ้ำเก่า
หาเงินมาได้ก็เอาไปกินเหล้า
มันกลุ้มก็ยิ่งกิน ยิ่งกินก็ยิ่งเมา
ร่างกายก็ปวดร้าว โรคร้ายก็คุกคาม

เช้าวันหนึ่ง มีคนพบศพ
ขี้เมานอนตาย อยู่ที่ใต้สะพานลอย

เช้าวันหนึ่ง มีคนพบศพ
ขี้เมานอนตาย อยู่ที่ใต้สะพานลอย

เช้าวันหนึ่ง มีคนพบศพ
ขี้เมานอนตาย อยู่ที่ใต้สะพานลอย

เช้าวันหนึ่ง มีคนพบศพ
ขี้เมานอนตาย อยู่ที่ใต้สะพานลอย",pu_pongsit
