song_name,href,lyric,artist
หยุดเล่นอะไรแบบนี้สักที,/music/thailyric/9430,"ฉันยอมแล้วยอมให้เธออีก แต่ก็เสียใจกลับมา
ยิ่งยอมให้เธอยิ่งมีแต่น้ำตา
เชื่อในทุกครั้งที่เธอบอก ว่าเธอกับเขามีปัญหา
ขอทางสักทางให้เธอได้ย้อนมา

วันนี้จะจบกับเค้าจริงๆ ตัดเค้าแล้วจริงๆ
ขอให้ฉันอภัยทุกสิ่ง ที่วันนั้นเธอเคยฝากไว้

หยุดเล่นอะไรแบบนี้สักที
อย่าโทรมาหลอกกันให้ฉันมีความหวัง
ถ้าไม่พร้อมจะกลับมา
อย่าเล่นอะไรกับความรู้สึก
อย่าเอาฉันเป็นคนที่คั่นเวลา
อย่าประชดเค้าด้วยการโทรกลับมา
และสุดท้ายก็เดินกลับไป

ฉันยอมรับใจฉันมันอ่อน
และก็พร้อมยอมเสมอ
เพราะใจทั้งใจฉันมันยังรักเธอ

วันไหนเธอจบกับเค้าจริงๆ ตัดเค้าได้จริงๆ
ฉันก็พร้อมอภัยทุกสิ่ง แต่อย่าทำอย่างนี้ได้ไหม

หยุดเล่นอะไรแบบนี้สักที
อย่าโทรมาหลอกกันให้ฉันมีความหวัง
ถ้าไม่พร้อมจะกลับมา
อย่าเล่นอะไรกับความรู้สึก
อย่าเอาฉันเป็นคนที่คั่นเวลา
อย่าประชดเค้าด้วยการโทรกลับมา
และสุดท้ายก็เดินกลับไป

หยุดเล่นอะไรแบบนี้สักที
อย่าโทรมาหลอกกันให้ฉันมีความหวัง
ถ้าไม่พร้อมจะกลับมา
อย่าเล่นอะไรกับความรู้สึก
อย่าเอาฉันเป็นคนที่คั่นเวลา
อย่าประชดเค้าด้วยการโทรกลับมา
และสุดท้ายก็เดินกลับไป

อย่าประชดเค้าด้วยการโทรกลับมา
ถ้าไม่คิดที่จะเปลี่ยนใจ",ruj_supharuj
กะทันหัน,/music/thailyric/9436,"ร่วมร้องกับ โลว์แฟต และ ฟิล์ม บงกช เจริญธรรม

แปลกแต่จริง สิ่งนี้ไม่น่าจะเกิดขึ้นกับฉัน
มันเป็นรักที่กะทันหันไป
แต่จะมองยังไงเธอก็ใช่ คนเดียวที่ฉันรอ

แปลกแต่จริง บอกฉันซิว่าทุกอย่างไม่ใช่ฝัน
บอกกับฉันว่าเธอทำได้ยังไง
เปลี่ยนคนที่คอยปิดหัวใจให้รักเธอง่ายดาย

บอกตรงๆ ตั้งแต่วันที่ได้พบเธอ
ตั้งแต่ยังไม่รู้ว่าเธอชื่ออะไร ใจข้างในก็ยอมแพ้
แม้เธอไม่เคยบอกว่าเธอคิดกับฉันว่ายังไง

เป็นครั้งแรกที่มันรักใครไปโดยไม่ต้องคิด
เป็นครั้งแรกที่ไม่สนว่ามันจะถูกหรือผิด
แค่ได้รักเธอต่อไป เพราะทำอย่างไรก็ห้ามใจไว้ไม่ได้

เป็นครั้งแรกที่มันรักใครไปโดยไม่ต้องคิด
ไม่สนว่าตอนสุดท้ายผลมันจะถูกหรือผิด
เธอไม่รู้ไม่เป็นไร (เธอไม่รู้ไม่เป็นไร)
ขอแค่ให้ใจได้แสดงความจริงข้างในที่ฉันมีต่อเธอ

แปลกแต่จริง สิ่งนี้ไม่น่าจะเกิดขึ้นกับฉัน
คงเป็นเพราะฟ้าข้างบนหรือใคร
ส่งเธอลงมาเปิดหัวใจให้รักเป็นสักที

บอกตรงๆ ตั้งแต่วันที่ได้พบเธอ
ตั้งแต่ยังไม่รู้ว่าเธอชื่ออะไร ใจข้างในก็ยอมแพ้
แม้เธอไม่เคยบอกว่าเธอคิดกับฉันว่ายังไง

เป็นครั้งแรกที่มันรักใครไปโดยไม่ต้องคิด
เป็นครั้งแรกที่ไม่สนว่ามันจะถูกหรือผิด
แค่ได้รักเธอต่อไป เพราะทำอย่างไรก็ห้ามใจไว้ไม่ได้

เป็นครั้งแรกที่มันรักใครไปโดยไม่ต้องคิด
ไม่สนว่าตอนสุดท้ายผลมันจะถูกหรือผิด
เธอไม่รู้ไม่เป็นไร (เธอไม่รู้ไม่เป็นไร)
ขอแค่ให้ใจได้แสดงความจริงข้างในที่ฉันมีต่อเธอ

เป็นครั้งแรกที่มันรักใครไปโดยไม่ต้องคิด
เป็นครั้งแรกที่ไม่สนว่ามันจะถูกหรือผิด
แค่ได้รักเธอต่อไป เพราะทำอย่างไรก็ห้ามใจไว้ไม่ได้

เป็นครั้งแรกที่มันรักใครไปโดยไม่ต้องคิด
ไม่สนว่าตอนสุดท้ายผลมันจะถูกหรือผิด
เธอไม่รู้ไม่เป็นไร (เธอไม่รู้ไม่เป็นไร)
ขอแค่ให้ใจได้แสดงความจริงข้างในที่ฉันมีต่อเธอ",ruj_supharuj
กันและกัน,/music/thailyric/8289,"เคยสงสัย ทำไมเวลาที่ฉันโกรธ
ต้องยกโทษให้เธอง่ายดาย
เสียใจไม่นานก็หาย แค่เธอเข้ามากอดฉัน

วันเวลาร้ายๆ ก็กลาย
เป็นเพียงความหลัง ได้โดยง่ายดาย
เมื่อถามใจตัวเอง  คำตอบที่ใจฉันได้
ฮือ ฮืม

เราอาจจะเกิดมาเป็นของกันและกัน
ฉันเป็นของเธอทั้งตัว และทั้งหัวใจ
ไม่มีข้อแม้ ยังไงก็ยอมอภัย
เราอาจจะเกิดมาเป็นของกันและกัน
ฉันยังไม่เคยเผลอใจ ให้กับคนไหน
โกรธเธอทุกครั้ง บอกรักฉันหน่อยก็หาย

เคยสงสัย ทำไมเวลาที่เธอผิด
ไม่คิดง้อ ฉันเลยหรือไง
เถียงไปไม่มีจุดหมาย แค่เพียงจ้องตาเท่านั้น

วันเวลาร้ายๆ ก็กลาย
เป็นเพียงความหลัง ได้โดยง่ายดาย
เมื่อถามใจตัวเอง คำตอบที่ใจฉันได้
ฮือ ฮืม

เราอาจจะเกิดมาเป็นของกันและกัน
ฉันเป็นของเธอทั้งตัว และทั้งหัวใจ
ไม่มีข้อแม้ ยังไงก็ยอมอภัย
เราอาจจะเกิดมาเป็นของกันและกัน
ฉันยังไม่เคยเผลอใจ ให้กับคนไหน
โกรธเธอทุกครั้ง บอกรักฉันหน่อยก็หาย

เราอาจจะเกิดมาเป็นของกันและกัน
ฉันเป็นของเธอทั้งตัว และทั้งหัวใจ
ไม่มีข้อแม้ ยังไงก็ยอมอภัย
เราอาจจะเกิดมาเป็นของกันและกัน
ฉันยังไม่เคยเผลอใจ ให้กับคนไหน
โกรธเธอทุกครั้ง บอกรักกันหน่อยก็หาย",ruj_supharuj
คำไหน,/music/thailyric/8333,"เธอรู้ใช่ไหม ว่าฉันเป็นคนยังไง
ชอบพูดจาอะไรเรื่อยไป
หยอกล้อเธอในบางที
แต่ฉันไม่รู้ว่าถ้อยคำอะไรกัดกิน
ทำให้เธอเสียใจโกรธฉันรุนแรงอย่างนี้
บางทีฉันพูดอะไรผิดไป
บอกได้ไหมคำใดที่เธอไม่ชอบฟัง
คำที่พลั้งพลาดปากคือคำไหน

ฉันไม่เคยตั้งใจให้เธอโกรธ
พูดอะไรผิดไปฉันขอโทษ
อย่าโกรธเลยคนดี
ฉันไม่เคยอยากไปรักคนใหม่
พูดอะไรผิดไปฉันเสียใจ
บอกกันดีๆ ได้ไหม คำไหนไม่อยากฟัง

บางครั้งไม่รู้ว่าเธอคิดอะไร
อยู่ดีๆ ก็ทำเงียบไป
ปล่อยฉันให้งงคนเดียว
เดี๋ยวนี้ไม่รู้ต้องทำตัวยังไง
ที่ไม่ทำอะไรให้เธอ
ปวดร้าวในใจอย่างนี้

บางทีฉันพูดอะไรผิดไป
บอกได้ไหมคำใดที่เธอไม่ชอบฟัง
คำที่พลั้งพลาดปากคือคำไหน
ฉันไม่เคยตั้งใจให้เธอโกรธ
พูดอะไรผิดไปฉันขอโทษ
อย่าโกรธเลยคนดี
ฉันไม่เคยอยากไปรักคนใหม่
พูดอะไรผิดไปฉันเสียใจ
บอกกันดีๆ ได้ไหม คำไหนไม่อยากฟัง

ฉันก็มีแค่เธอคนเดียว
ทั้งหัวใจรักเธอคนเดียว
อย่าโกรธกันได้ไหม
ฉันไม่เคยตั้งใจให้เธอโกรธ
พูดอะไรผิดไปฉันขอโทษ
อย่าโกรธเลยคนดี
ฉันไม่เคยอยากไปรักคนใหม่
พูดอะไรผิดไปฉันเสียใจ
บอกกันดีๆ ได้ไหม คำไหนไม่อยากฟัง
เธอยังจะฟังฉันไหม ถ้าบอกว่ารักเธอ",ruj_supharuj
เธอคือคนนั้น,/music/thailyric/8319,"เห็นเธอ ผ่านมาทางนี้
เดินสวนกันพอดี เกือบลืมหายใจ
แค่แวบเดียว ก็สุดต้านทานไหว
เพียงแรกเจอข้างในจิตใจ บอกได้ชัดเจน

เธอคือคนนั้น ที่เจอในฝันทุกคืน
และมายืนอยู่ตรงหน้าแล้ว
ไม่มีเหตุผลให้ทำเฉยแล้ว
ไม่มีทางปล่อยเธอผ่านไป

ขอให้ฉันได้บอกรักเธอ จะได้ไหม
แค่เธอยินยอมเปิดใจช่วยรับฟัง
ได้เจอกับเธอ ไม่ใช่ความฝัน
จากนี้ จะดีหรือต้องผิดหวัง
ยังไงก็แล้วแต่เธอ ว่าจะรับรักฉันรึเปล่า

ฉันเอง ก็ได้แค่หวัง 
หวังว่าเธอก็คง อาจจะคิดเหมือนกัน
ขอเธอ ได้โปรดยอมรับ
ให้สองเราได้มาผูกพัน ตั้งแต่นี้ไป

เธอคือคนนั้น ที่เจอในฝันทุกคืน
และมายืนอยู่ตรงหน้าแล้ว
ไม่มีเหตุผลให้ทำเฉยแล้ว
ไม่มีทางปล่อยเธอผ่านไป

ขอให้ฉันได้บอกรักเธอ จะได้ไหม
แค่เธอยินยอมเปิดใจช่วยรับฟัง
ได้เจอกับเธอ หัวใจมันบอกว่าใช่เลย

เสียงที่ดังจากในหัวใจ บอกกับฉัน
ว่าเธอคือคนที่ใจค้นหามานาน
ได้เจอกับเธอ ไม่ใช่ความฝัน
จากนี้ จะดีหรือต้องผิดหวัง
ยังไงก็แล้วแต่เธอ ว่าจะรับรักฉันรึเปล่า

จะรับรักฉันได้ไหม",ruj_supharuj
ปล่อยรัก,/music/thailyric/5007,"ร่วมด้วย วีทรีโอ

ที่รัก ใจมันขอเรียกเธอเป็นครั้งสุดท้าย
แล้วจะลบคำเก่านี้ทิ้งไป ไม่ขออะไรมากกว่านี้อีก
เท่านี้จริงๆ ก็รู้เป็นตัวฉันเองที่มันไม่ดีพร้อม
เมื่อเธอขอให้จบฉันยอม ไม่พร้อมเสียใจ
ก็ต้องจากกัน ถ้าเธอต้องการ

เมื่อฉันไม่อยู่ ฝากขอให้ดูแลตัวเองไว้
ไม่ต้องห่วงทางนี้

ปล่อยรักมันตายลงไป กับใจฉันที่กำลังจะขาด
แม้ว่าเราไม่อาจจะเดินร่วมทางกันไป
ในเวลาที่พ้น ที่ผ่านช่วงนั้น
ฉันได้มีเธอข้างกาย รู้เอาไว้
แค่นั้นก็แสนยิ่งใหญ่ กับใจของฉันเกินพอ

จากนี้ เวลาที่มีก็คงหมดความหมาย
ใช้ชีวิตแค่อยู่เพื่อหายใจ
ไม่รู้เมื่อไรที่จะหายเจ็บ มีแรงเหมือนเดิม

เมื่อฉันไม่อยู่ ฝากขอให้ดูแลตัวเองไว้
ไม่ต้องห่วงทางนี้

ปล่อยรักมันตายลงไป กับใจฉันที่กำลังจะขาด
แม้ว่าเราไม่อาจจะเดินร่วมทางกันไป
ในเวลาที่พ้น ที่ผ่านช่วงนั้น
ฉันได้มีเธอข้างกาย รู้เอาไว้
แค่นั้นก็แสนยิ่งใหญ่ กับใจมากพอ

ไม่ขอให้เห็นใจและมาสงสาร
ที่ฉันมีอาการแค่ทรมาน ไม่ได้รั้งเธอเอาไว้

เมื่อฉันไม่อยู่ ฝากขอให้ดูแลตัวเองไว้
ไม่ต้องห่วงทางนี้

ปล่อยรักมันตายลงไป กับใจฉันที่กำลังจะขาด
แม้ว่าเราไม่อาจจะเดินร่วมทางกันไป
ในเวลาที่พ้น ที่ผ่านช่วงนั้น
ฉันได้มีเธอข้างกาย รู้เอาไว้
แค่นั้นก็แสนยิ่งใหญ่ กับใจของฉันเกินพอ",ruj_supharuj
พยางค์เดียว,/music/thailyric/5008,"อยากให้ฟังคำเดียวได้ไหม
ถ้าเก็บไว้นานคงทนไม่ไหว
แค่คำหนึ่งในหัวใจ

ไม่ใช่ผู้วิเศษ ไม่ได้พร้อมและดีมากมาย
รู้ว่าฉันเป็นใคร ไม่เคยอยู่ในสายตา
เธอคือคนพิเศษ กว่าคนไหนที่เคยพบมา
ก็รู้เธอสูงเกินกว่า จะไปคว้าเธอมาครอบครอง

ถ้าไม่ลองไม่ทำอะไรให้รู้ ว่าฉันคนนี้จริงใจ
เธอคงไม่รู้ว่าใคร ตรงนี้
แอบเก็บอะไรเอาไว้ในใจเรื่อยมา

บอกว่ารักคำเดียวได้ไหม
ถ้าเก็บไว้นานคงทนไม่ไหว
เสียงมันดังข้างในใจ
ว่าต้องบอกออกไปให้เธอรู้

แค่เพียงคำนี้พยางค์เดียวคำว่ารัก
ถ้าเธอรำคาญไม่อยากเก็บมันไว้
ฉันไม่โกรธ แค่เธอได้ฟังก็พอ

นี่คือเพลงพิเศษ แต่งมาร้องให้เธอได้ฟัง
ให้รับให้รู้บางอย่าง ที่มันค้างอยู่ในหัวใจ

ถ้าไม่ลองไม่ทำอะไรให้รู้ ว่าฉันคนนี้จริงใจ
เธอคงไม่รู้ว่าใคร ตรงนี้
แอบเก็บอะไรเอาไว้ในใจเรื่อยมา

บอกว่ารักคำเดียวได้ไหม
ถ้าเก็บไว้นานคงทนไม่ไหว
เสียงมันดังข้างในใจ
ว่าต้องบอกออกไปให้เธอรู้

แค่เพียงคำนี้พยางค์เดียวคำว่ารัก
ถ้าเธอรำคาญไม่อยากเก็บมันไว้
ฉันไม่โกรธ แค่เธอได้ฟังก็พอ

บอกว่ารักคำเดียวได้ไหม
ถ้าเก็บไว้นานคงทนไม่ไหว
เสียงมันดังข้างในใจ
ว่าต้องบอกออกไปให้เธอรู้

แค่เพียงคำนี้พยางค์เดียวคำว่ารัก
ถ้าเธอรำคาญไม่อยากเก็บมันไว้
ฉันไม่โกรธ แค่เธอได้ฟังก็พอ

แค่เพียงคำนี้พยางค์เดียว คำว่ารัก
ถ้าเธอมีใจได้โปรดอย่าเก็บไว้
ขอให้บอก แค่เพียงเบาๆ ก็พอ",ruj_supharuj
รักเธอทุกลมหายใจ,/music/thailyric/5010,"รอ บางสิ่งที่ยังขาดหายไป
รอ รอใครมาร่วมใช้เวลา
คอย สักคนมาแก้โจทย์ที่ค้างคา
ว่าฉันวันๆ อยู่ไปเพื่อใคร

รอ จนเจอเธอที่เดินเข้ามา
เธอ คือใครที่ฉันหามานาน
เธอ คนเดียวคือคำตอบทุกอย่าง
ที่ฉันไม่มีทางให้เสียไป

รอ รอคนนี้มานานเท่าไร
คนที่มาเติมเต็ม
คนนี้ที่ตรงกับใจ คือเธอแน่ใจ

ทุกลมหายใจของฉันต่อจากนี้
ได้รู้สักทีจะใช้มันกับใคร
ชีวิตมันมีจุดหมาย
อยากหายใจอยู่ต่อไป รู้ไหมว่าเพื่อเธอ

ทุกลมหายใจวันนี้มีความหมาย
เมื่อรู้ว่าฉันได้ใช้มันกับเธอ
ชีวิตนับต่อจากนี้ จะรักแค่เธอคนนี้
ตราบที่ฉันหายใจ

ก่อน แต่ก่อนก็ไม่เคยเข้าใจ
คน ทำไมยอมเพื่อรักมากมาย
เธอ คนเดียวคือคำตอบทุกอย่าง
วันนี้เจอเธอก็เลยเข้าใจ

รอ รอคนนี้มานานเท่าไร
คนที่มาเติมเต็ม
คนนี้ที่ตรงกับใจ คือเธอแน่ใจ

ทุกลมหายใจของฉันต่อจากนี้
ได้รู้สักทีจะใช้มันกับใคร
ชีวิตมันมีจุดหมาย
อยากหายใจอยู่ต่อไป รู้ไหมว่าเพื่อเธอ

ทุกลมหายใจวันนี้มีความหมาย
เมื่อรู้ว่าฉันได้ใช้มันกับเธอ
ชีวิตนับต่อจากนี้ จะรักแค่เธอคนนี้
ตราบที่ฉันหายใจ

ชีวิตนับต่อจากนี้ จะรักแค่เธอคนนี้
ตราบที่ฉันหายใจ",ruj_supharuj
หมดเวลาแก้ตัว,/music/thailyric/5012,"ยกโทษให้เธอตลอด กอดเก็บความเจ็บไว้
ให้แก้ตัวประจำ เวลาเธอทำฉันสียใจ
แต่วันนี้เธอมีคำแก้ตัวยังไง
คงไม่เชื่ออีก พอสักที

ฉันมีใจดวงเดียวไม่พอรับแผลอะไรเพิ่มเติม
ฉันคนเดิมตายไปตั้งแต่วันนี้
มีน้ำใจมากไปยิ่งโดนทำร้ายมากทุกที
หยุดเลยอย่าโทรมาขอร้อง หยุดเลยอย่าลองโทร

ฉันไม่มีวันที่จะรับสายเธออีก
จะหลีกหนีไปให้ไกลสุดสายตา
จึงฝากเพลงนี้ให้เธอได้ฟัง
และหวังให้เธอเข้าใจว่า
อย่าโทรมารบกวนอีกเลย

คงซ้ำเหมือนเดิมอย่างเก่า
อย่างเมื่อคราวก่อนนั้น แก้ตัวเป็นประจำ
แต่เธอไม่เคยแก้ไขเลย
ตัดใจแล้วความเป็นไปของเราลงเอย
เธอไม่ต้องบอกว่ายังรักกัน

ฉันมีใจดวงเดียวไม่พอรับแผลอะไรเพิ่มเติม
ฉันคนเดิมตายไปตั้งแต่วันนี้
มีน้ำใจมากไปยิ่งโดนทำร้ายมากทุกที
หยุดเลยอย่าโทรมาขอร้อง หยุดเลยอย่าลองโทร

ฉันไม่มีวันที่จะรับสายเธออีก
จะหลีกหนีไปให้ไกลสุดสายตา
จึงฝากเพลงนี้ให้เธอได้ฟัง
และหวังให้เธอเข้าใจว่า
อย่าโทรมารบกวนอีกเลย

ฉันไม่มีวันที่จะรับสายเธออีก
จะหลีกหนีไปให้ไกลสุดสายตา
จึงฝากเพลงนี้ให้เธอได้ฟัง
และหวังให้เธอเข้าใจว่า
อย่าโทรมารบกวนได้ไหม

ที่ฝากเพลงนี้ให้เธอได้ฟัง
เพื่อหวังให้เธอเข้าใจว่า
หมดเวลาให้เธอแก้ตัว",ruj_supharuj
เธอหลอกฉัน ฉันหลอกเธอ,/music/thailyric/5005,"ร่วมด้วย วีทรีโอ

เธอคงคิดว่าฉันคงไม่รู้ เรื่องความลับเธอที่ซ่อนอยู่
และฉันคิดว่าเธอคงไม่รู้ ว่าฉันมองออกทุกอย่าง
รู้หมดเธอแอบรักใคร แต่ยังทำเชื่อใจไม่เคยจาง
เธอหลอกอะไร ต้องทำเป็นไม่ระแวง

ก็เพราะไม่รู้มันจะเป็นยังไง หากบอกไปว่ารู้ทุกสิ่ง
ก็กลัวว่าความเป็นจริง จะพังทุกอย่าง
ก็รู้แค่นี้ยังมีเธอข้างฉัน ถ้ามันยังมีหนทาง
ทุกอย่างจะยอม ถ้าไม่เสียเธอ

ทุกครั้งที่เธอพยายามหลอกฉัน ว่ายังรักกัน
เธอจะรู้บ้างไหม ฉันเองก็แกล้งหลอกว่าเชื่อหมดใจ
เพราะหากว่าการรู้ทัน มันจะทำให้ฉันจะต้องเสียใจ
จะขอทำเป็นไม่รู้อะไร เสียเลย

เพราะเธอคิดว่าฉันคงไม่รู้ และคิดว่าไม่เสียใจ
และฉันคิดว่าเธอคงไม่รู้ ว่าฉันทรมานเช่นไร
แม้เจ็บแต่ต้องฝืนทน ต้องทำเหมือนว่าไม่มีอะไร
หลอกกันไปแต่ข้างใน ช้ำเหลือเกิน

ก็เพราะไม่รู้มันจะเป็นยังไง หากบอกไปว่ารู้ทุกสิ่ง
ก็กลัวว่าความเป็นจริง จะพังทุกอย่าง
ก็รู้แค่นี้ยังมีเธอข้างฉัน ถ้ามันยังมีหนทาง
ทุกอย่างจะยอม ถ้าไม่เสียเธอ

ทุกครั้งที่เธอพยายามหลอกฉัน ว่ายังรักกัน
เธอจะรู้บ้างไหม ฉันเองก็แกล้งหลอกว่าเชื่อหมดใจ
เพราะหากว่าการรู้ทัน มันจะทำให้ฉันจะต้องเสียใจ
จะขอทำเป็นไม่รู้อะไร เสียเลย

ทุกครั้งที่เธอพยายามหลอกฉัน ว่ายังรักกัน
เธอจะรู้บ้างไหม ฉันเองก็แกล้งหลอกว่าเชื่อหมดใจ
เพราะหากว่าการรู้ทัน มันจะทำให้ฉันจะต้องเสียใจ
จะขอทำเป็นไม่รู้อะไร เสียเลย
ปิดหูปิดตาแล้วรักเธอ ไปเหมือนเคย",ruj_supharuj
