song_name,href,lyric,artist
กอดความเจ็บช้ำ (Carry),/music/thailyric/15719,"ให้ตัวเองกอดความเจ็บช้ำ
ที่ฉันต้องเจอกับความผิดหวัง ตลอดมา
ให้น้ำตามันได้รินไหลออกมา
ให้หัวใจกลับมาอีกครั้ง

ทนไม่ไหว ไม่รู้ต้องไปทางใด
นานเท่าไร ฉันถึงจะเข้าใจ
ใจที่ล้า ไม่นานก็คงสลายหายไป

ในสิ่งที่ฉันต้องเจอ ทรมาน
ยังบอกตัวเองว่ามันแค่เมื่อวาน
มองไปก็เหมือนว่าคงไม่มีทาง
ที่ฉันจะเข้าใจ

ให้ตัวเองกอดความเจ็บช้ำ
ที่ฉันต้องเจอกับความผิดหวัง ตลอดมา
ให้น้ำตามันได้รินไหลออกมา
ให้หัวใจกลับมาอีกครั้ง

ทนไม่ไหว นี่ฉันต้องไปทางใด
นานเท่าไร ไม่เห็นจะเข้าใจ
ใจที่หาย ไม่นานก็คงสลายหายไป

ในสิ่งที่ฉันต้องเจอทรมาน
ยังบอกตัวเองว่ามันแค่นิทาน
มองไปก็เหมือนว่าคงไม่มีทาง
ที่ฉันจะหลุดพ้น

ให้ตัวเองกอดความเจ็บช้ำ
ที่ฉันต้องเจอกับความผิดหวัง ตลอดมา
ให้น้ำตามันได้รินไหลออกมา
ให้หัวใจกลับมาอีกครั้ง
และฉันต้องอยู่กับสิ่งนั้น

แต่ฉันต้องอยู่กับสิ่งนั้นที่เธอบอก
ถึงแม้ว่ามันจะเจ็บช้ำสักเท่าไร
แต่ฉันยังกอดกับสิ่งนั้นไว้ตลอด
ถึงแม้ว่ามันต้องปวดร้าว คงผ่านไปสักวัน",safeplanet
ข้างกาย (With You),/music/thailyric/16297,"คงไม่ลวงหลอก ที่บอกเธอไป
เธอไม่ต้องห่วง ให้มันเป็นไป
แล้วทุกๆ อย่างจะผ่านเธอไปกับฉัน

Oh เธอ เธอ เธอ ตอนนี้ฉันจะอยู่
เพียงแค่เธอต้องการ จะไปหา
Oh เธอฟูมฟายคงไม่มีประโยชน์
จะไม่ยอมทิ้ง ให้เธอต้องหวั่นไหว

ฉันเองจะรับเธอเอาไว้
ให้เธอลองปล่อยให้มันเป็นไป
ไม่ต้องห่วงฉันจะเข้าใจ
เธอไม่ต้องห่วง

อาจจะเป็นแค่น้ำตา ที่เธอกอดมันไว้
อาจจะเป็นแค่รอยจูบ ที่เธอฝังใจ
มันคงเป็นแค่เรื่องราว
ให้เธอปล่อยมันไว้อย่างนั้น

Oh เธอ เธอ เธอ ตอนนี้ฉันจะอยู่
เพียงแค่เธอต้องการ จะไปหา
Oh เธอฟูมฟายคงไม่มีประโยชน์
จะไม่ยอมทิ้ง ให้เธอต้องหวั่นไหว

ฉันเองจะรับเธอเอาไว้
ให้เธอลองปล่อยให้มันเป็นไป
ไม่ต้องห่วงฉันจะเข้าใจ
เธอไม่ต้องห่วง
เธอไม่ต้องห่วง

ฉันเองจะรับเธอเอาไว้
ให้เธอลองปล่อยให้มันเป็นไป
ไม่ต้องห่วงฉันจะเข้าใจ
เธอไม่ต้องห่วง

ฉันเองจะขอเธอได้ไหม
ให้เธอลองปล่อยให้มันเป็นไป
แม้มันจะยากเย็นเพียงใด
จะอยู่ข้างๆ เธอ

อยากจะบอกให้เธอรู้
เธอจะมีฉันข้างกาย
อาจจะเป็นเพียงอารมณ์ที่อ่อนไหว
ฉันจะรับมันเอง

สิ่งต่างๆ ที่เธอฝัน
เธอจะมีฉันข้างกาย
ไม่ว่าจะเจออะไรสักเพียงไหน
ฉันจะรับมันเอง
ให้ฉันเดินไปกับเธอ",safeplanet
เพียงเธอ (Always),/music/thailyric/16547,"มีเรื่องราวมากมายที่เก็บไว้
ที่ฉันเองต้องการจะบอก
สิ่งที่เธอไม่ได้อยู่เห็นมัน
มันต่างจากเดิมที่เคยเข้าใจ

อาจจะเป็นตัวฉันที่ทำพลาดไป
อยากจะบอกให้ว่ารู้ว่าเพิ่งเข้าใจ

ฉันมีเพียงน้ำตาที่ยังรินไหล
คงทำได้แค่เพียงเก็บไว้

มีฉัน มีเพียงใจที่อ่อนแอ
แม้อาจดูเหมือนไกลเกินไป
ทำได้เพียงแค่เก็บเรื่องเราไว้
มองย้อนไป มีเธอช่างสวยงาม

มีถ้อยคำมากมายที่เก็บไว้
ที่ฉันเองไม่เคยได้บอก
ถึงแม้เราจะไม่ได้พบกัน
คงมีตัวฉันที่ยืนที่เดิม

ฉันมีเพียงน้ำตาที่ยังรินไหล
คงทำได้แค่เพียงเก็บไว้  อยู่อย่างนี้

มีฉัน มีเพียงใจที่อ่อนแอ
แม้อาจดูเหมือนไกลเกินไป
ทำได้เพียงแค่เก็บเรื่องเราไว้
มองย้อนไป มีเธอช่างสวยงาม

มีฉัน มีเพียงเธอตลอดมา
แม้อาจจะอยู่ห่างไกลแสนไกล
ทำได้เพียงแค่เก็บเรื่องเราไว้
มองย้อนไป มีเธอช่างสวยงาม

มองย้อนไป มีเธอ ตลอดมา",safeplanet
คำตอบ (Answer),/music/thailyric/15153,"ฉันเกิดคำถามมากมายในใจ
ไม่อาจจะรู้ความจริงใดๆ ฉันไม่รู้เลย
ถึงสิ่งที่คิดอยู่ข้างใน ใจของเธอ

ที่เธอบอกคำนั้นที่เธอยังรั้งฉันอยู่
อยากให้ลองเผื่อมีวิธีที่ทำให้เราเข้าใจ
แต่ความจริงมีเพียงฉันเองที่อยากจะรู้คำตอบ
จากเธอได้ไหม แล้วฉันจะเข้าใจ สักที

ต้องตอบคำถามมากมายในใจ ฉันเอง
ไม่อาจจะหาความจริงใดๆ ฉันไม่รู้เลย
ถึงสิ่งที่คิดอยู่ข้างใน ใจของเธอ

ที่เธอบอกคำนั้นที่เธออยากให้ฉันอยู่
อยากให้ลองเผื่อมีวิธีที่ทำให้เราเข้าใจ
แต่ความจริงมีเพียงฉันเองที่อยากจะรู้คำตอบ
จากเธอได้ไหม แล้วฉันจะเข้าใจ สักที

โอ้ว แต่ฉันยังคงรอ
เมื่อใจของฉันนั้นเองก็รู้ดีอยู่
โอ้ว เธอหยุดทีได้ไหม
หยุดก่อนที่ใจของฉันจะสลายไป
โอ้ว ฉันรอเพื่ออะไร
เมื่อใจของฉันและเธอต่างรู้ดีอยู่
โอ้ว ฉันขอเธอได้ไหม

หยุดเวลานี้เอาไว้ ปล่อยให้ฉันได้เข้าใจ
หยุดเรื่องราวนี้เอาไว้ ก่อนที่มันจะสายไป

แต่ฉันยังคงต้องการคำตอบ
แต่ฉันยังคงต้องถามเธอก่อน ที่เธอคิดอยู่
จะร้ายหรือดีให้เธอช่วยบอก สักที

โอ้ว แต่ฉันยังคงรอ
เมื่อใจของฉันนั้นเองก็รู้ดีอยู่
โอ้ว ช่วยหยุดทีได้ไหม
หยุดก่อนที่ใจของฉันจะสลายไป
โอ้ว ฉันรอไปทำไม
เมื่อใจของฉันและเธอต่างรู้ดีอยู่
โอ้ว ฉันขอเธอได้ไหม
หยุดเวลานี้เอาไว้ ปล่อยให้ฉันได้เข้าใจ

หยุดก่อนตอนนี้ได้ไหม ก่อนที่มันจะสายไป
หยุดเรื่องราวนี้เอาไว้ ปล่อยให้ฉันได้เดินไป สักที

หยุดก่อนที่ใจของฉันจะสลายไป
ปล่อยให้ฉันได้เดินไป สักที",safeplanet
ดินแดน (Din Dan),/music/thailyric/13523,"ตามหาสัญญาณเดินทาง
ที่เห็นจากไกล โว้โอ
ตามหาสัญญาณเดินทาง
ช่วยฉันได้ไหม
ตามหาสัญญาณเดินทาง
ที่เห็นจากไกล โว้โอ
ช่วยฉันได้ไหม
พาฉันออกไป

ที่ใดมีความรักอยู่บนนั้นก็คงดี
ที่ดินแดนหนึ่งที่เรากำลังจะไป
ถ้าหากที่ดินแดนนั้นมีความรักก็คงจะดี
อู้ว จะได้ไม่ต้องจินตนาการ

ที่ใดมีความรักอยู่บนนั้นก็คงดี
ที่ดินแดนหนึ่งที่เรากำลังจะไป
ถ้าหากที่ดินแดนนั้นมีความรักก็คงจะดี
อู้ว จะได้ไม่ต้องจินตนาการ

ถึงโลกที่เลวร้ายจากไปแล้ว
ก็คงจะดีไม่น้อย
แค่เพียงเธอมองฉันโปรดฟังฉัน
ก็คงจะดีไม่น้อย
แค่เพียงเธอยอมรับเข้าใจฉัน
ก็คงจะดีไม่น้อย

ถึงโลกที่เลวร้ายจากไปแล้ว
ก็คงจะดีไม่น้อย
แค่เพียงเธอมองฉันโปรดฟังฉัน
ก็คงจะดีไม่น้อย
แค่เพียงเธอยอมรับเข้าใจฉัน
ก็คงจะดีไม่น้อย

ที่ๆ ฉันฝันฉันนั้นยังคงรออยู่
ทั้งๆ ที่รู้ฉันรู้และเข้าใจตลอดมา
ที่ๆ ฉันฝันฉันนั้นยังคงรออยู่
ทั้งๆ ที่รู้ฉันรู้และฉันยังคงตามต่อไป

ที่ใดมีความรักอยู่บนนั้นก็คงดี
ที่ดินแดนหนึ่งที่เรากำลังจะไป
ถ้าหากที่ดินแดนนั้นมีความรักก็คงจะดี
อู้ว จะได้ไม่ต้องจินตนาการ",safeplanet
ตัดสินใจ (Again),/music/thailyric/13258,"อาจเป็นเพราะฉันนั้นยังคงเก็บไว้
ยังเป็นสิ่งที่เธอคงต้องการคำตอบ
ในสิ่งที่ฉันทำได้แค่ซ่อนไว้
ไม่เคยบอกไม่อยากให้เธอรู้

อาจมีคำถามที่เธอเก็บไว้ในใจ
อาจมีเรื่องราวที่ยังไม่เคยได้บอกออกไป
ในสิ่งที่เธอนั้นยังคงสงสัย
ไม่รู้จักไม่เข้าใจ

อยากให้เธอมอง
มองดูฉันให้ดีก่อนตัดสินใจ
หากมีเรื่องที่เธอนั้นยังไม่เข้าใจ
ให้เธอค้นดูก่อนค้นหาคำตอบ
อยากให้เธอลอง
ลองดูฉันอีกทีให้เธอแน่ใจ
ถ้าคือตัวฉันต้องทำให้เธอนั้นเสียใจ
อย่าเสียเวลาอย่าเสียน้ำตากับฉัน

อาจเป็นเพราะฉันนั้นยังปิดบังเธออยู่
เพราะยังไม่รู้ว่าเธอ
จะยอมเลือกอยู่กับฉันไหม
มีสิ่งที่รู้แล้วเธออาจถอยไป
ไม่แน่ใจเธอจะรับได้ไหม

อยากให้เธอมอง
มองดูฉันให้ดีก่อนตัดสินใจ
หากมีเรื่องที่เธอนั้นยังไม่เข้าใจ
ให้เธอค้นดูก่อนค้นหาคำตอบ
อยากให้เธอลอง
ลองดูฉันอีกทีให้เธอแน่ใจ
ถ้าคือตัวฉันต้องทำให้เธอนั้นเสียใจ
อย่าเสียเวลาอย่าเสียน้ำตากับฉัน

ถามเธออีกทีให้เธอแน่ใจ
เธอคิดดูอีกทีให้ตัดสินใจ
ฉันถามเธออีกทีให้เธอเข้าใจ
เธอคิดดูอีกทีอย่าเสียเวลากับฉัน

ฉันยอมให้เธอไป
ถ้าเป็นอย่างนั้น
ช่วยตัดสินใจ

อยากให้เธอมอง
มองดูฉันให้ดีก่อนตัดสินใจ
หากมีเรื่องที่เธอนั้นยังไม่เข้าใจ
ให้เธอค้นดูก่อนค้นหาคำตอบ
อยากให้เธอลอง
ลองดูฉันอีกทีให้เธอแน่ใจ
ถ้าคือตัวฉันต้องทำให้เธอนั้นเสียใจ
อย่าเสียเวลาอย่าเสียน้ำตากับฉัน

ถามเธออีกทีให้เธอแน่ใจ
เธอคิดดูอีกทีให้ตัดสินใจ
ฉันถามเธออีกทีให้เธอเข้าใจ
เธอคิดดูอีกทีอย่าเสียเวลา
อย่าเสียน้ำตากับฉัน",safeplanet
ถ้าเธอได้รู้ (The Secret),/music/thailyric/19692,"ถ้าเธอได้รู้ มีบางสิ่งที่อยู่ข้างใน
มันมีค่าพอรึเปล่า
ถ้าฉันต้องเก็บ ความรู้สึกที่ซ่อนเอาไว้
ฉันกลัวว่าใจ ฉันรับมันไม่ไหว

ถ้าเธอได้รู้ มีบางสิ่งที่อยู่ข้างใน
เธอยังเหมือนเดิมรึเปล่า
ถ้าฉันจะบอก ความรู้สึกที่ซ่อนเอาไว้
ฉันกลัวว่าใจ เธอไม่รับเอาไว้

ทบทวนตลอดมา จะบอกกับเธอดีไหม
หัวใจที่ใฝ่หา มีแต่เธอในใจ
เพราะเธอคงไม่อาจรู้ ถ้าไม่ยอมลองดู
เพียงเปิดใจ จะยากเย็นเท่าไร

และฉันก็ไม่รู้ว่าควรทำไง
เพราะมันเกิดคำถามขึ้นมาในใจ
แล้ววันหนึ่งตัวฉันควรบอกเธอไหม
เพราะไม่อาจต้านทาน ความรู้สึกข้างใน

ทบทวนตลอดมา จะบอกกับเธอดีไหม
หัวใจที่ใฝ่หา มีแต่เธอในใจ
เพราะเธอคงไม่อาจรู้ ถ้าไม่ยอมลองดู
เพียงเปิดใจ คงไม่ยากเท่าไร

และฉันก็ไม่รู้ว่าควรทำไง
เพราะมันเกิดคำถามขึ้นมาในใจ
แล้ววันหนึ่งตัวฉันควรบอกเธอไหม
เพราะไม่อาจต้านทาน ความรู้สึก ที่ฉันมีให้เธอ",safeplanet
นอนไม่หลับ (Melatonin),/music/thailyric/23817,"มีสิ่งที่เธอนั้นทำให้ฉันนอนไม่หลับ
กระวนกระวายระส่ำระสาย
เธอบอกความจริงที่ทำให้ฉันไปไม่ถูก
ต้องทำยังไง ไม่อาจเก็บไว้

วิญญาณหลุดลอยไป (ลอยไป)
มันล่องลอย หลุดไป ไกลแสนไกล
ฉันเองต้องตามมันไป
มันมากเกินกว่าฉันเองจะหยุดไว้

ในทุกวันและเวลา
ใจที่เคยเสียน้ำตา
เธอหยุดมันไว้ จากที่เคย
ได้กอดมันไว้ ทุกนาที

ต้องทำยังไงถึงทำให้ฉันนอนให้หลับ
ต้องทำยังไง ฉันไม่เข้าใจ

วิญญาณหลุดลอยไป (ลอยไป)
มันล่องลอย ไปไหน ไกลแสนไกล
ฉันเองต้องตามมันไป
มันยากเกินกว่าฉันเองจะหยุดไว้

ในทุกวันและเวลา
ใจที่เคยเสียน้ำตา
เธอหยุดมันไว้ จากที่เคย
ได้กอดมันไว้ ทุกนาที

ในทุกวันและเวลา
ใจที่เคยเสียน้ำตา
เธอหยุดมันไว้ จากที่เคย
ได้กอดมันไว้ ทุกนาที

ในทุกคืนที่ฉันเจออยู่
พรุ่งนี้ก็คงได้เริ่มใหม่
ไม่มีอีกแล้วจากนี้ไป
เธอกอดฉันไว้ทุกนาที",safeplanet
พริบตา (The Wind),/music/thailyric/17095,"ยังคงบอกตัวเอง
ว่าความฝันที่มีช่างงดงาม
แต่ในการเดินทาง
ฉันไม่รู้มันเป็นยังไง

ยังคงบอกตัวเอง
ฉันไม่รู้ไม่เคยเข้าใจ
ฉันยังหลอกตัวเอง
ใช่ไหม

ฟ้าครามที่เคยสว่าง
สวยงามแค่เพียงพริบตา
สองเราไม่มีวันกลับ
คืนย้อนมา

แม้ไม่มีเธอ ให้ฉันกอดเอาไว้
เธอไม่ต้องห่วง ฉันไม่เป็นอะไร
แค่เพียงรอยยิ้มเธอ จะเก็บมันไว้
แม้ไม่เป็นอย่างใจ

แม้ไม่มีเธอ ให้ฉันกอดเอาไว้
เธอไม่ต้องห่วง ฉันไม่เป็นอะไร
แค่ได้รู้จักเธอ จะเก็บมันไว้
ฉันจะเป็นเพียงลมที่พัดผ่านไป

ฟ้าครามที่เคยสว่าง
สวยงามแค่เพียงพริบตา
สองเราไม่มีวันกลับ
คืนย้อนมา (ตลอดกาล)

แม้ไม่มีเธอ ให้ฉันกอดเอาไว้
เธอไม่ต้องห่วง ฉันไม่เป็นอะไร
แค่เพียงรอยยิ้มเธอ จะเก็บมันไว้
ฉันจะยอมเข้าใจ

แม้ไม่มีเธอ ให้ฉันกอดเอาไว้
เธอไม่ต้องห่วง ฉันไม่เป็นอะไร
แค่ได้รักเธอ จะเก็บมันไว้
ฉันจะเป็นเพียงลมทีพัดผ่านไป
ฉันจะผ่านเธอไป",safeplanet
ไม่เคยเปลี่ยน (The Mountain),/music/thailyric/18949,"ใจเอ๋ยใจ เหตุใดไม่เคยได้กอดแม้ดวงดาว
ฝันที่เคยได้ฝากไว้เมื่อคราว ที่ฉันได้พบเธอ

ใจเอ๋ยใจ หากใจที่เขาให้เธอน้อยเกินไป
ฝันที่เคยได้ฝากไว้เมื่อคราว ที่เขาได้พบเธอ

แม้จะนานมันจะนานสักเท่าไร
ใจของฉันไม่เคยเปลี่ยนไป
แม้จะเป็นอย่างไร
เพียงอยากเห็นเธอมีความสุขใจ

ถึงเวลาที่เขาคงไม่อยู่ แม้ไม่อาจเปลี่ยนใจเธอก็รู้
ความหมายในใจของเขานั้นคงเปลี่ยนแปลงเป็นอื่นไป
แม้เรื่องราวของฉันไม่คงอยู่ แต่ทุกนาทีที่ฉันคอยเฝ้าดู
ความหวังในใจของฉันไม่เคยเปลี่ยนแปลงเป็นอื่นไป

และฉันนั้นยังคงหวั่นไหว เมื่อเห็นเธอที่เป็นทุกข์ใจ
และฉันนั้นคงไม่ไปไหน แม้จะนานสักเท่าไร

แม้จะนานมันจะนานสักเท่าไร
ใจของฉันไม่เคยเปลี่ยนไป
แม้จะเป็นอย่างไร
เพียงอยากเห็นเธอมีความสุขใจ

ถึงเวลาที่เขาคงไม่อยู่ แม้ไม่อาจเปลี่ยนใจเธอก็รู้
ความหมายในใจของเขานั้นคงเปลี่ยนแปลงเป็นอื่นไป
แม้เรื่องราวของฉันไม่คงอยู่ แต่ทุกนาทีที่ฉันคอยเฝ้าดู
ความหวังในใจของฉันไม่เคยเปลี่ยนแปลงเป็นอื่นไป

และฉันนั้นยังคงหวั่นไหว เมื่อเห็นเธอที่เป็นทุกข์ใจ
และฉันนั้นคงไม่ไปไหน แม้จะนานสักเท่าไร",safeplanet
