song_name,href,lyric,artist
ทุกอย่าง,/music/thailyric/5518,"จะทำทุกๆอย่าง จะทำทุกๆทาง มันทำให้ฉันนั้นรู้ดีว่า จะเป็นเช่นไร

แม้เธอจะมีใครไม่สำคัญ แค่เพียงเธอมองมาที่ฉัน เท่านั้นก็พอใจอยู่ภายใน
แม้เธอจะมีใครไม่สนใจ แม้ความเป็นจริงจะเป็นเช่นไร ไม่รู้แค่มีเธออยู่ในใจ

จะทำทุกๆอย่าง จะทำทุกๆทาง ให้เธอได้รู้สึกอบอุ่นหัวใจไปกับฉัน
แต่เราเพึ่งรู้จัก แค่มองด้วยสายตา มันทำให้ฉันนั้นรู้ดีว่า จะเป็นเช่นไร

แม้เธอจะมีใครไม่สำคัญ แค่เพียงเธอมองมาที่ฉัน เท่านั้นก็พอใจอยู่ภายใน
แม้เธอจะมีใครไม่สนใจ แม้ความเป็นจริงจะเป็นเช่นไร ไม่รู้แค่มีเธออยู่ในใจ

จะทำทุกๆอย่าง จะทำทุกๆทาง ให้เธอได้รู้สึกอบอุ่นหัวใจไปกับฉัน
แต่เราเพึ่งรู้จัก แค่มองด้วยสายตา มันทำให้ฉันนั้นรู้ดีว่า จะเป็นเช่นไร",scrubb
เข้าใจ,/music/thailyric/9927,"มองนกบินที่ลอยอยู่บนนภา
หัวใจที่เหนื่อยล้ามานานฉับพลันก็หาย
มองทะเลสีครามด้วยความเข้าใจ
ทุกๆ ความสดใสยังรอให้เราไปเจอ

สิ่งที่คิดว่าอยู่ไกล อยู่ตรงนี้ใช่ไหม

อะไรไม่ดีก็วางเอาไว้ที่กลางทาง
อาจมีบางครั้งพบกับความเหงา
และเสียใจ (แต่เดี๋ยวมันก็ผ่านไป)
แต่เราสองคนจับมือ ยอมรับและเข้าใจ
ถ้าเธอและฉันร่วมทางต่อจากนี้ไป คงถึงเวลาของเรา

มองฟ้าแล้วทำให้ใจคิดไป
ไม่มีความสุขยั่งยืน เท่าใจเราเอง
สิ่งที่คิดว่าอยู่ไกล อยู่ตรงนี้ใช่ไหม

อะไรไม่ดีก็วางเอาไว้ที่กลางทาง
อาจมีบางครั้งพบกับความเหงา
และเสียใจ (แต่เดี๋ยวมันก็ผ่านไป)
แต่เราสองคนจับมือ ยอมรับและเข้าใจ
ถ้าเธอและฉันร่วมทางต่อจากนี้ไป คงถึงเวลาของเรา

มันก็คงอย่างนี้ เดี๋ยวพอร้ายแล้วมันก็ดีมันก็เวียนหมุนไป
ใครไม่รู้พูดไว้ ชีวิตต้องเดินก้าวไปเรื่อยไปจนสุดท้าย
ยิ้มในหัวใจ ชนะในทุกๆ อย่าง

อะไรไม่ดีก็วางเอาไว้ที่กลางทาง
อาจมีบางครั้งพบกับความเหงา
และเสียใจ (แต่เดี๋ยวมันก็ผ่านไป)
แต่เราสองคนจับมือ ยอมรับและเข้าใจ
ถ้าเธอและฉันร่วมทางต่อจากนี้ไป คงถึงเวลาของเรา",scrubb
เช้า,/music/thailyric/8983,"แดดอ่อนๆ ยามเช้า ทำให้โลกครึ่งใบอุ่นไออีกครั้ง
เหมือนเวลาที่ฝนหยุด ทุกคนคงเบิกบาน ใช่ไหม
ฉันยังคงหาคำตอบ อยู่ในใจ
เดินไปหยิบหนังสือ วันนี้ยังคุ้นเคยเล่มเดิมอีกครั้ง
ย้อนมันไปที่หน้าเก่า ย้อนมันไปเรื่องเดิม ซ้ำๆ

แม้ว่านานสักเท่าไหร่ จะจดจำ
วันและเวลา นานเท่าไหร่
ที่ร่วมเดินผ่านมา ไปด้วยกัน
ฉันยังคงจดจำไม่ลืม สิ่งที่ดี ไม่ดี
ที่ทำให้มีวันนี้ นานเท่าไหร่
ที่เรายังผูกผัน มีให้กัน ที่เรายัง ไม่ทอดทิ้งกัน
ช่วยกันทำ ให้วัน วันนี้ เป็นวันที่ดี

สิ่งหนึ่งในตอนนี้ เพียงฉันมีแค่ใครสักคนเท่านั้น
ยิ้มในวันที่เราสุข ทุกข์ในวันที่เรา พลาดพลั้ง

แม้ว่านานสักเท่าไหร่ จะจดจำ
วันและเวลา นานเท่าไหร่
ที่ร่วมเดินผ่านมา ไปด้วยกัน
ฉันยังคงจดจำไม่ลืม สิ่งที่ดี ไม่ดี
ที่ทำให้มีวันนี้ นานเท่าไหร่
ที่เรายังผูกผัน มีให้กัน ที่เรายัง ไม่ทอดทิ้งกัน
ช่วยกันทำ ให้วัน วันนี้ เป็นวันที่ดี

แม้ว่านานสักเท่าไหร่ จะจดจำ
วันและเวลา นานเท่าไหร่
ที่ร่วมเดินผ่านมา ไปด้วยกัน
ฉันยังคงจดจำไม่ลืม สิ่งที่ดี ไม่ดี
ที่ทำให้มีวันนี้ นานเท่าไหร่
ที่เรายังผูกผัน มีให้กัน ที่เรายัง ไม่ทอดทิ้งกัน
ช่วยกันทำ ให้วัน วันนี้ เป็นวันที่ดี",scrubb
เพลงนั้นยังอยู่,/music/thailyric/10354,"เพลงนั้นยังอยู่ มันหลายปีผ่านมา
มันก็ยังก้องอยู่ ในความทรงจำ ที่เราได้รู้จักกัน
แต่ความหมายมันเปลี่ยน พอหลายปีผ่านไป
ใครสักคนนั่งอยู่ในความทรงจำ
เมื่อเพลงนั้นลอยผ่านมา
ได้ยิน จดจำ เรื่องราว ที่เราร่วมกันคุ้นเคย

จะนานสักเท่าไร ถึงแม้วันเปลี่ยนไป
เราก็ยังคงอยู่ใน ความทรงจำ
เมื่อเพลงนั้นลอยผ่านมา
ได้ยิน จดจำ เรื่องราว ที่เราร่วมกันคุ้นเคย

แม้ว่ามันจะผ่านไป แม้ว่ามีเหตุผลจนเกินเข้าใจ
นึกถึงเมื่อไร ยังพบเจอความหมาย วันก่อน
แม้ว่านานสักเพียงไหน ทุกๆ วันจดจำเวลานั้นไป
นานสักเท่าไร เรื่องเรานั้นยังอยู่

ที่เราร่วมกันคุ้นเคย
แม้ว่ามันจะผ่านไป แม้ว่ามีเหตุผลจนเกินเข้าใจ
นึกถึงเมื่อไร ยังพบเจอความหมาย วันก่อน
แม้ว่านานสักเพียงไหน ทุกๆ วันจดจำเวลานั้นไป
นานสักเท่าไร เรื่องเรานั้นยังอยู่

เพลงนั้นยังอยู่ มันหลายปีผ่านมา
มันก็ยังก้องอยู่ ในความทรงจำ",scrubb
รอยยิ้ม,/music/thailyric/9774,"รอยยิ้มของเธอแค่ครั้งเดียว
ทำฉันให้ลืมเรื่องราวที่ผ่านเข้ามา
ทำให้ได้รู้ว่า อะไรที่สำคัญกว่า
สิ่งใดจะมาทดแทน

เสียงของเธอแค่ครั้งเดียว
ทำฉันให้ลอยล่องไปไกลสุดสายตา
มีอะไรมากกว่า ที่เคยได้พบมา
เกินกว่าคำบรรยาย

หากตอนนี้ ลองหลับตา เห็นภาพเดิมอีกครั้ง

ฉันเพียงอยากขอหยุด เวลาไว้ก่อน
เพียงชั่วคราวหากเธอ รับรู้ว่ามันไม่ง่ายดาย เท่าเดิม
ฉันเพียงอยากขอเธอ

ยิ้มของเธอแค่ครั้งเดียว
ความหมายดีๆ ที่เราไม่อยากร่ำลา
วันหนึ่งได้รู้ว่า อะไรที่สำคัญกว่า ยังจดจำในใจ

หากตอนนี้ ลองหลับตา เห็นภาพเดิมอีกครั้ง

ฉันเพียงอยากขอหยุด เวลาไว้ก่อน
เพียงชั่วคราวหากเธอ รับรู้ว่ามันไม่ง่ายดาย เท่าเดิม
ฉันเพียงอยากขอเก็บ รอยยิ้มนี้ก่อน
รู้ว่ามีความหมาย บางอย่าง ขอแค่เรา ได้นึกถึงเวลานี้

แค่เวลาหนึ่ง บางอย่างเปลี่ยนไป แค่นาทีหนึ่ง โอ.....

ฉันเพียงอยากขอหยุด เวลาไว้ก่อน
เพียงชั่วคราวหากเธอ รับรู้ว่ามันไม่ง่ายดาย เท่าเดิม
ฉันเพียงอยากขอเก็บ รอยยิ้มนี้ก่อน
รู้ว่ามีความหมาย บางอย่าง ขอแค่เรา ได้นึกถึงเวลานี้",scrubb
รักนิรันดร์,/music/thailyric/9054,"ใจส่งถึงใจเธอ มือจับกันไว้
มองตาแล้วเข้าใจ ไม่ต้องเอ่ยคำ
เดินเกี่ยวแขนกันไปถ่ายทอดความรัก
จงอย่าสนใจใคร ฉันอยู่ใกล้เธอ

เปี่ยมด้วยความรักต่อเธอ

ขอให้ความรักที่เกิดขึ้นมานั้น อยู่ตลอดกาล
ขอให้ความรักที่เกิดขึ้นมานั้น เป็นรักนิรันดร์

คืนเปลี่ยนแม้วันผ่าน กาลเปลี่ยนปรวนแปร
รักเรามั่นคงแน่ มิเปลี่ยนแปรไป
เราหล่อหลอมดวงใจ เป็นหนึ่งเดียวกัน
คงจะไม่มีวัน เหินห่างกันไป

เปี่ยมด้วยความรักต่อเธอ

ขอให้ความรักที่เกิดขึ้นมานั้น อยู่ตลอดกาล
ขอให้ความรักที่เกิดขึ้นมานั้น เป็นรักนิรันดร์

ขอให้ความรักที่เกิดขึ้นมานั้น อยู่ตลอดกาล
ขอให้ความรักที่เกิดขึ้นมานั้น เป็นรักนิรันดร์

ใจส่งถึงใจเธอ มือจับกันไว้
มองตาแล้วเข้าใจ ไม่ต้องเอ่ยคำ",scrubb
ลม,/music/thailyric/9549,"วันเวลาที่ผ่านมาหาความหมาย
ฉันค้นพบว่าไม่นานก็เลยผ่าน
เรื่องร้ายๆที่เจอะเจอในเมื่อวาน
ถึงพรุ่งนี้ทุกอย่างมันก็พัดไป

ล้มลงมากมายเท่าไร ไม่นานก็หาย

เช่นเดียวกับสายลม ให้มันผ่านไป พัดผ่านไปทุกอย่าง
สอนเรา ให้เรียนและรู้วันใหม่
เมื่อลมได้พัดไป เรื่องราวมากมาย เพียงไม่นานก็เปลี่ยน
ถึงวัน ก็คงได้พบบางสิ่ง ที่คุุ้มจะเฝ้ารอ

มองตัวตนที่ผ่านมาหาความหมาย
ฉันค้นพบว่าที่แท้ช่างง่ายดาย

ล้มลมมากมายเท่าไร ไม่นานก็หาย

เช่นเดียวกับสายลม ให้มันผ่านไป พัดผ่านไปทุกอย่าง
สอนเรา ให้เรียนและรู้วันใหม่
เมื่อลมได้พัดไป เรื่องราวมากมาย เพียงไม่นานก็เปลี่ยน
ถึงวัน ก็คงได้พบบางสิ่ง ที่คุุ้มจะเฝ้ารอ

เช่นเดียวกับสายลม ให้มันผ่านไป พัดผ่านไปทุกอย่าง
สอนเรา ให้เรียนและรู้วันใหม่
เมื่อลมได้พัดไป เรื่องราวมากมาย เพียงไม่นานก็เปลี่ยน
ถึงวัน ก็คงได้พบบางสิ่ง ที่คุุ้มจะเฝ้ารอ",scrubb
ลึกๆ (Deep),/music/thailyric/9374,"ลึกๆ ในใจ ก็รู้กันดี
ทุกๆ นาที อาจจะมีเรื่องราว
ที่ฉันและเธอ ต้องพบต้องเจอ
วันคืนหมุนไป แต่เรายังใกล้กัน

หา ในทุกความรู้สึก
ส่วนลึก ในความคุ้นเคย
ที่ยังคงล่องลอยวนอยู่
อยากจะค้นจนเจอ

คงเป็นเพราะเวลาที่เราได้เจอกัน
หรือเพราะอารมณ์ที่ทำให้ใจฉันสั่น
ภาพเดิมๆ ชัดเจน
และเป็นช่วงเวลาที่เราได้ผูกพัน
อย่างน้อยก็มีเธอข้างกาย ฉันเข้าใจ
ไม่ต้องไปสนอะไร

ลึกๆ บางที คงถึงเวลา
พบภาพเก่าๆ ที่ยังเป็นของเรา

หา ในทุกความรู้สึก
ส่วนลึก ในความคุ้นเคย
ที่ยังคงล่องลอยวนอยู่
อยากจะค้นจนเจอ

คงเป็นเพราะเวลาที่เราได้เจอกัน
หรือเพราะอารมณ์ที่ทำให้ใจฉันสั่น
ภาพเดิมๆ ชัดเจน
และเป็นช่วงเวลาที่เราได้ผูกพัน
อย่างน้อยก็มีเธอข้างกาย ฉันเข้าใจ
ไม่ว่านานเท่าไร แค่มีเธอและฉันอยู่

คงเป็นเพราะเวลาที่เราได้เจอกัน
หรือเพราะอารมณ์ที่ทำให้ใจฉันสั่น
ภาพเดิมๆ ชัดเจน
และเป็นช่วงเวลาที่เราได้ผูกพัน
อย่างน้อยก็มีเธอข้างกาย ฉันเข้าใจ
ไม่ว่านานเท่าไร แค่มีเธอและฉันอยู่",scrubb
สุดสัปดาห์ (Weekend),/music/thailyric/5539,"คงเป็นอีกวันที่เราต้องเจอ และเต็มไปด้วยความคิด
รู้ตัวอีกที อีกวัน อีกวัน อีกวันก็พ้นไป
ติดอยู่บนหนทางห่างไกล หลงทางจนเหนื่อย
วนเวียนกว่าจะรู้ทิศทาง หนทางออก

หมุนมาอีกวัน ที่เรากำลังจะวางมันความคิด
ทบทวนอีกที อาจมีบางวันที่เรายังไม่เข้าใจ
สุดสัปดาห์ที่ฉันรอเดินผ่านมาช้าๆ
วันที่จะได้หายไป ทิ้งความวุ่นวายไม่ต้องกังวลกับใคร

ออกไปตามเสียงเพลง ที่ลอยมาแสนไกล
ให้หัวใจที่เหนื่อยจนล้าได้พักผ่อน กับวันที่มีความหมาย
จนอยากให้ทุกวันเป็นอย่างวันนี้ไป
ทุกคืนไม่อยากจะคิดอะไร
ผ่อนคลายให้ทุกอย่าง กลับมาเริ่มใหม่อีกที

และเป็นอีกวันที่เราต้องเจอ และเต็มไปด้วยความคิด
รู้ตัวอีกที อีกวัน อีกวัน อีกวันก็พ้นไป
สุดสัปดาห์ที่ฉันรอเดินผ่านมาช้าๆ
วันที่จะได้หายไป ทิ้งความวุ่นวายไม่ต้องกังวลกับใคร

ออกไปตามเสียงเพลง ที่ลอยมาแสนไกล
ให้หัวใจที่เหนื่อยจนล้าได้พักผ่อน กับวันที่มีความหมาย
จนอยากให้ทุกวันเป็นอย่างวันนี้ไป
ทุกคืนไม่อยากจะคิดอะไร
ผ่อนคลายให้ทุกอย่าง กลับมาเริ่มใหม่อีกครั้ง

อยากให้วันทุกวัน คืนที่ฉันเองรู้ดี
แค่เพียงวันหนึ่ง วันที่มีแต่ความต้องการจากใจ

ออกไปตามเสียงเพลง ที่ลอยมาแสนไกล
ให้หัวใจที่เหนื่อยจนล้าได้พักผ่อน กับวันที่มีความหมาย
จนอยากให้ทุกวันเป็นอย่างวันนี้ไป
ทุกคืนไม่อยากจะคิดอะไร
ผ่อนคลายให้ทุกอย่าง กลับมาเริ่มใหม่อีกครั้ง",scrubb
นอกหน้าต่าง,/music/thailyric/5521,"Scrub Feat. Funky Wah Wah

เช้าวันหนึ่งที่ ฉันยังไม่พร้อมจะเปิดตา
หาคำตอบชีวิต เรื่องราวมากมายของวันใหม่
ฉันยังอยู่กับฝันที่พร้อมจะเดินผ่านเข้าไป

มันเหมือนเดิม อยู่แบบนั้น
ที่พร้อมจะลุกลามออกไป
นอกหน้าต่างแบบนั้น
ที่ยังไม่มีใครได้เปิด หาทุกสิ่ง
ที่ฉันยังคงไม่มีทางจะเข้าใจ

แต่ในน้านน นั้นมีคำตอบ
คำถามที่ใครต่อใครต้องการรู้
ว่าข้างในนั้น ยังเฝ้าคอยอยู่
ในนั้นมันคืออะไร

เช้าวันหนึ่งที่
ฉันยังไม่พร้อมจะเปิดตา

หาคำตอบชีวิต
เรื่องราวมากมายของวันใหม่

ฉันยังอยู่กับฝันที่พร้อมจะเดินจากฉันไป
ฝันมันลอยอยู่บนฟ้า ที่พร้อมจะล่องลอย
อวกาศใบนั้นที่มันรวบรวมไว้ทุกสิ่ง
และทุกสิ่ง
ที่ฉันก็คงไม่มีทางเข้าใจ

แต่ในนั้นนั้นมีคำตอบ
คำถามที่ใครต่อใครต้องการรู้
ว่าข้างในนั้น ได้เฝ้าคอยอยู่

ในนั้นมันมีอะไร หรือไม่มีอะไร
บอกฉันหน่อย

เช้าวันหนึ่ง เช้าวันหนึ่ง เช้าวันหนึ่ง
เช้าวันหนึ่ง เช้าวันหนึ่ง เช้าวันหนึ่ง

แต่ในนั้น นั้นมีคำตอบ
คำถามที่ใครต่อใครต้องการรู้
ว่าข้างในนั้น ได้เฝ้าคอยอยู่
ในนั้นมันมีอะไร หรือไม่มีอะไร
บอกฉันหน่อย หรือไม่มีอะไร บอกฉันหน่อย

(บอกฉันได้ไหม)

เช้าวันหนึ่ง เช้าวันหนึ่ง เช้าวันหนึ่ง
เช้าวันหนึ่ง เช้าวันหนึ่ง เช้าวันหนึ่ง",scrubb
