song_name,href,lyric,artist
ซาตาน,/music/thailyric/11599,"เพียงแค่สบตา รู้ไหมหัวใจไหวหวั่น
ยามเราใกล้กัน รู้ไหมหัวใจสั่นไหว
ทุกครั้งที่ใกล้เธอ ทุกทีที่เธอยิ้มให้
เธอรู้บ้างไหม หัวใจของฉันเต้นแรง

อยากบอกให้เธอรู้
ว่าคิดถึงเธอเหลือเกิน
ทุกทีที่เดิน
อยากมีแค่เธอเคียงข้าง
อยากบอกให้เธอรู้
ถ้าฉันมีเธอร่วมทาง
จะรักเพียงแต่เธอ รักเธอ
รักเธอคนเดียว

เธอเป็นบ้างไหม ทุกครั้งที่เราได้เจอ
หรือฉันมันพร่ำเพ้อ
เพ้อเจ้อไปเองข้างเดียว
ยามเราใกล้กัน สะท้านหัวใจหวั่นไหว
ช่วยบอกหน่อยนะ
ว่าเธอมีใครอยู่ในหัวใจหรือเปล่า

อยากบอกให้เธอรู้
ว่าคิดถึงเธอเหลือเกิน
ทุกทีที่เดิน อยากมีแค่เธอเคียงข้าง
อยากบอกให้เธอรู้
ถ้าฉันมีเธอร่วมทาง
จะรักเพียงแต่เธอ
รักเธอ รักเธอคนเดียว

(กรีน) เธอเป็นบ้างไหม
ทุกครั้งที่เราได้เจอ
หรือฉันมันพร่ำเพ้อ
เพ้อเจ้อไปเองข้างเดียว
ยามเราใกล้กัน
มันสะท้านหัวใจหวั่นไหว
ช่วยบอกหน่อยนะ
ว่าเธอมีใครอยู่ในหัวใจหรือเปล่า

อยากบอกให้เธอรู้
ว่าคิดถึงเธอเหลือเกิน
ทุกทีที่เดิน
อยากมีแค่เธอเคียงข้าง
อยากบอกให้เธอรู้
ถ้าฉันมีเธอร่วมทาง
จะรักเพียงแต่เธอ
รักเธอ รักเธอคนเดียว

อยากบอกให้เธอรู้ 
(อยากบอกให้เธอรู้)
ว่าคิดถึงเธอเหลือเกิน
ทุกทีที่เดิน
อยากมีแค่เธอเคียงข้าง
อยากบอกให้เธอรู้
(อยากบอกให้เธอรู้)
ถ้าฉันมีเธอร่วมทาง
จะรักเพียงแต่เธอ
รักเธอ รักเธอคนเดียว",sek_loso
อ้อนวอน,/music/thailyric/11685,"หากเป็นฉัน ที่ทำให้เธอเสียใจ
ช่วยบอกได้ไหม ฉันจะได้ทำตัวถูก
พูดมาเลย ว่าหมดรักและพันผูก
พูดตรงๆ ไม่ต้องเกรงใจ

หากเธอคิด ว่าฉันนั้นไร้ค่า
พูดคำลา แล้วก็เดินจากไป
อยากไปจำ ว่าฉันควรทำอะไร
เคยรักเธอเท่าไร ลืมฉันไปได้เลย

แต่อยากขอร้องเธอ สักนิดนะเออ
อย่าทำร้ายกันมากไป
หากส่วนลึกในหัวใจ
ฉันเคยเป็นใคร ที่เธอเคยรัก

แต่อยากขอร้องเธอ สักนิดนะเออ
อย่าทำร้ายกันมากไป
หากส่วนลึกในหัวใจ
ฉันเคยเป็นใคร ที่เธอเคยรัก

จากวันนี้ ฉันคงต้องไป
จะไปให้ไกล ให้ไกลจากหน้าเธอ
เมื่อไม่รักกันแล้ว ฉันคงไม่พร่ำเพ้อ
จะไม่อ้อนวอนใจเธอเมตตา

เมื่อไม่รักกันแล้ว ฉันคงไม่พร่ำเพ้อ
จะไม่อ้อนวอนใจคืนกลับมา",sek_loso
อาจเป็นเพราะรักเธอ,/music/thailyric/11831,"ไม่รู้ว่านานเท่าไร ที่เราไม่ได้พบกัน
ฉันไม่เคยลืมคืนวัน ที่เราสองเคียงข้าง
รอยยิ้มที่เธอส่งมา ทำให้ฉันหวั่นไหว
ที่ไม่เคยเป็นกับใคร นอกจากเธอคนเดียว

อาจเป็นเพราะรักเธอ ฉันไม่เคยรักใคร
อาจเป็นเพราะหัวใจ ฉันยังคงรักเธอ
โปรดจงรับรู้ ไว้นะเออ
ใจฉันมีเพียงแต่เธอ แค่คนเดียว

ถ้าพบเจออีกสักครา ได้มองตาอีกสักที
เปิดเผยความรู้สึกดีๆ ที่มีต่อเธอ
รอยยิ้มที่เธอส่งมา ยิ่งคิดฉันยิ่งหวั่นไหว
ที่ไม่เคยรู้สึกกับใคร นอกจากเธอคนเดียว

อาจเป็นเพราะรักเธอ ฉันไม่เคยรักใคร
อาจเป็นเพราะหัวใจ ฉันยังคงรักเธอ
โปรดจงรับรู้ ไว้นะเออ
ใจฉันมีเพียงแต่เธอ แค่คนเดียว

อาจเป็นเพราะรักเธอ ฉันไม่เคยรักใคร
อาจเป็นเพราะหัวใจ ฉันยังคงรักเธอ
โปรดจงรับรู้ ไว้นะเออ
ใจฉันมีเพียงแต่เธอ แค่คนเดียว

อาจเป็นเพราะรักเธอ ฉันไม่เคยรักใคร
อาจเป็นเพราะหัวใจ ฉันยังคงรักเธอ
โปรดจงรับรู้ ไว้นะเออ
ใจฉันมีเพียงแต่เธอ แค่คนเดียว",sek_loso
เกลียดตัวเอง,/music/thailyric/5685,"เจ็บนักครั้งนี้ใจที่มีฉันแทบพัง
เธอมาทิ้งขว้างอย่างรุนแรง
ให้ใจเธอไปไม่แม้เคยคิดระแวง
ผ่านมาเธอแกล้งมีใจ

กว่าจะรู้ก็สายไป หักห้ามใจไว้ไม่ทัน
เมื่อไม่รัก..ไม่รักกัน ช่วยฆ่าฉันทีได้ไหม
ฉันอยากไป ฉันอยากไป ฉันอยากไปไกลจากเธอ
อยากจะไปไม่ขอเจอ เจอะหน้าเธอคนใจร้าย ฉันอยากตาย

เกลียดตัวเราเองที่คอยทำดีเรื่อยมา
คอยเป็นเหมือนหมารับใช้เธอ
ชาติหน้าฉันท์ใดขออย่าตามมาพบเจอ
ลาทีนะเออลาจากไกล

กว่าจะรู้ก็สายไป หักห้ามใจไว้ไม่ทัน
เมื่อไม่รัก..ไม่รักกัน ช่วยฆ่าฉันทีได้ไหม
ฉันอยากไป ฉันอยากไป ฉันอยากไปไกลจากเธอ
อยากจะไปไม่ขอเจอ เจอะหน้าเธอคนใจร้าย ฉันอยากตาย

เกลียดตัวเราเองที่คอยทำดีเรื่อยมา
คอยเป็นเหมือนหมารับใช้เธอ
ชาติหน้าฉันท์ใดขออย่าตามมาพบเจอ
ลาทีนะเออลาจากไกล

กว่าจะรู้ก็สายไป หักห้ามใจไว้ไม่ทัน
เมื่อไม่รัก..ไม่รักกัน ช่วยฆ่าฉันทีได้ไหม
ฉันอยากไป ฉันอยากไป ฉันอยากไปไกลจากเธอ
อยากจะไปไม่ขอเจอ เจอะหน้าเธอคนใจร้าย ฉันอยากตาย

ฉันอยากตาย..ฉันอยากตาย..ฉันอยากตาย",sek_loso
พรุ่งนี้,/music/thailyric/5694,"พรุ่งนี้ฉันต้องลาก่อน พรุ่งนี้ฉันต้องจากเธอไป
ไม่รู้จะอีกนานซักเท่าไหร่ ยอดดวงใจจะกลับมาเจอ
ห่วงเธอที่คงคิดไม่ต่าง ห่วงเธอตอนที่ฉันไม่อยู่
ฝากฟ้า เดือนและดาวช่วยดู ให้เธอรู้ว่าฉันจะคิดถึง

เพราะฉันเป็นของเธอ เพราะเธอเป็นของฉัน
เพราะเราเป็นของกัน ไม่มีวันจะเปลี่ยนไป
สัญญาเป็นสัญญาว่าจะมาพบกันใหม่
จากเพียงตัวฝากหัวใจ ฝากไว้ให้เธอช่วยดูแล
ขอบคุณกับความรักที่มี ขอบคุณกับหัวใจที่มอบให้
จากกันเพื่อจะมาพบกันใหม่ ห่างเพียงกายแต่ใจเราผูกพัน

เพราะฉันเป็นของเธอ เพราะเธอเป็นของฉัน
เพราะเราเป็นของกัน ไม่มีวันจะเปลี่ยนไป
สัญญาเป็นสัญญาว่าจะมาพบกันใหม่
จากเพียงตัวฝากหัวใจ ฝากไว้ให้เธอช่วยดูแล
ขอบคุณกับความรักที่มี ขอบคุณกับหัวใจที่มอบให้
จากกันเพื่อจะมาพบกันใหม่ ห่างเพียงกายแต่ใจเราผูกพัน

หากวันใดเธอนั้นสับสน ให้เธอมองดาวบนฟ้า
ก็จะเห็นฉันส่งยิ้มมา ให้เธอได้สุขใจ

เพราะฉันเป็นของเธอ เพราะเธอเป็นของฉัน
เพราะเราเป็นของกัน ไม่มีวันจะเปลี่ยนไป
สัญญาเป็นสัญญาว่าจะมาพบกันใหม่
จากเพียงตัวฝากหัวใจ ฝากไว้ให้เธอช่วยดูแล
ขอบคุณกับความรักที่มี ขอบคุณกับหัวใจที่มอบให้
จากกันเพื่อจะมาพบกันใหม่ ห่างเพียงกายแต่ใจเราผูกพัน",sek_loso
14 อีกครั้ง,/music/thailyric/5682,"ครั้งแรกที่เราได้เจอะกันวันนั้น
เธอเป็นเหมือนฝันที่ฉันตามหา
เมื่อฉันมองเธอ เธอประสานสายตาต่อตา

จากรอยยิ้มที่เธอส่งมา จากเวลาที่เราใกล้กัน
จับมือเธอไว้ข้างใจฉันแค่นาที

เธอทำให้ฉันรู้สึกเหมือนตอน 14
ตอนที่ฉันมีแฟนคนแรก
ลึกๆ ข้างในมันหวั่นมันไหวแปลกๆ
เธอรู้ไหมฉันเหมือน 14 อีกครั้ง
อารมณ์แบบนี้มันหายไปสักพัก
เคยมีคนรักก็โดนเขาหักอก
เจ็บปวดแทบตายที่ข้างในยังช้ำฟกไม่หาย

จากรอยยิ้มที่เธอส่งมา จากเวลาที่เราใกล้กัน
จับมือเธอไว้ข้างใจฉันแค่นาที

เธอทำให้ฉันรู้สึกเหมือนตอน 14
ตอนที่ฉันมีแฟนคนแรก
ลึกๆ ข้างในมันหวั่นมันไหวแปลกๆ
เธอรู้ไหมฉันเหมือน 14 อีกครั้ง
อารมณ์แบบนี้มันหายไปสักพัก
เคยมีคนรักก็โดนเขาหักอก
เจ็บปวดแทบตายที่ข้างในยังช้ำฟกไม่หาย

จากรอยยิ้มที่เธอส่งมา จากเวลาที่เราใกล้กัน
จับมือเธอไว้ข้างใจฉันแค่นาที

เธอทำให้ฉันรู้สึกเหมือนตอน 14
ตอนที่ฉันมีแฟนคนแรก
ลึกๆ ข้างในมันหวั่นมันไหวแปลกๆ
เธอรู้ไหมฉันเหมือน 14 อีกครั้ง
อารมณ์แบบนี้มันหายไปสักพัก
เคยมีคนรักก็โดนเขาหักอก
เจ็บปวดแทบตายที่ข้างในยังช้ำฟกไม่หาย

เธอทำให้ฉันรู้สึกเหมือนตอน 14
ตอนที่ฉันมีแฟนคนแรก
ลึกๆ ข้างในมันหวั่นมันไหวแปลกๆ
เธอรู้ไหมฉันเหมือน 14 อีกครั้ง
อารมณ์แบบนี้มันหายไปสักพัก
เคยมีคนรักก็โดนเขาหักอก
เจ็บปวดแทบตายที่ข้างในยังช้ำฟกไม่หาย",sek_loso
9:40,/music/thailyric/5683,"ตื่นตอนเช้า เก้าโมงสี่สิบ
หยิบหนังสือพิมพ์ขึ้นมาอ่าน
ข่าวพาดหัว นั้นทำให้ใจหวั่น
เตือนให้ฉันต้องระวัง

เปิดหน้ากลาง เพื่อดูรายละเอียด
อยากจะรู้เรื่องราวเป็นเช่นไร
อ่านแล้วท้อ ยิ่งไม่สบายใจ
ทำไมเราต้องรบกัน

เนื้อความใน บอกไฟกำลังลุก มีคนปลุกระดม
เขาพาคนปล้นปืนเอาไปใช้ ทำลายไทยด้วยกัน
เหมือนโดนเหยียบเข้าไป กลางใจฉัน
มันร้องลั่นว่า...ไม่ยอม

เปิดไปตรงที่หน้าบันเทิง เผื่อจะ feel ดีขึ้นมาหน่อย
อาจจะเจอ เจอเธอที่เฝ้าคอย ใจดวงน้อยมันต้องการ

เพราะข้างใน บอกไฟกำลังลุก เธอมาปลุกระดม
แม้มีคนปล้นเธอเอาไปใช้ ทำลายชายด้วยกัน
เหมือนโดนเหยียบ(เสียบ)เข้าไปกลางใจฉัน
มันร้องลั่นว่า...ไม่ยอม

เพราะข้างใน บอกไฟกำลังลุก เธอมาปลุกระดม
แม้มีคนปล้นเธอเอาไปใช้ ทำลายชายด้วยกัน
เหมือนโดนเหยียบ(เสียบ)เข้าไปกลางใจฉัน
มันร้องลั่นว่า...ไม่ยอม

ไม่ยอม

ก่อนเข้านอนเที่ยงคืนสี่สิบ หยิบรูปเธอขึ้นมาดู",sek_loso
คิดได้ยังไง,/music/thailyric/5686,"พอได้ยินข่าว  ว่าเธอมีคนใหม่
ฉันแทบขาดใจ ไม่คิดว่าจะเป็นจริง
ให้เธอทุกอย่าง  ได้ทุก ๆ สิ่ง
แต่แท้จริงไม่เคยได้ใจของเธอ

แอบมีเขาซ่อนไว้  ที่ตรงภายในตลอด
กอดกับฉันแต่ไม่รู้  คิดถึงใคร

ไม่เคยรู้จริง ๆ เธอไม่รักกันเลย
ไม่เคย  แม้จะคิดระแวง
ไปกับใครคนอื่น  ก็เจ็บช้ำรุนแรง
กับเขาคนที่เป็นเพื่อนฉัน  เธอคิดได้ยังไง

ทั้งเขาและเธอ  เป็นเหมือนหัวใจ
รักมากแค่ไหน  เสียใจยิ่งมากกว่านั้น
คนที่ไว้ใจ  ไม่น่าทำกัน
ซักวันจะรู้เมื่อเจอเข้าเอง

แอบมีเขาซ่อนไว้  ที่ตรงภายในตลอด
กอดกับฉันแต่ไม่รู้  คิดถึงใคร

ไม่เคยรู้จริง ๆ เธอไม่รักกันเลย
ไม่เคย  แม้จะคิดระแวง
ไปกับใครคนอื่น  ก็เจ็บช้ำรุนแรง
กับเขาคนที่เป็นเพื่อนฉัน  เธอคิดได้ยังไง

ไม่เคยรู้จริง ๆ เธอไม่รักกันเลย
ไม่เคย  แม้จะคิดระแวง
ไปกับใครคนอื่น  ก็เจ็บช้ำรุนแรง
กับเขาคนที่เป็นเพื่อนฉัน  เธอคิดได้ยังไง

ไม่เคยรู้จริง ๆ เธอไม่รักกันเลย
ไม่เคย  แม้จะคิดระแวง
ไปกับใครคนอื่น  ก็เจ็บช้ำรุนแรง
กับเขาคนที่เป็นเพื่อนฉัน  เธอคิดได้ยังไง

โอ้  เธอคิดได้อย่างไร  เธอ เธอคิดได้ยังไง
โอ๊ย  เธอคิดได้ยังไง",sek_loso
คืนวันเสาร์,/music/thailyric/5687,"เป็นคืนวันเสาร์ ที่เหงาจับใจ
มองไปทางไหน ไม่ใสสดตา
ทำงานเหนื่อยนัก อยากพักสักครา
เธอคนเดียวหนา ที่ฉันต้องเจอ...

โทรไปกี่ครั้ง ก็ไม่ใส่ใจ
หรือว่าพูดสาย กับใครกันหนา
คุยเรื่องอะไร รู้ไหมอิจฉา
ช่วยโทรกลับมา ถ้าได้รับข้อความ

หรือเธอมีนัด ปฎิวัติกับใคร
ลืมไปใช่ไหม ว่าฉันห่วงหา
คงไปกับเขา เธอถึงไม่มา
บินไปบนฟ้า ถลาแล่นลม

ไม่มาคืนนี้ คงต้องจบกัน
จะไม่ร่วมฝัน กับเธอต่อไป
ลืมคนอย่างเธอ ที่แสนใจร้าย
ให้ไปเท่าไร ไม่ได้ ไม่คืน....เย้....เฮ..",sek_loso
ต้องทำได้,/music/thailyric/5690,"จำต้องจากบ้านมา จำต้องลาแสนไกล
มีแค่ตัว หัวใจ สั่งให้ไป ให้อดทน

แม้อากาศ หนาวเหน็บ ถึงจะเจ็บเข้ากระดูก
แม้ถ้อยคำ เขาดูถูก มันเสียดแทง ที่จิตใจ

แต่ฉันต้องไป ต้องไปให้ถึง
แม้ต้องแลกกับสิ่งที่ฉันมีอยู่
ลึกๆ ข้างใน ที่ใครไม่รู้
ชีวิตยังอยู่ ฉันรู้ต้องทำได้

แม้จะห่วงแสนห่วง แม้จะห่างแสนไมล์
ขอแค่เธอเข้าใจ ว่ารักเธอไม่เปลี่ยนแปลง

แต่ฉันต้องไป ต้องไปให้ถึง
แม้ต้องแลกกับสิ่งที่ฉันมีอยู่
ลึกๆ ข้างใน ที่ใครไม่รู้
ชีวิตยังอยู่ ฉันรู้ต้องทำได้

แม้จะห่วงแสนห่วง แม้จะห่างแสนไมล์
ขอแค่เธอเข้าใจ ว่ารักเธอไม่เปลี่ยนแปลง

แต่ฉันต้องไป ต้องไปให้ถึง
แม้ต้องแลกกับสิ่งที่ฉันมีอยู่
ลึกๆ ข้างใน ที่ใครไม่รู้
ชีวิตยังอยู่ ฉันรู้ต้องทำได้

แต่ฉันต้องไป ต้องไปให้ถึง
แม้ต้องแลกกับสิ่งที่ฉันมีอยู่
ลึกๆ ข้างใน ที่ใครไม่รู้
ชีวิตยังอยู่ ฉันรู้ต้องทำได้

ชีวิตยังอยู่ ฉันรู้ต้องทำได้
ใจมันรู้อยู่ มันรู้ว่าไม่ง่าย
แต่ชีวิตยังอยู่ ฉันรู้ต้องทำได้
แม้คิดถึงเธอ และคิดถึงเมืองไทย
คิดถึงทั้งเธอ และคิดถึงเมืองไทย
คิดถึงทั้งเธอ และคิดถึงเมืองไทย",sek_loso
