song_name,href,lyric,artist
กูดบาย (Goodbye),/music/thailyric/10469,"จบลงแล้ว ไม่ว่าเพราะเหตุใดก็ตาม
จบลงแล้ว เรื่องราวของสองเรา

เพียงพอแล้ว ขอบคุณเธอที่ทำทุกอย่าง
ให้ฉันไม่ต้องค้างคา อีกต่อไป

พยายามกลั่นกรองหัวใจ ให้มันชัดเจนยิ่งกว่าครั้งใด
กลายเป็นคำแทนความรู้สึกสุดท้าย ส่งไปถึงเธอ

Goodbye, goodbye, my love ฉันจะจำเธออย่างนี้
Goodbye, goodbye, baby ที่สุดปลายทางของเรา
Goodbye, goodbye, my love และฉันคงต้องเดินต่อไป
Goodbye, goodbye, baby ขอบคุณที่เคยรักกัน

เข้าใจแล้ว ยินดีต้อนรับคำคืนว่างเปล่า
ฉันมีหยดน้ำตา เป็นหมู่ดาว

พยายามกลั่นกรองหัวใจ ให้มันชัดเจนยิ่งกว่าครั้งใด
กลายเป็นคำแทนความรู้สึกสุดท้าย ส่งไปถึงเธอ

Goodbye, goodbye, my love ฉันจะจำเธออย่างนี้
Goodbye, goodbye, baby ที่สุดปลายทางของเรา
Goodbye, goodbye, my love และฉันคงต้องเดินต่อไป
Goodbye, goodbye, baby ขอบคุณที่เคยรักกัน

พยายามกลั่นกรองหัวใจ ให้มันชัดเจนยิ่งกว่าครั้งใด
กลายเป็นคำแทนความรู้สึกสุดท้าย ส่งไปถึงเธอ

Goodbye, goodbye, my love ฉันจะจำเธออย่างนี้
Goodbye, goodbye, baby ที่สุดปลายทางของเรา
Goodbye, goodbye, my love และฉันคงต้องเดินต่อไป อีกแสนไกล
Goodbye, goodbye, baby ขอบคุณที่เคยรักกัน",sin_singular
ฉันเป็นใครสำหรับเธอ,/music/thailyric/10976,"อยู่ๆ หัวใจ ปั่นป่วนข้างใน
อาจเป็นเพราะวัน ที่เปลี่ยนไป
หรือใครเล่นกล เวทมนตร์จางหาย
สั่นตัวตนของฉันที่มี สิ่งเหล่านี้มันคืออะไร

ถามเธอ ถามเธอหน่อย
อย่าปล่อยให้ฉันล่องลอย คิดมากจนปวดใจ
ย้ำเธอ ย้ำฉันใหม่ ถ้าไม่ได้รบกวนเธอมากไป

ว่าตัวของฉันนั้นเป็นใครสำหรับเธอ
ยังมองฉันเหมือนที่เคยอยู่เท่าไร
อยากให้เธอพูดมาตามตรงจะได้ไหม
เมื่อเธอลองค้นลงในใจ
มันยังมีฉันอยู่ข้างใน หรือเปล่า

ไม่ค่อยแน่ใจ Are we alright
ก็ดูเหมือนเธอ ที่ใจร้าย
หรือเป็นที่ฉัน นั้นทำผิดไป
กับอาการของเธอที่มี สิ่งเหล่านี้มันคืออะไร

ถามเธอ ถามเธอหน่อย
อย่าปล่อยให้ฉันล่องลอย คิดมากจนปวดใจ
ย้ำเธอ ย้ำฉันใหม่ ถ้าไม่ได้รบกวนเธอมากไป

ว่าตัวของฉันนั้นเป็นใครสำหรับเธอ
ยังมองฉันเหมือนที่เคยอยู่เท่าไร
อยากให้เธอพูดมาตามตรงจะได้ไหม
เมื่อเธอลองค้นลงในใจ
มันยังมีฉันอยู่ข้างใน หรือเปล่า หรือเปล่า

ว่าตัวของฉันนั้นเป็นใครสำหรับเธอ
เธอยังมองฉันเหมือนที่เคยอยู่เท่าไร
อยากให้เธอพูดมาตามตรงจะได้ไหม
เมื่อเธอลองค้นลงในใจ
มันยังมีฉันอยู่ข้างใน หรือเปล่า หรือเปล่า",sin_singular
เพลงรัก,/music/thailyric/10646,"นี่คือเพลงรัก ที่เขียนอยู่แสนนาน
อยู่ในใจฉัน ใจความสำคัญยังขาดหาย
ทุกสิ่งที่คิด เริ่มพังทลาย
กระจัดกระจาย ควบคุมเท่าไร ก็ไม่ทัน
ตั้งแต่พบเจอความเป็นจริง ว่าเธอไม่เคยต้องการ
แม้ฉันเติมมันด้วยคำๆ ไหน

ยังไม่รู้จริงๆ ต้องทำอย่างไร
เมื่อได้รู้ ปลายทาง ไม่มีเส้นชัย
ได้แต่ขอ ดูแล รักเธอ แค่เพียงไกลๆ
และยังเก็บอยู่ในใจ ตลอดมา

ทุกสิ่งที่คิด เริ่มพังทลาย
กระจัดกระจาย ควบคุมเท่าไร ก็ไม่ทัน
ไม่อาจต้านทานความเป็นจริง ว่าเธอไม่เคยต้องการ
แม้ฉันเติมมันด้วยคำๆ ไหน

ยังไม่รู้จริงๆ ต้องทำอย่างไร
เมื่อได้รู้ ปลายทาง ไม่มีเส้นชัย
ได้แต่ขอ ดูแล รักเธอ แค่เพียงไกลๆ
และยังเก็บอยู่ในใจ ตลอดมา

ได้แต่ขอ ดูแล รักเธอ แค่เพียงไกลๆ
และยังเก็บอยู่ในใจ ตลอดมา",sin_singular
แล้วแต่ (Up2U),/music/thailyric/10803,"เวลาที่มี อีกเพียงไม่นาน ก่อนที่เรานั้นจะต้องจากกัน
โปรดอย่าอ้อมค้อม มันจะไม่ทัน
แค่สบตาคู่นั้นฉันก็รู้ว่ามีอะไร

แม้ฉันไม่เคยยอมจะทำเพื่อใคร
ถ้าฉันไม่มีใจ ก็ไม่มีข้อแม้
แต่ไม่รู้ตอนนี้เหตุใดฉันปรวนแปร
เอาเป็นว่าฉันนั้นจะตามใจเธอ

เพราะในค่ำคืนนี้ทำอะไรได้หลายอย่าง
ไม่อยากให้เธอนั้นต้องทนเก็บเอาไว้
ถ้าหากเธอนั้นพร้อม แต่เธอไม่ค่อยแน่ใจ
อยากให้รู้ไว้ ว่าฉันจะแล้วแต่เธอ

เวลาที่มี อีกเพียงไม่นาน ก่อนที่ตัวฉันจะเดินจากไป
หากเธอแค่ลอง ไม่ยากอะไร
แค่สบตาฉันแล้วพูดสิ่งที่คิดออกมา

แม้ฉันไม่เคยยอมจะทำเพื่อใคร
ถ้าฉันไม่มีใจ ก็ไม่มีข้อแม้
แต่ไม่รู้ตอนนี้เหตุใดฉันปรวนแปร
เอาเป็นว่าฉันนั้นจะตามใจเธอ

เพราะในค่ำคืนนี้ทำอะไรได้หลายอย่าง
ไม่อยากให้เธอนั้นต้องทนเก็บเอาไว้
ถ้าหากเธอนั้นพร้อม แต่เธอไม่ค่อยแน่ใจ
อยากให้รู้ไว้ ว่าฉันจะแล้วแต่เธอ

เพราะในค่ำคืนนี้ทำอะไรได้หลายอย่าง
ไม่อยากให้เธอนั้นต้องทนเก็บเอาไว้
ถ้าหากเธอนั้นพร้อม แต่เธอไม่ค่อยแน่ใจ
อยากให้รู้ไว้ ว่าฉันจะแล้วแต่เธอ

เพราะในค่ำคืนนี้ทำอะไรได้หลายอย่าง
ไม่อยากให้เธอนั้นต้องทนเก็บเอาไว้
ถ้าหากเธอนั้นพร้อม แต่เธอไม่ค่อยแน่ใจ
อยากให้รู้ไว้ ว่าฉันจะแล้วแต่เธอ
แล้วแต่เธอ",sin_singular
อย่าลืมฉัน,/music/thailyric/20171,"ต้องกลายเป็นแค่คนรู้จัก
จากที่เคยรักกันมานาน
มันไม่เหมือนเดิมเเล้วสักอย่าง

ต้องเริ่มชินกับความเหินห่าง
อย่างที่มันก็ควรเป็นไป
ก้มหน้าทนต่อไปเท่านั้น

ขออย่างเดียวให้เธอรับปาก ก่อนจากกันไป
ของอย่างเดียวว่าเธออย่าลืมกันไปละกัน

อย่าลืมฉันขอแค่นั้น ว่าเธออย่ามองฉันเป็นคนอื่น
ถ้าเจอกันเธอคงไม่ฝืน และพอจะยิ้มให้ชื่นใจ
อย่าลืมฉันหวังว่าแค่นานๆ จะคิดถึงกันก็ได้
ต่อให้ไกลกันไปแค่ไหนหรือมีคนใหม่ข้างๆ เธอ

ไม่ต้องรักกันเหมือนเมื่อก่อน
ไม่อ้อนวอนให้เธอคืนดี ทำได้ดีที่สุดเท่านั้น

อย่าลืมฉันขอแค่นั้น ว่าเธออย่ามองฉันเป็นคนอื่น
ถ้าเจอกันเธอคงไม่ฝืน และพอจะยิ้มให้ชื่นใจ
อย่าลืมฉันหวังว่าแค่นานๆ จะคิดถึงกันก็ได้
ต่อให้ไกลกันไปแค่ไหนหรือมีคนใหม่ข้างๆ เธอ

อย่าลืมฉันขอแค่นั้น ว่าเธออย่ามองฉันเป็นคนอื่น
เจอะเจอกันเธอคงไม่ฝืนและพอจะยิ้มให้ชื่นใจ
อย่าลืมฉันหวังว่าแค่นานๆ จะคิดถึงกันก็ได้
ต่อให้ไกลกันไปแค่ไหนหรือมีคนใหม่ข้างๆ เธอ

อย่าลืมฉันหวังว่าแค่นานๆ จะคิดถึงกันก็ได้
ต่อให้ไกลกันไปแค่ไหนหรือมีคนใหม่ข้างๆ เธอ",sin_singular
Colors,/music/thailyric/12891,"ฉันไม่รู้ว่าตั้งแต่เมื่อไร
โลกกลายเป็นสีเทา
มองไปที่ใดก็เจอแต่ความว่างเปล่า
ไม่เป็นเหมือนเก่า

เหมือนคนที่เดินเข้ามา
และเดินจากฉันไป
หยิบเอาสีสันที่มี
ข้างในหัวใจ ออกไป

เรี่ยวแรงในใจที่มี
มันเบาบางเหลือเกิน
และการรอคอยนานๆ
มันไม่เคยเพลิดเพลิน
ให้ใครบางคนมา
เติมเต็มตัวฉันคนเดิม
ให้คืนกลับมา

จะออกไป ไปหาเธอ
สีสันที่ขาดหายไป
ไปกับความรักและหัวใจ
ของวันเวลาที่มีแต่น้ำตา

อยู่ตรงนั้น มีรึเปล่า
ฉันจะเดินทางแสนไกล
ไปเก็บความรักที่หายไป
ระบายสีภาพที่วาดในหัวใจ
อีกครั้งหนึ่ง

เรี่ยวแรงในใจที่มี
มันเบาบางเหลือเกิน
และการรอคอยนานๆ
มันไม่เคยเพลิดเพลิน
ให้ใครบางคนมา
เติมเต็มตัวฉันคนเดิม
ให้คืนกลับมา

จะออกไป ไปหาเธอ
สีสันที่ขาดหายไป
ไปกับความรักและหัวใจ
ของวันเวลาที่มีแต่น้ำตา

อยู่ตรงนั้น มีรึเปล่า
ฉันจะเดินทางแสนไกล
ไปเก็บความรักที่หายไป
ระบายสีภาพที่วาดในหัวใจ
อีกครั้งหนึ่ง

อยู่ตรงนั้น มีรึเปล่า
ฉันจะเดินทางแสนไกล
ไปเก็บความรักที่หายไป
ระบายสีภาพที่วาดในหัวใจ
อีกครั้งหนึ่ง",sin_singular
Fake (เฟค),/music/thailyric/16037,"เธอยืนต่อหน้าฉัน
เธอยืนต่อหน้าฉัน
และบอกว่าเธอรักกันตั้งเท่าไร
พอเธออยู่กับใคร
พอเธออยู่กับใคร
ก็พูดถึงกันเหมือนฉันเป็นผู้ร้าย

แค่ห่วงเธอว่าจะเหนื่อยบ้างไหม
ที่ต้องทำเป็นคนใสใส
หลอกกันว่าดีออก
ที่ผ่านมาตัวฉันไม่เป็นไร
ยิ่งกว่าเธอ ก็ยังสบาย
แค่นี้เหรอ กระจอก (จะบอกไว้)

เธอเป็นแค่หนึ่งใน
Fake Boy Fake Girl
ที่เจอได้ตามทั่วๆ ไป
Fake Boy Fake Girl
ที่ใครก็ไม่ควรใส่ใจ
Fake Boy Fake Girl
จะให้ฉันรักเธอได้ไง
Fake Boy Fake Girl

ในเมื่อคนๆ เดียวที่เธอรัก
คือตัวเธอก็เท่านั้นเอง

ก็แล้วแต่เธอนะ
ก็แล้วแต่เธอนะ
โชคดีแล้วกันขอให้เธอปลอดภัย
ดูแลตัวเองไว้
ดูแลตัวเองไว้
เพราะอีกไม่นานที่เธอจะไม่เหลือใคร

ฉันห่วงเธอว่าจะเหนื่อยบ้างไหม
ที่ต้องทำเป็นคนใสๆ
หลอกกันว่าดีออก
ที่ผ่านมาตัวฉันไม่เป็นไร
ยิ่งกว่าเธอ ก็ยังสบาย
แค่นี้เหรอ กระจอก (จะบอกไว้)

เธอเป็นแค่หนึ่งใน
Fake Boy Fake Girl
ที่เจอได้ตามทั่วๆ ไป
Fake Boy Fake Girl
ที่ใครก็ไม่ควรใส่ใจ
Fake Boy Fake Girl
จะให้ฉันรักเธอได้ไง
Fake Boy Fake Girl

ในเมื่อคนๆ เดียวที่เธอรัก
คือตัวเธอก็เท่านั้นเอง

เธอเป็นแค่หนึ่งใน
Fake Boy Fake Girl
ที่เจอได้ตามทั่วๆ ไป
Fake Boy Fake Girl
ที่ใครก็ไม่ควรใส่ใจ
Fake Boy Fake Girl
จะให้ฉันรักเธอได้ไง
Fake Boy Fake Girl

ในเมื่อคนๆ เดียวที่เธอรัก
คือตัวเธอก็เท่านั้นเอง

Fake Boy Fake Girl
Fake Boy Fake Girl
ที่ใครก็ไม่ควรใส่ใจ
Fake Boy Fake Girl
จะให้ฉันรักเธอได้ไง
Fake Boy Fake Girl

ในเมื่อคนๆ เดียวที่เธอรัก
คือตัวเธอก็เท่านั้นเอง",sin_singular
Game Over,/music/thailyric/13302,"I knew you might break me
You were dangerous
But i let you in I played alone

Coming together
Such a sweet mistake
And I'm ready for the fall

There's something inside you
No one can break through
I'll never win the game of your heart

And now it's over
This game is over
Who will be the loser
When I'm gone gone gone

Remember the first time
When you were mine
It was beautiful at it's start

The future was open
Wild and innocent
But we tore it all apart

I wanted to save you
From all that you'd been through
I was just a victim of your crime

And now it's over
This game is over
Who will be the loser
When I'm gone gone gone

And now it's over
This game is over
Who will be the loser
When I'm gone gone gone

And now it's over
This game is over
Who will be the loser
When I'm gone gone gone

Who will be the loser
When I'm gone gone gone

And now it's over
This game is over
Who will be the loser
When I'm gone gone gone",sin_singular
เขาไม่ได้รักฉันอีกแล้ว,/music/thailyric/13625,"Ooh พอสักทีนะ กับคำถาม
ที่ไม่มีใครจำเป็นต้องตอบเธอ
Ooh คงไม่ดีมั้ง กับบางเรื่อง
ที่เธอไม่ได้จำเป็นต้องรู้
Ooh ขอไว้แล้วกัน
แค่คิดว่าเราน่าจะ
Move On กันสักที
Ooh คงไม่ยากนัก
กับการทำความเข้าใจในสิ่งเหล่านี้

เขาไม่ได้รักฉันอีกแล้ว
เราไม่ได้เหมือนเดิมอีกแล้ว
ไม่ต้องถามถึงเขาอีกแล้ว
เขาจะไม่ย้อนมาอีกแล้ว
เราจะไม่พบกันอีกแล้ว
เธอคงพอเดาได้อยู่แล้ว

Ooh เธอว่าไหม
ระหว่างเราที่เป็นมันก็ดีอยู่แล้ว
Ooh ฟังกันหน่อยนะ
อย่าบั่นทอนหัวใจกันด้วยสิ่งเหล่านี้

เขาไม่ได้รักฉันอีกแล้ว
เราไม่ได้เหมือนเดิมอีกแล้ว
ไม่ต้องถามถึงเขาอีกแล้ว
เขาจะไม่ย้อนมาอีกแล้ว
เราจะไม่พบกันอีกแล้ว
เธอคงพอเดาได้อยู่แล้ว

เขาไม่ได้รักฉันอีกแล้ว
เราไม่ได้เหมือนเดิมอีกแล้ว
ไม่ต้องถามถึงเขาอีกแล้ว
เขาจะไม่ย้อนมาอีกแล้ว
เราจะไม่พบกันอีกแล้ว
เธอคงพอเดาได้อยู่แล้ว

I Just Wanna Move On
Pull My Pieces Back Together

เขาไม่ได้รักฉันอีกแล้ว
เราไม่ได้เหมือนเดิมอีกแล้ว
ไม่ต้องถามถึงเขาอีกแล้ว
เขาจะไม่ย้อนมาอีกแล้ว
เราจะไม่พบกันอีกแล้ว
เธอคงพอเดาได้อยู่แล้ว

เขาไม่ได้รักฉันอีกแล้ว
เราไม่ได้เหมือนเดิมอีกแล้ว
ไม่ต้องถามถึงเขาอีกแล้ว
เขาจะไม่ย้อนมาอีกแล้ว
เราจะไม่พบกันอีกแล้ว
เธอคงพอเดาได้อยู่แล้ว",sin_singular
คนที่ถูกรัก,/music/thailyric/19765,"ใจ ฉันเคยถูกทิ้งเพียงลำพัง
ก็รักใครมาแล้วตั้งกี่ครั้ง ผิดหวังมากี่หน
เมื่อรักคนที่เขา ไม่ได้รักเราก็ช้ำใจอย่างนี้

สุดท้ายต้องโดนเขามองผ่าน
สุดท้ายไม่มีใครต้องการ
ไม่รู้นานแค่ไหน จะได้ใจจากใครสักที

แค่อยากเป็นคนที่ถูกรัก
แค่อยากเป็นคนที่ถูกใครสักคนเข้าใจ
ช่วยเติมชีวิตที่ว่างเปล่า
ช่วยเอาความรักมาให้ มีใครบ้างไหมสักคน

เธอ แล้วเธอกับฉันก็เจอกัน
ความหวังมีอีกครั้งในใจฉัน เจ็บช้ำมาอย่างนั้น
แต่ฉันยังจะขอลอง อีกสักทีจะร้ายดีอย่างไร

สุดท้ายถ้าเธอนั้นมองผ่าน ถ้าฉันไม่มีใครต้องการ
อย่างน้อยมันก็คุ้ม จะทุ่มเทให้มันรู้ไป

แค่อยากเป็นคนที่ถูกรัก
แค่อยากเป็นคนที่ถูกใครสักคนเข้าใจ
ช่วยเติมชีวิตที่ว่างเปล่า
ช่วยเอาความรักมาให้

แค่อยากเป็นคนที่เธอรัก
แค่อยากเป็นคนที่เธอนั้นจะมาเข้าใจ
แค่สบตาฉันแล้วช่วยตอบ ว่าเธอจะรักกันได้
ได้อย่างที่ฉันรักเธอ

อยากเป็นคนที่ถูกรัก
อยากเป็นแค่ใครสักคนที่มีความหมาย
ช่วยเติมชีวิตที่ว่างเปล่า
ช่วยเอาความรักมาให้

แค่อยากเป็นคนที่เธอรัก
แค่อยากเป็นคนที่เธอนั้นจะมาเข้าใจ
แค่สบตาฉันแล้วช่วยบอกว่าเธอจะรักกันได้
ได้อย่างที่ฉันรักเธอ

ช่วยบอกกับฉันได้ไหม",sin_singular
