song_name,href,lyric,artist
อะไรก็ยอม,/music/thailyric/11535,"อย่าโกหกฉัน อย่าทำอย่างนั้น
หลอกลวงกัน เธอนั้นจะได้อะไร
เมื่อเธอมีเขา อยู่เต็มหัวใจ
อย่าทำร้ายด้วยการที่เธอ ทำเป็นว่ารักกัน

สิ่งที่เธอทำมันรุนแรง
แกล้งรักให้ใจฉันเจ็บ
เก็บมานานอยู่ในหัวใจ
ฉันรู้ถึงเธอจะปิด
ที่ยอมให้เธอหลอกกันเรื่อยมา
เพราะฉันทำใจไม่ได้
ที่จะยอมให้เธอจากไป
เป็นของเขาจริงจริง

ฉันเพียงต้องการให้เธอ
อยู่กับฉันตรงนี้นานนาน
ฉันเพียงต้องการให้เธอ
อยู่กับฉันตรงนี้เรื่อยไป
ที่ฉันยอมทุกสิ่ง
เรื่องจริงไม่เคยยอมใคร
ก็เพราะรักเธอทั้งหัวใจ
อะไรก็ยอมเธอ

ไม่ดีหรอกหนา ที่ทำอย่างนี้
ฉันรู้ดี แต่รักจึงต้องจำทน
ให้เธอมีเขา คนนั้นทั้งคน ที่อดทน
เพราะรักตัวเธอนั้นมากมาย

สิ่งที่เธอทำมันรุนแรง
แกล้งรักให้ใจฉันเจ็บ
เก็บมานานอยู่ในหัวใจ
ฉันรู้ถึงเธอจะปิด
ที่ยอมให้เธอหลอกกันเรื่อยมา
เพราะฉันทำใจไม่ได้
ที่จะยอมให้เธอจากไป
เป็นของเขาจริงจริง

ฉันเพียงต้องการให้เธอ
อยู่กับฉันตรงนี้นานนาน
ฉันเพียงต้องการให้เธอ
อยู่กับฉันตรงนี้เรื่อยไป
ที่ฉันยอมทุกสิ่ง
เรื่องจริงไม่เคยยอมใคร
ก็เพราะรักเธอทั้งหัวใจ
อะไรก็ยอมเธอ

ฉันเพียงต้องการให้เธอ
อยู่กับฉันตรงนี้นานนาน
ฉันเพียงต้องการให้เธอ
อยู่กับฉันตรงนี้เรื่อยไป
ที่ฉันยอมทุกสิ่ง
ทั้งที่จริงไม่เคยยอมใคร
ก็เพราะรักเธอทั้งหัวใจ
อะไรก็ยอมเธอ
ก็เพราะรักเธอทั้งหัวใจ
อะไรก็ยอมเธอ",singto_numchok
ใช้หัวใจ,/music/thailyric/9982,"ดูเธอยังลังเลกับเรื่องความรัก
มีบางคนอยากทักให้ใจวุ่นวาย

ความรักเรื่องราวของสองคน
คนนิยามรักที่ใคร ถ้าไม่ใช่ฉันและเธอ
จะร้ายหรือดีอยู่ที่ใจ คิดให้ดีก็พบเจอ
เรื่องราวที่แสนงดงาม
กอดฉันไว้ และหลับตา

จะรู้มันดีใช่ไหม
ความคิดของใคร คิดยังไง
สุดท้ายใครกันที่จะรู้ แค่ใช้หัวใจ ของเธอดู
เธอรู้ดีอยู่ใช่ไหม แค่ฟังเสียง ของหัวใจ

อย่ากลัวอะไรกับสิ่งที่ยังไม่ถึง
อย่ามัวดึงดันเชื่อคำใครๆ มากไป

ความรักเรื่องราวของสองคน
คนนิยามรักที่ใคร ถ้าไม่ใช่ฉันและเธอ
จะร้ายหรือดีอยู่ที่ใจ คิดให้ดีก็พบเจอ
เรื่องราวที่แสนงดงาม
กอดฉันไว้  และหลับตา

จะรู้มันดีใช่ไหม
ความคิดของใคร คิดยังไง
สุดท้ายใครกันที่จะรู้ แค่ใช้หัวใจ ของเธอดู
เธอรู้ดีอยู่ใช่ไหม แค่ฟังเสียง ของหัวใจ

ความรักเรื่องราวของสองคน
คนนิยามรักที่ใคร ถ้าไม่ใช่ฉันและเธอ
จะร้ายหรือดีอยู่ที่ใจ คิดให้ดีก็พบเจอ
เรื่องราวที่แสนงดงาม
กอดฉันไว้ และหลับตา

จะรู้มันดีใช่ รู้มันดีใช่ไหม
ความคิดของใคร คิดยังไง
สุดท้ายใครกันที่จะรู้
แค่ใช้หัวใจ ของเธอดู
เธอรู้ดีอยู่ใช่ไหม แค่ฟังเสียง ของหัวใจ",singto_numchok
ยิ่งรักยิ่งห่าง,/music/thailyric/9892,"เหตุผลเป็นร้อยเป็นพันที่เจอ
ทำให้เธอและฉันดูเหมือนยิ่งรักยิ่งห่าง
เหตุใดความรักที่พร้อมทุกอย่าง
บางสิ่งกลับดูขาดหาย สุดท้ายก็หาไม่เจอ

เป็นเพราะเราต่างกัน
บนสวรรค์บันดาลให้ฉันและเธอต้องจาก
อยากให้เธอรู้เอาไว้อย่าง

ฉันจะมีแต่เธอในใจเสมอ
ความทรงจำดีดีจะคงเหมือนเดิม
อย่างน้อยได้รู้ว่ารักเธอมากแค่ไหน
ฉันไม่เคยเลยไม่เคยเสียใจที่ได้รักเธอ

คำว่ารักเพียงพอหรือเปล่า
หรือต้องมากกว่านี้หรือฉันมีไม่พอ
เป็นเพราะเราต่างกัน
บนสวรรค์บันดาลให้ฉันและเธอต้องจาก
อยากให้เธอรู้เอาไว้อย่าง

ฉันจะมีแต่เธอในใจเสมอ
ความทรงจำดีดีจะคงเหมือนเดิม
อย่างน้อยได้รู้ว่ารักเธอมากแค่ไหน
ฉันไม่เคยเลยไม่เคยเสียใจที่ได้รักเธอ

ฉันจะมีแต่เธอในใจเสมอ
ความทรงจำดีดีจะคงเหมือนเดิม
อย่างน้อยได้รู้ว่ารักเธอมากแค่ไหน
ฉันไม่เคยเลยไม่เคยเสียใจ
ที่ฉันจะมีแต่เธอในใจเสมอ
ความทรงจำดีดีจะคงเหมือนเดิม
อย่างน้อยได้รู้ว่ารักเธอมากแค่ไหน
ฉันไม่เคยเลยไม่เคยเสียใจที่ได้รักเธอ",singto_numchok
R U OK (เช็ด),/music/thailyric/12404,"Are you OK? You alright?
Are you OK? You alright?

ฉันเห็นเธอเดินซึมลำพัง
แววตาเธอดูบอบช้ำ
อยากรู้ว่าเธอยังโอเคอยู่หรือเปล่า
เธอมีอะไรให้ช่วยหรือเปล่า

จากฉันคนที่เคยยืนอยู่ตรงนั้น
คนที่เคยจับมือเธอเมื่อวาน
ในวันนี้ฉันมันไม่มีสิทธิ์
แต่เห็นแล้วมันก็หงุดหงิด

ที่เธออยู่กับเขาแล้วเธอเสียใจ
ทั้งที่ฉันไม่มีวันทำเธอร้องไห้

แต่ว่าวันนี้
เธอมีอะไร มีอะไร ในใจหรือเปล่า
เธอมีอะไร มีอะไร ให้ช่วยหรือเปล่า
Are you OK? You alright? สบายหรือเปล่า
ไม่อยากให้เธอเหงา
ปล่อยให้ฉันช่วยเช็ดน้ำตาแล้วค่อยคุยกัน

เช็ดเลย เช็ดเลย ให้ฉันช่วยเช็ด
น้ำตาที่มันไหลออกมาทุกเม็ด
เธอคงจะเข็ดที่เขาไม่ยอมช่วยเช็ดให้
แต่คนนี้รับรองว่าช่วยเธอเช็ดได้
จะเช็ดให้หมดไม่ว่าจะเป็นด้านหน้าหลัง
จะด้านซ้ายด้านขวารับรองไม่ผิดหวัง
อยากให้เช็ดตรงไหนก็ขอให้บอก
ตั้งใจจะมาเช็ดจริงๆ นะจ๊ะไม่ได้มาหลอก
ทุกคืนฉันก็ฝันถึงแต่เรื่องเช็ด
น้ำลายเธอไหลฉันจะคอยเช็ด
ถ้าน้ำตาเธอไหลฉันจะตั้งใจเช็ด เช็ด เช็ด เช็ด เช็ด

Are you OK? You alright?
Are you OK? You alright?
Are you OK? You alright?
Are you OK? You alright?

เธอมีอะไร มีอะไร ในใจหรือเปล่า
เธอมีอะไร มีอะไร ให้ช่วยหรือเปล่า
Are you OK? You alright? สบายหรือเปล่า
ไม่อยากให้เธอเหงา
ปล่อยให้ฉันช่วยเช็ดน้ำตา

Are you OK? You alright? อย่าลืมว่าฉันยังอยู่ตรงนี้
Are you OK? You alright? ยังอยู่ที่เดิม ที่ตรงนี้
Are you OK? You alright? อยู่ในหัวใจ เธอคนดี

Are you OK? You alright?",singto_numchok
Will You Marry Me?,/music/thailyric/14409,"ทุกๆ วินาทีตอนนี้
ที่เรามีกันอย่างนี้
ทุกวันดีๆ ที่เดินร่วมทาง

เธอยังคนมั่นใจใช่ไหม
ถ้าเราจะเดินต่อไป
ไม่ว่ายังไงยังคงงดงาม

เธอไม่ต้องถามว่ารักหรือเปล่า
แต่ถ้าเธอถาม ถ้าเธออยากรู้

จะบอกคำว่ารักดังๆ ทันใด
ให้เธอได้รู้ความจริงในใจ
สิ่งที่ฉันคิดกับเธอยังไง ยังเหมือนเก่า
จะบอกคำว่ารักคำเดิมคนดี
เพียงเธอเท่านั้นทุกวินาที
ไม่มีสักครั้งที่ฉันคนนี้ จะเปลี่ยนไป
ทุกอย่างยังเหมือนเดิม เหมือนเดิม

ฟ้า ยังคงงดงามสดใส
เพราะเรามีกันใช่ไหม
แม้นานเพียงใดก็ยังเหมือนเดิม

ฉันจะดูแลเธอคนนี้
ด้วยใจทั้งหมดที่ฉันมี
ทุกวินาทีให้เธอมั่นใจ

เธอไม่ต้องถามว่ารักหรือเปล่า
แต่ถ้าเธอถาม ถ้าเธออยากรู้

จะบอกคำว่ารักดังๆ ทันใด
ให้เธอได้รู้ความจริงในใจ
สิ่งที่ฉันคิดกับเธอยังไง ยังเหมือนเก่า
จะบอกคำว่ารักคำเดิมคนดี
เพียงเธอเท่านั้นทุกวินาที
ไม่มีสักครั้งที่ฉันคนนี้ จะเปลี่ยนไป
ทุกอย่างยังเหมือนเดิม เหมือนเดิม

จะบอกคำว่ารักดังๆ ทันใด
ให้เธอได้รู้ความจริงในใจ
สิ่งที่ฉันคิดกับเธอยังไง ยังเหมือนเก่า
จะบอกคำว่ารักคำเดิมคนดี
เพียงเธอเท่านั้นทุกวินาที
ไม่มีสักครั้งที่ฉันคนนี้ จะเปลี่ยนไป

จะบอกคำว่า รัก

เพียงเธอเท่า นั้น

ยังเหมือนเดิม เหมือนเดิม",singto_numchok
ต๊อก (Tok),/music/thailyric/13583,"ต๊อก ต๊อกอยู่กาฬสินธุ์
เป็นนักดนตรีติดดิน
ผู้คนมากมายติดใจ
เพลงที่ต๊อกบรรเลงทุกครั้ง
คล้ายๆ ว่ามีมนต์ขลังจนทำให้คุณหวั่นไหว
ทุกๆครั้งที่คุณได้ยินรับรองว่าคุณจะฟิน
น้ำตาของคุณจะไหล เขาจะทำให้คุณต้องคล้อย
ในยามที่คุณเหม่อลอย สักพักแล้วเขาจะหายไป

ใครรู้บอกที มีคนหาย ต๊อก
ตอนนี้ต๊อกอยู่ไหน รู้ไหมผู้คนมากมาย
ในยามค่ำคืนตามหา เพลงที่เคยได้ยินเหล่านั้น
วันนี้คงเป็นเพียงฝัน ในวันที่ใจอ่อนล้า
เพลงที่ทำให้เราสดใส วันนี้จะมีอีกไหม
ในคืนที่ต๊อกไม่มา เขาไปไม่ทิ้งร่องรอย
ทิ้งไว้ให้เราต้องคอย ไม่มีวี่แววกลับมา

ใครรู้บอกที มีคนหาย

ต๊อกไปไม่มีใครรู้ ทิ้งไว้แค่เพลงติดหู
พร้อมกับความสงสัย เสียงดนตรีที่มีมนต์ขลัง
ไม่มีแล้วเพลงเหล่านั้น คิดแล้วก็ยังใจหาย
สุดท้ายแล้วเราจะออกตามหา
จะพลิกแผ่นดินแผ่นฟ้า เพื่อหาว่าต๊อกอยู่ไหน
บทเพลงที่เคยได้ยินเหล่านั้น
ต้องการจะฟังอีกครั้ง บรรเลงให้ฟังได้ไหม

ใครรู้บอกที มีคนหาย
ใครรู้บอกที มีคนหาย",singto_numchok
น่าดู (Nadoo),/music/thailyric/13655,"ดู ดู๊ ดู ดู ดู่
ดู ดู๊ ดู ดู ดู่
รู้ตัวบ้างไหมว่าเธอสดใสน่าดู
ดู ดู๊ ดู ดู ดู่
ดู ดู๊ ดู ดู ดู่
รู้ตัวใช่ไหมว่าเธอสดใสน่าดู

แอบมองเธอมานานแสนนาน
คิดถึงเธอละเมอทุกวันเพ้อไปไกล
หลับทีไรก็มีแต่หน้าเธอ
อยากจะรู้ว่าเธอคิดยังไง

ก็เธออยู่ใกล้แล้วมันสั่น
หัวใจไหวหวั่น
ไม่รู้ต้องทรมานถึงเมื่อไร
บอกเธอให้รู้เลยดีกว่า
ปล่อยไว้ใจประหม่า
รู้ตัวบ้างไหมว่าเธอสดใสน่า

ดู ดู๊ ดู ดู ดู่
ดู ดู๊ ดู ดู ดู่
รู้ตัวใช่ไหมว่าเธอสดใสน่าดู
ดู ดู๊ ดู ดู ดู่
ดู ดู๊ ดู ดู ดู่
รู้ตัวว่าฉันทำได้แค่ดู

ดูแต่ตา มืออย่าไปต้อง
แค่เธอจ้องมา ทำเราขัดข้อง
โอ้แม่แก้วตา ทุกคนจับจ้อง
พี่เขาจับมา ผมไม่เกี่ยวข้อง
ผมไม่รู้ผมไม่เกี่ยว
ผมไม่รู้ไม่ได้เอี่ยว
ไม่ใช่เพื่อนไม่ใช่เสี่ยว
ดูต้นอย่างเดียว
ผมไม่รู้จักมัน
มันไม่รู้จักผม
เราอยู่ห่างๆ กัน
แบบนี้แหละเหมาะสม

แอบดูเธอมาตั้งนาน
สรีระของเธอช่างน่ารับประทาน
เธอเปรียบเหมือนดั่งแสงสว่าง
ฉันคือเงามืดไม่มีใครกล้าเดินผ่าน
ลองคุยกันไปพลางๆ รับรองรถไฟไม่มีชนราง
ไม่ต้องกลัวแม่นวลนาง เพราะว่าเรื่องแบบนี้ผมรู้งาน

ดู ดู๊ ดู ดู ดู่
ดู ดู๊ ดู ดู ดู่
รู้ตัวใช่ไหมว่าเธอสดใสน่าดู
ดู ดู๊ ดู ดู ดู่
ดู ดู๊ ดู ดู ดู่
รู้ตัวว่าฉันทำได้แค่ดู

เฮ้มามาฉันจะพาไปเดินเซ
รับรองรับประกันฉันไม่เท
ลุยถึงไหนถึงกัน แต่ช่วยตอบคำถามก่อน
เอายังไงจะรอฟัง
เฮ้มามาฉันจะพาไปเดินเซ
รับรองรับประกันฉันไม่เท
ลุยยังไงถึงกัน แต่อยู่ตอบคำถามก่อน
เอายังไงจะรอฟัง

ดูอย่างเดียวได้ไหมพ่อคนเจ้าชู้
เก็บตังค์ดีไหมผู้ชายใคร่รู้
หากมีหัวใจทำไมไม่สู้
ถ้าพี่มีคู่หนูต้องขอบาย
ถ้าเมียจับได้เดี๋ยวไม่น่าดู

ดู ดู๊ ดู ดู ดู่
ดู ดู๊ ดู ดู ดู่
รู้ตัวใช่ไหมว่าเธอสดใสน่าดู
ดู ดู๊ ดู ดู ดู่
ดู ดู๊ ดู ดู ดู่
รู้ตัวว่าฉันทำได้แค่ดู",singto_numchok
ป.ล. คิดถึง (P.S. I Miss You),/music/thailyric/10739,"ฉันเฝ้ารอเวลาที่จะได้พบเธออีกครั้ง
โอบกอดเธอไว้ในวันที่เราพบกัน

ท้องฟ้ายังคงเหมือนเก่า ความเหงาในวันที่ผ่านมา
ทำให้ฉันนั้นได้เรียนรู้ว่า
แม้เนิ่นนานเท่าไร แต่ว่าใจยังคงเหมือนเดิมอยู่

เธอยังคงเป็นเหมือนเดิมหรือเปล่า
ยังคิดถึงเหมือนเคยที่ผ่านมา
อยู่ตรงนี้ยังมีอีกคนอยากให้เธอได้รู้ว่า
ความห่างไกลมันทำให้คิดถึง

Oh Oh เฝ้ารอเพื่อได้พบเจอเธออีกครั้งหนึ่ง
Oh Oh โปรดเถิดเธออย่าลืมเรื่องราววันเก่าๆ

รู้ดีเวลาที่ห่างไกล หัวใจบางทีก็อ่อนแรง
กลัวว่าใจของเธอจะเปลี่ยนแปลง คิดไปไกล
แต่ว่าใจยังคงเหมือนเดิมอยู่

เธอยังคงเป็นเหมือนเดิมหรือเปล่า
ยังคิดถึงเหมือนเคยที่ผ่านมา
อยู่ตรงนี้ยังมีอีกคนอยากให้เธอได้รู้ว่า
ความห่างไกลมันทำให้คิดถึง

Oh Oh เฝ้ารอเพื่อได้พบเจอเธออีกครั้งหนึ่ง
Oh Oh โปรดเถิดเธออย่าลืมเรื่องราววันเก่าๆ

ฉันเฝ้ารอเวลาที่จะได้พบเธออีกครั้ง
โอบกอดเธอไว้ในวันที่เราพบกัน

Oh Oh เฝ้ารอเพื่อได้พบเจอเธออีกครั้งหนึ่ง
Oh Oh โปรดเถิดเธออย่าลืมเรื่องราววันเก่าๆ

Oh Yeah
Oh Oh เฝ้ารอเพื่อได้พบเจอเธออีกครั้งหนึ่ง
Oh Oh โปรดเถิดเธออย่าลืมเรื่องราววันเก่าๆ

เฝ้ารอเพื่อได้พบเจอกับเธออีกครั้ง
โปรดเถิดเธออย่าลืมเรื่องราววันเก่าๆ

ฉันเฝ้ารอเวลาที่จะได้พบเธออีกครั้ง
โอบกอดเธอไว้ในวันที่เราพบกัน",singto_numchok
มันถูกอยู่แล้ว,/music/thailyric/11022,"อีกกี่ครั้ง ต้องเดินคนเดียวลำพังเลยยังว่างเปล่า
มีไหมใครสักคนที่เป็นเหมือนเรา
ที่ต้องเหงาคนเดียว อยู่ตรงนี้คนเดียวอีกแล้ว

จริงใช่ไหม ที่ใครเขาเคยบอกไว้ในวันก่อน
โลกนี้ไม่มีอะไรเลยที่แน่นอน
แต่ทำไมฉันยังนอนกอดหมอนลำพังอยู่คนเดียว

ได้แต่คอยภาวนาให้ได้พบเธอ
แต่ไม่รู้ทำไมไม่เจอเลยสักที

มันถูกอยู่แล้วที่เขาบอก
มันถูกอยู่แล้วที่เราต้องช้ำมาตลอด
ไม่ต้องคิดมากไป ไม่ต้องคิดน้อยใจ
ทุกอย่างที่มันเป็นไปถูกอยู่แล้ว

ก็เพราะว่ามันถูกอยู่แล้วที่เขาบอก
มันถูกอยู่แล้วที่เราต้องเสียใจมาตลอด
ไม่ต้องคิดมากไป ไม่ต้องคิดน้อยใจ
ต้องอยู่คนเดียวให้ไหวมันถูกแล้ว
เราไม่ต้องไปเสียใจ

ได้แต่ถาม ถามตัวเองทุกครั้งก็ยังเหมือนเก่า
มีไหมใครสักคนที่เป็นเหมือนเรา
ที่ต้องเหงาคนเดียว อยู่ตรงนี้คนเดียวมาแสนนาน

ได้แต่คอยภาวนาให้ได้พบเธอ
แต่ไม่รู้ทำไมไม่เจอเลยสักที

มันถูกอยู่แล้วที่เขาบอก
มันถูกอยู่แล้วที่เราต้องช้ำมาตลอด
ไม่ต้องคิดมากไป ไม่ต้องคิดน้อยใจ
ทุกอย่างที่มันเป็นไปถูกอยู่แล้ว

ก็เพราะว่ามันถูกอยู่แล้วที่เขาบอก
มันถูกอยู่แล้วที่เราต้องเสียใจมาตลอด
ไม่ต้องคิดมากไป ไม่ต้องคิดน้อยใจ
ต้องอยู่คนเดียวให้ไหวมันถูกแล้ว
เราไม่ต้องไปเสียใจ

มันถูกอยู่แล้วที่เขาบอก
มันถูกอยู่แล้วที่เราต้องช้ำมาตลอด
ไม่ต้องคิดมากไป ไม่ต้องคิดน้อยใจ
ทุกอย่างที่มันเป็นไปถูกอยู่แล้ว

ก็เพราะว่ามันถูกอยู่แล้วที่เขาบอก
มันถูกอยู่แล้วที่เราต้องเสียใจมาตลอด
ไม่ต้องคิดมากไป ไม่ต้องคิดน้อยใจ
ทุกอย่างที่มันเป็นไปถูกอยู่แล้ว
เราไม่ต้องไปเสียใจ",singto_numchok
อย่าร้องไห้,/music/thailyric/14031,"ไม่มีอะไรที่ทำให้เขาและเธอดูไม่เข้ากัน
ฉันเห็นอย่างนั้นมาตลอด
ยิ่งมองยิ่งเห็นถึงความสวยงามที่มีให้กัน
ฉันใฝ่ฝันมาตลอด

และในวันนี้ที่มันช่างโหดร้าย
คนที่ทำให้เธอต้องเสียใจ
คือคนเดียวกันที่เธอคิดมาตลอด ว่าใช่

อย่าเลยเธออย่าร้องไห้
ความโชคร้ายมันทำให้เธอมีน้ำตา
คนที่มองไม่เห็นค่า ไม่รู้ว่า
ว่าเธอมีค่ามากแค่ไหน

ได้โปรดเถอะเธออย่าเลยอย่าร้องไห้
ฉันก็แค่ผู้ชายที่ทำให้เธอได้ทุกอย่าง
คนที่เธอนั้นมองผ่าน ที่เธอไม่เคยต้องการ
คอยภาวนาให้เธอหาย
ให้ลืมผู้ชายที่เขาไม่รักเธอ

หากมีอะไรที่พอจะให้ฉันแบ่งเบา
ในวันที่เศร้าใจ ก็ขอให้เธอบอก
อีกคงไม่นานทุกอย่างจะพ้นผ่านไป
แต่ใจฉันยังอยู่ จะอยู่ตรงนี้ไปตลอด

และในวันนี้ที่มันช่างโหดร้าย
คนที่ทำให้เธอต้องเสียใจ
คือคนเดียวกันที่เธอคิดมาตลอด ว่าใช่

อย่าเลยเธออย่าร้องไห้
ความโชคร้ายมันทำให้เธอมีน้ำตา
คนที่มองไม่เห็นค่า ไม่รู้ว่า
ว่าเธอมีค่ามากแค่ไหน

ได้โปรดเถอะเธออย่าเลยอย่าร้องไห้
ฉันก็แค่ผู้ชายที่ทำให้เธอได้ทุกอย่าง
คนที่เธอนั้นมองผ่าน ที่เธอไม่เคยต้องการ
คอยภาวนาให้เธอหาย
ให้ลืมผู้ชายที่เขาไม่รักเธอ

อย่าเลยเธออย่าร้องไห้
ฉันก็แค่ผู้ชายที่ทำให้เธอได้ทุกอย่าง
คนที่เธอนั้นมองผ่าน ที่เธอไม่เคยต้องการ
คอยภาวนาให้เธอหาย
ยังมีผู้ชายที่พร้อมจะรักเธอ",singto_numchok
