song_name,href,lyric,artist
กันและกัน,/music/thailyric/5485,"คว้ามือเธอมากุมไว้ ให้แก้มเธอซบตรงไหล่
อ้อมแขนจะคอยประคองไว้ ปล่อยใจเดินไปกับเสียงเพลง

หมุนตัวเธอดึงไว้ ถ้าไม่ดึงแล้วเธอหล่น
คล้ายว่าเป็นดังความฝัน แต่ว่าสุขนั้นจริง

มีแต่เธอกับฉัน ท่ามกลางแสงดวงดาวและดวงจันทร์
มีแต่เธอกับฉัน เปิดเพลงเพราะๆเบาๆแล้วเต้นตาม

สุขจนดูว่าเหมือนลอยสู่วิมาน สุขจนลืมทุกความหวาน

เพราะเรามีความรัก โลกนี้จึงมีความสุข
ถึงแม้เราเคยมีความทุกข์ ไม่นานมันก็จะหายไป

ขอเพียงมีเธอและฉัน ขอเพียงมีกันและกัน
ไม่ขออะไรไปกว่านั้น แค่เพียงมีเราอยู่ด้วยกัน

มีแต่เธอกับฉัน ท่ามกลางแสงดวงดาวและดวงจันทร์
มีแต่เธอกับฉัน เปิดเพลงเพราะๆเบาๆแล้วเต้นตาม

คว้ามือเธอมากุมไว้ ให้แก้มเธอซบตรงไหล่
อ้อมแขนจะคอยประคองไว้ ปล่อยใจเดินไปกับเสียงเพลง

เพราะเรามีความรัก โลกนี้จึงมีความสุข
ถึงแม้เราเคยมีความทุกข์ ไม่นานมันก็จะหายไป",skalaxy
เก็บคำนั้นไว้,/music/thailyric/5486,"โกรธอะไรมากขนาดนั้น  โกรธอะไรจึงใช้คำรุนแรง
แต่ละคำช่างทิ่มแทง เหมือนให้เจ็บให้ตาย
เหมือนให้จำเข้าไว้

เธอไม่รักฉันก็เจ็บแล้ว  จึงไม่ต้องต่อว่ากัน
การเป็นคนไม่สำคัญ  ฉันก็เจ็บเกือบตาย
ฉันก็เจ็บอยู่แล้ว

เก็บคำนั้นไว้เถอะนะคนดี
ถอยคำอย่างนั้นมันไม่เหมาะกับเธอ
หน้าตาเธอสวยงาม
ถอยคำบางคำ  น่าจะ (งดงาม)

เก็บคำนั้นไว้เถอะนะที่รัก
พูดจาอย่างนั้นมันรุนแรงเกินไป
เลิกกันฉันเข้าใจ  น่าจะอภัยทุกอย่าง (ให้กัน)

เก็บคำนั้นไว้เถอะนะคนดี
ถอยคำอย่างนั้นมันไม่เหมาะกับเธอ
หน้าตาเธอสวยงาม
ถอยคำบางคำ  น่าจะ (งดงาม)

เก็บคำนั้นไว้เถอะนะที่รัก
พูดจาอย่างนั้นมันรุนแรงเกินไป
เลิกกันฉันเข้าใจ  น่าจะอภัยทุกอย่าง (ให้กัน)

เก็บคำนั้นไว้เถอะนะคนดี
พูดจาอย่างนั้นมันไม่น่ารัก
เพราะเธอฉันรู้จัก
เขาเป็นยังไง  เขามีน้ำใจ",skalaxy
คนหลงทาง,/music/thailyric/5487,"โดนความทรงจำ
มาตามหลอก ตามหลอน
ภาพเธอและเขา อยู่ทุกแห่งหน
จะทำยังไง ก็ไม่หลุด ไม่พ้น
ต้องหวาดระแวง ต้องวุ่นวาย

ฉันเหมือนคนที่หลงทาง
รักเคยพาให้เคลิบเคลิ้มไป
แล้วก็ทำให้เสียใจ
ความหลัง ยังตามหลอน

โอ๊ย ทนไม่ไหว จะบ้าตาย
โอ๊ย กลัวเหลือเกิน
โอ๊ย พอได้ไหม มันมากไป
โอ๊ย หยุดเสียที

เป็นเดือนเป็นปี ก็จมอยู่อย่างนี้
ไม่มีหนทางให้หนีได้เลย
จะรอให้ใจมันด้านชา เมินเฉย
อีกนานเท่าไรกว่าฉันจะชิน

ฉันเหมือนคนที่หลงทาง
รักเคยพาให้เคลิบเคลิ้มไป
แล้วก็ทำให้เสียใจ
ความหลัง ยังตามหลอน

โอ๊ย ทนไม่ไหว จะบ้าตาย
โอ๊ย กลัวเหลือเกิน
โอ๊ย พอได้ไหม มันมากไป
โอ๊ย หยุดเสียที

โอ๊ย ทนไม่ไหว จะบ้าตาย
โอ๊ย กลัวเหลือเกิน
โอ๊ย พอได้ไหม มันมากไป
โอ๊ย หยุดเสียที

โอ๊ย ทนไม่ไหว จะบ้าตาย
โอ๊ย กลัวเหลือเกิน
โอ๊ย พอได้ไหม มันมากไป
โอ๊ย หยุดเสียที",skalaxy
จิ๊กซอว์,/music/thailyric/5488,"บนทางเดินทางที่ดูวกวน ใครต่อใครใครต่อใครหลายคน
วันและคืนคืนและวันทำฉันให้สับสน
ทางที่เดินทางที่ดูวกวน ใจข้างในใจข้างในร้อนรน
ไม่มีใครไม่มีเลยสักคน

ตามหาครึ่งหนึ่งของหัวใจ มาเติมให้เต็ม
ตามหาจิ๊กซอว์ชิ้นสุดท้าย

ใครสักคนต้องมีใครสักคน คนที่เขาตามหาเราเหมือนกัน
ใครสักคนต้องมีใครสักคน คนที่เขาไม่ใช่แค่ความฝัน

บนทางเดินทางที่ดูวกวน ใครต่อใครใครต่อใครหลงกล
ใจกับตัวตัวกับใจต้องช้ำไปกี่หน
ทางที่เดินทางที่ดูวกวน ใจข้างในใจข้างในทุกคน
ยังต้องการเพียงมีใครสักคน

ตามหาครึ่งหนึ่งของหัวใจ มาเติมให้เต็ม
ตามหาจิ๊กซอว์ชิ้นสุดท้าย

ใครสักคนต้องมีใครสักคน คนที่เขาตามหาเราเหมือนกัน
ใครสักคนต้องมีใครสักคน คนที่เขาไม่ใช่แค่ความฝัน

ใครสักคนต้องมีใครสักคน คนที่เขาตามหาเราเหมือนกัน
ใครสักคนต้องมีใครสักคน คนที่เขาเกิดมาคู่กับฉัน

บนทางเดินทางที่ดูวกวน ใครต่อใครใครต่อใครหลงกล
ใจกับตัวตัวกับใจต้องช้ำไปกี่หน
ทางที่เดินทางที่ดูวกวน ใจข้างในใจข้างในทุกคน
ยังต้องการเพียงมีใครสักคน

ใครสักคนต้องมีใครสักคน คนที่เขาเกิดมาคู่กับฉัน",skalaxy
เบาเหลือเกิน,/music/thailyric/5491,"ใครบางคนบอกกับฉันว่ารัก
นั้นมันดูช่างยิ่งใหญ่อยู่เหนือคำบรรยาย
แต่บางคนบอกว่ามันก็คล้าย
สายลมเบาที่พัดผ่านจางหายไป

เนิ่นนานเท่าไรเฝ้าหาคำตอบ
กลับพบความจริงในใจไม่อยากจะรู้เลย
เห็นเธอกับตาแต่ฉันไม่อาจ
จะคว้ามือเธอมากุมเอาไว้แนบกาย

ก็รัก....เธอ  เบาเหลือเกินบางเหลือเกิน
ไขว่คว้า....เธอ  มาตั้งนานยังไม่เจอ

ก็รัก....เธอ  เบาเหมือนควันจางเหมือนลม
ไขว่คว้า....ไม่...เจอ

ใครบางคนอยู่เพื่อรอให้รัก
และบางคนก็รออยู่เพื่อรักใคร
แต่กับฉันอยู่จนวันสุดท้าย
ก็เห็นเธอไปรักคนใหม่กับสายตา

เนิ่นนานเท่าไรเฝ้าหาคำตอบ
กลับพบความจริงในใจไม่อยากจะรู้เลย
เห็นเธอกับตาแต่ฉันไม่อาจ
จะคว้ามือเธอมากุมเอาไว้แนบกาย

ก็รัก....เธอ  เบาเหลือเกินบางเหลือเกิน
ไขว่คว้า....เธอ  มาตั้งนานยังไม่เจอ

ก็รัก....เธอ  เบาเหลือเกินบางเหลือเกิน
ไขว่คว้า....เธอ  มาตั้งนานยังไม่เจอ

ก็รัก....เธอ  เบาเหลือเกินบางเหลือเกิน
ไขว่คว้า....เธอ  มาตั้งนานยังไม่เจอ",skalaxy
วอต สกา อิส? (What ska is?),/music/thailyric/5498,"ไม่ใช่ว่ามันจะยากเท่าไหร่หรอกหนา
แต่มันไม่ใช่ว่าง่ายเท่าไหร่เหมือนกัน
ที่จะเล่นสกาให้ใครเขาฟัง กันทั้งเมือง

นี่ก็ว่าจะเลิกจะเลิกก็อาจจะไม่ดัง แต่ก็รักมันเหลือเกิน
เลยทำไปตามหัวใจของเราดีกว่า ไม่ตามหัวใคร

สกงสกาอะไร ใครๆก็ถาม แล้วจะสกามันไปถึงไหน

เล่นสกาทั้งวันเล่นสกาทั้งคืนให้มันเสียงดัง
เล่นมันทั้งวันเต้นกันทั้งคืนให้มันสาใจ
เล่นสกาทั้งวันเล่นสกาทั้งคืนให้มันสมใจ
เล่นมันทั้งวันเต้นกันทั้งคืนให้มันจุใจ

นี่ก็ว่าจะเล่นกันแต่เพลงป๊อป ใครๆจะเตือนจะว่าจะด่าก็ไม่ฟัง
ไอ้เพื่อนข้างบ้านมันล้อว่าเพลงเราไม่ดัง โมโหจัง

นี่ก็ว่าจะเลิกจะเลิกก็ถูกของมัน แต่ก็รักซะเหลือเกิน
เลยทำไปตามหัวใจของเราดีกว่า ไม่ตามหัวใคร

สกงสกาอะไร ใครๆก็ถาม แล้วจะสกามันไปถึงไหน

เล่นสกาทั้งวันเล่นสกาทั้งคืนให้มันเสียงดัง
เล่นมันทั้งวันเต้นกันทั้งคืนให้มันสาใจ
เล่นสกาทั้งวันเล่นสกาทั้งคืนให้มันสมใจ
เล่นมันทั้งวันเต้นกันทั้งคืนให้มันจุใจ

เล่นสกาทั้งวันเล่นสกาทั้งคืนให้มันเสียงดัง
เล่นมันทั้งวันเต้นกันทั้งคืนให้มันสาใจ
เล่นสกาทั้งวันเล่นสกาทั้งคืนให้มันสมใจ
เล่นมันทั้งวันเต้นกันทั้งคืนให้มันจุใจ

เล่นสกาทั้งวันเล่นสกาทั้งคืนให้มันเสียงดัง
เล่นมันทั้งวันเต้นกันทั้งคืนให้มันจุใจ",skalaxy
ถาม,/music/thailyric/5490,"ฟ้าตรงที่เก่า เฝ้ารอตรงนี้ เธอคนเดียวเสมอมา
และตัวของฉันคนที่ไม่เคยอยู่ในสายตา ไม่ว่าเมื่อไร
ฉันยังเหมือนเก่า เฝ้าตั้งคำถามกับตัวมากมาย
และไม่เคยรู้ว่ามันจะเป็นเช่นไร อีกนานเท่าไร

แค่อยากจะถามความรู้สึกข้างใน ที่ไม่เคยรู้ และไม่มีวันเข้าใจ
แค่อยากจะถามความรู้สึกข้างใน แค่เพียงคำตอบ

ฉันยังรอยู่ กับความเหงาที่เป็นเงาเสมอมา
และตัวของฉันคนที่ไม่เคยอยู่ในสายตา ไม่ว่าเมื่อไร
ขอเพียงคำตอบ แค่อยากจะรู้ว่าเธอคิดเช่นไร
แค่เพียงเท่านี้มันคงไม่ยากเท่าไร แค่เพียงคำตอบ

แค่อยากจะถามความรู้สึกข้างใน ที่ไม่เคยรู้และไม่มีวันเข้าใจ
แค่อยากจะถามความรู้สึกข้างใน แค่เพียงคำตอบ",skalaxy
เพิ่งได้รู้,/music/thailyric/5493,"ฉันเองเป็นคนเช่นไร และไม่เคยรู้ตัวเองต้องการอะไร
ก็อยากจะพบความจริง ก็อยากจะรู้ความจริงสักครั้ง
เฝ้ามองตัวเองอยู่หลายที แต่ก็ไม่รู้ยังไม่ค่อยแน่ใจ
วิ่งสิ่งที่ฉันต้องการ เป็นสิ่งที่ฉันต้องการ จริงไหม
ไม่แน่ใจ ว่าเธอคนนี้คือคนที่เราต้องการ
เพิ่งจะได้พบความจริง ว่าสิ่งที่ฉันต้องการ คือเธอนี้

เพิ่งจะได้รู้  รู้ว่าเธอคนเดียวที่ทำให้ใจต้องหวั่นไหว
เพิ่งจะได้รู้  รู้ว่าเธอคนเดียวที่ทำให้เราไม่รอเก้อ
(ทำให้ฉันเจอ ทำให้พบสิ่งที่ต้องการ)

และแล้วตัวฉันก็ได้พบ และแล้วตัวฉันก็ได้เจอ
กับสิ่งที่ฉันเฝ้ารอ กับสิ่งที่ฉันไม่แน่ใจ สักครั้ง
ฉันดีใจที่ไปพบเธอ ฉันดีใจที่ไปรักเธอ
อยากบอกว่าฉันดีใจ ที่ได้มาพบเจอเธอคนนี้
คงเข้าใจ ถ้าหากว่าเราพบอะไรที่เราต้องการ
จะทำให้ภาคภูมิใจ อย่างที่ตัวฉันได้เจอกับเธอนี้

เพิ่งจะได้รู้  รู้ว่าเธอคนเดียวที่ทำให้ใจต้องหวั่นไหว
เพิ่งจะได้รู้  รู้ว่าเธอคนเดียวที่ทำให้เราไม่รอเก้อ
(ทำให้ฉันเจอ ทำให้พบสิ่งที่ต้องการ)

เพิ่งจะได้รู้  รู้ว่าเธอคนเดียวที่ทำให้ใจต้องหวั่นไหว
เพิ่งจะได้รู้  รู้ว่าเธอคนเดียวที่ทำให้เราไม่รอเก้อ
(ทำให้ฉันเจอ ทำให้พบสิ่งที่ต้องการ)

เพิ่งได้รู้  รู้ว่าเธอคือคนที่เราเฝ้ารอตลอดมา
เพิ่งจะได้รู้  รู้ว่าเธอคือคนสำคัญที่เราได้พานพบเจอ
เธอคือหัวใจ ที่ฉันเฝ้ารอที่ต้องการ นานแสนนาน",skalaxy
มอง,/music/thailyric/5494,"แค่เพียงได้มองเท่านั้นฉันก็สุขหัวใจ
แค่เพียงที่ฉันได้เจอ ฉันเองก็ดีใจ
เธอทำให้ใจอ่อนไหวทุกครั้งทีได้เจอ
เธอทำให้ฉันละเมอ ถึงเธอทุกๆ วัน

ยามเธอยิ้มก็อยากจะมอง
ยามเธอหันก็อยากจะมอง
ฉันเก็บเอาเธอไปฝันทุกวันทุกคืนไป
มันเป็นคำสั่งจากหัวใจ ให้ฉันมองเธอทุกวัน
อะไรที่เกิดขึ้นกับฉันไม่รู้มันเป็นได้ยังไง
ใจมันไปหลงรักใคร ที่เขาไม่ใช่ของเรา
ยามเธอยิ้มก็อยากจะมอง
ยามเธอหันก็อยากจะมอง

ฉันรู้ ว่าเธอมีใครครอบครอง
ฉันรู้ ว่าเธอมีใครเขาจอง
แต่ฉัน ก็ขอแค่เพียงได้มอง

ก็คงต้องขอโทษเธอกับเขาที่ขัดใจ
ก็คงต้องขออภัย ที่ฉันมองเธอคนเดียว

เธอคงไม่โกรธใช่ใหม ฉันไม่คิดล่วงเกิน
แค่เพียงฉันจ้องเพลินๆ เจริญหัวใจ
ยามเธอยิ้มก็อยากจะมอง
ยามเธอหันก็อยากจะมอง

ฉันรู้ ว่าเธอมีใครครอบครอง
ฉันรู้ ว่าเธอมีใครเขาจอง
แต่ฉัน ก็ขอแค่เพียงได้มอง",skalaxy
มองที่ใจ,/music/thailyric/5495,"เคยไหมถ้ามองใครด้วยสายตา เธอจะมองไม่เห็นใจที่เค้ามี
ไม่มีทางเจอคนที่แสนดี เธอต้องมองให้ลึกไปในหัวใจ
แล้วเธอจะพบใครในหัวใจ เธอจงมองคนด้วยหัวใจ

เธอจะเข้าใจ และจะได้พบกับคนที่แสนดี
ซาบซึ้งถึงหัวใจ ที่จะได้พบสุขที่แท้จริง

วันไหนที่ใจเธอแข็งแกร่ง และมองด้วยหัวใจในทุกสิ่ง
เธอจะมีดวงใจที่เห็นจริง เธอต้องมองให้ลึกไปในหัวใจ
แล้วเธอจะพบใครอยู่ข้างใน เธอจงมองคนด้วยหัวใจ

เธอจะเข้าใจ และจะได้พบกับคนที่แสนดี
ซาบซึ้งถึงหัวใจ ที่จะได้พบสุขที่แท้จริง

วันไหนที่ใจเธอแข็งแกร่ง และมองด้วยหัวใจในทุกสิ่ง
เธอจะมีดวงใจที่เห็นจริง เธอต้องมองให้ลึกไปในหัวใจ
แล้วเธอจะพบใครอยู่ข้างใน เธอจงมองคนด้วยหัวใจ

เธอจะเข้าใจ และจะได้พบกับคนที่แสนดี
ซาบซึ้งถึงหัวใจ ที่จะได้พบสุขที่แท้จริง

และเธอจะเข้าใจ และจะได้พบกับวันที่แสนดี
ซาบซึ้งถึงหัวใจ ที่จะได้พบสุขที่แท้จริง

วัน ทู ทรี โก..",skalaxy
