song_name,href,lyric,artist
Popular Vote,/music/thailyric/14313,"นาฬิกาต้องหยุดตรงนั้น
โลกทั้งใบต้องหยุดเอาไว้

รางวัลจากความสวยงาม มีให้เธอ
รางวัลปลอบใจที่รอจะให้เธอ
เป็นคนชื่นชมที่คอยเพียงแค่เธอ
ผู้เดียวเสมอ ในหลายรายที่

ตรงนี้ ทุกวันไม่เว้นวัน คะแนนฉันมีอยู่เสมอ
เหลือเกินที่ให้เธอ
ขอเป็นคนดูที่แสนดีอยู่ตรงนี้
ขอเป็นคนฟัง จะฟังแค่เธอต่อจากนี้
เสมอ เสมอ

ทุกสายตาต้องหยุดตรงนั้น
ความสวยงามเธอหยุดเอาไว้

รางวัลจากความสวยงาม มีให้เธอ
รางวัลปลอบใจที่รอจะให้เธอ
เป็นคนชื่นชมที่คอยเพียงแค่เธอ
ผู้เดียวเสมอ ในหลายรายที่

ตรงนี้ ทุกวันไม่เว้นวัน คะแนนฉันมีอยู่เสมอ
เหลือเกินที่ให้เธอ
ขอเป็นคนดูที่แสนดีอยู่ตรงนี้
ขอเป็นคนฟัง จะฟังแค่เธอต่อจากนี้
เสมอ เสมอ

รางวัลจากความสวยงาม มีให้เธอ
รางวัลปลอบใจที่รอจะให้เธอ
เป็นคนชื่นชมที่คอยเพียงแค่เธอ
ผู้เดียวเสมอ ในหลายรายที่

ตรงนี้ ทุกวันไม่เว้นวัน คะแนนฉันมีอยู่เสมอ
เหลือเกินที่ให้เธอ
ขอเป็นคนดูที่แสนดีอยู่ตรงนี้
ขอเป็นคนฟัง จะฟังแค่เธอต่อจากนี้
เสมอ เสมอ",slur
ดูหมา (Barking Dog),/music/thailyric/10667,"เธอคนที่มีดอกไม้ เธอคนที่มีรอยยิ้ม
วันที่เธอทำให้เห็นว่าเธอคือเช้าวันใหม่
เกิดมาในสายตา
ทุกห้วงเวลาที่ฉันลืมตา ลืมตา

เธอคนที่มีรองเท้า เธอคนที่มีกระเป๋า
วันที่ทุกคนต่างเห็นว่าเธอนั้นสวยเกินใคร
เกิดมาในสายตา ทุกห้วงเวลาที่ฉันลืมตา

เธอก็โบยบินเข้ามา เข้ามาหาในหัวใจ
แต่พอเธอหามันไม่เจอเธอก็ไป
ไปหาปลา ไปซื้อยา
เธอต้องไปดูหมา เธอต้องไปดูหมา

เธอคนที่มีดอกไม้ เธอคนที่มีรอยยิ้ม
วันที่เธอทำให้เห็นว่าเธอคือเช้าวันใหม่
เกิดมาในสายตา ทุกห้วงเวลาที่ฉันลืมตา

เธอก็โบยบินเข้ามา เข้ามาหาในหัวใจ
แต่พอเธอหามันไม่เจอเธอก็ไป
เธอก็โบยบินเข้ามา เข้ามาหาในหัวใจ
แต่พอเธอหามันไม่เจอเธอก็ไป
ไปหาปลา ไปซื้อยา
เธอต้องไปดูหมา เธอต้องไปดูหมา
เธอต้องไปดูหมา เธอต้องไปดูหมา

เธอคนที่มีดอกไม้ เธอคนที่มีดอกไม้
เธอคนที่มีดอกไม้ เธอคนที่มีดอกไม้",slur
เพราะทุกครั้ง (Tears),/music/thailyric/10465,"ทำไมนาฬิกาที่เดินอยู่ช้าลง
หรือมันคอยบางคน ให้เดินตามหา

เศร้าใจทำไมนะ อย่าร้องไห้อีกเลย
แม้ว่าเธอมีความทุกข์ใจแค่ไหน

เพราะทุกครั้งที่เธอมีน้ำตา ดั่งฟ้าทลาย
และทุกครั้งที่เธอต้องเสียใจ ดอกไม้ก็โรย
อยากให้เธอ ได้เจอกับความสดใส อย่าเสียใจเลยเธอ

ทำไมดวงตะวันถึงมีเมฆฝนบัง
ทำไมตอนกลางคืนถึงมองไม่เห็นดาว

เศร้าใจทำไมนะ อย่าร้องไห้อีกเลย
แม้ว่าเธอมีความทุกข์ใจแค่ไหน

เพราะทุกครั้งที่เธอมีน้ำตา ดั่งฟ้าทลาย
และทุกครั้งที่เธอต้องเสียใจ ดอกไม้ก็โรย
อยากให้เธอ ได้เจอกับความสดใส
อย่าเสียใจเลยเธอ อย่าเสียใจเลยเธอ

เศร้าใจทำไมนะ อย่าร้องไห้อีกเลย
แม้ว่าเธอมีความทุกข์ใจแค่ไหน

เพราะทุกครั้งที่เธอมีน้ำตา ดั่งฟ้าทลาย
และทุกครั้งที่เธอต้องเสียใจ ดอกไม้ก็โรย
เพราะทุกครั้งที่เธอต้องฝืนใจ ก็ไร้ดวงดาว
และทุกวันที่เป็นอย่างนี้ เกิดขึ้นเพราะเธอเศร้าใจ
อยากให้เธอ ได้เจอกับความสดใส
เจ็บครั้งนี้ มันจะเป็นครั้งสุดท้าย",slur
โลกสอง (Us),/music/thailyric/11018,"ความวุ่นวายที่มีตลอดมา มีคนอีกหลายไม่ใส่ใจ
ต้องทนทรมานอยู่ต่อไป ก็มีจุดหมายไม่คล้ายกัน
แม้ทุกอย่างเปลี่ยนแปลงรอบกายเรา ไม่มีความหมายทั้งนั้น
เพราะว่าความจริงที่ฉันได้พบเจอ มันมีบางสิ่งไม่เข้าใจ

โลกมีเพียงแค่สองเรา ความจริงที่ใจได้บอกมา
โลกมีเพียงแค่สองเรา เวลาไม่เดินไปจากตรงนี้

มีความจริงมากมายอยู่ในนั้น บางคำที่ฉันไม่บอกไป
แม้ทุกอย่างเปลี่ยนแปลงรอบกายเรา ไม่มีความหมายทั้งนั้น
เพราะว่าความจริงที่ฉันได้พบเจอ มันมีบางสิ่งไม่เข้าใจ

โลกมีเพียงแค่สองเรา ความจริงที่ใจได้บอกมา
โลกมีเพียงแค่สองเรา เวลาไม่เดินไปจากตรงนี้

โลกมีเพียงแค่สองเรา ความจริงที่ใจได้บอกมา
โลกมีเพียงแค่สองเรา เวลาไม่เดินไปจากตรงนี้

แม้ทุกอย่างเปลี่ยนแปลงรอบกายเรา ไม่มีความหมายทั้งนั้น
เพราะว่าความจริงที่ฉันได้พบเจอ มันมีบางสิ่งไม่เข้าใจ

โลกมีเพียงแค่สองเรา ความจริงที่ใจได้บอกมา
โลกมีเพียงแค่สองเรา เวลาไม่เดินไปจากตรงนี้

โลกมีเพียงแค่สองเรา ความจริงที่ใจได้บอกมา
โลกมีเพียงแค่สองเรา เวลาไม่เดินไปจากตรงนี้

โลกมีเพียงแค่สองเรา ความจริงที่ใจได้บอกมา
โลกมีเพียงแค่สองเรา เวลาไม่เดินไปจากตรงนี้

โลกมีเพียงแค่สองเรา ความจริงที่ใจได้บอกมา
โลกมีเพียงแค่สองเรา เวลาไม่เดินไปจากตรงนี้

โลกมีเพียงแค่สองเรา ความจริงที่ใจได้บอกมา
โลกมีเพียงแค่สองเรา เวลาไม่เดินไปจากตรงนี้",slur
หรือ (Or),/music/thailyric/11014,"ฉันยังยืนอยู่ตรงนี้ ทุกสิ่งยังอยู่ตรงนี้
นาฬิกาของความรู้สึก ไม่หยุดเดิน
แม้ว่าเธอนั้นจะไกลห่าง จากตรงนี้
อยาก ให้เธอนั้นคือกลับมา

หรือฉันควรจะเดินไป ปล่อยให้วันผันผ่านเปลี่ยน
เวียนและวนในเส้นทางเดิน ฉันต้องทำอย่างไร
หรือฉันควรจะรอคอย อยู่กับวันที่ไม่มีจริง
ทุกสิ่งที่ทรมานใจ ฉันต้องทำอย่างไร

ฉันยังรออยู่ตรงนี้ ทุกสิ่งเคยอยู่ตรงนี้
นาฬิกาของความรู้สึก ไม่หยุดเดิน
แม้ว่าเธอนั้นจะไกลห่าง จากตรงนี้
อยาก ให้เธอนั้นคือกลับมา

หรือฉันควรจะเดินไป ปล่อยให้วันผันผ่านเปลี่ยน
เวียนและวนในเส้นทางเดิน ฉันต้องทำอย่างไร
หรือฉันควรจะรอคอย อยู่กับวันที่ไม่มีจริง
ทุกสิ่งที่ทรมานใจ ฉันต้องทำอย่างไร

หรือฉันควรจะเดินไป ปล่อยให้วันผันผ่านเปลี่ยน
เวียนและวนในเส้นทางเดิน ฉันต้องทำอย่างไร
หรือฉันควรจะรอคอย อยู่กับวันที่ไม่มีจริง
ทุกสิ่งที่ทรมานใจ ฉันต้องทำอย่างไร",slur
หากใจ (Heart Joy),/music/thailyric/10155,"หากใจ เธอไม่เหมือนวันก่อน
เปลี่ยนไป เธอต้องยอม
หากเธอถูกทำร้ายจนอ่อน
อยากพอ เธอก็พอ

มองฟ้าให้ดี ถ้าเธอมองอยู่
สายลมแรงที่คอยเธออยู่
โลกยังรอให้เธอเรียนรู้

เธออยากจะเดินก็เดิน จากนี้แค่ปล่อยมันไว้
อยากเมินก็เมิน หากรักเธอหมดความหมาย
จงทิ้งมันไปถ้าเธอสับสน
จงทิ้งมันไปถ้าเธอผิดหวัง
ไปรับความจริงที่เธอต้องเจอ อาอาอาอาอาอา

หากใจเจ็บและเสียน้ำตา
กับใคร คงไม่นาน
หากเธอเก็บมันไว้ข้างใน
จิตใจ ทรมาน

มองฟ้าให้ดี ถ้าเธอมองอยู่
สายลมแรงที่คอยเธออยู่
โลกยังรอให้เธอเรียนรู้

เธออยากจะเดินก็เดิน จากนี้แค่ปล่อยมันไว้
อยากเมินก็เมิน หากรักเธอหมดความหมาย
จงทิ้งมันไปถ้าเธอสับสน
จงทิ้งมันไปถ้าเธอผิดหวัง
ไปรับความจริงที่เธอต้องเจอ อาอาอาอาอาอา

ทิ้งมันไปถ้าเธอสับสน
ทิ้งมันไปถ้าเธอผิดหวัง
รับความจริงที่เธอต้องการอยากเจอ

เธออยากจะเดินก็เดิน จากนี้แค่ปล่อยมันไว้
อยากเมินก็เมิน หากรักเธอหมดความหมาย
จะรักทำไมถ้าเธออ่อนล้า
จะรักทำไมถ้าเธอหวั่นไหว
ยอมรับความจริงที่เธอต้องเจอ อาอาอาอาอาอา",slur
ภาพเก่า (Flashback),/music/thailyric/15131,"แล้วเมื่อถึงที่สุดท้าย
ดูคล้ายๆ เหมือนเดิมทุกอย่าง
ภาพที่แล้ว หมุนวนและย้อนมา
แต่กับใคร ที่เราไม่คุ้นตา

ความกังวลที่ดูเหมือนว่ามันจะกลับมา
ความกังวลที่ดูเหมือนว่าคำตอบที่ตามหา
มันคือตัวเองที่ได้รู้ว่า ทุกอย่างในสายตา
ทั้งหมดนั้น ที่ฉันต้องเจอคือเรื่องจริง

มีเพียงคำบอกลาเรื่อยไป
มีแต่ฉันคนเดียวต่อไป
ที่ยังยืนอยู่ตรงนี้

ไม่ได้หวังให้ใครรู้
ไม่ได้ขอให้เธอเฝ้าดู
ภาพที่เหลือของคนที่เธอจาก
คือความหลังที่เธอนั้นเดินผ่าน

ความกังวลที่ดูเหมือนว่ามันจะกลับมา
ความกังวลที่ดูเหมือนว่าคำตอบที่ตามหา
มันคือตัวเองที่ได้รู้ว่า ทุกอย่างในสายตา
ทั้งหมดนั้น ที่ฉันต้องเจอคือเรื่องจริง

มีเพียงคำบอกลาเรื่อยไป
มีแต่ฉันคนเดียวต่อไป
ที่ยังยืนอยู่ตรงที่เดิม

มีเพียงคำบอกลาเรื่อยไป
มีแต่ฉันคนเดียวต่อไป
ที่ยังยืนอยู่ตรงที่เดิม

จากนี้คือเรื่องจริง
จากนี้คือเรื่องจริง
มีเพียงคำบอกลาเรื่อยไป

มีเพียงคำบอกลาเรื่อยไป
มีแต่ฉันคนเดียวต่อไป
ที่ยังยืนอยู่ตรงที่เดิม

มีเพียงคำบอกลาเรื่อยไป
มีแต่ฉันคนเดียวต่อไป
มีแต่ฉันคนเดียวเรื่อยไป",slur
หลง (Lost),/music/thailyric/14509,"ไม่เคยจะรู้เลย
ไม่เคยได้รู้เลย
อยู่ไหน ทางที่ใจตามหา

หลงอยู่ในวันที่ดูว่างเปล่า
หลงอยู่ในความเสียใจหม่นหมอง

หลงอยู่ในแสงไฟเสียงเพลงหลากหลาย
หลงไปไกลออกไป เท่าไร

หลงอยู่ในวันที่ดูมืดหม่น
หลงอยู่ในความทุกข์ทนอ่อนล้า

หลงอยู่ในแสงไฟเสียงเพลงหลากหลาย
หลงไปไกลออกไป เท่าไร

ไม่เคยจะรู้เลย
ไม่เคยได้รู้เลย
อยู่ไหน ทางที่ใจตามหา

ไม่ว่าฉันหรือเธอหรือใคร
ต้องเคยหลงทางอยู่เสมอ

หลงอยู่ในแสงไฟเสียงเพลงหลากหลาย
หลงไปไกลออกไป เท่าไร

ไม่เคยจะรู้เลย
ไม่เคยได้รู้เลย
อยู่ไหน ทางที่ใจตามหา

ไม่เคยจะรู้เลย
ไม่เคยได้รู้เลย
อยู่ไหน ทางที่ใจตามหา

หลงอยู่ในวันที่ดูว่างเปล่า
อยู่กับฝันที่เดินต่อไป
หลงอยู่ในวันที่ดูว่างเปล่า

หลงอยู่ในวันที่ดูว่างเปล่า
อยู่กับฝันที่เดินต่อไป
หลงอยู่ในวันที่ดูว่างเปล่า",slur
อย่าหวัง (Hopeless),/music/thailyric/15588,"ยืนยันกับฟ้าว่ามีทางออก
มีคำว่ารักต้องมีคำตอบ
เส้นทางขวากหนามที่อยู่ในใจ
ความวุ่นวายที่ไกลแสนไกล

อย่าหวังที่จะได้เจอ กับความรัก กับความรัก
ก็รู้ตัวดีเสมอ เพราะการจะเจอมันไม่ง่าย
ในทางที่ฉันเลือกเดิน

วันวานอ่อนล้าท่ามกลางเมฆหมอก
ยังรอความหวังให้เป็นคนบอก
เส้นทางขวากหนามที่อยู่ในใจ
ความวุ่นวายที่ไกลแสนไกล

อย่าหวังที่จะได้เจอ กับความรัก กับความรัก
ก็รู้ตัวดีเสมอ เพราะการจะเจอมันไม่ง่าย
ในทางที่ฉันเลือกเดิน

เส้นทางขวากหนามที่อยู่ในใจ
ความวุ่นวายที่ไกลแสนไกล
มันก็เป็นเพียงลมหายใจล่องลอยเคลิ้มไป เท่านั้น

อย่าหวังที่จะได้เจอ กับความรัก กับความรัก
อย่าหวังที่จะได้เจอ กับความรัก กับความรัก
อย่าหวังที่จะได้เจอ กับความรัก กับความรัก
ก็รู้ตัวดีเสมอ เพราะการจะเจอมันไม่ง่าย
ในทางที่ฉันเลือกเดิน",slur
ดวงอาทิตย์,/music/thailyric/5730,"แค่เพียงเงาสะท้อน
ก็ทำให้ตอนนั้นตาจะเริ่มบอด
เพราะฉันยังมองได้ แค่เพียงเงาสะท้อน
ไม่เคยได้มองตรงๆยังงงอยู่

ทุกครั้งเวลาที่เจอเธอ ดั่งแสงที่แรงเหมือนฟ้าผ่า
ผ่านมาให้รู้ว่า เมื่อเธอจากฉัน

ดาวกระจ่างตา ขอบฟ้าสว่างสดใส
ไม่คิดว่ามีบางสิ่งที่หาย
แต่ยังหวั่นไหวถ้าได้เจอ

แค่เพียงเงาสะท้อน
ก็ทำให้ตอนนั้นตาจะเริ่มบอด
เพราะฉันยังมองได้ แค่เพียงเงาสะท้อน
ไม่เคยได้มองตรงๆยังงงอยู่

ทุกครั้งเวลาที่เจอเธอ ดั่งแสงที่แรงเหมือนฟ้าผ่า
ผ่านมาให้รู้ว่า เมื่อเธอจากฉัน

ดาวกระจ่างตา ขอบฟ้าสว่างสดใส
ไม่คิดว่ามีบางสิ่งที่หาย
แต่ยังหวั่นไหวถ้าได้เจอ

แค่เพียงเงาสะท้อน
ก็ทำให้ตอนนั้นตาจะเริ่มบอด
เพราะฉันยังมองได้ แค่เพียงเงาสะท้อน
ไม่เคยได้มองตรงๆยังงงอยู่

ทุกครั้งเวลาที่เจอ..
ดาวกระจ่างตา ขอบฟ้าสว่างสดใส
ไม่คิดว่ามีบางสิ่งที่หาย
แต่ยังหวั่นไหวถ้าได้เจอ
ถ้าได้เจอ..",slur
