song_name,href,lyric,artist
คงไม่ทัน,/music/thailyric/9766,"ในแววตาที่เธอได้มองฉัน
ทำให้รู้ว่านาฬิกา ไม่อาจหมุนทวนกาลเวลา
และทำให้รู้ว่าคงไม่มีหวัง
ที่ให้เธอได้ไปด้วยกัน ที่ให้เราได้ก้าวไปพร้อมกัน

แค่ฝันไว้สักวัน เธอจะเป็นคนๆ นั้น มีสิ่งนั้นร่วมกับฉัน
สิ่งที่คนรักกันนั้นควรจะมี จากวันนี้ จนวันสุดท้าย

แล้วเธอก็เดินจากไป ปล่อยให้วันเวลาดีๆ เป็นเพียงแค่ฝุ่นผง
ทุกอย่างคงต้องเดินต่อไป
แต่ถ้าฉันต้องรอให้เธอกลับมาเริ่มใหม่ คงไม่ทัน

ปล่อยฉันไว้คนเดียวที่ตรงนี้
ก็คงไม่เป็นอะไร ให้เธอได้ไปตามต้องการ

แค่ฝันไว้สักวัน เธอจะเป็นคนๆ นั้น มีสิ่งนั้นร่วมกับฉัน
สิ่งที่คนรักกันนั้นควรจะมี จากวันนี้ จนวันสุดท้าย

แล้วเธอก็เดินจากไป ปล่อยให้วันเวลาดีๆ เป็นเพียงแค่ฝุ่นผง
ทุกอย่างคงต้องเดินต่อไป
แต่ถ้าฉันต้องรอให้เธอกลับมาเริ่มใหม่ คงไม่ทัน

แล้วเธอก็เดินจากไป ปล่อยให้วันเวลาดีๆ เป็นเพียงแค่ฝุ่นผง
ทุกอย่างยังคงต้องหมุนไป
แต่ถ้าฉันต้องรอให้เธอกลับมาเริ่มใหม่ คงไม่ทัน
แต่ถ้าฉันต้องรอให้เธอกลับมาเริ่มใหม่ คงไม่ทัน

นาฬิกาไม่เคยจะเดินกลับหลัง
เธอก็ยังจะมีทางเดินของเธอ
ฉันก็ยังต้องเดินต่อไปจากนี้ คงเป็นไปไม่ได้กับคำว่าเหมือนเดิม
เพราะนาฬิกาไม่เคยจะเดินกลับหลัง",songkarn_rangsant
คน,/music/thailyric/16910,"ก่อนนอนหลับตาค้นหา
ว่าตัวเอง เกิดมา เพื่ออะไร
เพื่อใครคนนั้น เพื่อทำตามฝัน
หรือฉันเกิดมาแค่หายใจ

จะเป็นภาระ หรือประโยชน์
เป็นคุณ หรือ เป็นโทษ
ต่อพื้นแผ่นดินที่คลุมร่างกาย
ในใจฉันมันตอบ
เกิดเป็นคนมันต้องมีความหมาย

จะไม่ให้ใครมาหยาม จะไม่ให้ใครมาถาม
ว่าตัวฉันเกิดมาเพื่ออะไร จากนี้จนวันสุดท้าย
ให้เลือดทุกหยดในกายนั้นเป็นคำตอบ

ชีวิตที่อยู่ข้างหลัง ความหวังที่อยู่กับฉัน
สื่อความหมายกับลมหายใจที่เข้าออก
ว่ามันแสนยิ่งใหญ่ และมันช่างมีความหมาย
ที่ได้เกิดเป็น คน

ตราบใดแผ่นฟ้านั้นยังมีเปลวไฟ
หมอกขาว กวนจิตใจ
คำถามเหล่านั้น ก็ดังอีกครั้ง
ว่าฉันจะหยุดมันหรือจะหนีไป

ให้หนึ่ง ชีวิตไร้ประโยชน์
มีคุณหรือเป็นโทษ
ต่อพื้นแผ่นดินแผ่นฟ้ากว้างใหญ่
และใจฉันมันตอบ
อย่าไปกลัวเราต้องสู้ต่อไป

จะไม่ให้ใครมาหยาม จะไม่ให้ใครมาถาม
ว่าตัวฉันเกิดมาเพื่ออะไร จากนี้จนวันสุดท้าย
ให้เลือดทุกหยดในกายนั้นเป็นคำตอบ

ชีวิตที่อยู่ข้างหลัง ความหวังที่อยู่กับฉัน
สื่อความหมายกับลมหายใจที่เข้าออก
ว่ามันแสนยิ่งใหญ่ และมันช่างมีความหมาย
ที่ได้เกิดเป็น คน

จะไม่ให้ใครมาหยาม จะไม่ให้ใครมาถาม
ว่าตัวฉันเกิดมาเพื่ออะไร จากนี้จนวันสุดท้าย
ให้เลือดทุกหยดในกายนั้นเป็นคำตอบ

ชีวิตที่อยู่ข้างหลัง ความหวังที่อยู่กับฉัน
สื่อความหมายกับลมหายใจที่เข้าออก
ว่ามันแสนยิ่งใหญ่ และมันช่างมีความหมาย
ที่ได้เกิดเป็น คน",songkarn_rangsant
คำขอคนเจ็บ,/music/thailyric/15772,"ยอมให้เธอหมดแล้วที่มี
ทุ่มเทไปมากมายเท่าไรก็เหมือนมันจะไม่ดี
คำว่ารักที่เธออยากฟังทุกที
มาวันนี้คำนั้นจากฉัน
เธอคงไม่อยากฟังอีกแล้ว

ฉันต้องห้ามยังไง
ฉันต้องรั้งยังไง ไม่ให้เสียเธอไป

หากเธอไม่รักฉันแล้วก็ไม่เป็นไร
แต่อย่าเพิ่งไปรักใครคนอื่นได้หรือเปล่า
เผื่อว่าฉันนั้นยังพอมีโอกาสสักคราว
ถ้าหากเธอไปแล้วฉันคงอยู่ไม่ไหว
หากไม่มีเธอให้รัก

ตั้งแต่วันที่เธอกับรักกัน
ก็ไม่เคยเลยที่จะคิดเผื่อใจไว้ให้ใคร
เปลี่ยนตัวเองให้เธอมากมายเท่าไร
มาวันนี้เธอคงไม่จำสิ่งเหล่านั้นอีกแล้วใช่ไหม

ฉันต้องห้ามยังไง
ฉันต้องรั้งยังไง ไม่ให้เสียเธอไป

หากเธอไม่รักฉันแล้วก็ไม่เป็นไร
แต่อย่าเพิ่งไปรักใครคนอื่นได้หรือเปล่า
เผื่อว่าฉันนั้นยังพอมีโอกาสสักคราว
ถ้าหากเธอไปแล้วฉันคงอยู่ไม่ไหว
หากไม่มีเธอให้รัก

หากเธอไม่รักฉันแล้วก็ไม่เป็นไร
แต่อย่าเพิ่งไปรักใครคนอื่นได้หรือเปล่า
เผื่อว่าฉันนั้นยังพอมีโอกาสสักคราว
ถ้าหากเธอไปแล้วฉันคงอยู่ไม่ไหว
หากไม่มีเธอให้รัก

ถ้าหากเธอไปแล้วฉันคงอยู่ไม่ไหว
หากไม่มีเธอให้รัก",songkarn_rangsant
แค่ฝันได้ไหม,/music/thailyric/12140,"จากกัน นานเท่าไร
ยังจำได้ดี วันที่ฉันเองทำให้เธอเสียใจและมีน้ำตา
อาจเพราะฉัน ยังไม่เข้าใจในความห่วงใยที่เธอให้กัน
กลับทิ้ง ให้มันเป็นสิ่งไร้ค่า

ทุกอย่างจึงต้องสลาย สุดท้ายรักนี้ไม่มีโอกาสต่อไป

ขอให้ทุกอย่างเป็นเพียงแค่ฝันไปได้ไหม
ให้เหตุการณ์นี้ได้พลันหายไปเมื่อฉันตื่น
เจ็บปวดเท่าไรยังจำได้ ใจบอกไม่อาจฝืน
อยากลืมตาแล้วตื่น แล้วลืมภาพเหล่านั้นไป

อยากเปลี่ยนวัน ที่ทรมาน
ให้กลับมาเป็นวันที่เคยได้ข้างเคียงกัน ไม่ว่าสุขทุกข์เท่าไร
แต่วันนี้คงทำได้เพียงบอกตัวเองไว้ ความทรงจำจะดีแค่ไหน
มันก็เป็นแค่สิ่งที่อยู่ในใจ

ทุกอย่างจึงต้องสลาย สุดท้ายรักนี้ไม่มี โอกาสต่อไป

ขอให้ทุกอย่างเป็นเพียงแค่ฝันไปได้ไหม
ให้เหตุการณ์นี้ได้พลันหายไปเมื่อฉันตื่น
เจ็บปวดเท่าไรยังจำได้ ใจบอกไม่อาจฝืน
อยากลืมตาแล้วตื่น แล้วลืมภาพเหล่านั้น.. ไป

ทุกอย่างจึงต้องสลาย สุดท้ายรักนี้ไม่มี โอกาสต่อไป

ขอให้ทุกอย่างเป็นเพียงแค่ฝันไปได้ไหม
ให้เหตุการณ์นี้ได้พลันหายไปเมื่อฉันตื่น
เจ็บปวดเท่าไรยังจำได้ ใจบอกไม่อาจฝืน
อยากลืมตาแล้วตื่น

ขอให้ทุกอย่างเป็นเพียงแค่ฝันไปได้ไหม
ให้เหตุการณ์นี้ได้พลันหายไปเมื่อฉันตื่น
เจ็บปวดเท่าไรยังจำได้ ใจบอกไม่อาจฝืน
อยากลืมตาแล้วตื่น แล้วลืมภาพเหล่านั้นไป
แล้วลืมภาพเหล่านั้นไป
อยากลืมตาแล้วตื่น.. แล้วลืมภาพเหล่านั้นไป..",songkarn_rangsant
ใจนักเลง,/music/thailyric/10243,"เมื่อเธอเลือกอยู่กับเขา
ตัวฉันคุกเข่าสั่นไหว
ใจนักเลงจึงปวดร้าวเจียนตาย
ปล่อยเธอไปตามใจเธอต้องการ

จะยอมให้สั่งและตัดสิน
ว่าฉันต้องถูกทอดทิ้ง
เรานั้นมันไม่อาจฝืนความจริง
ได้แต่ยิ้มอวยพรให้ไปดี

ให้เธอได้กับเขา และจงโชคดี
อย่ามีอะไรให้เสียใจ
ส่วนตัวฉันจะลืม ว่าเคยร้องไห้
ลืมว่าเคยต้องเป็นใคร ที่เธอไม่เอา

จะยอมให้สั่งและตัดสิน
ว่าฉันต้องถูกทอดทิ้ง
เรานั้นมันไม่อาจฝืนความจริง
ได้แต่ยิ้มอวยพรให้ไปดี

ให้เธอได้กับเขา และจงโชคดี
อย่ามีอะไรให้เสียใจ
ส่วนตัวฉันจะลืม ว่าเคยร้องไห้
ลืมว่าเคยต้องเป็นใคร ที่เธอไม่เอา

ให้เธอได้กับเขา และจงโชคดี
อย่ามีอะไรให้เสียใจ
ส่วนตัวฉันจะลืม ว่าเคยร้องไห้
ลืมว่าเคยต้องเป็นใคร

ให้เธอได้กับเขา และจงโชคดี
อย่ามีอะไรให้เสียใจ
ส่วนตัวฉันจะลืม ว่าเคยร้องไห้
ลืมว่าเคยต้องเป็นใคร
ลืมว่าเคยต้องเสียใจ ที่เธอไม่เอา",songkarn_rangsant
ฉันเข้าใจ,/music/thailyric/13651,"รู้ดีว่าเธอคงอยู่ไม่ไหว
จะเอาอะไรกับคนอย่างฉัน
เมื่อในหัวใจวันนี้มันไม่ใช่ฉัน
และเธอก็คงเลือกที่จะไปกับเขา

จากนี้ไม่มีอีกแล้วคำว่าเรา
ต่อให้พูดอะไรก็คงไม่มีความหมาย
ต้องปล่อยเธอไปแม้ใจไม่ต้องการ

อยากบอกเธอว่ารักแต่ทำไม่ได้
มันเจ็บจนเกินไปที่จะพูดมัน
รีบไปจากตรงนี้ถ้าเธอไม่รักกัน
ปล่อยให้มันผ่าน อย่างที่เธอต้องการ
ฉันเข้าใจ

ถ้าเธอคิดมาดีแล้ว ก็แล้วไป
จะเอาอะไรคืนไปก็ตามแต่เธอ
ฉันจะไม่ขวางไม่รั้งให้กวนใจเธอ
หากใจเธอมันเลือกที่จะไปกับเขา

จากนี้ไม่มีอีกแล้วคำว่าเรา
ต่อให้พูดอะไรก็คงไม่มีความหมาย
ต้องปล่อยเธอไปแม้ใจไม่ต้องการ

อยากบอกเธอว่ารักแต่ทำไม่ได้
มันเจ็บจนเกินไปที่จะพูดมัน
รีบไปจากตรงนี้ถ้าเธอไม่รักกัน
ปล่อยให้มันผ่าน อย่างที่เธอต้องการ
ฉันเข้าใจ

อยากบอกเธอว่ารักแต่ทำไม่ได้
มันเจ็บจนเกินไปที่จะพูดมัน
รีบไปจากตรงนี้ถ้าเธอไม่รักกัน
ปล่อยให้มันผ่าน อย่างที่เธอต้องการ

อยากบอกเธอว่ารักแต่ทำไม่ได้
มันเจ็บจนเกินไปที่จะพูดมัน
รีบๆ ไปได้ไหมถ้าเธอไม่รักกัน
ปล่อยให้มันผ่าน อย่างที่เธอต้องการ
ฉันเข้าใจ",songkarn_rangsant
เดิมพันชีวิต,/music/thailyric/11114,"รู้ดีหนทางที่ใจเลือกเดินมันหนักแค่ไหน
ต้องมีบาดแผลมันสักเท่าไร ไม่เคยรีรอ
ร่างกายบอบช้ำยังไงไม่ทำให้ใจฉันท้อ
เดิมพันชีวิตที่เหลือเพื่อเธอที่อยู่ข้างหลัง

ฉันยังหวังจะเดินมุ่งไป และจะทำมันสุดใจ
แม้ต้องหกล้มสักเท่าไร

ชีวิตนี้ยินดีจะพลีลงไปมันเพื่อเธอ
เชื่อสักวันต้องเจอปลายทางที่สองเราใฝ่ฝัน
ไม่เสียดายอะไร จะไปจะเสี่ยงเพื่อสักวัน
วันที่เรายังหายใจ วันที่งดงาม วันที่พบแสงสว่าง
ตายเป็นตาย ก็จะขอสู้ด้วยหัวใจ

ฉันยังไม่รู้ต้องใช้เวลาอีกนานแค่ไหน
บางทีสุดท้ายไม่ได้อะไร ก็ยังภูมิใจ
ที่สุดอย่างน้อยได้ทำเพื่อคนที่ใจฉันรัก
จะฝ่าพายุด้วยแรงศรัทธาและเชื่อสักวัน

ฉันยังหวังจะเดินมุ่งไป และจะทำมันสุดใจ
แม้ต้องหกล้มสักเท่าไร

ชีวิตนี้ยินดีจะพลีลงไปมันเพื่อเธอ
เชื่อสักวันต้องเจอปลายทางที่สองเราใฝ่ฝัน
ไม่เสียดายอะไร จะไปจะเสี่ยงเพื่อสักวัน
วันที่เรายังหายใจ วันที่งดงาม วันที่พบแสงสว่าง
ตายเป็นตาย ก็จะขอสู้ด้วยหัวใจ

ชีวิตนี้ยินดีจะพลีลงไปมันเพื่อเธอ
เชื่อสักวันต้องเจอปลายทางที่สองเราใฝ่ฝัน
ไม่เสียดายอะไร จะไปจะเสี่ยงเพื่อสักวัน
วันที่เรายังหายใจ วันที่งดงาม วันที่พบแสงสว่าง
ตายเป็นตาย ก็จะสู้ไป

ชีวิตนี้ยินดีจะพลีลงไปมันเพื่อเธอ
เชื่อสักวันต้องเจอปลายทางที่สองเราใฝ่ฝัน
ไม่เสียดายอะไร จะไปจะเสี่ยงเพื่อสักวัน
วันที่เรายังหายใจ วันที่งดงาม วันที่พบแสงสว่าง
ตายเป็นตาย ก็จะขอสู้ด้วยหัวใจ",songkarn_rangsant
ได้โปรดจงหายไป,/music/thailyric/19901,"เจ็บปวดที่ใจมันยังคิดถึงเธออยู่
ยังไม่รู้ต้องทำเช่นไร ไม่ให้หัวใจมันเจ็บอย่างนั้น
มีเเต่วันวานที่มาทำร้ายกัน
มีเเต่เรื่องเดิมๆ ที่มันยังคงฝังใจอยู่อย่างนั้น

ภาพความทรงจำยังคงชัดเจน
ภาพที่เธอลายังเห็น ยังไม่เคยเลือนหายไป

อีกนานไหม ที่ใจ จะเเข็งเเรงพอ
ที่จะลืมมันไป ที่จะลืมเธอไป
ไม่อยากจำสิ่งใด ที่มันเเล้วๆ มา
เเม้เเต่เพียงรอยยิ้ม ฉันไม่อยากมีน้ำตา

ไม่อยากช้ำ เพราะวันเก่าๆ ที่เเล้วมา
ได้โปรดจงหายไป

เคยปล่อยเวลาให้มันได้ลบทุกเรื่องราว
แต่ปล่อยเอาไว้ เนิ่นนานเท่าไร
ทำไมหัวใจยังเจ็บยังช้ำ

ภาพความทรงจำยังคงชัดเจน
ภาพที่เธอลายังเห็น ยังไม่เคยเลือนหายไป

อีกนานไหม ที่ใจ จะเเข็งเเรงพอ
ที่จะลืมมันไป ที่จะลืมเธอไป
ไม่อยากจำสิ่งใด ที่มันเเล้วๆ มา
เเม้เเต่เพียงรอยยิ้ม ฉันไม่อยากมีน้ำตา

ไม่อยากช้ำ เพราะวันเก่าๆ ที่เเล้วมา
ได้โปรดจงหายไป

ภาพความทรงจำยังคงชัดเจน
ภาพที่เธอลายังเห็น ยังไม่เคยเลือนหายไป

อีกนานไหม ที่ใจ จะเเข็งเเรงพอ
ที่จะลืมมันไป ที่จะลืมเธอไป
ไม่อยากจำสิ่งใด ที่มันเเล้วๆ มา
เเม้เเต่เพียงรอยยิ้ม ฉันไม่อยากมีน้ำตา

ไม่อยากช้ำ เพราะวันเก่าๆ ที่เเล้วมา
ได้โปรดจงหายไป",songkarn_rangsant
ได้ไหม,/music/thailyric/14129,"เหมือนในวันนี้ทุกอย่างจะเปลี่ยนไป
จากคำที่เธอบอกฉัน
ว่ารักของเราจะเป็นแค่ความหลัง
น้ำตาก็ไหลลงมาอย่างเฉียบพลัน
ไม่เคยคิดฝันไม่มีสักวัน
จะมีวันนี้ที่เธอบอกลามาทิ้งกัน

ก็พอเข้าใจในความต้องการของเธอ
แต่ก่อนที่เธอจะไป

ขอให้เธอได้โปรดฟังฉัน
กี่พันเรื่องราวที่เธอขอ
ฉันก็พร้อมให้เธอได้ทุกอย่าง
แล้วฉันขอเธอบ้างได้ไหม
ก่อนเธอตัดสินใจ
ขอให้เธอไม่ไปจะได้ไหม

เมื่อนึกย้อนไปในวันเก่าเหล่านั้น
ยังจำได้ไหมกว่าจะพบกัน
ยังจำได้ไหมว่านานเท่าไรที่รักกัน

ก็พอเข้าใจในความต้องการของเธอ
แต่ก่อนที่เธอจะไป

ขอให้เธอได้โปรดฟังฉัน
กี่พันเรื่องราวที่เธอขอ
ฉันก็พร้อมให้เธอได้ทุกอย่าง
แล้วฉันขอเธอบ้างได้ไหม
ก่อนเธอตัดสินใจ
ขอให้เธอไม่ไปจะได้ไหม

ขอให้เธอได้โปรดฟังฉัน
กี่พันเรื่องราวที่เธอขอ
ฉันก็พร้อมให้เธอได้ทุกอย่าง
แล้วฉันขอเธอบ้างได้ไหม
ก่อนเธอตัดสินใจ
ขอให้เธอไม่ไปจะได้ไหม

ก่อนเธอจากฉันไป
ขอให้เธอไม่ไปจะได้ไหม",songkarn_rangsant
บอกโลกให้รู้,/music/thailyric/20090,"มันคือรักที่เราให้กัน
รักของเราเท่านั้น
และทุกครั้งที่มองตากัน
เราเท่านั้นที่รู้ความหมาย

แต่วันนี้เราต้องห่างไกล
โลกของเราต่างไป
ต่อให้ฟ้ากั้นเรายังไง
ไม่มีวันให้ใจสลาย หายไป

อยากบอกให้โลกได้รู้
ว่ากูรักมึงเพียงใด
ไม่ว่าเราต้องแยกกันไกล
จำไว้หัวใจมีกัน

อยากบอกให้โลกได้รู้
ว่ากูรักมึงเท่านาน
กายเราไกลเท่านั้น
จิตผูกพันเหมือนเดิม

เพลงแห่งรักยังคงก้องดัง
ฝังในใจต่อไป
ต่อให้ฟ้ากั้นเรายังไง
ไม่มีวันให้ใจสลาย หายไป

อยากบอกให้โลกได้รู้
ว่ากูรักมึงเพียงใด
ไม่ว่าเราต้องแยกกันไกล
จำไว้หัวใจมีกัน

อยากบอกให้โลกได้รู้
ว่ากูรักมึงเท่านาน
กายเราไกลเท่านั้น
จิตผูกพันเหมือนเดิม

อยากบอกให้โลกได้รู้
ว่ากูรักมึงเพียงใด
ไม่ว่าเราต้องแยกกันไกล
จำไว้หัวใจมีกัน

อยากบอกให้โลกได้รู้
ว่ากูรักมึงเท่านาน
กายเราไกลเท่านั้น
จิตผูกพันเหมือนเดิม",songkarn_rangsant
