song_name,href,lyric,artist
เลิกแล้วต่อกัน,/music/thailyric/11421,"ฉันว่าเรานั้นคงจะไปด้วยกันไม่ได้
ก็เลยต้องการจะลาจาก
คิดว่าเธอนั้นคงไม่ลำบาก หากไม่มีฉันสักคน
มันสับสน เจ็บใจจน ทนไม่ไหว

เมื่อรักมันวุ่นวายเกินไป จะขอลาไกลอย่าว่ากัน
อยู่กับเธอตั้งนาน ไม่เห็นมีอะไรดีขึ้นมา

เลิกแล้วต่อกัน อย่าฝันอย่าเจอ
ไม่ขอรักเธอ อย่าเจอกันอีกเลย
เลิกแล้วจบที จากนี้ไม่เอา
จะขอเป็นคนเก่า ไม่มีเราไม่มีเธอ

เมื่อรักมันวุ่นวายเกินไป จะขอลาไกลอย่าว่ากัน
อยู่กับเธอตั้งนาน ไม่เห็นมีอะไรดีขึ้นมา

เลิกแล้วต่อกัน อย่าฝันอย่าเจอ
ไม่ขอรักเธอ อย่าเจอกันอีกเลย
เลิกแล้วจบที จากนี้ไม่เอา
จะขอเป็นคนเก่า ไม่มีเราไม่มีเธอ

อีกต่อไป

อีกต่อไป",stamp_apiwat
Jetlagger,/music/thailyric/17000,"3 In the morning I can't get to sleep
Now the jetlags got a hold on me

Staring at the ceiling with an empty feeling
Looking out my window for some kind of meaning

No matter what I do I can't escape it
All I want is you here by my side
Every time I dream I can't stop thinking
Thinking about you

I wanna come home to something true

Losing my way while I'm lying here
My body's paralyzed by the fear

Staring at the ceiling with an empty feeling
Looking out my window for some kind of meaning

No matter what I do I can't escape it
All I want is you here by my side
Every time I dream I can't stop thinking
Thinking about you

I wanna come home to something true

All the crazy thoughts come through my mind
All the memories that I left behind
Needing you to get me through this night

No matter what I do I can't escape it
All I want is you here by my side
Every time I dream I can't stop thinking
Thinking about you

I wanna come home to something true

I wanna come home to something true",stamp_apiwat
เสียงเดียว,/music/thailyric/9169,"ความรัก ได้ยินเสียงมันบ่อยไหม
รู้สึกมันมากเท่าไหร่
จงเปิดหัวใจให้มันกว้างกว่า
เพราะในวันนี้ จะมีคนมากมายเรียกหา
เพื่อบอกให้เธอแน่ใจว่า
ว่าเรานั้นคอยอยู่เคียงข้างเธอ

ไม่ว่าเจอกับเรื่องใด
เลวร้ายเพียงใดที่เธอต้องเจอ

จะอยู่ในทุกอย่าง อยู่ในสายลม
อยู่ในเสียงต่างๆ หลับตารับฟังความรัก ความหวัง
จะเจอกำลังใจยิ่งใหญ่ ที่ส่งออกไปถึงเธอ
จะอยู่ในทุกๆ สิ่ง คำพูดนี้จริงอยู่เสมอ
ให้เธอรับฟัง สรรพเสียงรอบกายนั้น
พูดพร้อมกันว่าเรารักเธอ เป็นเสียงเดียว

ความหวังสำคัญมากเธอรู้ไหม
อย่ามองผ่านกำลังใจ
ที่เรานั้นคอยส่งไปให้เธอ

ไม่ว่าเจอกับเรื่องใด
เลวร้ายเพียงใดที่เธอต้องเจอ

จะอยู่ในทุกอย่าง อยู่ในสายลม
อยู่ในเสียงต่างๆ หลับตารับฟังความรัก ความหวัง
จะเจอกำลังใจยิ่งใหญ่ ที่ส่งออกไปถึงเธอ
จะอยู่ในทุกๆ สิ่ง คำพูดนี้จริงอยู่เสมอ
ให้เธอรับฟัง สรรพเสียงรอบกายนั้น
พูดพร้อมกันว่าเรารักเธอ เป็นเสียงเดียว

จะอยู่ในทุกอย่าง อยู่ในสายลม
อยู่ในเสียงต่างๆ หลับตารับฟังความรัก ความหวัง
จะเจอกำลังใจยิ่งใหญ่ ที่ส่งออกไปถึงเธอ
จะอยู่ในทุกๆ สิ่ง คำพูดนี้จริงอยู่เสมอ
ให้เธอรับฟัง สรรพเสียงรอบกายนั้น
พูดพร้อมกันว่าเรารักเธอ เป็นเสียงเดียว",stamp_apiwat
ก่อนบทเพลงจะหมดความหมาย,/music/thailyric/5766,"ถ้าวันพรุ่งนี้โลกที่เธออยู่ จะไม่ได้ยินบทเพลงของฉัน
ถ้าวันพรุ่งนี้ไม่มีเพลงใหม่ ไม่มีบทเพลงในความทรงจำ
ถ้าวันพรุ่งนี้ฉันพบคำตอบ ว่าสิ่งที่ทำไม่มีความหมาย
ถ้าวันพรุ่งนี้ไม่มีทางออก มืดมนจนเดินต่อไปไม่ได้

ถ้าถึงพรุ่งนี้แล้วทุกๆ สิ่งที่เราได้เคยฝัน
จะเป็นแค่เรื่องร้ายๆ แล้วจบ
ไม่มีใครรู้พรุ่งนี้จะเป็นเช่นไร
จึงอยากจะเขียนเพลงนี้แทนหัวใจฝากเธอไว้

ก่อนที่ความฝันจะล่มสลาย
ก่อนที่บทเพลงจะหมดความหมาย

ผมคงจะฝืนไม่ได้ ผมรู้ดีและเข้าใจ
ไม่มีอะไรบนโลกใบนี้จะคงอยู่ได้เสมอไป
มีวันที่ขึ้นก็ต้องมีวันที่ลง
เหลือเพียงความหวัง ศรัทธา ความรักเท่านั้นที่มั่นคง
แม้วันนี้จะมืดจะมองไม่เห็นเส้นทางข้างหน้า
ผมก็จะเขียนเพลงด้วยความรักจนหยุดสุดท้ายของน้ำตา

ต่อจากนี้ไม่ว่าจะเป็นเช่นไร (ไม่ว่าจะเป็นเช่นไร)
ก็จะร้องเพลงด้วยความรักออกจากหัวใจ (ใช่)
ต่อไป (ผมจะทำมันต่อไป)

ก่อนที่ความฝัน (ขอมอบเพลงนี้ไว้ให้คุณเก็บไว้)
จะล่มสลาย (ให้คุณได้รู้ว่ารักไม่เปลี่ยนไป) ก่อนที่บทเพลง
(ถึงแม้พรุ่งนี้ทุกอย่าง ไม่เหมือนวันที่เราเคยเคียง)
จะหมดความหมาย (ผมก็จะรักคุณ รักคุณ รักคุณตลอดไป)

จะทำอย่างไรกับวันที่ไม่มีหนทาง
ขอระบายให้เธอได้รู้บ้าง
นับจากนี้แม้โลกจะไม่เป็นดังฝัน
จำเอาไว้จับมือฉัน เราจะยังมีกันและกันเสมอ

บอกว่ารักเธอ ขนาดไหน
จะบอกว่ารักเธอ เพราะฉันมั่นใจ
บอกเอาไว้ก่อน บอกผ่านเพลงนี้ก่อน
ก่อนจะไม่เหลืออะไรให้ฉันอีกต่อไป

บอกเธอไว้ก่อน สิ่งเดียวที่แน่นอน
ก็คือรักทุกคำที่ฉันพูดออกไป
แค่บอกกับเธอว่ารักเธอ รักเธอเสมอ
ไม่ว่าวันพรุ่งนี้มันจะเป็นอย่างไร
ความตั้งใจของฉันก็จะไม่เปลี่ยนไป

ก่อนที่ความฝันจะล่มสลาย
ก่อนที่บทเพลงจะหมดความหมาย

ผมยังจะรักคุณ รักคุณ ผมยังจะรักคุณ รักคุณ
(ให้บทเพลงนี้แทนใจฉัน บทเพลงนี้ให้แทนความรักที่มี)
ผมยังจะรักคุณ รักคุณ ผมยังจะรักคุณ รักคุณตลอดไป
(ให้บทเพลงนี้แทนใจฉัน ให้บทเพลงนี้ให้แทนของขวัญ)

เปลี่ยนไปทุกอย่างจากเมื่อวาน
คิดว่ามันเป็นเพียงแค่ความฝัน (มาลัย)
จับมือฉันจำเอาไว้",stamp_apiwat
คนที่คุณก็รู้ว่าใคร,/music/thailyric/5767,"หากคุณตื่นตอนเช้า แล้วพบว่ามีช่อดอกไม้ใหญ่
มองหาเจ้าของ คุณก็ไม่เห็นใคร
ก็ไม่ต้องแปลกใจ เพราะช่อนั้นมันเป็นของคุณ

กลางคืนก่อนเข้านอน แล้วพบว่ามีเบอร์ที่ไม่คุ้น
ส่งเป็นข้อความว่าเขาคิดถึงคุณ
ด้วยถ้อยคำอ่อนละมุน ว่าคืนนี้ฝันดีรีบเข้านอน
ก็อย่าเพิ่งคิดไปไกล ใครส่งให้ใครผิดหรือเปล่า

ไม่ต้องเดาก็แค่รับมันไป

โปรดอย่าสงสัย นั่นคือความจริงใจจากผม
จากคนคนเดิม คนที่คุณก็รู้ว่าใคร
คนที่คอยอยู่ ดูแลระยะไกล
จำได้ไหม เขายังเป็นห่วงคุณเหมือนเดิม
คุณก็รู้ว่าใคร คุณก็รู้ใช่ไหม

เมื่อไรเจอลมฝน ตัวเปียกปอนหนาวกาย
ต้องรีบไปให้ทัน ในใจหวังเพียงขอมีร่มซักคัน
ก็ไม่ต้องตกใจ ถ้าคุณบังเอิญเห็นมันวางอยู่ตรงนั้น
ก็จะเป็นใครไปได้ ไม่ต้องวุ่นวายเก็บไปคิด
นึกสักนิด ก็คงรู้กัน

โปรดอย่าสงสัย นั่นคือความจริงใจจากผม
จากคนคนเดิม คนที่คุณก็รู้ว่าใคร
คนที่คอยอยู่ ดูแลระยะไกล
จำได้ไหม เขายังเป็นห่วงคุณเหมือนเดิม
คุณก็รู้ว่าใคร

โปรดอย่าสงสัย นั่นคือความจริงใจจากผม
จากใครบางคน คนที่คุณก็รู้ว่าใคร
คนที่คอยอยู่ ดูแลระยะไกล
จำได้ไหม เขายังเป็นห่วงคุณเหมือนเดิม

โปรดอย่าสงสัย นั่นคือความจริงใจจากผม
จากคนคนเดิม คนที่คุณก็รู้ว่าใคร
คนที่คอยอยู่ ดูแลระยะไกล
จำได้ไหม เขายังเป็นห่วงคุณเหมือนเดิม
คุณก็รู้ว่าใคร",stamp_apiwat
ความคิด,/music/thailyric/5769,"ยังเดินผ่านทุกวัน
ที่ที่เราพบกันเมื่อก่อน
ยังจำซ้ำๆ ได้ทุกตอน
ราวกลับมีใครมาหมุน ย้อนเวลา

แต่ก็คงจะหมุนย้อนได้แค่ในความคิด
ในชีวิตจริง คงไม่เจอกันอีกแล้ว
ยืนอยู่ตรงที่เดิม แต่ไม่มีวี่แวว
เธอจากไปแล้ว และคงไม่ย้อนคืนมาหา

ได้แต่ฝากความคิดของฉันเอาไว้
เผื่อวันไหนเธอผ่านมา
เห็นที่เดียวกันนี้ เธอจะนึกขึ้นได้ว่า
เคยมีคนนึงยืนข้างเธอ อยู่ตรงนี้เสมอตลอดมา

ให้เธอสัมผัสความคิดที่ฉันทิ้งไว้
อาจไม่เห็นได้ด้วยตา
ฉันจะฝากเอาไว้ อยู่ในพื้นดินและท้องฟ้า
มันเป็นความคิดที่กระซิบว่า ฉันยังรักเธอ

อยากเจอเธอเหลือเกิน
เพราะก่อนที่เราต้องเดินแยกทาง
ฉันมีความคิดหลายๆ อย่าง
หลายอย่างเหลือเกิน ที่ฉันไม่ได้พูดไป

แต่กลับมานึกขึ้นได้ในเวลานี้
ในเวลาที่เธอเดินจากฉันไปแสนไกล
หากเธอนั้นยังอยู่ จะกอดเธอให้ชื่นใจ
และค่อยพูดออกไป ทุกสิ่งที่อยู่ในใจฉัน

ได้แต่ฝากความคิดของฉันเอาไว้
เผื่อวันไหนเธอผ่านมา
เห็นที่เดียวกันนี้ เธอจะนึกขึ้นได้ว่า
เคยมีคนนึงยืนข้างเธอ อยู่ตรงนี้เสมอตลอดมา

ให้เธอสัมผัสความคิดที่ฉันทิ้งไว้
อาจไม่เห็นได้ด้วยตา
ฉันจะฝากเอาไว้ อยู่ในพื้นดินและท้องฟ้า
มันเป็นความคิดที่กระซิบว่า ฉันยังรักเธอ

ให้เธอสัมผัสความคิดที่ฉันทิ้งไว้
อาจไม่เห็นได้ด้วยตา
ฉันได้ฝากเอาไว้ อยู่ในพื้นดินและท้องฟ้า
มันเป็นความคิดที่กระซิบว่า",stamp_apiwat
ทฤษฎีสีชมพู,/music/thailyric/5770,"เธอ เธอเป็นสีชมพู เธอมีโลกของเธออยู่
ที่ฉันไม่อาจล่วงรู้และไม่เคยเข้าไป
ส่วนฉันเป็นสีเทา มีแต่ความเหงารอบๆ กาย
ไม่รู้เลยมีความหมายอะไรมากกว่านี้

แต่เธอและฉันก็เดินเข้ามาชิดใกล้
มาทำให้ฉันแปรเปลี่ยนเป็นสีใหม่
เมื่อชีวิตของเราไหลปนกัน
โลกของฉันก็ดูจะเปลี่ยนสีไป

อะไรเป็นของเธอ ก็กลายเป็นอะไรของฉัน
เมื่อเราต่างเทสีผสมละลายเข้าด้วยกัน
โลกของฉันและเธอก็สดใส กว้างใหญ่ขึ้นกว่าวันนั้น
เมื่อสีทั้งสองผสมกัน เมื่อนั้นมันก็จะเป็นสีของเรา

เราผลัดกันเดินเข้าไป สู่โลกคนละใบ
สุดท้ายก็ต่างไม่รู้ ว่าโลกของใครเป็นของใคร
เมื่อในวันนั้นเธอเข้ามาใกล้ๆ
มาทำจนฉันแปรเปลี่ยนเป็นสีใหม่
และเมื่อสีของเราไหลรวมกัน
โลกของฉันก็ค่อยๆ เปลี่ยนไปทั้งใบ

อะไรเป็นของเธอ ก็กลายเป็นอะไรของฉัน
เมื่อเราต่างเทสีผสมละลายเข้าด้วยกัน
โลกของฉันและเธอก็สดใส กว้างใหญ่ขึ้นกว่าวันนั้น
เมื่อสีทั้งสองผสมกัน เมื่อนั้นมันก็จะเป็นสีของเรา

เมื่อเธอได้เข้ามา ฉันก็ได้เห็นอะไรขึ้นมากกว่า
จากนี้และเรื่อยไป จากนี้ทั้งหัวใจ
ก็คงจะไม่มีอะไรเหมือนเดิมใช่ไหม

อะไรเป็นของเธอ ก็กลายเป็นอะไรของฉัน
เมื่อเราต่างเทสีผสมละลายเข้าด้วยกัน
ก็คงจะเป็นไปตามทฤษฏีที่เขาบอกไว้ว่ามัน
เมื่อสีทั้งสองผสมกันนั้น

ก็คงไม่มี อะไรที่จะเป็นเหมือนเดิมได้อย่างวันนั้น
เมื่อสีทั้งสองผสมกัน เมื่อนั้นมันก็จะเป็นสีของเรา",stamp_apiwat
สองหมื่น,/music/thailyric/5775,"ชีวิตนี้เรามีเวลากันแค่ไหน
ก็เคยได้ยินบางคนได้ลองประมาณเอาไว้
ว่าอย่างดีก็แค่สองหมื่นวัน

ไม่ต้องนับให้ชัดๆ ก็พอที่จะรู้
วันเวลาที่เราต่างมีบนโลกนั้น
มันไม่ได้มากมาย

และวันนี้เราจะเสียไปอีกหนึ่งวัน
จากชีวิตที่แสนสั้นไม่ได้ยืดยาว
ทั้งที่จริงเรามาที่นี่กันแค่เพียงชั่วคาว
อีกไม่นานก็คงต้องลาจากไป

อยู่ที่เราจะใช้เวลาที่มี อยู่บนโลกนี้กันยังไง
เพื่อให้กับตัวเองคนเดียวทุกวัน
หรือจะแบ่งปันให้คนอื่นบ้างไหม
เพื่อเราจะไม่ต้องมาเสียดาย เวลาที่ต้องจากไป

ทั้งชีวิตที่เดินผ่านมาเราโชคดีแค่ไหน
หรือเรายังจะอยากเก็บความโชคดีเอาไว้
คนเดียวจนหมดสองหมื่นวัน

เพราะวันนี้จะถูกใช้ไปอีกหนึ่งวัน
จากชีวิตที่แสนสั้นไม่ได้ยืดยาว
ทั้งที่จริงเรามาที่นี่กันแค่เพียงชั่วคาว
อีกไม่นานก็คงต้องลาจากไป

อยู่ที่เราจะใช้เวลาที่มี อยู่บนโลกนี้กันยังไง
เพื่อให้กับตัวเองคนเดียวทุกวัน
หรือจะแบ่งปันให้คนอื่นบ้างไหม
เพื่อเราจะไม่ต้องมาเสียดายเวลาที่ต้องจากไป

อยู่ที่เราจะใช้เวลาที่มี อยู่บนโลกนี้กันยังไง
เพื่อให้กับตัวเองคนเดียวทุกวัน
หรือจะแบ่งปันให้คนอื่นบ้างไหม
เพื่อเราจะไม่ต้องมาเสียดาย เวลาที่ต้องจากไป

เพื่อเราจะไม่ต้องมาเสียดาย เวลาที่ต้องจากไป",stamp_apiwat
กาลครั้งหนึ่ง,/music/thailyric/10053,"กาลครั้งหนึ่ง การพบใครคนหนึ่งทำให้ฉันสุขใจ
กาลครั้งหนึ่ง ทุกช่วงเวลาเราเคยมีกันใกล้ๆ
แต่กาลครั้งหนึ่ง สุดท้ายไม่จบตรงชั่วนิรันดร์เสมอไป
กาลครั้งหนึ่ง ชีวิตเลือกเส้นทางให้เรามีอันต้องไกล

เรื่องราวของฉันเดินต่อไป จากตรงนั้น ไกลสุดไกล
เหมือนจะไกลจนลืมว่าเคยเกิดสิ่งเหล่านี้
แต่ในวันที่ฝน ร่วงจากฟ้า วันที่มองหาใครก็ไม่มี
วินาทีนั้นจะมีบางอย่างที่สำคัญ เกิดในใจฉัน

กาลครั้งนั้นยังอบอุ่นในใจ รู้สึกทุกครั้งว่าเธอยังดูแลฉันใกล้ๆ
เหม่อมองฟ้าแล้วถอนหายใจ เหมือนเราได้พูดกัน
ราวกับเธอนั้นไม่เคยจากไปไหน
ยังคงยืนส่งยิ้มให้กำลังใจอยู่ในความทรงจำ (ในความทรงจำ)
หากชีวิตนี้เร็วดั่งความฝัน กาลครั้งหนึ่ง ดีใจนะที่เราพบกัน

เรื่องราวชีวิต เดินต่อไป จากตรงนั้น ไกลสุดไกล
เหมือนจะไกลจนลืมว่าเคยเกิดสิ่งเหล่านั้น
แต่ในคืนเหน็บหนาว เกินจะต้านทาน
คืนที่ความเหงา เข้ามาฉับพลัน
คืนนั้นจะมีความรู้สึกพิเศษและสำคัญ ปรากฏในใจฉัน

กาลครั้งนั้นยังอบอุ่นในใจ รู้สึกทุกครั้งว่าเธอยังดูแลฉันใกล้ๆ
เหม่อมองฟ้าแล้วถอนหายใจ เหมือนเราได้พูดกัน
ราวกับเธอนั้นไม่เคยจากไปไหน
ยังคงยืนส่งยิ้มให้กำลังใจอยู่ในความทรงจำ (ในความทรงจำ)
หากชีวิตนี้เร็วดั่งความฝัน กาลครั้งหนึ่ง ดีใจนะที่เราพบกัน

ฉันจะอยู่ โดยที่รู้ว่าทุกนาทีนั้นแสนพิเศษ
ฉันจะทำ (ฉันจะทำ) ทุกๆ สิ่ง (ทุกๆ สิ่ง)
ให้เธอภูมิใจเมื่อได้เห็น

เธออยู่ตรงนั้นสบายดีไหม
ฉันอยู่ตรงนี้เป็นเหมือนเดิม
คิดถึงเธอทุกวัน (คิดถึงเธอทุกวัน)
หากชีวิตนี้เร็วดั่งความฝัน กาลครั้งหนึ่ง
สักวันเราคงได้พบกัน",stamp_apiwat
เจ้าหญิงน้ำแข็ง,/music/thailyric/10021,"สามสิบสององศาฟาเรนไฮต์ น้ำแข็งจะกลายเป็นน้ำ
ทฤษฎี พูดกันมา ฉันจะลองทำตาม
กับหัวใจเธอ ที่แข็งเกินใคร เยือกเย็นกว่าทุกๆ อย่าง
ฉันจะลอง หลอมละลาย เผื่อว่าจะพอมีทาง

เติมความร้อน ให้ความรักอบอุ่นเทลงไป
จะคลายความเยือกเย็นด้วยหัวใจ

แต่น้ำแข็งไม่ยอมละลาย มันไม่กลายเป็นความรัก
ฉันอบอุ่นไม่พอ เธอยังขอเป็นแค่คนรู้จัก
จนหัวใจไม่มีแรง เจ้าหญิงน้ำแข็งเธอช่างเย็นชานัก
โอว ฉันควรทำยังไง

เฝ้าดูแล คอยเทกคอยแคร์ รับฟังคำปรึกษา
เฝ้าคอยหลายชั่วโมง หัวใจอ่อนโยน ไม่หวังอะไรคืนมา

แค่อยากรู้ ปราสาทสีขาวที่เธออยู่ สูงแค่ไหน
จะทำลายกำแพงบุกเข้าไป

แต่น้ำแข็งไม่ยอมละลาย มันไม่กลายเป็นความรัก
ฉันอบอุ่นไม่พอ เธอยังขอเป็นแค่คนรู้จัก
จนหัวใจไม่มีแรง เจ้าหญิงน้ำแข็งเธอช่างเย็นชานัก
โอว ฉันควรทำยังไง

จะหนีเธอไปไกลๆ แต่หนีเธอไปทีไรต้องย้อนมา
เหมือนสายตาเธอแช่แข็งวันเวลา มันช่างไร้อารมณ์เป็นบ้า
เย็นชาจนฉันลืมไม่ได้

เจ้าหญิงน้ำแข็ง แค่เพียงเธอเดินมา
สบตาทีเดียวแล้วจากไป
ฉันเหมือนนั่งหลงทางกลางหิมาลัย
เหน็บหนาวสั่นไหวไปข้ามวัน

ทุกๆ ย่างก้าวที่เธอเหยียบลงไปนั้น
เธอทำให้ปูนซีเมนต์กลายเป็นหิมะเจ็ดชั้น
ทำให้เมืองไทยกลายเป็นแอนตาร์กติก
เธอทำให้พลาสติกกลายเป็นผลึกคริสตัล

มีคนมากมาย รอเธอรอบกาย
ฝันจะเป็นเจ้าชาย ได้เป็นแค่องครักษ์
ส่วนฉันนั้นไม่แคร์ แค่อยากจะดูแลองครักษ์เธอทุกวัน
ได้โปรดเถอะฝ่าบาท ได้โปรดเปิดปราสาท

ข้างนอกประตูมันหนาวจะตายอยู่แล้ว
ได้โปรดเถอะเปิดข้างในใจ
ทำลายกำแพงให้ฉันเข้าไป
ได้ไหม

แต่น้ำแข็งไม่ยอมละลาย มันไม่กลายเป็นความรัก
ฉันอบอุ่นไม่พอ เธอยังขอเป็นแค่คนรู้จัก
จนหัวใจไม่มีแรง เจ้าหญิงน้ำแข็งเธอช่างเย็นชายิ่งนัก
โอว ฉันควรทำยังไง

ฉันควรทำยังไง จะต้องทำแบบไหน
ฉันควรทำยังไง หัวใจเธอถึงจะละลาย",stamp_apiwat
