song_name,href,lyric,artist
คนใช้ชีวิต,/music/thailyric/5738,"ตื่นขึ้นมาตอนเช้า ชีวิตของเราเหมือนเดิมทุกวัน
ตื่นแล้วก็หิว หิวแล้วก็หา ชีวิตวันหน้าไม่รู้เหมือนกัน
ในยุคที่ต้องไปซื้อน้ำดื่ม แต่ดูราคาพอกับน้ำมัน
ต้องใช้เงินแสน ต้องแข่งวิ่งเต้น เรียนยากเรียนเย็น ตั้งแต่อนุบาล

ลา... ลา...

อ่านหนังสือพิมพ์ตอนเช้า การเมืองการมุ้งเหมือนยุงตีกัน
เบื้องหลังเบื้องหน้าเบื้องลึกเบื้องตื้น จุดยงจุดยืนตามบายแล้วกัน
อายุสิบสามอายุสิบสี่ เด็กๆสมัยนี้เป็นไงล่ะท่าน
เอาอย่างจากไหนใยเขาคิดสั้น ยอมรับแล้วกันว่ามันหนักใจ

คิดแล้วกลุ้มไม่รู้ทำไง ก็เราอยู่ในเมืองนี้
ยิ้มไว้เถอะยิ้มไว้คนดี เพราะนี่มันคือวิธีที่ทุกข์มันกลัว

หากใจร้อน..ร้อน..ร้อนใจ
หากใจเย็น..เย็น..เย็นใจ ใช้ชีวิตกันไป อย่าโมโห

ขับรถอยู่บนถนนก็แคบ เกือบชนถึงยิงกันตาย
สถานที่หรูโค้งรับต่างแดน แต่ทำหมิ่นแคลนดูถูกคนไทย
เรียนหนังสือเก่งแต่ไม่เป็นข่าว เรียนรู้ชู้สาวกลับดังกันใหญ่
ความจริงแบบนี้งูเห็นนมไก่ ทำเอยทำใจทำไงทำกัน

คิดแล้วกลุ้มไม่รู้ทำไง ก็เราอยู่ในเมืองนี้
ยิ้มไว้เถอะยิ้มไว้คนดี เพราะนี่มันคือวิธีที่ทุกข์มันกลัว

หากใจร้อน..ร้อน..ร้อนใจ
หากใจเย็น..เย็น..เย็นใจ ใช้ชีวิตกันไป อย่าโมโห

ลา... ลา...",suea_thanapon
ฉันเอง,/music/thailyric/5742,"ฉันเอง คนที่เธอเคยทิ้งไป ฉันเอง คนที่ใจไม่เคยลืม
ฉันเอง คนที่ยอมว่ารักเธอ สุดฝืน ตัดใจ

รักเธอ รักอย่างไม่เคยรักใคร รักเธอ รักด้วยใจไม่กลัวเจ็บ
ฉันเอง จำแต่สิ่งดีของเธอ เก็บไว้ ขอบใจ

แม้เธอผ่านอะไรตั้งมากมาย ฉันก็ยังปักใจรักเธอ

ไม่ว่าเธอเป็นนางฟ้า หรือว่าปีศาจ ฉันก็ไม่อาจเปลี่ยนใจไปรักใคร
จะหยุดรอเธอตรงนี้ ไม่เปลี่ยนไปไหน จะอยู่เป็นคนสุดท้าย เพื่อรักเธอ

แม้มี วันหนึ่งเธอไม่เหลือใคร ให้เธอ เดินกลับไปที่เก่า
ฉันเอง รอให้เธอลืมเรื่องราว ปวดร้าว จากใจ

แม้เธอผ่านอะไรตั้งมากมาย ฉันก็ยังปักใจรักเธอ

ไม่ว่าเธอเป็นนางฟ้า หรือว่าปีศาจ ฉันก็ไม่อาจเปลี่ยนใจไปรักใคร
จะหยุดรอเธอตรงนี้ ไม่เปลี่ยนไปไหน จะอยู่เป็นคนสุดท้าย เพื่อรักเธอ

แม้เธอผ่านอะไรตั้งมากมาย ฉันก็ยังปักใจรักเธอ

ไม่ว่าเธอเป็นนางฟ้า หรือว่าปีศาจ ฉันก็ไม่อาจเปลี่ยนใจไปรักใคร
จะหยุดรอเธอตรงนี้ ไม่เปลี่ยนไปไหน จะอยู่เป็นคนสุดท้าย เพื่อรักเธอ",suea_thanapon
รักเดียวใจเดียว,/music/thailyric/5754,"อย่าแปลกใจ ที่ผ่านมานานเท่าไร กาลเวลาไม่อาจลืมหัวใจ
เปลี่ยนไปจากเธอ คงเป็นไปไม่ได้ เมื่อใจผูกพันมีแต่เธอ

แม้จะนอนและฝัน ฉันมีแต่เธอเท่านั้น ไม่อาจแบ่งใจปันเผื่อไว้ให้ใคร
ใจเมื่อเจอเธอแล้ว เหมือนคนที่เจอจุดหมาย เมื่อมีเธอไม่ต้องการใคร

เมื่อวานก็รัก วันนี้รักเธอ พรุ่งนี้ก็รักเธอ เพราะใจที่มีเธอ
ไม่มีอีกแล้ว ใครจะมาเข้าใจ ฉันได้ดีอย่างเธอ ตอบแทนเธอรักเดียวใจเดียว

ดั่งทะเล โอบกอดด้วยผืนทราย และคงไม่มีใครพรากใจดวงนี้ได้
ไม่ว่ากาลเวลาจะหมุนผ่านไป ยิ่งมั่นใจเราคือกันและกัน

แม้จะนอนและฝัน ฉันมีแต่เธอเท่านั้น ไม่อาจแบ่งใจปันเผื่อไว้ให้ใคร
ใจเมื่อเจอเธอแล้ว เหมือนคนที่เจอจุดหมาย เมื่อมีเธอไม่ต้องการใคร

เมื่อวานก็รัก วันนี้รักเธอ พรุ่งนี้ก็รักเธอ เพราะใจที่มีเธอ
ไม่มีอีกแล้ว ใครจะมาเข้าใจ ฉันได้ดีอย่างเธอ ตอบแทนเธอรักเดียวใจเดียว

แม้จะนอนและฝัน ฉันมีแต่เธอเท่านั้น ไม่อาจแบ่งใจปันเผื่อไว้ให้ใคร
ใจเมื่อเจอเธอแล้ว เหมือนคนที่เจอจุดหมาย เมื่อมีเธอไม่ต้องการใคร

เมื่อวานก็รัก วันนี้รักเธอ พรุ่งนี้ก็รักเธอ เพราะใจที่มีเธอ
ไม่มีอีกแล้ว ใครจะมาเข้าใจ ฉันได้ดีอย่างเธอ ตอบแทนเธอรักเดียวใจเดียว

ตอบแทนเธอรักเดียวใจเดียว",suea_thanapon
หัวใจเดียวกัน,/music/thailyric/5758,"เมื่อฉันเห็น เธอยืนร้องไห้กลางสายฝน ดังคนสิ้นใจ
เธอไม่เหลือใคร คอยเคียงข้างกายไม่มีแล้ว เหลือตัวคนเดียว
คนไม่มีความหมาย
ดั่งสายฟ้า ลงกลางหัวใจแหลกสลาย กลายเป็นน้ำตา
ฟ้าลงโทษมา ทำให้ครอบครัวเธอแตกร้าว ไปคนละทาง

หากในโลกนี้เธอไม่มีใคร ให้เธอจำไว้ยังมีฉัน

ที่ยังคงรักเธอเข้าใจ อยากให้เธอระบายกับฉัน
เคยเจ็บมาเหมือนเธอเหมือนกัน สิ่งที่เธอรู้สึกนั้นฉันเข้าใจ

อดทนไว้ เธอมีค่าพออย่าท้อแท้ จะเป็นกำลังใจ
ไม่ทอดทิ้งเธอ เดินเคียงข้างเธออย่าหวั่นไหว หัวใจเดียวกัน

หากในโลกนี้เธอไม่มีใคร ให้เธอจำไว้ยังมีฉัน

ที่ยังคงรักเธอเข้าใจ อยากให้เธอระบายกับฉัน
เคยเจ็บมาเหมือนเธอเหมือนกัน สิ่งที่เธอรู้สึกนั้นฉันเข้าใจ

ที่ยังคงรักเธอเข้าใจ อยากให้เธอระบายกับฉัน
เคยเจ็บมาเหมือนเธอเหมือนกัน สิ่งที่เธอรู้สึกนั้นฉันเข้าใจ",suea_thanapon
ดูโง่โง่,/music/thailyric/12255,"เหตุการณ์มันผ่านไป
สิ่งที่เหลือคาในหัวใจ
ไม่เป็นไรจะเก็บเอาไว้แต่สิ่งดี
อย่ากังวลอะไร
ให้เธอไปตามทางหัวใจ
ให้เธอเลือกเองเลือกในสิ่งดี

หากบางทีฉันแสดงออกมา ดูโง่โง่
ขอได้โปรดเข้าใจ
ก็แค่อาการของคนใจสลายทั่วไป
และมันจะมีแค่ครั้งเดียว

ฉันเข้าใจ อะไรอะไรได้ดีเสมอ
ขอให้เธอได้รู้ความจริงส่วนลึกในนี้
ว่ายังเป็นคนเดิมเข้าใจเธอดี
ไม่ว่าในพรุ่งนี้หรือเมื่อวาน
สิ่งที่ฉันทำลงไป
อาจเลวในสายตาเธอ

บอกยืนยันคำเดิม
ไม่มีคำใดมาซ้ำเติม
มีเพียงแต่ส่งใจให้เธอโชคดี
เจ็บคงธรรมดาให้เวลาเยียวยาหัวใจ
ไม่นานคงหายดีและคงไม่ตาย

หากบางทีฉันแสดงออกมา ดูโง่โง่
ขอได้โปรดเข้าใจ
ก็แค่อาการของคนใจสลายทั่วไป
และมันจะมีแค่ครั้งเดียว

ฉันเข้าใจ อะไรอะไรได้ดีเสมอ
ขอให้เธอได้รู้ความจริงส่วนลึกในนี้
ว่ายังเป็นคนเดิมเข้าใจเธอดี
ไม่ว่าในพรุ่งนี้หรือเมื่อวาน
สิ่งที่ฉันทำลงไปวันนั้น

ฉันเข้าใจ อะไรอะไรได้ดีเสมอ
ขอให้เธอได้รู้ความจริงส่วนลึกในนี้
ว่ายังเป็นคนเดิมเข้าใจเธอดี
ไม่ว่าในพรุ่งนี้หรือเมื่อวาน
เก็บฉันเอาไว้
เก็บไว้เพื่อนคนสุดท้ายของเธอ",suea_thanapon
ใจดีสู้เสือ,/music/thailyric/5740,"หลายครั้งที่เซ็ง ทำไมเป็นอย่างนี้ โชคเราไม่ดีหรือไร
ไม่เคยใฝ่สูง แต่ก็อดไม่ไหว น้อยใจได้ไหม ในดวงชะตา

ก็พอจะรู้ มีปัญหาต้องทนหน่อย
เฮ้..ปัญหามาชักบ่อย
เขา..บอกเอาไว้ให้ทนหน่อย
แต่เฮ้..ที่ฉันโดนนะบ่อย ไป

ได้งานตกงานเตะฝุ่นยันเช้า ทั้งที่เราก็มีปริญญา
รักกันชอบกัน ควรจะที่เข้าใจ เธอยังใจร้าย จากไปไม่ลา

ก็พอจะรู้ มีปัญหาต้องทนหน่อย
เฮ้..ปัญหามาชักบ่อย
เขาบอกเอาไว้ให้ทนหน่อย
แต่จะต้องทนถึงเมื่อไหร่ ก็เหนื่อยใจที่จะคอย

(ฟ้าคงสว่าง เมื่อฝนซา)
(เช้าตะวันใหม่ มีความหวัง)
(ใจดีสู้เสือ)

แต่จะต้องทนถึงเมื่อไหร่ ก็เมื่อในชีวิตจริง เจอแต่สิ่งที่น่ากลัว
จะให้ฉันกลัวอย่างไร ขนาดคนที่เราไว้ใจ
แต่เขาไม่เคยไว้ใจ เรามันคนโชคร้าย ทำอย่างไรดีหนอ

ก็พอจะรู้ มีปัญหาต้องทนหน่อย
เฮ้..ปัญหามาชักบ่อย
เขา..บอกเอาไว้ให้ทนหน่อย
แต่เฮ้..ที่ฉันโดนนะบ่อย ไป

(ฟ้าคงสว่าง เมื่อฝนซา)
(เช้าตะวันใหม่ มีความหวัง)
(ใจดีสู้เสือ)

แต่จะต้องทนถึงเมื่อไหร่ ก็เมื่อในชีวิตจริง เจอแต่สิ่งที่น่ากลัว
จะให้ฉันกลัวอย่างไร ขนาดคนที่เราไว้ใจ
แต่เขาไม่เคยไว้ใจ เรามันคนโชคร้าย ทำอย่างไรดีหนอ

ก็พอจะรู้ มีปัญหาต้องทนหน่อย
เฮ้..ปัญหามาชักบ่อย
เขา..บอกเอาไว้ให้ทนหน่อย
แต่เฮ้..ที่ฉันโดนนะบ่อย ไป",suea_thanapon
ช่องว่างในหัวใจ,/music/thailyric/5743,"ก็เหมือนเรือน้อย ฝ่ามรสุม ก็เหมือนดังว่า ขาดปลิวตามลม
มีความทรงจำ คือความขื่นขม ใครกันจะถม ให้ชีวิตนี้เต็ม

เคยเป็นอย่างฉันบ้างหรือเปล่า พ่อแม่ทะเลาะกันทุกวัน
เธอเป็นอย่างฉันบ้างหรือเปล่า ครอบครัวแตกร้าวไม่ต้องการ

อย่าไปจากฉันได้ไหม อยู่กับฉันเพราะฉันไม่มีใคร
ขอใจจากเธอคนนี้ แทนรักที่มันหายไป
ช่วยเติมช่องว่างในหัวใจ ก็เพราะเธอคือคนสุดท้าย (ที่ฉันมี)

เรื่องราวของฉัน เธอรับได้ไหม สิ่งที่ฉันเป็น ยิ่งกว่านิยาย
เธอคือความรัก ที่ฉันขาดหาย หากขาดเธอไป ฉันคงไม่เหลือใคร

เคยเป็นอย่างฉันบ้างหรือเปล่า พ่อแม่ทะเลาะกันทุกวัน
เธอเป็นอย่างฉันบ้างหรือเปล่า ครอบครัวแตกร้าวไม่ต้องการ

อย่าไปจากฉันได้ไหม อยู่กับฉันเพราะฉันไม่มีใคร
ขอใจจากเธอคนนี้ แทนรักที่มันหายไป
ช่วยเติมช่องว่างในหัวใจ ก็เพราะเธอคือคนสุดท้าย (ที่ฉันมี)

อย่าไปจากฉันได้ไหม อยู่กับฉันเพราะฉันไม่มีใคร
ขอใจจากเธอคนนี้ แทนรักที่มันหายไป
ช่วยเติมช่องว่างในหัวใจ ก็เพราะเธอคือคนสุดท้าย (ที่ฉันมี)",suea_thanapon
นางฟ้าข้างถนน,/music/thailyric/5745,"ฉันไม่เคยลืมถนนสายเก่า ยังจำวันนั้นที่เราพบกัน
ฉันก็แค่คนที่น่าสงสาร คนหนึ่งที่เธอช่วยไว้

จากคนเหลือเดน เธอคอยยื่นมือโอบหัวใจ ให้กำลังใจยามที่ฉันไร้ศรัทธา
แม้ตากฝนเธอก็ทนเคียงข้างกันเรื่อยมา เป็นนางฟ้าข้างถนนผู้จริงใจ

อดทนเอาไว้ก่อนเถิดคนดี หากในวันนี้เรายังไม่สบาย
อาจต้องเปียกฝนทนหนาว เธออย่าร้องไห้ ตราบยังมีลมหายใจ จะทำให้ได้เพื่อเธอ

ฝันที่เราฝันจะสานจะต่อ จะไม่ยอมท้อเพื่อวันของเรา
ชีวิตที่ดีๆอยากมีเหมือนเขา สักวันเราคงได้มา

จากคนเหลือเดน เธอคอยยื่นมือโอบหัวใจ ให้กำลังใจยามที่ฉันไร้ศรัทธา
แม้ตากฝนเธอก็ทนเคียงข้างกันเรื่อยมา เป็นนางฟ้าข้างถนนผู้จริงใจ

อดทนเอาไว้ก่อนเถิดคนดี หากในวันนี้เรายังไม่สบาย
อาจต้องเปียกฝนทนหนาว เธออย่าร้องไห้ ตราบยังมีลมหายใจ จะทำให้ได้เพื่อเธอ

อดทนเอาไว้ก่อนเถิดคนดี หากในวันนี้เรายังไม่สบาย
อาจต้องเปียกฝนทนหนาว เธออย่าร้องไห้ ตราบยังมีลมหายใจ จะทำให้ได้เพื่อเธอ

ตราบยังมีลมหายใจ จะทำให้ได้เพื่อเธอ",suea_thanapon
ฟ้ากับเหว,/music/thailyric/5747,"ไม่เคยบอกเธอ เหตุผลที่ฉันต้องไป
อยากรู้บ้างไหม คำใดที่ฉันไม่เอ่ย
ปล่อยเธอจากไปตามทาง
เหมือนดังสายน้ำล่วงเลย
ไม่เคยมีวันได้อธิบาย

ไม่อยากดึงเธอลงมา
ไม่อยากให้คนนินทา
ว่าเธอ คงหาคนดีไม่ได้
มาคบกับฉัน มันต่ำเกินไป
ทิ่งแทงใจ กรีดลึกข้างในทรมาน

เมื่อเธอกับฉัน
มันเหมือนดังฟ้ากับเหว
หากรักกันก็คงจะไปไม่ไกล
ไม่อยากให้เธอ ต้องลำบากเกินไป
ที่ยอมตัดใจ ไม่ใช่ฉันไม่รักเธอ

ก็ได้แต่ฝัน ว่าพบเจอกันชาติหน้า
หากมันไม่มี ชาตินี้ฉันไม่เสียใจ
ก็ยังได้เคยรักเธอ ขอบคุณที่เธอให้ใจ
ไม่อาจรับไว้ จะไม่ฉุดเธอจากฟ้าสู่เหว

ไม่อยากดึงเธอลงมา
ไม่อยากให้คนนินทา
ว่าเธอ คงหาคนดีไม่ได้
มาคบกับฉัน มันต่ำเกินไป
ทิ่งแทงใจ กรีดลึกข้างในทรมาน

เมื่อเธอกับฉัน
มันเหมือนดังฟ้ากับเหว
หากรักกันก็คงจะไปไม่ไกล
ไม่อยากให้เธอ ต้องลำบากเกินไป
ที่ยอมตัดใจ ไม่ใช่ฉันไม่รักเธอ

เมื่อเธอกับฉัน
มันเหมือนดังฟ้ากับเหว
หากรักกันก็คงจะไปไม่ไกล
ไม่อยากให้เธอ ต้องลำบากเกินไป
ที่ยอมตัดใจ ไม่ใช่ฉันไม่รักเธอ",suea_thanapon
ไม่ต้องเสียใจ,/music/thailyric/5748,"ฉันไม่สน เขาว่าเธออย่างไร ฉันไม่สน ว่าเธอจะเคยเป็นใคร
ฉันไม่สนว่าเธอจะเคยรักใคร เริ่มต้นใหม่อีกครั้งกับฉันได้ไหม

ลืมมันซะเธอ ลืมเถิดเธอ ลืมให้หมดใจ
ที่แล้วมาให้ผ่านไป ใจดวงนี้ไม่มีซ้ำเติม

ไม่ต้องเสียใจ ที่ไม่เคยเจอรักแท้
ไม่ต้องเสียใจ ที่เจอแต่คนหลอกลวง
ไม่ต้องเสียใจ ต่อไปเธอไม่ต้องห่วง
(นับจากนี้เธอก็จะมี/ตัวเธอนั้นจะมี)
คนที่รักเธอตลอดไป

ขอให้เธอ ลบภาพความปวดร้าว
ขอให้เธอ มองฟ้าที่เป็นของเรา
ขอให้เธอ ฝากใจไว้กับดวงดาว
ทิ้งความเศร้า อย่าเอามาทำร้ายใจ

ลืมมันซะเธอ ลืมเถิดเธอ ลืมให้หมดใจ
ที่แล้วมาให้ผ่านไป ใจดวงนี้ไม่มีซ้ำเติม

ไม่ต้องเสียใจ ที่ไม่เคยเจอรักแท้
ไม่ต้องเสียใจ ที่เจอแต่คนหลอกลวง
ไม่ต้องเสียใจ ต่อไปเธอไม่ต้องห่วง
(นับจากนี้เธอก็จะมี/ตัวเธอนั้นจะมี)
คนที่รักเธอตลอดไป

ลืมมันซะเธอ ลืมเถิดเธอ ลืมให้หมดใจ
ที่แล้วมาให้ผ่านไป ใจดวงนี้ไม่มีซ้ำเติม

ไม่ต้องเสียใจ ที่ไม่เคยเจอรักแท้
ไม่ต้องเสียใจ ที่เจอแต่คนหลอกลวง
ไม่ต้องเสียใจ ต่อไปเธอไม่ต้องห่วง
(นับจากนี้เธอก็จะมี/ตัวเธอนั้นจะมี)
คนที่รักเธอตลอดไป",suea_thanapon
