song_name,href,lyric,artist
คิดถึงพ่อ คิดถึงแม่ คิดถึงบ้าน,/music/thailyric/16899,"ได้ยินหมอลำ
ครวญคร่ำตามสายลมมา
สุดแสนเหว่ว้า
เมื่อมาพักอยู่เมืองไกล
มองสองข้างทาง
ตึกสูงบังฟ้าบังใจ
อกเอ๋ยอกคนบ้านไพร
น้ำตาหลั่งไหลไกลบ้าน

เพราะความจน
จึงทำให้คนไกลถิ่น
นกน้อยโบยบิน
หากินไกลถิ่นเรือนชาน
แว่วยินเสียงพิณ
เสียงแคนแล่นลำขับขาน
ทำนองของเพลงพื้นบ้าน
แว่วหวานสะท้านฤดี

ภาพพ่อแก่ๆ
ภาพแม่ชราตามวัย
ผุดขึ้นมายามใด
น้ำตาร่วงไหลทุกที
ลมเอ๋ยลม
พัดห่มความรักความดี
กลับบ้านไปบอกท่านที
ลูกนี้สุดแสนห่วงใย

ลูกอยู่เมืองกรุง
จะมุ่งทำงานให้หนัก
พ่อแม่เป็นหลัก
ความรักเป็นกำลังใจ
สังคมวัตถุ
รุกรานลูกนั้นหวั่นไหว
ถึงจะอย่างไร
หัวใจยังรักบ้านเรา
ลูกอยู่เมืองกรุง
จะมุ่งทำงานให้หนัก
พ่อแม่เป็นหลัก
ความรักเป็นกำลังใจ
สังคมวัตถุ
รุกรานลูกนั้นหวั่นไหว
ถึงจะอย่างไร
หัวใจยังรักบ้านเรา

สิเป็นจั่งได๋
หัวใจยังรัก บ้านเรา",tai_orathai
เจ้าชายของชีวิต,/music/thailyric/9818,"จริงจังแค่ไหน จริงใจมากพอหรือเปล่า
ที่จะมาขอใช้คำว่าเรา กับผู้สาวดินๆ คนนี้
แน่ใจแล้วหรือ ว่านี่คือหนึ่งเดียวที่มี
ลองปรึกษาหัวใจอีกที พร้อมจะหยุดตรงนี้หรือยัง

อย่าให้ความหวังถ้ายังไม่พอ
อย่าหลอกให้รอถ้ามีหลายทาง
บอกกันบ้าง อย่าคบเพื่อรอวันทิ้ง

ถึงไม่ใช่เจ้าหญิงในนิยาย
ก็อยากจะเจอเจ้าชายในชีวิตจริง
คนที่แสนดีกับใจ คนที่รับเราได้ทุกสิ่ง
ไม่ต้องยกให้เป็นเจ้าหญิง
แค่เป็นตัวจริง ในใจของเธอก็พอ

เส้นทางเหงาๆ เคยเจอแต่เงารักผ่าน
ก่อความหวังในใจไม่นาน
หยุดความฝันแค่การให้รอ
มันเจ็บรู้ไหมกับการคบคนที่ใช่ไม่พอ
ก่อนจะบอกให้หวังให้รอ
ลองนับคนในใจอีกครั้ง

อย่าให้ความหวังถ้ายังไม่พอ
อย่าหลอกให้รอถ้ามีหลายทาง
บอกกันบ้าง อย่าคบเพื่อรอวันทิ้ง

ถึงไม่ใช่เจ้าหญิงในนิยาย
ก็อยากจะเจอเจ้าชายในชีวิตจริง
คนที่แสนดีกับใจ คนที่รับเราได้ทุกสิ่ง
ไม่ต้องยกให้เป็นเจ้าหญิง
แค่เป็นตัวจริง ในใจของเธอก็พอ

ถึงแม้ไม่ใช่เจ้าหญิงในนิยาย
ก็อยากให้เธอเป็นเจ้าชายของชีวิตจริง",tai_orathai
จากสำคัญ เป็นสำรอง,/music/thailyric/12463,"ไสล่ะ ไสล่ะ ฮักสุดหัวใจ
หนาหนักเท่าใด เฮาสิบ่ถิ่มกัน
แค่เปลี่ยนที่ใหม่ แค่มีใครเดินผ่าน
คนที่ว่าฮักกัน เริ่มบ่คือเก่า

หายไป หายไป หายไปมื้อละหน่อย
ฝันที่เฝ้าคอย เริ่มได้ยินแผ่วเบา
หลายสิ่งหายไป ตั้งใจหรือเปล่า
ค่าในคำว่าเราลดลงทุกวัน

จากที่เคยสำคัญบนเส้นทางใจ
ถูกลืมไป จนใกล้สิเป็นทางผ่าน
บ่ฮู้มีหยังบ่ ไผหนอเกี่ยวพัน
คนจึงเมินใส่กัน บ่หันมอง
ให้เป็นคนสำรองตั้งแต่เมื่อใด
เราอยู่ยังไง สายตาบ่เคยส่อง
ถูกทิ้งวันละน้อย คอย คอย จนหมอง
คือบ่แคร์ บ่มอง หัวใจ

เหลืออยู่เท่าใด ค่าความสำคัญ
ฮักที่บอกทุกวัน ฝืนหรือมาจากใจ
เหินห่างเพราะงาน หรือเตรียมการทิ้งไป
ฮู้ตัวบ่ว่าใจ ห่างไปทุกวัน

จากที่เคยสำคัญบนเส้นทางใจ
ถูกลืมไป จนใกล้สิเป็นทางผ่าน
บ่ฮู้มีหยังบ่ ไผหนอเกี่ยวพัน
คนจึงเมินใส่กัน บ่หันมอง
ให้เป็นคนสำรองตั้งแต่เมื่อใด
เราอยู่ยังไง สายตาบ่เคยส่อง
ถูกทิ้งวันละน้อย คอย คอย จนหมอง
คือบ่แคร์ บ่มอง หัวใจ
ถูกทิ้งวันละน้อย คอย คอย จนหมอง
คือบ่แคร์ บ่มอง หัวใจ",tai_orathai
น้ำตาหยดยังกด Like,/music/thailyric/12601,"รู้เต็มอก ว่ารักตกกระป๋อง
บ่ได้ครอบครอง
บ่ได้เป็นเจ้าของคือเก่า
เพิ่นบ่ฮักแล้ว
เพิ่นลืมเฮาแล้ว เพิ่นบ่คือเก่า
ยากที่เรา ยังห่วงหาลืมเพิ่นบ่ได้

เฝ้าตามส่อง ส่องเฟส ส่องไอจี
ทั้งที่รู้ดี ว่ามันทำให้เจ็บดวงใจ
อยู่กับคนนั้น กอดกับคนนี้
เบิ่งโพสต์คราใด
บาดหัวใจ
แต่ยังติดตามห้ามใจบ่ฟัง

น้ำตาหยด ก็ยังกด like
น้ำตาไหล ก็ยังกดตาม
กดหนึ่งที ก็มีหนึ่งช้ำ อ่านหนึ่งคำ
หนึ่งคำก็ช้ำหนึ่งครั้ง
คนเคยฮักสุดใจ
มันลืมบ่ได้ เมื่อใจสุดทาง
ฝากความหวัง กับความสิ้นหวัง
มันเป็นอีหยัง ที่เปลืองน้ำตา

บ่อยากแคร์
แต่ใจแพ้ความคิดถึง
จึงยังเฝ้าดึง ฉุดความหลัง
เอาไว้เรื่อยมา
เพิ่นบ่แคร์แล้ว
เพิ่นบ่มาแล้ว เรายังค้างคา
ยังเก็บรักษา
สัญญาของคนฮักจาง

น้ำตาหยด ก็ยังกด like
น้ำตาไหล ก็ยังกดตาม
กดหนึ่งที ก็มีหนึ่งช้ำ อ่านหนึ่งคำ
หนึ่งคำก็ช้ำหนึ่งครั้ง
คนเคยฮักสุดใจ
มันลืมบ่ได้ เมื่อใจสุดทาง
ฝากความหวัง กับความสิ้นหวัง
มันเป็นอีหยัง ที่เปลืองน้ำตา

บ่อยากแคร์
แต่ใจแพ้ความคิดถึง
จึงยังเฝ้าดึง ฉุดความหลัง
เอาไว้เรื่อยมา
เพิ่นบ่แคร์แล้ว
เพิ่นบ่มาแล้ว เรายังค้างคา
เข็มนาฬิกาลบแววตา เคยซึ้งบ่ได้",tai_orathai
สิเทน้อง ให้บอกแน,/music/thailyric/12878,"แปลว่าหยังน้ออ้าย
กับอาการเปลี่ยนไปหลายอย่าง
บ่จบบ่หายแต่อ้ายเหินห่าง
คือเป็นลายต่าง แท้หนอ

กะจักแม่นยุ่ง
กะจักแม่นยากอีหยังแน
แต่บ่แคร์กันคือเก่าเลยเนาะ
คิดหลายอยู่เด้ ฮู้บ่
จั๊กอ้ายเป็น อีหยัง

บอกกันแนเด้ ถ้าสิเทน้องถิ่ม
อย่าเชือดนิ่มนิ่ม
อย่าถิ่มให้เจ็บย้อนหลัง

บอกกันแนติ๊ ถ้าอ้ายสิหนีไกลทาง
อย่าสิหลอย แล้วกะห่าง
ให้นางเป็นผู้แพ้

ฮักแท้เดเด้อ้าย
ฝากดวงใจกับอ้ายนานนาน
เพราะเชื่อเพราะหวัง กับคำฮักกัน
ผู้ใด๋มาปั่น บ่แคร์

กะคิดว่าแม่น กะคิดว่าคักคือดี๊ดี
แต่มื้อนี่อ้ายคือเปลี่ยนคักแท้
ส่อยบอกให้น้อง ฮู้แน
สถานะน้องคือ อีหยัง

บอกกันแนเด้ ถ้าสิเทน้องถิ่ม
อย่าเชือดนิ่มนิ่ม
อย่าถิ่มให้เจ็บย้อนหลัง

บอกกันแนติ๊ ถ้าอ้ายสิหนีไกลทาง
อย่าสิหลอย แล้วกะห่าง
หาทางสิเทน้อง

สิถอยจากใจ มีหม่องใหม่คอยคอง
โอ โอะ โอย สิเทน้องให้บอกแน

บอกกันแนเด้ ถ้าสิเทน้องถิ่ม
อย่าเชือดนิ่มนิ่ม
อย่าถิ่มให้เจ็บย้อนหลัง

บอกกันแนติ๊ ถ้าอ้ายสิหนีไกลทาง
อย่าสิหลอย แล้วกะห่าง
ให้นางเป็นผู้แพ้
โอ โอะ โอย สิเทน้องให้บอกแน",tai_orathai
คิดถึงบ้านนา,/music/thailyric/9773,"เด็กบ้านนอกมาอยู่บางกอกตั้งหลายปี
ขายแรงรับจ้างตังค์มี ช่วยพ่อใช้หนี้เงินผ่อน
ตื่นเช้าเข้างาน เย็นกลับมาเหงาห้องเช่าปอนๆ
ความฝันนับวันสั่นคลอน โดนแสงนีออนเปื้อนใจ

คนบ้านนอกทนอยู่บางกอกเพื่อหาเงิน
คิดถึงบ้านนาเหลือเกิน ป่านนี้จะเป็นเช่นไร
คิดถึงพ่อแม่ คิดถึงทุกคนที่ห่างมาไกล
งานหนักกลัวไม่สบาย เงินที่ส่งให้ได้รับหรือเปล่า

เงินลูกส่งไป จ้างเขาทำนานะแม่
ข้าวที่มันแก่ ให้แม่เอาเงินจ้างเขา
ไม่ต้องทำเอง เดี๋ยวจะเป็นลมล้มเอา
ถึงจะยังจนเหมือนเก่า ก็ขอให้เราอยู่ดี

สาวบ้านนอกจะลาบางกอกกลับบ้านเรา
พาใจไปลบความเหงา เติมรักบ้านเราแทนที่
ฟังเพลงลูกทุ่งใต้เงาตึกสูงหล่อเลี้ยงชีวี
ถึงอยู่ในเมืองแสงสี แต่ใจดวงนี้คิดถึงบ้านนา

เงินลูกส่งไป จ้างเขาทำนานะแม่
ข้าวที่มันแก่ ให้แม่เอาเงินจ้างเขา
ไม่ต้องทำเอง เดี๋ยวจะเป็นลมล้มเอา
ถึงจะยังจนเหมือนเก่า ก็ขอให้เราอยู่ดี

สาวบ้านนอกจะลาบางกอกกลับบ้านเรา
พาใจไปลบความเหงา เติมรักบ้านเราแทนที่
ฟังเพลงลูกทุ่งใต้เงาตึกสูงหล่อเลี้ยงชีวี
ถึงอยู่ในเมืองแสงสี แต่ใจดวงนี้คิดถึงบ้านนา

สู้งานที่เมืองแสงสี แต่ใจดวงนี้ยังรักบ้านนา",tai_orathai
กลับมาเพื่อถิ่มไป,/music/thailyric/19460,"ความเก่าความหลัง ที่ยังฝังใจน้องอยู่
ที่มีแต่อ้ายนั้นฮู้ คือการลืมอ้ายบ่ได้
คงเป็นเหตุผล ที่อ้ายนั้นเอามาใซ้
มาล่อมาอ่อยหัวใจ ให้น้องกลับไปคืนดี

คือบ่หลูโตน คนที่อ้ายบ่ได้ฮัก
คนที่อ้ายนั้นตีจาก แบบตั้งใจถิ่มอีหลี
บัดพอใจน้อง เปิดป่องให้อ้ายอีกที
อ้ายกะบ่เห็นความดี เหยียบหย่องน้องคือเก่า

ใจน้องกะมีส่ำนี้ สิให้น้องเจ็บส่ำได๋
มันจั่งสิคักใจอ้าย ถิ่มได้กะถิ่มเอาถิ่มเอา
ใจน้องนี่แหลวสิตาย ย่อนยังฮักอ้ายบ่เซา
สุดท้ายถืกถิ่มคือเก่า คนเจ็บกะเจ็บเอาเจ็บเอา
เป็นหยังคือกลับมาเพื่อถิ่มไป

ความเก่าความหลัง ที่ยังฝังใจน้องอยู่
ที่มีแต่อ้ายนั้นฮู้ คือการลืมอ้ายบ่ได้
บ่ขี้ฮ้ายคัก คงเฮ็ดบ่ได้คืออ้าย
เทือสองที่น้องเสียใจ ที่กลายเป็นผู้สาวเก่า

ใจน้องกะมีส่ำนี้ สิให้น้องเจ็บส่ำได๋
มันจั่งสิคักใจอ้าย ถิ่มได้กะถิ่มเอาถิ่มเอา
ใจน้องนี่แหลวสิตาย ย่อนยังฮักอ้ายบ่เซา
สุดท้ายถืกถิ่มคือเก่า คนเจ็บกะเจ็บเอาเจ็บเอา
เป็นหยังคือกลับมาเพื่อถิ่มไป

ใจน้องกะมีส่ำนี้ สิให้น้องเจ็บส่ำได๋
มันจั่งสิคักใจอ้าย ถิ่มได้กะถิ่มเอาถิ่มเอา
ใจน้องนี่แหลวสิตาย ย่อนยังฮักอ้ายบ่เซา
สุดท้ายถืกถิ่มคือเก่า คนเจ็บกะเจ็บเอาเจ็บเอา
เป็นหยังคือกลับมาเพื่อถิ่มไป

สุดท้ายกะถืกถิ่มคือเก่า คนเจ็บกะเจ็บเอาเจ็บเอา
เป็นหยังคือกลับมาเพื่อถิ่มไป",tai_orathai
เท่าที่ฟ้าเพิ่นให้,/music/thailyric/19451,"บ่ฮู้มื้ออื่น สิตื่นมานำอ้ายบ่
เอื้อมไปแล้วยังพ้อ หรือว่าบ่มีอ้าย
ความฮักเฮา มันสิไปเซาอยู่หม่องใด๋
บอกกับอ้ายบ่ได้คือกัน

ฮู้แค่ว่า เวลานี้ เฮามีกันอยู่ข้างๆ
โลกนี้ซุอย่างกะบ่สำคัญ
ในมื้อนี้ นาทีนี้ บ่มีดอกคำสัญญาต่อกัน
ที่มีให้นั้นคือเบิดหัวใจ

เท่าที่ฟ้าเพิ่นให้อยู่นำกัน
สิฮักให้มั่น ดีที่สุดที่ฮักได้
บ่ฮู้ดอกสิเกิดอิหยังต่อไป
มื้อนี้แค่ได้หย่างไปนำอ้ายพอ

แล้วแต่ฟ้าดนบ่ดนกะซ่างมัน
มื้ออื่นมื้อนั่น ยังบ่มาบ่ฮอดน้อ
สิฮักจนกว่าเบิดวาสนาไปต่อ
ชีวิตมีอ้ายมาพ้อ คือโชคดีหลายที่มีอ้ายฮัก

บ่แน่สุดท้าย แล้วอาจสิต้องจากลา
ให้ถ่าเบิ่งมื้อหน้า  ย่อนบ่กล้ารับปาก
บ่เสียใจ สิเป็นหรือตายยังได้ฮัก
ใจบ่ย่านสิฝากความฝัน

ฮู้แค่ว่า เวลานี้ เฮามีกันอยู่ข้างๆ
โลกนี้ซุอย่างกะบ่สำคัญ
ในมื้อนี้ นาทีนี้ บ่มีดอกคำสัญญาต่อกัน
ที่มีให้นั้นคือเบิดหัวใจ

เท่าที่ฟ้าเพิ่นให้อยู่นำกัน
สิฮักให้มั่น ดีที่สุดที่ฮักได้
บ่ฮู้ดอกสิเกิดอิหยังต่อไป
มื้อนี้แค่ได้หย่างไปนำอ้ายพอ

แล้วแต่ฟ้าดนบ่ดนกะซ่างมัน
มื้ออื่นมื้อนั่น ยังบ่มาบ่ฮอดน้อ
สิฮักจนกว่าเบิดวาสนาไปต่อ
ชีวิตมีอ้ายมาพ้อ คือโชคดีหลายที่มีอ้ายฮัก

เท่าที่ฟ้าเพิ่นให้อยู่นำกัน
สิฮักให้มั่น ดีที่สุดที่ฮักได้
บ่ฮู้ดอกสิเกิดอิหยังต่อไป
มื้อนี้แค่ได้หย่างไปนำอ้ายพอ

แล้วแต่ฟ้าดนบ่ดนกะซ่างมัน
มื้ออื่นมื้อนั่น ยังบ่มาบ่ฮอดน้อ
สิฮักจนกว่าเบิดวาสนาไปต่อ
ชีวิตมีอ้ายมาพ้อ คือโชคดีหลาย ที่มีอ้ายฮัก",tai_orathai
ปานได้เหี่ยมาเนาะ,/music/thailyric/19248,"คำว่าเฮาฮักกัน มันบ่มั่นบ่แก่นแล้วบ้อ
บ่คือมื้อแรกเนาะ ตอนที่อ้ายมาขอ ให้น้องเป็นผู้สาว
คำว่าคิดฮอดกัน กะบ่พิมพ์ส่งมาคือเก่า
เมื่อยบ่ยามมื้อแลง ไหวบ่ยามมื้อเช้า กะบ่ค่อยถามกัน

บ่ไลน์ไปก่อนอ้ายกะบ่ทัก
แชทกะตอบยาก อ่านกะนานอ่าน
บ่ฮักกันแล้วติ คือเป็นแนวนั้น เว้ามาเบิ่งแนน๊า

ปานได้เหี่ยมาเนาะหัวใจ ปานเก็บได้นำหน้าเซเว่น
อ้ายจั่งบ่เบิ่งบ่แยงบ่เห็น ซุมื้อซุเว็นเทียววีเข้าป่า
ปานได้เหี่ยมาเนาะความฮัก บ่ฮู้จักจั๊กหน่อยติว่า
คนเป็นแฟนอ้ายเขาคองเขาถ่า ซางบ่หัวซา ปานได้เหี่ยมาเนาะ​

อยากกินหมูกะทะ สิ้นเดือนมากะทรงยากคัก
มีแต่ว่าบ่ว่าง อ้างแต่วาอ้ายยาก จักแม่นยากหยังน้อ
บ่คึดนำน้องแน น้องคึดนำอ้ายหลายฮู้บ่
เสยกะเดี้ยกะด้อ สิให้ตายก่อนพุ้นบ่ จั่งสิคิดฮอดกัน

บ่ไลน์ไปก่อนอ้ายกะบ่ทัก
แชทกะตอบยาก อ่านกะนานอ่าน
บ่ฮักกันแล้วติ คือเป็นแนวนั้น เว้ามาเบิ่งแนน๊า

ปานได้เหี่ยมาเนาะหัวใจ ปานเก็บได้นำหน้าเซเว่น
อ้ายจั่งบ่เบิ่งบ่แยงบ่เห็น ซุมื้อซุเว็นเทียววีเข้าป่า
ปานได้เหี่ยมาเนาะความฮัก บ่ฮู้จักจั๊กหน่อยติว่า
คนเป็นแฟนอ้ายเขาคองเขาถ่า ซางบ่หัวซา ปานได้เหี่ยมาเนาะ

บ่ไลน์ไปก่อนอ้ายกะบ่ทัก
แชทกะตอบยาก อ่านกะนานอ่าน
บ่ฮักกันแล้วติ คือเป็นแนวนั้น เว้ามาเบิ่งแนน๊า

ปานได้เหี่ยมาเนาะหัวใจ ปานเก็บได้นำหน้าเซเว่น
อ้ายจั่งบ่เบิ่งบ่แยงบ่เห็น ซุมื้อซุเว็นเทียววีเข้าป่า
ปานได้เหี่ยมาเนาะความฮัก บ่ฮู้จักจั๊กหน่อยติว่า
คนเป็นแฟนอ้ายเขาคองเขาถ่า ซางบ่หัวซา ปานได้เหี่ยมาเนาะ

ปานได้เหี่ยมาเนาะหัวใจ ปานเก็บได้นำหน้าเซเว่น
อ้ายจั่งบ่เบิ่งบ่แยงบ่เห็น ซุมื้อซุเว็นเทียววีเข้าป่า
ปานได้เหี่ยมาเนาะความฮัก บ่ฮู้จักจั๊กหน่อยติว่า
คนเป็นแฟนอ้ายเขาคองเขาถ่า ซางบ่หัวซา ปานได้เหี่ยมาเนาะ

คนเป็นแฟนอ้ายเขาคองเขาถ่า ซางบ่หัวซา ปานได้เหี่ยมาเนาะ",tai_orathai
กฎแห่งช้ำ,/music/thailyric/16276,"โลกใบนี้ มีคำว่ากฎตามธรรมชาติ
บ้านเมืองมีกฎหมาย ในโรงเรียนในวัด
มีข้อบัญญัติให้ต้องปฏิบัติตาม
การฮักไผสักคน คงบ่มีปัญหาหากว่าฮักยังหวานฉ่ำ
แต่หากมื้อใด๋ต้องกลายเป็นผู้ชอกช้ำ
ใจถูกกระทำจำเป็นต้องยอมรับ กฎให้ได้

กฎของน้ำ คือต้องไหลลงสู่ที่ต่ำ
กฎของคนชอกช้ำ คือต้องทำใจให้ไหว
กฎของน้ำตา มีอยู่ว่ามันมีหน้าที่ต้องไหล
กฎของคน อกหัก จากอ้าย คือต้องอยู่ให้ไหว
เมื่อหัวใจต้องเจ็บ

นับต่อตั้งแต่นี้คงมีแต่น้ำตา
ถึงแม้ช่วงเวลาที่เหลือบ่มีอ้าย
แต่มีเศษใจที่น้องต้องเก็บ
จำเป็นต้องเรียนรู้การอยู่ผู้เดียว
ถึงแม้วันนี้น้องต้องเหงาต้องเจ็บ
แต่ใจน้องต้องยอมรับ กฎของความช้ำ

กฎของน้ำ คือต้องไหลลงสู่ที่ต่ำ
กฎของคนชอกช้ำ คือต้องทำใจให้ไหว
กฎของน้ำตา มีอยู่ว่ามันมีหน้าที่ต้องไหล
กฎของคน อกหัก จากอ้าย คือต้องอยู่ให้ไหว

กฎของน้ำ คือต้องไหลลงสู่ที่ต่ำ
กฎของคนชอกช้ำ คือต้องทำใจให้ไหว
กฎของน้ำตา มีอยู่ว่ามันมีหน้าที่ต้องไหล
กฎของคน อกหัก จากอ้าย คือต้องอยู่ให้ไหว
เมื่อหัวใจต้องเจ็บ

กฎของคน อกหัก จากอ้าย คือต้องอยู่ให้ไหว
โอ๊ย เมื่อหัวใจต้องเจ็บ",tai_orathai
