song_name,href,lyric,artist
ใจใครใจมัน,/music/thailyric/2208,"จะเร็วจะช้าก็เจ็บทั้งนั้น
เรื่องเธอกับฉันแค่นี้ดีกว่า
กับคนที่โดนทิ้งเสมอมา
อีกครั้งมันจะสักเท่าไหร่

ไม่รักก็ไม่รัก
ไม่ต้องซับซ้อน
ไม่รักไม่ต้องสงสาร
ที่ช้ำก็ต้องช้ำ
ก็กรรมของมัน
อันนั้นใครก็ช่วยไม่ได้

หัวใจใครหัวใจมันไม่ดีเหรอ
ถ้าหากที่เจอเธอว่ามันน้อยไป
รักไม่ลง ก็เลิกกันเลยจะได้ไหม ไม่ต้องคิดถึง
หัวใจใครหัวใจมันนี่ใจฉัน
ไม่ว่ามันจะต้องเจ็บเพียงไหน
ฉันก็เคย รักที่สุดในหัวใจ
อย่างน้อยๆ ก็ครั้งนึง

จะเร็วจะช้าก็เจ็บทั้งนั้น
ไม่รักกันแล้วก็รีบทิ้งดีกว่า
ได้หน้าอย่างนี้ ถ้ามีแต่น้ำตา
มันหน้าดูเสียเมื่อไหร่

ไม่รักก็ไม่รัก
ไม่ต้องซับซ้อน
ไม่รักไม่ต้องสงสาร
ที่ช้ำก็ต้องช้ำ
ก็กรรมของมัน
อันนั้นใครก็ช่วยไม่ได้

หัวใจใครหัวใจมันไม่ดีเหรอ
ถ้าหากที่เจอเธอว่ามันน้อยไป
รักไม่ลง ก็เลิกกันเลยจะได้ไหม ไม่ต้องคิดถึง
หัวใจใครหัวใจมันนี่ใจฉัน
ไม่ว่ามันจะต้องเจ็บเพียงไหน
ฉันก็เคย รักที่สุดในหัวใจ
อย่างน้อยๆ ก็ครั้งนึง

อย่างน้อยๆก็ครั้งนึง
จะเร็วจะช้าก็เจ็บทั้งนั้น
เรื่องเธอกับฉันแค่นี้ดีกว่า",tai_tanawut
มันยังไม่รู้ตัว,/music/thailyric/2211,"มันยังไม่รู้ตัว มั่วๆ งงๆ ออกแนวสับสน
เหมือนคนไม่ค่อยจะเต็ม
มันยังไม่รู้ตัว สติสตังน่ะมันไปไหน
ไม่รู้ว่าบ้าหรือเมา

ตื่นขึ้นมาตอนเช้า ก็คว้าโทรศัพท์เลย
มือก็กดเลขหมาย ถึงคนที่เราเคยรัก
แล้วก็วางสาย

มันจบไปแล้วนี่หว่าเรา เค้าจากไปแล้วไอ้ขี้ลืม
มันต้องยอมรับความจริง ซะบ้างคนเรา
เค้าไม่ได้รัก

ที่จบไปแล้ว ก็จบไป
ไม่ต้องจำไว้ ไม่ต้องคิดถึงเลย
ทำเฉยๆ เดี๋ยวมันก็เช้า
(ไอ้เราก็ดันฝังใจ) (ไอ้เราก็ดันรักจริง)

มันยังไม่รู้ตัว สติสตังน่ะมันไปไหน
สงสัยทั้งบ้าทั้งเมา

อยากจะไปดูหนัง ให้มันเบิกบานใจ
ยังอุตส่าห์ตีตี๋วสองใบ เผื่อใครไม่รู้
แต่ดูอยู่คนเดียว

มันจบไปแล้วนี่หว่าเรา เค้าจากไปแล้วไอ้ขี้ลืม
มันต้องยอมรับความจริง ซะบ้างคนเรา
เค้าไม่ได้รัก

ที่จบไปแล้ว ก็จบไป
ไม่ต้องจำไว้ ไม่ต้องคิดถึงเลย
ทำเฉยๆ เดี๋ยวมันก็เช้า
(ไอ้เราก็ดันฝังใจ) (ไอ้เราก็ดันรักจริง)

มันจบไปแล้วนี่หว่าเรา เค้าจากไปแล้วไอ้ขี้ลืม
มันต้องยอมรับความจริง ซะบ้างคนเรา
เค้าไม่ได้รัก

ที่จบไปแล้ว ก็จบไป
ไม่ต้องจำไว้ ไม่ต้องคิดถึงเลย
ทำเฉยๆ เดี๋ยวมันก็เช้า
(ไอ้เราก็ดันฝังใจ) (ไอ้เราก็ดันรักจริง)",tai_tanawut
อกหักก็ดีแล้ว,/music/thailyric/2214,"จะเสียเวลาทำไมต้องพูดอะไรให้เหนื่อย
ก็ฉันเข้าใจหมดเลยเรื่องราวสิ่งที่เธอทำ
เก็บคำว่ารักไว้ เธอต้องใช้มัน
แต่ว่าไม่ใช่กับฉัน ต่อไปนี้ต้องให้กับเขา

อย่างฉันจะมีอะไรไปสู้กับใครเขาได้
ก็แค่ผู้ชายที่ใช้ชีวิตก็แค่วันๆ
เมื่อเธอคนดี ที่เหมาะสมกัน
ก็ถึงเวลาที่ฉันจะต้องทำใจ

อกหักก็ดีแล้ว เจ็บหนักก็ดีแล้ว
ช่วยทำให้ฉันได้มองเห็นความจริง
ก็หากว่าวันนี้ถ้าฉันไม่ถูกทิ้ง
อีกหน่อยความจริงก็บีบให้เราแยกทาง

ก็แค่ลำพังตัวเองดูแลแทบยังไม่ได้
จะเหลือปัญญาที่ไหนเอาไปแบกรับตัวเธอ
อย่าให้รักฉัน มาเหนี่ยวรั้งเธอ
แค่รู้ว่าเธอไปดีฉันก็ดีใจ

อกหักก็ดีแล้ว เจ็บหนักก็ดีแล้ว
ช่วยทำให้ฉันได้มองเห็นความจริง
ก็หากว่าวันนี้ถ้าฉันไม่ถูกทิ้ง
อีกหน่อยความจริงก็บีบให้เราแยกทาง

ก็แค่ลำพังตัวเองดูแลแทบยังไม่ได้
จะเหลือปัญญาที่ไหนเอาไปแบกรับตัวเธอ
อย่าให้รักฉัน มาเหนี่ยวรั้งเธอ
แค่รู้ว่าเธอไปดีฉันก็ดีใจ",tai_tanawut
คนทั้งคน,/music/thailyric/2207,"ไม่จำเป็นต้องเสียใจ  ไม่ต้องพร่ำต้องเพ้อ
คนที่มันต้องเสียเธอ  อยากจะเจ็บไวๆ
รักไม่จริงก็ทิ้งไป  ไม่ต้องห่วงต้องหา
พอประมาณเถอะน้ำตา  ไม่ได้มีใครตาย

( แต่ )เรื่องอะไรฉันจะต้องลืม  ลืมว่าเรารักกันเท่าไหร่
ทำง่ายมากเลยใช่มั้ย?. . ลืมหน้าคนที่มันรัก
คนทั้งคน. . .ลืมได้ไง  ไม่มีใครเขาทำอย่างนั้น
คนรักกัน. .ทำได้ไง  ไม่มีวันฉันลืมไม่ลง. . ( คนทั้งคน )

ไปเถอะไป. .เธอรีบไป  ไม่ต้องพร่ำต้องเพ้อ
มันไม่ใช่เรื่องของเธอ  ใครจะเป็นจะตาย

( แต่ )เรื่องอะไรฉันจะต้องลืม  ลืมว่าเรารักกันเท่าไหร่
ทำง่ายมากเลยใช่มั้ย?. . ลืมหน้าคนที่มันรัก
คนทั้งคน. . .ลืมได้ไง  ไม่มีใครเขาทำอย่างนั้น
คนรักกัน. .ทำได้ไง  ไม่มีวันฉันลืมไม่ลง. . ( คนทั้งคน )

( แต่ )เรื่องอะไรฉันจะต้องลืม  ลืมว่าเรารักกันเท่าไหร่
ทำง่ายมากเลยใช่มั้ย?. . ลืมหน้าคนที่มันรัก
คนทั้งคน. . .ลืมได้ไง  ไม่มีใครเขาทำอย่างนั้น
คนรักกัน. .ทำได้ไง  ไม่มีวันฉันลืมไม่ลง. . ( คนทั้งคน )
คนทั้งคน. . ลืมได้ไง  ไม่มีใครเขาทำอย่างนั้น

คนรักกัน. .มาแทบตาย  ไม่มีวันฉันลืมไม่ลง. . .จำไว้เลย",tai_tanawut
ผิดแผน,/music/thailyric/2210,"เดิมทีเดียวอยู่คนเดียวดีๆ ไม่เคยคิดมีฟงมีแฟน
ทำอะไรแบบว่าตามสบาย ไม่เคยคิดวางปลงวางแปลน
แต่วันนี้ถึงรู้ว่า น่าจะต้องมีแผน
เมื่อได้เจอแม่เนื้อแน่น และคิดเป็นแฟนกับเธอ

วางโครงการผูกและพันไมตรี แต่งตัวดีดูมีสไตล์
เตรียมคารมแบบว่าคม จริงๆอยากสปี๊กให้เธอพอใจ

ดักรอเธอที่เคยเจอะ อยากให้เธอเซอร์ไพรซ์
แต่พอเธอเข้ามาใกล้ เป็นฉันเซอร์ไพรซ์ซะเอง

(ก็)ผิดแผน เธอเดินมากับแฟนเธอ
จูงมือกันให้ฉันรู้ ว่าฉันต้องผิดหวัง (ตั้งแต่)ยังไม่เริ่ม(เลย)

กำลังใจหมดลงไปทันที ไม่มีเหลือไม่มีเรี่ยวแรง
เดินโซเซไม่มีเฮมีฮา วาสนามีคนมาแซง
แค่เพียงคิดจะลองเสี่ยง ก็เจ็บจนเดี้ยงจนแหยง
ไม่มีเบอร์ให้ลงแข่ง มันแฮงค์หัวใจจริงๆ

ดักรอเธอที่เคยเจอะ อยากให้เธอเซอร์ไพรซ์
แต่พอเธอเข้ามาใกล้ เป็นฉันเซอร์ไพรซ์ซะเอง

(ก็)ผิดแผน เธอเดินมากับแฟนเธอ
จูงมือกันให้ฉันรู้ ว่าฉันต้องผิดหวัง (ตั้งแต่)ยังไม่เริ่ม(เลย

(ก็)ผิดแผน เธอเดินมากับแฟนเธอ
จูงมือกันให้ฉันรู้ ว่าฉันต้องผิดหวัง (ตั้งแต่)ยังไม่เริ่ม(เลย

ยังไม่ทันได้เริ่มเลย ตั้งแต่ยังไม่เริ่มเลย
ยังไม่ทันได้เริ่มเลย ตั้งแต่ยังไม่เริ่มเลย
ยังไม่ทันได้เริ่มเลย",tai_tanawut
สามแยกปากหมา..น,/music/thailyric/2213,"นั่งรอเธอที่สามแยกแห่งนี้มานาน ไม่เจอหลายวันหัวใจของฉันมันเศร้า
ด้วยรักฉันจึงหยอกล้อ เธอนี้หน้างอเพราะโกรธเรา หรือกลัวฉันเห่าเธอถึงไม่มา

ต้องโทษตัวเองที่ปากทำเจ๊งทุกที ปากมันไม่ดีเธอจึงหลีกหนีไม่ผ่านมา
เห่าหอนแซวเธอออกไป แต่ใจแอบรักแก้วตา ให้เอ่ยวาจาซึ้งมันกระดาก

ไม่มีใครเอาเป็นหมาหัวเน่าจีบสาวไม่เป็น
ปากหมาแล้วยังปากเหม็น เหลือที่จะเค้นคำรักมันยาก
ต้องให้หมอเขาช่วยผ่าหมาออกจากปาก
กำจัดมันไปไม่ให้เหลือซาก ลบชื่อฉันจากสามแยกปากหมา

เห็นใจลูกหมาอโหสินะคนดี เจ้าของไม่มีคนดีโปรดคิดเมตตา
ใจหมามันจริงเสมอ หากเธอเอ็นดูเลี้ยงข้าวปลา จะสวมใจหมายกเธอเป็นนาย

ไม่มีใครเอาเป็นหมาหัวเน่าจีบสาวไม่เป็น
ปากหมาแล้วยังปากเหม็น เหลือที่จะเค้นคำรักมันยาก
ต้องให้หมอเขาช่วยผ่าหมาออกจากปาก
กำจัดมันไปไม่ให้เหลือซาก ลบชื่อฉันจากสามแยกปากหมา

เห็นใจลูกหมาอโหสินะคนดี เจ้าของไม่มีคนดีโปรดคิดเมตตา
ใจหมามันจริงเสมอ หากเธอเอ็นดูเลี้ยงข้าวปลา จะสวมใจหมายกเธอเป็นนาย

ใจหมามันจริงเสมอ หากเธอเอ็นดูเลี้ยงข้าวปลา จะสวมใจหมารักเธอจนตาย",tai_tanawut
ไม่สมศักดิ์ศรี,/music/thailyric/2212,"หน้าอย่างฉัน ฉันรู้ตัวเองดีไม่มีวัน
อย่าฝัน...ให้มันเกินไม่มีทาง
แต่หัวใจมันยังไม่ยอม

ก็มันรัก..ถึงแม้จะมีเพียงแค่หัวใจ
ถึงแม้จะมีใครเค้าทุ่มเท..ให้เธอ
มากกว่าคำว่ารักจากคนนี้
คนอย่างฉันมันก็ดีแต่รักเธอ

ถ้าหากเธอคิดว่าฉันยังไม่ดี
ไม่สมศักดิ์ศรีของชีวิตเธอ
ก็ออกไปค้น ไปหา ให้มันเจอที่เธอฝัน

แต่ถ้าวันไหนเธอเห็นความเป็นจริง
ว่าสิ่งที่เธอต้องการคือหัวใจ
ก็กลับมาหาคนที่รักเธอเกินใคร..คนอย่างฉัน

กลับมาหาคนที่รักเดียวใจเดียว..อย่างฉัน",tai_tanawut
เซ็ง,/music/thailyric/2209,"ใครบอกว่ารัก ใครบอกว่าเหงา
ว่าคิดถึงเราจะตาย
เคยโทรมาหา ใครหนอมาหาย
ปากใจไม่ค่อยตรงกัน

ชอบปล่อยให้เหงา ให้ใจเราท้อ
ให้คอยให้รอนานๆ
ไม่มาไม่โทร ฮัลโหลสักคำ
ชอบทำให้มันวังเวง

โอ้สุดที่รัก โคตรเบื่อเธอนัก
ไม่อยากรักแล้วมันเซ็ง
โทรไปหาได้ฟังแต่เพลงรอสาย
รอสาย จนเอียน

โอ้สุดที่รัก โคตรเบื่อเธอนัก
เฝ้ารอจนชักจะเลี่ยน
เมื่อไหร่หนอที่เธอจะเปลี่ยน
นิสัยไม่ดี โคตรเซ็ง

ดูใจของฉันดูมันเอาไว้ ไอ้คนที่มันรักเธอ
อย่าทำให้ท้อให้หลงรอเก้อ เธอควรจะคิดถึงใจกัน
ถ้าคำว่ารักยังมีความหมาย อย่าหายหน้าไปนานๆ
ไม่มาก็โทรฮัลโหลสักคำ อย่าทำให้มันโคตรเซ็ง

โอ้สุดที่รัก โคตรเบื่อเธอนัก
ไม่อยากรักแล้วมันเซ็ง
โทรไปหาได้ฟังแต่เพลงรอสาย
รอสาย จนเอียน

โอ้สุดที่รัก โคตรเบื่อเธอนัก
เฝ้ารอจนชักจะเลี่ยน
เมื่อไหร่หนอที่เธอจะเปลี่ยน
นิสัยไม่ดี โคตรเซ็ง

ก็ได้แต่ปลง ก็ได้แต่ทน
ก็คนมันรักนี่นา จุดอ่อนของฉัน
คือรักเธอมากกว่า ฉันเลยเซ็งโคตรๆ
ก็มันรักรักเธอนี่หว่า ฉันล่ะเซ็งโคตรๆ",tai_tanawut
ยิ่งรักยิ่งแค้น,/music/thailyric/12621,"เลือดเราข้นอยู่แล้ว
คำว่าเพื่อนยังเข้มข้นตลอดไป
หากว่าเรายังมีลมหายใจ
จะมีอะไรที่มันสำคัญยิ่งกว่านี้

เสือต้องมีลาย
ลูกผู้ชายต้องมีเพื่อน
เพื่อนไม่ทิ้งเพื่อน
จะเป็นจะตายร้ายดี
แต่บางทีฟ้าก็ไร้ความปราณี
ทำให้วันนี้เราต้องเดินคนละทาง

ยิ่งรักก็ยิ่งแค้น
ยิ่งแค้นก็ยิ่งรัก
หักก็ต้องหัก
บนทางของลูกผู้ชาย
คนบางคน ฆ่าได้หยามไม่ได้
เกิดมาก็ต้องตาย
ไม่มีอะไรจะต้องกลัว

ไม่มีทางรักษา
ไม่มียาจะลบมันออกไป
คำว่าเพื่อนยังย้ำเตือนในใจ
แต่คำว่าแค้นยังฝังใจจนวันนี้

เสือต้องมีลาย
ลูกผู้ชายต้องมีเพื่อน
เพื่อนไม่ทิ้งเพื่อน
จะเป็นจะตายร้ายดี
แต่บางทีฟ้าก็ไร้ความปราณี
ทำให้วันนี้เราต้องเดินคนละทาง

ยิ่งรักก็ยิ่งแค้น
ยิ่งแค้นก็ยิ่งรัก
หักก็ต้องหัก
บนทางของลูกผู้ชาย
คนบางคน ฆ่าได้หยามไม่ได้
เกิดมาก็ต้องตาย
ไม่มีอะไรจะต้องกลัว

ยิ่งรักก็ยิ่งแค้น
ยิ่งแค้นก็ยิ่งรัก
หักก็ต้องหัก
บนทางของลูกผู้ชาย
คนบางคน ฆ่าได้หยามไม่ได้
เกิดมาก็ต้องตาย

ยิ่งรักก็ยิ่งแค้น
ยิ่งแค้นก็ยิ่งรัก
หักก็ต้องหัก
บนทางของลูกผู้ชาย
คนบางคน ฆ่าได้หยามไม่ได้
เกิดเป็นลูกผู้ชาย
ถึงตัวจะตายก็ไม่กลัว
ถึงตัวจะตายก็ไม่กลัว",tai_tanawut
ลูกผู้ชาย,/music/thailyric/16586,"ผมไม่เคยเลย ผมไม่เคยทำ
เหมือนที่คุณทำ เธอช้ำใจ
ทิ้งขว้างประจำ เขาไม่ทำกัน
ขอบอกว่ามัน ไม่ผู้ชาย

ลูกผู้ชายตัวเป็นๆ
เขาต้องชัดเจนในใจ
แม้บุญคุณต้องทดแทน
ถ้าความแค้นชำระไป
ลูกผู้ชายตัวจริง
เขาไม่ทิ้งไม่ทำใคร
ที่รักเราต้องร้าวใจ
ลูกผู้ชายเขาไม่ทำ

เรื่องถนอม ใจผู้หญิง
ลูกผู้ชาย เขาจะต้องไม่ละเลย
เรื่องทำร้ายใจผู้หญิง
ลูกผู้ชาย เขาไม่ทำ

รักให้ดีๆ ขอบอกดังๆ
ขอโทษโปรดฟัง ให้เข้าใจ
แม้หากคุณทำ ไม่อนาทร
ผมเกี่ยวแน่นอน คุณผู้ชาย

ลูกผู้ชายตัวเป็นๆ
เขาต้องชัดเจนในใจ
แม้บุญคุณต้องทดแทน
ถ้าความแค้นชำระไป
ลูกผู้ชายตัวจริง
เขาไม่ทิ้งไม่ทำใคร
ที่รักเราต้องร้าวใจ
ลูกผู้ชายเขาไม่ทำ

เรื่องถนอม ใจผู้หญิง
ลูกผู้ชาย เขาจะต้องไม่ละเลย
เรื่องทำร้ายใจผู้หญิง
ลูกผู้ชาย เขาไม่ทำ

เรื่องถนอม ใจผู้หญิง
ลูกผู้ชาย เขาจะต้องไม่ละเลย
เรื่องทำร้ายใจผู้หญิง
ลูกผู้ชาย เขาไม่ทำ",tai_tanawut
