song_name,href,lyric,artist
Amazing Thailand,/music/thailyric/17136,"ไทยแลนด์ดินแดนมหัศจรรย์
ฝรั่งมังค่าติดใจอยากมาเที่ยวเมืองไทย
ยาบง ยาบ้า บ้านฉันราคาถูก
กัญชง กัญชา ก็มีปลูก
จำอวดเมืองไทยมันไม่เคยเอาไหน

มันเอามาขาย มันเอามาขาย
มะมะ มันเอามาขาย มันเอามาขาย

ไทยแลนด์บ้านฉันนั้นสุดจะดัง
มากมายด้วยนักรบมีดปืนก็ครบครัน
แต่ฉันแนะนำเรื่องความรักความสัมพันธ์
เป็นชั่วโมงก็ดีเป็นปีก็มี อยู่ที่เงิน

ไทยแลนด์ดินแดนมหัศจรรย์
ไทยแลนด์บ้านฉันนั้นสุดจะดัง
ไทยแลนด์ดินแดนมหัศจรรย์
ไทยแลนด์บ้านฉันนั้นสุดจะดัง

บ้านที่เคยสวย กลับพังทลายเพราะใจคน
คนดีกลับจนลง ส่วนคนเลวกลับยิ่งใหญ่
ประชาชนดั่งโดนข่มขืน คงต้องกล้ำกลืนกันต่อไป
นี่สินะเมืองไทย ไทยแลนด์ดินแดนมหัศจรรย์

บ้านฉันนั้นสุดจะดัง

คนไทยบ้านฉันนั้นสามัคคี
ร่วมแรงร่วมใจช่วยกันกินภาษี
โรงรงโรงเรียนเดี๋ยวนี้เป็นกันหมด
ข้าวหมงข้าวหมามันเอาหมด
สลดใจจริง Amazing Thailand

บ้านที่เคยสวย กลับพังทลายเพราะใจคน
คนดีกลับจนลง ส่วนคนเลวกลับยิ่งใหญ่
ประชาชนดั่งโดนข่มขืน คงต้องกล้ำกลืนกันต่อไป
นี่สินะเมืองไทย ไทยแลนด์ดินแดนมหัศจรรย์

บ้านฉันนั้นสุดจะดัง

ไทยแลนด์ดินแดนมหัศจรรย์
ไทยแลนด์บ้านฉันนั้นสุดจะดัง
ไทยแลนด์ดินแดนมหัศจรรย์
ไทยแลนด์บ้านฉันนั้นสุดจะดัง

บ้านที่เคยสวย กลับพังทลายเพราะใจคน
คนดีกลับจนลง ส่วนคนเลวกลับยิ่งใหญ่
ประชาชนดั่งโดนข่มขืน คงต้องกล้ำกลืนกันต่อไป
นี่สินะเมืองไทย ไทยแลนด์ดินแดนมหัศจรรย์
นี่สินะเมืองไทย บ้านฉันนั้นสุดจะดัง
นี่สินะเมืองไทย Amazing Thailand",taitosamitH
Hello Mama,/music/thailyric/16833,"You may be happy with the skyscraper
But I'm happy with cabin in the wood
You said you want to go around the world
But I need a short time for come home again

And now and now

Sometimes you may be missing someone
When you're tired
Whenever you just go and find him or her
But when I'm tired there's only thing one had do had do
To do something for take back a stronger again

And now and now

Hello hello เฮ็ดอีหยังอยู่หนออีแม่
กินข้าวแลงแล้วบ่ อีพ่อไปหาหมอมารึยัง
บอกน้องแหน่ว่าการ์ตูนเอาไว้เทื่อหน้า
ปาดน้ำตาเงินในกระเป๋ามีไม่ถึงร้อย
บ่มีหยังดอกอีแม่ ลูกสบายดี

ลูกสบายดี ลูกสบายดี

And now and now

Hello hello เฮ็ดอีหยังอยู่หนออีแม่
กินข้าวแลงแล้วบ่ อีพ่อไปหาหมอมารึยัง
บอกน้องแหน่ว่าการ์ตูนเอาไว้เทื่อหน้า
ปาดน้ำตาเงินในกระเป๋ามีไม่ถึงร้อย
บ่มีหยังดอกอีแม่

Hello hello เฮ็ดอีหยังอยู่หนออีแม่
กินข้าวแลงแล้วบ่ อีพ่อไปหาหมอมารึยัง
บอกน้องแหน่ว่าการ์ตูนเอาไว้เทื่อหน้า
ปาดน้ำตาเงินในกระเป๋ามีไม่ถึงร้อย

Hello hello เฮ็ดอีหยังอยู่หนออีแม่
กินข้าวแลงแล้วบ่ อีพ่อไปหาหมอมารึยัง
บอกน้องแหน่ว่าการ์ตูนเอาไว้เทื่อหน้า
ปาดน้ำตาเงินในกระเป๋ามีไม่ถึงร้อย
บ่มีหยังดอกอีแม่ ลูกสบายดี

ลูกสบายดี",taitosamitH
Pattaya Lover,/music/thailyric/16980,"มายเนมอีสมิสเตอร์วิชัย ไอคัมฟอร์มสกลนคร
ไอจากจรบ้านเกิดเมืองนอนเข้ามาทำงานที่พัทยา
ดูน๊อตสแกร์ไอดอกหนา แม้หน้าตาของไอบ่แฮนซั่ม

ไอไลค์ยูอันเดอร์สแตน ไอแอมแมนอินพัทยา
ไอซียูหย่างมาซื้อตำบักหุงข้าวเหนียวอินเยสเตอร์เดย์
ไอเลิฟยู ไอว้อนต์ยู บิวตี้ฟูเกิร์ล เข้าใจบ่

ไออยากฮู้ยูแฮฟอะบอยเฟรนบ่
ถ้าบ่มีไอขอเทเลโฟนนัมเบอร์แหน่
มักเจ้าหลายแต่บ่มีปัญญาสิทำลายกำแพงแห่งภาษา
ฮู้โตแค่เพียงว่า บัตไรท์นาว ไอแฮฟเลิฟอินพัทยา

ไอมิสยูอินเอฟเวรี่ทาม ยูคืองามแท้น้อน้องเอ๋ย
ยูว้อนต์โกไปเที่ยวกับไอไปเบิ่งบั้งไฟพญานาคบ่
ตะลิโตนอ้ายแหน่ท้อ อ้ายเว่าอังกฤษได้ซำนี้

ไออยากฮู้ยูแฮฟอะบอยเฟรนบ่
ถ้าบ่มีไอขอเทเลโฟนนัมเบอร์แหน่
มักเจ้าหลายแต่บ่มีปัญญาสิทำลายกำแพงแห่งภาษา
ฮู้โตแค่เพียงว่า บัตไรท์นาว ไอแฮฟเลิฟอินพัทยา

เรียนจบมาแค่ป.4 เว่าอังกฤษได้ซำนี่
ไผ่สิว่ากะซางติ่ ความฮู้อ้ายมีซัมนิ
เรียนกะบ่สูง เงินกะบ่มี ดังกะบ่โด่ง กรามกะใหญ่
แต่บอกเลยว่าความจริงใจ ล่ะไอบ่แพ้ฝรั่งเดะ

เซย์ฮัลโหลมายดาร์ลิ่ง ยูด้อนต์เล็ตมีดาว
ด่าว ดาว ด่าว ได ดา ดิ ดง
ก็คงต้องกลับไปเรียนเสริม เรียนเพิ่มเติมเรื่องภาษา
สักวันไอสิกลับมา ถ่าไอก่อนหนา

ไออยากฮู้ยูแฮฟอะบอยเฟรนบ่
ถ้าบ่มีไอขอเทเลโฟนนัมเบอร์แหน่
มักเจ้าหลายแต่บ่มีปัญญาสิทำลายกำแพงแห่งภาษา
ฮู้โตแค่เพียงว่า บัตไรท์นาว

ไออยากฮู้ยูแฮฟอะบอยเฟรนบ่
ถ้าบ่มีไอขอเทเลโฟนนัมเบอร์แหน่
มักเจ้าหลายแต่บ่มีปัญญาสิทำลายกำแพงแห่งภาษา
ฮู้โตแค่เพียงว่า บัตไรท์นาว ไอแฮฟเลิฟอินพัทยา",taitosamitH
คางคก,/music/thailyric/19860,"ผืนน้ำตรงนี้เป็นของฉัน

อยากเป็นนก กระโดดบินขึ้นฟ้า
กระโจนบินบนท้องนภา มีสายลมเป็นเพื่อน
แต่คางคกอย่างฉัน ไม่เด่นดีที่เรื่องหน้าตา
ไม่เคยบินบนท้องนภา อย่างมากก็เป็นเพื่อนกบ แต่

ผืนน้ำตรงนี้เป็นของฉัน ผืนป่าแถบนั้นก็เพื่อนกัน
จะมัวไขว่คว้าทำไม ปีกบินบนท้องนาฉันก็มี
ไปกันเถอะพวกเรา ไปว่ายน้ำกัน

หากเป็นนก จะโบยบินข้างบนท้องฟ้า
แต่บางทีโชคชะตา อาจให้เราบินในกรงปิด
ไอ้คางคกอย่างฉัน คงถูกมองเป็นพวกเพ้อฝัน
แต่อย่างไรก็ไม่สำคัญ อย่างน้อยยังมีเธออยู่

ผืนน้ำตรงนี้เป็นของฉัน ผืนป่าแถบนั้นก็เพื่อนกัน
จะมัวไขว่คว้าทำไม ปีกบินบนท้องนาฉันก็มี
ไปกันเถอะพวกเรา ไปว่ายน้ำกัน

ผืนน้ำตรงนี้เป็นของฉัน ผืนป่าแถบนั้นก็เพื่อนกัน
จะมัวไขว่คว้าทำไม ปีกบินบนท้องนาฉันก็มี
ไปกันเถอะพวกเรา

ไปกันเถอะพวกเรา ไปว่ายน้ำกัน",taitosamitH
โคโยตี้,/music/thailyric/23156,"ดูได้เพียงแค่ตาแต่มืออย่าต้องป้องปิดความอยาก
อยากสัมผัสจับจองทดลองครอบครองรถยนต์คันโต
เช็กเครื่องยนต์ ช่วงบน ช่วงกลาง ช่วงล่างวาง 2 เจโบ
มอเตอร์โชว์ นางโชว์ ลูกทุ่งบ้านนา

เชิญรับชม รับดม รับดู รับฟัง เสียงลำโพงใหญ่
หากถูกใจ ช่วยกันกดแชร์กดไลก์ หัวใจรัวๆ
หากคุณพี่คนดีไม่แคร์ไม่สนคนในครอบครัว
เหน็บแบงค์พันรัวๆ ที่ตัวน้องนาง

ปลุกความเป็นชาย ข้างในตัวคุณ
แล้วเดินเข้ามาพิสูจน์
จิตสำนึกบอกให้บันทึกวีดิโอ
โอ๊ย

มาเร่เข้ามา มาดู
โคโยตี้บนรถปิกอัป ไงคุณพี่เซ็กซี่ไหมครับ
อยู่ข้างบนรถยนต์ ดีดดิ้นกลางผู้คนมากมาย
โคโยตี้บนรถปิกอัป ไงคุณพี่เครื่องดีไหมครับ
สนองกามตัณหา อาหารตาของพวกผู้ชาย

ให้ดูแค่ตา แต่คุณแตะต้อง
หยุดแล้วจ้องมองน่อง ฉันให้ก้มมองก้น
เหน็บเงินตรงร่องลองลูบ ลามลงไปที่ต้องห้าม
มอมแล้วยังตะล่อมบอก จบที่ห้องเปล่า
น้องอย่ามาปฏิเสธ นี่เรตพิเศษ
ถ้าดูจากเกรด คงเจนสนาม เล่นตัวจังวะ

เป็นโคโยตี้ไม่ได้ขายตัวนะพี่
ที่กูต้องแต่งตัวโป๊เพราะอาชีพกูนะพี่
คุณด่าแรด ง่าย โง่ โชว์ความเป็นหญิงรอบโลก
ดูใส่โคตรสั้น กูต้องห้ามโกรธ ต้องโยกลั่น
แค่ชอบเต้น โปรดอย่าโง่งั่ง
ทำมาหากินด้วยอาชีพสุจริต
อย่ามาดูถูกในสิ่งที่กูเชื่อมั่น

สวัสดีครับวันนี้เจอะเจอกันอีกเช่นเคยกับ
DJ.Euro ด้วยนะครับ
วันนี้ NO 1 เมืองไทยก็มาด้วย
ตัวขาวอย่างกับสำลี
แต่เปิดมาทีสี ด้ำ ดำ น้องอำนวย

ที่เดินเข้ามาเมื่อกี้ พี่เห็นหนูยิ้มละจะจิ้มหนูเฉย
รู้ตัวว่าหนูหน้าตาดี แต่ถ้าจะมา ก็บ่ได้นะเอ้อ
จะเอานวยไปนัว จะเอานวยไปนั่ง
จะเอานวยไปบั้ง เข้าหน้าตามเคย
ไม่เอาแบงค์ยี่ ไม่เอาแบงค์ห้า
ไม่เอาแบงค์ฟ้า เอาแบงค์พันมาเลย

ปลุกความเป็นชาย ข้างในตัวคุณ
แล้วเดินเข้ามาพิสูจน์
จิตสำนึกบอกให้บันทึกวีดิโอ
โอ๊ย

มาเร่เข้ามา มาดู
โคโยตี้บนรถปิกอัป ไงคุณพี่เซ็กซี่ไหมครับ
อยู่ข้างบนรถยนต์ ดีดดิ้นกลางผู้คนมากมาย
โคโยตี้บนรถปิกอัป ไงคุณพี่เครื่องดีไหมครับ
สนองกามตัณหา อาหารตาของพวกผู้ชาย

โคโยตี้บนรถปิกอัป ไงคุณพี่เซ็กซี่ไหมง้าบ
อยู่ข้างบนรถยนต์ ดีดดิ้นกลางผู้คนมากมาย (อำนวยมาแล้ว)

โคโยตี้บนรถปิคอัพ ไงคุณพี่เครื่องดีไหมครับ
สนองกามตัณหา อาหารตาของพวกผู้ชาย",taitosamitH
เจตจำนงเสรี (Free Will),/music/thailyric/19411,"พลังประชาชน มากมายเท่าไหร่สู้ประชารัฐไม่ได้
มันจึงอดทน แม้มันจะอับจน ไร้ทางไป
หากเรามีพลัง มันยังมีความหวัง
อดทนกัดฟันไม่นานก็คงผ่าน
ไม่นานไม่ช้า แค่รอคอยเวลานั้นมาเยือน

ชูมือขึ้นมา ชูมือขึ้นมา เอาให้สุดแขน
เรายังมีแรง เรายังมีแรง มีลมหายใจ
เอามันคืนมา เอามันคืนมา เสรีภาพประชาธิปไตย
เอามันคืนไป เอามันคืนไป ความสุขจอมปลอม

ต่อให้อิสรภาพเราถูกพรากไป
แต่หัวใจคนไทยยังไงก็ยังเสรี
ต่อให้ใครเอาปืนมาจ่อ
ต่อให้รอนานกว่านี้
เจตจำนงและเสรีภาพจะเป็นของเรา

ชูมือขึ้นมา ชูมือขึ้นมา เอาให้สุดแขน
เรายังมีแรง เรายังมีแรง มีลมหายใจ
เอามันคืนมา เอามันคืนมา เสรีภาพประชาธิปไตย
เอามันคืนไป เอามันคืนไป ความสุขจอมปลอม

ต่อให้อิสรภาพเราถูกพรากไป
แต่หัวใจคนไทยยังไงก็ยังเสรี
ต่อให้ใครเอาปืนมาจ่อ
ต่อให้รอนานกว่านี้
เจตจำนงและเสรีภาพจะเป็นของเรา

ต่อให้อิสรภาพเราถูกพรากไป
แต่หัวใจคนไทยยังไงก็ยังเสรี
ต่อให้ใครเอาปืนมาจ่อ
ต่อให้รอนานกว่านี้
เจตจำนงและเสรีภาพจะเป็นของเรา",taitosamitH
ใจแผ่นดิน,/music/thailyric/21099,"จากบ้านป่านามแก่งกระจานถิ่นฐานที่เคยอาศัย
เปลี่ยนแปรไปเป็นอุทยาน
อยู่กับป่ามาจนบัดนี้ร้อยปีที่ตั้งถิ่นฐาน
ถูกรุกรานเผาบ้านเผาเมือง

จากบ้านป่ามาตามสัญญามาหาที่ดินทำกิน
ดินเป็นหิน หมดสิ้นปัญญา
ออกจากป่ามายี่สิบปี วันนี้หวนคืนดีกว่า
สู่ผืนป่าแก่งกระจานบ้านใจแผ่นดิน

ถูกกล่าวหาว่าเป็นต่างด้าวไร้สิ้นแผ่นดิน
ถูกพาดพิง ถูกตีราคา ไร้ความเป็นไทย
ความเป็นคนเท่ากัน ไม่ว่าชาติพันธุ์ทพันธุ์ไหน
กล่องดวงใจ เคยฝากเอาไว้ ข้างในผืนป่า

อยากกลับไปใช้ชีวิตที่ใจแผ่นดิน
ทวงคืนถิ่นฐานทวงบ้านที่เคยอาศัย
อยากกลับไปใช้ชีวิตเหมือนก่อน
ตอนนี้ยังทำไม่ได้ สัญญาว่าวันนึงจะกลับไป

อยากอธิษฐานบนบานเจ้าป่าเจ้าเขา
ช่วยดลบันดาล ให้เขานั้นมาสนใจ
ได้โปรดคืนบ้านให้ฉันเสียเถิด
เปิดใจทบทวนดูใหม่ เกิดที่ใดต้องตายที่นั้น

อยากกลับไปใช้ชีวิตที่ใจแผนดิน
ทวงคืนถิ่นฐานทวงบ้านที่เคยอาศัย
อยากกลับไปใช้ชีวิตเหมือนก่อน
ตอนนี้ยังทำไม่ได้ สัญญาว่าวันนึงจะกลับไป

เอ โดะ กี อุ๊ เลอะ เกอะ จึ๊ ขุ
เอะ โดะ นี่ กี่ ฮิ เลอะอุ๊ เลอะ กริ
เอะ โดะ นี่ กี่ เคะ เกะ นิวี มา เต่อ นี่ บว่า
มึ ตะ นี หยอ เกอ กี

เอะ โดะ ทึ ก่ะ พะ ที ก่ะ จ๊ะ
ต่า ชู ญงี เฮะ ตู้ กี่ ปู เวะ ด๊ะ
ฮิ กี่ ต้า กรี้ ต้า กรู ต้า อู้ ล่อ ก่อ เตอะ กี้
เจ๊าะ อุ๊ แพ นิ เจ๊าะ ซิ เพ นิ

เอ โดะ กี อุ๊ เลอะ เกอะ จึ๊ ขุ
เอะ โดะ นี่ กี่ ฮิ เลอะอุ๊ เลอะ กริ
เอะ โดะ นี่ กี่ เคะ เกะ นิวี มา เต่อ นี่ บว่า
มึ ตะ นี หยอ เกอ กี

เอะ โดะ ทึ ก่ะ พะ ที ก่ะ จ๊ะ
ต่า ชู ญงี เฮะ ตู้ กี่ ปู เวะ ด๊ะ
ฮิ กี่ ต้า กรี้ ต้า กรู ต้า อู้ ล่อ ก่อ เตอะ กี้
เจ๊าะ อุ๊ แพ นิ เจ๊าะ ซิ เพ นิ

เอ โดะ กี อุ๊ เลอะ เกอะ จึ๊ ขุ
เอะ โดะ นี่ กี่ ฮิ เลอะอุ๊ เลอะ กริ
เอะ โดะ นี่ กี่ เคะ เกะ นิวี มา เต่อ นี่ บว่า
มึ ตะ นี หยอ เกอ กี

เอะ โดะ ทึ ก่ะ พะ ที ก่ะ จ๊ะ
ต่า ชู ญงี เฮะ ตู้ กี่ ปู เวะ ด๊ะ
ฮิ กี่ ต้า กรี้ ต้า กรู ต้า อู้ ล่อ ก่อ เตอะ กี้
เจ๊าะ อุ๊ แพ นิ เจ๊าะ ซิ เพ นิ",taitosamitH
ดวงดารา,/music/thailyric/23157,"คืนนับวันตะวันส่องหน้า
ตื่นขึ้นมาบนเตียงของใคร
แม่จากไป พ่อลมหายใจแผ่วบาง
ลงจากเนินเผชิญเมืองใหญ่
ใช้ความใคร่เป็นเงินแลกมา
วาสนาไม่เคยได้มี อย่างใคร อย่างใคร

ยอมเข้าไป เธอยอมกล้ำกลืน
ไม่ยอมตื่นกับเสื่อผืนหมอนใบ
เก็บความลับไว้ไม่ควรบอกใคร หรอกหนา
ตัวเธอมี เธอมีคุณค่า
แต่งหน้ามาอยู่ใต้แสงไฟ
ติดเบอร์ไว้รอใครเรียกมา เรียกมา เรียกมา

โอ้ว่า เจ้าดวงดารา ยอมเสพสมกามา
แค่ผ่านมา ผ่านไป ใช่แรมปี
แลกเศษเงินด้วยกาย ให้ผู้ชายย่ำยี
หมดความสาว เสื่อมศักดิ์ศรีไม่มีราคา

นาฬิกาปลุกตอนตีห้า
ตื่นขึ้นมาหยิบเงินหัวเตียง
ออกไปยืนที่ริมระเบียง ลำพัง

ความโสมมติดเต็มใบหน้า
ขอบดวงตาก่ำเป็นสีแดง
เก็บแอบแฝงข้างในสายตา น้ำตา

โอ้ว่า เจ้าดวงดารา ยอมเสพสมกามา
แค่ผ่านมา ผ่านไปใช่แรมปี
แลกเศษเงินด้วยกาย ให้ผู้ชายย่ำยี
หมดความสาว เสื่อมศักดิ์ศรีไม่มีราคา

โอ้ว่า เจ้าดวงดารา เธอเสพสมกามา
แค่ผ่านมาผ่านไป ใช่แรมปี
แลกเศษเงินคุณผู้ชาย ด้วยร่างกายที่เธอมี
หมดความสาว ต่อจากนี้

เจ้าดวงดารา",taitosamitH
แดงกับเขียว,/music/thailyric/16558,"หยิ่งทะนงองอาจในวิถี
แบกศักดิ์ศรีค้ำคอเดินสุดสาย
ไม่ยอมงอ อ่อนข้อ โถ่ ไอ้ควาย
เมื่อความตายมาเยือนเพื่อนไม่มี

หยิ่งผยองลำพองว่าตนเก่ง
ว่าตนเจ๋งว่าตนสุด ไอ้ฉิบหาย
เมื่อถึงฆาตถึงคราวชีพมลาย
ผลสุดท้ายกลัวตายเป็นแม่งทุกคน

โลกใบนี้กว้างใหญ่กว่ามึงรู้
ใช้ตาดูหูฟังเถอะ เย็ดแหม่ม
เลือดนักสู้ไม่ได้มีไว้ฆ่าแกง
กลับบ้านไปแดกข้าวแกงแม่มึงรอ

ไอ้แดงมันเป็นนักสู้ ที่ดูคล่องแคล่วปราดเปรียว
และไอ้เขียวมันเป็นนักซิ่ง มันมีรถเครื่องที่คอยวิ่งแซง
ทุกคัน ไป

มีในจังหวะหนึ่ง
ไอ้แดงปะทะวาจากับไอ้เขียวเรื่องผู้หญิง
จึงต้องดวลว่าใครของจริง ยิง

เพื่อความยิ่งใหญ่และผู้หญิง
ทุกคนต้องเรียกกูว่าสิงห์ใหญ่
และใครต้องเจ็บใจไปมากกว่า มากกว่า

พ่อแม่มึง พ่อแม่มึง

ด้วยไอ้แดงมันเป็นนักสู้ มันจึงบู๊ด้วยมือและตีน
แต่ไอ้เขียวเป็นแค่นักซิ่ง มันแพ้แต่ว่าเพื่อนมันยื่นปืน ยิง

ไอ้เขียวชนะสะใจ บนร่างกายที่ไร้วิญญาณของไอ้แดง
แต่ไม่นาน มันตายด้วยบ่วงกรรมอันร้อนแรง

เพื่อความยิ่งใหญ่และผู้หญิง
ทุกคนต้องเรียกกูว่าสิงห์ใหญ่
และใครต้องเจ็บใจไปมากกว่า มากกว่า

พ่อแม่มึง พ่อแม่มึง

เลือดนักสู้พ่อมึงมี แต่ไม่ได้มีไว้ฆ่าแกง
เลือดนักซิ่งแม่มึงไม่มี มีแค่ถุงข้าวแกง

เลือดนักสู้พ่อมึงมี แต่ไม่ได้มีไว้ฆ่าแกง
เลือดนักซิ่งแม่มึงไม่มี มีแค่ถุงข้าวแกง

เพื่อความยิ่งใหญ่และผู้หญิง
ทุกคนต้องเรียกกูว่าสิงห์ใหญ่
และใครต้องเจ็บใจไปมากกว่า มากกว่า

แล้วใครเล่าที่ต้องบอบช้ำ
แล้วใครเล่าถูกกระทำข้างใน
แล้วใครที่ได้แค่นอนร้องไห้

ถ้าไม่ใช่ พ่อแม่มึง
ก็พ่อแม่มึง",taitosamitH
ตราบ,/music/thailyric/19736,"ตราบใดที่ดวงอาทิตย์ยังขึ้นทางทิศตะวันออก
ตราบนั้นยังมีฉัน คอยประคอง
ตราบใดที่ความฝัน เจอทางตันไร้ทางออก
ตราบนั้นเราจะร้อง เพลงด้วยกัน

ตราบใด สายลมยังมี จะส่งความคิดถึงไป
ตราบใด สายตายังดี จะส่องทางให้เธอ
ถ้าหากเธอไม่เจอ จะอยู่เป็นเพื่อนเธอ

ตราบใดใจเธอหวัง หวังมากไปจนใกล้จะพัง
ตราบนั้นเธอต้องลดลงมาตรงกลาง
ตราบใดที่ความรัก คอยผลักดันทุกวันอยู่
ตราบนั้นเธอจงรู้ จงเข้าใจ

ตราบใด สายลมยังมี จะส่งความคิดถึงไป
ตราบใด สายตายังดี จะส่องทางให้เธอ
ตราบใด หัวใจยังมี จงอย่าคิดสิ้นท้อใจ
ตราบใด ฉันยังสู้ไหว จะเปิดทางให้เดิน

ระหว่างเธอเผชิญ ไม่มีอะไรยากเกิน

ตราบใด แพ้ใจตัวเอง จงเปิดเพลงนี้ฟัง
มันจะยังร้องให้เธอ

ตราบใดที่ดวงอาทิตย์ยังขึ้นทางทิศตะวันออก
ตราบนั้นเราจะร้องเพลงด้วยกัน",taitosamitH
