song_name,href,lyric,artist
กะถืกต้องแล้วละ,/music/thailyric/16201,"ใจน้องนั้นเริ่มหวั่น ตั้งแต่เห็นอ้ายแนมเบิ่งเขา
ออกอาการว่าอ้ายฮักเขา แล้วบ่อ้าย
บ่โดนน้องก็เห็น ว่าอ้ายเป็นคือน้องคิดไว้
ไปฮักกันตั้งแต่เมื่อใด คือไวแท้

แม่นแล้วเขางามกว่า เลยได้ใจของอ้าย
ส่วนคนสิขาดใจตาย คือคนผู้ฮ้ายจั่งน้องคนนี้

ให้โชคดีเด้ออ้าย ฮักกันหลายๆ เด้อ
อย่าให้เจอฮักเจ็บๆ คือจังน้อง
ฮักกันโลดเด้ออ้าย ให้ได้ถือไม้เท้ายอดทอง
คนที่อ้ายเซาฮักแม่นน้อง ก็ถืกต้องแล้วล่ะ

ใจน้องนั้นเริ่มสั่น ตั้งแต่วันที่อ้ายปล่อยมือ
เปลี่ยนไปจับไปถือมือเขาแทน
ทั้งที่ฮักแป๊ตาย แต่สุดท้ายผู้ได้ตำแหน่ง
เอิ้นอ้ายว่าแฟน คือเขา

แม่นแล้วเขางามกว่า เลยได้ใจของอ้าย
ส่วนคนสิขาดใจตาย คือคนผู้ฮ้ายจั่งน้องคนนี้

ให้โชคดีเด้ออ้าย ฮักกันหลายๆ เด้อ
อย่าให้เจอฮักเจ็บๆ คือจังน้อง
ฮักกันโลดเด้ออ้าย ให้ได้ถือไม้เท้ายอดทอง
คนที่อ้ายเซาฮักแม่นน้อง ก็ถืกต้องแล้วล่ะ

แม่นแล้วเขางามกว่า เลยได้ใจของอ้าย
ส่วนคนสิขาดใจตาย คือคนผู้ฮ้ายจั่งน้องคนนี้

ให้โชคดีเด้ออ้าย ฮักกันหลายๆ เด้อ
อย่าให้เจอฮักเจ็บๆ คือจังน้อง
ฮักกันโลดเด้ออ้าย ให้ได้ถือไม้เท้ายอดทอง
คนที่อ้ายเซาฮักแม่นน้อง ก็ถืกต้องแล้วล่ะ

คนที่เจ็บคักกะแม่นน้อง ก็ถืกต้องแล้วล่ะ",tanya_rsiam
คนรักในชาติหน้า,/music/thailyric/19003,"ได้แต่มองได้เพียงแอบจอง
หมายปองตัวเธอแค่ในใจฉัน
เพราะรู้ว่าไม่มีวันที่จะได้ใจ

ได้เป็นคนที่ดีโคตรดี  ไม่เคยเป็นคนที่ใช่
จะยืนตรงไหน เธอมองไม่เคยเห็นกัน

อยู่กับฉันเธอดูจะเหงา
อยู่กับเขาเธอดูยินดี แบบนี้ คงไม่มีสิทธิ์ฝัน
คงไม่ทันแล้วในชาตินี้ เรื่องมีชีวิตร่วมกัน
ไม่มีวันเธอจะให้ฉันไปแทนใคร

อาจได้เป็นคนรัก แต่เหมือนจะเป็นชาติหน้า
รู้ตัวเองดีว่า ไม่มีปัญญาแนบกาย
เรื่องเราในชาตินี้ คงไม่มีทางที่เธอจะยกหัวใจ
ให้กับฉันจึงหวังแค่เพียงชาติหน้า

ต่อให้รู้ว่าฉันต้องแพ้
ขอเพียงแค่ยืนข้างเธอเท่านั้น
ถึงแม้ไม่ได้รางวัลก็ไม่ไปไหน

สุขใจแล้วแค่เธอสุขดี ชาตินี้คงไม่เป็นไร
เธออยู่ในอ้อมแขนคนไหนก็ไม่สำคัญ

อยู่กับฉันเธอดูจะเหงา
อยู่กับเขาเธอดูยินดี แบบนี้ คงไม่มีสิทธิ์ฝัน
คงไม่ทันแล้วในชาตินี้ เรื่องมีชีวิตร่วมกัน
ไม่มีวันเธอจะให้ฉันไปแทนใคร

อาจได้เป็นคนรัก แต่เหมือนจะเป็นชาติหน้า
รู้ตัวเองดีว่า ไม่มีปัญญาแนบกาย
เรื่องเราในชาตินี้ คงไม่มีทางที่เธอจะยกหัวใจ
ให้กับฉันจึงหวังแค่เพียงชาติหน้า

อาจได้เป็นคนรัก แต่เหมือนจะเป็นชาติหน้า
รู้ตัวเองดีว่า ไม่มีปัญญาแนบกาย
เรื่องเราในชาตินี้ คงไม่มีทางที่เธอจะยกหัวใจ
ให้กับฉันจึงหวังแค่เพียงชาติหน้า

อยากเป็นคนรักของเธอสักครั้ง ในชาติหน้า",tanya_rsiam
จดหมายถึงแม่,/music/thailyric/14845,"เปิดไฟใส่กลอน ล้มตัวนอนเขียนจดหมาย
ว่าลูกอยู่สุขสบาย ให้แม่วางใจ ไม่ต้องห่วงนะ
เงินเดือนยังน้อย ใช้เหลือนิดหน่อยส่งมา
เดือนนี้ไม่มีเวลา อาจกลับเดือนหน้า เดี๋ยวดูอีกที

ปิดไฟกราบหมอน ล้มตัวนอนอย่างอ่อนล้า
คิดถึงบ้านที่จากลา อยากให้แม่มากอดลูกตอนนี้
จดหมายหลอกๆ ที่บอกว่าลูกอยู่ดี
ความจริงช้ำใจเหลือที่ แสตมป์ดวงนี้ปิดด้วยน้ำตา

แม่รู้หรือเปล่า ลูกสาวแม่มาอกหัก
บอบช้ำกับเรื่องความรัก เสียหลักไร้คนเยียวยา
ทั้งดื้อทั้งแย่ ลืมคำที่แม่เตือนมา
คบใครอย่าดูแต่หน้า โอ้ แม่จ๋า ลูกทำผิดไป

เปิดไฟขึ้นมา เก็บเสื้อผ้าใส่กระเป๋า
พรุ่งนี้จะตื่นแต่เช้า จะกลับบ้านเราไปตั้งหลักใจ
จะไปกอดแม่ เบิกรักแท้ที่ไม่มีขาย
ลูกสาวที่ไม่เอาไหน จะเอาหัวใจไปซบตักแม่

แม่รู้หรือเปล่า ลูกสาวแม่มาอกหัก
บอบช้ำกับเรื่องความรัก เสียหลักไร้คนเยียวยา
ทั้งดื้อทั้งแย่ ลืมคำที่แม่เตือนมา
คบใครอย่าดูแต่หน้า โอ้ แม่จ๋า ลูกทำผิดไป

เปิดไฟขึ้นมา เก็บเสื้อผ้าใส่กระเป๋า
พรุ่งนี้จะตื่นแต่เช้า จะกลับบ้านเราไปตั้งหลักใจ
จะไปกอดแม่ เบิกรักแท้ที่ไม่มีขาย
ลูกสาวที่ไม่เอาไหน จะเอาหัวใจไปซบตักแม่

จะไปกอดแม่ เบิกรักแท้ที่ไม่มีขาย
ลูกสาวที่ไม่เอาไหน จะเอาหัวใจไปซบตักแม่",tanya_rsiam
ใจกังวล,/music/thailyric/12036,"น้ำตาไหลคลอ แม่พ่อเพิ่นโทรมาเว้า
ว่าเห็นอ้ายเดินกับสาว หยอกคลอเคล้าท่ามกลางห้างใหญ่
ลืมเขาสาเด้อ แม่พ่อเพิ่นโทรปลอบใจ
เป็นห่วงลูกสาวหลายหลาย ย่านมีชายนอกใจลูกหล่า

เหมือนคนใกล้ตาย หัวใจไม่มีแรงสู้
วางสายบ่เป็นตาอยู่ ใจเริ่มหดหู่เหมือนคนเป็นบ้า
พ่อแม่บอกไว้ ทำใจเถอะนะลูกจ๋า
น้องยังบ่เห็นกับตา จึงฟ้าวโทรหาเพื่อถามโตอ้าย

ตอบน้องได้บ่ เรื่องแม่พ่อเพิ่นโทรมาเว้า
ว่าอ้ายมีสาว เข้ามาแบ่งปันห้องใจ
ให้บอกน้องมา อ้ายอย่าทำเป็นเงียบไป
ฮู้บ่น้องเจ็บปางตาย โปรดอธิบายให้ฟัง

น้องเริ่มเข้าใจ อ้ายตัดสายบ่มีคำเว้า
แม่พ่อเพิ่นบ่ตั๋วเฮา เรื่องอ้ายกับสาวควงกันเดินห้าง
บอกน้ำตาไว้ อย่าไหลออกมากะซ่าง
พ่อแม่เพิ่นอยู่เคียงข้าง อีหล่าลูกนางอย่าได้ท้อใจ

ตอบน้องได้บ่ เรื่องแม่พ่อเพิ่นโทรมาเว้า
ว่าอ้ายมีสาว เข้ามาแบ่งปันห้องใจ
ให้บอกน้องมา อ้ายอย่าทำเป็นเงียบไป
ฮู้บ่น้องเจ็บปางตาย โปรดอธิบายให้ฟัง

น้องเริ่มเข้าใจ อ้ายตัดสายบ่มีคำเว้า
แม่พ่อเพิ่นบ่ตั๋วเฮา เรื่องอ้ายกับสาวควงกันเดินห้าง
บอกน้ำตาไว้ อย่าไหลออกมากะซ่าง
พ่อแม่เพิ่นอยู่เคียงข้าง อีหล่าลูกนางอย่าได้ท้อใจ

บอกน้ำตาไว้ อย่าไหลออกมากะซ่าง
พ่อแม่เพิ่นอยู่เคียงข้าง อีหล่าลูกนางอย่าได้ท้อใจ",tanya_rsiam
ต้องมีคนชดใช้,/music/thailyric/15415,"พลิ้วพรายพร่างพราว
เลื่อมเงารัดร้อยเรียงราย
จากรวงรังหม่อนไหม
ได้ซิ่นลายหงส์งามจับตา

ด้วยความมั่นหมาย
สิมีไผเห็นคุณค่า
หวังชีวิตอันอ่อนล้า
ได้เจอสักคนที่ดี

ไม่เพียงกลายกลับ
กลับกลายเลวร้ายยิ่งกว่า
ดั่งถูกพิพากษา
โทษจากฟ้าให้เป็นเช่นนี้

เขารุมทำร้าย
บ่มีผู้ไหนไยดี
เพียงเศษความหวังที่มี
ยังถูกเหยียบย่ำทำลาย

กรีดลงบนหัวใจว่าใครที่ทำให้ร้าวราน
จะจดจำไม่ว่าจะนานแค่ไหน
เลือดและรอยน้ำตา จะตามเธอทุกชาติไป
ทำกับฉัน ไว้อย่างไร ต้องเท่ากัน

ร่องรอยลวดลาย บ่มีสิ่งไหนมาแทน
นอกจากห้วงความแค้น เพื่อจะเฝ้ารอคอยวันนั้น
ทุกความเจ็บนี้ ต้องมีคนชดใช้มัน
เห็นเธอปวดใจเท่ากัน คือวันฉันตายตาหลับ

กรีดลงบนหัวใจว่าใครที่ทำให้ร้าวราน
จะจดจำไม่ว่าจะนานแค่ไหน
เลือดและรอยน้ำตา จะตามเธอทุกชาติไป
ทำกับฉัน ไว้อย่างไร ต้องเท่ากัน

ร่องรอยลวดลาย บ่มีสิ่งไหนมาแทน
นอกจากห้วงความแค้น เพื่อจะเฝ้ารอคอยวันนั้น
ทุกความเจ็บนี้ ต้องมีคนชดใช้มัน
เห็นเธอปวดใจเท่ากัน คือวันฉันตายตาหลับ

สาบานกับฟ้า ต้องมีคนชดใช้มัน
ใช้ชีวิตคืนให้ฉัน คือวันที่ตายตาหลับ",tanya_rsiam
โธ่เอ๊ย,/music/thailyric/21211,"อะโด้เอย อะโด้เอย อะโด้เอย โด้เอย โด้เอย

ฮ่าย น้องสาว พี่แคบอย่างแรงแล้วหลาว
ออกบ้านตีสี่หัวเช้า รถติดหนัดเหนียนอย่างยาว
แหม่ หยับได้ทีหิดหิด หงุดหงิด หงุดหงิด หงุดหงิด
โทรศัพท์ก็ดับดับติดติด ไปไม่ทันแน่ยังอยู่หมอชิต

เหงื่อแตกซิก เหงื่อแตกซิก เหงื่อแตกซิก เหงื่อแตกซิก
เหงื่อแตกซิก เหงื่อแตกซิก เหงื่อแตกซิก เหงื่อแตกซิก
ขับอยู่เลนซ้ายรถไฟปาดหน้า ขับอยู่ดีดีมีก๊อตซิลล่า
พ่อกับแม่ฮันนีมูนอยู่กาน่า แต่ไม่ต้องห่วงพี่ไม่เบี้ยวน่า

อะโด่เอ๊ย ไหนบอกให้แม่มาขอ ไอ้เราก็รอ รอ รอ ซะจนอ่อนใจ
อะโด่เอ๊ย ไหนบอกให้แม่มาขอ ไอ้เราก็รอ รอเสียจนน้ำตาตกใน
อะโด่เอ๊ย

สาบานก็ได้พี่ไม่ขี้หก รอหน่อยคนดีพี่ไม่ขี้หก
เป็นลมมอเดี๋ยวไม่ได้ขี้หก พี่ไม่ทำให้น้องต้องเจ็บอก
มาเจอสึนามิที่ชุมพร ภูเขาไฟระเบิดที่นคร
น้องไม่ต้องกินแห้วหรอกงามงอน เพราะยังไงพี่ก็ไปถึงแน่นอน

รักพี่ปึ้ก รักพี่ปึ้ก รักพี่ปึ้ก รักพี่ปึ้ก รักพี่ปึ้ก รักพี่ปึ้ก รักพี่ปึ้ก รักพี่ปึ้ก
พลีส คนดีน้องอย่าคิดสั้น พี่ก็เตรียมสินสอดไว้เป็นตั้งตั้ง
เดี๋ยวไปจัดงานใหญ่ไม่มีข้ออ้าง ยังไงก็ช่างไม่เบี้ยวแน่

อะโด่เอ๊ย ไหนบอกให้แม่มาขอ ไอ้เราก็รอ รอ รอ ซะจนอ่อนใจ
อะโด่เอ๊ย ไหนบอกให้แม่มาขอ ไอ้เราก็รอ รอเสียจนน้ำตาตกใน
ช้ำในล่ะหัวใจพังเพ ช้ำในล่ะหัวใจพังเพ ผู้บ่าวมาเทคือน้ำล้างจาน
ไสว่าให้แม่มาขอแต่งงาน แต่งงาน แต่งงาน แต่งงาน
แต่หายจ้อยมิดจีรี ผู้บ่าวมาดดีใจกากปากเก่ง นึกว่าสิเจ๋ง อะโธ่เอ๊ย

อะโด่เอ๊ย ไหนบอกให้แม่มาขอ ไอ้เราก็รอ รอ รอ ซะจนอ่อนใจ
อะโด่เอ๊ย ไหนบอกให้แม่มาขอ ไอ้เราก็รอ รอเสียจนน้ำตาตกใน
อะโด้เอย อะโด้เอย อะโด้เอย ไหนบอกให้แม่มาขอ
อะโด้เอย อะโด้เอย อะโด้เอย โด้เอย โด้เอย
อะโด้เอย อะโด้เอย อะโด้เอย ไหนบอกให้แม่มาขอ
อะโด้เอย อะโด้เอย อะโด้เอย ไหนบอกให้แม่มาขอ",tanya_rsiam
นางเอก,/music/thailyric/12685,"เจ็บปานใด๋กะสิฮัก
เจ็บปานใด๋กะสิเฮ็ดดี
มีคนนี้ ความฮักของคนจริงใจ

ทุ่มเทฮัก ไปหมดแล้ว
กะถือมองว่าเป็นของตาย
ย้อนว่าใจ ยอมเขา ทุกๆ อย่าง

มาวันนี้มันเข้มแข็ง
ถึงอ่อนแรงแข็งใจเอาไว้
สิเดินออกไป จากจุดที่เคยเจ็บ

เป็นนางเอกที่ถูกกระทำ
ถูกเหยียบย่ำหัวใจมานาน
เรื่องวันวาน
ยังคอยหลอกหลอนหัวใจ

มื้อนี้สิเปลี่ยนอดีตที่มันหมุ่น
คือเศษข้าวปุ้นคลุกตำบักหุ่ง
สิบ่ให้ไผ่มายุ่ง
เป็นเจ้าของหัวใจอีกแล้ว

ความดีบ่มีค่า
นางเอกซามมาถึงสิเฮดดี
มีเท่านี้ ความฮักของคนหลายใจ
ลุกขึ้นเดิน จากตรงนี้
ออกไปแล้วตั้งต้นใหม่
บ่อยากให้ไผ่
มาทำร้ายใจมันเจ็บพอแล้ว
มาวันนี้มันเข้มแข็ง
ถึงอ่อนแรงแข็งใจเอาไว้
สิเดินออกไป จากจุดที่เคยเจ็บ

เป็นนางเอกที่ถูกกระทำ
ถูกเหยียบย่ำหัวใจมานาน
เรื่องวันวาน
ยังคอยหลอกหลอนหัวใจ

มื้อนี้สิเปลี่ยนอดีตที่มันหมุ่น
คือเศษข้าวปุ้นคลุกตำบักหุ่ง
สิบ่ให้ไผ่มายุ่ง
เป็นเจ้าของหัวใจอีกแล้ว

เป็นนางเอกที่ถูกกระทำ
ถูกเหยียบย่ำหัวใจมานาน
เรื่องวันวาน
ยังคอยหลอกหลอนหัวใจ

มื้อนี้สิเปลี่ยนอดีตที่มันหมุ่น
คือเศษข้าวปุ้นคลุกตำบักหุ่ง
สิบ่ให้ไผ่มายุ่ง ล็อคไว้หัวใจนางเอก",tanya_rsiam
บ่เจ็บแต่ทรมาน,/music/thailyric/18001,"หัวใจของน้องบ่มีแฮงยืน
เมื่ออ้ายนั้นยื่นคำลาจากกัน
น้องบ่คิดบ่ฝันว่ามันสิจบลง
ความหลังสองเฮายังคอยย้ำเตือน
บ่เคยลบเลือนมันยังวกวน
สุดท้ายน้องกะคงต้องเฮ็ดใจ

ฮู้บ่ว่ามันเจ็บ ตอนอ้ายเซี่ยงเขาไว้
มันอ่อนไปเบิ่ดหัวใจ น้ำตามันไหลบ่เซา

เฮ็ดกันป่านนี้ อ้ายคือบ่เอาน้องไป
แขวนคอแล้วรอน้องตาย
บ่เจ็บหลายแต่ทรมาน
ดีกว่าอ้ายเอา เขามาทับฮอยกัน
คือบ่เอาน้องไปประหาร
สิได้บ่ทรมานป่านนี้

ฮู้บ่ว่ามันเจ็บ ตอนอ้ายเซี่ยงเขาไว้
มันอ่อนไปเบิ่ดหัวใจ
น้ำตามันไหลบ่เซา

เฮ็ดกันป่านนี้ อ้ายคือบ่เอาน้องไป
แขวนคอแล้วรอน้องตาย
บ่เจ็บหลายแต่ทรมาน
ดีกว่าอ้ายเอาเขามาทับฮอยกัน
คือบ่เอาน้องไปประหาร
สิได้บ่ทรมานป่านนี้

เฮ็ดกันป่านนี้ อ้ายคือบ่เอาน้องไป
แขวนคอแล้วรอน้องตาย
บ่เจ็บหลายแต่ทรมาน
ดีกว่าอ้ายเอาเขามาทับฮอยกัน
คือบ่เอาน้องไปประหาร
สิได้บ่ทรมานป่านนี้

คือบ่เอาน้องไปประหาร
สิได้บ่ทรมาน ป่านนี้",tanya_rsiam
บ่หัวซาสิหาใหม่,/music/thailyric/18415,"อยู่คนเดียวก็เป็นโสดมาโดน
บ่มีไผซักคนที่จะคอยมาบอกฮัก
อยู่ดีดีก็มีอ้ายเข้ามา
ซ่างเว่าซ่างว่าชมว่าเฮาเป็นตาฮัก
แต่คบกันบ่ทันเท่าใด
อ้ายก็บ่สนใจ หายหัวไปไสเนาะ
เฟซหาย ไลน์ก็บ่คุยต่อ
ถิ่มน้องให้รอ ท้อใจคักแน

แรกๆ ก็ดี มื้อนี้อ้ายดูเปลี่ยนไป
เหมือนคนกำลังหมดใจ มีหยังบ่เว่าเด้ล่ะ
แต่ก่อนทักแชท ตอบไวคือจั่งรถไฟฟ้า
มื้อนี้ทักแชทไปหา ตอบช้าคือจังรถไฟฟรี

บ่ฮักกันแล้วติ บอกดีดีก็ได้
บ่ใช่มาหายไป คิดว่าตายซะแล้ว
มีผู้ใหม่แล้วติ มิดจีรีหายจ้อย
เป็นจังซี่บ่อยๆ ข้อยสิสูนให้เด้อ
สิบ่ง้อแล้วเด้ออ้ายเด้อ เด้ออ้ายเด้อ
คั่นบ่หัวซา สิหาใหม่

ที่มาคบเพราะว่าอ้ายนั่นฮักแท้
หรือว่าอ้ายนั่นแค่เหงาไสลองเว่ามาตี๊
สิมาเฮ็ดให้ผู้อื่นฮู้สึกดี
แล้วถิ่มป๋าจั่งซี่ บ่หลูโตนเลยบ่
คั่นมีแฟนแต่เพิ่นบ่ติงคิง
คั่นเพิ่นบ่ฮักจิง กะหาใหม่ซำนั่นเถ๊าะ
หาใหม่ให้สูงยาวขาวหล่อ
บักผีบ้าผีบอ บ่ง้อดอก

แรกๆ ก็ดี มื้อนี้อ้ายดูเปลี่ยนไป
เหมือนคนกำลังหมดใจ มีหยังบ่เว่าเด้ล่ะ
แต่ก่อนทักแชท ตอบไวคือจั่งรถไฟฟ้า
มื้อนี้ทักแชทไปหา ตอบช้าคือจังรถไฟฟรี

บ่ฮักกันแล้วติ บอกดีดีก็ได้
บ่ใช่มาหายไป คิดว่าตายซะแล้ว
มีผู้ใหม่แล้วติ มิดจีรีหายจ้อย
บ่ฮักกันแล้วติ บอกดีดีก็ได้
บ่ใช่มาหายไป คิดว่าตายซะแล้ว

มีผู้ใหม่แล้วติ มิดจีรีหายจ้อย
เป็นจังซี่บ่อยบ่อย ข้อยสิสูนให้เด้อ
สิบ่ง้อแล้วเด้ออ้ายเด้อ
เด้ออ้ายเด้อ เด้ออ้ายเด้อ สิหาใหม่",tanya_rsiam
ปล่อยไปตายโลด,/music/thailyric/14357,"ถือว่าโดนควายตำ ถือว่าโดนควายย่ำ
เจ็บจุกแหน่กะทำใจเอาใหญ่แล้ว
เขาบ่ได้เป็นพ่อ  เขาบ่ฮักเฮาแล้ว
เขาบ่ส่ำหมาแมว ที่เฮาเลี้ยงไว้
ปล่อยไปตายโลด

มันเป็นแค่เมื่อวาน เช้านี้นั้นมันเป็นวันใหม่
ผู้ชายมีมากมาย เลิกเสียใจให้คนพรรค์นั้น
บุญเขามันไม่ถึง ไม่ต้องนั่งรำพึงรำพัน
แค่คนเคยคบกัน ทานหมามันไปตัวหนึ่ง

ซึมเซาเศร้าเสียใจ ให้มันเปลืองน้ำตาเปล่าๆ
ยังมีคนรักเรา พูดกับใจตัวเองเอาไว้
ทนเหงาเศร้ากอดแม่ ดีกว่าให้เขาแลเป็นควาย
เจ็บนี้คงไม่ตาย เธอยังหายใจเต็มปอด

โตมาเจ้าจั่งพ้อเขา ให้เจ้าเซาโศกเศร้า ให้เซาเสียใจ
ฮู้อยู่ว่า ใจเจ้านั้นเจ็บหลาย ให้เซาสา

ถือว่าโดนควายตำ ถือว่าโดนควายย่ำ
เจ็บจุกแหน่กะทำใจเอาใหญ่แล้ว
เขาบ่ได้เป็นพ่อ  เขาบ่ฮักเฮาแล้ว
เขาบ่ส่ำหมาแมว ที่เฮาเลี้ยงไว้

ถือว่าโดนควายตำ ถือว่าโดนควายย่ำ
เจ็บจุกแหน่กะทำใจเอาใหญ่แล้ว
เขาบ่ได้เป็นพ่อ  เขาบ่ฮักเฮาแล้ว
เขาบ่ส่ำหมาแมว ที่เฮาเลี้ยงไว้
ปล่อยไปตายโลด

โอ โอ โอ โอโหโอ โอโหโอ โอย

เศร้าไปหัวใจก็หม่น เศร้าไปหัวใจก็หม่น
แค่คนผ่านมาให้จำ ให้ย่างหนีจากความช้ำ
เพลี่ยงพล้ำแค่ควายชน ก็แค่คนละบ่มีหัวใจ
ฮักให้ตายเขาก็ไม่เห็นค่า
พวกคาสโนว่า ปล่อยป๋าโลด

โตมาเจ้าจั่งพ้อเขา ให้เจ้าเซาโศกเศร้า ให้เซาเสียใจ
ฮู้อยู่ว่า ใจเจ้านั้นเจ็บหลาย ให้เซาสา

ถือว่าโดนควายตำ ถือว่าโดนควายย่ำ
เจ็บจุกแหน่กะทำใจเอาใหญ่แล้ว
เขาบ่ได้เป็นพ่อ  เขาบ่ฮักเฮาแล้ว
เขาบ่ส่ำหมาแมว ที่เฮาเลี้ยงไว้

ถือว่าโดนควายตำ ถือว่าโดนควายย่ำ
เจ็บจุกแหน่กะทำใจเอาใหญ่แล้ว
เขาบ่ได้เป็นพ่อ  เขาบ่ฮักเฮาแล้ว
เขาบ่ส่ำหมาแมว ที่เฮาเลี้ยงไว้

ถือว่าโดนควายตำ  ตำ  ตำ  ตำ  ตำ  ตำ
ตำ  ตำ  ตำ  ตำ  ตำ  ตำ  ตำ  ตำ  ตำ
ถือว่าโดนควายย่ำ เจ็บจุกแหน่กะทำใจเอาใหญ่แล้ว
เขาบ่ได้เป็นพ่อ เขาบ่ฮักเฮาแล้ว
เขาบ่ส่ำหมาแมว ที่เฮาเลี้ยงไว้
ปล่อยไปตายโลด",tanya_rsiam
