song_name,href,lyric,artist
One More Time,/music/thailyric/15926,"One จะส่งดอกไม้ให้กับเธอเพื่อให้เธอ ได้มีรอยยิ้ม
Baby Two สิ่งที่เธอฝัน จะทำมันให้เป็นจริงเป็นดั่งใจทุกอย่างและ
Three and the four และจะไม่ทำให้เธอเสียใจ Five คือรักเสมอไป

Six จะไม่เจ้าชู้เธอคนเดียวเพียงเท่านั้นขอให้เธอรู้ Baby
Seven จะกอดเธอไว้ไม่มีวันจะปล่อยเธอให้เธอต้องเหงาแน่นอน
Eight and Nine เมื่อไรที่เธอทุกข์ทนเสียใจ ฉันจะคอยเช็ดน้ำตา

ขออีกได้ไหม อยากมองรอยยิ้ม มองตาคู่นั้น
อีกได้ไหม ให้ทุกข้อของเราได้ย้อนกลับมาเริ่มใหม่
ก็คงดีไม่น้อย ก็ใจมันเป็นของเธอ ตั้งแต่แรกเจอรู้ไหม

So give me One More Time oh oh
So give me one more time oh oh
One more time

I like it so much ติดตา และยังประทับใจ
ยังเต็มร้อย ไม่เคยจะจาง ไม่เคยจะเลือนหาย
ไม่ได้โว หวังว่ามันยังไม่สาย
Don't let it go ขอโอกาสอีกได้ไหม
ไม่รู้ว่าเธอ นั้นจะแอบคิดอยู่เหมือนกันไหม Oh
รักที่มีในใจนั้นยังพองโต
ได้แต่หวังว่าเธอนั้นยัง จะไม่เปลี่ยนใจ

ขออีกได้ไหม อยากมองรอยยิ้ม มองตาคู่นั้น
อีกได้ไหม ให้ทุกข้อของเราได้ย้อนกลับมาเริ่มใหม่
ก็คงดีไม่น้อย ก็ใจมันเป็นของเธอ ตั้งแต่แรกเจอรู้ไหม

So give me one more time oh oh
So give me one more time oh oh
One more time

เหมือนฉันหลงเข้าไปในฝันไม่อาจลืมตา
I love you more than anything in my life
อาจเป็นฟ้ากำหนดหัวใจ ให้เจอใครสักคนที่เรา
นั้นเฝ้ารอคอยมานาน อย่างเช่นเธอ

So give me one more time oh oh
So give me one more time oh oh
One more time",tao_sattaphong
ก่อนวันสุดท้ายจะมาถึง,/music/thailyric/9771,"ไม่ได้เกิดจากความโง่งมงาย
ไม่ได้ตาบอดจนมองไม่เห็นทาง
ที่ยังปล่อยให้เหตุการณ์มันเรื้อรัง
ที่ยังปล่อยให้น้ำตายังฝังลมหายใจ

แค่อยากจะใช้เวลาที่พอจะมีเหลืออยู่ (ที่พอจะมีเหลืออยู่)
ให้มันคุ้ม (มันคุ้ม) ที่สุด (ที่สุด) เท่าที่เวลาที่เธอเหลือให้ฉัน

ก่อนวันสุดท้ายจะมาถึง
ก่อนจะถึงวันที่เธอเดินจากไป
จะทำทุกทาง ให้เธอยิ้มให้ได้
ให้เธอยิ้มกับฉันอีกครั้ง

ก่อนวันสุดท้ายจะมาถึง
จะทำให้เธอรู้ว่าอีกนานเท่านาน
แม้ว่าเธอ เลือกที่จะลืม ฉัน แต่ฉันไม่ลืมเธอ

หากว่ามีปาฏิหารย์จริงๆ
ในเสี้ยวเวลาที่ฉันพยายาม
เปลี่ยนใจเธอไม่ให้ไปไม่ทิ้งกัน
ไม่ให้มันมาถึงวันสุดท้ายก็คงดี

ก็อยากจะใช้เวลาที่พอจะมีเหลืออยู่ (ที่พอจะมีเหลืออยู่)
ให้มันคุ้ม (มันคุ้ม) ที่สุด (ที่สุด) เท่าที่เวลาที่เธอเหลือให้ฉัน

ก่อนวันสุดท้ายจะมาถึง
ก่อนจะถึงวันที่เธอเดินจากไป
จะทำทุกทาง ให้เธอยิ้มให้ได้
ให้เธอยิ้มกับฉันอีกครั้ง

ก่อนวันสุดท้ายจะมาถึง
จะทำให้เธอรู้ว่าอีกนานเท่านาน
แม้ว่าเธอ เลือกที่จะลืม ฉัน แต่ฉันไม่ลืมเธอ

ฉันไม่ลืมเธอ ก่อนวันสุดท้าย

ก่อนวันสุดท้ายจะมาถึง
ก่อนจะถึงวันที่เธอเดินจากไป
จะทำทุกทาง ให้เธอยิ้มให้ได้
ให้เธอยิ้มกับฉันอีกครั้ง

ก่อนวันสุดท้ายจะมาถึง
จะทำให้เธอรู้ว่าอีกนานเท่านาน
แม้ว่าเธอ เลือกที่จะลืม ฉัน แต่ฉันไม่ลืมเธอ",tao_sattaphong
เจ้านายของหัวใจ,/music/thailyric/10424,"ถึงเวลา รับบัญชา เชิญเธอรับสั่งได้เลยไม่ว่าเรื่องใด
แม้ต้องตาย ไม่เสียดาย เพื่อเจ้านายของหัวใจฉันคงต้องยอม

วินาทีที่รักกำเนิดขึ้นในหัวใจดวงนี้
ชีวิตก็ยอมพลีขอทำเพื่อเธอทุกทางไม่มีเงื่อนไขใด

แม้แต่ดาวบนฟ้า เพียงแต่เธอต้องการ
ขอแค่จงเอ่ยมา ฉันพร้อมบันดาล
ขอยินดีรับใช้ ไปตราบนานแสนนาน
Oh คนดี ได้ยินไหม

จะรักแค่เธอคนเดียว และไม่มีวันจะไปรักใคร Oh Baby
โลกนี้จะมีเพียงเธอที่ได้ตำแหน่งเจ้านายของหัวใจ
นานแค่ไหน I Love You

ถึงเวลา รับบัญชา เชิญเธอรับสั่งได้เลยไม่ว่าเรื่องใด
แม้ต้องตาย ไม่เสียดาย เพื่อเจ้านายของหัวใจฉันคงต้องยอม

ไม่ต้องเกรงใจกันตราบที่ตรงนี้นั้นมีเราอย่างเดิม
ฉันขอมีชีวิตอยู่ในกำมือของเธอ แต่เพียงผู้เดียว

แม้แต่ดาวบนฟ้า เพียงแต่เธอต้องการ
ขอแค่จงเอ่ยมา ฉันพร้อมบันดาล
ขอยินดีรับใช้ ไปตราบนานแสนนาน
Oh คนดี ได้ยินไหม

จะรักแค่เธอคนเดียว และไม่มีวันจะไปรักใคร Oh Baby
โลกนี้จะมีเพียงเธอที่ได้ตำแหน่งเจ้านายของหัวใจ
Oh My Boss I Love You

เพราะว่าแคร์ เพราะว่ารัก ไม่มีคำว่าหนักหนาเกินไป
เพราะว่าคนๆ นี้เป็นของเธอแล้ว ได้ยินบ้างไหม

จะรักแค่เธอคนเดียว และไม่มีวันจะไปรักใคร Oh Baby
โลกนี้จะมีเพียงเธอที่ได้ตำแหน่งเจ้านายของหัวใจ
นานแค่ไหน I Love You

จะรักแค่เธอคนเดียว และจะไม่มีวันไปรักใคร Oh Baby
โลกนี้จะมีเพียงเธอที่ได้ตำแหน่งเจ้านายของหัวใจ
นานแค่ไหน I Love You

ถึงเวลา รับบัญชา เชิญเธอรับสั่งได้เลยไม่ว่าเรื่องใด
แม้ต้องตาย ไม่เสียดาย เพื่อเจ้านายของหัวใจฉันคงต้องยอม",tao_sattaphong
ตรงใจ (Trongjai),/music/thailyric/18629,"ก็อยากจะมี เธอ ในใจ
แต่กลัวว่า เร็ว เกินไป
แต่เธอก็ โดน ตรงใจ ที่มี
ก็ฉัน น่ะคิด ว่าไม่ผิด อะไร
ถ้าเราใกล้ชิด ละดูกัน ไป
I think it's gonna be all right

Aey How do you do
Aey อยากให้เธอรู้
Aey I มีแค่ you only only you right
ไม่คิด จะมองใครคนไหน
ขอ แค่เธอคนเดียว ได้ไหม

ส่วนฉันก็มีเพียงแค่เธอ
ขาดเธอแล้วใจไม่ค่อยดี
บนฟ้าไม่เคยจะกว้างพอ
จะเขียนความรักที่ฉันมี
ปล่อยเธอไปคงจะดูโง่
ไม่แล้วไม่เดินคนเดียว ไม่เอา No
ไม่ต้องบอกก็รู้ The one ที่ฉันต้องการก็คือเธอ

ถ้าหากว่าเธอ ไม่ใจ ร้าย
สัญญาว่าจะ ไม่ไป ไหน
เธอจะรัก ก็ OK ฉันคิดว่ามันก็ All right

จะ จะ ไม่ไป จะ ไม่ไปไหน
คอยดูแลไม่ห่างหาย
ฉันคิดว่ามัน คงดี All right

ก็อยากจะมี เธอ ในใจ
แต่กลัวว่า เร็ว เกินไป
แต่เธอก็ โดน ตรงใจ ที่มี
ก็ฉัน น่ะคิด ว่าไม่ผิด อะไร
ถ้าเราใกล้ชิด ละดูกัน ไป
I think it's gonna be all right

ก็อยากจะมี เธอ ในใจ
แต่กลัวว่า เร็ว เกินไป
แต่เธอก็ โดน ตรงใจ ที่มี
ก็ฉัน น่ะคิด ว่าไม่ผิด อะไร
ถ้าเราใกล้ชิด ละดูกัน ไป
I think it's gonna be all right

Aey อย่ากลัวเลยนะ...
ว่าฉันจะทงจะเทจะซงจะเซ จะเขว ไม่มีหรอกนะ
ใจฉันที่มี ไม่กล้า ah
กลัวเธอจะทิ้ง นึกแล้วมันก็หวั่น
ถ้าเป็น แบบนั้น มันคง ไม่ โอเค

Aey I want แค่ you
Aey I need แค่ you
Aey  I อยากมีแค่ you only only you right
ไม่คิด จะมองใครคนไหน
ขอ แค่เธอคนเดียว ได้ไหม

ถ้าหากว่าเธอ ไม่ใจ ร้าย
สัญญาว่าจะ ไม่ไป ไหน
เธอจะรัก ก็ OK ฉันก็คิดว่า All right

จะ จะ ไม่ไปไหน
คอยดูแลไม่ห่าง หาย
ฉันคิดว่ามัน คงดี All right

ก็อยากจะมี เธอ ในใจ
แต่กลัวว่า เร็ว เกินไป
แต่เธอก็ โดน ตรงใจ ที่มี
ก็ฉัน น่ะคิด ว่าไม่ผิด อะไร
ถ้าเราใกล้ชิด ละดูกัน ไป
I think it's gonna be all right

ก็อยากจะมี เธอ ในใจ
แต่กลัวว่า เร็ว เกินไป
แต่เธอก็ โดน ตรงใจ ที่มี
ก็ฉัน น่ะคิด ว่าไม่ผิด อะไร
ถ้าเราใกล้ชิด ละดูกัน ไป
I think it's gonna be all right

แค่อยากจะมี เธอ ในใจ
แต่กลัวว่า เร็ว เกินไป
แต่เธอก็ โดน ตรงใจ ที่มี
ก็ฉัน น่ะคิด ว่าไม่ผิด อะไร
ถ้าเราใกล้ชิด ละดูกัน ไป
I think it's gonna be all right",tao_sattaphong
ตรงใจ (Trongjai) ลูกทุ่ง Ver,/music/thailyric/19435,"ว้าว เอื้อยอินเตอร์คือเป็นตาฮักแท้น้ออ
เอื้อย อินเตอร์

กะอยากสิมีเจ้าในใจ
แต่ย่านว่าเร็วเกินไป
แต่เจ้ากะโดนตรงใจที่มี
กะข่อยกะคิดว่าบ่ผิดอิหยังได๋
ขั่นเฮาใกล้ชิดแล้วเบิงกันไป๋
I think it's gonna be alright

กะอยากสิมีเจ้าในใจ
แต่ย่านว่าเร็วเกินไป
แต่เจ้ากะโดนตรงใจที่มี
กะข่อยกะคิดว่าบ่ผิดอิหยังได๋
ขั่นเฮาใกล้ชิดแล้วเบิงกันไป๋
I think it's gonna be alright

Aey how do you do
Aey อยากให้เจ้าฮู้
Aey I มีแค่ You only only you right
บ่คิดสิแนมไผคนได๋
ขอแค่เจ้าคนเดียวได้บ่

ส่วนข่อยกะมีแค่เพียงเจ้า
ขาดเจ้าแล้วใจบ่ค่อยดี
เทิงฟ้าบ่ค่อยสิกว้างพอ
สิเขียนความฮักที่ข่อยมี

ปล่อยเจ้าไปคงสิดูโง่
บ่แล้วบ่ยางคนเดียวบ่เอา No
บ่ต้องบอกกะฮู้ The one
ที่ข่อยต้องการกะคือเจ้า

ขั่นหากว่าเจ้าบ่ใจร้าย
สัญญาว่าสิบ่ไปไส
เจ้าสิฮักกะ Ok
ข่อยคิดว่ามันกะ Alright

สิสิบ่ไปไส
คอยเบิงแยงบ่ห่างหาย
ข่อยคิดว่ามันคงดี Alright

กะอยากสิมีเจ้าในใจ
แต่ย่านว่าเร็วเกินไป
แต่เจ้ากะโดนตรงใจที่มี
กะข่อยกะคิดว่าบ่ผิดอิหยังได๋
ขั่นเฮาใกล้ชิดแล้วเบิงกันไป๋
I think it's gonna be alright

กะอยากสิมีเจ้าในใจ
แต่ย่านว่าเร็วเกินไป
แต่เจ้ากะโดนตรงใจที่มี
กะข่อยกะคิดว่าบ่ผิดอิหยังได๋
ขั่นเฮาใกล้ชิดแล้วเบิงกันไป๋
I think it's gonna be alright

อย่าย้านเลยหน้า
ว่าข่อยสิทงสิเทสิซงสิเซสิเขวบ่มีดอกหน่า
ใจข่อยที่มีบ่กล้า ย่านเจ้าสิทิ้มคิดแล้วมันกะหวั่น
ขั่นเป็นแบบนั้นมันคงบ่ Ok

Aey how do you do
Aey อยากให้เจ้าฮู้
Aey I มีแค่ You only only you right
บ่คิดสิแนมไผคนได๋
ขอแค่เจ้าคนเดียวได้บ่

ขั่นหากว่าเจ้าบ่ใจร้าย
สัญญาว่าสิบ่ไปไส
เจ้าสิฮักกะ Ok
ข่อยคิดว่ามันกะ Alright

สิสิบ่ไปไส
คอยเบิงแยงบ่ห่างหาย
ข่อยคิดว่ามันคงดี Alright

กะอยากสิมีเจ้าในใจ
แต่ย่านว่าเร็วเกินไป
แต่เจ้ากะโดนตรงใจที่มี
กะข่อยกะคิดว่าบ่ผิดอิหยังได๋
ขั่นเฮาใกล้ชิดแล้วเบิงกันไป๋
I think it's gonna be alright

กะอยากสิมีเจ้าในใจ
แต่ย่านว่าเร็วเกินไป
แต่เจ้ากะโดนตรงใจที่มี
กะข่อยกะคิดว่าบ่ผิดอิหยังได๋
ขั่นเฮาใกล้ชิดแล้วเบิงกันไป๋
I think it's gonna be alright

Right right right right right right right
Right right right right right right",tao_sattaphong
มีคำอื่นไหม,/music/thailyric/12405,"ได้แต่แอบไว้ ก็ได้แต่เก็บไว้พูดไม่ออก
ก็ทำได้เพียงแค่จ้องตา กันอย่างนี้
ทั้งที่ใจมีเรื่องจะบอก และรับฟัง
ก็แค่คำบางคำ ที่มันคอยมานาน
แต่ต้องทำเป็นนิ่งเฉยให้มันทรมาน
ฉันจะใจแข็งได้แค่ไหน
ต้องรออีกนานสักเท่าไร

ก็ใจอยากจะบอกว่ารัก
แต่ว่าปากมันแข็งมากเกินไป
เธอจะเดาได้ไหม ที่ใจฉันรู้สึก
อยากจะบอกว่ารัก
แต่มีคำอื่นไหมที่แทนใจ
คำที่มีความหมายให้เธอฟังแล้วได้รู้สึก
ว่าฉันต้องการเธอมากเท่าไร
ก็ได้เพียงบอกผ่านทางสายตาว่ารักเธอ

ได้แต่ทนไว้ ก็ได้แต่อดใจ เมื่อใกล้กัน
ก็ต้องทำตามคำสัญญา ที่ผูกมัด
หวังไว้ว่าในสักวันเรา จะพูดกัน
ก็แค่คำบางคำ ที่มันคอยมานาน
แต่ต้องทำเป็นนิ่งเฉยให้มันทรมาน
ฉันจะใจแข็งได้แค่ไหน
ต้องรออีกนานสักเท่าไร

ก็ใจอยากจะบอกว่ารัก
แต่ว่าปากมันแข็งมากเกินไป
เธอจะเดาได้ไหม ที่ใจฉันรู้สึก
อยากจะบอกว่ารัก
แต่มีคำอื่นไหมที่แทนใจ
คำที่มีความหมายให้เธอฟังแล้วได้รู้สึก
ว่าฉันต้องการเธอมากเท่าไร
ก็ได้เพียงบอกผ่านทางสายตาว่ารักเธอ

ก็ใจอยากจะบอกว่ารัก
แต่ว่าปากมันแข็งมากเกินไป
เธอจะเดาได้ไหม ที่ใจฉันรู้สึก
อยากจะบอกว่ารัก
แต่มีคำอื่นไหมที่แทนใจ
คำที่มีความหมายให้เธอฟังแล้วได้รู้สึก
ว่าฉันต้องการเธอมากเท่าไร
ก็ได้เพียงบอกผ่านทางสายตาว่ารักเธอ",tao_sattaphong
ไม่มีความจำเป็น,/music/thailyric/10672,"เจ็บวันนี้ก็เหมือนเราตายจากกัน
เจ็บกว่านั้นคือตัวฉันยังหายใจ

จบกันแล้วไปตั้งนาน มีอาการ ก็รู้อยู่
แค่ไม่พูด มันออกมา ก็เท่านั้น

อยู่ด้วยกันเพียงร่างกาย
ไม่มีใจ จะให้กัน ได้แต่นับถอยหลัง วันสุดท้าย

เจ็บวันนี้ก็เหมือนเราตายจากกัน
เจ็บกว่านั้นคือตัวฉันยังหายใจ

ไม่มีความจำเป็นเหลือให้เธอพอใจ
เหมือนของที่เธอไม่เอาเลยอยากทิ้ง
ไม่มีความจำเป็น ฉันเลยกลายเป็นสิ่งหมดความหมาย
ฉันไม่มีสิทธิ์เรียกร้องอะไร
ได้แค่รอวันเธอตัดสินใจ ไปจากฉัน

ปล่อยให้ฉันต้องร่วงลง ราวกำลัง จมน้ำตาย
ไม่มีแล้วมือที่คอยจับฉัน

เจ็บวันนี้ก็เหมือนเราตายจากกัน
เจ็บกว่านั้นคือตัวฉันยังหายใจ

ไม่มีความจำเป็นเหลือให้เธอพอใจ
เหมือนของที่เธอไม่เอาเลยอยากทิ้ง
ไม่มีความจำเป็น ฉันเลยกลายเป็นสิ่งหมดความหมาย
ฉันไม่มีสิทธิ์เรียกร้องอะไร
ได้แค่รอวันที่เธอตัดสินใจ ไปจากฉัน

เจ็บวันนี้ก็เหมือนเราตายจากกัน
เจ็บกว่านั้นคือตัวฉันยังหายใจ

ไม่มีความจำเป็นเหลือให้เธอพอใจ
เหมือนของที่เธอไม่เอาเลยอยากทิ้ง
ไม่มีความจำเป็น ฉันเลยกลายเป็นสิ่งหมดความหมาย
ฉันไม่มีสิทธิ์เรียกร้องอะไร
ได้แค่รอวันที่เธอตัดสินใจ ไปจากฉัน ไปจากฉัน",tao_sattaphong
โลกที่ไม่น่าอยู่,/music/thailyric/10182,"ฉันคนเดิมกำลังยืนมอง เสี้ยวละอองของความทรงจำ
ที่ๆ เดิมที่เรานั้นเคยรักกัน
รูปใบเดิมที่เธอยืนเคียง เสียงของเธอที่ฉันเคยชิน
ไม่ได้ยินมันมาเนิ่นนานเท่าไร
เหมือนเวลา ลักพาเธอไป ให้เรากลาย เป็นเพียงคนไกล
โลกใบเดิม ก็ไม่น่าอยู่ต่อไป

อยากพบเธอ ไม่รู้ว่าเธอจะคิดเหมือนกันหรือเปล่า
โลกที่มันไม่มีสองเรา ว่างเปล่าเหลือเกิน เพิ่งรู้ตัว
อยากเหมือนเดิม ยังคิดถึงเธอเสมอไม่เคยจะเปลี่ยน
วันที่เธอนั้นขาดหายไป เพิ่งจะเข้าใจได้รู้ว่า
ว่าฉันยังรักเธอ เหลือเกิน

รูปใบเดิมที่เธอยืนเคียง เสียงของเธอที่ฉันเคยชิน
ไม่ได้ยินมันมาเนิ่นนานเท่าไร
เหมือนเวลา ลักพาเธอไป ให้เรากลาย เป็นเพียงคนไกล
โลกใบเดิม ก็ไม่น่าอยู่ต่อไป

อยากพบเธอ ไม่รู้ว่าเธอจะคิดเหมือนกันหรือเปล่า
โลกที่มันไม่มีสองเรา ว่างเปล่าเหลือเกิน เพิ่งรู้ตัว
อยากเหมือนเดิม ยังคิดถึงเธอเสมอไม่เคยจะเปลี่ยน
วันที่เธอนั้นขาดหายไป เพิ่งจะเข้าใจได้รู้ว่า
ว่าฉันนั้นรักเธอ เหลือเกิน

โลกใบเดิมก็ไม่น่าอยู่
โลกใบเดิมก็ไม่น่าอยู่
โลกใบเดิมก็ไม่น่าอยู่
โลกใบเดิมก็ไม่น่าอยู่ ต่อไป

อยากพบเธอ ไม่รู้ว่าเธอจะคิดเหมือนกันหรือเปล่า
โลกที่มันไม่มีสองเรา ว่างเปล่าเหลือเกิน เพิ่งรู้ตัว
อยากเหมือนเดิม ยังคิดถึงเธอเสมอไม่เคยจะเปลี่ยน
วันที่เธอนั้นขาดหายไป เพิ่งจะเข้าใจได้รู้ว่า
ว่าฉันนั้นรักเธอ เหลือเกิน",tao_sattaphong
สัญญารัก,/music/thailyric/9424,"มีเหตุผลมากมายเหลือเกิน
ที่บอกให้ฉันหยุดความรักนี้
มีเหตุผลมากมายนับร้อยพัน
ที่บอกว่าไม่มีวันที่จะเป็นจริง

แต่ในทุกครั้ง
ที่ฉันเดินออกมาจากเธอ
เหมือนว่าใจจะขาด
เหมือนอะไรมันขาดหายไป
และสุดท้ายคือฉันเอง
ที่เดินกลับมาตรงนี้

ฉันแค่อยากรู้ทุกสิ่งที่ฉันรู้สึก
ฉันคิดไปเองข้างเดียว
รู้สึกไปเองข้างเดียวหรือเปล่า
แค่เพียงเธอพูดมาคำเดียว
ว่าเธอก็รู้สึกเหมือนกัน

ไม่ว่าต่อจากนี้ จะเป็นเช่นไร
ไม่รู้ว่าวันพรุ่งนี้ จะไกลขนาดไหน
ไม่ว่ารักเราจะเก่าสักเท่าไหร่ จะแก่แค่ไหน
รู้ไว้จะมีฉันเคียงข้างกัน

รู้ไว้ว่าทุกๆ วัน จะมีความหมาย
ความหมายที่เป็นเธอ ตลอดเวลา
ทุกคำสำคัญที่พูดมา ดั่งคำสัญญาจากหัวใจ

ไม่ว่าสิ่งไหนจะมีวันเปลี่ยนแปลง
อาจมีวันจางหายไป
แต่ในทุกๆ ถ้อยคำที่ฉันเคยบอกไว้
จะเป็นคำอันเป็นนิรันดร์

ไม่ว่าต่อจากนี้ จะเป็นเช่นไร
ไม่รู้ว่าวันพรุ่งนี้ จะไกลขนาดไหน
ไม่ว่ารักเราจะเก่าสักเท่าไหร่ จะแก่แค่ไหน
รู้ไว้จะมีฉันเคียงข้างเธอ

รู้ไว้ว่าทุกๆ วัน จะมีความหมาย
ความหมายที่เป็นเธอ ตลอดเวลา
ทุกคำสำคัญที่พูดมา
ดั่งคำสัญญา จากหัวใจ

ทุกคำสำคัญที่พูดมา
ดั่งคำสัญญา จากหัวใจ",tao_sattaphong
สุดฟ้า,/music/thailyric/10796,"เก็บกระเป๋าและรวมความผูกพันกันและกันใส่เอาไว้ Yeah
ก้าวเท้าตรงไปที่ปลายทางที่มองเห็นอยู่ลิบตา และปล่อยให้เป็นไป
ฉันไม่รู้ว่าระหว่างทาง ต้องผ่านเส้นทางแบบไหน
รู้แค่เพียงทุกก้าวรู้สึกอุ่นใจ ถ้าเราอยู่ตรงนี้

ฉันจะลุยไปสุดฟ้า คว้าฝันที่ตามหา ให้ได้มาดังใจ
แม้เส้นทางยากเย็นแค่ไหนจับมือกัน ต้องวิ่งไปถึงจุดหมาย
เราจะลุยไปสุดฟ้า ดินแดนที่ตามหา รอเราอยู่ไม่ไกล
แสงที่รออยู่อีกฟากฟ้าที่ตรงนั้น
ถ้าพร้อมเผชิญก็ไม่ยากจนเกินไขว่คว้า

จะกี่ร้อยฤดูจะมีเราเคียงข้างกันไปเสมอ Yeah
กี่ช่วงเวลาคำว่ารักไม่ทางจางหายไป เธอได้ยินไหม
ฉันไม่รู้ว่าระหว่างทาง ต้องผ่านเส้นทางแบบไหน
รู้แค่เพียงทุกก้าวรู้สึกอุ่นใจ ถ้าเราอยู่ตรงนี้

ฉันจะลุยไปสุดฟ้า คว้าฝันที่ตามหา ให้ได้มาดังใจ
แม้เส้นทางยากเย็นแค่ไหนจับมือกัน ต้องวิ่งไปถึงจุดหมาย
เราจะลุยไปสุดฟ้า ดินแดนที่ตามหา รอเราอยู่ไม่ไกล
แสงที่รออยู่อีกฟากฟ้าที่ตรงนั้น
ถ้าพร้อมเผชิญก็ไม่ยากจนเกินไขว่คว้า

ฉันไม่รู้ว่าระหว่างทาง ต้องผ่านเส้นทางแบบไหน
รู้แค่เพียงทุกก้าวรู้สึกอุ่นใจ ถ้าเราอยู่ตรงนี้

ฉันจะลุยไปสุดฟ้า คว้าฝันที่ตามหา ให้ได้มาดังใจ
แม้เส้นทางยากเย็นแค่ไหนจับมือกัน ต้องวิ่งไปถึงจุดหมาย
เราจะลุยไปสุดฟ้า ดินแดนที่ตามหา รอเราอยู่ไม่ไกล
แสงที่รออยู่อีกฟากฟ้าที่ตรงนั้น
ถ้าพร้อมเผชิญก็ไม่ยากจนเกินไขว่คว้า",tao_sattaphong
