song_name,href,lyric,artist
ดาวเด่น,/music/thailyric/1747,"แอบมองไปเจอเธอนั้นพลันสบในตา
เจอะกันในทีรอยยิ้มเธอสุขในครา
ยังจำติดตาแรกเจอกับสาวที่ฉันปอง

หวั่นใจคนงามสดใสเกินกว่าใครใคร
ดั่งมีประกายเฉิดฉายลอยจับดวงใจ
เธอเดินผ่านไป จิตใจหวั่นไหวเมื่อได้มอง

ยิ้ม หวานยาม(เย้ายวน)เธอฝากเสน่ห์ความซึ้งตรึงใจ
ขาว สาวงามสมวัย18แรกแย้ม ฉันรอคอยเธอ

เจ้าดาวเด่น เจ้าดาวเด่น
หยุดดวงใจฉันพร่ำเพ้อ ติดตาฉันเฝ้ารอเธอ
เจ้าดาวเด่น เจ้าดาวเด่น
ฉุดดวงใจฉันเฝ้าฝัน พร่ำเพ้อ ถึงเธอ

เก็บไปละเมอใฝ่ฝันจำติดเธอมา
หากเธอเป็นแฟนควงแขนคงสุขอุรา
จูงมือสบตา สุขใจในฝันอันแสนหวาน

เธอ ฉันแค่พร่ำเพ้อเผลอเหม่อมอง
เพียงพบเธอ เพียงพบเจ้า

เจ้าดาวเด่น เจ้าดาวเด่น เจ้าดาวเด่น เจ้าดาวเด่น เจ้าดาวเด่น",the_richman_toy
กรรมกู๊,/music/thailyric/8710,"กรรมเอ๋ยกรรมใครทำให้มันเกิด
มันจึงเลยเถิดละเมิดกับตัวฉัน
ไม่รู้ทำอะไรเมื่อชาติก่อน
ไม่ได้พักผ่อนนอนน้อยอยู่ทุกวัน

ไม่เข้าใจทำอะไรก็โดนด่า
ไม่ทำก็ว่า เอาไงล่ะยาหยี
มาหิวโซ อะไรตอนตีสี่
อยากกินคริสปี้ อย่างงี้ก็วุ่นวาย

กรรมกู๊ รักเค้าด้วยสระอู
รักเค้าก็เลยได้รู้
รักเค้าก็เลยต้องอยู่อย่างปาท่องกู๋
กรรมกู๊ รักเค้าด้วยสระอู
รักเค้าก็เลยต้องบอก
ว่า ไอ เลิฟ ยู๊ ทุกวัน

กินน้ำเย็นลำเค็ญเป็นปลาบู่
ไปนวดให้ปู่ดันรู้ว่าอยู่ไหน
จะหนีไปให้ไกลจนสุดกู่
ก็รู้กันอยู่ว่าไปไม่ได้ไกล

กรรมเอ๋ยกรรมทำบุญกันดีกว่า
เกิดมาชาติหน้าไม่ต้องเป็นอย่างงี้
จะรักใคร เหมือนซื้อล๊อตเตอร์รี่
จะถูกไม่ถูก อยู่ตรงที่หัวใจ

กรรมกู๊ รักเค้าด้วยสระอู
รักเค้าก็เลยได้รู้
รักเค้าก็เลยต้องอยู่อย่างปาท่องกู๋
กรรมกู๊ รักเค้าด้วยสระอู
รักเค้าก็เลยต้องบอก
ว่า ไอ เลิฟ ยู๊

น้อยๆ หน่อย น้อยๆ หน่อย
ช่วยฟังสักหน่อยอร่อยหู
น้อยๆ หน่อย น้อยๆ หน่อย
ขอเธออย่าหาสำลีอุดรู ฮู๊ ฮู๊

กรรมกู๊ รักเค้าด้วยสระอู
รักเค้าก็เลยได้รู้
รักเค้าก็เลยต้องอยู่อย่างปาท่องกู๋
กรรมกู๊ รักเค้าด้วยสระอู
รักเค้าก็เลยต้องบอก
ว่า ไอ เลิฟ ยู๊

ก็เลยต้องบอก
ว่า ไอ เลิฟ ยู๊ ทุกวัน",the_richman_toy
เก๊ก,/music/thailyric/8817,"ไม่รู้มันเป็นอะไร อะไรนักหนา
อยากไปก็ไปเลยเธอออย่ามา อย่ามาตาหวาน
โทษทีฉันตามเธอทัน ถ้าปั่นหัวใจจะโดนเชิดใส่

ให้เบอร์กันมาทำไม ไม่มีความหมาย
จะส่งสายตาไปเพื่ออะไร ไม่มีเหตุผล
แล้วยังมาเดินงงๆ อย่ามาร้อนรนไม่เห็นรู้สึกอะไร

แต่ข้างในมันอิน เป็นอะไรไม่รู้หัวใจมันฟิน
อยากตะโกนร้องให้ใครได้ยินมันก็ทำไม่ได้
มันก็เลยต้องเก๊กไป

แต่ข้างในฟูมฟาย เป็นอะไรไม่รู้หัวใจละลาย
อยากจะบอกรัก รักเธอ รักเธอ มันก็ทำไม่ได้
เก๊กไอ้คำว่าเก๊กมันค้ำคอ

ไม่รู้จะคุยอะไร อะไรนักหนา
อยากจะทักทายเอ้ามาก็มา ก็แค่สงสาร
แถมเงินให้เดินควงกันกี่หมื่นกี่พัน
ก็ไม่คิดอยากจะไป

แต่ข้างในมันอิน เป็นอะไรไม่รู้หัวใจมันฟิน
อยากตะโกนร้องให้ใครได้ยินมันก็ทำไม่ได้
มันก็เลยต้องเก๊กไป

แต่ข้างในฟูมฟาย เป็นอะไรไม่รู้หัวใจละลาย
อยากจะบอกรัก รักเธอ รักเธอ มันก็ทำไม่ได้
เก๊กไอ้คำว่าเก๊กมันค้ำคอ

ฉันมันไอ้ห่วย ไม่รวย ไม่หล่อ
เงินไม่พอไปขอเธอ
เจอะเธอเมื่อไหร่ก็เลยเก๊กใส่
เธอยอมๆ จะได้ไหม

แต่ข้างในมันอิน เป็นอะไรไม่รู้หัวใจมันฟิน
อยากตะโกนร้องให้ใครได้ยินมันก็ทำไม่ได้
มันก็เลยต้องเก๊กไป

แต่ข้างในฟูมฟาย เป็นอะไรไม่รู้หัวใจละลาย
อยากจะบอกรัก รักเธอ รักเธอ มันก็ทำไม่ได้
เก๊กไอ้คำว่าเก๊กมันค้ำคอ",the_richman_toy
ซ่า ได้ อาย อด,/music/thailyric/1745,"อยากจะดีก็ไม่ต้องเดี๋ยว จะลุยก็ไม่ต้องเหลียว
จะเฟี้ยวก็คงต้องลอง ให้รู้กันไป
อยากจะโตก็ไม่ต้องติ๋ม จะคุยก็ไม่ต้องหงิม
ส่งรักแล้วก็ส่งยิ้ม ไอ้น้องกล้าหน่อยเด๊ะ

นอนนะ ไอ้น้องอย่านอน
วัยรุ่นอย่านอน เฮ้วกันหน่อยน้อง
รักมันต้องจัดเต็มชุด
มันต้องเปิดเกมรุก ให้มันถึงใจ

อยากมันต้องซู่ซ่า จีบเธอต้องกล้าบ้า
เปิดตัวให้ฟู่ฟ่า อย่าช้าเกินไป
เปิดใจให้อ้าซ่า ให้เธอได้ทราบว่า
ไม่รักไม่เป็นไร ยิ่งกั๊กก็ยิ่งรัก พี่จะลุย

ไม่มีวันจะได้ลูกเสือ หากเราไม่เข้าถ้ำเสือ
ไม่เหลือเวลาให้รอ ไอ้น้องฮึดหน่อย
ถ้าไม่ทำแล้วใครจะทำ ไม่เจอก็คงไม่จำ
อย่าทิ้งให้เป็นความฝัน ไอ้น้องกล้าหน่อยเด๊ะ

นอนนะ ไอ้น้องอย่านอน
วัยรุ่นอย่านอน เฮ้วกันหน่อยน้อง
รักมันต้องจัดเต็มชุด
มันต้องเปิดเกมรุก ให้มันถึงใจ

อยากมันต้องซู่ซ่า จีบเธอต้องกล้าบ้า
เปิดตัวให้ฟู่ฟ่า อย่าช้าเกินไป
เปิดใจให้อ้าซ่า ให้เธอได้ทราบว่า
ไม่รักไม่เป็นไร ยิ่งกั๊กก็ยิ่งรัก พี่จะลุย

อยากจะดีก็ไม่ต้องเดี๋ยว จะลุยก็ไม่ต้องเหลียว
จะเฟี้ยวก็คงต้องลอง ให้รู้กันไป
อยากจะโตก็ไม่ต้องติ๋ม จะคุยก็ไม่ต้องหงิม
ส่งรักแล้วก็ส่งยิ้ม ไอ้น้องกล้าหน่อยเด๊ะ

อยากมันต้องซู่ซ่า จีบเธอต้องกล้าบ้า
เปิดตัวให้ฟู่ฟ่า อย่าช้าเกินไป
เปิดใจให้อ้าซ่า ให้เธอได้ทราบว่า
ไม่รักไม่เป็นไร ยิ่งกั๊กก็ยิ่งรัก

อยากมันต้องซู่ซ่า อยากโดนต้องกล้าบ้า
อยากเดินไปข้างหน้า ต้องคลุกวงใน
เปิดใจให้อ้าซ่า อย่าอายไม่เข้าท่า
จะกั๊กไปทำไม วันนี้ยังไม่สายถ้าจะลุย

วันนี้พี่จะรักจนหมดใจ",the_richman_toy
ซุปเปอร์แฟน,/music/thailyric/1746,"สิ่งที่ฉันเป็น ไม่เคยจะเลิศเลอ
ถ้าจะรักเธอ ก็คงจะต้องดีมากกว่านี้
Perfect เพื่อเธอ

อยากเป็นเครื่องบิน
ที่มันไปได้เร็ว เกินกว่าฉันเดิน
และคงไปพบเจอ ได้อย่างตรงเวลานัดเธอ

สิ่งที่ฉันทำไป แค่อยากจะให้เธอ
อยากจะให้เธอ โปรดจงรู้สักที
หัวใจฉันเอง แค่อยากเป็น

ซุปเปอร์แฟน เป็นซุปเปอร์แมนเกงลิงสีแดง
คอยรักคอยห่วง รวดเร็วไปซะทุกอย่าง
Stan by หัวใจได้ทุกเวลา

อยากเป็นแท่นพิมพ์
จะพิมพ์แบงก์ทุกวัน ผลิตให้ทัน
เผื่อเธอจะใช้ตังก์ ก็หยิบใช้จับจ่ายได้เลย

อยากจะเข้าไป สี่ห้องของหัวใจ
จะเปิดให้จอง จะวางเงินมัดจำ
หิ้วกระเป๋าเงินทอง พร้อมนอนได้เลย

สิ่งที่ฉันทำไป แค่อยากจะให้เธอ
อยากจะให้เธอ โปรดจงรู้สักที
หัวใจฉันเอง แค่อยากเป็น

ซุปเปอร์แฟน เป็นซุปเปอร์แมนเกงลิงสีแดง
คอยรักคอยห่วง รวดเร็วไปซะทุกอย่าง
Stan by หัวใจได้ทุกเวลา

สิ่งที่ฉันทำไป แค่อยากจะให้เธอ
อยากจะให้เธอ โปรดจงรู้สักที
หัวใจฉันเอง แค่อยากเป็น

ซุปเปอร์แฟน เป็นซุปเปอร์แมนเกงลิงสีแดง
คอยรักคอยห่วง รวดเร็วไปซะทุกอย่าง
Stan by หัวใจได้ทุกเวลา

Stand by หัวใจ
Stand by หัวใจ
Stand by ให้เธอได้ทุกเวลา",the_richman_toy
ธิดาประจำอำเภอ,/music/thailyric/8948,"ธิดาประจำอำเภอ โอ้วเกิร์ล โว้วโวว
เธอช่างสวยงามเด่นเป็นเอกฉันท์
ความงามอยู่ในความต่าง โอ้วเธอ โว้วโวว
อยากจะร้องเป็นเพลงให้เธอได้ฟัง แต่เสียดาย
เธอบอกไม่ชอบลูกกรุง แต่เราก็ไม่ยอมแพ้

จะไปเรียนร้องเพลงลูกทุ่ง
แม่คุณเหลือบมองสักครั้ง
สักวันจะร้องลูกทุ่งให้ฟัง
เผื่อคุณจะเหลียวมองกัน สักที

ในงานประจำอำเภอ โอ้วเกิร์ล
เห็นเธออยู่ในชุดพื้นถิ่นแล้วใจหวั่นไหว
จึงลองเข้าไปพูดจาทักทาย
แล้วเธอบอกให้ร้องเพลงฉ่อย
ได้ก่อนค่อยกลับ มาหากัน

เธอบอกไม่ชอบลูกกรุง แต่เราก็ไม่ยอมแพ้

จะไปเรียนร้องเพลงลูกทุ่ง
แม่คุณเหลือบมองสักครั้ง
สักวันจะร้องลูกทุ่งให้ฟัง
เผื่อคุณจะเหลียวมองกัน สักที

ลำตัดมันดีกว่าร็อคยังไง (ฉันยังไม่เข้าใจ)
เพลงฉ่อยมันดีกว่าอ๊อดยังไง (ฉันจะไปถามใคร)
เพลงจากเมืองกลิ่นควันลอยอบอวลอยู่ในนั้น
เพลงจากใจกลิ่นโคลนและสาบควายเธอใฝ่ฝัน

พระเอกลิเกกับโบ๊ตเดอะเยอร์ส (แล้วเธอจะเลือกใคร)
อูกูเลเล่สะล้อซอซึง (ก็ไม่ต้องสงสัย)
คงจะดีหากเธอมีจิตใจให้กับฉัน
เพียงหนึ่งเพลงอาจทำให้เธอมองกันสักครั้ง

จะไปเรียนร้องเพลงลูกทุ่ง
แม่คุณเหลือบมองสักครั้ง
สักวันจะร้องลูกทุ่งให้ฟัง
เผื่อคุณจะเหลียวมองกัน

ร้องเพลงลูกทุ่ง
แม่คุณเหลือบมองสักครั้ง
สักวันจะร้องลูกทุ่งให้ฟัง
เผื่อคุณจะเหลียวมองกัน สักที

สักวันจะร้องลูกทุ่งให้ฟัง
ให้เราได้ร้องคู่กัน สักที",the_richman_toy
อ้าว,/music/thailyric/9512,"เธอขับรถชนอกฉันหัก
ดังเปาะเลือดตกในใจฉันเดาะ
แต่จะเจ็บเท่าไรใจก็ยังรักเธอ
หากว่าเธอไม่รักแล้วทำไมเธอไม่บอก
หลอกให้รอร๊อรอเหมือนนั่งรอ 3G

จนวันนี้ที่เฝ้าคอย
ควงแขนเกี่ยวก้อยมาหลายปี
ก็มีแหวนกับความหวัง แต่มันก็พังทลาย

อ๊ะ อ๊ะ อ้าว เธอรักกับเขา
ผิดตรงไอ้เราไม่เคยรู้เลย
อ้าวฉันเหมือนจ่าเฉย
ที่เธอไม่เคยจะให้ความสนใจ
ไม่เป็นไร ยืนร้อนโบกมือไป
ใยถึงเป็นแบบนี้

โอ้ ความรักทำตาฉันบอดใช่ไหม
ถึงไม่เคยเห็นสักอย่าง
ต่อให้อยู่ข้างกายก็ไม่เคยรู้ใจ
ปฏิทินข้างฝายิ้มและคอยนั่งหัวร่อ
คนที่รอร๊อรอ วันที่มี 3G

จนวันนี้ที่เฝ้าคอย
ควงแขนเกี่ยวก้อยมาหลายปี
ก็มีแหวนกับความหวัง แต่มันก็พังทลาย

อ๊ะ อ๊ะ อ้าว เธอรักกับเขา
ผิดตรงไอ้เราไม่เคยรู้เลย
อ้าวฉันเหมือนจ่าเฉย
ที่เธอไม่เคยจะให้ความสนใจ
ไม่เป็นไร ยืนร้อนโบกมือไป
ใยถึงเป็นแบบนี้

ถ้าฉันมีเงินเป็นหมื่นเป็นล้าน
คงไม่รอเธอมานานอย่างนี้
จะไม่ง้อเธอดูสักที
ถ้าฉันมีเงินเป็นหมื่นเป็นล้าน
จะหว่านให้รัฐมนตรี
แต่เค้าคงเอาไปกินกันฟรีๆ

อ้าว เธอรักกับเขา
ผิดตรงไอ้เราไม่เคยรู้เลย
อ้าวฉันเหมือนจ่าเฉย
ที่เธอไม่เคยจะให้ความสนใจ
ไม่เป็นไร ยืนร้อนโบกมือไป
เลยต้องมาร้อง

อ้าว เธอรักกับเขา
ผิดตรงไอ้เราไม่เคยรู้เลย
อ้าวฉันเหมือนจ่าเฉย
ที่เธอไม่เคยจะให้ความสนใจ

อ้าว เธอรักกับเขา
ผิดตรงไอ้เราไม่เคยรู้เลย
อ้าวฉันเหมือนจ่าเฉย
ที่เธอไม่เคยจะให้ความสนใจ อ้าว",the_richman_toy
คิดดีๆ,/music/thailyric/15869,"คิดดูให้ดี หลายคนไม่มีเหมือนเธอ
จะมามัว นั่งน้อยใจทำไม
ถ้าตายไปจะเหลืออะไร

ทบทวนอีกที เพราะยังมีลมหายใจ
ต้องเรียนรู้ อยู่กับใจให้เป็น
จะได้เห็นว่าสุดท้ายไม่มี
เอาแต่คิด ทำร้ายใจ ให้เกียรติตัวเองหน่อยสิ
คิดดูให้ดี แล้วกัน

จะอยู่กับเธอตรงนี้ รับฟังเรื่องทุกข์ใจ
ฝืนไปจะเหนื่อยล้า เสียเปล่า
จะอยู่กับเธอตรงนี้ หวังดีและเห็นใจ
อยากเห็นเธอที่สดใส ถึงบอกให้เข้าใจ

ทบทวนอีกที เพราะยังมีลมหายใจ
ต้องเรียนรู้ อยู่กับใจให้เป็น
จะได้เห็นว่าสุดท้ายไม่มี
เอาแต่คิด ทำร้ายใจ ให้เกียรติตัวเองหน่อยสิ
คิดดูให้ดี แล้วกัน

จะอยู่กับเธอตรงนี้ รับฟังเรื่องทุกข์ใจ
ฝืนไปจะเหนื่อยล้า เสียเปล่า
จะอยู่กับเธอตรงนี้ หวังดีและเห็นใจ
อยากเห็นเธอที่สดใส ถึงบอก

ไม่กวี ไม่ต้องปีน ไม่มโน
อยู่ที่ใจเธอ เธอคือวันนี้

จะอยู่กับเธอตรงนี้ รับฟังเรื่องทุกข์ใจ
ฝืนไปจะเหนื่อยล้า เสียเปล่า
จะอยู่กับเธอตรงนี้ หวังดีและเห็นใจ
อยากเห็นเธอที่สดใส ถึงบอกให้เข้าใจ",the_richman_toy
ใครๆ ก็ทำกัน,/music/thailyric/15521,"นิดหน่อยน่า โถคุณตำรวจ
จอดรถแป๊บเดียว เดี๋ยวผมก็ไป
โอ๊ยขอโทษ แทรกคอสะพาน
ไม่ได้ตั้งใจ กลัวไปไม่ทัน

ท้องถนนรถเยอะจริงๆ
ขี่มอเตอร์ไซ บนทางเท้าละกัน
ทิ้งตรงเนี้ย ละกันขยะ
ไม่ต้องสนใจ ไม่ใช่บ้านกู

ใครๆ เขาก็ทำกัน ใครๆ เขาก็ทำกัน

ช่วยหน่อยน่า ลูกผมคนเดียว
อยากเรียนที่ดีๆ สามแสนละกัน
ขอบคุณครับ เรื่องสัมปทาน
ผมจะสร้างสะพานเสร็จในสองวัน

ไม่เป็นไร โอ๊ยพวกเดียวกัน
ติดดาวได้เลย ไม่ต้องผ่านขั้นตอน
รู้ไหมครับ พ่อผมเป็นใคร
จับผมได้ไง เดี๋ยวโดนย้ายนะคุณ

ใครๆ เขาก็ทำกัน ใครๆ เขาก็ทำกัน
จะสองปี ห้าปี สิบปี ร้อยปี ก็ยังเหมือนเดิม โอ้ย

ไม่อยู่แล้ว โอ๊ยประเทศไทย
บ่นกันเข้าไป ก็ทำกันทุกคน
คุณก็ทำ ผมก็ยังทำ
ใครๆ ก็ทำ ก็ทำกันทุกคน

ใครๆ เขาก็ทำกัน ใครๆ เขาก็ทำกัน
ใครๆ เขาก็ทำกัน ใครๆ เขาก็ทำกัน
ทำกันเลย",the_richman_toy
ตะวันเลียตูด,/music/thailyric/13517,"ไก่ขันอาทิตย์ส่อง หมู่ดอกไม้บาน
ตะวันเลียตูด เหล่านกการ้องกู่
ดูดูซิดู ตะวันเลียตูด

เช้าเบิ่งนภาลืมตาออกตามฝันเริงใจ
จะเรื่องเล็กเรื่องใหญ่รีบทำ
อย่าช้ามัวนอนกรนก่อนอาทิตย์ลับลา
โปรดจงลุกขึ้นมาทำ

ไก่ขันอาทิตย์ส่อง หมู่ดอกไม้บาน
ตะวันเลียตูด เหล่านกการ้องกู่
ดูดูซิดู ตะวันเลียตูด

งัวงัวเงียมัวอย่ามัวงอแง
งัวงัวเงียมัวอย่ามัวงุ่นง่าน
งัวงัวเงียมัวอย่ามัวงอแง
งัวงัวเงียมัวอย่ามัวงุ่นง่าน

ไก่ขันอาทิตย์ส่อง หมู่ดอกไม้บาน
ตะวันเลียตูด เหล่านกการ้องกู่
ดูดูซิดู ตะวันเลียตูด

ไก่ขันอาทิตย์ส่อง หมู่ดอกไม้บาน
ตะวันเลียตูด เหล่านกการ้องกู่
ดูดูซิดู ตะวันเลียตูด",the_richman_toy
