song_name,href,lyric,artist
I'm Sorry (สีดา),/music/thailyric/11097,"วันนี้ คำว่าเราก็คงไม่มี อีกแล้ว
จะขอร้องให้เธอนั้นย้อนคืน ก็ไม่มีวี่แวว
คือฉันนั้นเป็นคนผิดเอง
ผิดและพลั้งพลาดไปซะจนใจเธอเริ่มทนไม่ไหว
(ทนไม่ไหว ทนไม่ไหว)

เมื่อวันนี้เธอมีคำบอกลา
ส่วนตัวฉันก็มีคำหนึ่งคำที่ไม่เคยพูดไป
จะบอกเธอในวันนี้

คือฉันเสียใจ ที่ฉันชอบทำผิดไปทุกที
ความคิดไม่ตรงกับใจสักที
ถ้าหากยังเป็นคนแบบนี้
ไม่รู้ว่าเธอจะยังเข้าใจกันบ้างไหม
ถ้าหากความผิดที่ฉันทำ
มันย้ำให้เธอต้องเสียใจ
มันย้ำให้เธอต้องร้องไห้
ขอโทษ จากหัวใจ
แต่จะให้ดีกว่านี้ก็คงไม่ไหวจริงๆ

โอ้ว่า โอ้ว่าอกเอ่ย โอ้พระรามแพ้รัก
ไม่หวั่นจะรบสยมยักษ์ จะหักเอากรุงลงกา
แต่ว่าความรักกลับโดยอุบาย ไม่เชื่อใจสีดา
วาดรูปยักษ์ ดั่งแทงใจสั่งให้วายชีวา

ผิดไปแล้วหนอใจ ที่ผลักใสแก้วตา
โปรดรับรู้แม่สีดาพี่พลาดไป

ฉันเสียใจ ที่ฉันชอบทำผิดไปทุกที
ความคิดไม่ตรงกับใจสักที (คิดไม่ตรงกับใจสักที)
ถ้าหากยังเป็นคนแบบนี้
ไม่รู้ว่าเธอจะยังเข้าใจกันบ้างไหม
ถ้าหากความผิดที่ฉันทำ
มันย้ำให้เธอต้องเสียใจ (ต้องเสียใจ)
มันย้ำให้เธอต้องร้องไห้
ขอโทษ จากหัวใจ
แต่จะให้ดีกว่านี้ก็คงไม่ไหวจริงๆ

โอ้ว่าพระรามยังแคลงใจ จบศึกกรุงลงกา
พิสูจน์เจ้านางสีดา ให้บุกเดินลุยไฟ
แต่ว่ารูปยักษ์ไม่ทันได้ถาม กลับสนองดวงใจ
แค่เพียงเจ้าคิดเจ้าแค้นเจ้านางไม่เคยจะคิดปันใจ
แต่กว่าจะรู้ก็ตอนเมื่อสายจะให้พี่ทำยังไง
ต้องให้พี่ตายเลยแกล้งตาย
ยิ่งกลับทำลายดวงใจเข้าไปใหญ่
อยากจะบอกเธอว่าฉันเสียใจ จริงๆ",the_rube
วันทอง (Fin),/music/thailyric/11577,"โอ้ว่าดึกแล้วเอย ใจก็ยังรอรัก
โอ้ว่าดึกแล้วหนอ ใจก็ยังคิดถึง
โอ้ใจน้องนาง คิดถึงกันบ้างไหม
โอ้เจ้าดอกลำใย อกพี่แตกตายแล้วหนอ

ยามตื่นพี่ก็ยังคงคิดถึง
ยามนอนภาพน้องยังคงตราตรึง
ยามไกล พี่ก็ยังคงคนึง
รำพึงรำพัน ทั้งวี่ทั้งวัน

เธอทำมิสยูนิเวิร์สต้องหลบซ้าย
ทำนางสาวไทยต้องหลบขวา
งามเกินกว่าดารา สวยยิ่งกว่าอภัสรา
มองไปแค่คราเดียวไม่อาจจะละสายตา Girl

Look in to my eyes
มองให้ลึกเข้าไปเธอคงจะเห็นตัวเอง
อยู่ข้างใน Girl
อย่ามัวแต่มองใคร มองมาที่พี่เนี๊ยะ
มองมาที่พี่สิไม่ต้องไปมองใคร

Lambo ที่ว่าแรงไม่อาจจะแซงใจพี่
ลองรักพี่ดูแล้วกันแล้วน้องจะติดใจ Baby ฮึ
อย่าหาว่าพี่นี่ขี้หลี
ของพี่ไม่ดีจริงพี่ไม่มาคุยหลอกยาหยี

โอ้ว่าดึกแล้วเอย ใจก็ยังรอรัก
โอ้ว่าดึกแล้วหนอ ใจก็ยังคิดถึง
โอ้ใจน้องนาง คิดถึงกันบ้างไหม
โอ้เจ้าดอกลำใย อกพี่แตกตายแล้วหนอ

เปิดเฟสดูรูปในทามไลน์
กรีดกรายเรือนร่างของน้องนาง
โอ้ยฟินเหลือเกิน นะอือฮือ นะฮืออือ นะอือฮือ
กดไลค์อย่างไว
เปล่งแสงออร่าใน IG
โอ้น้องทำพี่ใจแทบวาย
คนตาม เป็นหมื่นเป็นแสน
มาจีบ มาแว๊น มีพี่คนเดียวรักจริง

โอ้วแม่ดอกพลับพลึง
คิดถึงแต่น้อง
โอ้วแม่ดอกชบา
อยู่ในใจตลอดเวลา
โอ้วแม่ดอกจำปา
รับรักพี่เถอะนะ
รับรองไม่มีวันเสียน้ำตา

ก่อนนอนเฟสทามดูเจ้ากรอย
ปากนิด แก้มนวล จมูกหน่อย
โอ้ยฟิน นะฮืออือนะอือฮือ
หัวใจจะหลุดลอย ระรวย ระริน

เอ๊ย รับรักพี่ได้ไหม
บ่องตงหมดใจให้เธอสิ้น
เวลาเธอยิ้ม ช่างเย้ายวนใจ เอย
เจ้านกขมิ้นเหลืองอ่อน
หลับตาลงนอนคิดถึงน้องนาง

โอ้ว่าดึกแล้วเอย ใจก็ยังรอรัก
โอ้ว่าดึกแล้วหนอ ใจก็ยังคิดถึง
โอ้ใจน้องนาง คิดถึงกันบ้างไหม
โอ้เจ้าดอกลำใย อกพี่แตกตายแล้วหนอ

Missing you missing you missing you tonight
Missing you missing you missing you all night

Missing you missing you missing you tonight
Missing you missing you missing you all night

Missing you missing you missing you tonight
Missing you missing you missing you all night

Missing you missing you missing you tonight
Missing you missing you missing you all night",the_rube
Oppa Saranghae,/music/thailyric/18421,"ก็จากบ้านมานานหลายปี
ขับแท็กซี่อยู่แฮปปี้แลนด์
มีน้องเป็นแฟนเสิร์ฟร้านอาหารเกาหลี

ก่อนเคยกินข้าวเหนียวส้มตำ
กลับแปรผันข้าวยำกิมจิ
ก่อนเคยดี วันนี้ใจน้องเริ่มเปลี่ยน

สืบมาแล้วว่าน้องปันใจ
ให้กับผู้ชายอีกคนที่ไม่ใช่พี่
รักกันดีๆ วันนี้รู้สึกโมโห โอ้ว

ใครกันนะที่น้องละเมอ
เรียกว่าอปป้าซารางเฮโย
โอ้โห เศร้าใจ

เขามันเกาหลี (Oppa)
หน้าตาเกาหลี (Oppa)
ผิวพรรณเกาหลี
แต่งตัวเกาหลี
ผู้ชายเกาหลี อีอีอี

น้องฮักมันอีหลี (Oppa)
คิดฮอดมันอีหลี (Oppa)
หลงมันอีหลี ใหลมันอีหลี
ลืมพี่คนนี้แล้วแม่นบ่
น้อยใจเกาหลี

ก็เลยฝึกร้องพวกเพลงโคเรีย
ไม่รู้ว่าน้องจะชอบป่ะ
ก็เลยบอกรักซารางเฮโย
ขอบคุณคัมซาฮัมนีดา
บอกว่าคิดถึง โย่ว โพโกชิพพอ
น้องบอกว่าไม่ถึง โย่ว พอเถอะพี่พอ

พี่ไม่เคยท้อพี่ร้องทุกวัน
Bigbang Exo หรือ BLACKPINK
พี่กลัวโดนทิ้ง พี่ Rap ทุกเพลง
BTS 2PM SF9 ที่ทำแบบนี้
แค่กลัวว่าน้องคนดีของพี่จะหมดใจ
ลืมพี่คนนี้ ลืม I'm sorry
สีดาเพลงเดิมแล้วหรือไร

สืบมาแล้วว่าน้องปันใจ
ให้กับผู้ชายอีกคนที่ไม่ใช่พี่
รักกันดีๆ วันนี้รู้สึกโมโห โอ้ว

ใครกันนะที่น้องละเมอ
เรียกว่าอปป้าซารางเฮโย
โอ้โห เศร้าใจ

เขามันเกาหลี (Oppa)
หน้าตาเกาหลี (Oppa)
ผิวพรรณเกาหลี
แต่งตัวเกาหลี
ผู้ชายเกาหลี อีอีอี

รถยังเกาหลี (ฮุนได)
โทรศัพท์เกาหลี (ซัมซุง)
หลงมันอีหลีใหลมันอีหลี
ลืมพี่คนนี้แล้วแม่นบ่
น้อยใจเกาหลี",the_rube
กรรมตามสนอง,/music/thailyric/14096,"จนวันนี้ฉันเสียใจ

ไม่รู้ว่าตอนนี้น้ำตาที่ไหลริน
ต้นเหตุมันมาจากไหน
อาจจะเพราะว่าวันนี้ฉันเองต้องเสียเธอไป
และเธอจะไม่มีวันกลับมา

ก็ในวันนั้นฉันเองที่เป็นที่คนทำร้ายเธอ
ทำเธอเจ็บช้ำเสมอ
ไม่เคยจะมองว่าเธอเป็นคนสำคัญ

จนวันนี้ฉันเสียใจ
ไม่มีเธอแล้วอ้อนวอนแค่ไหน
ไม่ว่าจะทำอย่างไรเธอก็ไม่มีวันย้อนคืน
จบลงตรงนี้สิ้นแรงขัดขืน
อยากจะย้อนเวลาจากตรงนี้
กลับไปทำให้ดีให้รักของเราฟื้นคืน

หากว่าในวันนั้นเมื่อฉันยังมีเธอข้างกาย
หากว่าฉันใส่ใจกว่านี้
หากว่าฉันได้ดูแลรักเธอให้มากทุกนาที
ในวันนี้ก็คงไม่มีน้ำตา

ก็ในวันนั้นฉันเองที่เป็นคนที่ทำร้ายเธอ
ทำเธอเจ็บช้ำเสมอ
ไม่เคยจะมองว่าเธอเป็นคนสำคัญ

จนวันนี้ที่ฉันเสียใจ

ไม่มีเธอแล้วอ้อนวอนแค่ไหน
ไม่ว่าจะทำอย่างไรเธอก็ไม่มีวันย้อนคืน
จบลงตรงนี้สิ้นแรงขัดขืน
อยากจะย้อนเวลาจากตรงนี้
กลับไปทำให้ดีให้รักของเราฟื้นคืน

ไม่มีเธอแล้วอ้อนวอนแค่ไหน
ไม่ว่าจะทำอย่างไรเธอก็ไม่มีวันย้อนคืน
จบลงตรงนี้สิ้นแรงขัดขืน
อยากจะย้อนเวลาจากตรงนี้
กลับไปเป็นคนเดิมที่แสนดี
อยากทำให้รักที่ดีของเราฟื้นคืน",the_rube
กรุณา,/music/thailyric/11602,"อาจจะเจอความรักดีๆ
ในหลายคน ส่วนฉันก็ยังไม่มี
รอมาเป็นปีจะทำยังไงคงต้องทน
ก็ยังคงเหงา และยังเป็นคนที่แสนเดียวดาย

ได้แต่รอเวลาให้ใครผ่านเข้ามา
ฉันรู้ว่าอันที่จริง
คนเราเกิดมาต้องมีสักคนให้พึ่งพา
อีกนานแค่ไหนที่ฉันจะเจอคนในฝัน
จะมีจริงไหม และใครคนนั้นที่ไม่ทิ้งกันไป

ก็มันเหงา เหงาจนแทบขาดใจ
จะมีบ้างไหมใครสักคนเข้ามา
ช่วยเอาความรักฉันไปสักทีเถอะนะ
กรุณา ให้ฉันได้พบรักจริงสักที

อาจจะดีถ้ามีสักคนเดินเข้ามา
เปลี่ยนฉันคนเดิม
ให้มีอะไรดีๆ มาทำให้ชีวิตมีค่า
อ้อนวอนให้ฟ้านั้น
ดาลบันดาลส่งคนนั้นมาที
ช่วยทำให้ฉันนั้น
ได้เข้าใจกับความรักอีกที

ก็มันเหงา เหงาจนแทบขาดใจ
จะมีบ้างไหมใครสักคนเข้ามา
ช่วยเอาความรักฉันไปสักทีเถอะนะ
กรุณา ให้ฉันได้พบรักจริงสักที

ก็มันเหงา เหงาจนแทบขาดใจ
จะมีบ้างไหมใครสักคนเข้ามา
ช่วยเอาความรักฉันไปสักทีเถอะนะ
กรุณา ให้ฉันได้พบรักจริงสักที

ช่วยทำให้คนที่บอบช้ำ
เสียใจตลอดเวลา
ให้มีค่า ให้รู้ว่ารักแท้จริงยังมี",the_rube
ขันหมากล่ม (Fail),/music/thailyric/12389,"ก่อนเคยเก็บ เห็ดตับเต่า ขึ้นริมเถาหญ้านาง
เจ้าพลายแก้ว เคียงข้าง ฉันกับแม่พิม เพื่อนกัน
ทิวไผ่เอนอ่อนโอน เราเล่นเป็นคนรักกัน รักกัน

เติบมา ชิวิตดี๊ดี ชื่อเสียงขุนช้างก้องไกล
เหลือแค่เพียง หัวใจแม่พิม คนเดียวเท่านั้น
บอกแม่ สาริกา ช่วยมาสู่ขอเธอที่รัก โอ้ว เอ

แก้ว แหวนเงินทอง นะมันไม่พอใช่ไหม
ใจเธอมีใคร จึงปฏิเสธฉัน

โห โห โห โห ขันหมากล่มแล้วเอ๊ย
โห โห โห โห ทำไมไม่รักกัน

มา ตอน นี้ รู้ เพียงว่าใจเธอนั้นมีใคร
บ้างก็คิด บ้างก็แค้น พลายแก้วมันหนามยอกกาย
อยากจะยอม แต่ในใจมันยังคงเจ็บเหลือเกิน โอ้ว โว

แก้ว แหวนเงินทอง นะมันไม่พอใช่มไหม
ใจเธอมีใคร จึงปฏิเสธฉัน

โห โห โห โห ขันหมากล่มแล้วเอ๊ย
โห โห โห โห ปวดใจจริงเอย
โห โห โห โห ขันหมากล่มแล้วหนอ
โห โห โห โห ทำไมไม่รักกัน

เอ้า มาละเหวย มาละหว้า
เอ้า มาละเหวย มาละหว้า
มาแต่ของเขาของเราก็มา ตะละล้า
ใครมีมะกรูด มาแลกมะนาว
ใครมีลูกสาว มาแลกลูกเขย
เอาวะเอาเหวยลูกเขยกลองยาว
ตะละล้า ฮุย ฮา โห่ ฮิ้ว

โห โห โห โห ทำไมไม่รักกัน
โห โห โห โห ทำไมไม่รักกัน
โห โห โห โห ทำไมไม่รักกัน",the_rube
คนที่ถูกลืม,/music/thailyric/22032,"ใครคนนึงเคยพร่ำสอน ใครคนนึงคอยกอดฉัน
ใครคนเดิมที่ทุกวัน คอยดูแลห่วงใย
ใครคนนึงให้ความรัก  ใครคนนึงประคองไว้
ใครคนเดิมที่รู้ใจ ไม่เคยไกลจากฉัน

แต่เมื่อเวลาล่วงเลยผ่าน ถึงวันนึงเขาเริ่มแก่
อะไรอะไร ก็ตามแต่ เริ่มร่วงโรย
หวังเพียงใครสักคนหนึ่ง หวังให้เขาช่วยดูแล
หวังก็เพียงแค่

ให้ดูแลตัวเองดีๆ นะ
หากเหนื่อยล้ากลับมาที่บ้านเรา
ยังมีคนทางนี้อย่าลืมเขา
ไม่ต้องเศร้า กลับมา

ใครคนเดิมยังโทรหา ใครคนเดิมยังห่วงฉัน
ผ่านเวลาเนิ่นนานคืนวัน ยังไม่เคยเปลี่ยนไป
ใครคนเดิมยังคิดถึง ใครคนเดิมยังทนไหว
ในบางวันที่ฉันพลาดไป ไม่เปลี่ยนผัน

แต่ฉันไม่เคยสนใจสิ่งที่เขาคอยเตือนและพร่ำบอก
ยอมให้ใครเขาลวงหลอก อยู่ร่ำไป
ทำร้ายใจคนที่เป็นห่วง หลงลืมคนข้าง ๆ กาย
แต่เขาไม่เคยหน่าย

ให้ดูแลตัวเองดีๆ นะ
หากเหนื่อยล้ากลับมาที่บ้านเรา
ยังมีคนทางนี้อย่าลืมเขา
ไม่ต้องเศร้า กลับมา

เพิ่งจะรู้รักแท้มันเป็นยังไง เข้าใจวันนี้
เข้าใจแล้วรักษาตัวเองดีๆ อย่าให้ใครทำร้าย
อยากขอบคุณทุกๆ ความอบอุ่น แต่รู้ว่าสายไป
ไม่เป็นไรชาติหน้ามีจริงยังไง ขอให้ได้ดูแลอย่างเก่า

จะดูแลตัวเองดีๆ นะ
หากเหนื่อยล้ากลับมาที่บ้านเรา
จะทำให้ภูมิใจอย่างใครเขา
ไม่ต้องเศร้า กลับมา",the_rube
ไม่ใช่พระเอก (Foe),/music/thailyric/12198,"แอบเห็นเธอไปกับใคร แต่ฉันนั้นก็เข้าใจ
ว่าฉันไม่ใช่อื่นใดแค่คนเก่า
แต่เห็นแล้วมันขัดตา หัวใจมันเริ่มจะชา
อยากจะเห็นเขาและเธอเลิกรา กันสักที

ไม่ใช่พระเอก ฉันทนไม่ไหว
ฉันมีหัวใจ อย่าทำอะไรให้มันเกินทน

เออ เออ เอย เอิง เอ๋ย

ว่าวงการไฮโซ ร้องโอโหต้องรู้จัก
นามของเราดังนัก ชื่อขุนช้างร่ำรวย

ฉันขื่อพิมคนสวย ฉันไม่รวยมากนัก
แต่ฉันมีคนรัก ชื่อดังนักเสียจริงด้วย

อ๋อรู้ละขุนแผน สะท้านแสนมากมี
และฉันรู้จักเป็นอย่างดี เพราะเขามีเมียหลาย

ก็เขาฮ็อตเล่าไง ใจเลยหลงรัก
โอ้ยมันขัดใจนัก เชิญไปรักกันให้ไกลๆ

ตาจ้องมองตา ปวดอุราช้ำในหัวใจ
ตาจ้องมองตา ปวดอุราช้ำในหัวใจ
เจ็บแปลบไปถึงในทรวง
โอ๊ย เจ็บแปลบไปถึงในทรวง
โอ้วแม่ธิดาแม้นสรวง
ก็รู้ว่าน้องนั้นมีของหวง
กลัวเขาจะจับ กลัวเขาจะล้วง
และกลายเป็นของคนอื่นไป

ไม่ใช่พระเอก ฉันทนไม่ไหว
ฉันมีหัวใจ อย่าทำอะไรให้มันเกินทน

เออ เออ เอย เอิง เอ๋ย

ก่อนชอบนักรักหนา ชะม้ายตาแลกัน
เห็นเขาหล่อโอ๊ยใจสั่น เผลอนั้นหลายใจ

คนหัวล้านมั่งมี รวยแล้วดีมากนักหรือ
ทำตีรวนยวนยื้อ เขาไม่ซื้อเลยออกลาย

คิ้วก็ยั่งสะพานแขวน แขนก็แอ่นเป็นไม้ดัด
คิดว่าสวยเลือกยากนัก ระวังรักจะกลับกลาย

ถึงเขาชั่วให้ตายอย่างไร ใจก็จะรัก
เห็นแล้วขัดใจนัก เชิญไปรักกันให้ไกลๆ
ถึงไม่ไล่ฉันก็จะไป เชิญไปรักกันให้ไกลๆ

ตาจ้องมองตา ปวดอุราช้ำในหัวใจ
ตาจ้องมองตา ปวดอุราช้ำในหัวใจ
เจ็บแปลบไปถึงในทรวง
โอ๊ย เจ็บแปลบไปถึงในทรวง
โอ้วแม่ธิดาแม้นสรวง
ก็รู้ว่าน้องนั้นมีของหวง กลัวเขาจะจับ
กลัวเขาจะล้วง และกลายเป็นของคนอื่นไป

ตาจ้องมองตา ปวดอุราช้ำในหัวใจ
ตาจ้องมองตา ปวดอุราช้ำในหัวใจ
เจ็บแปลบไปถึงในทรวง
โอ๊ย เจ็บแปลบไปถึงในทรวง
โอ้วแม่ธิดาแม้นสรวง
ก็รู้ว่าน้องนั้นมีของหวง กลัวเขาจะจับ
กลัวเขาจะล้วง และกลายเป็นของคนอื่นไป",the_rube
ยู เมค มี คราย,/music/thailyric/19218,"ยูเมกมีคราย คราย
คราย คราย
เมมี คราย คราย
คราย คราย
เมกมีคราย

ไม่เคยรักใครเท่าเธอมายเกิร์ลนาตารี
แอมโซลักกี้ ที่มี แฟน Beautiful
ไม่เคย ไม่คิด ถึงไอ ออเวส์มิสยู
ไม่เคยรักใคร เท่ายู  มายดาร์ลิง

แต่มาวันนี้ โอ้เบบี้ ยูเมกมีเฮิร์ต
ยูเคยบอกว่าเลิฟ วันนี้มาบอกเลิกได้ไง
ยูบอกไม่รัก ยูเฉยชา ยูมาเซย์กู้ดบาย
ไอไม่เข้าใจ ไม่เข้าใจ ไม่อันเดอสแตน

ยูเมกมีคราย เธอทำฉันเสียใจ
ยูเมกมีคราย เธอทำฉันร้องไห้
ยูเมกมีคราย เธอทำฉันทุรนทุราย
ยูเมกมีคราย

ต้องเปิด YouTube เปิด Joox เปิด Spotify
เปิดเพลงวนไป ให้ใจมันได้มูฟออน
ยิ่งเปิด ยิ่งช้ำ ยิ่งย้ำ เรามันตัวสำรอง
กลายเป็นเบอร์สอง ของเธอไม่รู้ตัว

ยูเมกมีคราย เธอทำฉันเสียใจ
ยูเมกมีคราย เธอทำฉันร้องไห้
ยูเมกมีคราย เธอทำฉันทุรนทุราย
ยูเมกมีคราย

ยูเมกมีคราย คราย
เมกมี คราย คราย
เมกมี คราย คราย
เมกมี คราย คราย
เมกมีคราย

ยูเมกมีคราย คราย
เมกมี คราย คราย
เมกมี คราย คราย
เมกมี คราย คราย
เมกมีคราย

ยิ่งตอก ยิ่งย้ำ ยิ่งชัดเจนในความสัมพันธ์
กลายเป็นซัมวัน ของยูไม่รู้ตัว
ต้องกลายเป็นผัวสำรอง ไม่ตั้งใจ
ฝากสิ่งสุดท้าย ให้ยูครอบครอง
Flower สีทอง ให้ยูมายดาร์ลิง",the_rube
เสีย (Lose),/music/thailyric/13793,"ตั้งแต่เธอไปจากฉัน
จากวันนั้นไม่เหมือนเดิมอีกต่อไป
ตั้งแต่ที่เราเลิกกัน
ชีวิตฉันหมดความหมาย
ไม่อาจหาถ้อยคำมาอธิบาย

ว่าตอนนี้ ฉันเสียใจ
เสียดาย เสียความรู้สึก
เสียคนๆ หนึ่งที่รักที่ซึ้งทั้งหัวใจ
ต้องเสียเธอให้เขา
เสียคำว่าเราที่เคยใช้ เสียใจ
แต่ไม่พร้อมปล่อยเธอให้ไปรักใครอยู่ดี

ต่อไปคงมีแต่ฉัน
อยู่ลำพังไร้เธอข้างกาย
อยากให้มันเป็นแค่ฝัน
แค่เท่านั้น แค่เพียงฝันร้าย
เกินจะหาถ้อยคำจะมาบรรยาย

ว่าตอนนี้ ฉันเสียใจ
เสียดาย เสียความรู้สึก
เสียคนๆ หนึ่งที่รักที่ซึ้งทั้งหัวใจ
ต้องเสียเธอให้เขา
เสียคำว่าเราที่เคยใช้ เสียใจ
แต่ไม่พร้อมปล่อยเธอให้ไปรักใครอยู่ดี

ฉันเสียใจ
เสียดาย เสียความรู้สึก
เสียคนๆ หนึ่งที่รักที่ซึ้งทั้งหัวใจ
ต้องเสียเธอให้เขา
เสียคำว่าเราที่เคยใช้ เสียใจ
ที่รั้งเธอไว้ไม่ไหว

บอกเลยว่า ฉันเสียใจ
เสียดาย เสียความรู้สึก
เสียคนๆ หนึ่งที่รักที่ซึ้งทั้งหัวใจ
ต้องเสียเธอให้เขา
เสียคำว่าเราที่เคยใช้ เสียใจ
แต่ไม่พร้อมปล่อยเธอให้ไปรักใครอยู่ดี",the_rube
