song_name,href,lyric,artist
Friend Zone,/music/thailyric/20646,"เก็บเอาไว้ในใจเสมอไม่เคยบอก
เก็บเอาไว้ข้างในลึกๆ หัวใจ
ไม่เคยบอกไปให้เธอได้รู้ถึงความใน
เพราะเรามันเป็นเพื่อนกันไง

อยากจะลาออกจากการเป็นเพื่อนเธอ
อยากจะเดินกุมมือไม่ใช่มองหน้าเธอ
คงทนอยู่วงการนี้อีกไม่ไหว (ขอลาออกก่อนได้ไหม)
แต่ว่าสิ่งตามมามันอาจเลวร้าย
ฉันจึงทนๆ ไปไม่อยากให้เธอหาย
ทำหน้าที่เพื่อนที่ดีต่อไป (ขอบคุณครับ)

ก็ยอมแพ้ทุกที ฉันเป็นเพื่อนที่แสนดี
อยู่ใกล้แค่นี้แต่ไม่กล้าพูดไป
เพราะฉันคือคนที่ยืนข้างเธอ แต่ไม่เคยได้หัวใจ
คนโง่แบบฉันมันยังมีอยู่ไหม

ผ่านมานานก็หลายปีแล้ว ไม่เคยบอก
มีคนเข้ามาจีบเธอมากมาย
แต่ว่าเธอก็ไม่เคย ยืนอยู่ตรงนี้
ไม่เลือกใคร และเราก็ยังเป็นเพื่อนกันไง

อยากจะลาออกจากการเป็นเพื่อนเธอ
อยากจะเดินกุมมือไม่ใช่มองหน้าเธอ
คงทนอยู่วงการนี้อีกไม่ไหว (ขอลาออกก่อนได้ไหม)
แต่ว่าสิ่งตามมามันอาจเลวร้าย
ฉันจึงทนๆ ไปไม่อยากให้เธอหาย
ทำหน้าที่เพื่อนที่ดีต่อไป ขอบคุณครับ

ก็ยอมแพ้ทุกที ฉันเป็นเพื่อนที่แสนดี
อยู่ใกล้แค่นี้แต่ไม่กล้าพูดไป
เพราะฉันคือคนที่ยืนข้างเธอ แต่ไม่เคยได้หัวใจ
คนโง่แบบฉันมันยังมีอยู่ไหม

อยากจะลาออกจากการเป็นเพื่อนเธอ
อยากจะเดินกุมมือไม่ใช่มองหน้าเธอ
คงทนอยู่วงการนี้อีกไม่ไหว (ขอลาออกก่อนได้ไหม)
แต่ว่าสิ่งตามมามันอาจเลวร้าย
ฉันจึงทนๆ ไปไม่อยากให้เธอหาย
ทำหน้าที่เพื่อนที่ดีต่อไป ขอบคุณครับ

ก็ยอมแพ้ทุกที ฉันเป็นเพื่อนที่แสนดี
อยู่ใกล้แค่นี้แต่ไม่กล้าพูดไป
เพราะฉันคือคนที่ยืนข้างเธอ แต่ไม่เคยได้หัวใจ
คนโง่แบบฉันมันยังมีอยู่ไหม

ก็ขอร้องคนดี ฉันเป็นมากกว่านี้
จะไม่มีวันทำให้เธอเสียใจ
ให้ฉันเป็นคนที่ ยืนข้างเธอ
โอบกอดเธอเอาไว้
ให้คนๆ นั้นเป็นตัวฉันได้ไหม",three_man_down
Time Zone,/music/thailyric/20647,"ซื้อตั๋วเครื่องบินเที่ยวสุดท้าย อยากบินขึ้นไป
อยากไปอยู่บนฟ้าให้ไกลแสนไกล
ถ้าไม่ต้องเจอเธอ คงดีใช่ไหม
ตื่นมาพรุ่งนี้เหลือแต่ฉันคงไม่เป็นไร
การได้พบได้เจอผู้คนใหม่ๆ
มันคงทำให้ฉันลืมเธอไป

แต่ฉันก็ไม่รู้ว่าฉันพลาดตรงไหน
หรือว่าวันเวลายังผ่านไปนานไม่พอ
ไม่ว่านานเท่าไร ไม่ว่าคุยกับใคร
ยังคงเหมือนเดิม

แค่สักครั้ง ได้ไหมให้ฉันลืมเธอ
วิ่งไกลแค่ไหน หนีเท่าไร ไม่เคยจะพ้นเลย
เพราะว่าทุกครั้งที่ตัวฉันหลับตาลงมีแต่ภาพเธอ
ยิ่งฉันหนีไปไกลเท่าไรก็ยิ่งคิดถึงเธอ

ตอนนี้เธอยังตื่นอยู่ไหม จะอยู่กับใคร
หากฉันโทรไปหาจะรับสายไหม
หรือว่าเธอแค่เลื่อนผ่านฉันไป
ทำไมตรงนี้เหลือแต่ฉันที่ไม่เข้าใจ
การได้พบได้เจอผู้คนใหม่ๆ
มันกลับทำให้ฉันยิ่งคิดถึง

แต่ฉันก็ไม่รู้ว่าฉันพลาดตรงไหน
หรือว่าวันเวลายังผ่านไปนานไม่พอ
ไม่ว่านานเท่าไร ไม่ว่าคุยกับใคร
ยังคงเหมือนเดิม

แค่สักครั้ง ได้ไหมให้ฉันลืมเธอ
วิ่งไกลแค่ไหน หนีเท่าไร ไม่เคยจะพ้นเลย
เพราะว่าทุกครั้งที่ตัวฉันหลับตาลงมีแต่ภาพเธอ
ยิ่งฉันหนีไปไกลเท่าไรก็ยิ่งคิดถึงเธอ

เวลาไม่เคยช่วยฉัน
ยังมีแต่เธอเท่านั้น
วิ่งหนีเท่าไร ไกลคนละฝั่ง
ก็ยังคิดถึงเธอ

แต่ฉันก็ไม่รู้ว่าฉันพลาดตรงไหน
หรือว่าวันเวลายังผ่านไปนานไม่พอ
ไม่ว่านานเท่าไร ไม่ว่าคุยกับใคร
ยังคงเหมือนเดิม

สักครั้ง ได้ไหม ให้ฉันลืมเธอ
วิ่งไกลแค่ไหน หนีเท่าไร ไม่เคยจะพ้นเลย
เพราะว่าทุกครั้งที่ตัวฉันหลับตาลงมีแต่ภาพเธอ
ยิ่งฉันหนีไปไกลเท่าไรก็ยิ่งคิดถึงเธอ",three_man_down
คุยคนเดียวเก่ง,/music/thailyric/20643,"คืนนี้ทนไม่ไหว ถึงห้ามใจสักแค่ไหน
เป็นฉันเองที่ร้อนใจ เลยพลั้งมือกดทักไป
สุดท้ายเธอไม่สนใจ
และฉันเองต้องเสียใจ แบบเนี้ยทุกที

แชตนี้มันหนักขวา แต่ฉันยังไม่อ่อนล้า
ยังทักไปหาเรื่องคุย เป็นอย่างไร ยังห่วงใย
สุดท้ายเธอไม่สนใจ
เป็นฉันเองต้องเสียใจ แบบเนี้ยทุกที

เพราะทุกๆ ครั้งที่เธออ่านมันฉันก็ชื่นใจ
ยิ่งพอได้เห็นตอนเธอตอบมา เหมือนน้ำตาจะไหล
แค่เธอยังรู้ฉันอยู่ตรงนี้มันก็พอแล้วหัวใจ
ให้คุยคนเดียวก็ไม่เป็นไร

ได้คุยคนเดียวกับเธอก็ดีเท่าไร
เพราะฉันนั้นคุยคนเดียวเก่ง
หวังให้สักวันเธอคุยเก่ง

เธอคงจะคุยไม่เก่งเลยไม่ตอบฉัน
เธอคงจะคุยไม่เก่งเลยไม่สนใจกัน
เธอคงจะคุยไม่เก่งเธอเลยไม่รักกัน

เพราะทุกๆ ครั้งที่เธออ่านมันฉันก็ชื่นใจ
ยิ่งพอได้เห็นตอนเธอตอบมาเหมือนน้ำตาจะไหล
แค่เธอยังรู้ฉันอยู่ตรงนี้มันก็พอแล้วหัวใจ
ให้คุยคนเดียวก็ไม่เป็นไร

ได้คุยคนเดียวกับเธอก็ดีเท่าไร
เพราะฉันนั้นคุยคนเดียวเก่ง
หวังให้สักวันเธอคุยเก่ง",three_man_down
ไม่เคยมีดาวในเมืองใหญ่,/music/thailyric/20645,"อีกไม่กี่ชั่วโมงก็เช้าแล้ว
ทำไมฉันไม่หลับสักที
เปิดไปเจอภาพเธอในทีวี
ฉันคิดถึงเธอมากเหลือเกิน

ก็ไม่เคยคิดถึงใคร ขนาดนี้มาก่อน
อยากฝากความรักของฉันไปกับดาวบนฟ้า
แต่มันก็น่าเศร้าใจ ไม่เคยมีดาวในเมืองใหญ่
มองไปทีไรมีเพียงแสงไฟของรถยนต์

อีกไม่กี่นาทีก็เช้าแล้ว
ดูเหมือนว่าฉันคงไม่ได้นอน
ก็เลยเปิดเพลงฟัง เพลงที่เธอแชร์ไว้วันก่อน
หวังว่าคงร้องให้เธอฟังสักวัน

ก็ไม่เคยคิดถึงใคร ขนาดนี้มาก่อน
อยากฝากความรักของฉันไปกับดาวบนฟ้า
แต่มันก็น่าเศร้าใจ ไม่เคยมีดาวในเมืองใหญ่
มองไปทีไรมีเพียงแสงไฟของรถยนต์

แต่มันก็น่าเศร้าใจ ไม่เคยมีดาวในเมืองใหญ่
มองไปทีไรมีเพียงแสงไฟของรถยนต์

แต่มันก็น่าเศร้าใจ ไม่เคยมีดาวในเมืองใหญ่
มองไปทีไรมีเพียงแสงไฟของรถยนต์",three_man_down
รถฉันบินไม่ได้,/music/thailyric/20674,"ขับอยู่บนถนน เส้นที่เราเคยไปด้วยกัน
แต่วันนี้ไม่มีเธอ ไม่มีเธอ เหมือนในวันนั้น
หันไปเบาะข้างๆ ที่เคยมีเธอนั่งด้วยกัน
มองกระจกซ้ายก็ไม่เจอ ขวาก็ไม่เจอ
หรือฉันต้องขับถอยไปข้างหลัง

ให้รถคันนี้นั้นช่วยพาฉันไป
ไปนั่งลงตรงหน้าเธอ
ไกลแค่ไหนก็พร้อมเจอ
ถ้าเป็นเธอ ถ้าเป็นเธอ

หรือว่าเธอนั้นได้โบยบินขึ้นไป
อยู่บนฟ้าที่แสนไกล
รถของฉันบินไม่ได้
หมดสิทธิ์ตามเธอไปใช่ไหม

เปิดไปเจอเพลงนั้น ที่เราเคยนั่งร้องด้วยกัน
ในคืนที่ฝนโปรยลงมาคิดถึงแววตา
ที่เธอมองฉันในวันนั้น
ฝันถึงอ้อมกอดนั้น ฝันถึงตอนที่เราจูบกัน
มองกระจกซ้ายก็ไม่เจอ ขวาก็ไม่เจอ
หรือฉันต้องขับถอยไปข้างหลัง

ให้รถคันนี้นั้นช่วยพาฉันไป
ไปนั่งลงตรงหน้าเธอ
ไกลแค่ไหนก็พร้อมเจอ
ถ้าเป็นเธอ ถ้าเป็นเธอ

หรือว่าเธอนั้นได้โบยบินขึ้นไป
อยู่บนฟ้าที่แสนไกล
รถของฉันบินไม่ได้
หมดสิทธิ์ตามเธอไปใช่ไหม

ให้รถคันนี้นั้นช่วยพาฉันไป
ไปนั่งลงตรงหน้าเธอ
ไกลแค่ไหนก็พร้อมเจอ
ถ้าเป็นเธอ ถ้าเป็นเธอ

หรือว่าเธอนั้นได้โบยบินขึ้นไป
อยู่บนฟ้าที่แสนไกล
รถของฉันบินไม่ได้
หมดสิทธิ์ตามเธอไปใช่ไหม",three_man_down
หมดไอจี,/music/thailyric/20658,"ดันไปแอบชอบคนที่เขานั้นคงไม่ชอบกลับมา
แล้วตัวฉันต้องทำเช่นไร กดฟอลโล่วไปเธอไม่ฟอลกลับมา
ต่อให้ฉันนั้นไลก์รูปเธอจนหมดไอจีก็ไม่มีทีท่า
ว่าเธอนั้นจะมองกลับมา จะมองกลับมาที่ฉันสักหน่อย

แอบไปไลก์รูปเธอสักหน่อย
ส่องสตอรี่เธอบ่อยๆ
ไลก์ให้รู้ว่ารักแล้วอีกสักพักฉันคงจะทักไป

แอบไปไลก์รูปเธอสักหน่อย
ส่องสตอรี่เธอบ่อยๆ
ไลก์ให้รู้ว่ารักแล้วอีกสักพักฉันคงจะบ้าตาย

ดันไปแอบชอบคนที่เขานั้นคงไม่ชอบกลับมา
แล้วตัวฉันต้องทำเช่นไร กดฟอลโล่วไปเธอไม่ฟอลกลับมา
ต่อให้ฉันนั้นไลก์รูปเธอจนหมดไอจีก็ไม่มีทีท่า
ว่าเธอนั้นจะมองกลับมา จะมองกลับมาที่ฉันสักหน่อย

ดันไปแอบชอบคนที่เขานั้นคงไม่ชอบกลับมา
แล้วตัวฉันต้องทำเช่นไร กดฟอลโล่วไปเธอไม่ฟอลกลับมา
ต่อให้ฉันนั้นไลก์รูปเธอจนหมดไอจีก็ไม่มีทีท่า
ว่าเธอนั้นจะมองกลับมา จะมองกลับมาที่ฉันสักหน่อย

ดันไปแอบชอบคนที่เขานั้นคงไม่ชอบกลับมา
แล้วตัวฉันต้องทำเช่นไร กดฟอลโล่วไปเธอไม่ฟอลกลับมา
ต่อให้ฉันนั้นไลก์รูปเธอจนหมดไอจีก็ไม่มีทีท่า
ว่าเธอนั้นจะมองกลับมา จะมองกลับมาที่ฉันสักหน่อย",three_man_down
กอดเธอคืนนี้,/music/thailyric/19494,"ความทุกข์ที่มันเวียนวน ไม่ผ่านไม่พ้นหัวใจไป
เจ็บช้ำมากมายเท่าไร ยิ่งคิดยิ่งทำให้เสียใจ
ชีวิตที่เคยว่าดี ผิดหวังพลาดพลั้งไม่เหลือใคร
สุดท้ายถ้าเธอเสียใจ ก็ปล่อยมันไป

ร้องไห้มันออกมา น้ำตาที่รินไหล
จะโอบกอดเธอเอาไว้ แค่ปล่อยมันไป
ร้องไห้มันออกมา น้ำตาที่รินไหล
จะโอบกอดเธอเอาไว้ แค่ปล่อยมันไป

วันนี้ที่เธอเสียใจ เธอคิดว่าเธอไม่เหลือใคร
พรุ่งนี้เธอเองจะรู้ แค่ปล่อยมันไป

ร้องไห้มันออกมา น้ำตาที่รินไหล
จะโอบกอดเธอเอาไว้ แค่ปล่อยมันไป
ร้องไห้มันออกมา น้ำตาที่รินไหล
จะโอบกอดเธอเอาไว้ แค่ปล่อยมันไป

เสียใจมากแค่ไหน รับมันแทบไม่ไหว
ให้รู้ว่าเธอยังมีฉัน ที่กอดเธอไว้",three_man_down
ของที่เธอไม่ต้องการ,/music/thailyric/11567,"เธอเคาะประตู ตอนเที่ยงคืน
ในใจคงหวังให้ฉันตื่น
เธอเอาข้าวของมากองกับพื้น
และสิ่งที่บอกกับฉัน
คือในวันนี้ตัวเธอจะลา

จากไปกับเขา
ไม่มีความลังเลใดๆ ในใจ
และในวันพรุ่งนี้ตัวฉันต้องอยู่ให้ไหว
โดยที่ไม่มีเธอ เหลือแค่ฉัน
โอ้ ลาก่อนที่รัก

เธอ เธอ เธอ เตรียมใจมาแล้ว
และพร้อมที่จะจากไป
โดยไม่ต้องแคร์อะไร
แต่ว่าฉันนั้น คงจะทนไม่ไหว
ถ้าหากความรักจากไป
อยากจะขอให้เธออยู่ ก่อนได้ไหม

และเหมือนว่าผ่านเที่ยงคืนมานาน
คงเหลือแค่ฉันที่ทรมาน
อยู่กับข้าวของที่เธอไม่ต้องการ
เปรียบเช่นเดียวกับฉัน
ที่เธอต้องการลา

จากไปกับเขา
ไม่มีความลังเลใดๆ ในใจ
และในวันพรุ่งนี้ตัวฉันต้องอยู่ให้ไหว
โดยที่ไม่มีเธอ เหลือแค่ฉัน
โอ้ ลาก่อนที่รัก

เธอ เธอ เธอ เตรียมใจมาแล้ว
และพร้อมที่จะจากไป
โดยไม่ต้องแคร์อะไร
แต่ว่าฉันนั้น คงจะทนไม่ไหว
ถ้าหากความรักจากไป
อยากจะขอให้เธออยู่ ก่อนได้ไหม

เพราะว่าเธอ เธอ เธอ เตรียมใจมาแล้ว
และพร้อมที่จะจากไป
โดยไม่ต้องแคร์อะไร
แต่ว่าฉันนั้น คงจะทนไม่ไหว
ถ้าหากความรักจากไป
อยากจะขอให้เธออยู่ ก่อนได้ไหม",three_man_down
ข้างกัน (City),/music/thailyric/13667,"เธออยู่ตรงนั้น ยืนอยู่ข้างฉัน
ฉันไม่เคยแม้แต่ฝัน ว่าจะได้พบเธอท่ามกลาง
คนทั้งเมืองอีกเป็นล้าน โดยไม่ต้องตามหาใคร
เมื่อเธอครอบครองฉัน

ฉันเคยเป็นอีกคน ในเมืองแห่งความเหงาใจ
ที่ไม่เคยมีตัวตน จนเธอเข้ามาครอบครองหัวใจ
เหมือนว่าห้องของฉันกลับเปลี่ยนสีไป
มันสวยงามเกินกว่าจะพบได้ที่ใด

โอ้เวลา ดังหยุดเคลื่อนไหว
เมืองนี้ไม่เหงาอีกต่อไป แค่วันนี้ฉันมีเธอ

เธออยู่ตรงนั้น ยืนอยู่ข้างฉัน
ฉันไม่เคยแม้แต่ฝัน ว่าจะได้พบเธอท่ามกลาง
คนทั้งเมืองอีกเป็นล้าน โดยไม่ต้องตามหาใคร
เมื่อเธอครอบครองฉัน

หากวันหนึ่งมีสิ่งใด มาทำให้เราไม่เข้าใจ
อยากบอกเธอเอาไว้ หากฉันผิดไปฉันขอโทษ

เหมือนว่าโลกของเราได้เปลี่ยนสีไป
มันสวยงามเกินกว่าจะพบได้ที่ใด
โอ้เวลา ดังหยุดเคลื่อนไหว
เมืองนี้ไม่เหงาอีกต่อไป ต่อจากนี้ฉันมีเธอ

เธออยู่ตรงนั้น ยืนอยู่ข้างฉัน
ฉันไม่เคยแม้แต่ฝัน ว่าจะได้พบเธอท่ามกลาง
คนทั้งเมืองอีกเป็นล้าน โดยไม่ต้องตามหาใคร
เมื่อเธอครอบครองฉัน

เหมือนว่าโลกของเราได้เปลี่ยนสีไป
มันสวยงามเกินกว่าจะพบได้ที่ใด
โอ้เวลา ดังหยุดเคลื่อนไหว
เมืองนี้ไม่เหงาอีกต่อไป ต่อจากนี้ฉันมีเธอ
เธออยู่ตรงนั้น ยืนอยู่ข้างฉัน
ฉันไม่เคยแม้แต่ฝัน ว่าจะได้พบเธอท่ามกลาง
คนทั้งเมืองอีกเป็นล้าน โดยไม่ต้องตามหาใคร
เมื่อเธอครอบครองฉันกัน

จะกอดเธอไว้ ไม่ให้ไปไหน
เพราะวันนี้ไม่ใช่ฝัน นับตั้งแต่เธอเข้ามา
หัวใจของฉัน ก็ไม่ต้องตามหาใคร
เมื่อเธอครอบครองฉัน",three_man_down
คนเศร้า 2019,/music/thailyric/17343,"เพราะว่าปีที่ผ่าน
ดวงความรักฉันไม่ค่อยจะดี
พอร้องไห้คนเดียวนานๆ
มันยิ่งทำให้ฉันเศร้าไปทุกที

ขอโทษนะที่ฉันแชร์แต่เพลงเศร้า
ขอโทษนะ ที่ฉันพูดถึงแต่เขา
ขอโทษนะ ที่ฉันไม่เหมือนเก่า
ปีนี้ฉันคงต้องเริ่ม เริ่มใหม่สักที

พอฝนตกลงมาฉันก็คิดถึงแต่เธอ
ตอนหน้าร้อนที่เราไม่ได้เจอ
ในฤดูหนาว ฉันก็ได้แต่ละเมอ
ตอนสุดท้ายก็ไม่มีเธอ

ขอโทษนะที่ฉันแชร์แต่เพลงเศร้า
ขอโทษนะ ที่ฉันพูดถึงแต่เขา
ขอโทษนะ ที่ฉันไม่เหมือนเก่า
ปีนี้ฉันคงต้องเริ่ม เริ่มใหม่สักที

ก็มันผ่านไปแล้วก็ต้องให้มันผ่านไป
เธอไปแล้ว จะให้ฉันทำยังไง
จบไปแล้วก็ไม่ต้องไปเสียใจ
ในปีหน้าฉันต้องเป็นคนใหม่

ขอโทษนะที่ฉันแชร์แต่เพลงเศร้า
ขอโทษนะ ที่ฉันพูดถึงแต่เขา
ขอโทษนะ ที่ฉันไม่เหมือนเก่า
ปีนี้ฉันคงต้องเริ่ม เริ่มใหม่สักที

ก็มันผ่านไปแล้วก็ต้องให้มันผ่านไป
เธอไปแล้ว จะให้ฉันทำยังไง
จบไปแล้วก็ไม่ต้องไปเสียใจ
ในปีหน้าฉันต้องเป็นคนใหม่",three_man_down
