song_name,href,lyric,artist
แก้มเจ้าอ่องต่อง,/music/thailyric/20520,"โอ้วมาเป็นตาฮัก มาเป็นตาแพงแท้เด้ผู้สาว
พ่อกับแม่ของเจ้าเพิ้นเฮดแนวใด๋
ซ่างมางามแท้เด้เหลี่ยวเบิ่งแก้มเจ้ามาอ่องต่อง
แก้มของเจ้าน่ามองกว่าสิ่งใด

หลงอ้ายหลงเจ้าเบิดหัวใจ
ไปทางใด๋ บ่ได้เลย
ฮัก อ้ายฮัก เจ้าแล้วอีนางเอย
ใจบอกเลยตัวจริง

วอนดวงดาราส่องแสงนำพาให้มาพบเจอ
เธอเท่านั้นคือเธอเท่านั้นในชีวิตนี้
วอนดาวบนฟ้าบอกว่าพี่หนารักเธอด้วยใจ
หากบ่มีไผ ขอร้องเปิดใจให้อ้ายได้บ่

โอ้วมาเป็นตาฮัก มาเป็นตาแพงแท้เด้ผู้สาว
พ่อกับแม่ของเจ้าเพิ้นเฮดแนวใด๋
ซ่างมางามแท้เด้เหลี่ยวเบิ่งแก้มเจ้ามาอ่องต่อง
จริงที่ใจบอกจองต้องมองที่แก้ม

หลงอ้ายหลงเจ้าเบิดหัวใจ
ไปทางใด๋ บ่ได้เลย
ฮัก อ้ายฮัก เจ้าแล้วอีนางเอย
ใจบอกเลยตัวจริง

วอนดวงดาราส่องแสงนำพาให้มาพบเจอ
เธอเท่านั้นคือเธอเท่านั้นในชีวิตนี้
วอนดาวบนฟ้าบอกว่าพี่หนารักเธอด้วยใจ
หากบ่มีไผ ขอร้องเปิดใจให้อ้ายได้บ่

หลงอ้ายหลงเจ้าเบิดหัวใจ
ไปทางใด๋ บ่ได้เลย
ฮัก อ้ายฮัก เจ้าแล้วอีนางเอย
ใจบอกเลยตัวจริง

วอนดวงดาราส่องแสงนำพาให้มาพบเจอ
เธอเท่านั้นคือเธอเท่านั้นในชีวิตนี้
วอนดาวบนฟ้าบอกว่าพี่หนารักเธอด้วยใจ
หากบ่มีไผ ขอร้องเปิดใจให้อ้ายได้บ่

วอนดวงดาราส่องแสงนำพาให้มาพบเจอ
เธอเท่านั้นคือเธอเท่านั้นในชีวิตนี้
วอนดาวบนฟ้าบอกว่าพี่หนารักเธอด้วยใจ
หากบ่มีไผ ขอร้องเปิดใจให้อ้ายได้บ่",toey_apiwat
ไข่เน่า,/music/thailyric/15277,"กะเข้าใจอ้ายกะฮู้โตดี
ตัวอ้ายนี้คือจังหมาหัวเน่า
เบิ่ดความหมายเบิดประโยชน์ให้เจ้า
คือขี้เถาที่เจ้าเขี่ยถิ่มไป

บอกว่าฮัก ฮักเจ้าหลายเบิดใจ
น้ำตาไหลใจให้ไป บ่มีค่า
ย่างไปไสมีแต่คนเขาซา
กะฮู้ว่าน้องไปมีผู้ใหม่
แต่อ้ายกะยอม

น้ำตาอ้ายไหลหย่าวๆ
เมื่อเจ้าบอกว่า เฮาเลิกกันสา
น้องหล่าขาอ้ายมันหรอย

เก็บเอาไว้สาก่อน อย่าฟ้าวถิ่มอ้ายไป
อย่าไปไส อยู่กับอ้ายจักคราวได้บ่
ฮักเจ้าเบิดหัวใจ บ่มีความหมายกับเจ้าบ้นาง
ถิ่มอ้ายคือไข่ฮ้างฮัง เหม็นเน่าโยนถิ่มโลดติ

บอกว่าฮัก ฮักเจ้าหลายเบิดใจ
น้ำตาไหลใจให้ไป บ่มีค่า
ย่างไปไสมีแต่คนเขาซา
กะฮู้ว่าน้องไปมีผู้ใหม่
แต่อ้ายกะยอม

น้ำตาอ้ายไหลหย่าวๆ
เมื่อเจ้าบอกว่า เฮาเลิกกันสา
น้องหล่าขาอ้ายมันหรอย

เก็บเอาไว้สาก่อน อย่าฟ้าวถิ่มอ้ายไป
อย่าไปไส อยู่กับอ้ายจักคราวได้บ่
ฮักเจ้าเบิดหัวใจ บ่มีความหมายกับเจ้าบ้นาง
ถิ่มอ้ายคือไข่ฮ้างฮัง เหม็นเน่าโยนถิ่มโลดติ

เก็บเอาไว้สาก่อน อย่าฟ้าวถิ่มอ้ายไป
อย่าไปไส อยู่กับอ้ายจักคราวได้บ่
ฮักเจ้าเบิดหัวใจ บ่มีความหมายกับเจ้าบ้นาง
ถิ่มอ้ายคือไข่ฮ้างฮัง เหม็นเน่าโยนถิ่มโลดติ

ถิ่มอ้ายคือไข่ฮ้างฮัง เหม็นเน่าโยนถิ่มโลดติ",toey_apiwat
คนสำคัญ,/music/thailyric/19651,"สิเติมพลังให้เด้อ ให้เธอมีแฮง
ให้เธอแข็งแรง สิเบิ่งแยงสุมื้อ
ถ่าให้กำลังใจ ยามเมื่อยจับมือ
กะย้อนเธอคือ คนสำคัญของอ้าย

มื้อนี้เจ้านั้นเมื่อยบ่ มื้อนี้เจ้านั้นท้อบ่
พอสู้ไหวบ่น้อหัวใจ ลุกขึ้นมาฟ้าวหย่างต่อ
อย่าฟ้าวถิ่มความฝันไป อ้ายมีกำลังใจให้เด้อ

รู้ว่าเธอต้องทำได้ ตามความฝันของเธอ
ฮู้ไว้เด้อว่าสิส่งฮักส่งแฮงไปให้

สิเติมพลังให้เด้อ ให้เธอมีแฮง
ให้เธอแข็งแรง สิเบิ่งแยงสุมื้อ
ถ่าให้กำลังใจ ยามเมื่อยจับมือ
กะย้อนเธอคือ คนสำคัญของอ้าย

สิเติมพลังให้เด้อ ยามเธอเบิดแฮง
ให้เธอแข็งแรงทุกเช้าวันใหม่
เป็นเทิงอ้ายเทิงหมู่ เป็นคนที่อยู่ในใจ
ทรีอินวันเลยไหม ย้อนฮักหลายเด้อ

ไปเตะบอลนำอ้ายบ่ ไปแล่นเล่นนำอ้ายบ่
อ้ายสิพาแล่นเลาะบ้านอ้าย
หรือสิไปเล่นดนตรี อ้ายสิสอนร้องเพลงให้
ทรีอินวันเลยไหมคนดี

รู้ว่าเธอต้องทำได้ ตามความฝันของเธอ
ฮู้ไว้เด้อว่าสิส่งฮักส่งแฮงไปให้

สิเติมพลังให้เด้อ ให้เธอมีแฮง
ให้เธอแข็งแรง สิเบิ่งแยงสุมื้อ
ถ่าให้กำลังใจ ยามเมื่อยจับมือ
กะย้อนเธอคือ คนสำคัญของอ้าย

สิเติมพลังให้เด้อ ยามเธอเบิดแฮง
ให้เธอแข็งแรงทุกเช้าวันใหม่
เป็นเทิงอ้ายเทิงหมู่ เป็นคนที่อยู่ในใจ
ทรีอินวันเลยไหม ย้อนฮักหลายเด้อ

สิเติมพลังให้เด้อ ให้เธอมีแฮง
ให้เธอแข็งแรง สิเบิ่งแยงสุมื้อ
ถ่าให้กำลังใจ ยามเมื่อยจับมือ
กะย้อนเธอคือ คนสำคัญของอ้าย

สิเติมพลังให้เด้อ ยามเธอเบิดแฮง
ให้เธอแข็งแรงทุกเช้าวันใหม่
เป็นเทิงอ้ายเทิงหมู่ เป็นคนที่อยู่ในใจ
ทรีอินวันเลยไหม ย้อนฮักหลายเด้อ

เป็นเทิงอ้ายเทิงหมู่ เป็นคนที่อยู่ในใจ
ทรีอินวันเลยไหม ย้อนฮักหลายเด้อ",toey_apiwat
คิดฮอดแฮง,/music/thailyric/14665,"ใจยังคงโหยหา ทุกเวลาเจ้าไปอยู่ไส
วันที่เจ้าจากไป อ้ายยังจำบ่ลืม
ในคืนวันเงียบเหงา บ่มีเจ้าน้ำตายังไหล
เจ้าคงมีคนใหม่แล้วน้อ

ฮื้อ ฮือ ฮือ ฮือ ฮื่อ
ฮื้อ ฮือ ฮือ ฮือ ฮื่อ
คิดฮอดเจ้าเด้ คิดฮอดแฮง

น้ำตาอ้ายไหล หัวใจพังเพ
ชีวิตโลเล เจ็บคักแท้เด้ ฮู้บ่น้องหล่า
เมื่อเจ้าบอกว่า เฮาเลิกกันสา
ฮู้บ่น้ำตาของอ้ายนั่นหนา ไหลหยาวย้อยๆ
แหละต่อตากนี้ชีวิตของอ้าย
ต้องพังทลายบ่แม่นฝันร้ายปางตายน้องหล่า
ที่หยดน้ำตาที่ไหลออกมา
ทุกการกระทำ อ้ายยังจดจำบ่เคยลืมเจ้า

ฮื้อ ฮือ ฮือ ฮือ ฮื่อ
ฮื้อ ฮือ ฮือ ฮือ ฮื่อ
คิดฮอดเจ้าเด้ คิดฮอดแฮง

ฮื้อ ฮือ ฮือ ฮือ ฮื่อ
ฮื้อ ฮือ ฮือ ฮือ ฮื่อ
คิดฮอดเจ้าเด้ คิดฮอดแฮง

ฮื้อ ฮือ ฮือ ฮือ ฮื่อ
ฮื้อ ฮือ ฮือ ฮือ ฮื่อ
คิดฮอดเจ้าเด้ คิดฮอดแฮง

ฮื้อ ฮือ ฮือ ฮือ ฮื่อ
ฮื้อ ฮือ ฮือ ฮือ ฮื่อ
คิดฮอดเจ้าเด้ คิดฮอดแฮง",toey_apiwat
โดนแล้วหนา,/music/thailyric/22211,"โดนแล้วหนาบ่ได้พ้อ
ยังจำได้บ่หนอ
ที่เฮาเคยเล่นแม่พ่อ
จำได้บ่ เจ้าจำได้บ่

ตอนน้อยๆ บ่เป็นจั่งซี่
เจ้าจ่อยและแหล่ปี้ลี้
บ่สวยบ่งามแนวนี้
มามื้อนี่คือเปลี่ยนไป

บ่คิดบ่ฝัน
เล่นนำกันมาแต่น้อย
ใหญ่ขึ้นมาสิงามหลาย

งามปานนางฟ้า ปานเทพธิดาสวรรค์ทั้งหมด
อยากจะอวยยศให้หมดทั้งใจเพื่อเธอคนนี้
อยากบอกคนดีว่าพี่คนนี้หลงรักเจ้าแล้ว
หากบุญบ่แคล้ว บักแข่วคนนี้ขอมักเจ้าเด้อ

โดนแล้วหนาบ่ได้พ้อ
ยังจำได้บ่หนอ
ที่เฮาเคยเล่นแม่พ่อ
จำได้บ่เจ้าจำได้บ่

ตอนน้อยๆ บ่เป็นจั่งซี่
เจ้าจ่อยและแหล่ปี้ลี้
บ่สวยบ่งามแนวนี้
มามื้อนี่คือเปลี่ยนไป

บ่คิดบ่ฝัน
เล่นนำกันมาแต่น้อย
ใหญ่ขึ้นมาสิงามหลาย

งามปานนางฟ้าปาน เทพธิดาสวรรค์ทั้งหมด
อยากจะอวยยศให้หมดทั้งใจเพื่อเธอคนนี้
อยากบอกคนดีว่าพี่คนนี้หลงรักเจ้าแล้ว
หากบุญบ่แคล้ว บักแข่วคนนี้ขอมักเจ้าเด้อ

จำได้ดี ยังจำบ่ลืม
ลืมกันได้แนวใด๋
ถึงมื้อนี้หน้าตาสิเปลี่ยนไป
แต่หัวใจคือเก่า

จำได้ดี ยังจำบ่ลืม
ลืมกันได้แนวใด๋
ถึงมื้อนี้หน้าตาสิเปลี่ยนไป
แต่หัวใจคือเก่า

งามปานนางฟ้าปาน เทพธิดาสวรรค์ทั้งหมด
อยากจะอวยยศให้หมดทั้งใจเพื่อเธอคนนี้
อยากบอกคนดีว่าพี่คนนี้หลงรักเจ้าแล้ว
หากบุญบ่แคล้ว บักแข่วคนนี้ขอมักเจ้าเด้อ

งามปานนางฟ้าปาน เทพธิดาสวรรค์ทั้งหมด
อยากจะอวยยศให้หมดทั้งใจเพื่อเธอคนนี้
อยากบอกคนดีว่าพี่คนนี้หลงรักเจ้าแล้ว
หากบุญบ่แคล้ว บักแข่วคนนี้ขอมักเจ้าเด้อ",toey_apiwat
ถ้าอ้ายหน้าใหม่,/music/thailyric/16923,"ถ้าอ้ายหน้าใหม่ น้องนางเอิงเอย
สิมีใจให้อ้ายแนบ่น้อ

หน้าอ้ายบ่ขาวใส คำนางเลยบ่มีใจ
ฮักเจ้าเขาเอาไปฮู้อยู่
อ้ายมันคนบ่หล่อ ขอเว่านำแหน่ได้บ่
เจ้าใช้ครีมหยังหนอ ใจคือดำแท้

จอบซ้อมเบิ่ง แนมเบิ่งเจ้าไปกับเขา
บ่อยากกินฮอดข้าวฮู้บ่

ถ้าอ้ายหน้าใหม่ น้องนางเอิงเอย
สิมีใจให้อ้ายแนบ่น้อ
ถ้าอ้ายรูปหล่อคือเขาฮักได้บ่
อ้ายสิขอเปลี่ยนแปลงเพื่อเจ้า

ถ้าอ้ายหน้าใสน้องนางเอิงเอย
สิมีใจให้อ้ายแนบ่น้อ
ถ้าอ้ายหน้าขาวออร่าขอได้บ่
อ้ายสิขอ ขอ ขอเจ้าเป็นแฟน

อ้ายมันคนบ่หล่อ ขอเว่านำแหน่ได้บ่
เจ้าใช้ครีมหยังหนอ ใจคือดำแท้

จอบซ้อมเบิ่ง แนมเบิ่งเจ้าไปกับเขา
บ่อยากกินฮอดข้าวฮู้บ่

ถ้าอ้ายหน้าใหม่ น้องนางเอิงเอย
สิมีใจให้อ้ายแนบ่น้อ
ถ้าอ้ายรูปหล่อคือเขาฮักได้บ่
อ้ายสิขอเปลี่ยนแปลงเพื่อเจ้า

ถ้าอ้ายหน้าใสน้องนางเอิงเอย
สิมีใจให้อ้ายแนบ่น้อ
ถ้าอ้ายหน้าขาวออร่าขอได้บ่
อ้ายสิขอ ขอ ขอเจ้าเป็นแฟน

จอบซ้อมเบิ่ง แนมเบิ่งเจ้าไปกับเขา
บ่อยากกินฮอดข้าวฮู้บ่

ถ้าอ้ายหน้าใหม่ น้องนางเอิงเอย
สิมีใจให้อ้ายแนบ่น้อ
ถ้าอ้ายรูปหล่อคือเขาฮักได้บ่
อ้ายสิขอเปลี่ยนแปลงเพื่อเจ้า

ถ้าอ้ายหน้าใสน้องนางเอิงเอย
สิมีใจให้อ้ายแนบ่น้อ
ถ้าอ้ายหน้าขาวออร่าขอได้บ่
อ้ายสิขอ ขอ ขอเจ้าเป็นแฟน",toey_apiwat
เป็นจังได๋อีนาง,/music/thailyric/17897,"ลืมจั่งได๋มันลืมบ่ได้ดอกหล่า
แม้เวลาสิโดนปานได๋กะส่าง
ฮักเพฮ้างม้างมนตื่มถิ่มเบิ่ดใจ
เฮ็ดจั่งได๋กะคงบ่ลืม

เจ้าไปอยู่ไส เป็นจั่งได๋อีนาง
ความอ้างว้าง มันกัดกินหัวใจ

อยากบอกว่ายังฮัก ฮักแค่เพียงเจ้า
แม้มื้อนี้สิเหงา คำว่าเฮาบ่มีความหมาย
หากว่ายังบ่ตาย อ้ายยังหายใจ
อยากให้รู้เอาไว้ ในหัวใจมีเจ้าผู้เดียว

ทางมื้อนี้สิเปลี่ยว เหลียวบ่เห็นอิหยัง
ใจพังๆ ยังฮักแต่เจ้า

ฟังเด้อหล่า แม่สิเว่าสูฟัง อันว่าความฮักนั่น
เธอซั่นมาเป็นคู่ มาฮ่วมอยู่ฮ่วมสร้าง ฮักฮ้างกุมเพ
ใจโลเล มันบ่เป็นใจคน สัปดนเวียนวน
วุ่นวายหลายอย่าง มาฮ้างฮ้าง ม้าง ม้าง
สิมาว่างดอกเฮ็ดหยัง โอ โฮะ โอ โฮะ โอ
โอ โฮะ โอ โฮะ โอ โอ

เจ้าไปอยู่ไส เป็นจั่งได๋อีนาง
ความอ้างว้าง มันกัดกินหัวใจ

อยากบอกว่ายังฮัก ฮักแค่เพียงเจ้า
แม้มื้อนี้สิเหงา คำว่าเฮาบ่มีความหมาย
หากว่ายังบ่ตาย อ้ายยังหายใจ
อยากให้รู้เอาไว้ ในหัวใจมีเจ้าผู้เดียว

ทางมื้อนี้สิเปลี่ยว เหลียวบ่เห็นอิหยัง
ใจพังๆ ยังฮักแต่เจ้า
โอ โฮะ โอ โฮะ โอ
โอ โฮะ โอ โฮะ โอ",toey_apiwat
ฟ้าวกลับมาเด้อนางเด้อ,/music/thailyric/14695,"แสงตะเวนบ่คอยท่า
นกอีกาบินกลับฮัง
คนทางนั้นเมื่อได้ฟัง
คิดฮอดกันอยู่บ่หล่า
คนทางนี้ยังรออยู่
ให้เจ้าฮู้ฟ้าวกลับมา
นำความฮู้ปริญญา
ฟ้าวกลับมาเด้อนางเด้อ

ฟ้าวกลับมาเด้อนางเด้อ

ยังคอยยังท่าอยู่คือเก่า
หวังว่าเจ้าสินำความรู้มาสู่บ้าน
ตั้งใจเล่าเรียนอย่าขี้คร้าน
เฮ็ดการบ้านส่งครูเพิ่นแหน่เด้อ
ให้คิดว่าคนที่ครองท่า
เพิ่นต้องหาเงินส่งให้เฮาเรียน
อย่าหลงแสงสีจนใจเปลี่ยน
ให้พากเพียรตั้งใจเรียนเด้อหล่าเด้อ

ยังรอคอยอย่างมีความหวังแม้นานเท่าไร
ขอให้เฮา กลับมาพร้อมหน้าพร้อมตา

แสงตะเวนบ่คอยท่า
นกอีกาบินกลับฮัง
คนทางนั้นเมื่อได้ฟัง
คิดฮอดกันอยู่บ่หล่า
คนทางนี้ยังรออยู่
ให้เจ้าฮู้ฟ้าวกลับมา
นำความฮู้ปริญญา
ฟ้าวกลับมาเด้อนางเด้อ

ฟ้าวกลับมาเด้อนางเด้อ

แสงตะเวนบ่คอยท่า
นกอีกาบินกลับฮัง
คนทางนั้นเมื่อได้ฟัง
คิดฮอดกันอยู่บ่หล่า
คนทางนี้ยังรออยู่
ให้เจ้าฮู้ฟ้าวกลับมา
นำความฮู้ปริญญา
ฟ้าวกลับมาเด้อนางเด้อ

ฟ้าวกลับมาเด้อนางเด้อ",toey_apiwat
มีแฮงหลาย,/music/thailyric/18789,"เจ้านั่นฮู้บ่นาง ว่าในความอ้างว้าง
อ้ายมีเจ้าที่เป็นแรงใจ เหงื่อทุกหยดที่ไหล
งานจะเหนื่อยเพียงไหน สิ้นมลายแค่เจ้ายิ้มมา
เจ้าคือกำลังใจของอ้าย ฮักเจ้าหลาย โอ๊ยฮักเจ้าหลาย
เรื่องร้ายๆ สู้ไหวแค่เพียงเจ้าอยู่

หล่าคำนางแก้วตาคือชีวิตอ้าย
ขอบใจหลายที่เข้ามาในชีวิต

หากวันนี้อ้ายบ่มีเจ้า โลกคงเหงาคงเศร้าเดียวดาย
ขอบใจหลาย ฮักเจ้าหลาย เด้อน้องหล่า

ไม่ว่าจะทำงานหนัก ทั้งวันจนดึกสักเพียงใด
เมื่อคืนเต็มที่เช้านี้ได้อีก เจอเธอแต่เช้ายอดดวงใจ
มีเธอตื่นพร้อมสู้งานไป ร่างกายสมองบอกว่าไหว
เธอคือกำลังเธอคือชูใจ โอ๊ยมีแฮงเด้

ที่รักจ๋า ขอบคุณที่เข้ามาในชีวิต
ไม่รู้ว่าโชคชะตาหรือพรหมลิขิตให้มาใกล้ชิด
ขอบคุณสวรรค์ชั้นฟ้าหรือเทวดาที่มอบชีวิต
ขอบคุณที่ลิขิตให้ชีวิตผมได้มีเธอในวันนี้

หล่าคำนางแก้วตาคือชีวิตอ้าย
ขอบใจหลายที่เข้ามาในชีวิต

หากวันนี้อ้ายบ่มีเจ้า โลกคงเหงาคงเศร้าเดียวดาย
ขอบใจหลาย ฮักเจ้าหลาย เด้อน้องหล่า
หล่าคำนางแก้วตาคือชีวิตอ้าย
ขอบใจหลายที่เข้ามาในชีวิต

หากวันนี้อ้ายบ่มีเจ้า โลกคงเหงาคงเศร้าเดียวดาย
ขอบใจหลาย ฮักเจ้าหลาย เด้อน้องหล่า

ไม่ว่าจะทำงานหนัก ทั้งวันจนดึกสักเพียงใด
เมื่อคืนเต็มที่เช้านี้ได้อีก เจอเธอแต่เช้ายอดดวงใจ
มีเธอตื่นพร้อมสู้งานไป ร่างกายสมองบอกว่าไหว
เธอคือกำลังเธอคือชูใจ โอ๊ยมีแฮงเด้

ที่รักจ๋า ขอบคุณที่เข้ามาในชีวิต
ไม่รู้ว่าโชคชะตาหรือพรหมลิขิตให้มาใกล้ชิด
ขอบคุณสวรรค์ชั้นฟ้าหรือเทวดาที่มอบชีวิต
ขอบคุณที่ลิขิตให้ชีวิตผมได้มีเธอในวันนี้",toey_apiwat
รักแท้เด้,/music/thailyric/20766,"สาวซำน้อย ปากแว้ ตาคมหลาย
สบตาแล้วละลาย อ้ายตกหลุมฮักเจ้าทันที
ตั้งแต่มื้อนั้น และความฮัก คือกันกับอาหาร
บางจานแซ่บจัดจ้าน บางจานมันหอม บางจานนัว
โอ๊ยมันแซ่บหลายแท้

ถ้าฮักเป็นแตง มันกะเป็นตาพอย
เคี้ยวกรุบน้ำย้อย มันชื้นใจอ้ายหลาย
ไผเคยเหงาจะฮู้มันแทบตาย
จนพ้อความฮัก มันอิ่มล้นหัวใจ

อยากจะ Say ซาเรฮัง ซารังเฮ
เว่าเรแท้ดั๊ก เอ้ารักแท้เด้ ให้ฟังทุกเทื่อ
Happy day วันนี้อ้ายมีความสุข
อ้ายจะ ยิ้ม ยิ้ม ยิ้ม ยิ้ม ยิ้ม จนน้องบอกพอแล้ว

น้องเหนื่อยแล้ว อย่ายิ้มหลาย

เจอควายอ้ายก็ยิ้มให้ พ้อหมู่ พ้อฝูง อ้ายก็หัวให้
เจอบักอึ เจอบักเขียบ เจอบักขาม บักส้มโอ
บักแตงโม บักสีดา อ้ายก็ยิ้มให้
ความฮักก็เหมือนปลูกหัวมัน เฮาฝังมันอยู่ในดิน
รอมันโต ขุดมานึ่ง ขุดมาต้ม เอามาทอด
โอ้ยมันกรอบกร้วบๆ อีหยังมันแซ่บจั่งซี่
ความฮักนี่ มันช่างดีแท้น้อ

โอ้ อ้าย เบิ่งอาการก็สิหนักละเนาะ เบิ่งเพ้อๆ
เบิ่งลอยๆ ใกล้บ่พอละเนาะ คนอีหยังพ้อมื้อใด๋
กะมักยิ้ม ยิ้ม ยิ้ม ยิ้ม ยิ้ม ยิ้ม
น้องนี่เมื่อยใจหลาย น้องเมื่อยหลาย

อยากจะ Say ซาเรฮัง ซารังเฮ
เว่าเรแท้ดั๊ก เอ้ารักแท้เด้ ให้ฟังทุกเทื่อ
Happy day วันนี้อ้ายมีความสุข
อ้ายจะ ยิ้ม ยิ้ม ยิ้ม ยิ้ม ยิ้ม จนน้องบอกพอแล้ว

น้องเหนื่อยแล้ว อย่ายิ้มหลาย

อยากจะ Say ซาเรฮัง ซารังเฮ
เว่าเรแท้ดั๊ก เอ้ารักแท้เด้ ให้ฟังทุกเทื่อ
Happy day วันนี้อ้ายมีความสุข
อ้ายจะ ยิ้ม ยิ้ม ยิ้ม ยิ้ม ยิ้ม จนน้องบอกพอแล้ว

น้องเหนื่อยแล้ว อย่ายิ้มหลาย",toey_apiwat
