song_name,href,lyric,artist
Is This Love? (เพราะรักใช่เปล่า),/music/thailyric/17541,"โปรดเถอะฟ้า บอกฉันที
ไอ้แบบนี้ ใช่หรือเปล่า ที่เขาเรียกกันว่ารัก
Is this love and if this is love
ยังไม่เคยได้รู้จัก มันคือรักใช่ไหม

ที่หวั่นไหว ไม่รู้ตัว
ใจสั่นรัว นี่มันจริงใช่ไหม
ที่ใครเรียกกันว่ารัก
Is this love and if this is love
ช่วยบอกกันให้รู้หน่อย
อย่างน้อยฉันจะได้รักเธอได้ทัน

ยังไม่เคยจะทันได้ตั้งตัว
ใจมันยังไม่ชัวร์เรื่องความรัก
ยังไม่เคยจะทันได้รู้จัก
รักจริงๆ เป็นอย่างไร

จนวันหนึ่งที่เธอเดินเข้ามา
ใจที่มันเย็นชาก็เปลี่ยนไป
มันก็ยังคงไม่เข้าใจ
มันเป็นอะไรนะหัวใจ
ไม่เคยจะรู้ เพราะอะไร
ยังอยากจะรู้

โปรดเถอะฟ้า บอกฉันที
ไอ้แบบนี้ ใช่หรือเปล่า ที่เขาเรียกกันว่ารัก
Is this love and if this is love
ยังไม่เคยได้รู้จัก มันคือรักใช่ไหม

ที่หวั่นไหว ไม่รู้ตัว
ใจสั่นรัว นี่มันจริงใช่ไหม
ที่ใครเรียกกันว่ารัก
Is this love and if this is love
ช่วยบอกกันให้รู้หน่อย
อย่างน้อยฉันจะได้รักเธอได้ทัน

(I just wanna know it is call love)
(I just wanna know I'm a fall in love)

อยากรู้ว่าฟ้า จะมีเวลาบ้างไหม
ช่วยตอบคำถามที่ยังสงสัย
ที่ฉันและเธอต้องมาเจอ ก็มันยังไม่เข้าใจ
ว่าเป็นเพราะ เหตุเพราะ มันเพราะอะไร

ไม่เหมือนในวิชา ที่เคยได้เรียนๆ มา
ไม่มีในตำราที่ครูเคยสอนมา
ถามเพื่อนพ่อแม่ ก็จนเขาเอือมระอา

Have you ever been this feeling
Have you got idea of this feeling
Tell me some more bout this feeling
Have you got idea a better way give me some more

โปรดเถอะฟ้า บอกฉันที
ไอ้แบบนี้ ใช่หรือเปล่า ที่เขาเรียกกันว่ารัก
Is this love and if this is love
ยังไม่เคยได้รู้จัก มันคือรักใช่ไหม

ที่หวั่นไหว ไม่รู้ตัว
ใจสั่นรัว นี่มันจริงใช่ไหม
ที่ใครเรียกกันว่ารัก
Is this love and if this is love
ช่วยบอกกันให้รู้หน่อย
อย่างน้อยฉันจะได้รักเธอได้ทัน

อย่างนี้มันจริงใช่ไหม

ช่วยบอกกันให้รู้หน่อย
อย่างน้อยฉันจะได้รักเธอได้ทัน",tom_isara
White Eye,/music/thailyric/21863,"ได้แต่ยืนมองความรู้สึก
แต่ไม่เคยได้พูดมันออกไป
ได้แต่เก็บมันอยู่ข้างใน
ทั้งที่หัวใจรักเหลือเกิน

ปล่อยเวลาให้มันผ่านพ้นไป
ก็ไม่รู้ว่าทำไม ก็ไม่รู้เป็นอะไรจึงไม่กล้าพอ

ฉันจะไม่ขี้ขลาดอีกต่อไป จะไม่แพ้แค่คำๆ หนึ่ง
ถ้าบอกไปแล้วเธอจะไม่ซึ้ง ก็จะยอมรับความจริงต่อไป
แค่ขอได้พูดจากใจ จะรักหรือไม่รักก็แล้วแต่ใจ
ไม่อยากรอให้มันสายไปกว่านี้

ไม่อยากต้องมานั่งเสียใจ
หากยังกลัวไม่กล้าจะบอกไป
ได้แต่เก็บมันอยู่ข้างใน
ทั้งที่หัวใจรักเหลือเกิน

ปล่อยเวลาให้มันผ่านพ้นไป
ก็ไม่รู้ว่าทำไม ก็ไม่รู้เป็นอะไรจึงไม่กล้าพอ

ฉันจะไม่ขี้ขลาดอีกต่อไป จะไม่แพ้แค่คำๆ หนึ่ง
ถ้าบอกไปแล้วเธอจะไม่ซึ้ง ก็จะยอมรับความจริงต่อไป
แค่ขอได้พูดจากใจ จะรักหรือไม่รักก็แล้วแต่ใจ
ไม่อยากรอให้มันสายไปกว่านี้

ฉันจะไม่ขี้ขลาดอีกต่อไป จะไม่แพ้แค่คำๆ หนึ่ง
ถ้าบอกไปแล้วเธอจะไม่ซึ้ง ก็จะยอมรับความจริงต่อไป
แค่ขอได้พูดจากใจ จะรักหรือไม่รักก็แล้วแต่ใจ
ไม่อยากรอให้มันสายไปกว่านี้",tom_isara
You Are The Love Of My Life,/music/thailyric/20562,"วันเวลานั้นอาจจะทำให้เธอหวั่นไหว
กลัวความรักของเราจะจางหายไป
วันเวลานั้นเปลี่ยนอะไรจนเธอใจหาย
แต่ไม่ใช่กับใจของฉัน

ความรู้สึกยังเหมือนเดิมจนวันนี้
จะไม่มีวันผันเปลี่ยนใจไปไหน

You Are The Love Of My Life
เธอคือคนเดียวที่ใจฉันมี
You are the apple of my eye
จะดูแลกันเรื่อยไปอย่างนี้
จะไม่มีอะไรมาแยกเราจากกัน

ตื่นมาอยากเจอแต่เธอ อยากสบตาเธออย่างนี้เรื่อยไป
มีแล้วเธออุ่นใจ จะทำอะไรก็คิดถึงแต่เธอ
ก็เป็นอย่างนี้ตั้งแต่วันแรกที่เราได้เจอ
เป็นอย่างนี้เสมอ เธอจำได้ไหม

ความรู้สึกยังเหมือนเดิมจนวันนี้
จะไม่มีวันผันเปลี่ยนใจไปไหน

You are the love of my life
เธอคือคนเดียวที่ใจฉันมี
You are the apple of my eye
จะดูแลกันเรื่อยไปอย่างนี้

You are the love of my life
เธอคือรักแท้ที่ใจฉันมี
You are the apple of my eye
หนึ่งเดียวในใจ Oh my destiny

จะไม่มีอะไรมาแยกเราจากกัน",tom_isara
คลั่ง,/music/thailyric/22956,"ใจละลายเมื่อใกล้เธอ
อยากจะเจอเพียงเธออยู่ทุกวัน
ใจฉันต้องการแค่เพียงเธอ
วันใดไม่ได้เจอะเจอ
ใจมันก็ละเมออย่างนี้ ไม่รู้จะหักห้ามยังไง

ใจมันคอยแต่หวงเธอ ไม่ต้องการให้เธอเป็นของใคร
ผิดไหมที่ใจรักเพียงเธอ
จนดูเหมือนเห็นแก่ตัว ก็คนมันรักเธอแบบนี้
จะปล่อยให้เธอไปได้ไง

ถ้าไม่มีเธอจะทนหายใจอยู่อย่างไร คงต้องขาดใจตายอยู่ตรงนั้น
ก็ในใจของฉันมันต้องการแค่เธอ อยากให้เธอเข้าใจ
ถ้าไม่มีเธอสักคนแล้วฉันจะกอดใคร จะจูบใครได้เหมือนกับจูบเธอ
เพราะเธอคือเธอ ไม่มีใครแทนเธอได้อีกแล้ว

พยายามไม่รักเธอ แต่ก็ทำไม่เคยจะได้เลย
สุดท้ายต้องยอมให้เป็นไป
ก็มันรักเกินตัดใจ จะให้ตัวฉันทำอย่างไร
ไม่มีทางทำได้เลย

ถ้าไม่มีเธอจะทนหายใจอยู่อย่างไร คงต้องขาดใจตายอยู่ตรงนั้น
ก็ในใจของฉันมันต้องการแค่เธอ อยากให้เธอเข้าใจ
ถ้าไม่มีเธอสักคนแล้วฉันจะกอดใคร จะจูบใครได้เหมือนกับจูบเธอ
เพราะเธอคือเธอ ไม่มีใครแทนเธอได้อีกแล้ว

ไม่มีเธอจะทนหายใจอยู่อย่างไร คงต้องขาดใจตายอยู่ตรงนั้น
ก็ในใจของฉันมันต้องการแค่เธอ อยากให้เธอเข้าใจ
ถ้าไม่มีเธอสักคนแล้วฉันจะกอดใคร จะจูบใครได้เหมือนกับจูบเธอ
เพราะเธอคือเธอ ไม่มีใครแทนเธอได้อีกแล้ว",tom_isara
คิดเอง,/music/thailyric/17644,"จะกี่ครั้ง ต้องกระวนกระวายหัวใจไม่รู้กี่ครั้ง เมื่อพบเธอ
เจอกี่ครั้ง เธอยังตราและตรึงหัวใจฉันไว้อย่างนั้น Oh เธอ

ได้ไหมให้เราอยู่ด้วยกัน อยากบอกรักเบาๆ ในทุกวัน
แต่จินตนาการได้เท่านั้น เท่านั้น

คิดไปข้างเดียว ว่าสองเรา ล่องลอยบนสวรรค์
รักกันสวยงามตลอดไป
รักเองเออเอง อยู่ข้างเดียว เก็บอยู่ในหัวใจ
แล้วต้องทำไง จะได้รักกัน

เพียงเธอมาคุยและมาทักทาย
ใจละลายลงไปกองแทบจะบ้าตาย
มันเพ้อไป เกินห้ามใจไปไกลทุกที
พยายามจะไม่คาดหวัง
แต่มองตาเธอแล้วก็พังก็พลาดทุกที
เธอเหมือนมีแรงดึงดูดใจฉันไป

ฝันว่าเราอยู่ด้วยกัน อยากบอกรักเบาๆ ในทุกวัน
แต่จินตนาการได้เท่านั้น แค่นั้น

คิดไปข้างเดียว ว่าสองเรา ล่องลอยบนสวรรค์
รักกันสวยงามตลอดไป
รักเองเออเอง อยู่ข้างเดียว เก็บอยู่ในหัวใจ
แล้วต้องทำไง จะได้รักกัน

แม้เป็นจินตนาการ แค่ได้จินตนาการ
กับเธอคนนี้ Oh baby you
แม้เป็นจินตนาการ แค่ได้จินตนาการ
กับเธอคนนี้ ก็ยังดีกว่าไม่ได้รักกัน

คิดไปข้างเดียว ว่าสองเรา ล่องลอยบนสวรรค์
รักกันสวยงามตลอดไป
รักเองเออเอง อยู่ข้างเดียว เก็บอยู่ในหัวใจ
แล้วต้องทำไง จะได้รักกัน

I wish you are right here with me
My heart belongs to you
I wish you are right here with me
My heart belongs to you
I wish you are right here with me
My heart belongs to you
I wish you are right here with me
My heart belongs to you",tom_isara
แค่บอกว่ารักเธอ,/music/thailyric/17238,"จั๊ดจาดิจั๊ดจาว...

ทนกับตัวเองมานานเหลือเกิน ใครๆ เขาก็ยังเมิน
ไม่แปลกใจเลยที่ไม่มีคู่ครอง
เธอมีใครหลายคนหมายปอง ฉันเองก็ยังคอยมอง
แต่ไม่กล้าเหมือนเดิมจะทำฉันใด

ถ้าหากรักนี้ ไม่บอกไม่พูดไม่กล่าว
แล้วเค้าจะรู้ว่ารักหรือเปล่า อาจจะไม่แน่ใจ
อยากให้เขารู้ ฉันคงต้องแสดงออก
ไม่ใช่ให้ใครเค้าบอก หรือว่าให้เค้าเดาเอง
ว่ารักเธอ

ทนอึดอัดใจมานานหลายปี ไม่กล้าใกล้เธอสักที
เจอกี่ครั้งก็ยังเป็นอยู่เช่นเคย
คุยกับตัวเองทำไมต้องกลัว เจอทีไรใจมันเต้นรัว
ทั้งที่บอกกับตัวเองเรื่อยมา...ว่า

ถ้าหากรักนี้ ไม่บอกไม่พูดไม่กล่าว
แล้วเค้าจะรู้ว่ารักหรือเปล่า อาจจะไม่แน่ใจ
อยากให้เขารู้ เธอเองต้องแสดงออก
ไม่ใช่ให้ใครเค้าบอก หรือว่าให้เค้าเดาเอง
ว่ารักเธอ

อู้ Baby

ใครจะไปคิดเอาเอง ว่าเองว่าเธอนั้นมีใจ
มันง่ายเกินไป เหมือนว่าหลงตัวเอง
เอ่ยไปเลยว่ารัก ไม่ต้องเกรงใจใคร
จะยากอะไร ก็แค่บอกว่าฉันรักเธอ

ถ้าหากรักนี้....
จั๊ดจาดิจั๊ดจาว...
เค้าอาจจะบอกว่ารักเธอ...",tom_isara
ใช่เลย Oh! Yes,/music/thailyric/15857,"ใช่เลย โดนใจฉันเลย
ไม่มีมากไป ไม่มีน้อยไปถูกใจทุกอย่าง
ใช่เลย คือเธอแน่นอน
บอกกันได้เลย ที่เคยต้องการ
ประมาณนี้เลย ใช่เลย

ต้องสวยขนาดนั้น ต้องหวานขนาดนี้
ทุกอย่างกำลังดี คนนี้ ใช่เลย
อย่าสวยไปกว่านั้น อย่าหวานไปกว่านี้
เอาแค่ที่เธอมีแค่นี้ได้เลย

ใช่เลย คือคนนี้เลย
ที่รอตั้งนาน ที่ใจต้องการ
ประมาณนี้เลย ใช่เลย

ต้องสวยขนาดนั้นต้องหวานขนาดนี้
ทุกอย่างกำลังดี คนนี้ ใช่เลย
อย่าสวยไปกว่านั้น อย่าหวานไปกว่านี้
เอาแค่ที่เธอมีแค่นี้ได้เลย ใช่เลย

ใช่เลย มันไม่มาก มันไม่น้อยเกินไป
ใช่เลยหวานแค่นี้ กำลังดีต่อใจ
รสชาติความรักที่กลมกล่อม ไม่รู้ว่าเป็นไปได้ไง
ไม่ต้องมาพูดอะไรมาก มองตาก็รู้ว่าใช่

เพราะความรักดีๆ ไม่ใช่เรื่องง่ายจะเจอ
ต่อให้รักกันแทบตาย เข้ากันไม่ได้ก็เหวอ
เฝ้ารอมาตั้งนาน กับใครคนเดียวคนนั้น
คนที่เข้ากันกับฉัน และคนนั้นก็คือเธอ

ต้องสวยขนาดนั้นต้องหวานขนาดนี้
ทุกอย่างกำลังดี คนนี้ ใช่เลย
อย่าสวยไปกว่านั้น อย่าหวานไปกว่านี้
เอาแค่ที่เธอมีแค่นี้ได้เลย

ต้องสวยขนาดนั้นต้องหวานขนาดนี้
ทุกอย่างกำลังดี คนนี้ ใช่เลย
อย่าสวยไปกว่านั้น อย่าหวานไปกว่านี้
สรุปว่าพอดีกับใจฉันเลย ใช่เลย",tom_isara
ไม่ใช่ที่ของฉัน (Chair),/music/thailyric/17264,"ร้อยความทรงจำเริ่มจะเลือนลาง
เหลือเพียงที่ว่างที่อยู่ในใจ
เก้าอี้ข้างเธอนั้นยังว่างเปล่า
คิดถึงวันเก่าแต่กลับไปไม่ไหว

ใครกันจะหยั่งรู้ข้างใน
ว่ามันยากเย็นแค่ไหน
ที่ต้องทำใจเพื่อปล่อยมือเธอ
ใครเค้าคิดว่าเราสองคน
จะต้องไปได้ไกล จับมือกันไว้เสมอ

โลกนี้ไม่มีใคร
ที่จะเลวร้ายมากจนเกินไป
มีแค่หัวใจที่มันสวนทาง

เก้าอี้ตรงนี้ จะมีใครนั่งหรือเปล่า
คำถามในใจเบาๆ ไม่ให้เธอได้ยิน
ไม่มีสิทธิ์แม้จะเสียดาย
คงไม่ใช่ที่ของฉัน ฉันรู้ดี
และสักวันคงจะมีใครมาแทนที่กัน
และฉันเองต้องเข้าใจ
ว่าฉันไม่ควร ไม่ควร
และไม่ควรกลับ ไปนั่งที่เดิม

ในสุดท้าย ต้องเรียนรู้และก็ทำใจ
แม้ว่าจะรัก แต่ก็เข้ากันไม่ได้
เคยพยายาม แต่มันก็ทำได้เพียงสุดทาง
เหมือนจักรวาล นั้นคงไม่ต้องการ
เลยเหวี่ยงเรา กั้นเราออกไปให้ห่าง
โลกเธอและฉัน มันช่างดูต่าง
แม้เธอจะอยู่ตรงนั้น

โลกนี้ไม่มีใคร
ที่จะเลวร้ายมากจนเกินไป
มีแค่หัวใจที่มันสวนทาง

เก้าอี้ตรงนี้ จะมีใครนั่งหรือเปล่า
คำถามในใจเบาๆ ไม่ให้เธอได้ยิน
ไม่มีสิทธิ์แม้จะเสียดาย
คงไม่ใช่ที่ของฉัน ฉันรู้ดี
และสักวันคงจะมีใครมาแทนที่กัน
และฉันเองต้องเข้าใจ
ว่าฉันไม่ควร ไม่ควร
และไม่ควรกลับ ไปนั่งที่เดิม",tom_isara
ไม่ใช่ไม่รู้สึก,/music/thailyric/20242,"ปรึกษาฉันได้ทุกเรื่องเลย
จะเรื่องอะไรก็ได้เลย
ฉันขอแค่เพียงไม่ใช่เรื่องของเขา

ทุกครั้งที่เล่าให้ฉันฟัง
บอกตามตรงฉันไม่เคยฟัง
เพียงแค่ได้ยินชื่อเขาก็เจ็บช้ำ

จะทะเลาะจะเถียงหรือว่ารักกัน
ฉันนั้นขอไม่ฟังจะได้ไหม

ไม่ใช่ว่าฉันนั้นไม่รู้สึก ความจริงฉันก็รู้สึก
ทุกครั้งเวลาที่เธอพูดถึงเขา
ไม่ใช่ว่าฉันนั้นไม่รู้สึก ความจริงฉันก็รู้สึก
แต่รู้ยังไงแล้วเธอก็มีเขา
สุดท้ายยังไงแล้วเธอก็เลือกเขา อยู่ดี

เหมือนเธอนั้นจะไม่รู้ บอกให้รู้ไปเลยไหม
ในความจริงที่ผ่านมา ตัวของฉันคิดยังไง
แต่เธอก็พูดแต่เรื่องของเขา
ฉันเลยไม่เคยพูดเรื่องของเรา

ในบางครั้งอยากจับมือ แต่ก็รู้อยู่แก่ใจ
ว่ามือนั้นมีเจ้าของ ควรจะจำให้ขึ้นใจ
(ว่าวันนี้เป็นแค่เพื่อนเท่านั้น)
วันพรุ่งนี้ก็เป็นแค่เพื่อนเท่านั้น

จะทะเลาะจะเถียงหรือว่ารักกัน
ฉันนั้นขอไม่ฟังจะได้ไหม

ไม่ใช่ว่าฉันนั้นไม่รู้สึก ความจริงฉันก็รู้สึก
ทุกครั้งเวลาที่เธอพูดถึงเขา
ไม่ใช่ว่าฉันนั้นไม่รู้สึก ความจริงฉันก็รู้สึก
แต่รู้ยังไงแล้วเธอก็มีเขา (เราก็รู้)
สุดท้ายยังไงแล้วเธอก็เลือกเขา อยู่ดี

จะทะเลาะจะเถียงหรือว่ารักกัน
ฉันนั้นขอไม่ฟังจะได้ไหม

ไม่ใช่ว่าฉันนั้นไม่รู้สึก ความจริงฉันก็รู้สึก
ทุกครั้งเวลาที่เธอพูดถึงเขา
ไม่ใช่ว่าฉันนั้นไม่รู้สึก ความจริงฉันก็รู้สึก
แต่รู้ยังไงแล้วเธอก็มีเขา (เราก็รู้)
สุดท้ายยังไงแล้วเธอก็เลือกเขา อยู่ดี",tom_isara
ไม่อยากหลับตา,/music/thailyric/15101,"ทุกๆ ครั้งที่นอนหลับตา
ท่ามกลางความฝัน
ฉันยังมองเห็นเธออยู่
ยังคงมีสัมผัสจากเธอให้รับรู้
ว่าเธอยังอยู่ใกล้ๆ กัน

แต่แล้วทุกครั้งที่ตื่นขึ้นมา
ข้างกายของฉัน กลับมีแต่ความว่างเปล่า
มองไปไม่เห็นใคร ในใจช่างปวดร้าว
ไม่มีแม้เงาของเธอ

ทุกคืนฉันไม่อยากหลับตา
เพราะหัวใจเหนื่อยล้า กับภาพของเธอในฝัน
และทุกคืน บอกตัวเองให้ฝืนลืมทุกอย่าง
แต่มันยังไม่เคยจาง ยังคงมีแต่ภาพเธอ
อยู่ในใจของฉัน ตลอดเวลา

ทุกคืนฉันไม่อยากหลับตา
เพราะหัวใจเหนื่อยล้า กับภาพของเธอในฝัน
ก็ทุกคืน บอกตัวเองให้ฝืนลืมทุกอย่าง
แต่มันยังไม่เคยจาง
ยังคงมีแต่ภาพเธอ อยู่ในใจของฉัน

จะทำอย่างไร ก็ไม่อาจยอมรับได้
ว่าตื่นมาเจอ กับความจริง ฉันอยู่เดียวดาย

ทุกคืนฉันไม่อยากหลับตา
เพราะหัวใจเหนื่อยล้า กับภาพของเธอในฝัน
ก็ทุกคืน บอกตัวเองให้ฝืนลืมทุกอย่าง
แต่มันยังไม่เคยจาง ยังคงมีแต่ภาพเธอ
อยู่ในใจของฉัน ตลอดเวลา",tom_isara
