song_name,href,lyric,artist
นิยาย,/music/thailyric/1980,"ความรักของเราที่เป็นอยู่
ไม่รู้จะไปได้นานแค่ไหน
ที่ฉันยังหวั่นใจ
ก็เพราะมันไม่มีอะไรลงตัวเลยสักอย่าง

ชีวิตของฉันที่เป็นอยู่
ก็ดูยังไกลและหนักเหลือเกิน
กับเธอที่ต้องร่วมเดิน
ต้องมาเผชิญความเป็นจริงที่ไม่สวยงาม

เธอเป็นเหมือนแสงดาว
ที่ช่างพร่างพราวและสดใส
แต่ฉันมีแค่ใจ ที่แม้ทุ่มเทเท่าไรก็ยังไม่คู่ควร

มันไม่ใช่รักในนิยาย คอยเตือนตัวเองเข้าไว้
ให้รับความจริง ถ้ามันต้องสิ้นสุดทุกสิ่ง
แค่อยากให้รู้ที่จริงรักเธอมากแค่ไหน

เพราะฉันมันไม่ใช่เจ้าชาย
แค่สุขที่พอหล่อเลี้ยงใจเธอไปวันๆ
ถ้าเจอคนในฝันเมื่อไร ไม่ต้องทนลำบากใจ
จะไปก็ไม่ว่ากัน อยากบอกว่าฉันเข้าใจ

เธอเป็นเหมือนแสงดาว
ที่ช่างพร่างพราวและสดใส
แต่ฉันมีแค่ใจ ที่แม้ทุ่มเทเท่าไรก็ยังไม่คู่ควร

มันไม่ใช่รักในนิยาย คอยเตือนตัวเองเข้าไว้
ให้รับความจริง ถ้ามันต้องสิ้นสุดทุกสิ่ง
แค่อยากให้รู้ที่จริงรักเธอมากแค่ไหน

เพราะฉันมันไม่ใช่เจ้าชาย
แค่สุขที่พอหล่อเลี้ยงใจเธอไปวันๆ
ถ้าเจอคนในฝันเมื่อไร ไม่ต้องทนลำบากใจ
จะไปก็ไม่ว่ากัน อยากบอกว่าฉันเข้าใจ

มันไม่ใช่รักในนิยาย คอยเตือนตัวเองเข้าไว้
ให้รับความจริง ถ้าหากมันต้องสิ้นสุดทุกสิ่ง
แค่อยากให้รู้ที่จริงรักเธอมากแค่ไหน

เพราะฉันมันไม่ใช่เจ้าชาย
แค่สุขที่พอหล่อเลี้ยงใจเธอไปวันๆ
ถ้าเจอคนในฝันเมื่อไร ไม่ต้องทนลำบากใจ
จะไปก็ไม่ว่ากัน อยากบอกว่าฉันเข้าใจ",tono_phakhin
คนที่เธอไม่ควรเผลอใจ,/music/thailyric/9518,"ฟ้านำทางให้ฉันได้มาพบเจอกับเธอ
ได้รักได้รู้สึกผูกพันในใจ
แต่ฟ้ากลับทำให้รัก มีขวากหนามเพื่ออะไร
มีรักแล้วต้องเจ็บ อยากถามทำไม

แค่กอดเธอไว้ ก็ไม่มีสิทธิ์
ยิ่งรักเธอไป ยิ่งผิดลงไปทุกที

ทำยังไงให้ไม่รัก ให้หัวใจมันหยุดแค่นี้
ทำยังไงใครรู้วิธี ลบล้างลืมเธอจากใจ
ฉันมันเพียงแค่คนที่มาหลังใคร
คนที่เธอไม่ควรเผลอใจ ใช่ไหม ที่จะรักกัน

แม้เราต่างเจ็บช้ำเราต้องรับมันให้ไหว
อย่าให้รักของเรา ทำร้ายใครเลย

แค่กอดเธอไว้ ก็ไม่มีสิทธิ์
ยิ่งรักเธอไป ยิ่งผิดลงไปทุกที

ทำยังไงให้ไม่รัก ให้หัวใจมันหยุดแค่นี้
ทำยังไงใครรู้วิธี ลบล้างลืมเธอจากใจ
ฉันมันเพียงแค่คนที่มาหลังใคร
คนที่เธอไม่ควรเผลอใจ ใช่ไหม ที่จะรัก

ทำยังไงให้ไม่รัก ให้หัวใจมันหยุดแค่นี้
ทำยังไงใครรู้วิธี ลบล้างลืมเธอจากใจ
ฉันมันเพียงแค่คนที่มาหลังใคร
คนที่เธอไม่ควรเผลอใจ ใช่ไหม ที่จะรักกัน",tono_phakhin
คนเลวก็มีหัวใจ,/music/thailyric/8431,"ทางเดินที่มันอาจ ไม่สวยงาม
คงทำให้เธอหวาด หวั่นใจทุกที
กับสิ่งที่ชีวิตฉันเป็น รวมไปถึงความรักที่มี
ฉันรู้ รู้ดีเธอแบกความกังวล

แต่ฉันขอสักอย่าง แค่เข้าใจ
ว่าฉันไม่ได้เกิด มาเพื่อทุกคน
ใครจะเห็นว่าฉันเป็นไง ใครมองฉันชีวิตมืดมน
ขอร้อง ขอเธอได้โปรด อย่าสนใจ

เชื่อในตัวฉันได้ไหม เชื่อว่าหมดใจมันรักเธอ
ไม่ว่าฟ้าพายุจะโถมแรงแค่ไหน
ต่อให้แหลกเหลวเท่าไหร่ แต่คนเลวก็มีหัวใจ
และหัวใจนั้นมันให้เธอคนเดียว

กอดเธอแค่ครั้งหนึ่ง ซาบซึ้งพอ
ไม่ขอมากไปกว่า มีเธอข้างข้าง
หนึ่งชีวิตบนโลกใบหนึ่ง มันก็แค่เส้นด้ายบางบาง
ก่อนตายขอมีความสุขได้รักเธอ

เชื่อในตัวฉันได้ไหม เชื่อว่าหมดใจมันรักเธอ
ไม่ว่าฟ้าพายุจะโถมแรงแค่ไหน
ต่อให้แหลกเหลวเท่าไหร่ แต่คนเลวก็มีหัวใจ
และหัวใจนั้นมันให้เธอคนเดียว

เชื่อในตัวฉันได้ไหม เชื่อว่าหมดใจมันรักเธอ
ไม่ว่าฟ้าพายุจะโถมแรงแค่ไหน
ต่อให้แหลกเหลวเท่าไหร่ แต่คนเลวก็มีหัวใจ
และหัวใจนั้นมันให้เธอคนเดียว
ต่อให้แหลกเหลวเท่าไหร่ แต่คนเลวก็มีหัวใจ
หนึ่งหัวใจฉันมันรักเธอคนเดียว",tono_phakhin
ถ้าไร้เธอ,/music/thailyric/20103,"ราตรีที่ฟ้ามืดมนไร้แสงจันทร์
ไม่ต่างกับฉันทุกข์ทนไร้หัวใจ
อาจมองว่าฉันเย็นชา ว่าฉันไม่แคร์อะไร
แต่ฉันรู้สึกหวั่นไหวเมื่อใกล้เธอ

แววตาเธอดังแสงทอที่ปลายทาง
เปลี่ยนความอ้างว้างแค่มีอุ่นไอเธอ
เพิ่งมองชีวิตมีค่า วันนี้ที่ฉันมีเธอ
เหมือนฉันได้เจอหัวใจที่หายไป

จะอยู่อย่างไรถ้าวันนี้ฉันต้องขาดเธอ
จะอยู่อย่างไรถ้าวันพรุ่งนี้ต้องขาดใจ
ทุกครั้งที่เราไกลห่าง ต้องการแต่เธอรู้ไหม
หากชีวิตมืดมนของฉันต้องขาดเธอ
คงเหมือนคนตายที่ยังหายใจ
ชีวิตต้องไร้ความหมาย ถ้าไร้เธอ

ราตรีเฝ้ารอแสงจันทร์ไม่นานได้พบเจอกัน
แต่คนอย่างฉันเฝ้ารอเธอทั้งชีวิต
ในวันที่เราพบกันขอวอนให้โชคชะตา
อย่าพัดพาเธอเพียงผ่านให้รานร้าวใจ

จะอยู่อย่างไรถ้าวันนี้ฉันต้องขาดเธอ
จะอยู่อย่างไรถ้าวันพรุ่งนี้ต้องขาดใจ
ทุกครั้งที่เราไกลห่าง ต้องการแต่เธอรู้ไหม
หากชีวิตมืดมนของฉันต้องขาดเธอ
คงเหมือนคนตายที่ยังหายใจ
ชีวิตต้องไร้ความหมาย ถ้าไร้เธอ",tono_phakhin
บนเส้นด้าย,/music/thailyric/22424,"อาจเพราะยังกลัวว่ามันจะเลวร้าย เหมือนที่เคยเป็นมา
และฉันกลัวเธอต้องเสียน้ำตาที่หลงมารักกัน
ชีวิตเธอควรดีงามและสดใสเหมือนที่เคยใฝ่ฝัน
ชีวิตมืดมนของฉันมันคงไม่ใกล้เคียง

หนึ่งคนที่อันตราย ไม่ควรมีใครมาเดินเคียงกัน
ใกล้เธอเท่าไรยิ่งหวั่น ไม่อยากจะเห็นเธอมาเสี่ยง
อย่าเลยมันอันตราย ฉันพยายามกลั้นใจบอกเธอได้เพียง
เอาคำว่ารักกลับไป หัวใจของเธออยากขอให้เธอเก็บไว้เพื่อใครที่คู่ควร

ก็เห็นว่าฉันมีเพียงเศษชีวิตที่ไม่รู้ปลายทาง
จะแขวนไว้บนเส้นด้ายบางๆ ได้นานสักเท่าไร
ไม่พร้อมให้คนดีๆ ฝากชีวิตแม้จะรักแค่ไหน
ไม่คิดจะไปเอื้อมคว้าเธอมาไว้ครอบครอง

หนึ่งคนที่อันตราย ไม่ควรมีใครมาเดินเคียงกัน
ใกล้เธอเท่าไรยิ่งหวั่น ไม่อยากจะเห็นเธอมาเสี่ยง
อย่าเลยมันอันตราย ฉันพยายามกลั้นใจบอกเธอได้เพียง
เอาคำว่ารักกลับไป หัวใจของเธออยากขอให้เธอเก็บไว้เพื่อใครที่คู่ควร

ต่อให้วันนี้ต้องใจสลาย
ที่ต้องมองดูเธอนั้นเดินจากฉันไป
กับใครที่ดีกว่าฉัน

หนึ่งคนที่อันตราย ชีวิตที่แขวนบนด้ายบางๆ
ไม่ควรมีใครร่วมทาง ไม่อยากจะเห็นเธอมาเสี่ยง
อย่าเลยมันอันตราย ฉันพยายามกลั้นใจบอกเธอได้เพียง
เอาคำว่ารักกลับไป หัวใจของเธออยากขอให้เธอเก็บไว้เพื่อใครที่คู่ควร

วันนี้แม้แทบขาดใจ ปล่อยเธอให้เดินจากไปทั้งๆ ที่รักเธอ",tono_phakhin
บ้าคิดถึง,/music/thailyric/9081,"ทุกๆ เช้าบนเตียงนอน
ยังกอดหมอนไม่ยอมตื่น
ใจมันอยากจะฝันต่อ
ฝันสวยๆ ที่มีกัน ฝันของฉันที่มีเธอ
จะเท่าไรก็ไม่พอ

คิดถึงเธอ คิดถึงทุกลมหายใจ
เธอรู้ไหม หายใจไม่ค่อยทัน
เธอเป็นคนทำให้ใจของฉัน
เต้นแรงขนาดนั้น ได้ยังไง

ความคิดถึงมันซุกซน ทำให้คนคิดถึงกัน
หยุดมันไม่ไหว ทำไม่ได้ๆ
ความคิดถึงบังคับใจ ทำให้ฉันคิดถึงเธอ
หยุดใจไม่ไหว ทำไม่ได้ๆ

ฉันไม่รู้หัวใจเธอ นอนละเมอเป็นชื่อใคร
ฉันไม่กล้าจะถามหรอก
คิดถึงฉันก็ดีไป ถ้าไม่ใช่ก็แย่เลย
เธอไม่ต้องเฉลยหรอก

คิดถึงเธอ คิดถึงทุกลมหายใจ
เธอรู้ไหม หายใจไม่ค่อยทัน
เธอเป็นคนทำให้ใจของฉัน
เต้นแรงขนาดนั้น ได้ยังไง

ความคิดถึงมันซุกซน ทำให้คนคิดถึงกัน
หยุดมันไม่ไหว ทำไม่ได้ๆ
ความคิดถึงบังคับใจ ทำให้ฉันคิดถึงเธอ
หยุดใจไม่ไหว ทำไม่ได้ๆ
ห้ามหัวใจไม่ได้เลย

ความคิดถึงมันซุกซน ทำให้คนคิดถึงกัน
หยุดมันไม่ไหว ทำไม่ได้ๆ
ความคิดถึงบังคับใจ ทำให้ฉันคิดถึงเธอ
หยุดใจไม่ไหว ทำไม่ได้ๆ

ความคิดถึงมันซุกซน ทำให้คนคิดถึงกัน
หยุดมันไม่ไหว ทำไม่ได้ๆ
ความคิดถึงบังคับใจ ทำให้ฉันคิดถึงเธอ
หยุดใจไม่ไหว ทำไม่ได้ๆ

บ้าคิดถึงทุกๆ วัน บ้าคิดถึงทุกเวลา
ฉันบ้า ฉันบ้า คิดถึงเธอ",tono_phakhin
พรหมลิขิตมั้ง,/music/thailyric/12656,"ก็ไม่รู้ไม่เคยเข้าใจ
ทำไมถึงต้องเป็นเธอ
คนเป็นล้านก็มีให้เจอ
ก็เผลอคิดถึงเธออยู่ดี

ควบคุมยังไงก็เอาไม่อยู่
หัวใจเจ้าชู้แต่คนนี้

มันคงเป็นพรหมลิขิตมั้ง
อะไรถึงช่างเป็นใจ
มันคงเป็นพรหมลิขิตไว้
ให้มาผูกพัน
และให้ฉันต้องรักเธอผู้เดียว

ต่อให้เราไม่ดูเข้ากัน
ไม่ดูเหมือนกันสักอย่าง
ใจดวงนี้ก็เดินสวนทาง
มันรั้นรั้นรั้นรักแต่เธอ

ควบคุมยังไงก็เอาไม่อยู่
หัวใจเจ้าชู้แต่คนนี้

มันคงเป็นพรหมลิขิตมั้ง
อะไรถึงช่างเป็นใจ
มันคงเป็นพรหมลิขิตไว้
ให้มาผูกพัน
และให้ฉันต้องรักเธอผู้เดียว

ไม่อาจจะฝืนความรู้สึก
ให้ดวงชะตาพาไป
ก็อยากจะให้เธอเข้าใจ
ที่ทำมากมายขนาดนั้น

ควบคุมยังไงก็เอาไม่อยู่
หัวใจเจ้าชู้แต่คนนี้

มันคงเป็นพรหมลิขิตมั้ง
อะไรถึงช่างเป็นใจ
มันคงเป็นพรหมลิขิตไว้
ให้มาผูกพัน
และให้ฉันต้องรักเธอ

มันคงเป็นพรหมลิขิตมั้ง
อะไรถึงช่างเป็นใจ
มันคงเป็นพรหมลิขิตไว้
ให้มาผูกพัน
และให้ฉันต้องรักเธอผู้เดียว",tono_phakhin
มันถูกกำหนดไว้แล้ว,/music/thailyric/8536,"ที่เธอเคยนึกขำในความเป็นมา
แปลกหนักหนาที่เราได้มาเจอกัน
ไม่เกี่ยวพันกันตรงไหน
จากไม่เคยมีใจไม่เคยผูกพัน
แต่สุดท้าย วันนี้ก็มีจริง

อาจเป็นใครคนไหนได้ตั้งมากมาย
แปลกจะตายสุดท้ายก็ได้รักกัน
แต่ไม่บังเอิญหรอกเชื่อไหม
ที่อะไรดลใจให้เราผูกพัน
ที่เธอกับฉัน เข้าใจกันอย่างนี้

มันถูกกำหนดไว้แล้ว ให้เราได้พบกัน
ให้เธอกับฉัน ได้รักกันอย่างนี้
มันถูกกำหนดไว้แล้ว ทุกอย่างลงตัวอย่างดี
อย่าหาเหตุผลอะไรเรื่องนี้ มันถูกกำหนดไว้แล้ว

ตั้งแต่วันที่ฉันนั้นได้พบเธอ
พึ่งได้เจอแต่เหมือนคุ้นเคยมานาน
ยิ่งนานวันยิ่งมั่นใจ ว่าเธอเองคือใครที่ใจต้องการ
คนที่ฟ้า สั่งมาให้เจอ

มันถูกกำหนดไว้แล้ว ให้เราได้พบกัน
ให้เธอกับฉัน ได้รักกันอย่างนี้
มันถูกกำหนดไว้แล้ว ทุกอย่างลงตัวอย่างดี
อย่าหาเหตุผลอะไรเรื่องนี้ มันถูกกำหนดไว้แล้ว

มันถูกกำหนดไว้แล้ว (ให้เราได้พบกัน)
ให้เธอกับฉัน ได้รักกันอย่างนี้
มันถูกกำหนดไว้แล้ว ทุกอย่างลงตัวอย่างดี
อย่าหาเหตุผลอะไรเรื่องนี้ มันถูกกำหนดไว้แล้ว

มันถูกกำหนดไว้แล้ว ให้เราได้พบกัน
ให้เธอกับฉัน ได้รักกันอย่างนี้
มันถูกกำหนดไว้แล้ว ทุกอย่างลงตัวอย่างดี
อย่าหาเหตุผลอะไรเรื่องนี้ มันถูกกำหนดไว้แล้ว",tono_phakhin
ไม่เคยมีใครมารัก,/music/thailyric/1981,"อยากจะขอโทษ ที่ทำร้าย
ที่ทำให้เธอต้องเจ็บช้ำ
อยากจะขอโทษที่ผิดซ้ำๆ
อยากให้รู้ อยู่ว่าฉันนั้นก็เสียใจ

ก็ตัวฉันมันคนแบบนี้
จะให้ฉันทำตัวอย่างไร
ไม่ได้ดีเลิศเลออย่างใครๆ
อยากให้รู้ว่าเป็นได้แค่เท่านี้เอง

เกิดมาไม่เคยมีใครมารัก
ก็เลยไม่รู้วิธีจะรัก ไม่เคยรู้จัก
เฝ้ารอให้ใครสักคนมารัก
เฝ้ารอให้ใครสักคน มาสอนรักแท้ให้ใจ

วันเวลาที่ล่วงเลยมา แค่ขอสักคนเข้าใจ
เธอจะรู้บ้างไหม คนนั้นที่ใจฉันขอคือเธอ

ก็ตัวฉันมันคนแบบนี้ จะยกโทษให้ฉันได้ไหม
ถ้าเธอหันหลังฉันต้องเดียวดาย
หมดทั้งใจฝากเอาไว้แล้วในมือเธอ

เกิดมาไม่เคยมีใครมารัก
ก็เลยไม่รู้วิธีจะรัก ไม่เคยรู้จัก
เฝ้ารอให้ใครสักคนมารัก
เฝ้ารอให้ใครสักคน มาสอนรักแท้ให้ใจ

วันเวลาที่ล่วงเลยมา แค่ขอสักคนเข้าใจ
เธอจะรู้บ้างไหม คนนั้นที่ใจฉันขอคือเธอ

เธอจะรักฉันได้ไหม เธอจะรักฉันได้ไหม",tono_phakhin
ไม่รักก็บอก,/music/thailyric/22748,"รักก็บอกไม่รักก็บอก โธ่คนปีวอก ทำไมมาหลอกกัน
เก็บรักไว้ ไม่ได้กี่วัน คิดลืมกันเสียแล้วแก้วตา
รักก็บอกไม่รักก็บอก น้ำตาไหลออก เพราะเธอมานอกอุรา
บอกสักนิดจะไม่คิดตั้งตา เสียเวลาอุตส่าห์ตั้งตาคอย

คิดหลอกกันรู้ไหมมันบาป
หรือเธอไม่ทราบบุญบาปสักหน่อย
ถ้าหลอกทำให้ช้ำบ่อยๆ
แล้วคงคอยรับกรรมนั้นคนเดียว

รักก็บอกไม่รักก็บอก
แล้วใยมาหลอกปลิ้นปลอกให้ซีดเซียว
เจ้าสุขเจ้าสรรค์สวรรค์คนเดียว
ฉันซีดเซียวแห้งเหี่ยวหัวใจ

รักก็บอกไม่รักก็บอก โธ่คนปีวอก ทำไมมาหลอกกัน
เก็บรักไว้ ไม่ได้กี่วัน คิดลืมกันเสียแล้วแก้วตา
รักก็บอกไม่รักก็บอก น้ำตาไหลออก เพราะเธอมานอกอุรา
บอกสักนิดจะไม่คิดตั้งตา เสียเวลาอุตส่าห์ตั้งตาคอย

คิดหลอกกันรู้ไหมมันบาป
หรือเธอไม่ทราบบุญบาปสักหน่อย
ถ้าหลอกทำให้ช้ำบ่อยๆ
แล้วคงคอยรับกรรมนั้นคนเดียว

รักก็บอกไม่รักก็บอก
แล้วใยมาหลอกปลิ้นปลอกให้ซีดเซียว
เจ้าสุขเจ้าสรรค์สวรรค์คนเดียว
ฉันซีดเซียวแห้งเหี่ยวหัวใจ",tono_phakhin
