song_name,href,lyric,artist
กอดฉันอีกสักครั้ง,/music/thailyric/2023,"รู้ฉันรู้ ความผิดครั้งนั้น มันเกินวิงวอนให้เลือนไป
จะพูดกี่ครั้ง ว่าฉันไม่ตั้งใจ เธอคงไม่ต้องการ

รู้ฉันรู้ ฉันมาครั้งนี้ เราคงเป็นเพียงแค่เพื่อนกัน
ไม่หวังว่าเธอ จะให้อภัยกัน แต่มีสิ่งหนึ่งอยากจะขอ

กอดผู้ชายคนนี้ อีกครั้งนึง อยากจะจำให้ซึ้ง ถึงหัวใจ
ว่าคนที่รักฉัน คนที่ดีกับฉัน แต่ตัวฉันเอง ก็ทำลาย

(คอรัส)
ณ อีกครั้งนึง (อีกครั้งนึง) อยากจะจำให้ซึ้ง ถึงหัวใจ

ให้ไออุ่นเธอนั้น อยู่ในใจของฉัน จากวันนี้ไปจนวันตาย

ค้นฉันค้น ว่าใจของฉัน มาเจอในวันที่สายไป
อยากย้อนกลับมาเพื่อขอให้เริ่มใหม่ เธอคงไม่ต้องการ

รู้ฉันรู้ ฉันมาครั้งนี้ เราคงเป็นเพียงแค่เพื่อนกัน
ไม่หวังว่าเธอ จะให้อภัยกัน แต่มีสิ่งหนึ่งอยากจะขอ

กอดผู้ชายคนนี้ อีกครั้งนึง อยากจะจำให้ซึ้ง ถึงหัวใจ
ว่าคนที่รักฉัน คนที่ดีกับฉัน แต่ตัวฉันเอง ก็ทำลาย

(คอรัส)
ณ อีกครั้งนึง (อีกครั้งนึง) อยากจะจำให้ซึ้ง ถึงหัวใจ

ถ้าเธอจะโกรธฉัน ก็อย่าเกลียดฉัน อย่าเกลียดฉันเลย จะได้ไหม

(คอรัส)
ณ อีกครั้งนึง (อีกครั้งนึง) อยากจะจำให้ซึ้ง ถึงหัวใจ

ให้ไออุ่นเธอนั้น อยู่ในใจของฉัน จากวันนี้ไปจนวันตาย

จากวันนี้ไปจนวันตาย",touch_na_takuathung
ตัวปัญหา,/music/thailyric/2029,"คงไม่ต้องถาม ว่าเธอนั้นเลือกใคร ฉันเข้าใจเธอดีอยู่แล้ว
และคงไม่ต้องถาม ว่าคนที่เธอแคร์ เขาต้องการให้ฉันทำอย่างไร

ถึงไม่มีใครบอก ฉันก็มีคำตอบ มันตอกย้ำตลอดมา
เมื่อยังมีเขาอยู่ ฉันก็รู้ว่าไร้ค่า อย่าเลยจะอยู่ไปทำไม

ไม่อยากเป็นตัวปัญหา(ก็เพราะว่ารักเธอ) ที่มาขวางทางใครๆ(เธอควรลืมฉันไป)
ที่เป็นเหมือนตัวอะไร ที่เธอก็ไม่เอา ที่เขาไม่ต้องการ
ไม่อยากเป็นตัวปัญหา(ก็เพราะว่ารักเธอ) ที่ยังค้างคาในใจ(เธอควรจะเข้าใจ)
เมื่อเธอไม่เหลือเยื่อใย ก็ควรตัดสินใจ จากไปซะทีคงดีกว่า

คงไม่ต้องถาม ว่าเธอนั้นเลือกใคร ฉันเข้าใจเธอดีอยู่แล้ว
และคงไม่ต้องถาม ว่าคนที่เธอแคร์ เขาต้องการให้ฉันทำอย่างไร

ถึงไม่มีใครบอก ฉันก็มีคำตอบ มันตอกย้ำตลอดมา
เมื่อยังมีเขาอยู่ ฉันก็รู้ว่าไร้ค่า อย่าเลยจะอยู่ไปทำไม

ไม่อยากเป็นตัวปัญหา(ก็เพราะว่ารักเธอ) ที่มาขวางทางใครๆ(เธอควรลืมฉันไป)
ที่เป็นเหมือนตัวอะไร ที่เธอก็ไม่เอา ที่เขาไม่ต้องการ
ไม่อยากเป็นตัวปัญหา(ก็เพราะว่ารักเธอ) ที่ยังค้างคาในใจ(เธอควรจะเข้าใจ)
เมื่อเธอไม่เหลือเยื่อใย ก็ควรตัดสินใจ จากไปซะทีคงดีกว่า

ไม่อยากเป็นตัวปัญหา(ก็เพราะว่ารักเธอ) ที่มาขวางทางใครๆ(เธอควรลืมฉันไป)
ที่เป็นเหมือนตัวอะไร ที่เธอก็ไม่เอา ที่เขาไม่ต้องการ
ไม่อยากเป็นตัวปัญหา(ก็เพราะว่ารักเธอ) ที่ยังค้างคาในใจ(เธอควรจะเข้าใจ)
เมื่อเธอไม่เหลือเยื่อใย ก็ควรตัดสินใจ จากไปซะทีคงดีกว่า",touch_na_takuathung
ควันที่ลอยต่ำ,/music/thailyric/2026,"เฝ้ามองเมฆลอยอยู่บนแผ่นฟ้าเคียงใกล้ ไม่เคยเห็นควันได้เป็นอย่างนั้น
เปรียบตัวฉันเองไม่เคยใกล้เธอเช่นกัน ก็เป็นแค่ควันก็คงไม่อาจลอยเทียมฟ้า

ความรักฉัน ความรักฉันคงไม่มีแรงไขว่คว้า
ได้แต่มองเธอ เท่านั้นเพราะเธออยู่ห่างไกล
ก็คือรักฉัน ก็คือรักฉันรอให้เธอมองผ่านมา
แต่ก็ยากนัก เพราะฉันเป็นควันที่ลอยต่ำ ฟ้าคงไกลเกินไป

เป็นเพียงแค่ควันไม่อาจอยู่สูงเกินเมฆ ได้แต่เฝ้าดูเมฆอยู่กับฟ้า
ก็พอรู้ดีว่าเราไม่มีคุณค่า ต้องยอมรับมันว่าควันไม่อาจลอยเทียมฟ้า

ความรักฉัน ความรักฉันคงไม่มีแรงไขว่คว้า
ได้แต่มองเธอ เท่านั้นเพราะเธออยู่ห่างไกล
ก็คือรักฉัน ก็คือรักฉันรอให้เธอมองผ่านมา
แต่ก็ยากนัก เพราะฉันเป็นควันที่ลอยต่ำ ฟ้าคงไกลเกินไป

ความรักฉัน ความรักฉันคงไม่มีแรงไขว่คว้า
ได้แต่มองเธอ เท่านั้นเพราะเธออยู่ห่างไกล
ก็คือรักฉัน ก็คือรักฉันรอให้เธอมองผ่านมา
แต่ก็ยากนัก เพราะฉันเป็นควันที่ลอยต่ำ ฟ้าคงไกลเกินไป

ความรักฉัน ความรักฉันคงไม่มีแรงไขว่คว้า
ได้แต่มองเธอ เท่านั้นเพราะเธออยู่ห่างไกล
ก็คือรักฉัน ก็คือรักฉันรอให้เธอมองผ่านมา
แต่ก็ยากนัก เพราะฉันเป็นควันที่ลอยต่ำ ฟ้าคงไกลเกินไป",touch_na_takuathung
ดาวกระจาย,/music/thailyric/2028,"เธอเป็นใครกันท่าทางอ่อนโยนซึ้งใจ มองเธอทีไรก็ทำให้ฉันเคลิ้มไป

อย่างกับดาวในคืนที่ฟ้าสดใส ดาวที่ดูเมื่อไรก็มีประกาย
แต่ไม่นานเธอทำเอาใจฉันตกใจ เพียงเธอเจอกับเสียง surround เข้าไป

เธอเป็นเหมือนกับดาวกระจาย ก็เห็นเธอดิ้นกระจาย ยักย้ายไปมา
ดิ้นจนเหงื่อเธอไหลกระเซ็นกระซาย ปล่อยผมที่ยาวสยาย ก็มองจ้องเธอจนตาลาย

แม่คุณเอ๋ยแม่ดาวกระจาย ก็เห็นเธอดิ้นกระจาย ยักย้ายลีลา
เห็นแล้วอยากจะรักแม่ดาวกระจาย ยิ่งเห็นก็ยิ่งถูกใจ หลงใหลมากมายในตัวเธอ

เธอเป็นใครกันก็ยังแปลกใจท่าทาง เป็นคนเดียวกันที่ดูอ่อนหวานมั่นใจ

อย่างกับดาวในคืนที่ฟ้าสดใส ดาวที่ดูเมื่อไรก็มีประกาย
แต่ไม่นานเธอทำเอาใจฉันตกใจ เพียงเธอเจอกับเสียง surround เข้าไป

เธอเป็นเหมือนกับดาวกระจาย ก็เห็นเธอดิ้นกระจาย ยักย้ายไปมา
ดิ้นจนเหงื่อเธอไหลกระเซ็นกระซาย ปล่อยผมที่ยาวสยาย ก็มองจ้องเธอจนตาลาย

แม่คุณเอ๋ยแม่ดาวกระจาย ก็เห็นเธอดิ้นกระจาย ยักย้ายลีลา
เห็นแล้วอยากจะรักแม่ดาวกระจาย ยิ่งเห็นก็ยิ่งถูกใจ หลงใหลมากมายในตัวเธอ

อย่างกับดาวในคืนที่ฟ้าสดใส ดาวที่ดูเมื่อไรก็มีประกาย
แต่ไม่นานเธอทำเอาใจฉันตกใจ เพียงเธอเจอกับเสียง surround เข้าไป

เธอเป็นเหมือนกับดาวกระจาย ก็เห็นเธอดิ้นกระจาย ยักย้ายไปมา
ดิ้นจนเหงื่อเธอไหลกระเซ็นกระซาย ปล่อยผมที่ยาวสยาย ก็มองจ้องเธอจนตาลาย

แม่คุณเอ๋ยแม่ดาวกระจาย ก็เห็นเธอดิ้นกระจาย ยักย้ายลีลา
เห็นแล้วอยากจะรักแม่ดาวกระจาย ยิ่งเห็นก็ยิ่งถูกใจ หลงใหลมากมายในตัวเธอ

เธอเป็นเหมือนกับดาวกระจาย ก็เห็นเธอดิ้นกระจาย ยักย้ายไปมา
ดิ้นจนเหงื่อเธอไหลกระเซ็นกระซาย ปล่อยผมที่ยาวสยาย ก็มองจ้องเธอจนตาลาย

เธอเป็นเหมือนกับดาวกระจาย ก็เห็นเธอดิ้นกระจาย",touch_na_takuathung
อย่าร้องไห้คนเดียว,/music/thailyric/2031,"คืนแห่งน้ำตา เมื่อเธอมองท้องฟ้ากลางคืน
ดวงดาวช่างพร่ามัว เมื่อน้ำตาเธอเปียกใจ
เป็นห่วงเหลือเกิน ต้องทนดูความรักของเธอ
ดูเธอต้องร้องไห้ เมื่อรักของเธอสลาย

อย่าร้องให้เพียงคนเดียว ผ่านคืนนี้เพียงลำพัง
เธอยังมีฉัน อยู่ตรงนี้เมื่อเธอต้องการ

อย่าร้องให้เพียงคนเดียว จะอยู่ข้างเธอนานๆ
จับมือฉันไว้ จะผ่านคืนนี้ไปกับเธอ

ปลดปล่อยน้ำตา ที่มันเอ่อจนล้นในตา
เจ็บปวดซักเท่าไหร่ ให้ไหลให้จางหมดใจ
ลืมเลือนซะที ให้ลืมคนที่ร้ายให้ไกล
รอคอยพบคืนใหม่ ให้รักคืนใจอีกครั้ง

อย่าร้องให้เพียงคนเดียว ผ่านคืนนี้เพียงลำพัง
เธอยังมีฉัน อยู่ตรงนี้เมื่อเธอต้องการ

อย่าร้องให้เพียงคนเดียว จะอยู่ข้างเธอนานๆ
จับมือฉันไว้ จะผ่านคืนนี้ไปกับเธอ

ทั้งคืน กลัวว่าเธอไม่เหลือใคร กลัวว่าความเสียใจจะมาทำร้าย

อย่าร้องให้เพียงคนเดียว ผ่านคืนนี้เพียงลำพัง
เธอยังมีฉัน อยู่ตรงนี้เมื่อเธอต้องการ

อย่าร้องให้เพียงคนเดียว ผ่านคืนนี้เพียงลำพัง
เธอยังมีฉัน อยู่ตรงนี้เมื่อเธอต้องการ

อย่าร้องให้เพียงคนเดียว จะอยู่ข้างเธอนานๆ
จับมือฉันไว้ จะผ่านคืนนี้ไปกับเธอ",touch_na_takuathung
คนไร้ค่า,/music/thailyric/2025,"ฉันรู้ว่าฉันควรอยู่ตรงไหน ฉันรู้และเจียมตัวเองตลอดมา
ในสายตาที่เธอมองเห็นฉันเป็นแค่คนไร้ค่า ทุกครั้งที่มองสบตาฉันพบแค่ความห่างไกล

เมื่อเธอเห็นฉันเป็นแค่เศษก้อนหิน เธอเห็นฉันเป็นแค่ดินแค่กรวดทราย
ถึงแม้ในใจจะเจ็บช้ำฉันทำได้เพียงน้อยใจ ไม่พูดอะไรออกไปเรียกร้องอะไรจากเธอ

(แต่วันนี้มีสิ่งนี้อยากขอเธอ)
อย่าเอาฉันไปเปรียบกับเขา เพราะเรามันคนละคน หัวใจมันวัดกันไม่ได้
แต่จะรักเธออยู่เสมอ ถึงเธอจะโยนฉันทิ้งไป ฉันทำสุดหัวใจได้แค่นี้

ฉันรู้ว่าฉันควรอยู่ตรงไหน ฉันรู้และเจียมตัวเองตลอดมา
ฉันพร้อมเป็นคนที่พ่ายแพ้ ขอเพียงแค่เธอรู้ว่า
สิ่งที่ฉันเป็นตลอดมา ก็คือเป็นผู้ชายไร้ค่าที่รักเธอ

(แต่วันนี้มีสิ่งนี้อยากขอเธอ)
อย่าเอาฉันไปเปรียบกับเขา เพราะเรามันคนละคน หัวใจมันวัดกันไม่ได้
แต่จะรักเธออยู่เสมอ ถึงเธอจะโยนฉันทิ้งไป ฉันทำสุดหัวใจได้แค่นี้

ถึงเป็นเศษดินเล็กๆ แค่เศษทรายน้อยๆ หัวใจและชีวิตที่มีให้เธอมันยิ่งใหญ่

(แต่วันนี้มีสิ่งนี้อยากขอเธอ)
อย่าเอาฉันไปเปรียบกับเขา เพราะเรามันคนละคน หัวใจมันวัดกันไม่ได้
แต่จะรักเธออยู่เสมอ ถึงเธอจะโยนฉันทิ้งไป ฉันทำสุดหัวใจได้แค่นี้

ถึงมันจะไร้ค่าก็รักเธอ",touch_na_takuathung
กายช้ำ,/music/thailyric/2024,"เจ็บจนชินรับไว้ไม่ไหว
แล้วไม่จำซักที
เฝ้าคอยเตือนบอกใจไว้
หยุดแล้วพอแล้วใจ
เจ็บควรจำไว้ซิใจ
ใยชอบทำเป็นลืม

บอกตรงใจรักนั้นอย่าฝัน
พักให้นานแสนนาน
หากเจอใครอดใจไว้
ไม่มีใครรักจริง
สิ่งจอมปลอมหลอมดวงใจ
รักใครเป็นต้องช้ำ
เจ็บและช้ำในใจฉันเอง
ช้ำจนมันล้นใจ
เก็บความเหงาเก่าๆ
ช้ำเกินกว่าใคร
ทำไมทำอย่างนี้ ใจนะใจ

เจ็บจนกายรับไว้ไม่ไหว
หรือใจยังไม่พอ
เที่ยวตามไปเก็บความรัก
ช้ำมาหนักทุกที

บอกตรงใจรักนั้นอย่าฝัน
พักให้นานแสนนาน
หากเจอใครอดใจไว้
ไม่มีใครรักจริง
สิ่งจอมปลอมหลอมดวงใจ
รักใครเป็นต้องช้ำ
เจ็บและช้ำในใจฉันเอง
ช้ำจนมันล้นใจ
เก็บความเหงาเก่าๆ
ช้ำเกินกว่าใคร
ทำไมทำอย่างนี้ ใจนะใจ

เที่ยวตามไปเก็บความรัก
ช้ำมาหนักทุกที
เจ็บจนชินแต่กายช้ำ
แล้วทำไมไม่จำ",touch_na_takuathung
ความรักเหมือนยาขม,/music/thailyric/2027,"ก่อนเคย เคยรักกันปานดวงใจ
พอรู้เธอมาเปลี่ยนแปรไป ดั่งใจจะขาดรอนรอน
เธอลืมฉันลงไม่มั่นคงเหมือนดังแต่ก่อน
แฝงไว้ด้วยใจกะล่อน ยอกย้อนหัวใจไม่จริง

หลอกฉัน เธอนั้นรักเพียงลม ๆ
ความรักเธอเหมือนดั่งยาขม
ฉันต้องตรมเพราะคารมหญิง
เธอแจกหัวใจให้กับชายไม่เคยประวิง
หัวใจไม่เคยหยุดนิ่ง รักจริงไม่มีให้ใคร

วังเวงเหว่ว้า รักเธอเท่าฟ้า แต่เธอกลับมาทำลาย
เสียแรงรักเธอ แต่เธอไม่เคยเห็นใจ
ไปมีคู่ควงคนใหม่ ทิ้งไปไม่หวนคืนมา

จากกันแล้วไกลแสนไกล
เธอไม่ได้รักจริงจากใจ เหมือนใครเขาปราถนา
หวังรักหวานชื่น ต้องกล้ำกลืนขมขื่นเรื่อยมา
หากแม้ว่ามีชาติหน้าขออย่าพบคนหลายใจ

วังเวงเหว่ว้า รักเธอเท่าฟ้า แต่เธอกลับมาทำลาย
เสียแรงรักเธอ แต่เธอไม่เคยเห็นใจ
ไปมีคู่ควงคนใหม่ ทิ้งไปไม่หวนคืนมา

จากกันแล้วไกลแสนไกล
เธอไม่ได้รักจริงจากใจ เหมือนใครเขาปราถนา
หวังรักหวานชื่น ต้องกล้ำกลืนขมขื่นเรื่อยมา
หากแม้ว่ามีชาติหน้าขออย่าพบคนหลายใจ",touch_na_takuathung
ชดใช้,/music/thailyric/15346,"ผิดที่ฉันทำร้ายเธอก่อน มันจึงย้อนกลับมาแบบนี้
ผิดที่ไม่ดี ที่ไม่เคยทำตามสัญญา
ผิดที่ทำให้เสียน้ำตา เดินจากมาไม่ลาสักคำ
ให้เธอรับกรรมกับคำสัญญาที่มันไม่จริง

รู้ดีแก่ใจ ฉันเองก็เสียใจ เลยไม่รู้จะไปแก้ตัวยังไง

จะชดใช้ยังไงก็ไม่พอ ต่อให้ตายก็ไม่พอ
นานแค่ไหนที่ให้รอ รออย่างไม่มีใคร
จะชดใช้ยังไงก็ไม่พอ ต่อให้มันจะนานแสนนานเท่าไร
ในหัวใจฉันยังละอาย จนตายฉันยังไม่ลืม

กี่ชาติไหนจะลบความผิด ที่ฉันค้างติดเธออย่างนี้
ผิดที่ไม่ดี ที่ไม่เคยทำตามสัญญา
ผิดที่ทำให้เสียน้ำตา เดินจากมาไม่ลาสักคำ
ให้เธอรับกรรมกับคำสัญญาที่มันไม่จริง

รู้ดีแก่ใจ ฉันเองก็เสียใจ เลยไม่รู้จะไปแก้ตัวยังไง

จะชดใช้ยังไงก็ไม่พอ ต่อให้ตายก็ไม่พอ
นานแค่ไหนที่ให้รอ รออย่างไม่มีใคร
จะชดใช้ยังไงก็ไม่พอ ต่อให้มันจะนานแสนนานเท่าไร
ในหัวใจฉันยังละอาย จนตายฉันยังไม่ลืม

จะชดใช้ยังไงก็ไม่พอ ต่อให้ตายก็ไม่พอ
นานแค่ไหนที่ให้รอ รออย่างไม่มีใคร
จะชดใช้ยังไงก็ไม่พอ ต่อให้มันจะนานแสนนานเท่าไร
ในหัวใจฉันยังละอาย จนตายฉันยังไม่ลืม",touch_na_takuathung
มหาเทพไอยรา,/music/thailyric/14791,"กุมาราบุตรแห่งปารวตี
องค์ศิวะชุบชีวีขึ้นใหม่
มีเศียรเป็นช้าง พลังยิ่งใหญ่
เติบโตขึ้นเป็นมหาเทพไอยรา

ตราบยังมีพลังอยู่ในใจ อยู่ในใจ
หากเราเพียรทำดีจะมีชัย จะมีชัย
แสงของธรรมจะนำทางให้เราไป
ร้อยพันความสำเร็จเสร็จดังใจ เสร็จดังใจ

มีภัยพาลหลากหมู่มารล้อมรอบกาย
หนักปานไหนมุ่งหน้าไปไม่ไหวหวั่น
ปราบปรามเหล่าร้าย ด้วยใจมุ่งมั่น
ความดีคุ้มกันมหาเทพไอยรา

ตราบยังมีพลังอยู่ในใจ อยู่ในใจ
หากเราเพียรทำดีจะมีชัย จะมีชัย
แสงของธรรมจะนำทางให้เราไป
ร้อยพันความสำเร็จเสร็จดังใจ เสร็จดังใจ

ตราบยังมีพลังอยู่ในใจ อยู่ในใจ
หากเราเพียรทำดีจะมีชัย จะมีชัย
แสงของธรรมจะนำทางให้เราไป
ร้อยพันความสำเร็จเสร็จดังใจ เสร็จดังใจ

อันตรายนานา แพ้ให้แรงใจ
อุปสรรคใดใด แพ้ให้ปัญญา
ความโอนเอนใดใด แพ้ให้ศรัทธา
ความลำเค็ญนานา แพ้ให้ความเพียร

ตราบยังมีพลังอยู่ในใจ อยู่ในใจ
หากเราเพียรทำดีจะมีชัย จะมีชัย
แสงของธรรมจะนำทางให้เราไป
ร้อยพันความสำเร็จเสร็จดังใจ เสร็จดังใจ

ตราบยังมีพลังอยู่ในใจ อยู่ในใจ
หากเราเพียรทำดีจะมีชัย จะมีชัย
แสงของธรรมจะนำทางให้เราไป
ร้อยพันความสำเร็จเสร็จดังใจ เสร็จดังใจ",touch_na_takuathung
