song_name,href,lyric,artist
กอด,/music/thailyric/2227,"ต่อจากนี้ไป ก็คงไม่เหลือใครอีกแล้ว
เธอที่แสนดี กับวันที่แสนดีหมดแล้ว

ร้องไห้กี่ทีก็ไม่มีใครสนใจ ตอนเธอไม่อยู่มันโดดเดี่ยวขนาดไหน
ยิ่งในตอนนี้ ไม่รู้จะทำยังไง

ใครก็ได้ช่วยกอดฉันซักหน่อย และจูบฉันค่อยๆ อย่างน้อยก็แค่เวลานี้
ให้ฉันลุกขึ้นยืนอีกซักที ขอ(แค่/อีก)ซักที กอดฉันแทนเขา(อีก/สัก)ครั้ง

เธอคงไม่มา เธอคงไม่มาแล้วใช่ไหม
ต่อจากนี้ไป ต่อจากนี้ไปจบแล้ว

ร้องไห้กี่ทีก็ไม่มีใครสนใจ ตอนเธอไม่อยู่มันโดดเดี่ยวขนาดไหน
ยิ่งในตอนนี้ ไม่รู้จะทำยังไง

ใครก็ได้ช่วยกอดฉันซักหน่อย และจูบฉันค่อยๆ อย่างน้อยก็แค่เวลานี้
ให้ฉันลุกขึ้นยืนอีกซักที ขอ(แค่/อีก)ซักที กอดฉันแทนเขา(อีก/สัก)ครั้ง

ใครก็ได้ช่วยกอดฉันซักหน่อย และจูบฉันค่อยๆ อย่างน้อยก็แค่เวลานี้
ให้ฉันลุกขึ้นยืนอีกซักที ขอ(แค่/อีก)ซักที กอดฉันแทนเขา(อีก/สัก)ครั้ง

ใครก็ได้ช่วยกอดฉันซักหน่อย และจูบฉันค่อยๆ อย่างน้อยก็แค่เวลานี้
ให้ฉันลุกขึ้นยืนอีกซักที ขอ(แค่/อีก)ซักที กอดฉันแทนเขา(อีก/สัก)ครั้ง",triumphs_kingdom
เขิน,/music/thailyric/2229,"ฉันรู้ว่าเธอนั้นขี้อาย อะไรก็ไม่กล้า แค่เพียงนิดเดียวก็หน้าแดง
ทั้งๆที่เธอก็ชอบฉัน แต่ต้องทำเป็นแกล้ง ไม่ยอมแสดงออกกับฉัน

อยากให้เป็นวัน วันที่เธอกับฉันมีความสุข
ปล่อยไปตามใจ ใครจะมองยังไงก็ช่างเขา

ไม่เอาไม่เขินไม่เขิน จะเขินกับฉันทำไม ก็บอกกับฉันซิฉันซิ ว่าเธอคิดอะไร
เอามือมานี่ซินี่ซิ วางมันลงที่ตรงหัวใจ

หายหรือยัง (1 2 3) ดีขึ้นหรือยัง (1 2 3)
หายหรือยัง (1 2 3) ดีขึ้นหรือยัง (1 2 3)

ฉันรู้ว่าเธอไม่ได้กลัว แต่ก็ยังไม่กล้า แค่เพียงสบตาก็หน้าแดง
ทั้งๆที่เธอก็ชอบฉัน แต่ต้องทำเป็นแกล้ง ไม่ยอมแสดงออกกับฉัน

อยากให้เป็นวัน วันที่เธอกับฉันมีความสุข
ปล่อยไปตามใจ ใครจะมองยังไงก็ช่างเขา

ไม่เอาไม่เขินไม่เขิน จะเขินกับฉันทำไม ก็บอกกับฉันซิฉันซิ ว่าเธอคิดอะไร
เอามือมานี่ซินี่ซิ วางมันลงที่ตรงหัวใจ

หายหรือยัง (1 2 3) ดีขึ้นหรือยัง (1 2 3)
หายหรือยัง (1 2 3) ดีขึ้นหรือยัง (1 2 3)

พูดกับฉันก็ได้หัวเราะก็ได้หรือยิ้มก็ได้ จับมือสักนิดก็ได้กระทบกระทั่งอีกนิดก็ได้
ไม่ต้องกลัวกังวลระแวงอะไรใครๆที่ไหน มีแค่เราสองคนจะทำอะไรไม่เห็นต้องอาย

(ซ้ำ ** , ** , ** , **)
ไม่เอาไม่เขินไม่เขิน จะเขินกับฉันทำไม ก็บอกกับฉันซิฉันซิ ว่าเธอคิดอะไร
เอามือมานี่ซินี่ซิ วางมันลงที่ตรงหัวใจ

ไม่เอาไม่เขินไม่เขิน จะเขินกับฉันทำไม ก็บอกกับฉันซิฉันซิ ว่าเธอคิดอะไร
เอามือมานี่ซินี่ซิ วางมันลงที่ตรงหัวใจ

ไม่เอาไม่เขินไม่เขิน จะเขินกับฉันทำไม ก็บอกกับฉันซิฉันซิ ว่าเธอคิดอะไร
เอามือมานี่ซินี่ซิ วางมันลงที่ตรงหัวใจ

ไม่เอาไม่เขินไม่เขิน จะเขินกับฉันทำไม ก็บอกกับฉันซิฉันซิ ว่าเธอคิดอะไร
เอามือมานี่ซินี่ซิ วางมันลงที่ตรงหัวใจ

หายหรือยัง",triumphs_kingdom
ถอด,/music/thailyric/2232,"เธอมีอะไรอยากจะรู้หรือเปล่า ไม่ชอบเดาไม่ชอบเดาให้มันเสียเวลา
เธอมีอะไรไม่พอใจหรือเปล่า ไม่เอาไม่เอารีบบอกกับฉันมา

ไม่อยากให้เธอขรึม ไม่อยากให้เธอเฉย ขอฉันขอฉันขอฉันขอเลย

ไม่บอกจะถอดแล้วนะๆ ถอดหัวใจออกมาดู และเปิดให้ฉันได้รู้ ฉันจะได้รักษาให้
ถอดมันออกเถอะนะๆ ถอดให้มันหมดใจไป สิ่งที่เธอปิดไว้ ถอดมันออกซะทีเถอะ

ฉันทำให้เธอไม่พอใจหรือเปล่า ไม่ชอบเดาไม่ชอบเดาให้มันเสียเวลา
มีใครมาบอกอะไรเธอหรือเปล่า ไม่เอาไม่เอารีบบอกกับฉันมา

ไม่อยากให้เธอขรึม ไม่อยากให้เธอเฉย ขอฉันขอฉันขอฉันขอเลย

ไม่บอกจะถอดแล้วนะๆ ถอดหัวใจออกมาดู และเปิดให้ฉันได้รู้ ฉันจะได้รักษาให้
ถอดมันออกเถอะนะๆ ถอดให้มันหมดใจไป สิ่งที่เธอปิดไว้ ถอดมันออกซะทีเถอะ

ไม่บอกจะถอดแล้วนะๆ ถอดหัวใจออกมาดู และเปิดให้ฉันได้รู้ ฉันจะได้รักษาให้
ถอดมันออกเถอะนะๆ ถอดให้มันหมดใจไป สิ่งที่เธอปิดไว้ ถอดมันออกซะทีเถอะ

(นิ่งๆบื้อๆพูดอะไรก็ตอบทื่อๆ ดื้อๆๆถามอะไรก็ตอบฮื่อๆ
นี่อะไรนี่อะไรฟังกันหน่อยแคร์กันหน่อย เงียบๆนานๆเดี๋ยวฉันพาลเศร้าสร้อย
พูดกันดีๆฟังกันหน่อยดีไหมคะ ตอบมาตรงๆเร็วๆหน่อยได้ไหมจ๊ะ
อึดอัดๆก็เล่นเงียบตลอด ถ้ายังเป็นแบบเนี้ยเดี๊ยะๆจับถอด)

ไม่บอกจะถอดแล้วนะๆ ถอดหัวใจออกมาดู และเปิดให้ฉันได้รู้ ฉันจะได้รักษาให้
ถอดมันออกเถอะนะๆ ถอดให้มันหมดใจไป สิ่งที่เธอปิดไว้ ถอดมันออกซะทีเถอะ

ไม่บอกจะถอดแล้วนะๆ ถอดหัวใจออกมาดู และเปิดให้ฉันได้รู้ ฉันจะได้รักษาให้
ถอดมันออกเถอะนะๆ ถอดให้มันหมดใจไป สิ่งที่เธอปิดไว้ ถอดมันออกซะทีเถอะ",triumphs_kingdom
นี่ นี่,/music/thailyric/2233,"หน้าตาก็ดีทำไมขี้ลืมเสียจริงรูปหล่อ ไม่อยากพูดดังเดี๋ยวใครได้ยินกลัวใจเขาฝ่อ

ฉันนั้นก็ได้มายืน เมื่อลมเย็นๆมาเยือน
แต่เธอก็ยังแชเชือน ทำเป็นไม่รู้ลืมเลือน ใครเห็นได้แต่ยิ้มหน้าเจื่อนๆ

ยิ้มได้ไหมเธอคนดี เตือนกี่ทีถึงจะเข้าใจ
รู้ไหมหน้าต่างเปิดจนใครๆนั้นแปลกใจ เมื่อไหร่เธอนั้นจะเข้าใจสักครั้ง

ไม่รู้เหมือนกันเธอคิดอย่างไรจึงตั้งใจให้เปิด หากเธอได้ยินก็จงกลับใจนะเชื่อฉันเถิด

ฉันนั้นก็ได้มายืน เมื่อลมเย็นๆมาเยือน
แต่เธอก็ยังแชเชือน ทำเป็นไม่รู้ลืมเลือน ใครเห็นได้แต่ยิ้มหน้าเจื่อนๆ

ยิ้มได้ไหมเธอคนดี เตือนกี่ทีถึงจะเข้าใจ
รู้ไหมหน้าต่างเปิดจนใครๆนั้นแปลกใจ เมื่อไหร่เธอนั้นจะเข้าใจสักครั้ง

นี่ๆๆๆๆๆเธอกำลังทำอะไรเนี่ย หน้าตาของเธอก็ดีทำไมขี้ลืมอะไรอย่างเนี้ย
หรือว่าเธอนั้นมีแผนให้พวกแฟนๆกะลิ้มกะเหลี่ย ถ้าหากฉันเป็นคนอื่นคงจับเธอยืนแล้วตีเพี๊ยะๆ

ฉันนั้นก็ได้มายืน เมื่อลมเย็นๆมาเยือน
แต่เธอก็ยังแชเชือน ทำเป็นไม่รู้ลืมเลือน ใครเห็นได้แต่ยิ้มหน้าเจื่อนๆ

ยิ้มได้ไหมเธอคนดี เตือนกี่ทีถึงจะเข้าใจ
รู้ไหมหน้าต่างเปิดจนใครๆนั้นแปลกใจ เมื่อไหร่เธอนั้นจะเข้าใจสักครั้ง

รู้ไหมหน้าต่างเปิดจนใครๆนั้นแปลกใจ เมื่อไหร่เธอนั้นจะเข้าใจสักครั้ง",triumphs_kingdom
เผื่อว่าวันพรุ่งนี้,/music/thailyric/2235,"รู้ฉันรู้ว่าเธอนั้นดีแค่ไหน ยิ่งรู้เท่าไรยิ่งทำให้ใจฉันหวั่น
เห็นฉันเห็นทุกๆสิ่ง ที่เธอได้ทำให้ฉัน และเข้าใจว่าเธอรักฉันมาก

แต่อย่าโกรธฉันเลย เธอจะพยายามเท่าไหร่คำตอบก็เหมือนเคย
เพราะว่าใจของฉัน มีไว้ให้เขาเท่านั้น

เผื่อว่าวันพรุ่งนี้ พรุ่งนี้เขาจะกลับมาหาฉัน กลับมารักอีกที
จะนานเท่าไรก็จะรอเขาอย่างนี้ เชื่อฉันเถิดอย่าเสียเวลาอีกเลย

กี่ครั้งที่เธอบอกฉันให้ลืมเขา ลืมความปวดร้าวในใจอย่าคิดถึงมัน
ขอบคุณที่ใจของเธอมีให้ฉัน และรู้ว่ามันเป็นความหวังดี

แต่อย่าโกรธฉันเลย เธอจะพยายามเท่าไหร่คำตอบก็เหมือนเคย
เพราะว่าใจของฉัน มีไว้ให้เขาเท่านั้น

เผื่อว่าวันพรุ่งนี้ พรุ่งนี้เขาจะกลับมาหาฉัน กลับมารักอีกที
จะนานเท่าไรก็จะรอเขาอย่างนี้ เชื่อฉันเถิดอย่าเสียเวลาอีกเลย

แต่อย่าโกรธฉันเลย เธอจะพยายามเท่าไหร่คำตอบก็เหมือนเคย
เพราะว่าใจของฉัน มีไว้ให้เขาเท่านั้น

เผื่อว่าวันพรุ่งนี้ พรุ่งนี้เขาจะกลับมาหาฉัน กลับมารักอีกที
จะนานเท่าไรก็จะรอเขาอย่างนี้ เชื่อฉันเถิดอย่าเสียเวลาอีกเลย

เผื่อว่าวันพรุ่งนี้ พรุ่งนี้เขาจะกลับมาหาฉัน กลับมารักอีกที
จะนานเท่าไรก็จะรอเขาอย่างนี้ เชื่อฉันเถิดอย่าเสียเวลาอีกเลย",triumphs_kingdom
ล่ำบึ้ก,/music/thailyric/2236,"ล่ำบึ้กไปเท่านั้น ไม่เห็นเขาหล่อกว่าแฟนฉัน ไม่เห็นจะสักเท่าไร
ไหนใครบอกคิ้วหนาหน้าตาก็ดี รู้ไหมฉันแอบดูกี่ที ยังไงก็ยังไม่น่าสนใจ

ไว้จอนมีลักยิ้ม หน้าก็ดูติ๋มๆ ไม่ต้องเลยมายิ้ม ยังไงก็ไม่สนใคร
หน้าตาแบบบ้านๆ หยุดเลยตรงนั้น เพราะถ้าไม่หล่อกว่าแฟนฉัน ระวังให้ดีเถอะจะต้องเสียใจ

ก็แฟนฉันรูปหล่อ (แฟนฉันรูปหล่อ) และแฟนฉันรุ่นใหญ่ (แฟนฉันรุ่นใหญ่)
ไม่ทำเก็กไม่ทำตัวเด็กๆ เรื่องเล็กไม่ทำเป็นเรื่องใหญ่ เหมือนหนุ่มๆทั่วไป
และแฟนฉันใจกว้าง (แฟนฉันใจกว้าง) ไม่เคยจะห่างไปไหน
แม้ว่าเขาจะดูแก่ เหมือนว่าเขาเป็นเพื่อนแม่ แต่ฉันไม่เคยสนใจ ก็แฟนฉันรูปหล่อ

ไว้จอนมีลักยิ้ม หน้าก็ดูติ๋มๆ ไม่ต้องเลยมายิ้ม ยังไงก็ไม่สนใคร
หน้าตาแบบบ้านๆ หยุดเลยตรงนั้น เพราะถ้าไม่หล่อกว่าแฟนฉัน ระวังให้ดีเถอะจะต้องเสียใจ

ก็แฟนฉันรูปหล่อ (แฟนฉันรูปหล่อ) และแฟนฉันรุ่นใหญ่ (แฟนฉันรุ่นใหญ่)
ไม่ทำเก็กไม่ทำตัวเด็กๆ เรื่องเล็กไม่ทำเป็นเรื่องใหญ่ เหมือนหนุ่มๆทั่วไป
และแฟนฉันใจกว้าง (แฟนฉันใจกว้าง) ไม่เคยจะห่างไปไหน
แม้ว่าเขาจะดูแก่ เหมือนว่าเขาเป็นเพื่อนแม่ แต่ฉันไม่เคยสนใจ ก็แฟนฉันรูปหล่อ

(นี่เธอรู้ไหมว่าไม่ว่าเธอจะหล่อแค่ไหน ก็แค่อยากบอกให้เธอรู้ไว้ จะได้ไม่ต้องทำหน้าสงสัย
ไม่ต้องยักคิ้วไม่ต้องวีดวิ้ว ไม่ต้องทำเก๊กเพราะดูแล้วอิ้ว ฉันไม่เปลี่ยนใจไปจากเขาหรอก
ถ้ายังสงสัยก็คงต้องขอบอก)

ก็แฟนฉันรูปหล่อ (แฟนฉันรูปหล่อ) และแฟนฉันรุ่นใหญ่ (แฟนฉันรุ่นใหญ่)
ไม่ทำเก็กไม่ทำตัวเด็กๆ เรื่องเล็กไม่ทำเป็นเรื่องใหญ่ เหมือนหนุ่มๆทั่วไป
และแฟนฉันใจกว้าง (แฟนฉันใจกว้าง) ไม่เคยจะห่างไปไหน
แม้ว่าเขาจะดูแก่ เหมือนว่าเขาเป็นเพื่อนแม่ แต่ฉันไม่เคยสนใจ ก็แฟนฉันรูปหล่อ",triumphs_kingdom
ห้ามใจไม่ไหว,/music/thailyric/2237,"ตลอดเวลาที่เราคบกัน เวลาที่เราใกล้กันช่างดีเหลือเกิน ดีจนฉันไม่ได้เตรียมใจ
ว่าในวันนี้หัวใจชั้นเอง จะคิดอะไรกับเธอมากจนเกินไป เกินความเป็นเพื่อนของเรา

ฉันไม่กล้าจะคุยเหมือนเดิม เพราะว่าใจไม่เป็นเหมือนเดิม สบตาเธอเหมือนเดิมไม่ได้
ทุกครั้งที่เราใกล้กัน ใจฉันมันแปลกไป วันนี้ไม่เหมือนเดิม เมื่อเธอเข้ามาอยู่ในหัวใจ

มันห้ามใจไม่ไหวจริงๆ ไม่ได้จริงๆ วันนี้ฉันขอพูดทุกสิ่งที่อยู่ในหัวใจ
อย่าโกรธฉันเลย ฉันรักเธอได้ไหมได้หรือเปล่า อยากให้รักของเราเป็นมากกว่าแค่เพื่อนกัน

ตลอดเวลาฉันมีเธอใกล้ เธอเป็นคนที่เข้าใจฉันมากที่สุด เหมือนที่ฉันก็เข้าใจเธอ
แต่ไม่เคยรู้ลึกไปข้างใน เธอมองยังไงเท่าไรก็ยังไม่เจอ ว่าเธอคิดกับฉันยังไง

ฉันไม่กล้าจะคุยเหมือนเดิม เพราะว่าใจไม่เป็นเหมือนเดิม สบตาเธอเหมือนเดิมไม่ได้
ทุกครั้งที่เราใกล้กัน ใจฉันมันแปลกไป วันนี้ไม่เหมือนเดิม เมื่อเธอเข้ามาอยู่ในหัวใจ

มันห้ามใจไม่ไหวจริงๆ ไม่ได้จริงๆ วันนี้ฉันขอพูดทุกสิ่งที่อยู่ในหัวใจ
อย่าโกรธฉันเลย ฉันรักเธอได้ไหมได้หรือเปล่า อยากให้รักของเราเป็นมากกว่าแค่เพื่อนกัน

อยากให้รักของเราเป็นมากกว่าแค่เพื่อนกัน",triumphs_kingdom
อดใจไม่ได้,/music/thailyric/2238,"ฉันได้ยินว่าเธอเสียใจ เธอว่าฉันคงได้แค่มองใกล้ๆ
อยากปลอบเธอแต่ไม่รู้จะทำอย่างไร อยากช่วยเธอแต่ไม่รู้ต้องเริ่มตรงไหน

ก็เธอไม่เคยหรอก ก็เธอไม่เคยบอก ให้ฉันได้เข้าใจ
เหมือนเธอไม่ต้องการ ให้ฉันได้รู้

แต่ก็อดใจไม่ได้ เพราะฉันรักและห่วงเธอ
แต่ก็เปลี่ยนใจไม่ได้ เพราะฉันรู้ดีว่าเธอ
คงจะบอกใครไม่ได้ เพราะว่าเธอก็คือเธอ
อยากจะเปลี่ยนเธอให้ได้ ฉันไม่รู้ทำอย่างไร
อยากจะบอกเธอให้ได้ ว่าฉันรักเธอแค่ไหน
หากเธอเข้าใจฉันได้ ฉันพร้อมจะอยู่ข้างเธอ

ก็เธอไม่เคยหรอก ก็เธอไม่เคยบอก ให้ฉันได้เข้าใจ
เหมือนเธอไม่ต้องการ ให้ฉันได้รู้

แต่ก็อดใจไม่ได้ เพราะฉันรักและห่วงเธอ
แต่ก็เปลี่ยนใจไม่ได้ เพราะฉันรู้ดีว่าเธอ
คงจะบอกใครไม่ได้ เพราะว่าเธอก็คือเธอ
อยากจะเปลี่ยนเธอให้ได้ ฉันไม่รู้ทำอย่างไร
อยากจะบอกเธอให้ได้ ว่าฉันรักเธอแค่ไหน
หากเธอเข้าใจฉันได้ ฉันพร้อมจะอยู่ข้างเธอ

แต่ก็อดใจไม่ได้ เพราะฉันรักและห่วงเธอ
แต่ก็เปลี่ยนใจไม่ได้ เพราะฉันรู้ดีว่าเธอ
คงจะบอกใครไม่ได้ เพราะว่าเธอก็คือเธอ
อยากจะเปลี่ยนเธอให้ได้ ฉันไม่รู้ทำอย่างไร
อยากจะบอกเธอให้ได้ ว่าฉันรักเธอแค่ไหน
หากเธอเข้าใจฉันได้ ฉันพร้อมจะอยู่ข้างเธอ

แต่ก็อดใจไม่ได้...
อยากจะบอกเธอให้ได้...
หากเธอเข้าใจฉันได้...
อยากจะเปลี่ยนเธอให้ได้...
แต่ก็เปลี่ยนใจไม่ได้...
หากเธอเข้าใจฉันได้...
แต่ก็อดใจไม่ได้...",triumphs_kingdom
งานเลี้ยง,/music/thailyric/2230,"นั่งมองใครๆเขาสนุกในงานเลี้ยง ฉันทำได้เพียงมองเท่านั้น
เพราะในวันนี้ ฉันยังปรับใจไม่ทัน
ที่จะไม่มีเขาคู่กันในงานเลี้ยง ปล่อยเสียงเพลงดังเป็นเพื่อนฉันคิด (ฉันคิด)
อยากเจอเขา (อยากเจอเขา) แต่เราคงไม่ได้พบกัน
พยายามไม่คิดอะไร พูดคุยกับใครไปเรื่อยเปื่อย
พยายามไม่คิดเท่าไหร่ น้ำตายิ่งไหลมาเรื่อยๆ

ต่อจากนี้เราก็คงไม่เกี่ยวกันแล้ว และก็คงไม่มีวี่แววที่เขาจะกลับมาหาคืนมาอย่างเคย
ในตอนนี้บอกตรงๆว่าไม่คุ้นเลย ไม่รู้จะมีความสุขเหมือนเคยอีกไหม
คิดถึงเขามาก ไม่รู้ว่าจะหายซักเมื่อไหร่

ถ้าในวันนั้น ฉันไม่ทำให้เขาเสียใจ ในวันนี้ฉันคงมีความสุขมากกว่าใครๆ

ต่อจากนี้เราก็คงไม่เกี่ยวกันแล้ว และก็คงไม่มีวี่แววที่เขาจะกลับมาหาคืนมาอย่างเคย
ในตอนนี้บอกตรงๆว่าไม่คุ้นเลย ไม่รู้จะมีความสุขเหมือนเคยอีกไหม
คิดถึงเขามาก ไม่รู้ว่าจะหายซักเมื่อไหร่

ต่อจากนี้เราก็คงไม่เกี่ยวกันแล้ว และก็คงไม่มีวี่แววที่เขาจะกลับมาหาคืนมาอย่างเคย
ในตอนนี้บอกตรงๆว่าไม่คุ้นเลย ไม่รู้จะมีความสุขเหมือนเคยอีกไหม
คิดถึงเขามาก ไม่รู้ว่าจะหายซักเมื่อไหร่",triumphs_kingdom
ผ้าเช็ดหน้า,/music/thailyric/2234,"เจอะเธอเมื่อไหร่ในใจมันหวิว เด็ดดอกไม้ปลิวจนเกลื่อนถนน
เธอน่ารักจนฉันเก็บไปคิดไปฝัน อยากขอเป็นแฟนด้วยคน
หน้าตาของเธอก็หล่อพอใช้ แต่ว่าหัวใจเธอช่างเปี่ยมล้น
เธอเพียบพร้อมไปทุกอย่าง จนฉันสับสนว่าต้องทำตัวยังไง

แล้วก็ไม่กล้าจริงๆ ไม่กล้าจริงๆ ทุกครั้งที่ฉันเจอเธอฉันนั้นไม่กล้าจริงๆ
จะต้องทำท่ายังไง จะพูดจะเริ่มยังไง ก็ใจฉันมันปิ๊ง

ช่วยเก็บผ้าเช็ดหน้า ของฉันหน่อยได้ไหม
เพราะฉันทำมันตก ฉันกลัวใครคว้าไป
ช่วยเก็บผ้าเช็ดหน้า ของฉันหน่อยได้ไหม
เพราะฉันทำมันตก ตกลงพร้อมหัว(ใจ)

ไม่พูดไม่จาทำท่าเงียบขรึม ยิ่งเธอเซื่องซึมฉันยิ่งสับสน
อยากให้เธอเห็นผ้าเช็ดหน้า ที่ทิ้งเอาไว้รอจนหัวใจเวียนวน

แล้วก็ไม่กล้าจริงๆ ไม่กล้าจริงๆ ทุกครั้งที่ฉันเจอเธอฉันนั้นไม่กล้าจริงๆ
จะต้องทำท่ายังไง จะพูดจะเริ่มยังไง ก็ใจฉันมันปิ๊ง

ช่วยเก็บผ้าเช็ดหน้า ของฉันหน่อยได้ไหม
เพราะฉันทำมันตก ฉันกลัวใครคว้าไป
ช่วยเก็บผ้าเช็ดหน้า ของฉันหน่อยได้ไหม
เพราะฉันทำมันตก ตกลงพร้อมหัว(ใจ)

ไม่อยากทอดสะพาน แต่รอนานๆก็ไม่ไหวนะ
เจอกันมาตั้งนานแล้ว ทำไมไม่มองตัวฉันบ้างล่ะ
ตรงนี้ตรงนี้ หยิบสิหยิบสิ มองเห็นไหมจ๊ะ
อุตส่าห์ทิ้งให้เธอเก็บ ทำไมไม่เก็บซะทีล่ะคะ

แล้วก็ไม่กล้าจริงๆ ไม่กล้าจริงๆ ทุกครั้งที่ฉันเจอเธอฉันนั้นไม่กล้าจริงๆ
จะต้องทำท่ายังไง จะพูดจะเริ่มยังไง ก็ใจฉันมันปิ๊ง

ช่วยเก็บผ้าเช็ดหน้า ของฉันหน่อยได้ไหม
เพราะฉันทำมันตก ฉันกลัวใครคว้าไป
ช่วยเก็บผ้าเช็ดหน้า ของฉันหน่อยได้ไหม
เพราะฉันทำมันตก ตกลงพร้อมหัว(ใจ)

ช่วยเก็บผ้าเช็ดหน้า ของฉันหน่อยได้ไหม
เพราะฉันทำมันตก ฉันกลัวใครคว้าไป
ช่วยเก็บผ้าเช็ดหน้า ของฉันหน่อยได้ไหม
เพราะฉันทำมันตก ตกลงพร้อมหัว(ใจ)",triumphs_kingdom
