song_name,href,lyric,artist
อเวนิว (Avenue),/music/thailyric/9023,"เหงา หัวใจ จนอาจจะหนาว ข้างกายรู้สึกปวดร้าว
จนมันคิดล่องลอยออกไปแสนไกล
พอเวลาเย็นๆ กลางคืนทีไร
ใจที่มีแต่เงา ก็เหงามากมาย
ถ้าเธอเคยรู้สึกแบบนี้ ก็โปรดตั้งใจฟัง

แค่อยากให้เพลงของฉัน นั้นทำให้เธอสบายใจ
ลองหลับตาลงซักครั้ง ก็จะเห็นฉันไม่จากไปไหน
ปลดปล่อยความเหงาช้าๆ สูดลมหายใจที่มีค่า
ก็จะรู้ว่าฉันนั้นพร้อมยืนอยู่ข้างเธอ โอ้ว

เหงาที่ใจ จนอาจจะท้อ
มืดเกินจนเปลี่ยวอยากขอ
อยากจะขอให้ใครจูงมือข้างกาย
มันคงดีถ้ามีมือใครคนนั้น
คนที่พร้อมจะคอยอยู่เคียงข้างกัน
ถ้าเธอเคยรู้สึกแบบนี้ ก็โปรดตั้งใจฟัง

แค่อยากให้เพลงของฉัน นั้นทำให้เธอสบายใจ
ลองหลับตาลงซักครั้ง ก็จะเห็นฉันไม่จากไปไหน
ปลดปล่อยความเหงาช้าๆ สูดลมหายใจที่มีค่า
ก็จะรู้ว่าฉันนั้นพร้อม ยืนอยู่ข้างเธอ โอ้ว

พอดีมีเพื่อนที่แสนดี ที่สุดอีกคนหนึ่ง
พอดีอยากพามาแนะนำ ให้คุณได้คิดถึง
ว่าเพื่อนคนนี้มีชื่อและนิยาม แบบซึ้งๆ
เรียกสั้นๆ ง่ายๆ คือ ลมหายใจ

ทั้งที่จริงจริง เขาอยู่กับคุณมานาน
ทั้งที่จริงเขาอยู่กับคุณ ตลอดเวลา
คุณไม่ได้แค่เพียงอยู่คนเดียว
เพื่อนคนนี้ฝากบอกว่า อาการเหงาๆ
ก็แค่ผ่านมา เดี๋ยวก็ผ่านไป และผ่านไป

ปลดปล่อยความเหงาช้าๆ สูดลมหายใจที่มีค่า
ก็จะรู้ว่าฉันนั้นพร้อม ยืนอยู่ข้างเธอ โอ้ว",whatcharawale
จี๊ป (Jeep),/music/thailyric/8245,"ในวันที่ฝน เปลี่ยนเป็นเมฆขาว
อากาศเช้าๆ สวยงามกว่าใคร
มือเธอและฉัน จับจูงกันไป
เดินด้วยกันนะ

เราผ่านเรื่องราวอะไรๆ มากมาย
อาจมีทั้งร้ายและดี เข้ามาในบางครั้ง
แต่ขอแค่เธอ ขอแค่เธอ

ยังจำได้ไหม ตอนที่เธอท้อ
ตอนที่เธอล้า หัวใจแทบหมดแรง
คำพูดของฉัน บอกเธอวันนั้น
ให้เธอโปรดเข้มแข็ง

เมื่อเธอทุกข์ใจ ให้ลองเอาเท้าจุ่มน้ำ
ปล่อยความทุกข์ลอยไปกับทะเลและฟ้าสีคราม
จากวันนั้น ฉันและเธอ

จุดเริ่มต้นความรัก นั้นล้วนมาจากใจ
อาจไม่มีเหตุผล แต่ฉันรู้ว่ามันใช่
เธอเติมเต็มให้ฉัน รับรู้ได้ด้วยหัวใจที่สุขล้น

จะจดจำวันนี้ ทุกนาทีผ่านไป
ต่อให้นานแค่ไหน ไกลจนถึงสวรรค์เบื้องบน
ให้รักของเรา อยู่ตลอดกาล

ยังจำได้ไหม ตอนที่เธอท้อ
ตอนที่เธอล้า หัวใจแทบหมดแรง
คำพูดของฉัน บอกเธอวันนั้น
ให้เธอโปรดเข้มแข็ง

เมื่อเธอทุกข์ใจ ให้ลองเอาเท้าจุ่มน้ำ
ปล่อยความทุกข์ลอยไปกับทะเลและฟ้าสีคราม
จากวันนั้น ฉันและเธอ

จุดเริ่มต้นความรัก นั้นล้วนมาจากใจ
อาจไม่มีเหตุผล แต่ฉันรู้ว่ามันใช่
เธอเติมเต็มให้ฉัน รับรู้ได้ด้วยหัวใจที่สุขล้น

จะจดจำวันนี้ ทุกนาทีผ่านไป
ต่อให้นานแค่ไหน ไกลจนถึงสวรรค์เบื้องบน
ให้รักของเรา อยู่ตลอดกาล

จุดเริ่มต้นความรัก นั้นล้วนมาจากใจ
อาจไม่มีเหตุผล แต่ฉันรู้ว่ามันใช่
เธอเติมเต็มให้ฉัน รับรู้ได้ด้วยหัวใจที่สุขล้น

จะจดจำวันนี้ ทุกนาทีผ่านไป
ต่อให้นานแค่ไหน ไกลจนถึงสวรรค์เบื้องบน
ให้รักของเรา อยู่ตลอดกาล",whatcharawale
ถนนบนต้นไม้ใหญ่,/music/thailyric/8846,"ตัวอยู่ที่ตรงนี้หัวใจเธออยู่ตรงไหน
บนทางเดินนี้ตอนนี้ดูไกลออกไป
สายลมคอยปลิวผ่าน

เส้นทางเก่า รถคันเก่า
กับถนนที่มันยังคงทอดยาว
ถ้าวิ่งเข้าไปเจอทางที่ตัน
ก็ลองขึ้นไปบนนั้นบนต้นไม้ใหญ่

ออกเดินทางอีกครั้งเปิดหัวใจอีกครั้ง
วิ่งขึ้นไปบนนั้นแม้มันอาจดูไกล
แต่ต้องมีสักวันที่หัวใจเธอนั้นพบคนที่ถูกใจ

โปรดส่งมือให้ฉัน โปรดยื่นมือให้ฉัน
จะจับเธอไว้อย่างนั้นขอให้เธอจงมั่นใจ
ไม่ต้องกลัวจะล้มปีนขึ้นไปเถอะนะ
ฉันจะเป็นต้นไม้ใหญ่ให้เธอ

เพียง เพียงแค่เธอยิ้มก้าวเดินได้อีกสักหน
บนทางเดินนี้มีฉันยืนคอยอีกคน
ขอเธอจงมั่นใจ

เส้นทางเก่า รถคันเก่า
กับถนนที่มันยังคงทอดยาว
ถ้าวิ่งเข้าไปเจอทางที่ตัน
ก็ลองขึ้นไปบนนั้นบนต้นไม้ใหญ่

ออกเดินทางอีกครั้งเปิดหัวใจอีกครั้ง
วิ่งขึ้นไปบนนั้นแม้มันอาจดูไกล
แต่ต้องมีสักวันที่หัวใจเธอนั้นพบคนที่ถูกใจ

โปรดส่งมือให้ฉัน โปรดยื่นมือให้ฉัน
จะจับเธอไว้อย่างนั้นขอให้เธอจงมั่นใจ
ไม่ต้องกลัวจะล้มปีนขึ้นไปเถอะนะ
ฉันจะเป็นต้นไม้ใหญ่ให้เธอ

ออกเดินทางอีกครั้งเปิดหัวใจอีกครั้ง
วิ่งขึ้นไปบนนั้นแม้มันอาจดูไกล
แต่ต้องมีสักวันที่หัวใจเธอนั้นพบคนที่ถูกใจ

โปรดส่งมือให้ฉัน โปรดยื่นมือให้ฉัน
จะจับเธอไว้อย่างนั้นขอให้เธอจงมั่นใจ
ไม่ต้องกลัวจะล้มปีนขึ้นไปเถอะนะ
ฉันจะเป็นต้นไม้ใหญ่ให้เธอ",whatcharawale
ทราย,/music/thailyric/8843,"เธอเชื่อไหมความรักเหมือนทำให้เราหลับตา
ปล่อยหัวใจช้าๆ ล่องลอยข้ามคืนแห่งฝัน
หมอกดูคล้อยลอยผ่านใจดวงนี้ก็มีแต่เธอทั้งนั้น
ทุกๆ คำรำพันเอ่ยผ่านใจ

ให้เธอรู้ ให้เธอรู้
อยากให้เธอรู้ คือความรัก

จะกอดเธอไปจนเช้า
แสงดาวกระทบที่ข้างฉัน
ให้ไออุ่นกายเราผูกกัน
ฉันนั้นรักเธอเหลือเกิน

จะกอดเธออยู่อย่างนี้
ข้ามคืนผ่านพ้นราตรีนี้
จวบจนสิ้นแสงแห่งชีวี
ก็ยังรักเธอเหลือเกิน
ต่อไปจากนี้ทุกคืนที่เธอตื่นมา
จะมีมือฉันคนนี้นั่งกุมหัวใจเอาไว้
ไกลสุดฟ้าแสนไกล
ใจดวงนี้ก็จะไม่ลอยไปไหน
ขอให้เธอเชื่อใจฉัน

ให้เธอรู้ (ว่าเธอมีค่าแค่ไหน)
ให้เธอรู้ (ทั้งชีวิต หัวใจ)
อยากให้เธอรู้ (จะมอบให้เธอเท่านั้น)
คือความรัก

จะกอดเธอไปจนเช้า
แสงดาวกระทบที่ข้างฉัน
ให้ไออุ่นกายเราผูกกัน
ฉันนั้นรักเธอเหลือเกิน

จะกอดเธออยู่อย่างนี้
ข้ามคืนผ่านพ้นราตรีนี้
จวบจนสิ้นแสงแห่งชีวี
ก็ยังรักเธอเหลือเกิน

จะกอดเธอไปจนเช้า
แสงดาวกระทบที่ข้างฉัน
ให้ไออุ่นกายเราผูกกัน
ฉันนั้นรักเธอเหลือเกิน

จะกอดเธออยู่อย่างนี้
ข้ามคืนผ่านพ้นราตรีนี้
จวบจนสิ้นแสงแห่งชีวี
ก็ยังรักเธอเหลือเกิน",whatcharawale
ทะเลลิฟท์,/music/thailyric/9476,"อยากจะดึง เธอคืนมา จะต้องทำยังไง
เนื่องจากวันนั้น ฉันทำมันพัง
จนทำให้เธอมีใคร
มันผิดที่ฉัน ไม่เอาใจใส่
และทิ้งหัวใจจนเธอเดียวดาย

ก็เคยได้ยิน ว่าในตำนาน นิทานเวลา
ถ้าหากว่าใครต้องการให้รัก ที่มีคืนมา
ต้องผ่านภูเขา และลิฟท์น้ำตา
ใจกลางทะเลที่ลึก

แค่อยากให้รัก ที่ผ่านไปแล้ว หวนคืน
เลยอยากจะฝืน จึงออกเดินทาง เอารักคืนกลับมา

ทะเลลิฟท์ หนใด ทะเลมีลิฟท์ อยู่หนใด
มีจริงใช่ไหมหัวใจฉันไม่รู้ดี
มันอาจเป็นเพียงที่ๆ มันแสนไกล
แต่ฉันไม่ยอมจะปล่อยเธอจากไป
แลกมาด้วยอะไร แค่ไหนฉันก็พร้อม จะทำ

ก็เคยได้ยิน ว่าในตำนาน นิทานเวลา
ถ้าหากว่าใครต้องการให้รัก ที่มีคืนมา
ต้องผ่านภูเขา และลิฟท์น้ำตา
ใจกลางทะเลที่ลึก

แค่อยากให้รัก ที่ผ่านไปแล้ว หวนคืน
เลยอยากจะฝืน จึงออกเดินทาง เอารักคืนกลับมา

ทะเลลิฟท์ หนใด ทะเลมีลิฟท์ อยู่หนใด
มีจริงใช่ไหมหัวใจฉันไม่รู้ดี
มันอาจเป็นเพียงที่ๆ มันแสนไกล
แต่ฉันไม่ยอมจะปล่อยเธอจากไป
แลกมาด้วยอะไร แค่ไหนฉันก็พร้อม จะทำ

ทะเลลิฟท์ หนใด ทะเลมีลิฟท์ อยู่หนใด
มีจริงใช่ไหมหัวใจฉันไม่รู้ดี
มันอาจเป็นเพียงที่ๆ มันแสนไกล
แต่ฉันไม่ยอมจะปล่อยเธอจากไป
แลกมาด้วยอะไร แค่ไหนฉันก็พร้อม จะทำ",whatcharawale
น้อย,/music/thailyric/9631,"ฉันไม่เคยดัง และยังคงเดิม
ตอนนี้ รึว่าตอนไหน

ฉันก็คนหนึ่ง แต่รักฉันยิ่งใหญ่
ใหญ่กว่าใคร เธอคงรู้ดี

ยังคงมีแค่เธอและต่อไป
ยังจะมีแค่เธอจนสุดท้าย กายแตกสลาย
จนวันที่ฉันหมดลมจากไป
เชื่อเถอะความรักไม่เคยห่างหาย

มันสถิตอยู่ในใจชายคนนี้
มันไม่อาจที่จะลบ ล้างเรื่องราวดีๆ
หัวใจฉัน จะมีแต่เธอเท่านั้น

เธอมาเติมให้ชีวิตมีการเปลี่ยนผัน
เธอมาทำให้เวลาแห่งรัก สวยงามทุกวัน
หัวใจฉัน จะมีแต่เธอ

ฉันไม่เคยดัง และยังคงเดิม
ตอนนี้ รึว่าตอนไหน

ฉันก็คนหนึ่ง แต่รักฉันยิ่งใหญ่
ใหญ่กว่าใคร เธอคงรู้ดี

ยังคงมีแค่เธอและต่อไป
ยังจะมีแค่เธอจนสุดท้าย กายแตกสลาย
จนวันที่ฉันหมดลมจากไป
เชื่อเถอะความรักไม่เคยห่างหาย

มันสถิตอยู่ในใจชายคนนี้
มันไม่อาจที่จะลบ ล้างเรื่องราวดีๆ
หัวใจฉัน จะมีแต่เธอเท่านั้น

เธอมาเติมให้ชีวิตมีการเปลี่ยนผัน
เธอมาทำให้เวลาแห่งรัก สวยงามทุกวัน
หัวใจฉัน

ยังคงมีแค่เธอและต่อไป
ยังจะมีแค่เธอจนสุดท้าย กายแตกสลาย
จนวันที่ฉันหมดลมจากไป
เชื่อเถอะความรักไม่เคยห่างหาย

มันสถิตอยู่ในใจชายคนนี้
มันไม่อาจที่จะลบ ล้างเรื่องราวดีๆ
หัวใจฉัน จะมีแต่เธอเท่านั้น

เธอมาเติมให้ชีวิตมีการเปลี่ยนผัน
เธอมาทำให้เวลาแห่งรัก สวยงามทุกวัน
หัวใจฉัน",whatcharawale
ผมคือเวลา,/music/thailyric/9336,"ฟ้าค่อยๆ มืดลง
คล้ายอารมณ์อ่อนไหว
เห็นสายตาที่ท้อเหนื่อยจนล้าหัวใจ
อดทนไว้หัวใจเธอ

คิดว่าในคืนหนึ่ง
เธอคงได้เฝ้าคอยแต่คิดถึง
เขาหรือใครคนนั้นด้วยแววตาที่สะอื้น
อดทนไว้นะที่รัก

ลองหลับตาสักครั้งให้ใจของฉัน
ได้บินเข้าถึง ณ ที่นั้นนั้น
ฉันหวังว่าเธอจะลองเปิดรับ
จะดึงมือเธอเข้ามากอดไว้ที่ฉัน
อิงและเอนกายแนบซบกัน ค่อยๆ ผ่าน

คงไม่นานเท่าไหร่
ใจที่ช้ำชาและหวั่นไหว
จะได้เวลาที่พร้อมออกเดินทางเริ่มใหม่
อดทนไว้นะที่รัก

ลองหลับตาสักครั้งให้ใจของฉัน
ได้บินเข้าถึง ณ ที่นั้นนั้น
ฉันหวังว่าเธอจะลองเปิดรับ
จะดึงมือเธอเข้ามากอดไว้ที่ฉัน
อิงและเอนกายแนบซบกัน
ค่อยๆ ผ่าน ในคืนนี้

ลองหลับตาสักครั้งให้ใจของฉัน
ได้บินเข้าถึง ณ ที่นั้นนั้น
ฉันหวังว่าเธอจะลองเปิดรับ
จะดึงมือเธอเข้ามากอดไว้ที่ฉัน
อิงและเอนกายแนบซบกัน
ค่อยๆ ผ่าน มันไปด้วยกัน",whatcharawale
ฟอร์เวิร์ด (Forward),/music/thailyric/9130,"มือของเธอนั้นจะอุ่นไหม
ฝนแถวนั้นจะยังตกไหม
มืดสว่างอากาศก็ร้อนตั้งมากมาย
ใจดวงนี้คิดถึงเธอ

เธอคงยังมีความสุขนะ
ถ้าลดไปฉันพร้อมแบ่งนะ
ยื่นให้เธอส่งใจของฉันที่มีค่า
ฝากไปให้พร้อมความห่วงใย

หอบเอาความรักที่มีในใจ
ที่เต็มด้วยความรู้สึก
ความคิดถึงไม่เหงา มีแต่อุ่นหัวใจ
ไปให้เธอนะคนดี ได้อุ่นเอนข้างกาย
ขอให้เธอเก็บเอาไว้

และต่อจากนั้น
ลองเอาดวงใจของเธอที่มีความสุข
หมดความทุกข์ เลิกเหงามีแต่อุ่นหัวใจ
ยื่นให้คนที่เดินเคียง ได้อุ่นเอนข้างกาย
ชีวิตช่างดูมีความหมาย

มองในใจจะเจอรอยยิ้ม
ยิ้มที่มาจากการใส่ใจ
ฟ้าอากาศจะเปลี่ยนจะผันซักเท่าใด
สุขของฉันไม่จืดจาง

หอบเอาความรักที่มีในใจ
ที่เต็มด้วยความรู้สึก
ความคิดถึงไม่เหงา มีแต่อุ่นหัวใจ
ไปให้เธอนะคนดี ได้อุ่นเอนข้างกาย
ขอให้เธอเก็บเอาไว้

และต่อจากนั้น
ลองเอาดวงใจของเธอที่มีความสุข
หมดความทุกข์ เลิกเหงามีแต่อุ่นหัวใจ
ยื่นให้คนที่เดินเคียง ได้อุ่นเอนข้างกาย
ชีวิตช่างดูมีความหมาย ที่มากกว่านั้น

หอบเอาความรักที่มีในใจ
ที่เต็มด้วยความรู้สึก
ความคิดถึงไม่เหงา มีแต่อุ่นหัวใจ
ไปให้เธอนะคนดี ได้อุ่นเอนข้างกาย
ขอให้เธอเก็บเอาไว้

และต่อจากนั้น
ลองเอาดวงใจของเธอที่มีความสุข
หมดความทุกข์ เลิกเหงามีแต่อุ่นหัวใจ
ยื่นให้คนที่เดินเคียง ได้อุ่นเอนข้างกาย
ชีวิตช่างดูมีความหมาย ที่มากกว่านั้น",whatcharawale
แฟ,/music/thailyric/9511,"รักแท้ ไม่ใช่เพียงจะมองกันแค่หน้าตา
ไม่ใช่รอเวลาเพียงลมพัดมา
ก็จะได้พบรักที่แท้ข้างใน
มันต้องมีอารมณ์ที่อุ่นใจ
ยืนมือสัมผัส แล้วอุ่นกาย
มันต้องมีมวล ความรัก
กระจายอยู่ในทุกส่วน

รักแท้ แบบของฉัน ก็คือจะทำเพื่อเธอ
เติมความหอม ละมุน ในความรักเธอ
ให้เธอรู้ว่ารักที่แท้แค่ไหน
พร้อมให้ไออุ่นตอนตื่นนอน
ฉันจะคอยกอดเธอตลอดไป
ขอแค่เพียงเธอ เปิดใจมองมาที่ฉัน

เธอจะพบ รักจริง อยู่ตรงนี้ ไม่ไกล
จับซิเธอ หัวใจฉัน ได้ยินไหม
ขอหัวใจเธอนะ พร้อมทุกคำสัญญา
จะรักก็เพียงแค่เธอ เท่านั้น

รักแท้ แบบของฉัน ก็คือจะทำเพื่อเธอ
เติมความหอม ละมุน ในความรักเธอ
ให้เธอรู้ว่ารักที่แท้แค่ไหน
พร้อมให้ไออุ่นตอนตื่นนอน
ฉันจะคอยกอดเธอตลอดไป
ขอแค่เพียงเธอ เปิดใจมองมาที่ฉัน

เธอจะพบ รักจริง อยู่ตรงนี้ ไม่ไกล
จับซิเธอ หัวใจฉัน ได้ยินไหม
ขอหัวใจเธอนะ พร้อมทุกคำสัญญา
จะรักก็เพียงแค่เธอ เท่านั้น

เธอจะพบ รักจริง อยู่ตรงนี้ ไม่ไกล
จับซิเธอ หัวใจฉัน ได้ยินไหม
ขอหัวใจเธอนะ พร้อมทุกคำสัญญา
จะรักก็เพียงแค่เธอ เท่านั้น",whatcharawale
ร่มสีเทา,/music/thailyric/8645,"ฉันเฝ้าถามความสุขอยู่ที่ไหน ชายที่เขาเดินผ่านฉันเข้ามา
บอกกับฉันขอร่มสักคัน แต่ว่าที่มือเขาก็มีหนึ่งคัน
ก็แปลกใจ ท่ามกลางหยดฝนโปรยปราย

เขาก็ถามฉันว่าอยากสุขไหม ลองหุบร่มในมือสักพักหนึ่ง
และเงยหน้ามองวันเวลา มองหยดน้ำที่มันกระทบตา
ยังเปียกอยู่ใช่ไหม หรือไม่มีฝน

บนท้องฟ้าไม่มีอะไรแน่นอน ถ้ามองจากตรงนี้
เดี๋ยวก็มืด แล้วก็สว่าง
อาจจะมีฝนก่อเป็นพายุ หรือลมลอยปลิวอยู่แค่นั้น
สุขที่เคยเดินทางตามหามานาน
ไม่ได้ไกลที่ไหน อยู่แค่นี้เอง

ยิ้มฉันยิ้มมากกว่าทุกครั้ง
สุขที่ฉันตามหามาแสนนาน
อยู่ตรงนี้ แค่เพียงเข้าใจ อย่าไปยึด
ถือมันและกอดไว้ ก็แค่ร่มเท่านั้น เท่านั้น

บนท้องฟ้าไม่มีอะไรแน่นอน ถ้ามองจากตรงนี้
เดี๋ยวก็มืด แล้วก็สว่าง
อาจจะมีฝนก่อเป็นพายุ หรือลมลอยปลิวอยู่แค่นั้น
สุขที่เคยเดินทางตามหามานาน
ไม่ได้ไกลที่ไหน อยู่แค่นี้เอง

ฉันเห็นเธอถือร่มผ่านมา เต็มไปด้วยร่องรอย
และคราบน้ำตา ฉันได้เห็นแล้วมันปวดใจ
ไม่ใช่เพียงแค่เธอที่ทุกข์ ฉันก็เป็นเหมือนเธอ
เธอได้ยินไหม อยากขอให้เธอลองโยนร่มที่ถือเอาไว้หนัก
โยนมันออกไป

บนท้องฟ้าไม่มีอะไรแน่นอน ถ้ามองจากตรงนี้
เดี๋ยวก็มืด แล้วก็สว่าง
อาจจะมีฝนก่อเป็นพายุ หรือลมลอยปลิวอยู่แค่นั้น
สุขที่เคยเดินทางตามหามานาน ไม่ได้ไกลที่ไหน

อย่าไปยึด อย่าไปถือ
อย่าไปเอามากอดไว้ ก็จะไม่เสียใจ
ตลอดชีวิต ต้องผ่านการเปลี่ยนแปลง ไม่ว่าใคร
จะทุกข์ จะสุขแค่ไหน ก็อยู่ที่จะมอง",whatcharawale
