song_name,href,lyric,artist
Rapper ยาดอง,/music/thailyric/15186,"แต่งตัวแม่งโคตรเซอร์ อยากจะเป็น Rapper
นั่งดูรายการ The Rapper อยู่แทบทุกวัน
เพลงแร็ปแม่งโคตรสนุก เพลงแร็ปแม่งโคตรสุดๆ
และไอ้ตัวกระผมนี่ โคตรอยากจะ Run

เอ๊ะ นี่ใครโทรมา ที่รักเค้านี่หว่า
มาบอกอะไรเวลานี้ให้เราเลิกกัน
ไม่เคยคิดละก็ไม่เคยฝัน
โอ้ว แม่จอมขวัญเธอทำกันได้
เธอบอกว่า Say goodbye
แค่นี้ไม่ตาย เดี๋ยวก็หาใหม่ได้
หัวใจเธอทำด้วยอะไร คบกันมาตั้งนาน
มดขึ้นน้ำตาลเธอก็เริ่มเปลี่ยนไป
ลีลาของเราไม่ร้อนเป็นไฟ
หรือเธอแค่เหงาใช่ไหม It's alright
หัวร้อนขึ้นมาทันใดบอกเลยว่าตอนนี้
อารมณ์มันเริ่ม สลด กระเพาะมันเริ่มมีกรด
โทรหาเพื่อนทั้งที คืนนี้ต้องมี ยกซด สักที

(ฮัลโหล บอล เพื่อน กูอกหัก)

คืนนี้นั่งบ้านเราม้าย อะคืนนี้เดี๋ยวผมจัดให้
อย่าคิดมากไม่พรือบายๆ สาวๆ ก็มีตั้งมากมาย
แลต่ะนุ แลต่ะนุ แลต่ะโด้

ช่วงนี้เลยต้องกินยาดอง
เพราะรักตอนนี้มันไม่ค่อยปรองดอง
รักใครรักจริงล่ะไม่ใช่แค่ลอง
เธอเลิกกันไปน้ำตาแทบนอง

ช่วงนี้เลยต้องกินยาดอง
เพราะรักตอนนี้มันไม่ค่อยปรองดอง
รักใครรักจริงล่ะไม่ใช่แค่ลอง
เธอเลิกกันไปน้ำตาแทบนอง

พออาการมันเริ่มทรงตัว
เธอนั้นทักกลับมา ฉันยังกล้าๆ กลัวๆ
เพื่อนมันบอก ไม่ดี๊ ไม่ดี ไม่เอา อย่างงี้
เดี๋ยวต้องเป็นควายเป็นวัว
ฉันต้องดื่มไปสักเท่าไรกว่า ฉันจะ ลบความกลัว
พูดจริงๆ ไม่ต้องให้สวด
ว่าในทุกวันนี้ฉันนั้นนอนกอดขวด
แล้วนี่ เธอกลับมาเพื่ออะไร
มาทำให้ฉันเจ็บปวดรวดร้าวโอ้วแม่สาวน้อย
ไปหาเอา ปร้า อื่นไป

คืนนี้นั่งบ้านเราม้าย อะคืนนี้เดี๋ยวผมจัดให้
อย่าคิดมากไม่พรือบายๆ สาวๆ ก็มีตั้งมากมาย
แลต่ะนุ แลต่ะนุ แลต่ะโด้

ช่วงนี้เลยต้องกินยาดอง
เพราะรักตอนนี้มันไม่ค่อยปรองดอง
รักใครรักจริงล่ะไม่ใช่แค่ลอง
เธอเลิกกันไปน้ำตาแทบนอง

ช่วงนี้เลยต้องกินยาดอง
เพราะรักตอนนี้มันไม่ค่อยปรองดอง
รักใครรักจริงล่ะไม่ใช่แค่ลอง
เธอเลิกกันไปน้ำตาแทบนอง

ช่วงนี้เลยต้องกินยาดอง
เพราะรักตอนนี้มันไม่ค่อยปรองดอง
รักใครรักจริงล่ะไม่ใช่แค่ลอง
เธอเลิกกันไปน้ำตาแทบนอง

ช่วงนี้เลยต้องกินยาดอง
เพราะรักตอนนี้มันไม่ค่อยปรองดอง
รักใครรักจริงล่ะไม่ใช่แค่ลอง
เธอเลิกกันไปน้ำตาแทบนอง",wongklom
คนเมื่อคืน,/music/thailyric/14173,"เธอคนเมื่อคืนหายไปไหน
แล้วเรื่องเมื่อคืนคืออะไร
ตกลงเมื่อคืนหมายความว่าไง
มันลืมง่ายดายอย่างนั้นเลยเหรอ

ยังติดใจในเมื่อคืนนี้
เธอบอกรักฉันตั้งหลายที
เธอลืมไปแล้วจริงๆ ใช่ไหมคนดี
กับสิ่งที่เกิดขึ้นเมื่อคืนนี้

มันคืออะไรฉันงง พูดกันตรงๆ ก็ได้
เธอคอยหลบหน้าฉันทำไม
เธอเป็นอะไรไปแล้วบอกฉันที
ความจำเธอสั้นหรือเปล่า
หรือว่าแค่เมาเมื่อคืนนี้
บอกฉันว่ารักอย่างโน้นอย่างนี้
แล้วตอนนี้มันเกิดอะไร

เธอคนเมื่อคืนหายไปไหน
แล้วเรื่องเมื่อคืนคืออะไร
ตกลงเมื่อคืนหมายความว่าไง
มันลืมง่ายดายอย่างนั้นเลยเหรอ

ยังติดใจในเมื่อคืนนี้
เธอบอกรักฉันตั้งหลายที
เธอลืมไปแล้วจริงๆ ใช่ไหมคนดี
กับสิ่งที่เกิดขึ้นเมื่อคืนนี้
บอกฉันทีว่ามันไม่มีอะไร

ไหน อาการมันเป็นยังไง
บอกรักกันจะเป็นจะตาย
แล้วเนี่ยอะไรลืมกันง่ายๆ อย่างนี้เลยเหรอ
โอ๊ย อย่าทำเป็น Innocent นอนกอดกันทั้งคืน
พอตื่นทำเป็นมึน ฉันจำได้ทั้งหมดเมื่อคืน
เธอเป็นคนเริ่มเข้ามาทัก พอสักพักบอกว่ารัก
ไอ้ฉันก็ยิ่งอ่อนไหว เชื่อคนง่าย
ยังเข้ามาซบ ปากกระซิบบอกว่าฉันคือสุดใจ
ที่ดีที่สุดที่เคยเจอ เธอจำได้ไหม

เธอคนเมื่อคืนหายไปไหน
แล้วเรื่องเมื่อคืนคืออะไร
ตกลงเมื่อคืนหมายความว่าไง
มันลืมง่ายดายอย่างนั้นเลยเหรอ

ยังติดใจในเมื่อคืนนี้
เธอบอกรักฉันตั้งหลายที
เธอลืมไปแล้วจริงๆ ใช่ไหมคนดี
กับสิ่งที่เกิดขึ้นเมื่อคืนนี้
บอกฉันทีว่ามันไม่มีอะไร

เธอคนเมื่อคืนหายไปไหน
แล้วเรื่องเมื่อคืนคืออะไร
ตกลงเมื่อคืนหมายความว่าไง
มันลืมง่ายดายอย่างนั้นเลยเหรอ

ยังติดใจในเมื่อคืนนี้
เธอบอกรักฉันตั้งหลายที
เธอลืมไปแล้วจริงๆ ใช่ไหมคนดี
กับสิ่งที่เกิดขึ้นเมื่อคืนนี้
บอกฉันทีว่ามันไม่มีอะไร",wongklom
ตลอดชีวิต,/music/thailyric/12679,"มีพบมันก็ต้องมีจาก
แต่ฉันก็ไม่อยากให้วันนั้น
มาถึงวันที่เราสองคนต้องเลิกกัน
แต่วันนี้ฉันก็รู้ดี
ว่าเธอมีฉันแค่คนเดียว
แต่พอนานไป
เผื่อเธอจะพบเจอใคร
ชีวิตของเธอ
อาจจะดีกว่าที่เป็นอยู่

ถามเพื่อความมั่นใจ
เพื่อความรู้สึก
ที่มันอึดอัดอยู่ข้างใน
อยากให้เธอบอกกับฉันไว้

สัญญาได้ไหม
ว่าเธอจะไม่ทิ้งกัน
ในวันที่ฉันนั้นลำบาก
เธอกล้าสาบานหรือเปล่า
ว่าเธอจะรักกับฉัน
นั้นเป็นคนสุดท้าย

ไม่ว่าอะไรจะเกิดขึ้นมา
เมื่อเธอเจอทางที่ดีข้างหน้า
เธอสัญญากับฉันได้ไหม
สัญญากับฉันได้ไหม
จะรักกับฉันไปตลอดชีวิต

มีพบมันก็ต้องมีจาก
แต่ฉันก็ไม่อยากให้วันนั้น
มาถึงวันเราสองคนต้องเลิกกัน
แต่วันนี้ฉันก็รู้ดี
ว่าเธอมีฉันแค่คนเดียว
แต่พอนานไป
เผื่อเธอจะพบเจอใคร
ชีวิตของเธอ
อาจจะดีกว่าที่ป็นอยู่

สัญญาได้ไหม
ว่าเธอจะไม่ทิ้งกัน
ในวันที่ฉันนั้นลำบาก
เธอกล้าสาบานหรือเปล่า
ว่าเธอจะรักกับฉัน
นั้นเป็นคนสุดท้าย

ไม่ว่าอะไรจะเกิดขึ้นมา
เมื่อเธอเจอทางที่ดีข้างหน้า
เธอสัญญากับฉันได้ไหม
สัญญากับฉันได้ไหม
จะรักกับฉันไปตลอดชีวิต

ถามเพื่อความมั่นใจ
เพื่อความรู้สึก
ที่มันอึดอัดอยู่ข้างใน
อยากให้เธอบอกกับฉันไว้

สัญญาได้ไหม
ว่าเธอจะไม่ทิ้งกัน
ในวันที่ฉันนั้นลำบาก
เธอกล้าสาบานหรือเปล่า
ว่าเธอจะรักกับฉัน
นั้นเป็นคนสุดท้าย

ไม่ว่าอะไรจะเกิดขึ้นมา
เมื่อเธอเจอทางที่ดีข้างหน้า
เธอสัญญากับฉันได้ไหม
สัญญากับฉันได้ไหม

สัญญาได้ไหม
ว่าเธอจะไม่ทิ้งกัน
ในวันที่ฉันนั้นลำบาก
เธอกล้าสาบานหรือเปล่า
ว่าเธอจะรักกับฉัน
นั้นเป็นคนสุดท้าย

ไม่ว่าอะไรจะเกิดขึ้นมา
เมื่อเธอเจอทางที่ดีข้างหน้า
เธอสัญญากับฉันได้ไหม
สัญญากับฉันได้ไหม
จะรักกับฉันไปตลอดชีวิต",wongklom
ที่ 2 ก็ยังดี,/music/thailyric/17536,"แม้ฉันจะมาก่อน แต่ไม่ได้หมายความจะเป็นที่หนึ่ง
ได้แค่เพียงลึกซึ้งแต่ไม่ถึงกับเป็นแฟน
รักเธอมากเท่าไร ไม่มีสิทธิ์จะห่วงแหน
เพราะฉันไม่ใช่แฟนต่อให้ดีแสนดี เธอคงไม่มอง

แต่เขามาทีหลัง แต่กลับได้ใจเธอไปครอบครอง
ฉันแค่ตัวสำรองไม่อาจเรียกร้องอะไรจากเธอ
บอกรักสักหมื่นพันครั้งล้านครั้งถึงจะดังก็ไม่มีประโยชน์
เมื่อคนที่เธอเลือกไม่ใช่ฉัน แต่เป็นเขา

ถึงฉันจะเป็นคนมาก่อน แต่ไม่ได้หมายความจะเป็นตัวจริง
ตำแหน่งที่เธอนั้นมอบให้ที่หนึ่งไม่ไหวต้องพึ่งเขาก็แล้วกัน
ความจริงฉันนั้นคงเข้าใจว่ามีสิทธิ์แค่ไหน หรือว่าฉันมันต้อยต่ำ
ที่หนึ่งเธอไม่ให้ฉัน ไม่เป็นไรไอ้คนอย่างฉันที่สองก็ยังดี

ถึงฉันจะเป็นคนมาก่อน แต่ไม่ได้หมายความจะเป็นตัวจริง
ตำแหน่งที่เธอนั้นมอบให้ที่หนึ่งไม่ไหวต้องพึ่งเขาก็แล้วกัน
ความจริงฉันนั้นคงเข้าใจว่ามีสิทธิ์แค่ไหน หรือว่าฉันมันต้อยต่ำ
ที่หนึ่งเธอไม่ให้ฉัน ไม่เป็นไรไอ้คนอย่างฉันที่สองก็ยังดี

ถึงฉันจะเป็นคนมาก่อน แต่ไม่ได้หมายความจะเป็นตัวจริง
ตำแหน่งที่เธอนั้นมอบให้ที่หนึ่งไม่ไหวต้องพึ่งเขาก็แล้วกัน
ความจริงฉันนั้นคงเข้าใจว่ามีสิทธิ์แค่ไหน หรือว่าฉันมันต้อยต่ำ
ที่หนึ่งเธอไม่ให้ฉัน ไม่เป็นไรไอ้คนอย่างฉันที่สองก็ยังดี

ไม่เป็นไรไอ้คนอย่างฉันที่สองก็ยังดี",wongklom
บางอารมณ์,/music/thailyric/13775,"อาจมีบางครั้งที่ใจฉันมันหวั่นไหว
เผลอใจ นอกลู่นอกทางไปบ้าง
แค่เพียงเสี้ยวอารมณ์ ของ ใจคนเท่านั้น
ก็ไม่ได้คิด อะไรมากมายเกินเลยไป

แค่รู้สึกดี เมื่อฉันมีเขาอยู่ใกล้ๆ
หวั่นไหวไปตาม ห้วงอารมณ์
ไม่ได้คิดอะไร
มันเป็นสัญชาติญาณของหัวใจ

คนไหนคนนั้นก็แล้วกัน ไม่คิดปันใจก็แล้วกัน
ขอให้เธอมั่นใจ กับคำที่ฉันให้ไว้
เธออย่าหวั่นไหวก็แล้วกัน ถ้าฉันนั้นคิดจะนอกใจ
ฉันคงทำ ไปตั้งนานแล้ว
ฉันคงไม่ทนอยู่กับเธออย่างนี้หรอก
ให้เธอนั้น แค่เพียงบางเสี้ยวอารมณ์ของหัวใจ

อาจมีบางครั้งที่ใจฉันมันอ่อนไหว
มันตอบสนองค่อนข้างไว ต่อความรู้สึก

แค่เพียงเสี้ยวอารมณ์ ของใจคนเท่านั้น
ก็ไม่ได้คิด อะไรมากมายเกินเลยไป
แค่รู้สึกดี เมื่อฉันมีเขาอยู่ใกล้ๆ

คนไหนคนนั้นก็แล้วกัน ไม่คิดปันใจก็แล้วกัน
ขอให้เธอมั่นใจ กับคำที่ฉันให้ไว้
เธออย่าหวั่นไหวก็แล้วกัน ถ้าฉันนั้นคิดจะนอกใจ
ฉันคงทำ ไปตั้งนานแล้ว
ฉันคงไม่ทนอยู่กับเธออย่างนี้หรอก
ให้เธอนั้น แค่เพียงบางเสี้ยวอารมณ์ของหัวใจ

คนไหนคนนั้นก็แล้วกัน ไม่คิดปันใจก็แล้วกัน
ขอให้เธอมั่นใจ กับคำที่ฉันให้ไว้
เธออย่าหวั่นไหวก็แล้วกัน ถ้าฉันนั้นคิดจะนอกใจ
ฉันคงทำ ไปตั้งนานแล้ว
ฉันคงไม่ทนอยู่กับเธออย่างนี้หรอก
ให้เธอนั้น แค่เพียงบางเสี้ยวอารมณ์ของหัวใจ

แค่เพียงบางเสี้ยวอารมณ์ของหัวใจ",wongklom
ประกาศหาแฟน,/music/thailyric/20310,"โลกของคนโสดทำไมมันเหงาอย่างนี้
ผ่านมากี่ปีอาการแบบนี้ยังไม่หายไป
เช้าของทุกวัน ยังนั่งเหม่อลอยคอยหา
ใครสักคน ก็หวังว่าฟ้าจะเข้าใจ

หรือว่าฟ้ายังไม่ส่งมา หรือชะตายังล้อเล่น
ทำให้คนหนึ่งคนอย่างฉัน ต้องทนเดียวดายอย่างนี้

ประกาศหาแฟนสักคนเธอไม่ต้องดีสักเท่าไร
เธอไม่ต้องสวยก็ได้ แต่ขอให้เป็นคนดี
ประกาศหาคนจริงใจที่อยู่ใกล้ๆ แล้วมีความสุข
เธอไม่ต้องน่ารักที่สุด แต่ขอให้อยู่กับฉันจนวันสุดท้าย

โลกของความจริงที่ใครหลายคนนั้นต้องเจอ
อาจจะเหงาแต่คนมีคู่ไม่เข้าใจ

หรือว่าฟ้ายังไม่ส่งมา หรือชะตายังล้อเล่น
ทำให้คนหนึ่งคนอย่างฉัน ต้องทนเดียวดายอย่างนี้

ประกาศหาแฟนสักคนเธอไม่ต้องดีสักเท่าไร
เธอไม่ต้องสวยก็ได้ แต่ขอให้เป็นคนดี
ประกาศหาคนจริงใจที่อยู่ใกล้ๆ แล้วมีความสุข
เธอไม่ต้องน่ารักที่สุด แต่ขอให้อยู่กับฉันจนวันสุดท้าย

หรือว่าฟ้ายังไม่ส่งมา หรือชะตายังล้อเล่น
ทำให้คนหนึ่งคนอย่างฉัน ต้องทนเดียวดายอย่างนี้

ประกาศหาแฟนสักคนเธอไม่ต้องดีสักเท่าไร
เธอไม่ต้องสวยก็ได้ แต่ขอให้เป็นคนดี
ประกาศหาคนจริงใจที่อยู่ใกล้ๆ แล้วมีความสุข
เธอไม่ต้องน่ารักที่สุด แต่ขอให้อยู่กับฉัน

ประกาศหาแฟนสักคนเธอไม่ต้องดีสักเท่าไร
เธอไม่ต้องสวยก็ได้ แต่ขอให้เป็นคนดี
ประกาศหาคนจริงใจที่อยู่ใกล้ๆ แล้วมีความสุข
เธอไม่ต้องน่ารักที่สุด แต่ขอให้อยู่กับฉันจนวันสุดท้าย

แต่ขอให้อยู่กับฉันจนวันตาย",wongklom
แฟนคนใหม่,/music/thailyric/12063,"ขอโทษด้วยนะ หลายครั้งที่ทำตัวไม่ดี
ชอบทำให้เธอ ต้องมีน้ำตาต้องร้องไห้
ขอโทษด้วยนะ ที่มองไม่เห็นค่าความห่วงใย
มีแต่คิดจะนอกใจ จ้องจะทำร้ายเธอเท่านั้น

ไม่เคยดูแลใส่ใจ เที่ยวสนุกไปให้พ้นวัน
เห็นเพื่อนคนอื่นสำคัญ กว่าคนที่เป็นแฟน
รู้ตัวว่าผิดมานาน คนอย่างฉันไม่คู่ควร เดินควงแขน
แต่ขอโอกาสให้ฉันได้ตอบแทน จะได้ไหม

คนเก่ามันไม่ดี ก็อยากให้ลืมมันไป
วันนี้ขอทำหน้าที่แฟนคนใหม่ จะดูแลรักเธอให้มากกว่า
คนเก่ามันไม่ดี ก็อย่าไปเอาอะไรกับมัน
ทิ้งไปแล้วเริ่มใหม่กับฉัน จะเป็นคนใหม่แบบที่เธอต้องการ

รู้สึกผิดเมื่อรู้ เห็นเธอต้องทุกข์ทน
เสียใจเพราะฉันกี่หน แต่เธอก็ทนอยู่อย่างนั้น
ไอ้ฉันมันเลว มันเลว มันเลว ขอโทษด้วยนะที่ทำให้ผิดหวัง
ขอโอกาสให้ฉันสักครั้ง ตอบแทนเธอได้ไหม

คนเก่ามันไม่ดี ก็อยากให้ลืมมันไป
วันนี้ขอทำหน้าที่แฟนคนใหม่ จะดูแลรักเธอให้มากกว่า
คนเก่ามันไม่ดี ก็อย่าไปเอาอะไรกับมัน
ทิ้งไปแล้วเริ่มใหม่กับฉัน จะเป็นคนใหม่แบบที่เธอต้องการ

จะดูแลเธอให้ดีกว่าไอ้คนนั้น โว้ว..โว..

ที่เคยทำเธอต้องเหนื่อย ฉันขอรับผิดตรงนี้
ที่เคยทำตัวไม่ดี แต่ต่อจากนี้
มันจะไม่มีอีกต่อไป

คนเก่ามันไม่ดี ก็อยากให้ลืมมันไป
วันนี้ขอทำหน้าที่แฟนคนใหม่ จะดูแลรักเธอให้มากกว่า
คนเก่ามันไม่ดี ก็อย่าไปเอาอะไรกับมัน
ทิ้งไปแล้วเริ่มใหม่กับฉัน จะเป็นคนใหม่แบบที่เธอต้องการ

จะดูแลเธอให้ดีกว่าไอ้คนนั้น...
ที่มีแต่ ทำร้ายเธอ",wongklom
มีแต่เธอ,/music/thailyric/20916,"ตลอดเวลาที่เราอยู่ด้วยกัน ฉันเชื่อใจเธอ
อยู่ๆ กันไปอย่างมีจุดหมาย ไม่เคยปิดบังอะไรทั้งนั้น
แต่ดูเหมือนเธอไม่ค่อยมั่นใจ
ในตัวฉันสักเท่าไร สักเท่าไร

ทั้งที่ฉันไม่เคยจะคิดจะนอกใจ แต่เหมือนเธอที่คอยระแวง
ที่คอยจับผิดฉันเรื่อยมา ฉันจะไปมีใครได้ฉันมีแต่เธอเท่านั้น
เหมือนฟ้ากับดาว  เหมือนฉันกับเธอ

ต่อให้ใครมานอนแก้ผ้าให้ท่าอย่างไรฉันก็ไม่สนใจ
ฉันมีแต่เธอ มีแต่เธอ มีแต่เธอ มีแต่เธอ
ต่อให้โลกนี้นั้นมันมลายสลายไป จะเก็บรักนี้เป็นขี้เถ้า
เป็นฝุ่นละอองลอยไปตามสายลม

ก็ทุกเวลาที่ฉันนั้นหายใจ ฉันก็มีแต่เธอ
ก็มีบางครั้งที่ฉันนั้นเพ้อ แต่ฉันไม่เคยเปลี่ยนใจ

ทั้งที่ฉันไม่เคยจะคิดจะนอกใจ แต่เหมือนเธอที่คอยระแวง
ที่คอยจับผิดฉันเรื่อยมา ฉันจะไปมีใครได้ฉันมีแต่เธอเท่านั้น
เหมือนฟ้ากับดาว  เหมือนฉันกับเธอ

ต่อให้ใครมานอนแก้ผ้าให้ท่าอย่างไรฉันก็ไม่สนใจ
ฉันมีแต่เธอ มีแต่เธอ มีแต่เธอ มีแต่เธอ
ต่อให้โลกนี้นั้นมันมลายสลายไป จะเก็บรักนี้เป็นขี้เถ้า
เป็นฝุ่นละอองลอยไปตามสายลม

ถึงฉันจะเคยทำตัวไม่ดี แต่จากนี้ฉันขอสัญญากับเธอ

ต่อให้ใครมานอนแก้ผ้าให้ท่าอย่างไรฉันก็ไม่สนใจ
ฉันมีแต่เธอ มีแต่เธอ มีแต่เธอ มีแต่เธอ
ต่อให้โลกนี้นั้นมันมลายสลายไป จะเก็บรักนี้เป็นขี้เถ้า
เป็นฝุ่นละอองลอยไปตามสายลม",wongklom
ไม่ใช่คนเจ้าชู้,/music/thailyric/22053,"ไม่ใช่เจ้าชาย เลิศหรูเหมือนในละคร
ไม่ได้ดีพร้อม แค่คนเดินดินทั่วไป
มีแต่ใจให้เธอ ให้แค่เธอไม่เคยให้ใคร
โปรดจงรู้ไว้ เพราะใจฉันมีอันเดียว

ก็แค่ชายเซอร์ๆ แอบมีความเท่นิดหน่อย
อาจดูเจ้าชู้ แต่มันไม่ใช่เรื่องจริง
อย่าไปฟังใครพูดกัน เรื่องพันนั้นฉันฟังจนชิน
ขอพูดจากใจจริงๆ โปรดฟังเอาไว้

ฉันไม่ใช่คนเจ้าชู้ ฉันไม่ใช่คนหลายใจ
ต่อให้เจอสาวๆ มากมาย ไม่เคยสักครั้งเลยคนดี
ก็แฟนเราสวย เธอน่ารักเธอช่างแสนดี
สวยกว่าใครในปฐพี ให้นอกใจเธอคนนี้ ฉันทำไม่ลง

ก็แค่ชายเซอร์ๆ แอบมีความเท่นิดหน่อย
อาจดูเจ้าชู้ แต่มันไม่ใช่เรื่องจริง
อย่าไปฟังใครพูดกัน เรื่องพันนั้นฉันฟังจนชิน
ขอพูดจากใจจริงๆ โปรดฟังเอาไว้

ฉันไม่ใช่คนเจ้าชู้ ฉันไม่ใช่คนหลายใจ
ต่อให้เจอสาวๆ มากมาย ไม่เคยสักครั้งเลยคนดี
ก็แฟนเราสวย เธอน่ารักเธอช่างแสนดี
สวยกว่าใครในปฐพี ให้นอกใจเธอคนนี้ ฉันทำไม่ลง

ฉันไม่ใช่คนเจ้าชู้ ฉันไม่ใช่คนหลายใจ
ต่อให้เจอสาวๆ มากมาย ไม่เคยสักครั้งเลยคนดี
ก็แฟนเราสวย เธอน่ารักเธอช่างแสนดี
สวยกว่าใครในปฐพี ให้นอกใจเธอคนนี้ ฉันทำไม่ลง",wongklom
ไม่ใช่ณเดช,/music/thailyric/11440,"ผิดที่ฉันมันไม่หล่อ
เธอนั้นมาล้อว่าฉันไม่ดีพอ
เทียบกับใครไม่ได้
ให้ไปตายแล้วเกิดใหม่ มันคงจะยาก
เพราะมันเป็นกรรมพันธุ์ตั้งแต่บรรพบุรุษ

ไม่มีเงินทองมากองให้เธอ
ไม่มีรถเก๋ง ให้เธอขี่
อาจจะไม่หล่อเหมือนใคร
ก็ฉันมันมีอยู่เท่านี้
แต่อย่ามาว่ากันได้หม้าย
และอย่าว่ากันได้หม้าย

ก็ฉันไม่ใช่ณเดช ไม่ใช่มาริโอ้
ไม่ใช่พวกไฮโช ผู้ดีตีนแดง
เธอไม่สวยเท่าไร เทียบพิงกี้ไม่ได้
เธอมาว่าฉันทำไม ให้ฉันเจ็บใจ
เธอต้องเข้าใจ ว่าฉันไม่ใช่ณเดช

หากว่าฉันนั้นมันหล่อ
ฉันคงไม่มาง้อให้มันเสียเวลา
ให้มันเป็นขี้ปากเธอ
ให้ไปตายแล้วเกิดใหม่
มันคงจะยาก เพราะมันเป็นกรรมพันธุ์
ตั้งแต่บรรพบุรุษ

ไม่มีเงินทองมากองให้เธอ
ไม่มีรถเก๋ง ให้เธอขี่
อาจจะไม่หล่อเหมือนใคร
ก็ฉันมันมีอยู่เท่านี้
แต่อย่ามาว่ากันได้หม้าย
และอย่าว่ากันได้หม้าย

ก็ฉันไม่ใช่ณเดช ไม่ใช่มาริโอ้
ไม่ใช่พวกไฮโช ผู้ดีตีนแดง
เธอไม่สวยเท่าไร เทียบพิงกี้ไม่ได้
เธอมาว่าฉันทำไม ให้ฉันเจ็บใจ
เธอต้องเข้าใจ ว่าฉันไม่ใช่ณเดช

อาบน้ำขัดผิวก็แล้ว สปาก็เข้าแล้ว
อาบน้ำนมก็แล้ว
ทำไมไม่หล่อเหมือนเดชสักที

ก็ฉันไม่ใช่ณเดช ไม่ใช่มาริโอ้
ไม่ใช่พวกไฮโช ผู้ดีตีนแดง
เธอไม่สวยเท่าไร เทียบพิงกี้ไม่ได้
เธอมาว่าฉันทำไม ให้ฉันเจ็บใจ
เธอต้องเข้าใจ

ว่าฉันไม่ใช่ณเดช ไม่ใช่มาริโอ้
ไม่ใช่พวกไฮโช ผู้ดีตีนแดง
เธอไม่สวยเท่าไร เทียบพิงกี้ไม่ได้
เธอมาว่าฉันทำไม ให้ฉันเจ็บใจ
เธอต้องเข้าใจ ว่าฉันไม่ใช่ณเดช

เธอต้องเข้าใจ ว่าฉันไม่ใช่ณเดช

ว่าฉันไม่ใช่ณเดช
ว่าฉันไม่ใช่ณเดช
ว่าฉันไม่ใช่ณเดช",wongklom
