song_name,href,lyric,artist
อยากมองเธอ...ในแง่ร้าย,/music/thailyric/4948,"ยิ่งฉันฝืนไม่คุยกับเธอ ยิ่งฉันฝืนไม่มองหน้าเธอ
ใจของฉันก็ยิ่งอยากเจอ ยิ่งคิดถึงเธอทุกที
กลัวพูดมากันว่าฉันจะหวัง กลัวยิ้มมาแล้วฉันจะพัง
กลัวหัวใจที่มันจริงจัง จะตั้งความหวังกับเธอคนนี้
ก็เธอนั่นแหละน่ารักขึ้นทุกที

พยายามค้นหาว่าเพราะอะไร ใจของฉันจึงไม่ไปไหน
ยิ่งฉันฝืนจะไม่ใส่ใจ ยิ่งแย่ลงไปทุกที
ไม่ว่าเธอจะทำอะไร ไม่ว่าเธอจะไปกับใคร
รู้ไหมฉันไม่เคยเปลี่ยนใจ ก็ได้แต่มองเธอในแง่ดี
ก็เธอนั้นแหละน่ารักขึ้นทุกที อย่างนี้

อยากมองเธอในแง่ร้าย ให้จิตใจได้หยุดพัก
แต่ยิ่งมองเท่าไร มันช่างยิ่งตกหลุมในความรัก
ไม่เข้าใจสงสัย เพราะเหตุใดประหลาดนัก
ยิ่งระวังเท่าไร ฉันยิ่งตกหลุมรักเธอ

ก็อยากจะพูดให้ฟังสักที ว่าเธอนั่นแหละน่ารักขึ้นทุกที อย่างนี้

อยากมองเธอในแง่ร้าย ให้จิตใจได้หยุดพัก
แต่ยิ่งมองเท่าไร มันช่างยิ่งตกหลุมในความรัก
ไม่เข้าใจสงสัย เพราะเหตุใดประหลาดนัก
ยิ่งระวังเท่าไร ฉันยิ่งตกหลุมรักเธอ

อยากมองเธอในแง่ร้าย ให้จิตใจได้หยุดพัก
แต่ยิ่งมองเท่าไร มันช่างยิ่งตกหลุมในความรัก
ไม่เข้าใจสงสัย เพราะเหตุใดประหลาดนัก
ยิ่งระวังเท่าไร ฉันยิ่งตกหลุมรักเธอ

อยากมองเธอในแง่ร้าย ให้จิตใจได้หยุดพัก
แต่ยิ่งมองเท่าไร มันช่างยิ่งตกหลุมในความรัก
ไม่เข้าใจสงสัย เพราะเหตุใดประหลาดนัก
ยิ่งระวังเท่าไร ฉันยิ่งตกหลุมรักเธอ",yokee_playboy
อีกแล้ว,/music/thailyric/4949,"อยู่คนเดียวทุกครั้ง ต้องเปิดเพลงดังๆเอาไว้คลายเหงา
รู้สึกมันช่างว่างเปล่า เหลือเรา อยู่กับตัวเองทุกที ทุกที

รู้สึกอย่างฉันไหม ว่าเราช่างเดียวดายในโลกไปนี้
รอบกายที่เห็นไม่มี สักคน ยิ่งทำให้ฉันร้อนรน ร้อนใจ
เพราะอะไร บอกได้ไหม ทำไมฉันถึงเป็นอย่างนี้

อีกแล้ว นี่ฉันต้องคิดถึงเธออีกแล้ว
อีกแล้ว แค่นี้ก็ทนไม่ไหวหรือเรา
โลกที่ไม่มีเธอ นั้นมันช่างว่างเปล่า
เธอทำให้ฉันเข้าใจว่าความเหงา นั้นมันเป็นอย่างไร

รู้สึกอย่างฉันไหม ว่ามันช่างเดียวดายเมื่อเราห่างกัน
เมื่อไหร่จะถึงวัน ได้เจอ เฝ้ารอให้ถึงวัน ได้พบเธอ
คิดเสมอ อยากให้เธอมาอยู่ด้วยกันตอนนี้

อีกแล้ว นี่ฉันต้องคิดถึงเธออีกแล้ว
อีกแล้ว แค่นี้ก็ทนไม่ไหวหรือเรา
โลกที่ไม่มีเธอ นั้นมันช่างว่างเปล่า
เธอทำให้ฉันเข้าใจว่าความเหงา นั้นมันเป็นอย่างไร

อีกแล้ว นี่ฉันต้องคิดถึงเธออีกแล้ว
อีกแล้ว แค่นี้ก็ทนไม่ไหวหรือเรา
โลกที่ไม่มีเธอ นั้นมันช่างว่างเปล่า
เธอทำให้ฉันเข้าใจว่าความเหงา นั้นมันเป็นอย่างไร

อีกแล้ว นี่ฉันต้องคิดถึงเธออีกแล้ว
อีกแล้ว แค่นี้ก็ทนไม่ไหวหรือเรา
โลกที่ไม่มีเธอ นั้นมันช่างว่างเปล่า
เธอทำให้ฉันเข้าใจว่าความเหงา นั้นมันเป็นอย่างไร",yokee_playboy
ประตูหลัง,/music/thailyric/9086,"มีล่ะไม่มา
ไม่มีเมื่อไรค่อยมาหาจากตัวฉัน
จะเอาแต่ความสุข
ก็เธอไม่เคยเลยจะทุกข์กับฉันสักอย่าง

เป็นเหมือนเครื่องใช้
โดนโยนทิ้งตอนไม่ใช้
แล้วก็ไป ปล่อยฉันเหมือนปลาตาย
จุดอ่อนฉันที่เธอใช้ เป็นสุขาให้ถ่ายไว้
สบายก็ไป สนุกอยู่ไหนเธอก็ลืมฉันงั้น

ออกประตูหลังไปเถอะ
ถ้าเป็นอย่างนี้ไม่ต้องเลย
รีบออกจากใจฉันไปเถอะ
ถ้าเป็นอย่างนี้ไม่ต้องเลย

ฉันเปิดประตูหลังให้เธอ
เอาไปเถอะนะ รีบออกเลย
รีบออกจากใจฉันไปเถอะ
ถ้าเป็นอย่างนี้ไม่ต้องเลย

โดนเอาเปรียบ
เธอมองว่าเป็นทางที่ใช้ผ่านเฉพาะหน้า
เจ็บจนเสียด เธอทำให้ฉันนั้น
ต้องใช้มือก่ายหน้าผาก

ก็เป็นเหมือนเครื่องใช้
โดนโยนทิ้งตอนไม่ใช้
แล้วก็ไป ปล่อยฉันเหมือนปลาตาย
จุดอ่อนฉันที่เธอใช้ เป็นสุขาให้ถ่ายไว้
สบายก็ไป สนุกอยู่ไหนเธอก็ลืมฉันงั้น

ออกประตูหลังไปเถอะ
ถ้าเป็นอย่างนี้ไม่ต้องเลย
รีบออกจากใจฉันไปเถอะ
ถ้าเป็นอย่างนี้ไม่ต้องเลย ขอร้องเถอะ

ฉันเปิดประตูหลังให้เธอ
เอาไปเถอะนะ รีบออกเลย
รีบออกจากใจฉันไปเถอะ
ถ้าเป็นอย่างนี้ไม่ต้องเลย

ออกประตูหลังไปเถอะ
ถ้าเป็นอย่างนี้ไม่ต้องเลย
รีบออกจากใจฉันไปเถอะ
ถ้าเป็นอย่างนี้ไม่ต้องเลย

ฉันเปิดประตูหลังให้เธอ
เอาไปเถอะนะ รีบออกเลย
รีบออกจากใจฉันไปเถอะ
ถ้าเป็นอย่างนี้ไม่ต้องเลย",yokee_playboy
เส้นชัย (Goal Heart Soul),/music/thailyric/8825,"ทุกๆ ครั้งที่ตื่นขึ้นมา
มีแสงอาทิตย์บนฟ้าส่อง
มองดูตัวเองตั้งแต่ลืมตาขึ้นมา
ถ้าคิดถึงใครสักคนนั้น

คงเป็นรักแท้ที่รอมานาน
อาจเป็นรักแท้ในใจที่ฉันนั้นต้องการ
จะบอกให้เธอได้รู้ และฟังที่ฉันพูด

ต่อให้ฝนเทจากฟ้ามีพายุยังไง
จะออกเดินก้าวต่อไปไม่ไหวหวั่น
ถ้าจุดหมายทางที่ไปถึงเส้นชัยอยู่ตรงนั้น

ลมจะพัดต้านฉันเอาไว้ยังไง
เธอจะรู้ไม่มีทางเช่นเดียวกัน
ที่จะรอหรือว่าท้อ

ก็เหมือนทุกครั้งที่เคยพูด ฉันเคยพูดยังไง
ก็ยังคงเป็นอย่างนั้นทุกอย่าง
มีเธอรอ ฉันไม่ท้อไม่เลยสักวัน

เพราะทุกครั้งที่ตื่นขึ้นมา
ยังเห็นแสงบนท้องฟ้าส่อง
ให้ฉันได้มองอีก

เฝ้ารอคอยวันที่เราจะได้พบกัน
แค่มี่เธอกับฉันขอมีเธอเท่านั้น
ไม่ว่ายังไงก็ตาม

วันเวลาที่คิดถึงเธอทุกครั้งในใจ
ก็เกิดแรงให้ทำได้ทุกอย่าง
ฝันของเธอและฉัน
ที่เราเคยหวังในใจมาด้วยกัน

ลมจะพัดต้านฉันเอาไว้ยังไง
เธอจะรู้ไม่มีทางเช่นเดียวกัน
ที่จะรอ หรือว่าท้อไม่เลยสักวัน

ลมจะพัดต้านฉันเอาไว้ยังไง
เธอจะรู้ไม่มีทางเช่นเดียวกัน
ที่จะรอ หรือว่าท้อไม่เลยสักวัน

วันเวลาที่คิดถึงเธอทุกครั้งในใจ
ก็เกิดแรงให้ทำได้ทุกอย่าง
ฝันของเธอและฉันที่เราเคยหวังในใจมาด้วยกัน

ลมจะพัดต้านฉันเอาไว้ยังไง
เธอจะรู้ไม่มีทางเช่นเดียวกัน
ที่จะรอ หรือว่าท้อไม่เลยสักวัน",yokee_playboy
อากาศ,/music/thailyric/8355,"เสียใจตลอด เสียน้ำตาทำไม
ถ้าคิดว่าไม่มีใครก็ให้บอก
ช้ำใจเท่าไร เดี๋ยวก็ลืมมันไป
ต้องทุกข์ไปนานเท่าไร เธอจะพอ

มา มาบอกฉัน
เอาความทุกข์ ที่เธอเก็บไว้
มา มาแบ่งกัน ให้เธอรู้
ไว้ว่านี่คือเสียง ที่รู้สึกข้างใน

อยากจะรู้สิ่งที่ถูกซ่อนไว้
ตรงนี้มีรักที่รอคอยเธอ
เมื่อลมที่พัดอากาศ ให้เธอได้สูดเข้าไป

อยากให้เธอรู้ อยากให้เธอรับฟัง
ถ้าเธอรัก ถ้าเธออยากจะเชื่อฉัน
ตอนเธอคิดถึงใครสักคนเวลาที่ทรมาน
อยากขอเป็นใครคนนั้นที่เธอกำลังต้องการ
ได้ไหม

เสียใจตลอด เสียน้ำตาทำไม
ถ้าคิดว่าไม่มีใครก็ให้บอก
ช้ำใจเท่าไร เดี๋ยวก็ลืมมันไป
ต้องทุกข์ไปนานเท่าไร เธอจะพอ

มา มาบอกฉัน
เอาความทุกข์ ที่เธอเก็บไว้
มา มาแบ่งกัน ให้เธอรู้
ไว้ว่านี่คือเสียง ที่รู้สึกข้างใน

อยากจะรู้สิ่งที่ถูกซ่อนไว้
ตรงนี้มีรักที่รอคอยเธอ
เมื่อลมที่พัดอากาศ ให้เธอได้สูดเข้าไป

อยากให้เธอรู้ อยากให้เธอรับฟัง
ถ้าเธอรัก ถ้าเธออยากจะเชื่อฉัน
ตอนเธอคิดถึงใครสักคนเวลาที่ทรมาน
อยากขอเป็นใครคนนั้นที่เธอกำลังต้องการ
ได้ไหม",yokee_playboy
ต่อให้ต้องบอกในใจ,/music/thailyric/14387,"ทุกครั้งที่เธอนั้นอยู่ใกล้ ห้ามใจให้หยุดคิดไม่ได้
ทั้งที่ความเป็นจริง ก็ได้แต่คิดเท่านั้นจริงๆ
ยิ่งต่อให้ใกล้กัน แม้มันทรมานใจอีกเท่าไรก็ตาม
ห้ามฉันไม่ได้

แม้เธอยังมีเขาในใจ ถึงเขาจะโกรธฉันเท่าไร
ถ้าเขารู้ความจริง ไอ้สิ่งที่ฉันนั้นคิดไปว่าเพราะเธอ

ต่อให้บอกกับเธอยังไงในใจเธอไม่ต้องรู้
ต่อให้ไม่มีทางจะทำอะไรได้กว่าแค่เฝ้าดู

ยอมฉันยอมปล่อยให้เป็นอย่างนี้
แค่ฝันก็ขอให้ฉันได้รู้สึก ว่าใกล้ชิดเธอที
อยากขอแค่เพียงเท่านี้

รู้ดีเธอมีเขาในใจ รู้ว่าฉันคงพูดไม่ได้
ใกล้ตัวเธอทีไร ต้องเก็บไปคิดถึงในใจว่าเพราะเธอ

ต่อให้บอกกับเธอยังไงในใจเธอไม่ต้องรู้
ต่อให้ไม่มีทางจะทำอะไรได้กว่าแค่เฝ้าดู

ยอมฉันยอมปล่อยให้เป็นอย่างนี้
แค่ฝันก็ขอให้ฉันได้รู้สึกว่าใกล้ชิดเธอที

อย่างที่ฉันรู้สึกได้ไหม แค่เพียงเท่านี้

ต่อให้บอกกับเธอยังไงในใจเธอไม่ต้องรู้
ต่อให้ไม่มีทางจะทำอะไรได้กว่าแค่เฝ้าดู

ต่อให้บอกกับเธอยังไงในใจเธอไม่ต้องรู้
ต่อให้ไม่มีทางจะทำอะไรได้กว่าแค่เฝ้าดู

ยอมฉันยอมปล่อยให้เป็นอย่างนี้
แค่ฝันก็ขอให้ฉันได้รู้สึกว่าใกล้ชิดเธอที

ได้ไหมขอเพียงแค่นี้",yokee_playboy
เพลงเพราะเพราะ,/music/thailyric/4945,"มีวันหนึ่งที่เห็นเขาเหงาๆ
ดูราวกับไม่ใช่ตัวเขาที่เคยเห็น
แต่เป็นอะไรไม่รู้นะใจเรา
เกิดอยากปลอบใจเขา

ทั้งที่เราเองพูดจาก็ไม่เก่ง
ให้กำลังใจใครก็ไม่เป็น
ปลอบใครช่างยากเย็น
ยิ่งกว่าเขา

ขอเพลงเพราะที
ช่วยทำให้เขาหายเหงา
ช่วยร้องให้ฟังแทนตัวเรา
ช่วยปลอบเขาที
ไม่อยากให้เขาเศร้า
ฝากไว้ช่วยดูแลตัวเขาแทนเรา
ก่อนจะได้พบกัน

คำในเพลงที่ใช้แทนตัวเรา
อยากบอกว่าไม่ใช่แค่เขา
ที่ปวดร้าว แค่เพลงๆ นึง
อาจไม่เท่าความเจ็บปวดของเขา
แต่มันเป็นความรู้สึกเรา
ที่เห็นเขาเสียใจ พูดไปก็ไม่กล้าเอง
คงให้เธอได้ฟังแค่เสียงเพลง
แทนสิ่งที่ฉันเองอยากให้รู้

ขอเพลงเพราะที
ช่วยทำให้เขาหายเหงา
ช่วยร้องให้ฟังแทนตัวเรา
ช่วยปลอบเขาที
ไม่อยากให้เขาเศร้า
ฝากไว้ช่วยดูแลตัวเขาแทนเรา
ช่วยปลอบเขาที ไม่อยากให้เขาเศร้า
ฝากไว้ช่วยดูแลตัวเขาแทนเรา
ก่อนเราจะได้พบกัน",yokee_playboy
สารภาพ,/music/thailyric/4947,"ฉันหยุดความรู้สึกนี้ไม่ได้
จะบอกรักเธอจะโกรธกันไหม
เมื่อฉันนั้นจะบอกความจริงที่คิดข้างใน
บางอย่างที่อยากจะบอกเธอไว้
ฉันอยากให้เธอช่วยฟังได้ไหม
ฟังฉันนะ มันคืออะไรที่ฉัน
ไม่เคยกล้าบอกมันออกไป

ตอนนี้ถึงแม้อยู่กันใกล้ๆ
แต่รู้ไหมใจฉันลอยไปอยู่ไหน
ฉันหยุดไม่คิดไม่ได้สักที
ถึงอยู่กับเธอตอนนี้
ในใจกลับไปอยู่กับใคร

ไม่อยากให้เธอเสียใจ
แต่ฉันห้ามใจตัวเองไม่ไหว
ทำไมยังคิดถึงใครอีกคน
อีกแล้ว ขอโทษได้ไหม
ที่คิดไว้มันเป็นเขาเสมอ
เธอรู้ไหมฉันหยุดคิดไม่ได้
และเป็นความจริงที่ฉันเก็บ
ไว้ตอนใกล้เธอ

อีกคน อีกแล้ว
ไม่ได้ตั้งใจจะลืมความรักของเธอ
ไม่อยากจะเก็บไว้ ช่วยฉันทีได้ไหม
ฉันไม่อยากจะไปคิดถึงเธอเป็นอีกคน

หากคิดถึงเขาเมื่อไร
ฉันก็รู้เธอจะโดนทำร้าย
ทำไมต้องคิดถึงใครอีกคน
อีกคน อีกแล้ว อีกแล้ว

ไม่อยากจะเก็บไว้ ช่วยฉันทีได้ไหม
ฉันไม่อยากจะไปคิดถึงเธอไปเป็นเขา
ไม่อยากจะเก็บไว้ ช่วยฉันทีได้ไหม
ฉันไม่อยากเจอและเห็นหน้าเธอไปเป็นเขา",yokee_playboy
เทอญอร (Turn On),/music/thailyric/21803,"มันก็คงเป็นเพราะ ว่าใจเราเปี่ยมด้วยสุข
และมันก็คงเป็นเพราะ ว่าหัวใจมีแต่สิ่งสวยงาม
มีนางฟ้า เทวดา ลอยลงมาอวยชัย
โยกและย้าย  ตามสไตล์ ในจังหวะที่หัวใจ
ให้เธอรู้ สวรรค์รออยู่และให้พร มีรัก ฉันรออยู่

เป็นของขวัญในบทเพลง สวรรค์พาเพริศพิไล
ส่งตรงลงมาเป็นบทเพลง โยกย้ายได้เต้น ตามหัวใจ
มีนางฟ้า เทวดา ลอยลงมาอวยชัย
โยกและย้าย ตามสไตล์ ในจังหวะที่หัวใจ
ให้เธอรู้ สวรรค์รอดู และให้พร
มีรักฉันรออยู่ รออยู่  (รออยู่)
รออยู่  (รออยู่) มาเป็นรักที่ฟลอร์
รอ รอ รออยู่ มาเป็นรักที่ฟลอร์

มันก็คงเป็นเพราะ ว่าใจเราเปี่ยมด้วยสุข
และมันก็คงเป็นเพราะ ว่าหัวใจมีแต่สิ่งสวยงาม
มีนางฟ้า เทวดา ลอยลงมาอวยชัย
โยกและย้าย  ตามสไตล์ ในจังหวะที่หัวใจ
ให้เธอรู้ สวรรค์รอดูและให้พร มีรัก ฉันรออยู่

เป็นของขวัญจากเมืองแมน สวรรค์พาเพริศพิไล
ส่งตรงลงมาเป็นบทเพลง โยกย้ายได้เต้น ตามหัวใจ
มีนางฟ้า เทวดา ลอยลงมาอวยชัย โยกและย้าย
ตามสไตล์  ในจังหวะที่หัวใจ ให้เธอรู้
สวรรค์รอดูและให้พร มีรักฉันรออยู่

เพราะ ว่าใจเราเปี่ยมด้วยสุข
มันก็คงเป็นเพราะ ว่าหัวใจที่มีแต่สิ่งสวยงาม
มีนางฟ้า เทวดา ลอยลงมาอวยชัย
โยกและย้าย  ตามสไตล์ ในจังหวะที่หัวใจ
ให้เธอรู้ สวรรค์รออยู่ที่ฟลอร์  มีรักฉันรออยู่  (รออยู่)",yokee_playboy
ขอให้ผม,/music/thailyric/15935,"ขอให้ผม กับคุณได้พบกัน
และเราได้รักกัน
โอ้คุณนั้น ไม่รู้เมื่อไรจะได้เจอ

ขอให้ผม กับคุณอยู่ใกล้กัน
ก็ผมรอคุณอยู่นานแสนนาน
โอ้ วันนั้น หากเป็นได้จริง
ผมแค่อยาก

รักคุณหมดหัวใจ แม้ว่าคุณจะอยู่ที่แสนไกล
ให้บางสิ่งในใจ พาเราไปพบ กับคนที่ถูกใจ
แม้จะอยู่ที่ใด แม้อะไรจะเกิดจากนี้ไป
ผมเพียงอยาก จะขอรักคุณได้ไหม

ขอให้ผม กับคุณได้เข้าใจ
เหตุผลใดเราอย่าไปสนใจ
แค่ได้พบกัน วันนี้รู้เพียงแค่อยากจะ

รักคุณหมดหัวใจ แม้ว่าคุณจะอยู่ที่แสนไกล
ให้บางสิ่งในใจพาเราไปพบ กับคนที่ถูกใจ
แม้จะอยู่ที่ใด แม้อะไรจะเกิดจากนี้ไป
ผมเพียงอยากจะขอรักคุณได้ไหม

แม้ว่าผม กับคุณไม่พบกัน
จะขอรอไปอย่างนั้น
จะรักแม้เราไม่รู้จักกัน",yokee_playboy
