song_name,href,lyric,artist
ผิดมากไหม,/music/thailyric/1131,"เขาบอกว่าฉันเป็นคนซับซ้อน
เกินกว่าผู้หญิงคนอื่นคนไหน
จิตใจของฉันทำด้วยอะไร ทำไมไม่มีน้ำตา

บอกอีกว่าฉันนี้มันเข็มแข็ง
กว่าคุณผู้หญิงคนธรรมดา
แต่ตัวของฉันไม่เคยคิดว่าเป็นอย่างนั้น

จริงๆ แล้วฝนตกใบไม้หล่น ภาพยนตร์ที่ซึ้งใจ
บางครั้งทำฉันอ่อนไหวจนเผลอร้องให้
แต่เรื่องเธอทิ้งกัน เลิกกัน
ฉันยอมรับว่าใจหาย แต่มันไปไกลแค่นั้นเอง
ไม่ได้จะเป็นจะตาย

จะผิดมากไหมถ้าฉันไม่ร้องไห้
จะผิดมากไหมที่ฉันไม่แคร์
ที่ไม่ได้ร้องไม่เป็นอะไร
ไม่ใช่เพราะฉันไม่ยอมพ่ายแพ้
แต่เป็นเธอนั่นแหละ เธอนั่นแหละ
เธอนั่นแหละที่ไร้ค่า

ที่จริงแล้วฉันไม่ได้ซับซ้อน
และตัวของฉันไม่ได้เข็มแข็ง
กว่าคุณผู้หญิงคนอื่นรู้ไหม
แต่ที่ตัวฉันไม่เป็นอะไร
เป็นเพราะเธอมากกว่า

ตอนลาจากเพื่อนเก่า
เพลงเศร้า เหงาเวลาไม่มีใคร
ตอนนั้นฉันก็หวั่นไหวจนต้องร้องไห้
แต่เรื่องเธอทิ้งกัน เลิกกัน
ฉันยอมรับว่าใจหาย แต่มันไปไกลแค่นั้นเอง
ยังมีชีวิตสบาย

จะผิดมากไหมถ้าฉันไม่ร้องไห้
จะผิดมากไหมที่ฉันไม่แคร์
ที่ไม่ได้ร้องไม่เป็นอะไร
ไม่ใช่เพราะฉันไม่ยอมพ่ายแพ้
แต่เป็นเธอนั่นแหละ เธอนั่นแหละ
เธอนั่นแหละที่ไร้ค่า

จะผิดมากไหมถ้าฉันไม่ร้องไห้
จะผิดมากไหมที่ฉันไม่แคร์
ที่ไม่ได้ร้องไม่เป็นอะไร
ไม่ใช่เพราะฉันไม่ยอมพ่ายแพ้
แต่เป็นเธอนั่นแหละ เธอนั่นแหละ
เธอนั่นแหละที่ไร้ค่า

เธอนั่นแหละ เธอนั่นแหละ",zani
แฟร์ (Fair),/music/thailyric/1132,"เธอเป็นอะไร มีหรือจะดูไม่ออก
แค่ฉันจ้องไปในตา ก็รู้ว่ามันมีอะไร
จะโกหกกัน เธอคงต้องทบทวนใหม่
เพราะคนที่คบกันมานาน เขาเรียกกันว่าคนรู้ใจ

มาทำปิดบัง ยังกับฉันเป็นคนอื่น
ดูถูกฉันแล้ว เกินไปรึเปล่า
เธอลืมไปแล้วเหรอว่าฉันไม่งี่เง่า
แค่ยอมรับตามตรง ไม่ตาย

อยากจะไปกับใคร บอกฉันเลยแล้วแต่
หลอกกันไปทำไม ไม่รู้รึไงฉันแฟร์
จะทรมาน จะฝืนกันอยู่ทำไม

เธอจะไปกับใคร บอกฉันได้ตามตรง
คนกำลังจะไป ถ้าห้ามก็คงไม่ไหว
ถ้ามีคนที่คิดว่าดีกว่า ฉันไม่ว่าฉันแฟร์

เกรงกลัวอะไร ตอนทำไม่เห็นเธออาย
แต่ตอนที่ต้องรับว่าเธอผิด
มันพูดยากพูดเย็นมากมาย

บอกกันตรงๆ ว่าเธอนั้นมีคนอื่น
ฉันคงไม่ฆ่าเธอตาย เสียมือเปล่า
จะเกรงใจกัน กลัวว่าฉันจะต้องเศร้า
นั่นเธอสำคัญผิด ให้ตาย

อยากจะไปกับใคร บอกฉันเลยแล้วแต่
หลอกกันไปทำไม ไม่รู้รึไงฉันแฟร์
จะทรมาน จะฝืนกันอยู่ทำไม

เธอจะไปกับใคร บอกฉันได้ตามตรง
คนกำลังจะไป ถ้าห้ามก็คงไม่ไหว
ถ้ามีคนที่คิดว่าดีกว่า ฉันไม่ว่าฉันแฟร์

อยากจะไปกับใคร บอกฉันเลยแล้วแต่
หลอกกันไปทำไม ไม่รู้รึไงฉันแฟร์
จะทรมาน จะฝืนกันอยู่ทำไม

เธอจะไปกับใคร บอกฉันได้ตามตรง
คนกำลังจะไป ถ้าห้ามก็คงไม่ไหว
ถ้ามีคนที่คิดว่าดีกว่า ฉันไม่ว่าฉันแฟร์

บอกตามตรง อย่าฝืนเลยง่ายกว่า 
โอ๊ย ฉันแฟร์",zani
คนรักหรือแค่รู้จัก,/music/thailyric/13022,"ก็เส้นทางไม่เคยชัดเจนเลยสักที
จุดมุ่งหมายไม่มี ไม่รู้สิ้นสุดที่ใด
รู้สึกยังไงกับฉัน เห็นฉันเป็นอะไรในใจ
ฉันอยากจะรู้ ข้างในความคิดของเธอ

ไม่ว่าคนจะถามเรื่องเธอมากี่ครั้ง
แต่ว่าฉันก็ยัง ไม่มีคำตอบให้ใคร
จะเรียกเธอว่าที่รัก ฉันก็กลัวอาจจะมากไป
ไม่เคยจะรู้ ต้องอยู่กับความหวั่นไหว

สุดท้ายแล้วเราจะเป็นคนรัก หรือเป็นแค่คนรู้จัก
ช่วยบอกสักครั้ง บอกให้ฉันหยุดทรมาน
จุดหมายของเราที่เดียวกันไหม
หรือเพียงร่วมทางแค่ชั่วคราว
โปรดบอกกันที ว่าควรจะหวัง ได้แค่ไหน

มีบ้างไหมที่ใครถามเธอถึงเรื่องฉัน
หากบังเอิญว่ามี แล้วเธอได้ตอบเช่นไร
เธอบอกได้ไหมว่ารัก หรือเธอคิดว่ามันมากไป
ให้อยู่แบบไหน จะได้ทำใจแบบนั้น

สุดท้ายแล้วเราจะเป็นคนรัก หรือเป็นแค่คนรู้จัก
ช่วยบอกสักครั้ง บอกให้ฉันหยุดทรมาน
จุดหมายของเราที่เดียวกันไหม
หรือเพียงร่วมทางแค่ชั่วคราว
โปรดบอกกันที ว่าควรจะหวัง ได้แค่ไหน
แค่ไหน แค่ไหน

สุดท้ายแล้วเราจะเป็นคนรัก
อย่าปล่อยให้ฉันต้องทรมาน
จุดหมายของเราที่เดียวกันไหม
หรือเพียงร่วมทางแค่ชั่วคราว
โปรดบอกกันที ว่าควรจะหวัง ได้แค่ไหน
ได้แค่ไหน",zani
คุคะคิ,/music/thailyric/9354,"ฉันแปลกใจจริง
คนโดนทิ้งทำไมต้องเสียนํ้าตา
คนที่เย็นชา กลับเฮฮาชีวิตสดใสร่าเริง
งง งง งง งงงวย ระทวยใกล้ม้วย
เป็นกรรมของหมวย
อยากจะพอ พอ พอ พอแล้ว
ความซวยแบบนี้

วันนี้คนโดนทิ้งจะเป็นใหญ่
โชคดีจริงๆ ที่ไม่เหลือใคร
เรามาเฮฮาให้สมใจ
ไอ้เรื่องลืมเธอน่ะเป็นเรื่องกล้วยๆ
วันนี้ฉันสวยและฉันรวย

ปล่อยๆ มันไป แค่คนหัวใจป่วย
หัวใจป่วย หัวใจป่วย
ปั๊ป ปั๊ป ปาดับป้าว

ใครจะไปรู้ ว่าคนไหนเกิดมาเป็นเนื้อคู่กัน
เขาที่อยู่ตรงนั้น ตรงมุมโน้นอันนี้ก็ไม่แน่ใจ
ยังคง งง งง งง งง งง งงงวย
จะใครกันนะไอ้คนๆ นั้น
แต่ที่แน่ใจคือ มันไม่ใช่เธอแน่นอน

วันนี้คนโดนทิ้งจะเป็นใหญ่
โชคดีจริงจริงที่ไม่เหลือใคร
เรามาเฮฮาให้สมใจ
ไอ้เรื่องลืมเธอน่ะเป็นเรื่องกล้วยๆ
วันนี้ฉันสวยและฉันรวย
ปล่อยๆ มันไปแค่คนหัว
คุคุคะคิคุ คุคุคะคิคุ คุคุคะคิคุ หัวใจป่วย

วันนี้คนโดนทิ้งจะเป็นใหญ่
โชคดีจริงๆ ที่ไม่เหลือใคร
เรามาเฮฮาให้สมใจ
ไอ้เรื่องลืมเธอน่ะเป็นเรื่องกล้วยๆ
วันนี้ฉันสวยและฉันรวย
ปล่อยๆ มันไป

วันนี้คนโดนทิ้งจะเป็นใหญ่
โชคดีจริงๆ ที่ไม่เหลือใคร
เรามาเฮฮาให้สมใจ
ไอ้เรื่องลืมเธอน่ะเป็นเรื่องกล้วยๆ
วันนี้ฉันสวยและฉันรวย
ปล่อยๆ มันไป
แค่คนหัวใจแสนเฮงซวย
ชำรุด ชำรวย ระทม ระทวย
โถ เธอมันหัวใจป่วย",zani
เจ็บทุกเช้า,/music/thailyric/8934,"ยังเฝ้ามองที่นาฬิกา
อยากเร่งช่วงเวลาให้หลับสักที
ในความฝันทุกคืนที่ฉันมี
แค่ได้เห็นเธอตอนหลับตา

เมื่อรู้ดีว่าในความจริง
เธอนั้นเองไม่มีวันกลับคืนมา
มีแต่เสียงของเธอที่ร่ำลา
ที่ยิ่งย้ำให้ฉันเสียใจ

ทิ้งตัว ล้มนอน
อยากเพียงกอดหมอนแล้วฝันไป
รู้ดี หัวใจ ไม่อยากให้มันมีวันพรุ่งนี้

เจ็บอยู่ทุกเช้าที่ต้องลืมตาแล้วไม่เห็นเธอ
ไม่อยากรับรู้ความจริงว่าฉันนั้นไม่เหลือใคร
ถ้าในฝันนั้น ฉันได้มีเธอ
ขอนอนหลับไม่ตื่นได้ไหม ก็มันไม่พร้อม
ยอมรับว่าเธอจากไป ไปจากฉันจริงๆ

ไม่คุ้นเคยเลยความอ้างว้าง
เพิ่งรู้ว่าแค่ใครคนหนึ่งหายไป
มันต้องเหงาทุกทีที่หายใจ
มันยังห้ามน้ำตาไม่ทัน

แอบยั้งใจตัวเองเสมอ
แต่หันมองไปเจอรูปเธอแค่นั้น
กลิ่นปลอกหมอนจางๆ ที่ข้างกัน
มันบอกฉันให้คิดถึงเธอ

ทิ้งตัว ล้มนอน
อยากเพียงกอดหมอนแล้วฝันไป
รู้ดี หัวใจ ไม่อยากให้มันมีวันพรุ่งนี้

เจ็บอยู่ทุกเช้าที่ต้องลืมตาแล้วไม่เห็นเธอ
ไม่อยากรับรู้ความจริงว่าฉันนั้นไม่เหลือใคร
ถ้าในฝันนั้น ฉันได้มีเธอ
ขอนอนหลับไม่ตื่นได้ไหม ก็มันไม่พร้อม
ยอมรับว่าเธอจากไป ไปจากฉันจริงๆ

เจ็บอยู่ทุกเช้าที่ต้องลืมตาแล้วไม่เห็นเธอ
ไม่อยากรับรู้ความจริงว่าฉันนั้นไม่เหลือใคร
ถ้าในทุกเช้า ฉันไม่มีเธอ
ขอนอนหลับไม่ตื่นได้ไหม ก็มันไม่พร้อม
ยอมรับว่าเธอจากไป ไปจากฉันจริงๆ",zani
ชอบความเสี่ยง,/music/thailyric/10471,"รู้ตัวเอง ว่าเป็นคน ชอบความเสี่ยง
ขอแค่เพียง ได้คิดได้ทำ อย่างที่ตั้งใจ

แม้จะลำบากลำบนแค่ไหน
ฉันก็ยังอยากจะเดินข้ามไป
พกความบ้าบิ่นมาเต็มแรง ไม่แบ่งให้ใครๆ มั่นใจ

พร้อมจะชน กับพวกคนพาล พวกทำผิด
ไม่คิดลังเล จะทุ่มจะเท จัดเต็มทั้งใจ

แม้ใครจะใหญ่จะโตคับฟ้า ฉันก็ไม่อาจจะทำเงียบไป
เชื่อเพียงแต่สิ่งที่ดีงาม ไม่เคยมีตรงกลาง แน่ใจ

ไม่เคยกลัวใครทั้งนั้น จะมองว่ารั้นก็คงตามใจ
หากว่าใครทำไม่ถูก ก็คือไม่ถูก ไม่รู้เกรงใจทำไม
จะตามให้รู้ จะดูให้เห็น ความจริงเป็นไง
ความฝันที่มีในใจ ไม่มีอะไรหยุดยั้งมัน ฉันทำสุดใจ

แม้ใครจะใหญ่จะโตคับฟ้า ฉันก็ไม่อาจจะทำเงียบไป
เชื่อเพียงแต่สิ่งที่ดีงาม ไม่เคยมีตรงกลาง แน่ใจ

ไม่เคยกลัวใครทั้งนั้น จะมองว่ารั้นก็คงตามใจ
หากว่าใครทำไม่ถูก ก็คือไม่ถูก ไม่รู้เกรงใจทำไม
จะตามให้รู้ จะดูให้เห็น ความจริงเป็นไง
ความฝันที่มีในใจ ไม่มีอะไรหยุดยั้งมัน ฉันทำสุดใจ

(ไม่เคยกลัวใครทั้งนั้น จะมองว่ารั้นก็คงตามใจ)
(หากว่าใครทำไม่ถูก ก็คือไม่ถูก ไม่รู้เกรงใจทำไม)
ฉันทำสุดใจ (จะตามให้รู้ จะดูให้เห็น ความจริงเป็นไง)
(ความฝันที่มีในใจ ไม่มีอะไรหยุดยั้งมัน) ฉันทำสุดใจ",zani
ได้หมด (It's All Good),/music/thailyric/11116,"จะชวนดูหนังหรือกินอะไร สบายๆ ได้หมด
จะเซอร์จะหวาน หรือเทรนด์อะไร ก็ฟรีสไตล์ได้หมด
จะแร็ป จะร็อก หรือดนตรีไทย จะแนวอะไรได้หมด
ใครจะมองว่าฉันเป็นไง ก็ตามสบายได้หมด

เธอกังวลอะไร เธอจะนอยด์ทำไม

ได้หมดอยู่แล้ว เป็นแฟนกับฉันไม่ต้องวุ่นวาย (It's All Good)
ได้หมดอยู่แล้ว ไม่ต้องไปคิดอะไรมากมาย (It's All Good)
ไม่ต้องไปฝืน ไปเปลี่ยนความคิดให้ฉันชอบใจ (It's All Good)
เรื่องเดียวที่ขอเธอทำได้ไหม ให้เธอรักฉันคนเดียว

I'd like to ask you out for dinner what do you prefer?
จะผัดไทยประตูผี หรือ DND เอกมัย แค่บอกมาพี่จัดให้
ถ้าคบกันไปถึง Anniversary MVL กับซานิ
ฉลองที่ไหนกันดีล่ะ Baby
ช่วยบอกให้ผมรู้ที ชอบนั่งสบายใน Bentley
หรือซ้อนท้าย Ducati
คำถามสุดท้าย คืนนี้ช่วยเลือกให้ผมที
ว่าคืนนี้จะ Bedroom หรือ Balcony

เธอกังวลอะไร เธอจะนอยด์ทำไม

ได้หมดอยู่แล้ว เป็นแฟนกับฉันไม่ต้องวุ่นวาย (It's All Good)
ได้หมดอยู่แล้ว ไม่ต้องไปคิดอะไรมากมาย (It's All Good)
ไม่ต้องไปฝืน ไปเปลี่ยนความคิดให้ฉันชอบใจ (It's All Good)
เรื่องเดียวที่ขอเธอทำได้ไหม ให้เธอรักฉันคนเดียว

ได้หมด ได้หมด
เรื่องเดียวที่ขอ เธอทำได้ไหม ต้องรักฉันคนเดียว

ได้หมดอยู่แล้ว เป็นแฟนกับฉันไม่ต้องวุ่นวาย (It's All Good)
ได้หมดอยู่แล้ว ไม่ต้องไปคิดอะไรมากมาย (It's All Good)
ไม่ต้องไปฝืน ไปเปลี่ยนความคิดให้ฉันชอบใจ (It's All Good)
เรื่องเดียวที่ขอเธอทำได้ไหม ให้เธอรักฉันคนเดียว

ได้หมดอยู่แล้ว เป็นแฟนกับฉันไม่ต้องวุ่นวาย (It's All Good)
ได้หมดอยู่แล้ว ไม่ต้องไปคิดอะไรมากมาย (It's All Good)
ไม่ต้องไปฝืน ไปเปลี่ยนความคิดให้ฉันชอบใจ (It's All Good)
เรื่องเดียวที่ขอเธอทำได้ไหม ให้เธอรักฉันคนเดียว",zani
ใต้ผ้าห่ม,/music/thailyric/9722,"ในห้องนี้ ที่มีแค่ฉันมันเหงาแทบตาย
ข่มตานอนก็ยังไม่หาย ฉันคิดถึงเธอ
นาฬิกาที่เดินเชื่องช้า เวลาที่คิดถึงใคร
ฉันเพิ่งเข้าใจ ความเหงาอาการแบบนี้

ใต้ผ้าห่มยังหนาว หนาวไปถึงหัวใจ
ความเหงามันคอยจะทำให้หนาวแบบนี้ไปถึงเมื่อไหร่
ใต้ผ้าห่มยังหนาว เหงาเหลือเกิน จะทนแทบไม่ไหว
เธออยู่ไหน ทำอะไร ช่วยฉันที

คนขี้เหงา กับความคิดถึงเป็นของคู่กัน
ให้ทำยังไง ให้เธอไม่หาย ไม่ไปจากฉัน
วันและคืนผ่านไปช้าๆ เวลาที่คิดถึงเธอ
ฉันเพิ่งเข้าใจ ขาดเธอมันเป็นแบบนี้

ใต้ผ้าห่มยังหนาว หนาวไปถึงหัวใจ
ความเหงามันคอยจะทำให้หนาวแบบนี้ไปถึงเมื่อไหร่
ใต้ผ้าห่มยังหนาว เหงาเหลือเกิน จะทนแทบไม่ไหว
เธออยู่ไหน ทำอะไร ช่วยฉันที กลับมากอดฉันที

ใต้ผ้าห่มยังหนาว หนาวไปถึงหัวใจ
ความเหงามันคอยจะทำให้หนาวแบบนี้ไปถึงเมื่อไหร่
ใต้ผ้าห่มยังหนาว เหงาเหลือเกิน จะทนแทบไม่ไหว
เธออยู่ไหน ทำอะไร ช่วยฉันที กลับมากอดฉันที",zani
ถึงเวลา... (Wake),/music/thailyric/12046,"ฉันถูกสั่งให้ปล่อยมือ จากโลกที่เรียกว่าความฝัน
เขามาบอกมากดดัน ให้หยุดลงแค่นั้น
รักที่เจ็บจนถอดใจ ทุ่มเทอย่างไม่มีความหมาย
แม้จะเหนื่อยสักเท่าไร ไม่มีใครสน

วันนี้ ตอนนี้ พอแล้ว ถึงเวลา
วันที่ตัวฉันจะตื่น วันที่จะยืนอีกครั้ง
พอแล้วคำว่าพ่ายแพ้ พอแล้วใจที่ยอมให้ใครทุกอย่าง

จะปลุกตัวเอง จากฝันที่หลับใหล
จะเปิดดวงตา มองฟ้าที่เปลี่ยนไป
ไม่ยอมให้ใคร มาทำร้ายใจฉันอีก

วันนี้ ตอนนี้ พอแล้ว ถึงเวลา
วันที่ตัวฉันจะตื่น วันที่จะยืนอีกครั้ง
พอแล้วคำว่าพ่ายแพ้ พอแล้วใจที่ยอมให้ใครทุกอย่าง

จุดไฟให้ฟ้าสว่าง จะไม่ยอมมองกลับหลัง
พอแล้วคำว่าพ่ายแพ้ พอแล้วความอ่อนแอที่เคยได้ผ่าน

วันที่ตัวฉันจะตื่น (ลุกขึ้นมา ลุกขึ้นมา ลุกขึ้นมา)
วันที่จะลุกขึ้นมา (ลุกขึ้นมา ลุกขึ้นมา ลุกขึ้นมา ลุกขึ้นมา)
วันที่ตัวฉัน ลองเริ่มใหม่ (ลุกขึ้นมา ลุกขึ้นมา ลุกขึ้นมา ลุกขึ้นมา ลุกขึ้นมา)
(ลุกขึ้นมา ลุกขึ้นมา)",zani
นาฬิกาหัวใจ,/music/thailyric/8327,"ในความเป็นจริงของการเดินทาง
ไม่ว่าอย่างไรสักวันต้องถึงวันสิ้นสุด
ในการเดินทางของคนสองคน
จะช้าจะเร็วสุดท้ายก็ต้องแยกจาก

วันนี้ทั้งเธอและฉัน ต่างสุดหนทาง
แต่ฉันเข้าใจ และคิดว่าเธอก็คงจะเข้าใจ

อย่างน้อยเราก็เคยได้ใช้วันเวลา
อย่างน้อยนาฬิกาหัวใจเคยตรงกัน
สุดท้ายแม้ว่าเราไม่ได้ไปด้วยกัน
แต่จะจำไว้ ว่ารักนั้นเคยเป็นของเรา

บนการเดินทาง ของเธอกับฉัน
มีทั้งรอยยิ้มและคราบน้ำตารวมปนเป
แต่ฉันขอจำ ไว้เพียงแต่สิ่งดี
ปล่อยทิ้งทุกความเสียใจไว้ในอดีต

วันนี้ทั้งเธอและฉัน ต่างสุดหนทาง
แต่ฉันเข้าใจ และคิดว่าเธอก็คงจะเข้าใจ

อย่างน้อยเราก็เคยได้ใช้วันเวลา
อย่างน้อยนาฬิกาหัวใจเคยตรงกัน
สุดท้ายแม้ว่าเราไม่ได้ไปด้วยกัน
แต่จะจำไว้ ว่ารักนั้นเคยเป็นของเรา

เผื่อวันหนึ่งบังเอิญนั้นเราพบกัน
รอยยิ้มจะยังอยู่ บาดแผลต่างลืมไปหมดแล้ว

อย่างน้อยเราก็เคยได้ใช้วันเวลา
อย่างน้อยนาฬิกาหัวใจเคยตรงกัน
สุดท้ายแม้ว่าเราไม่ได้ไปด้วยกัน
แต่จะจำไว้ ว่ารักนั้นเคยเป็นของเรา

ว่ารักนั้นเคยเป็นของเรา",zani
